5123_34572_000003_000000	CHAPTER I.	CHAPTER one
5123_34572_000009_000002	These little ports (ports more in appearance than fact) are of small advantage.	These little ports (ports more in appearance than fact) are of small advantage.
5123_34572_000009_000003	They are hazardous to enter, fearful to leave.	They are hazardous to enter, fearful to leave.
5123_34572_000010_000002	It figured in the Armada.	It figured in the Armada.
5123_34572_000010_000004	But the merchant and contraband hookers were very feeble specimens.	But the merchant and contraband hookers were very feeble specimens.
5123_34572_000010_000005	Sea-folk held them at their true value, and esteemed the model a very sorry one, The rigging of the hooker was made of hemp, sometimes with wire inside, which was probably intended as a means, however unscientific, of obtaining indications, in the case of magnetic tension.	Sea folk held them at their true value, and esteemed the model a very sorry one, The rigging of the hooker was made of hemp, sometimes with wire inside, which was probably intended as a means, however unscientific, of obtaining indications, in the case of magnetic tension.
5123_34572_000010_000008	Two wheels in two pulleys at the end of the rudder corrected this defect, and compensated, to some extent, for the loss of strength.	Two wheels in two pulleys at the end of the rudder corrected this defect, and compensated, to some extent, for the loss of strength.
5123_34572_000010_000009	The compass was well housed in a case perfectly square, and well balanced by its two copper frames placed horizontally, one in the other, on little bolts, as in Cardan's lamps.	The compass was well housed in a case perfectly square, and well balanced by its two copper frames placed horizontally, one in the other, on little bolts, as in Cardan's lamps.
5123_34572_000010_000011	The hooker was primitive, just like the praam and the canoe; was kindred to the praam in stability, and to the canoe in swiftness; and, like all vessels born of the instinct of the pirate and fisherman, it had remarkable sea qualities: it was equally well suited to landlocked and to open waters.	The hooker was primitive, just like the praam and the canoe; was kindred to the praam in stability, and to the canoe in swiftness; and, like all vessels born of the instinct of the pirate and fisherman, it had remarkable sea qualities: it was equally well suited to landlocked and to open waters.
5123_34572_000010_000013	It could sail round a lake, and sail round the world--a strange craft with two objects, good for a pond and good for a storm.	It could sail round a lake, and sail round the world-a strange craft with two objects, good for a pond and good for a storm.
5123_34572_000011_000000	These Biscay hookers, even to the poorest, were gilt and painted. Tattooing is part of the genius of those charming people, savages to some degree.	These Biscay hookers, even to the poorest, were gilt and painted. Tattooing is part of the genius of those charming people, savages to some degree.
5123_34572_000011_000003	Their coaches, which you can hear grinding the wheels two leagues off, are illuminated, carved, and hung with ribbons.	Their coaches, which you can hear grinding the wheels two leagues off, are illuminated, carved, and hung with ribbons.
5123_34572_000011_000006	They do not mend their rags, but they embroider them.	They do not mend their rags, but they embroider them.
5123_34572_000011_000007	Vivacity profound and superb!	Vivacity profound and superb!
5123_34572_000011_000012	Biscay is Pyrenean grace as Savoy is Alpine grace.	Biscay is Pyrenean grace as Savoy is Alpine grace.
5123_34572_000011_000016	Two harvests a year; villages resonant and gay; a stately poverty; all Sunday the sound of guitars, dancing, castanets, love-making; houses clean and bright; storks in the belfries.	Two harvests a year; villages resonant and gay; a stately poverty; all Sunday the sound of guitars, dancing, castanets, love making; houses clean and bright; storks in the belfries.
5123_34572_000012_000000	Let us return to Portland--that rugged mountain in the sea.	Let us return to Portland-that rugged mountain in the sea.
5123_34572_000013_000000	The peninsula of Portland, looked at geometrically, presents the appearance of a bird's head, of which the bill is turned towards the ocean, the back of the head towards Weymouth; the isthmus is its neck.	The peninsula of Portland, looked at geometrically, presents the appearance of a bird's head, of which the bill is turned towards the ocean, the back of the head towards Weymouth; the isthmus is its neck.
5123_34572_000014_000000	Portland, greatly to the sacrifice of its wildness, exists now but for trade.	Portland, greatly to the sacrifice of its wildness, exists now but for trade.
5123_34572_000014_000002	Since that period what is called Roman cement has been made of the Portland stone--a useful industry, enriching the district, and disfiguring the bay.	Since that period what is called Roman cement has been made of the Portland stone-a useful industry, enriching the district, and disfiguring the bay.
5123_34572_000014_000004	The pick bites meanly, the wave grandly; hence a diminution of beauty.	The pick bites meanly, the wave grandly; hence a diminution of beauty.
5123_34572_000014_000006	These measured strokes have worked away the creek where the Biscay hooker was moored.	These measured strokes have worked away the creek where the Biscay hooker was moored.
5123_34572_000015_000000	The creek, walled in on all sides by precipices higher than its width, was minute by minute becoming more overshadowed by evening.	The creek, walled in on all sides by precipices higher than its width, was minute by minute becoming more overshadowed by evening.
5123_34572_000015_000004	A plank thrown from on board on to a low and level projection of the cliff, the only point on which a landing could be made, placed the vessel in communication with the land.	A plank thrown from on board on to a low and level projection of the cliff, the only point on which a landing could be made, placed the vessel in communication with the land.
5123_34572_000015_000005	Dark figures were crossing and recrossing each other on this tottering gangway, and in the shadow some people were embarking.	Dark figures were crossing and recrossing each other on this tottering gangway, and in the shadow some people were embarking.
5123_34572_000016_000000	It was less cold in the creek than out at sea, thanks to the screen of rock rising over the north of the basin, which did not, however, prevent the people from shivering.	It was less cold in the creek than out at sea, thanks to the screen of rock rising over the north of the basin, which did not, however, prevent the people from shivering.
5123_34572_000016_000003	Certain indentations in their clothes were visible, and showed that they belonged to the class called in England the ragged.	Certain indentations in their clothes were visible, and showed that they belonged to the class called in England the ragged.
5123_34572_000017_000000	The twisting of the pathway could be distinguished vaguely in the relief of the cliff.	The twisting of the pathway could be distinguished vaguely in the relief of the cliff.
5123_34572_000017_000002	The pathway of this creek, full of knots and angles, almost perpendicular, and better adapted for goats than men, terminated on the platform where the plank was placed.	The pathway of this creek, full of knots and angles, almost perpendicular, and better adapted for goats than men, terminated on the platform where the plank was placed.
5123_34572_000017_000003	The pathways of cliffs ordinarily imply a not very inviting declivity; they offer themselves less as a road than as a fall; they sink rather than incline.	The pathways of cliffs ordinarily imply a not very inviting declivity; they offer themselves less as a road than as a fall; they sink rather than incline.
5123_34572_000018_000000	Excepting the movement of embarkation which was being made in the creek, a movement visibly scared and uneasy, all around was solitude; no step, no noise, no breath was heard.	Excepting the movement of embarkation which was being made in the creek, a movement visibly scared and uneasy, all around was solitude; no step, no noise, no breath was heard.
5123_34572_000018_000001	At the other side of the roads, at the entrance of Ringstead Bay, you could just perceive a flotilla of shark-fishing boats, which were evidently out of their reckoning.	At the other side of the roads, at the entrance of Ringstead Bay, you could just perceive a flotilla of shark fishing boats, which were evidently out of their reckoning.
5123_34572_000018_000004	They had just taken refuge in the anchorage of Portland--a sign of bad weather expected and danger out at sea.	They had just taken refuge in the anchorage of Portland-a sign of bad weather expected and danger out at sea.
5123_34572_000020_000001	They formed a busy and confused group, in rapid movement on the shore.	They formed a busy and confused group, in rapid movement on the shore.
5123_34572_000020_000002	To distinguish one from another was difficult; impossible to tell whether they were old or young.	To distinguish one from another was difficult; impossible to tell whether they were old or young.
5123_34572_000020_000003	The indistinctness of evening intermixed and blurred them; the mask of shadow was over their faces.	The indistinctness of evening intermixed and blurred them; the mask of shadow was over their faces.
5123_34572_000020_000004	They were sketches in the night.	They were sketches in the night.
