1160_134674_000000_000000	[Footnote 150: Ammianus (xxix.	[Footnote one hundred fifty: Ammianus (x x i x.	false	0	3.36	14.9761915
1160_134674_000002_000006	The severe condemnation of the murder of Gabinius, was the only measure which could restore the confidence of the Germans, and vindicate the honor of the Roman name.	The severe condemnation of the murder of Gabinius, was the only measure which could restore the confidence of the Germans, and vindicate the honor of the Roman name.	true	112.82	124.69	19
1160_134674_000002_000007	But the haughty monarch was incapable of the magnanimity which dares to acknowledge a fault.	But the haughty monarch was incapable of the magnanimity which dares to acknowledge a fault.	true	124.85	131.775	20.308954
1160_134674_000002_000008	He forgot the provocation, remembered only the injury, and advanced into the country of the Quadi with an insatiate thirst of blood and revenge.	He forgot the provocation, remembered only the injury, and advanced into the country of the Quadi with an insatiate thirst of blood and revenge.	true	131.775	141.64	19
1160_134674_000002_000009	The extreme devastation, and promiscuous massacre, of a savage war, were justified, in the eyes of the emperor, and perhaps in those of the world, by the cruel equity of retaliation: [153] and such was the discipline of the Romans, and the consternation of the enemy, that Valentinian repassed the Danube without the loss of a single man.	The extreme devastation, and promiscuous massacre, of a savage war, were justified, in the eyes of the emperor, and perhaps in those of the world, by the cruel equity of retaliation: [one hundred fifty three] and such was the discipline of the romans, and the consternation of the enemy, that Valentinian repassed the Danube without the loss of a single man.	false	141.89	164.94	19
1160_134674_000002_000010	As he had resolved to complete the destruction of the Quadi by a second campaign, he fixed his winter quarters at Bregetio, on the Danube, near the Hungarian city of Presburg.	As he had resolved to complete the destruction of the Quadi by a second campaign, he fixed his winter quarters at Bregetio, on the Danube, near the Hungarian city of Presburg.	false	164.94	177.585	20.111012
1160_134674_000002_000011	While the operations of war were suspended by the severity of the weather, the Quadi made an humble attempt to deprecate the wrath of their conqueror; and, at the earnest persuasion of Equitius, their ambassadors were introduced into the Imperial council.	While the operations of war were suspended by the severity of the weather, the Quadi made an humble attempt to deprecate the wrath of their conqueror; and, at the earnest persuasion of Equitius, their ambassadors were introduced into the Imperial council.	false	177.585	192.82	16
1160_134674_000002_000012	They approached the throne with bended bodies and dejected countenances; and without daring to complain of the murder of their king, they affirmed, with solemn oaths, that the late invasion was the crime of some irregular robbers, which the public council of the nation condemned and abhorred.	They approached the throne with bended bodies and dejected countenances; and without daring to complain of the murder of their king, they affirmed, with solemn oaths, that the late invasion was the crime of some irregular robbers, which the public council of the nation condemned and abhorred.	false	193.13	210.28	17
1160_134674_000002_000013	The answer of the emperor left them but little to hope from his clemency or compassion.	The answer of the emperor left them but little to hope from his clemency or compassion.	true	210.56	215.8	17
1160_134674_000002_000014	He reviled, in the most intemperate language, their baseness, their ingratitude, their insolence.	He reviled, in the most intemperate language, their baseness, their ingratitude, their insolence.	true	216.08	222.28	20
1160_134674_000002_000015	His eyes, his voice, his color, his gestures, expressed the violence of his ungoverned fury; and while his whole frame was agitated with convulsive passion, a large blood vessel suddenly burst in his body; and Valentinian fell speechless into the arms of his attendants.	His eyes, his voice, his color, his gestures, expressed the violence of his ungoverned fury; and while his whole frame was agitated with convulsive passion, a large blood vessel suddenly burst in his body; and Valentinian fell speechless into the arms of his attendants.	true	222.44	240.55	18
1160_134674_000002_000016	Their pious care immediately concealed his situation from the crowd; but, in a few minutes, the emperor of the West expired in an agony of pain, retaining his senses till the last; and struggling, without success, to declare his intentions to the generals and ministers, who surrounded the royal couch.	Their pious care immediately concealed his situation from the crowd; but, in a few minutes, the emperor of the West expired in an agony of pain, retaining his senses till the last; and struggling, without success, to declare his intentions to the generals and ministers, who surrounded the royal couch.	true	240.77	259.72	18
1160_134674_000002_000017	Valentinian was about fifty-four years of age; and he wanted only one hundred days to accomplish the twelve years of his reign.	Valentinian was about fifty four years of age; and he wanted only one hundred days to accomplish the twelve years of his reign.	true	259.79	267.78	17
1160_134674_000002_000018	[154]	[one hundred fifty four]	false	267.78	267.96	-20
1160_134674_000003_000000	[Footnote 151: Ammianus, (xxx.	[Footnote one hundred fifty one: Ammianus, (x x x.	false	267.96	268.38	-20
1160_134674_000003_000001	5,) who acknowledges the merit, has censured, with becoming asperity, the oppressive administration of Petronius Probus.	five,) who acknowledges the merit, has censured, with becoming asperity, the oppressive administration of Petronius Probus.	false	268.38	268.65	16
1160_134674_000003_000002	When Jerom translated and continued the Chronicle of Eusebius, (A.	When Jerom translated and continued the Chronicle of Eusebius, (A.	false	268.65	268.65	
1160_134674_000003_000003	D. 380; see Tillemont, Mem.	D. three hundred eighty; see Tillemont, Mem.	false	268.65	268.65	
1160_134674_000003_000004	Eccles.	Eccles.	false	268.65	268.65	
1160_134674_000003_000005	tom. xii.	tom. x i i.	false	268.65	268.65	
1160_134674_000003_000006	p. 53, 626,) he expressed the truth, or at least the public opinion of his country, in the following words: "Probus P. P. Illyrici inquissimus tributorum exactionibus, ante provincias quas regebat, quam a Barbaris vastarentur, erasit." (Chron. edit.	p. fifty three, six hundred twenty six,) he expressed the truth, or at least the public opinion of his country, in the following words: "Probus p p Illyrici inquissimus tributorum exactionibus, ante provincias quas regebat, quam a Barbaris vastarentur, erasit." (Chron. edit.	false	268.65	268.65	
1160_134674_000003_000007	Scaliger, p. 187.	Scaliger, p. one hundred eighty seven.	false	268.65	268.65	
1160_134674_000003_000008	Animadvers p. 259.) The Saint afterwards formed an intimate and tender friendship with the widow of Probus; and the name of Count Equitius with less propriety, but without much injustice, has been substituted in the text.]	Animadvers p. two hundred fifty nine.) The Saint afterwards formed an intimate and tender friendship with the widow of Probus; and the name of Count Equitius with less propriety, but without much injustice, has been substituted in the text.]	false	268.65	268.65	
1160_134674_000004_000000	[Footnote 152: Julian (Orat. vi.	[Footnote one hundred fifty two: Julian (Orat. vi.	false	268.65	268.65	
1160_134674_000004_000001	p. 198) represents his friend Iphicles, as a man of virtue and merit, who had made himself ridiculous and unhappy by adopting the extravagant dress and manners of the Cynics.]	p. one hundred ninety eight) represents his friend Iphicles, as a man of virtue and merit, who had made himself ridiculous and unhappy by adopting the extravagant dress and manners of the Cynics.]	false	268.65	268.65	
1160_134674_000005_000000	[Footnote 153: Ammian. xxx.	[Footnote one hundred fifty three: Ammian. x x x.	false	268.65	268.65	
1160_134674_000005_000001	v.	v.	false	268.65	268.65	
1160_134674_000005_000002	Jerom, who exaggerates the misfortune of Valentinian, refuses him even this last consolation of revenge.	Jerom, who exaggerates the misfortune of Valentinian, refuses him even this last consolation of revenge.	false	268.65	268.65	
1160_134674_000005_000003	Genitali vastato solo et inultam patriam derelinquens, (tom.	Genitali vastato solo et inultam patriam derelinquens, (tom.	false	268.65	268.65	
1160_134674_000005_000004	i.	i.	false	268.65	268.65	
1160_134674_000005_000005	p. 26.)]	p. twenty six.)]	false	268.65	268.65	
1160_134674_000006_000000	[Footnote 154: See, on the death of Valentinian, Ammianus, (xxx.	[Footnote one hundred fifty four: See, on the death of Valentinian, Ammianus, (x x x.	false	268.65	268.65	
1160_134674_000006_000001	6,) Zosimus, (l. iv.	six,) Zosimus, (l. i v.	false	268.65	268.65	
1160_134674_000006_000002	p. 221,) Victor, (in Epitom.,) Socrates, (l. iv.	p. two hundred twenty one,) Victor, (in Epitom.,) Socrates, (l. i v.	false	268.65	268.65	
1160_134674_000006_000003	c. 31,) and Jerom, (in Chron.	c. thirty one,) and Jerom, (in Chron.	false	268.65	268.65	
1160_134674_000006_000004	p. 187, and tom.	p. one hundred eighty seven, and tom.	false	268.65	268.65	
1160_134674_000006_000005	i.	i.	false	268.65	268.65	
1160_134674_000006_000006	p. 26, ad Heliodor.) There is much variety of circumstances among them; and Ammianus is so eloquent, that he writes nonsense.]	p. twenty six, ad Heliodor.) There is much variety of circumstances among them; and Ammianus is so eloquent, that he writes nonsense.]	false	268.65	268.65	
1160_134674_000007_000000	The polygamy of Valentinian is seriously attested by an ecclesiastical historian.	The polygamy of Valentinian is seriously attested by an ecclesiastical historian.	false	268.65	274.05	16
1160_134674_000007_000001	[155] "The empress Severa (I relate the fable) admitted into her familiar society the lovely Justina, the daughter of an Italian governor: her admiration of those naked charms, which she had often seen in the bath, was expressed with such lavish and imprudent praise, that the emperor was tempted to introduce a second wife into his bed; and his public edict extended to all the subjects of the empire the same domestic privilege which he had assumed for himself." But we may be assured, from the evidence of reason as well as history, that the two marriages of Valentinian, with Severa, and with Justina, were successively contracted; and that he used the ancient permission of divorce, which was still allowed by the laws, though it was condemned by the church Severa was the mother of Gratian, who seemed to unite every claim which could entitle him to the undoubted succession of the Western empire.	[one hundred fifty five] "The empress Severa (I relate the fable) admitted into her familiar society the lovely Justina, the daughter of an Italian governor: her admiration of those naked charms, which she had often seen in the bath, was expressed with such lavish and imprudent praise, that the emperor was tempted to introduce a second wife into his bed; and his public edict extended to all the subjects of the empire the same domestic privilege which he had assumed for himself." But we may be assured, from the evidence of reason as well as history, that the two marriages of Valentinian, with Severa, and with Justina, were successively contracted; and that he used the ancient permission of divorce, which was still allowed by the laws, though it was condemned by the church Severa was the mother of Gratian, who seemed to unite every claim which could entitle him to the undoubted succession of the Western empire.	false	274.05	335.23	19.772224
1160_134674_000007_000002	He was the eldest son of a monarch whose glorious reign had confirmed the free and honorable choice of his fellow-soldiers.	He was the eldest son of a monarch whose glorious reign had confirmed the free and honorable choice of his fellow soldiers.	true	335.33	342.58	16
1160_134674_000007_000003	Before he had attained the ninth year of his age, the royal youth received from the hands of his indulgent father the purple robe and diadem, with the title of Augustus; the election was solemnly ratified by the consent and applause of the armies of Gaul; [156] and the name of Gratian was added to the names of Valentinian and Valens, in all the legal transactions of the Roman government.	Before he had attained the ninth year of his age, the royal youth received from the hands of his indulgent father the purple robe and diadem, with the title of Augustus; the election was solemnly ratified by the consent and applause of the armies of Gaul; [one hundred fifty six] and the name of Gratian was added to the names of Valentinian and Valens, in all the legal transactions of the Roman government.	false	342.89	365.68	16
1160_134674_000007_000004	By his marriage with the granddaughter of Constantine, the son of Valentinian acquired all the hereditary rights of the Flavian family; which, in a series of three Imperial generations, were sanctified by time, religion, and the reverence of the people.	By his marriage with the granddaughter of Constantine, the son of Valentinian acquired all the hereditary rights of the Flavian family; which, in a series of three Imperial generations, were sanctified by time, religion, and the reverence of the people.	true	365.84	382.18	18
1160_134674_000007_000005	At the death of his father, the royal youth was in the seventeenth year of his age; and his virtues already justified the favorable opinion of the army and the people.	At the death of his father, the royal youth was in the seventeenth year of his age; and his virtues already justified the favorable opinion of the army and the people.	true	382.22	392.98	18
1160_134674_000007_000006	But Gratian resided, without apprehension, in the palace of Treves; whilst, at the distance of many hundred miles, Valentinian suddenly expired in the camp of Bregetio.	But Gratian resided, without apprehension, in the palace of Treves; whilst, at the distance of many hundred miles, Valentinian suddenly expired in the camp of Bregetio.	false	393.11	406.44	19.841288
1160_134674_000007_000007	The passions, which had been so long suppressed by the presence of a master, immediately revived in the Imperial council; and the ambitious design of reigning in the name of an infant, was artfully executed by Mellobaudes and Equitius, who commanded the attachment of the Illyrian and Italian bands.	The passions, which had been so long suppressed by the presence of a master, immediately revived in the Imperial council; and the ambitious design of reigning in the name of an infant, was artfully executed by Mellobaudes and Equitius, who commanded the attachment of the Illyrian and Italian bands.	false	406.44	428.38	19.894459
1160_134674_000007_000008	They contrived the most honorable pretences to remove the popular leaders, and the troops of Gaul, who might have asserted the claims of the lawful successor; they suggested the necessity of extinguishing the hopes of foreign and domestic enemies, by a bold and decisive measure. The empress Justina, who had been left in a palace about one hundred miles from Bregetio, was respectively invited to appear in the camp, with the son of the deceased emperor.	They contrived the most honorable pretences to remove the popular leaders, and the troops of Gaul, who might have asserted the claims of the lawful successor; they suggested the necessity of extinguishing the hopes of foreign and domestic enemies, by a bold and decisive measure. The empress Justina, who had been left in a palace about one hundred miles from Bregetio, was respectively invited to appear in the camp, with the son of the deceased emperor.	false	428.72	457.54	19
1160_134674_000007_000009	On the sixth day after the death of Valentinian, the infant prince of the same name, who was only four years old, was shown, in the arms of his mother, to the legions; and solemnly invested, by military acclamation, with the titles and ensigns of supreme power.	On the sixth day after the death of Valentinian, the infant prince of the same name, who was only four years old, was shown, in the arms of his mother, to the legions; and solemnly invested, by military acclamation, with the titles and ensigns of supreme power.	true	457.7	474.43	18
1160_134674_000007_000010	The impending dangers of a civil war were seasonably prevented by the wise and moderate conduct of the emperor Gratian.	The impending dangers of a civil war were seasonably prevented by the wise and moderate conduct of the emperor Gratian.	false	474.71	482.5	18
1160_134674_000007_000011	He cheerfully accepted the choice of the army; declared that he should always consider the son of Justina as a brother, not as a rival; and advised the empress, with her son Valentinian to fix their residence at Milan, in the fair and peaceful province of Italy; while he assumed the more arduous command of the countries beyond the Alps.	He cheerfully accepted the choice of the army; declared that he should always consider the son of Justina as a brother, not as a rival; and advised the empress, with her son Valentinian to fix their residence at Milan, in the fair and peaceful province of Italy; while he assumed the more arduous command of the countries beyond the Alps.	true	482.75	503.28	18
1160_134674_000007_000012	Gratian dissembled his resentment till he could safely punish, or disgrace, the authors of the conspiracy; and though he uniformly behaved with tenderness and regard to his infant colleague, he gradually confounded, in the administration of the Western empire, the office of a guardian with the authority of a sovereign.	Gratian dissembled his resentment till he could safely punish, or disgrace, the authors of the conspiracy; and though he uniformly behaved with tenderness and regard to his infant colleague, he gradually confounded, in the administration of the Western empire, the office of a guardian with the authority of a sovereign.	false	503.28	524.65	18
1160_134674_000007_000013	The government of the Roman world was exercised in the united names of Valens and his two nephews; but the feeble emperor of the East, who succeeded to the rank of his elder brother, never obtained any weight or influence in the councils of the West. [157]	The government of the Roman world was exercised in the united names of Valens and his two nephews; but the feeble emperor of the East, who succeeded to the rank of his elder brother, never obtained any weight or influence in the councils of the West. [one hundred fifty seven]	false	524.99	546.21	19.905045
