3157_68361_000001_000000	CHAPTER XIX	CHAPTER nineteen
3157_68361_000016_000002	Here where there are millions of coffee trees, fields of sugar cane and orchards of oranges, lemons and all kinds of tropical fruit, where the farmer could be happiest, he is about the most miserable creature that could be found.	Here where there are millions of coffee trees, fields of sugar cane and orchards of oranges, lemons and all kinds of tropical fruit, where the farmer could be happiest, he is about the most miserable creature that could be found.
3157_68361_000016_000003	In his miserable home he has no lamp or candle, no books or papers of any sort.	In his miserable home he has no lamp or candle, no books or papers of any sort.
3157_68361_000017_000001	This is asphalt, or mineral pitch as it is sometimes called.	This is asphalt, or mineral pitch as it is sometimes called.
3157_68361_000017_000002	This makes the smoothest street paving of any material known.	This makes the smoothest street paving of any material known.
3157_68361_000017_000003	It is also used extensively for calking vessels, making waterproof roofs, lining cold storage plants, making varnishes as well as shoe blacking as well as in a hundred other ways.	It is also used extensively for calking vessels, making waterproof roofs, lining cold storage plants, making varnishes as well as shoe blacking as well as in a hundred other ways.
3157_68361_000018_000000	At the mouth of the Orinoco river is the Island of Trinidad upon which is the famous pitch lake.	At the mouth of the Orinoco river is the Island of Trinidad upon which is the famous pitch lake.
3157_68361_000018_000001	This is the most noted deposit of asphalt known.	This is the most noted deposit of asphalt known.
3157_68361_000018_000002	This lake is a mile and a half across and looks, from a distance, like a pond surrounded with trees.	This lake is a mile and a half across and looks, from a distance, like a pond surrounded with trees.
3157_68361_000019_000000	This material is of a dark green color and at the border is hard and strong enough to bear quite a heavy weight, but near the center it is almost like a boiling mass.	This material is of a dark green color and at the border is hard and strong enough to bear quite a heavy weight, but near the center it is almost like a boiling mass.
3157_68361_000019_000001	The asphalt is dug from the edges of the lake, loaded on carts, hauled to the port and from there shipped to nearly every country on the globe.	The asphalt is dug from the edges of the lake, loaded on carts, hauled to the port and from there shipped to nearly every country on the globe.
3157_68361_000019_000002	Two hundred thousand tons per year have been taken from the lake and yet there is no hole to be seen.	Two hundred thousand tons per year have been taken from the lake and yet there is no hole to be seen.
3157_68361_000020_000000	The government of Trinidad has leased the asphalt lake to an American company and the income amounts to nearly a quarter of a million dollars per year.	The government of Trinidad has leased the asphalt lake to an American company and the income amounts to nearly a quarter of a million dollars per year.
3157_68361_000020_000001	Nobody knows how deep the asphalt bed is for borings have been made a hundred feet or more deep and there was no bottom.	Nobody knows how deep the asphalt bed is for borings have been made a hundred feet or more deep and there was no bottom.
3157_68361_000020_000002	The heat is intense all around this lake.	The heat is intense all around this lake.
3157_68361_000021_000001	Some believe that the two deposits are connected by a subterranean passage and supplied from the same source.	Some believe that the two deposits are connected by a subterranean passage and supplied from the same source.
3157_68361_000021_000002	It was from this inland lake of asphalt that the material was procured to protect the New York subway tunnels from moisture, so it is said.	It was from this inland lake of asphalt that the material was procured to protect the New York subway tunnels from moisture, so it is said.
3157_68361_000022_000001	The chief industry here is cattle raising.	The chief industry here is cattle raising.
3157_68361_000022_000002	More than two million head of cattle feed, upon these llanos, but they are capable of feeding many times that number.	More than two million head of cattle feed, upon these llanos, but they are capable of feeding many times that number.
3157_68361_000023_000000	One reason why the people of this country have no ambition to lay up for the future or even get large herds of cattle has been because of the numerous revolutions of the past.	One reason why the people of this country have no ambition to lay up for the future or even get large herds of cattle has been because of the numerous revolutions of the past.
3157_68361_000023_000001	Every time they have succeeded in getting large herds of cattle or stores of grain a revolution would come and their property be seized and often destroyed.	Every time they have succeeded in getting large herds of cattle or stores of grain a revolution would come and their property be seized and often destroyed.
3157_68361_000024_000000	No people can be prosperous and happy without a stable government, schools and colleges and the influences that are uplifting.	No people can be prosperous and happy without a stable government, schools and colleges and the influences that are uplifting.
3157_68361_000024_000001	This is the great need of many of the countries of South America today.	This is the great need of many of the countries of South America today.
3157_68361_000024_000002	Just here it is well for the farmers of this country to congratulate themselves.	Just here it is well for the farmers of this country to congratulate themselves.
3157_68361_000025_000000	It is therefore with pride that one can say that considering all the complex problems with which the American farmer has to grapple, he is a hundred times better off than his brother farmers in any country in the world.	It is therefore with pride that one can say that considering all the complex problems with which the American farmer has to grapple, he is a hundred times better off than his brother farmers in any country in the world.
