3540_163612_000005_000000	THE ENCHANTED CANARY	THE ENCHANTED CANARY
3540_163612_000059_000001	'If only these oranges were real fruit--fruit as refreshing as what I ate in Flanders!	'If only these oranges were real fruit-fruit as refreshing as what I ate in Flanders!
3540_163612_000059_000002	And, after all, who knows?'	And, after all, who knows?'
3540_163612_000060_000000	This idea put some life into him.	This idea put some life into him.
3540_163612_000060_000001	He had the strength to lift himself up and put his hand into his bag.	He had the strength to lift himself up and put his hand into his bag.
3540_163612_000060_000002	He drew out an orange and opened it with his knife.	He drew out an orange and opened it with his knife.
3540_163612_000061_000000	Out of it flew the prettiest little female canary that ever was seen.	Out of it flew the prettiest little female canary that ever was seen.
3540_163612_000062_000000	'Give me something to drink, I am dying of thirst,' said the golden bird.	'Give me something to drink, I am dying of thirst,' said the golden bird.
3540_163612_000063_000001	Out of it flew another canary, and she too began to cry:	Out of it flew another canary, and she too began to cry:
3540_163612_000064_000000	'I am dying of thirst; give me something to drink.'	'I am dying of thirst; give me something to drink.'
3540_163612_000065_000000	Then Tubby's son saw his folly, and while the two canaries flew away he sank on the ground, where, exhausted by his last effort, he lay unconscious.	Then Tubby's son saw his folly, and while the two canaries flew away he sank on the ground, where, exhausted by his last effort, he lay unconscious.
3540_163612_000066_000000	VII	seven
3540_163612_000067_000000	When he came to himself, he had a pleasant feeling of freshness all about him.	When he came to himself, he had a pleasant feeling of freshness all about him.
3540_163612_000067_000001	It was night, the sky was sparkling with stars, and the earth was covered with a heavy dew.	It was night, the sky was sparkling with stars, and the earth was covered with a heavy dew.
3540_163612_000068_000000	The traveller having recovered, mounted his horse, and at the first streak of dawn he saw a stream dancing in front of him, and stooped down and drank his fill.	The traveller having recovered, mounted his horse, and at the first streak of dawn he saw a stream dancing in front of him, and stooped down and drank his fill.
3540_163612_000069_000000	He hardly had courage to open his last orange.	He hardly had courage to open his last orange.
3540_163612_000069_000001	Then he remembered that the night before he had disobeyed the orders of the old man.	Then he remembered that the night before he had disobeyed the orders of the old man.
3540_163612_000069_000002	Perhaps his terrible thirst was a trick of the cunning witch, and suppose, even though he opened the orange on the banks of the stream, that he did not find in it the princess that he sought?	Perhaps his terrible thirst was a trick of the cunning witch, and suppose, even though he opened the orange on the banks of the stream, that he did not find in it the princess that he sought?
3540_163612_000070_000000	He took his knife and cut it open.	He took his knife and cut it open.
3540_163612_000070_000001	Alas! out of it flew a little canary, just like the others, who cried:	Alas! out of it flew a little canary, just like the others, who cried:
3540_163612_000071_000000	'I am thirsty; give me something to drink.'	'I am thirsty; give me something to drink.'
3540_163612_000072_000001	However, he was determined not to let this bird fly away; so he took up some water in the palm of his hand and held it to its beak.	However, he was determined not to let this bird fly away; so he took up some water in the palm of his hand and held it to its beak.
3540_163612_000073_000000	Scarcely had the canary drunk when she became a beautiful girl, tall and straight as a poplar tree, with black eyes and a golden skin.	Scarcely had the canary drunk when she became a beautiful girl, tall and straight as a poplar tree, with black eyes and a golden skin.
3540_163612_000074_000000	On her side she seemed quite bewildered, but she looked about her with happy eyes, and was not at all afraid of her deliverer.	On her side she seemed quite bewildered, but she looked about her with happy eyes, and was not at all afraid of her deliverer.
3540_163612_000075_000000	He asked her name.	He asked her name.
3540_163612_000075_000001	She answered that she was called the Princess Zizi; she was about sixteen years old, and for ten years of that time the witch had kept her shut up in an orange, in the shape of a canary.	She answered that she was called the Princess Zizi; she was about sixteen years old, and for ten years of that time the witch had kept her shut up in an orange, in the shape of a canary.
3540_163612_000076_000000	'Well, then, my charming Zizi,' said the young Prince, who was longing to marry her, 'let us ride away quickly so as to escape from the wicked witch.'	'Well, then, my charming Zizi,' said the young Prince, who was longing to marry her, 'let us ride away quickly so as to escape from the wicked witch.'
3540_163612_000078_000000	'To my father's castle,' he said.	'To my father's castle,' he said.
3540_163612_000079_000000	He mounted his horse and took her in front of him, and, holding her carefully in his arms, they began their journey.	He mounted his horse and took her in front of him, and, holding her carefully in his arms, they began their journey.
3540_163612_000080_000000	VIII	eight
3540_163612_000081_000002	It is so delightful to teach those one loves!	It is so delightful to teach those one loves!
3540_163612_000082_000000	Once she inquired what the girls in his country were like.	Once she inquired what the girls in his country were like.
3540_163612_000083_000000	'They are pink and white,' he replied, 'and their eyes are blue.'	'They are pink and white,' he replied, 'and their eyes are blue.'
3540_163612_000085_000000	'And no doubt,' went on the Princess, 'one of them is your intended bride?'	'And no doubt,' went on the Princess, 'one of them is your intended bride?'
3540_163612_000086_000000	Still he was silent, and Zizi drew herself up proudly.	Still he was silent, and Zizi drew herself up proudly.
3540_163612_000087_000000	'No,' he said at last.	'No,' he said at last.
3540_163612_000087_000001	'None of the girls of my own country are beautiful in my eyes, and that is why I came to look for a wife in the land of the sun.	'None of the girls of my own country are beautiful in my eyes, and that is why I came to look for a wife in the land of the sun
3540_163612_000087_000002	Was I wrong, my lovely Zizi?'	Was I wrong, my lovely Zizi?'
3540_163612_000088_000000	This time it was Zizi's turn to be silent.	This time it was Zizi's turn to be silent.
3540_163612_000090_000001	When they were about four stone-throws from the gates they dismounted in the forest, by the edge of a fountain.	When they were about four stone throws from the gates they dismounted in the forest, by the edge of a fountain.
3540_163612_000091_000000	'My dear Zizi,' said Tubby's son, 'we cannot present ourselves before my father like two common people who have come back from a walk.	'My dear Zizi,' said Tubby's son, 'we cannot present ourselves before my father like two common people who have come back from a walk.
3540_163612_000091_000001	We must enter the castle with more ceremony.	We must enter the castle with more ceremony.
3540_163612_000091_000002	Wait for me here, and in an hour I will return with carriages and horses fit for a princess.'	Wait for me here, and in an hour I will return with carriages and horses fit for a princess.'
3540_163612_000092_000000	'Don't be long,' replied Zizi, and she watched him go with wistful eyes.	'Don't be long,' replied Zizi, and she watched him go with wistful eyes.
3540_163612_000093_000000	When she was left by herself the poor girl began to feel afraid.	When she was left by herself the poor girl began to feel afraid.
3540_163612_000093_000001	She was alone for the first time in her life, and in the middle of a thick forest.	She was alone for the first time in her life, and in the middle of a thick forest.
3540_163612_000094_000000	Suddenly she heard a noise among the trees.	Suddenly she heard a noise among the trees.
3540_163612_000094_000001	Fearing lest it should be a wolf, she hid herself in the hollow trunk of a willow tree which hung over the fountain.	Fearing lest it should be a wolf, she hid herself in the hollow trunk of a willow tree which hung over the fountain.
3540_163612_000094_000002	It was big enough to hold her altogether, but she peeped out, and her pretty head was reflected in the clear water.	It was big enough to hold her altogether, but she peeped out, and her pretty head was reflected in the clear water.
3540_163612_000095_000000	Then there appeared, not a wolf, but a creature quite as wicked and quite as ugly.	Then there appeared, not a wolf, but a creature quite as wicked and quite as ugly.
3540_163612_000095_000001	Let us see who this creature was.	Let us see who this creature was.
3540_163612_000097_000001	Now, fifteen years before this time, the father in walking through the forest found a little girl, who had been deserted by the gypsies.	Now, fifteen years before this time, the father in walking through the forest found a little girl, who had been deserted by the gypsies.
3540_163612_000097_000002	He carried her home to his wife, and the good woman was sorry for her, and brought her up with her own sons.	He carried her home to his wife, and the good woman was sorry for her, and brought her up with her own sons.
3540_163612_000097_000003	As she grew older, the little gypsy became much more remarkable for strength and cunning than for sense or beauty. She had a low forehead, a flat nose, thick lips, coarse hair, and a skin not golden like that of Zizi, but the colour of clay.	As she grew older, the little gypsy became much more remarkable for strength and cunning than for sense or beauty. She had a low forehead, a flat nose, thick lips, coarse hair, and a skin not golden like that of Zizi, but the colour of clay.
3540_163612_000098_000000	As she was always being teased about her complexion, she got as noisy and cross as a titmouse.	As she was always being teased about her complexion, she got as noisy and cross as a titmouse.
3540_163612_000098_000001	So they used to call her Titty.	So they used to call her Titty.
3540_163612_000099_000000	Titty was often sent by the bricklayer to fetch water from the fountain, and as she was very proud and lazy the gypsy disliked this very much.	Titty was often sent by the bricklayer to fetch water from the fountain, and as she was very proud and lazy the gypsy disliked this very much.
3540_163612_000100_000000	It was she who had frightened Zizi by appearing with her pitcher on her shoulder.	It was she who had frightened Zizi by appearing with her pitcher on her shoulder.
3540_163612_000100_000001	Just as she was stooping to fill it, she saw reflected in the water the lovely image of the Princess.	Just as she was stooping to fill it, she saw reflected in the water the lovely image of the Princess.
3540_163612_000101_000000	'What a pretty face!' she exclaimed, 'Why, it must be mine!	'What a pretty face!' she exclaimed, 'Why, it must be mine!
3540_163612_000101_000001	How in the world can they call me ugly?	How in the world can they call me ugly?
3540_163612_000101_000002	I am certainly much too pretty to be their water carrier!'	I am certainly much too pretty to be their water carrier!'
3540_163612_000102_000000	So saying, she broke her pitcher and went home.	So saying, she broke her pitcher and went home.
3540_163612_000103_000000	'Where is your pitcher?' asked the bricklayer.	'Where is your pitcher?' asked the bricklayer.
3540_163612_000104_000000	'Well, what do you expect?	'Well, what do you expect?
3540_163612_000104_000001	The pitcher may go many times to the well....'	The pitcher may go many times to the well....'
3540_163612_000105_000000	'But at last it is broken.	'But at last it is broken.
3540_163612_000105_000001	Well, here is a bucket that will not break.'	Well, here is a bucket that will not break.'
3540_163612_000106_000000	The gypsy returned to the fountain, and addressing once more the image of Zizi, she said:	The gypsy returned to the fountain, and addressing once more the image of Zizi, she said:
3540_163612_000107_000000	'No; I don't mean to be a beast of burden any longer.' And she flung the bucket so high in the air that it stuck in the branches of an oak.	'No; I don't mean to be a beast of burden any longer.' And she flung the bucket so high in the air that it stuck in the branches of an oak.
3540_163612_000108_000000	'I met a wolf,' she told the bricklayer, 'and I broke the bucket across his nose.'	'I met a wolf,' she told the bricklayer, 'and I broke the bucket across his nose.'
3540_163612_000109_000000	The bricklayer asked her no more questions, but took down a broom and gave her such a beating that her pride was humbled a little.	The bricklayer asked her no more questions, but took down a broom and gave her such a beating that her pride was humbled a little.
3540_163612_000113_000001	It was not at all easy to fill the milk-can, which was large and round.	It was not at all easy to fill the milk can, which was large and round.
3540_163612_000113_000002	It would not go down into the well, and the gypsy had to try again and again.	It would not go down into the well, and the gypsy had to try again and again.
3540_163612_000114_000000	At last her arms grew so tired that when she did manage to get the can properly under the water she had no strength to pull it up, and it rolled to the bottom.	At last her arms grew so tired that when she did manage to get the can properly under the water she had no strength to pull it up, and it rolled to the bottom.
3540_163612_000115_000000	On seeing the can disappear, she made such a miserable face that Zizi, who had been watching her all this time, burst into fits of laughter.	On seeing the can disappear, she made such a miserable face that Zizi, who had been watching her all this time, burst into fits of laughter.
3540_163612_000116_000000	Titty turned round and perceived the mistake she had made; and she felt so angry that she made up her mind to be revenged at once.	Titty turned round and perceived the mistake she had made; and she felt so angry that she made up her mind to be revenged at once.
3540_163612_000117_000000	'What are you doing there, you lovely creature?' she said to Zizi.	'What are you doing there, you lovely creature?' she said to Zizi.
3540_163612_000118_000000	'I am waiting for my lover,' Zizi replied; and then, with a simplicity quite natural in a girl who so lately had been a canary, she told all her story.	'I am waiting for my lover,' Zizi replied; and then, with a simplicity quite natural in a girl who so lately had been a canary, she told all her story.
3540_163612_000119_000000	The gypsy had often seen the young Prince pass by, with his gun on his shoulder, when he was going after crows.	The gypsy had often seen the young Prince pass by, with his gun on his shoulder, when he was going after crows.
3540_163612_000119_000001	She was too ugly and ragged for him ever to have noticed her, but Titty on her side had admired him, though she thought he might well have been a little fatter.	She was too ugly and ragged for him ever to have noticed her, but Titty on her side had admired him, though she thought he might well have been a little fatter.
3540_163612_000120_000000	'Dear, dear!' she said to herself.	'Dear, dear!' she said to herself.
3540_163612_000120_000001	'So he likes yellow women!	'So he likes yellow women!
3540_163612_000120_000002	Why, I am yellow too, and if I could only think of a way----'	Why, I am yellow too, and if I could only think of a way----'
3540_163612_000121_000000	It was not long before she did think of it.	It was not long before she did think of it.
3540_163612_000122_000001	Get down at once, my poor child, and let me dress your hair for you!'	Get down at once, my poor child, and let me dress your hair for you!'
3540_163612_000123_000000	The innocent Zizi came down at once, and stood by Titty.	The innocent Zizi came down at once, and stood by Titty.
3540_163612_000123_000001	The gypsy began to comb her long brown locks, when suddenly she drew a pin from her stays, and, just as the titmouse digs its beak into the heads of linnets and larks, Titty dug the pin into the head of Zizi.	The gypsy began to comb her long brown locks, when suddenly she drew a pin from her stays, and, just as the titmouse digs its beak into the heads of linnets and larks, Titty dug the pin into the head of Zizi.
3540_163612_000124_000000	No sooner did Zizi feel the prick of the pin than she became a bird again, and, spreading her wings, she flew away.	No sooner did Zizi feel the prick of the pin than she became a bird again, and, spreading her wings, she flew away.
3540_163612_000125_000000	'That was neatly done,' said the gypsy.	'That was neatly done,' said the gypsy.
3540_163612_000126_000000	XII	twelve
3540_163612_000127_000000	Meanwhile the Prince was coming as fast as his horse could carry him. He was so impatient that he was always full fifty yards in front of the lords and ladies sent by Tubby to bring back Zizi.	Meanwhile the Prince was coming as fast as his horse could carry him. He was so impatient that he was always full fifty yards in front of the lords and ladies sent by Tubby to bring back Zizi.
3540_163612_000128_000000	At the sight of the hideous gypsy he was struck dumb with surprise and horror.	At the sight of the hideous gypsy he was struck dumb with surprise and horror.
3540_163612_000129_000000	'Ah me!' said Titty, 'so you don't know your poor Zizi?	'Ah me!' said Titty, 'so you don't know your poor Zizi?
3540_163612_000129_000001	While you were away the wicked witch came, and turned me into this.	While you were away the wicked witch came, and turned me into this.
3540_163612_000129_000002	But if you only have the courage to marry me I shall get back my beauty.' And she began to cry bitterly.	But if you only have the courage to marry me I shall get back my beauty.' And she began to cry bitterly.
3540_163612_000131_000000	'Poor girl,' he thought to himself.	'Poor girl,' he thought to himself.
3540_163612_000131_000001	'It is not her fault, after all, that she has grown so ugly, it is mine.	'It is not her fault, after all, that she has grown so ugly, it is mine.
3540_163612_000131_000002	Oh! why did I not follow the old man's advice?	Oh! why did I not follow the old man's advice?
3540_163612_000131_000003	Why did I leave her alone?	Why did I leave her alone?
3540_163612_000131_000004	And besides, it depends on me to break the spell, and I love her too much to let her remain like this.'	And besides, it depends on me to break the spell, and I love her too much to let her remain like this.'
3540_163612_000132_000000	So he presented the gypsy to the lords and ladies of the Court, explaining to them the terrible misfortune which had befallen his beautiful bride.	So he presented the gypsy to the lords and ladies of the Court, explaining to them the terrible misfortune which had befallen his beautiful bride.
3540_163612_000133_000000	They all pretended to believe it, and the ladies at once put on the false princess the rich dresses they had brought for Zizi.	They all pretended to believe it, and the ladies at once put on the false princess the rich dresses they had brought for Zizi.
3540_163612_000134_000000	She was then perched on the top of a magnificent ambling palfrey, and they set forth to the castle.	She was then perched on the top of a magnificent ambling palfrey, and they set forth to the castle.
3540_163612_000136_000000	Bells were pealing, chimes ringing, and the people filling the streets and standing at their doors to watch the procession go by, and they could hardly believe their eyes as they saw what a strange bride their Prince had chosen.	Bells were pealing, chimes ringing, and the people filling the streets and standing at their doors to watch the procession go by, and they could hardly believe their eyes as they saw what a strange bride their Prince had chosen.
