5093_29101_000003_000000	CHAPTER XX.	CHAPTER twenty.
5093_29101_000015_000000	"But, Colonel, the negro when educated will be more able to make his speculations fruitful."	"But, Colonel, the negro when educated will be more able to make his speculations fruitful."
5093_29101_000016_000000	"Never, sir, never.	"Never, sir, never.
5093_29101_000016_000001	He would only have a wider scope to injure himself. A niggro has no grasp, sir.	He would only have a wider scope to injure himself. A niggro has no grasp, sir.
5093_29101_000016_000002	Now, a white man can conceive great operations, and carry them out; a niggro can't."	Now, a white man can conceive great operations, and carry them out; a niggro can't."
5093_29101_000017_000000	"Still," replied the Senator, "granting that he might injure himself in a worldly point of view, his elevation through education would multiply his chances for the hereafter--which is the important thing after all, Colonel.	"Still," replied the Senator, "granting that he might injure himself in a worldly point of view, his elevation through education would multiply his chances for the hereafter-which is the important thing after all, Colonel.
5093_29101_000018_000000	"I'd elevate his soul," promptly responded the Colonel; "that's just it; you can't make his soul too immortal, but I wouldn't touch him, himself. Yes, sir! make his soul immortal, but don't disturb the niggro as he is."	"I'd elevate his soul," promptly responded the Colonel; "that's just it; you can't make his soul too immortal, but I wouldn't touch him, himself. Yes, sir! make his soul immortal, but don't disturb the niggro as he is."
5093_29101_000019_000000	Of course one of the entertainments offered the Senator was a public reception, held in the court house, at which he made a speech to his fellow citizens.	Of course one of the entertainments offered the Senator was a public reception, held in the court house, at which he made a speech to his fellow citizens.
5093_29101_000019_000004	Boswell.	Boswell.
5093_29101_000019_000005	The occasion was one to call out his finest powers of personal appearance, and one he long dwelt on with pleasure.	The occasion was one to call out his finest powers of personal appearance, and one he long dwelt on with pleasure.
5093_29101_000020_000000	This not being an edition of the Congressional Globe it is impossible to give Senator Dilworthy's speech in full.	This not being an edition of the Congressional Globe it is impossible to give Senator Dilworthy's speech in full.
5093_29101_000020_000001	He began somewhat as follows:	He began somewhat as follows:
5093_29101_000021_000000	"Fellow citizens: It gives me great pleasure to thus meet and mingle with you, to lay aside for a moment the heavy duties of an official and burdensome station, and confer in familiar converse with my friends in your great state.	"Fellow citizens: It gives me great pleasure to thus meet and mingle with you, to lay aside for a moment the heavy duties of an official and burdensome station, and confer in familiar converse with my friends in your great state.
5093_29101_000021_000001	The good opinion of my fellow citizens of all sections is the sweetest solace in all my anxieties.	The good opinion of my fellow citizens of all sections is the sweetest solace in all my anxieties.
5093_29101_000021_000003	Cries of "put him out."]	Cries of "put him out."]
5093_29101_000022_000000	"My friends, do not remove him.	"My friends, do not remove him.
5093_29101_000022_000002	I see that he is a victim of that evil which is swallowing up public virtue and sapping the foundation of society.	I see that he is a victim of that evil which is swallowing up public virtue and sapping the foundation of society.
5093_29101_000022_000003	As I was saying, when I can lay down the cares of office and retire to the sweets of private life in some such sweet, peaceful, intelligent, wide-awake and patriotic place as Hawkeye (applause).	As I was saying, when I can lay down the cares of office and retire to the sweets of private life in some such sweet, peaceful, intelligent, wide awake and patriotic place as Hawkeye (applause).
5093_29101_000022_000004	I have traveled much, I have seen all parts of our glorious union, but I have never seen a lovelier village than yours, or one that has more signs of commercial and industrial and religious prosperity--(more applause)."	I have traveled much, I have seen all parts of our glorious union, but I have never seen a lovelier village than yours, or one that has more signs of commercial and industrial and religious prosperity-(more applause)."
5093_29101_000023_000000	The Senator then launched into a sketch of our great country, and dwelt for an hour or more upon its prosperity and the dangers which threatened it.	The Senator then launched into a sketch of our great country, and dwelt for an hour or more upon its prosperity and the dangers which threatened it.
5093_29101_000025_000001	He and Mr. Brierly took the Senator over to Napoleon and opened to him their plan.	He and mr Brierly took the Senator over to Napoleon and opened to him their plan.
5093_29101_000025_000002	It was a plan that the Senator could understand without a great deal of explanation, for he seemed to be familiar with the like improvements elsewhere.	It was a plan that the Senator could understand without a great deal of explanation, for he seemed to be familiar with the like improvements elsewhere.
5093_29101_000025_000003	When, however, they reached Stone's Landing the Senator looked about him and inquired,	When, however, they reached Stone's Landing the Senator looked about him and inquired,
5093_29101_000026_000000	"Is this Napoleon?"	"Is this Napoleon?"
5093_29101_000027_000000	"This is the nucleus, the nucleus," said the Colonel, unrolling his map. "Here is the deepo, the church, the City Hall and so on."	"This is the nucleus, the nucleus," said the Colonel, unrolling his map. "Here is the deepo, the church, the City Hall and so on."
5093_29101_000028_000000	"Ah, I see.	"Ah, I see.
5093_29101_000028_000001	How far from here is Columbus River?	How far from here is Columbus River?
5093_29101_000028_000002	Does that stream empty----"	Does that stream empty----"
5093_29101_000029_000000	"That, why, that's Goose Run.	"That, why, that's Goose Run.
5093_29101_000030_000000	"Yes, sir," the Colonel hastened to explain, "in the old records Columbus River is called Goose Run.	"Yes, sir," the Colonel hastened to explain, "in the old records Columbus River is called Goose Run.
5093_29101_000030_000001	You see how it sweeps round the town--forty-nine miles to the Missouri; sloop navigation all the way pretty much drains this whole country; when it's improved steamboats will run right up here.	You see how it sweeps round the town-forty nine miles to the Missouri; sloop navigation all the way pretty much drains this whole country; when it's improved steamboats will run right up here.
5093_29101_000030_000002	It's got to be enlarged, deepened.	It's got to be enlarged, deepened.
5093_29101_000030_000003	You see by the map.	You see by the map.
5093_29101_000030_000004	Columbus River.	Columbus River.
5093_29101_000030_000005	This country must have water communication!"	This country must have water communication!"
5093_29101_000031_000001	Sellers.	Sellers.
5093_29101_000032_000000	"I should say a million; is that your figure Mr. Brierly."	"I should say a million; is that your figure mr Brierly."
5093_29101_000033_000000	"According to our surveys," said Harry, "a million would do it; a million spent on the river would make Napoleon worth two millions at least."	"According to our surveys," said Harry, "a million would do it; a million spent on the river would make Napoleon worth two millions at least."
5093_29101_000034_000002	You can begin to sell town lots on that appropriation you know."	You can begin to sell town lots on that appropriation you know."
5093_29101_000035_000000	The Senator, himself, to do him justice, was not very much interested in the country or the stream, but he favored the appropriation, and he gave the Colonel and Mr. Brierly to understand that he would endeavor to get it through.	The Senator, himself, to do him justice, was not very much interested in the country or the stream, but he favored the appropriation, and he gave the Colonel and mr Brierly to understand that he would endeavor to get it through.
5093_29101_000035_000001	Harry, who thought he was shrewd and understood Washington, suggested an interest.	Harry, who thought he was shrewd and understood Washington, suggested an interest.
5093_29101_000036_000000	But he saw that the Senator was wounded by the suggestion.	But he saw that the Senator was wounded by the suggestion.
5093_29101_000037_000000	"You will offend me by repeating such an observation," he said. "Whatever I do will be for the public interest.	"You will offend me by repeating such an observation," he said. "Whatever I do will be for the public interest.
5093_29101_000037_000001	It will require a portion of the appropriation for necessary expenses, and I am sorry to say that there are members who will have to be seen.	It will require a portion of the appropriation for necessary expenses, and I am sorry to say that there are members who will have to be seen.
5093_29101_000037_000002	But you can reckon upon my humble services."	But you can reckon upon my humble services."
5093_29101_000038_000000	This aspect of the subject was not again alluded to.	This aspect of the subject was not again alluded to.
5093_29101_000039_000000	It was on this visit also that the Senator made the acquaintance of Mr. Washington Hawkins, and was greatly taken with his innocence, his guileless manner and perhaps with his ready adaptability to enter upon any plan proposed.	It was on this visit also that the Senator made the acquaintance of mr Washington Hawkins, and was greatly taken with his innocence, his guileless manner and perhaps with his ready adaptability to enter upon any plan proposed.
5093_29101_000040_000001	And he did not doubt that this was an opportunity of that kind.	And he did not doubt that this was an opportunity of that kind.
5093_29101_000041_000000	The result of several conferences with Washington was that the Senator proposed that he should go to Washington with him and become his private secretary and the secretary of his committee; a proposal which was eagerly accepted.	The result of several conferences with Washington was that the Senator proposed that he should go to Washington with him and become his private secretary and the secretary of his committee; a proposal which was eagerly accepted.
5093_29101_000042_000000	The Senator spent Sunday in Hawkeye and attended church.	The Senator spent Sunday in Hawkeye and attended church.
5093_29101_000042_000001	He cheered the heart of the worthy and zealous minister by an expression of his sympathy in his labors, and by many inquiries in regard to the religious state of the region.	He cheered the heart of the worthy and zealous minister by an expression of his sympathy in his labors, and by many inquiries in regard to the religious state of the region.
5093_29101_000042_000002	It was not a very promising state, and the good man felt how much lighter his task would be, if he had the aid of such a man as Senator Dilworthy.	It was not a very promising state, and the good man felt how much lighter his task would be, if he had the aid of such a man as Senator Dilworthy.
5093_29101_000043_000000	"I am glad to see, my dear sir," said the Senator, "that you give them the doctrines.	"I am glad to see, my dear sir," said the Senator, "that you give them the doctrines.
5093_29101_000043_000001	It is owing to a neglect of the doctrines, that there is such a fearful falling away in the country.	It is owing to a neglect of the doctrines, that there is such a fearful falling away in the country.
5093_29101_000043_000002	I wish that we might have you in Washington--as chaplain, now, in the senate."	I wish that we might have you in Washington-as chaplain, now, in the senate."
5093_29101_000044_000000	The good man could not but be a little flattered, and if sometimes, thereafter, in his discouraging work, he allowed the thought that he might perhaps be called to Washington as chaplain of the Senate, to cheer him, who can wonder.	The good man could not but be a little flattered, and if sometimes, thereafter, in his discouraging work, he allowed the thought that he might perhaps be called to Washington as chaplain of the Senate, to cheer him, who can wonder.
5093_29101_000044_000001	The Senator's commendation at least did one service for him, it elevated him in the opinion of Hawkeye.	The Senator's commendation at least did one service for him, it elevated him in the opinion of Hawkeye.
5093_29101_000045_000000	Laura was at church alone that day, and Mr. Brierly walked home with her.	Laura was at church alone that day, and mr Brierly walked home with her.
5093_29101_000045_000001	A part of their way lay with that of General Boswell and Senator Dilworthy, and introductions were made.	A part of their way lay with that of General Boswell and Senator Dilworthy, and introductions were made.
5093_29101_000045_000002	Laura had her own reasons for wishing to know the Senator, and the Senator was not a man who could be called indifferent to charms such as hers.	Laura had her own reasons for wishing to know the Senator, and the Senator was not a man who could be called indifferent to charms such as hers.
5093_29101_000045_000003	That meek young lady so commended herself to him in the short walk, that he announced his intentions of paying his respects to her the next day, an intention which Harry received glumly; and when the Senator was out of hearing he called him "an old fool."	That meek young lady so commended herself to him in the short walk, that he announced his intentions of paying his respects to her the next day, an intention which Harry received glumly; and when the Senator was out of hearing he called him "an old fool."
5093_29101_000046_000002	He said you were a young man of great promise."	He said you were a young man of great promise."
5093_29101_000047_000000	The Senator did call next day, and the result of his visit was that he was confirmed in his impression that there was something about him very attractive to ladies.	The Senator did call next day, and the result of his visit was that he was confirmed in his impression that there was something about him very attractive to ladies.
5093_29101_000047_000001	He saw Laura again and again during his stay, and felt more and more the subtle influence of her feminine beauty, which every man felt who came near her.	He saw Laura again and again during his stay, and felt more and more the subtle influence of her feminine beauty, which every man felt who came near her.
5093_29101_000048_000001	Perhaps Laura enjoyed his torment, but she soothed him with blandishments that increased his ardor, and she smiled to herself to think that he had, with all his protestations of love, never spoken of marriage.	Perhaps Laura enjoyed his torment, but she soothed him with blandishments that increased his ardor, and she smiled to herself to think that he had, with all his protestations of love, never spoken of marriage.
5093_29101_000048_000002	Probably the vivacious fellow never had thought of it.	Probably the vivacious fellow never had thought of it.
5093_29101_000048_000003	At any rate when he at length went away from Hawkeye he was no nearer it.	At any rate when he at length went away from Hawkeye he was no nearer it.
5093_29101_000048_000004	But there was no telling to what desperate lengths his passion might not carry him.	But there was no telling to what desperate lengths his passion might not carry him.
5093_29101_000049_000000	Laura bade him good bye with tender regret, which, however, did not disturb her peace or interfere with her plans.	Laura bade him good bye with tender regret, which, however, did not disturb her peace or interfere with her plans.
