2393_144496_000000_000000	CHAPTER 47.	CHAPTER forty seven.	false	1.14	18.705	22.622883
2393_144496_000031_000001	She never spoke a word to me but what was pleasant and right.	She never spoke a word to me but what was pleasant and right.	true	595.67	599.19	22.714115
2393_144496_000031_000002	Is it likely I would try to make her what I am myself, knowing what I am myself, so well?	Is it likely I would try to make her what I am myself, knowing what I am myself, so well?	false	599.19	604.99	19.90025
2393_144496_000031_000003	When I lost everything that makes life dear, the worst of all my thoughts was that I was parted for ever from her!'	When I lost everything that makes life dear, the worst of all my thoughts was that I was parted for ever from her!'	false	605.27	612.37	22.408451
2393_144496_000032_000000	Mr. Peggotty, standing with one hand on the gunwale of the boat, and his eyes cast down, put his disengaged hand before his face.	mr Peggotty, standing with one hand on the gunwale of the boat, and his eyes cast down, put his disengaged hand before his face.	false	613.01	621.55	21.978804
2393_144496_000033_000000	'And when I heard what had happened before that snowy night, from some belonging to our town,' cried Martha, 'the bitterest thought in all my mind was, that the people would remember she once kept company with me, and would say I had corrupted her!	'And when I heard what had happened before that snowy night, from some belonging to our town,' cried Martha, 'the bitterest thought in all my mind was, that the people would remember she once kept company with me, and would say I had corrupted her!	false	622.19	637.09	21.28853
2393_144496_000033_000001	When, Heaven knows, I would have died to have brought back her good name!'	When, Heaven knows, I would have died to have brought back her good name!'	true	637.25	641.8	21.688179
2393_144496_000034_000000	Long unused to any self-control, the piercing agony of her remorse and grief was terrible.	Long unused to any self control, the piercing agony of her remorse and grief was terrible.	true	642.77	649.03	20.640251
2393_144496_000035_000000	'To have died, would not have been much--what can I say?---I would have lived!' she cried.	'To have died, would not have been much-what can I say?---I would have lived!' she cried.	true	649.46	655.83	22.247892
2393_144496_000035_000001	'I would have lived to be old, in the wretched streets--and to wander about, avoided, in the dark--and to see the day break on the ghastly line of houses, and remember how the same sun used to shine into my room, and wake me once--I would have done even that, to save her!'	'I would have lived to be old, in the wretched streets-and to wander about, avoided, in the dark-and to see the day break on the ghastly line of houses, and remember how the same sun used to shine into my room, and wake me once-I would have done even that, to save her!'	false	655.83	671.41	22.311668
2393_144496_000036_000000	Sinking on the stones, she took some in each hand, and clenched them up, as if she would have ground them.	Sinking on the stones, she took some in each hand, and clenched them up, as if she would have ground them.	false	672.2	679.68	19.531614
2393_144496_000036_000001	She writhed into some new posture constantly: stiffening her arms, twisting them before her face, as though to shut out from her eyes the little light there was, and drooping her head, as if it were heavy with insupportable recollections.	She writhed into some new posture constantly: stiffening her arms, twisting them before her face, as though to shut out from her eyes the little light there was, and drooping her head, as if it were heavy with insupportable recollections.	false	679.68	695.14	21.231844
2393_144496_000037_000000	'What shall I ever do!' she said, fighting thus with her despair.	'What shall I ever do!' she said, fighting thus with her despair.	false	695.66	700	22.210995
2393_144496_000037_000001	'How can I go on as I am, a solitary curse to myself, a living disgrace to everyone I come near!' Suddenly she turned to my companion.	'How can I go on as I am, a solitary curse to myself, a living disgrace to everyone I come near!' Suddenly she turned to my companion.	true	700.31	710.265	21.593859
2393_144496_000037_000002	'Stamp upon me, kill me!	'Stamp upon me, kill me!	true	710.265	712.15	21.718433
2393_144496_000037_000003	When she was your pride, you would have thought I had done her harm if I had brushed against her in the street.	When she was your pride, you would have thought I had done her harm if I had brushed against her in the street.	false	712.46	718.77	22.03313
2393_144496_000037_000004	You can't believe--why should you?---a syllable that comes out of my lips.	You can't believe-why should you?---a syllable that comes out of my lips.	true	718.77	723.315	18.79012
2393_144496_000037_000005	It would be a burning shame upon you, even now, if she and I exchanged a word.	It would be a burning shame upon you, even now, if she and I exchanged a word.	false	723.315	728.2	21.220692
2393_144496_000037_000006	I don't complain.	I don't complain.	true	728.54	729.85	21.689
2393_144496_000037_000007	I don't say she and I are alike--I know there is a long, long way between us.	I don't say she and I are alike-I know there is a long, long way between us.	false	729.89	735.04	19.071047
2393_144496_000037_000008	I only say, with all my guilt and wretchedness upon my head, that I am grateful to her from my soul, and love her.	I only say, with all my guilt and wretchedness upon my head, that I am grateful to her from my soul, and love her.	false	735.08	743.38	21.960157
2393_144496_000037_000009	Oh, don't think that all the power I had of loving anything is quite worn out!	Oh, don't think that all the power I had of loving anything is quite worn out!	true	743.72	748.36	23.478062
2393_144496_000037_000010	Throw me away, as all the world does.	Throw me away, as all the world does.	false	748.52	750.73	18.334486
2393_144496_000037_000011	Kill me for being what I am, and having ever known her; but don't think that of me!'	Kill me for being what I am, and having ever known her; but don't think that of me!'	true	750.83	756.49	21.735949
2393_144496_000038_000000	He looked upon her, while she made this supplication, in a wild distracted manner; and, when she was silent, gently raised her.	He looked upon her, while she made this supplication, in a wild distracted manner; and, when she was silent, gently raised her.	false	757.46	766.09	18.93278
2393_144496_000039_000000	'Martha,' said Mr. Peggotty, 'God forbid as I should judge you.	'Martha,' said mr Peggotty, 'God forbid as I should judge you.	true	766.85	771.52	24.345556
2393_144496_000039_000001	Forbid as I, of all men, should do that, my girl!	Forbid as I, of all men, should do that, my girl!	true	771.68	774.82	20.523432
2393_144496_000039_000002	You doen't know half the change that's come, in course of time, upon me, when you think it likely.	You doen't know half the change that's come, in course of time, upon me, when you think it likely.	false	775.31	782.085	22.095467
2393_144496_000039_000003	Well!' he paused a moment, then went on.	Well!' he paused a moment, then went on.	true	782.085	785.23	21.171984
2393_144496_000039_000004	'You doen't understand how 'tis that this here gentleman and me has wished to speak to you.	'You doen't understand how 'tis that this here gentleman and me has wished to speak to you.	true	785.39	792.4	22.089226
2393_144496_000039_000005	You doen't understand what 'tis we has afore us.	You doen't understand what 'tis we has afore us.	false	792.41	795.91	22.271866
2393_144496_000039_000006	Listen now!'	Listen now!'	true	796.07	797.2	19.810429
2393_144496_000040_000000	His influence upon her was complete.	His influence upon her was complete.	true	797.69	800.17	19.388063
2393_144496_000040_000001	She stood, shrinkingly, before him, as if she were afraid to meet his eyes; but her passionate sorrow was quite hushed and mute.	She stood, shrinkingly, before him, as if she were afraid to meet his eyes; but her passionate sorrow was quite hushed and mute.	true	800.18	808.72	21.050419
2393_144496_000041_000000	'If you heerd,' said Mr. Peggotty, 'owt of what passed between Mas'r Davy and me, th' night when it snew so hard, you know as I have been--wheer not--fur to seek my dear niece.	'If you heerd,' said mr Peggotty, 'o w t of what passed between Mas'r Davy and me, t h' night when it snew so hard, you know as I have been-wheer not-fur to seek my dear niece.	false	809.93	823.56	22.493906
2393_144496_000041_000001	My dear niece,' he repeated steadily.	My dear niece,' he repeated steadily.	true	823.56	826.26	20.296835
2393_144496_000041_000002	'Fur she's more dear to me now, Martha, than she was dear afore.'	'Fur she's more dear to me now, Martha, than she was dear afore.'	false	826.26	831.07	20.405863
2393_144496_000042_000000	She put her hands before her face; but otherwise remained quiet.	She put her hands before her face; but otherwise remained quiet.	true	831.77	835.84	18.778204
2393_144496_000043_000000	'I have heerd her tell,' said Mr. Peggotty, 'as you was early left fatherless and motherless, with no friend fur to take, in a rough seafaring-way, their place.	'I have heerd her tell,' said mr Peggotty, 'as you was early left fatherless and motherless, with no friend fur to take, in a rough seafaring way, their place.	true	837.23	847.72	23.793522
2393_144496_000043_000001	Maybe you can guess that if you'd had such a friend, you'd have got into a way of being fond of him in course of time, and that my niece was kiender daughter-like to me.'	Maybe you can guess that if you'd had such a friend, you'd have got into a way of being fond of him in course of time, and that my niece was kiender daughter like to me.'	true	848.27	857.86	22.384
2393_144496_000044_000000	As she was silently trembling, he put her shawl carefully about her, taking it up from the ground for that purpose.	As she was silently trembling, he put her shawl carefully about her, taking it up from the ground for that purpose.	true	858.68	865.48	22.775377
2393_144496_000045_000000	'Whereby,' said he, 'I know, both as she would go to the wureld's furdest end with me, if she could once see me again; and that she would fly to the wureld's furdest end to keep off seeing me.	'Whereby,' said he, 'I know, both as she would go to the wureld's furdest end with me, if she could once see me again; and that she would fly to the wureld's furdest end to keep off seeing me.	false	866.15	879.64	21.927467
2393_144496_000045_000001	For though she ain't no call to doubt my love, and doen't--and doen't,' he repeated, with a quiet assurance of the truth of what he said, 'there's shame steps in, and keeps betwixt us.'	For though she ain't no call to doubt my love, and doen't-and doen't,' he repeated, with a quiet assurance of the truth of what he said, 'there's shame steps in, and keeps betwixt us.'	false	880.07	892.6	22.570004
2393_144496_000046_000000	I read, in every word of his plain impressive way of delivering himself, new evidence of his having thought of this one topic, in every feature it presented.	I read, in every word of his plain impressive way of delivering himself, new evidence of his having thought of this one topic, in every feature it presented.	true	892.88	903.34	20.985313
2393_144496_000047_000000	'According to our reckoning,' he proceeded, 'Mas'r Davy's here, and mine, she is like, one day, to make her own poor solitary course to London.	'According to our reckoning,' he proceeded, 'Mas'r Davy's here, and mine, she is like, one day, to make her own poor solitary course to London.	true	904.7	913.6	23.418169
2393_144496_000047_000001	We believe--Mas'r Davy, me, and all of us--that you are as innocent of everything that has befell her, as the unborn child.	We believe-Mas'r Davy, me, and all of us-that you are as innocent of everything that has befell her, as the unborn child.	false	914.03	923.76	23.33356
2393_144496_000047_000002	You've spoke of her being pleasant, kind, and gentle to you.	You've spoke of her being pleasant, kind, and gentle to you.	false	923.76	927.52	24.945515
2393_144496_000047_000003	Bless her, I knew she was!	Bless her, I knew she was!	true	927.8	930.09	20.940523
2393_144496_000047_000004	I knew she always was, to all.	I knew she always was, to all.	true	930.09	932.59	21.187431
2393_144496_000047_000005	You're thankful to her, and you love her.	You're thankful to her, and you love her.	true	932.69	935.31	26.329086
2393_144496_000047_000006	Help us all you can to find her, and may Heaven reward you!'	Help us all you can to find her, and may Heaven reward you!'	false	935.31	939.64	21.995613
2393_144496_000048_000000	She looked at him hastily, and for the first time, as if she were doubtful of what he had said.	She looked at him hastily, and for the first time, as if she were doubtful of what he had said.	true	940.4	946.3	21.075285
2393_144496_000049_000000	'Will you trust me?' she asked, in a low voice of astonishment.	'Will you trust me?' she asked, in a low voice of astonishment.	true	947.12	951.48	20.443249
2393_144496_000050_000000	'Full and free!' said Mr. Peggotty.	'Full and free!' said mr Peggotty.	false	951.48	954.07	21.033041
2393_144496_000051_000000	'To speak to her, if I should ever find her; shelter her, if I have any shelter to divide with her; and then, without her knowledge, come to you, and bring you to her?' she asked hurriedly.	'To speak to her, if I should ever find her; shelter her, if I have any shelter to divide with her; and then, without her knowledge, come to you, and bring you to her?' she asked hurriedly.	false	955.19	967.42	21.724133
2393_144496_000052_000000	We both replied together, 'Yes!'	We both replied together, 'Yes!'	true	968.39	970.96	26.284122
2393_144496_000053_000000	She lifted up her eyes, and solemnly declared that she would devote herself to this task, fervently and faithfully.	She lifted up her eyes, and solemnly declared that she would devote herself to this task, fervently and faithfully.	true	971.84	978.94	21.727158
2393_144496_000053_000001	That she would never waver in it, never be diverted from it, never relinquish it, while there was any chance of hope.	That she would never waver in it, never be diverted from it, never relinquish it, while there was any chance of hope.	false	979.43	987.52	21.159765
2393_144496_000053_000002	If she were not true to it, might the object she now had in life, which bound her to something devoid of evil, in its passing away from her, leave her more forlorn and more despairing, if that were possible, than she had been upon the river's brink that night; and then might all help, human and Divine, renounce her evermore!	If she were not true to it, might the object she now had in life, which bound her to something devoid of evil, in its passing away from her, leave her more forlorn and more despairing, if that were possible, than she had been upon the river's brink that night; and then might all help, human and Divine, renounce her evermore!	false	987.89	1009.36	21.085327
2393_144496_000054_000000	She did not raise her voice above her breath, or address us, but said this to the night sky; then stood profoundly quiet, looking at the gloomy water.	She did not raise her voice above her breath, or address us, but said this to the night sky; then stood profoundly quiet, looking at the gloomy water.	true	1010.3	1020.34	20.360851
2393_144496_000055_000000	We judged it expedient, now, to tell her all we knew; which I recounted at length.	We judged it expedient, now, to tell her all we knew; which I recounted at length.	true	1020.95	1026.19	18.876867
2393_144496_000055_000001	She listened with great attention, and with a face that often changed, but had the same purpose in all its varying expressions.	She listened with great attention, and with a face that often changed, but had the same purpose in all its varying expressions.	true	1026.35	1033.98	23
2393_144496_000055_000002	Her eyes occasionally filled with tears, but those she repressed.	Her eyes occasionally filled with tears, but those she repressed.	false	1033.98	1034.62	-20
2393_144496_000055_000003	It seemed as if her spirit were quite altered, and she could not be too quiet.	It seemed as if her spirit were quite altered, and she could not be too quiet.	true	1034.62	1039.45	23.756504
2393_144496_000056_000000	She asked, when all was told, where we were to be communicated with, if occasion should arise.	She asked, when all was told, where we were to be communicated with, if occasion should arise.	true	1040.09	1045.96	21.435556
