6763_74797_000000_000000	Chapter 6	Chapter six	false	0.87	22.87	23.89997
6763_74797_000036_000002	It is very kind of you, I'm sure."	It is very kind of you, I'm sure."	true	698.21	700.39	25.904018
6763_74797_000037_000000	"But surely your name is Smith?" said she, looking very much surprised.	"But surely your name is Smith?" said she, looking very much surprised.	true	701.24	705.79	21.387243
6763_74797_000038_000000	"Oh yes, my name is Smith: only of course--well, the tact is, I was just wondering what to call you."	"Oh yes, my name is Smith: only of course-well, the tact is, I was just wondering what to call you."	true	706.43	715.33	21.455246
6763_74797_000039_000000	"My name is Edra," she replied, looking more bewildered than ever; and from that moment the conversation, which had begun so favorably, was nothing but a series of entanglements, from which I could only escape in each case by breaking the threads of the subject under discussion, and introducing a new one.	"My name is Edra," she replied, looking more bewildered than ever; and from that moment the conversation, which had begun so favorably, was nothing but a series of entanglements, from which I could only escape in each case by breaking the threads of the subject under discussion, and introducing a new one.	true	716.15	735.45	23.374346
6763_74797_000040_000000	Chapter 7	Chapter seven	false	735.45	735.45	
6763_74797_000041_000000	The moment of retiring, to which I had been looking forward with considerable interest as one likely to bring fresh surprises, arrived at last: it brought only extreme discomfort.	The moment of retiring, to which I had been looking forward with considerable interest as one likely to bring fresh surprises, arrived at last: it brought only extreme discomfort.	false	735.45	735.78	-20
6763_74797_000041_000001	I was conducted (without a flat candlestick) along an obscure passage; then, at right angles with the first, a second broader, lighter passage, leading past a great many doors placed near together.	I was conducted (without a flat candlestick) along an obscure passage; then, at right angles with the first, a second broader, lighter passage, leading past a great many doors placed near together.	false	735.78	736.11	-20
6763_74797_000041_000002	These, I ascertained later, were the dormitories, or sleeping-cells, and were placed side by side in a row opening on the terrace at the back of the house.	These, I ascertained later, were the dormitories, or sleeping cells, and were placed side by side in a row opening on the terrace at the back of the house.	false	736.11	736.59	21.249743
6763_74797_000041_000003	Having reached the door of my box, my conductor pushed back the sliding-panel, and when I had groped my way to the dark interior, closed it again behind me.	Having reached the door of my box, my conductor pushed back the sliding panel, and when I had groped my way to the dark interior, closed it again behind me.	false	736.59	737.31	25
6763_74797_000041_000004	There was no light for me except the light of the stars; for directly opposite the door by which I had entered stood another, open wide to the night, which was apparently not intended ever to be closed.	There was no light for me except the light of the stars; for directly opposite the door by which I had entered stood another, open wide to the night, which was apparently not intended ever to be closed.	false	737.31	738.24	19.144243
6763_74797_000041_000005	The prospect was the one I had already seen--the wilderness sloping to the river, and the glassy surface of the broad water, reflecting the stars, and the black masses of large trees.	The prospect was the one I had already seen-the wilderness sloping to the river, and the glassy surface of the broad water, reflecting the stars, and the black masses of large trees.	false	738.24	739.02	-20
6763_74797_000041_000006	There was no sound save the hooting of an owl in the distance, and the wailing note of some mournful-minded water-fowl.	There was no sound save the hooting of an owl in the distance, and the wailing note of some mournful minded water fowl.	false	739.02	739.56	-20
6763_74797_000041_000007	The night air blew in cold and moist, which made my bones ache, though they were not broken; and feeling very sleepy and miserable, I groped about until I Was rewarded by discovering a narrow bed, or cot of trellis-work, on which was a hard straw pallet and a small straw pillow; also, folded small, a kind of woolen sleeping garment.	The night air blew in cold and moist, which made my bones ache, though they were not broken; and feeling very sleepy and miserable, I groped about until I Was rewarded by discovering a narrow bed, or cot of trellis work, on which was a hard straw pallet and a small straw pillow; also, folded small, a kind of woolen sleeping garment.	false	739.56	741.06	-20
6763_74797_000041_000008	Too tired to keep out of even such an uninviting bed, I flung off my clothes, and with my moldy tweeds for only covering I laid me down, but not to sleep.	Too tired to keep out of even such an uninviting bed, I flung off my clothes, and with my moldy tweeds for only covering I laid me down, but not to sleep.	false	741.06	741.84	-20
6763_74797_000041_000009	The misery of it! for although my body was warm--too warm, in fact--the wind blew on my face and bare feet and legs, and made it impossible to sleep.	The misery of it! for although my body was warm-too warm, in fact-the wind blew on my face and bare feet and legs, and made it impossible to sleep.	false	741.84	742.56	-20
