2769_176263_000000_000000	CHAPTER XLIV	CHAPTER forty four
2769_176263_000019_000001	We all went in--we, this time, in front, and she behind.	We all went in-we, this time, in front, and she behind.
2769_176263_000020_000000	A candle was guttering on a broken and dilapidated single washhand stand.	A candle was guttering on a broken and dilapidated single washhand stand.
2769_176263_000020_000001	A small iron bedstead stood by its side, the clothes on which were all tumbled and tossed.	A small iron bedstead stood by its side, the clothes on which were all tumbled and tossed.
2769_176263_000020_000003	I could see nothing in the shape of a murdered man.	I could see nothing in the shape of a murdered man.
2769_176263_000020_000004	Nor, it appeared, could the Inspector either.	Nor, it appeared, could the Inspector either.
2769_176263_000021_000001	I don't see anything here.'	I don't see anything here.'
2769_176263_000023_000000	We all four went hastily forward.	We all four went hastily forward.
2769_176263_000023_000001	Atherton and I went to the head of the bed, Lessingham and the Inspector, leaning right across the bed, peeped over the side.	Atherton and I went to the head of the bed, Lessingham and the Inspector, leaning right across the bed, peeped over the side.
2769_176263_000023_000002	There, on the floor in the space which was between the bed and the wall, lay the murdered man.	There, on the floor in the space which was between the bed and the wall, lay the murdered man.
2769_176263_000024_000000	At sight of him an exclamation burst from Sydney's lips.	At sight of him an exclamation burst from Sydney's lips.
2769_176263_000025_000000	'It's Holt!'	'It's Holt!'
2769_176263_000027_000000	The relief in his tone was unmistakable.	The relief in his tone was unmistakable.
2769_176263_000027_000001	That the one was gone was plainly nothing to him in comparison with the fact that the other was left.	That the one was gone was plainly nothing to him in comparison with the fact that the other was left.
2769_176263_000028_000000	Thrusting the bed more into the centre of the room I knelt down beside the man on the floor.	Thrusting the bed more into the centre of the room I knelt down beside the man on the floor.
2769_176263_000028_000001	A more deplorable spectacle than he presented I have seldom witnessed.	A more deplorable spectacle than he presented I have seldom witnessed.
2769_176263_000028_000003	I doubt if there was an ounce of flesh on the whole of his body.	I doubt if there was an ounce of flesh on the whole of his body.
2769_176263_000028_000004	His cheeks and the sockets of his eyes were hollow.	His cheeks and the sockets of his eyes were hollow.
2769_176263_000028_000005	The skin was drawn tightly over his cheek bones,--the bones themselves were staring through.	The skin was drawn tightly over his cheek bones,--the bones themselves were staring through.
2769_176263_000028_000006	Even his nose was wasted, so that nothing but a ridge of cartilage remained.	Even his nose was wasted, so that nothing but a ridge of cartilage remained.
2769_176263_000028_000007	I put my arm beneath his shoulder and raised him from the floor; no resistance was offered by the body's gravity,--he was as light as a little child.	I put my arm beneath his shoulder and raised him from the floor; no resistance was offered by the body's gravity,--he was as light as a little child.
2769_176263_000029_000000	'I doubt,' I said, 'if this man has been murdered.	'I doubt,' I said, 'if this man has been murdered.
2769_176263_000029_000001	It looks to me like a case of starvation, or exhaustion,--possibly a combination of both.'	It looks to me like a case of starvation, or exhaustion,--possibly a combination of both.'
2769_176263_000030_000000	'What's that on his neck?' asked the Inspector,--he was kneeling at my side.	'What's that on his neck?' asked the Inspector,--he was kneeling at my side.
2769_176263_000031_000000	He referred to two abrasions of the skin,--one on either side of the man's neck.	He referred to two abrasions of the skin,--one on either side of the man's neck.
2769_176263_000032_000000	'They look to me like scratches.	'They look to me like scratches.
2769_176263_000032_000001	They seem pretty deep, but I don't think they're sufficient in themselves to cause death.'	They seem pretty deep, but I don't think they're sufficient in themselves to cause death.'
2769_176263_000033_000000	'They might be, joined to an already weakened constitution.	'They might be, joined to an already weakened constitution.
2769_176263_000033_000001	Is there anything in his pockets?--let's lift him on to the bed.'	Is there anything in his pockets?--let's lift him on to the bed.'
2769_176263_000034_000000	We lifted him on to the bed,--a featherweight he was to lift.	We lifted him on to the bed,--a featherweight he was to lift.
2769_176263_000034_000001	While the Inspector was examining his pockets--to find them empty --a tall man with a big black beard came bustling in.	While the Inspector was examining his pockets-to find them empty --a tall man with a big black beard came bustling in.
2769_176263_000034_000002	He proved to be Dr Glossop, the local police surgeon, who had been sent for before our quitting the Station House.	He proved to be Dr Glossop, the local police surgeon, who had been sent for before our quitting the Station House.
2769_176263_000035_000000	His first pronouncement, made as soon as he commenced his examination, was, under the circumstances, sufficiently startling.	His first pronouncement, made as soon as he commenced his examination, was, under the circumstances, sufficiently startling.
2769_176263_000036_000000	'I don't believe the man's dead.	'I don't believe the man's dead.
2769_176263_000036_000001	Why didn't you send for me directly you found him?'	Why didn't you send for me directly you found him?'
2769_176263_000037_000000	The question was put to Mrs Henderson.	The question was put to Mrs Henderson.
2769_176263_000041_000000	'You'll find it a joke if you have to hang, as you ought to, you--' The doctor said what he did say to himself, under his breath.	'You'll find it a joke if you have to hang, as you ought to, you-' The doctor said what he did say to himself, under his breath.
2769_176263_000041_000001	I doubt if it was flattering to Mrs Henderson. 'Have you got any brandy in the house?'	I doubt if it was flattering to Mrs Henderson. 'Have you got any brandy in the house?'
2769_176263_000043_000000	'Then send for some,--to the tap downstairs, if that's the nearest!	'Then send for some,--to the tap downstairs, if that's the nearest!
2769_176263_000043_000001	If this man dies before you've brought it I'll have you locked up as sure as you're a living woman.'	If this man dies before you've brought it I'll have you locked up as sure as you're a living woman.'
2769_176263_000044_000000	The arrival of the brandy was not long delayed,--but the man on the bed had regained consciousness before it came.	The arrival of the brandy was not long delayed,--but the man on the bed had regained consciousness before it came.
2769_176263_000044_000001	Opening his eyes he looked up at the doctor bending over him.	Opening his eyes he looked up at the doctor bending over him.
2769_176263_000045_000001	that's more like the time of day!	that's more like the time of day!
2769_176263_000045_000002	How are you feeling?'	How are you feeling?'
2769_176263_000046_000001	Atherton bent down beside the doctor.	Atherton bent down beside the doctor.
2769_176263_000047_000000	'I'm glad to see you looking better, Mr Holt.	'I'm glad to see you looking better, Mr Holt.
2769_176263_000047_000001	You know me don't you?	You know me don't you?
2769_176263_000047_000002	I've been running about after you all day long.'	I've been running about after you all day long.'
2769_176263_000048_000000	'You are--you are--' The man's eyes closed, as if the effort at recollection exhausted him.	'You are-you are-' The man's eyes closed, as if the effort at recollection exhausted him.
2769_176263_000048_000001	He kept them closed as he continued to speak.	He kept them closed as he continued to speak.
2769_176263_000049_000000	'I know who you are.	'I know who you are.
2769_176263_000050_000001	And I daresay you're feeling pretty well done up, and in want of something to eat and drink,--here's some brandy for you.'	And I daresay you're feeling pretty well done up, and in want of something to eat and drink,--here's some brandy for you.'
2769_176263_000051_000000	The doctor had some in a tumbler.	The doctor had some in a tumbler.
2769_176263_000051_000001	He raised the patient's head, allowing it to trickle down his throat.	He raised the patient's head, allowing it to trickle down his throat.
2769_176263_000051_000002	The man swallowed it mechanically, motionless, as if unconscious what it was that he was doing.	The man swallowed it mechanically, motionless, as if unconscious what it was that he was doing.
2769_176263_000051_000004	The doctor laid him back upon the bed, feeling his pulse with one hand, while he stood and regarded him in silence.	The doctor laid him back upon the bed, feeling his pulse with one hand, while he stood and regarded him in silence.
2769_176263_000052_000000	Then, turning to the Inspector, he said to him in an undertone;	Then, turning to the Inspector, he said to him in an undertone;
2769_176263_000053_000000	'If you want him to make a statement he'll have to make it now, he's going fast.	'If you want him to make a statement he'll have to make it now, he's going fast.
2769_176263_000053_000001	You won't be able to get much out of him,--he's too far gone, and I shouldn't bustle him, but get what you can.'	You won't be able to get much out of him,--he's too far gone, and I shouldn't bustle him, but get what you can.'
2769_176263_000054_000000	The Inspector came to the front, a notebook in his hand.	The Inspector came to the front, a notebook in his hand.
2769_176263_000055_000000	'I understand from this gentleman--' signifying Atherton--'that your name's Robert Holt.	'I understand from this gentleman-' signifying Atherton-'that your name's Robert Holt.
2769_176263_000055_000001	I'm an Inspector of police, and I want you to tell me what has brought you into this condition.	I'm an Inspector of police, and I want you to tell me what has brought you into this condition.
2769_176263_000056_000001	Sydney, stooping over him, endeavoured to explain.	Sydney, stooping over him, endeavoured to explain.
2769_176263_000057_000000	'The Inspector wants to know how you got here, has anyone been doing anything to you?	'The Inspector wants to know how you got here, has anyone been doing anything to you?
2769_176263_000057_000001	Has anyone been hurting you?'	Has anyone been hurting you?'
2769_176263_000058_000000	The man's eyelids were partially closed.	The man's eyelids were partially closed.
2769_176263_000058_000001	Then they opened wider and wider.	Then they opened wider and wider.
2769_176263_000058_000002	His mouth opened too.	His mouth opened too.
2769_176263_000058_000003	On his skeleton features there came a look of panic fear.	On his skeleton features there came a look of panic fear.
2769_176263_000058_000004	He was evidently struggling to speak.	He was evidently struggling to speak.
2769_176263_000058_000005	At last words came.	At last words came.
2769_176263_000059_000000	'The beetle!' He stopped.	'The beetle!' He stopped.
2769_176263_000059_000001	Then, after an effort, spoke again.	Then, after an effort, spoke again.
2769_176263_000059_000002	'The beetle!'	'The beetle!'
2769_176263_000060_000000	'What's he mean?' asked the Inspector.	'What's he mean?' asked the Inspector.
2769_176263_000061_000002	Well, has the beetle done anything to you?'	Well, has the beetle done anything to you?'
2769_176263_000062_000000	'It took me by the throat!'	'It took me by the throat!'
2769_176263_000063_000000	'Is that the meaning of the marks upon your neck?'	'Is that the meaning of the marks upon your neck?'
2769_176263_000064_000000	'The beetle killed me.'	'The beetle killed me.'
2769_176263_000065_000000	The lids closed.	The lids closed.
2769_176263_000065_000001	The man relapsed into a state of lethargy.	The man relapsed into a state of lethargy.
2769_176263_000065_000002	The Inspector was puzzled;--and said so.	The Inspector was puzzled;--and said so.
2769_176263_000066_000000	'What's he mean about a beetle?'	'What's he mean about a beetle?'
2769_176263_000067_000000	Atherton replied.	Atherton replied.
2769_176263_000068_000000	'I think I understand what he means,--and my friends do too.	'I think I understand what he means,--and my friends do too.
2769_176263_000068_000001	We'll explain afterwards.	We'll explain afterwards.
2769_176263_000069_000001	There isn't much--only seconds.'	There isn't much-only seconds.'
2769_176263_000070_000000	Sydney endeavoured to rouse the man from his stupor.	Sydney endeavoured to rouse the man from his stupor.
2769_176263_000071_000000	'You've been with Miss Lindon all the afternoon and evening, haven't you, Mr Holt?'	'You've been with Miss Lindon all the afternoon and evening, haven't you, Mr Holt?'
2769_176263_000072_000000	Atherton had reached a chord in the man's consciousness.	Atherton had reached a chord in the man's consciousness.
2769_176263_000072_000001	His lips moved,--in painful articulation.	His lips moved,--in painful articulation.
2769_176263_000073_000000	'Yes--all the afternoon--and evening--God help me!'	'Yes-all the afternoon-and evening-God help me!'
2769_176263_000074_000000	'I hope God will help you my poor fellow; you've been in need of His help if ever man was.	'I hope God will help you my poor fellow; you've been in need of His help if ever man was.
2769_176263_000074_000001	Miss Lindon is disguised in your old clothes, isn't she?'	Miss Lindon is disguised in your old clothes, isn't she?'
2769_176263_000075_000000	'Yes,--in my old clothes.	'Yes,--in my old clothes.
2769_176263_000075_000001	My God!'	My God!'
2769_176263_000076_000000	'And where is Miss Lindon now?'	'And where is Miss Lindon now?'
2769_176263_000077_000001	Now he opened them, wide; there came into them the former staring horror.	Now he opened them, wide; there came into them the former staring horror.
2769_176263_000077_000002	He became possessed by uncontrollable agitation,--half raising himself in bed.	He became possessed by uncontrollable agitation,--half raising himself in bed.
2769_176263_000077_000003	Words came from his quivering lips as if they were only drawn from him by the force of his anguish.	Words came from his quivering lips as if they were only drawn from him by the force of his anguish.
2769_176263_000078_000000	'The beetle's going to kill Miss Lindon.'	'The beetle's going to kill Miss Lindon.'
2769_176263_000079_000000	A momentary paroxysm seemed to shake the very foundations of his being.	A momentary paroxysm seemed to shake the very foundations of his being.
2769_176263_000079_000001	His whole frame quivered.	His whole frame quivered.
2769_176263_000079_000003	The doctor examined him in silence--while we too were still.	The doctor examined him in silence-while we too were still.
2769_176263_000080_000000	'This time he's gone for good, there'll be no conjuring him back again.'	'This time he's gone for good, there'll be no conjuring him back again.'
2769_176263_000081_000000	I felt a sudden pressure on my arm, and found that Lessingham was clutching me with probably unconscious violence.	I felt a sudden pressure on my arm, and found that Lessingham was clutching me with probably unconscious violence.
2769_176263_000081_000002	He trembled.	He trembled.
2769_176263_000081_000003	I turned to the doctor.	I turned to the doctor.
2769_176263_000082_000000	'Doctor, if there is any of that brandy left will you let me have it for my friend?'	'Doctor, if there is any of that brandy left will you let me have it for my friend?'
2769_176263_000084_000000	The Inspector was speaking to the woman of the house.	The Inspector was speaking to the woman of the house.
2769_176263_000085_000000	'Now, Mrs Henderson, perhaps you'll tell us what all this means.	'Now, Mrs Henderson, perhaps you'll tell us what all this means.
2769_176263_000085_000001	Who is this man, and how did he come in here, and who came in with him, and what do you know about it altogether?	Who is this man, and how did he come in here, and who came in with him, and what do you know about it altogether?
