5489_65803_000000_000000	The cow's bell has ceased to tinkle the herd to rest; they have all paced across the heath.	The cow's bell has ceased to tinkle the herd to rest; they have all paced across the heath.	false	0	1.125	28
5489_65803_000003_000001	Hard enough, you may imagine, as it is baked only once a year.	Hard enough, you may imagine, as it is baked only once a year.	true	85.94	90.13	25.712914
5489_65803_000003_000002	The servants also, in most families, eat this kind of bread, and have a different kind of food from their masters, which, in spite of all the arguments I have heard to vindicate the custom, appears to me a remnant of barbarism.	The servants also, in most families, eat this kind of bread, and have a different kind of food from their masters, which, in spite of all the arguments I have heard to vindicate the custom, appears to me a remnant of barbarism.	true	90.38	104.68	23.408323
5489_65803_000004_000000	In fact, the situation of the servants in every respect, particularly that of the women, shows how far the Swedes are from having a just conception of rational equality.	In fact, the situation of the servants in every respect, particularly that of the women, shows how far the Swedes are from having a just conception of rational equality.	true	105.17	116.71	23.918167
5489_65803_000004_000001	They are not termed slaves; yet a man may strike a man with impunity because he pays him wages, though these wages are so low that necessity must teach them to pilfer, whilst servility renders them false and boorish.	They are not termed slaves; yet a man may strike a man with impunity because he pays him wages, though these wages are so low that necessity must teach them to pilfer, whilst servility renders them false and boorish.	true	117.08	131.02	22.248877
5489_65803_000004_000002	Still the men stand up for the dignity of man by oppressing the women.	Still the men stand up for the dignity of man by oppressing the women.	true	131.27	135.49	23.7348
5489_65803_000004_000003	The most menial, and even laborious offices, are therefore left to these poor drudges.	The most menial, and even laborious offices, are therefore left to these poor drudges.	true	135.77	141.52	22.155884
5489_65803_000004_000004	Much of this I have seen.	Much of this I have seen.	true	141.77	143.62	22.953804
5489_65803_000004_000005	In the winter, I am told, they take the linen down to the river to wash it in the cold water, and though their hands, cut by the ice, are cracked and bleeding, the men, their fellow-servants, will not disgrace their manhood by carrying a tub to lighten their burden.	In the winter, I am told, they take the linen down to the river to wash it in the cold water, and though their hands, cut by the ice, are cracked and bleeding, the men, their fellow servants, will not disgrace their manhood by carrying a tub to lighten their burden.	true	143.84	160.93	24.844473
5489_65803_000005_000000	You will not be surprised to hear that they do not wear shoes or stockings, when I inform you that their wages are seldom more than twenty or thirty shillings per annum.	You will not be surprised to hear that they do not wear shoes or stockings, when I inform you that their wages are seldom more than twenty or thirty shillings per annum.	true	161.57	170.44	22.298634
5489_65803_000005_000001	It is the custom, I know, to give them a new year's gift and a present at some other period, but can it all amount to a just indemnity for their labour?	It is the custom, I know, to give them a new year's gift and a present at some other period, but can it all amount to a just indemnity for their labour?	true	170.69	180.01	23.426165
5489_65803_000005_000002	The treatment of servants in most countries, I grant, is very unjust, and in England, that boasted land of freedom, it is often extremely tyrannical.	The treatment of servants in most countries, I grant, is very unjust, and in England, that boasted land of freedom, it is often extremely tyrannical.	true	180.23	190.27	23.014324
5489_65803_000005_000003	I have frequently, with indignation, heard gentlemen declare that they would never allow a servant to answer them; and ladies of the most exquisite sensibility, who were continually exclaiming against the cruelty of the vulgar to the brute creation, have in my presence forgot that their attendants had human feelings as well as forms.	I have frequently, with indignation, heard gentlemen declare that they would never allow a servant to answer them; and ladies of the most exquisite sensibility, who were continually exclaiming against the cruelty of the vulgar to the brute creation, have in my presence forgot that their attendants had human feelings as well as forms.	true	190.64	211.93	22.897957
5489_65803_000005_000004	I do not know a more agreeable sight than to see servants part of a family.	I do not know a more agreeable sight than to see servants part of a family.	true	212.24	217.06	24.409067
5489_65803_000005_000005	By taking an interest, generally speaking, in their concerns you inspire them with one for yours.	By taking an interest, generally speaking, in their concerns you inspire them with one for yours.	false	217.34	223.42	25.729595
5489_65803_000005_000006	We must love our servants, or we shall never be sufficiently attentive to their happiness; and how can those masters be attentive to their happiness who, living above their fortunes, are more anxious to outshine their neighbours than to allow their household the innocent enjoyments they earn?	We must love our servants, or we shall never be sufficiently attentive to their happiness; and how can those masters be attentive to their happiness who, living above their fortunes, are more anxious to outshine their neighbours than to allow their household the innocent enjoyments they earn?	true	223.76	241.03	22.453959
5489_65803_000006_000000	It is, in fact, much more difficult for servants, who are tantalised by seeing and preparing the dainties of which they are not to partake, to remain honest, than the poor, whose thoughts are not led from their homely fare; so that, though the servants here are commonly thieves, you seldom hear of housebreaking, or robbery on the highway.	It is, in fact, much more difficult for servants, who are tantalised by seeing and preparing the dainties of which they are not to partake, to remain honest, than the poor, whose thoughts are not led from their homely fare; so that, though the servants here are commonly thieves, you seldom hear of housebreaking, or robbery on the highway.	true	241.49	263.56	24.055002
5489_65803_000006_000001	The country is, perhaps, too thinly inhabited to produce many of that description of thieves termed footpads, or highwaymen.	The country is, perhaps, too thinly inhabited to produce many of that description of thieves termed footpads, or highwaymen.	true	263.75	271.09	23.24538
5489_65803_000006_000002	They are usually the spawn of great cities--the effect of the spurious desires generated by wealth, rather than the desperate struggles of poverty to escape from misery.	They are usually the spawn of great cities-the effect of the spurious desires generated by wealth, rather than the desperate struggles of poverty to escape from misery.	true	271.55	283.2	24.832327
5489_65803_000007_000000	The enjoyment of the peasantry was drinking brandy and coffee, before the latter was prohibited, and the former not allowed to be privately distilled, the wars carried on by the late king rendering it necessary to increase the revenue, and retain the specie in the country by every possible means.	The enjoyment of the peasantry was drinking brandy and coffee, before the latter was prohibited, and the former not allowed to be privately distilled, the wars carried on by the late king rendering it necessary to increase the revenue, and retain the specie in the country by every possible means.	false	283.2	302.55	22.78311
5489_65803_000008_000000	The taxes before the reign of Charles XII. were inconsiderable.	The taxes before the reign of Charles the twelfth. were inconsiderable.	false	302.55	306.9	21.72598
5489_65803_000008_000001	Since then the burden has continually been growing heavier, and the price of provisions has proportionately increased--nay, the advantage accruing from the exportation of corn to France and rye to Germany will probably produce a scarcity in both Sweden and Norway, should not a peace put a stop to it this autumn, for speculations of various kinds have already almost doubled the price.	Since then the burden has continually been growing heavier, and the price of provisions has proportionately increased-nay, the advantage accruing from the exportation of corn to France and rye to Germany will probably produce a scarcity in both Sweden and Norway, should not a peace put a stop to it this autumn, for speculations of various kinds have already almost doubled the price.	true	306.9	330.46	23.019693
5489_65803_000009_000000	Such are the effects of war, that it saps the vitals even of the neutral countries, who, obtaining a sudden influx of wealth, appear to be rendered flourishing by the destruction which ravages the hapless nations who are sacrificed to the ambition of their governors.	Such are the effects of war, that it saps the vitals even of the neutral countries, who, obtaining a sudden influx of wealth, appear to be rendered flourishing by the destruction which ravages the hapless nations who are sacrificed to the ambition of their governors.	true	330.92	346.51	23.982399
5489_65803_000009_000001	I shall not, however, dwell on the vices, though they be of the most contemptible and embruting cast, to which a sudden accession of fortune gives birth, because I believe it may be delivered as an axiom, that it is only in proportion to the industry necessary to acquire wealth that a nation is really benefited by it.	I shall not, however, dwell on the vices, though they be of the most contemptible and embruting cast, to which a sudden accession of fortune gives birth, because I believe it may be delivered as an axiom, that it is only in proportion to the industry necessary to acquire wealth that a nation is really benefited by it.	false	346.94	367.45	24.646942
5489_65803_000010_000000	The prohibition of drinking coffee under a penalty, and the encouragement given to public distilleries, tend to impoverish the poor, who are not affected by the sumptuary laws; for the regent has lately laid very severe restraints on the articles of dress, which the middling class of people found grievous, because it obliged them to throw aside finery that might have lasted them for their lives.	The prohibition of drinking coffee under a penalty, and the encouragement given to public distilleries, tend to impoverish the poor, who are not affected by the sumptuary laws; for the regent has lately laid very severe restraints on the articles of dress, which the middling class of people found grievous, because it obliged them to throw aside finery that might have lasted them for their lives.	true	367.91	391.3	23.38887
5489_65803_000011_000000	These may be termed vexatious; still the death of the king, by saving them from the consequences his ambition would naturally have entailed on them, may be reckoned a blessing.	These may be termed vexatious; still the death of the king, by saving them from the consequences his ambition would naturally have entailed on them, may be reckoned a blessing.	true	391.76	402.25	22.414
5489_65803_000012_000000	Besides, the French Revolution has not only rendered all the crowned heads more cautious, but has so decreased everywhere (excepting amongst themselves) a respect for nobility, that the peasantry have not only lost their blind reverence for their seigniors, but complain in a manly style of oppressions which before they did not think of denominating such, because they were taught to consider themselves as a different order of beings.	Besides, the French Revolution has not only rendered all the crowned heads more cautious, but has so decreased everywhere (excepting amongst themselves) a respect for nobility, that the peasantry have not only lost their blind reverence for their seigniors, but complain in a manly style of oppressions which before they did not think of denominating such, because they were taught to consider themselves as a different order of beings.	false	402.68	428.685	22.160858
5489_65803_000012_000001	And, perhaps, the efforts which the aristocrats are making here, as well as in every other part of Europe, to secure their sway, will be the most effectual mode of undermining it, taking into the calculation that the King of Sweden, like most of the potentates of Europe, has continually been augmenting his power by encroaching on the privileges of the nobles.	And, perhaps, the efforts which the aristocrats are making here, as well as in every other part of Europe, to secure their sway, will be the most effectual mode of undermining it, taking into the calculation that the King of Sweden, like most of the potentates of Europe, has continually been augmenting his power by encroaching on the privileges of the nobles.	true	428.685	449.83	24.401705
5489_65803_000013_000000	The well-bred Swedes of the capital are formed on the ancient French model, and they in general speak that language; for they have a knack at acquiring languages with tolerable fluency.	The well bred Swedes of the capital are formed on the ancient French model, and they in general speak that language; for they have a knack at acquiring languages with tolerable fluency.	true	450.38	461.59	23.710012
5489_65803_000013_000001	This may be reckoned an advantage in some respects; but it prevents the cultivation of their own, and any considerable advance in literary pursuits.	This may be reckoned an advantage in some respects; but it prevents the cultivation of their own, and any considerable advance in literary pursuits.	true	461.9	470.89	24.40941
5489_65803_000014_000000	A sensible writer has lately observed (I have not his work by me, therefore cannot quote his exact words), "That the Americans very wisely let the Europeans make their books and fashions for them." But I cannot coincide with him in this opinion.	A sensible writer has lately observed (I have not his work by me, therefore cannot quote his exact words), "That the Americans very wisely let the Europeans make their books and fashions for them." But I cannot coincide with him in this opinion.	true	471.26	486.58	24.186989
5489_65803_000014_000001	The reflection necessary to produce a certain number even of tolerable productions augments more than he is aware of the mass of knowledge in the community.	The reflection necessary to produce a certain number even of tolerable productions augments more than he is aware of the mass of knowledge in the community.	true	486.74	495.18	22.493526
5489_65803_000014_000002	Desultory reading is commonly a mere pastime.	Desultory reading is commonly a mere pastime.	false	495.18	498.91	22.073488
5489_65803_000014_000003	But we must have an object to refer our reflections to, or they will seldom go below the surface.	But we must have an object to refer our reflections to, or they will seldom go below the surface.	true	499.22	505.3	22.511732
5489_65803_000014_000004	As in travelling, the keeping of a journal excites to many useful inquiries that would not have been thought of had the traveller only determined to see all he could see, without ever asking himself for what purpose. Besides, the very dabbling in literature furnishes harmless topics of conversation; for the not having such subjects at hand, though they are often insupportably fatiguing, renders the inhabitants of little towns prying and censorious.	As in travelling, the keeping of a journal excites to many useful inquiries that would not have been thought of had the traveller only determined to see all he could see, without ever asking himself for what purpose. Besides, the very dabbling in literature furnishes harmless topics of conversation; for the not having such subjects at hand, though they are often insupportably fatiguing, renders the inhabitants of little towns prying and censorious.	true	505.79	533.23	22.022444
5489_65803_000014_000005	Idleness, rather than ill-nature, gives birth to scandal, and to the observation of little incidents which narrows the mind.	Idleness, rather than ill nature, gives birth to scandal, and to the observation of little incidents which narrows the mind.	true	533.57	541.18	19.943928
5489_65803_000014_000006	It is frequently only the fear of being talked of which produces that puerile scrupulosity about trifles incompatible with an enlarged plan of usefulness, and with the basis of all moral principles--respect for the virtues which are not merely the virtues of convention.	It is frequently only the fear of being talked of which produces that puerile scrupulosity about trifles incompatible with an enlarged plan of usefulness, and with the basis of all moral principles-respect for the virtues which are not merely the virtues of convention.	false	541.4	559.6	24.884495
5489_65803_000015_000000	I am, my friend, more and more convinced that a metropolis, or an abode absolutely solitary, is the best calculated for the improvement of the heart, as well as the understanding; whether we desire to become acquainted with man, nature, or ourselves.	I am, my friend, more and more convinced that a metropolis, or an abode absolutely solitary, is the best calculated for the improvement of the heart, as well as the understanding; whether we desire to become acquainted with man, nature, or ourselves.	true	560.12	576.91	24.284319
5489_65803_000015_000001	Mixing with mankind, we are obliged to examine our prejudices, and often imperceptibly lose, as we analyse them.	Mixing with mankind, we are obliged to examine our prejudices, and often imperceptibly lose, as we analyse them.	true	577.07	584.95	22.84991
5489_65803_000015_000002	And in the country, growing intimate with nature, a thousand little circumstances, unseen by vulgar eyes, give birth to sentiments dear to the imagination, and inquiries which expand the soul, particularly when cultivation has not smoothed into insipidity all its originality of character.	And in the country, growing intimate with nature, a thousand little circumstances, unseen by vulgar eyes, give birth to sentiments dear to the imagination, and inquiries which expand the soul, particularly when cultivation has not smoothed into insipidity all its originality of character.	true	585.2	605.23	23.03967
5489_65803_000016_000000	I love the country, yet whenever I see a picturesque situation chosen on which to erect a dwelling I am always afraid of the improvements.	I love the country, yet whenever I see a picturesque situation chosen on which to erect a dwelling I am always afraid of the improvements.	true	605.69	613.96	22.600653
5489_65803_000016_000001	It requires uncommon taste to form a whole, and to introduce accommodations and ornaments analogous with the surrounding-scene.	It requires uncommon taste to form a whole, and to introduce accommodations and ornaments analogous with the surrounding scene.	true	614.12	622.48	21.915289
5489_65803_000017_000000	It visited, near Gothenburg, a house with improved land about it, with which I was particularly delighted.	It visited, near Gothenburg, a house with improved land about it, with which I was particularly delighted.	true	623.06	629.59	23.37765
5489_65803_000017_000001	It was close to a lake embosomed in pine-clad rocks.	It was close to a lake embosomed in pine clad rocks.	true	629.69	633.52	23.818033
5489_65803_000017_000002	In one part of the meadows your eye was directed to the broad expanse, in another you were led into a shade, to see a part of it, in the form of a river, rush amongst the fragments of rocks and roots of trees; nothing seemed forced.	In one part of the meadows your eye was directed to the broad expanse, in another you were led into a shade, to see a part of it, in the form of a river, rush amongst the fragments of rocks and roots of trees; nothing seemed forced.	true	633.77	648.33	22.55746
5489_65803_000017_000003	One recess, particularly grand and solemn amongst the towering cliffs, had a rude stone table and seat placed in it, that might have served for a Druid's haunt, whilst a placid stream below enlivened the flowers on its margin, where light-footed elves would gladly have danced their airy rounds.	One recess, particularly grand and solemn amongst the towering cliffs, had a rude stone table and seat placed in it, that might have served for a Druid's haunt, whilst a placid stream below enlivened the flowers on its margin, where light footed elves would gladly have danced their airy rounds.	false	648.33	669.76	22.596672
5489_65803_000018_000000	Here the hand of taste was conspicuous though not obtrusive, and formed a contrast with another abode in the same neighbourhood, on which much money had been lavished; where Italian colonnades were placed to excite the wonder of the rude crags, and a stone staircase, to threaten with destruction a wooden house.	Here the hand of taste was conspicuous though not obtrusive, and formed a contrast with another abode in the same neighbourhood, on which much money had been lavished; where Italian colonnades were placed to excite the wonder of the rude crags, and a stone staircase, to threaten with destruction a wooden house.	true	670.46	689.35	22.37801
5489_65803_000018_000001	Venuses and Apollos condemned to lie hid in snow three parts of the year seemed equally displaced, and called the attention off from the surrounding sublimity, without inspiring any voluptuous sensations.	Venuses and Apollos condemned to lie hid in snow three parts of the year seemed equally displaced, and called the attention off from the surrounding sublimity, without inspiring any voluptuous sensations.	true	689.6	703.38	21.780186
5489_65803_000018_000002	Yet even these abortions of vanity have been useful.	Yet even these abortions of vanity have been useful.	false	703.38	706.9	20.282303
5489_65803_000018_000003	Numberless workmen have been employed, and the superintending artist has improved the labourers, whose unskilfulness tormented him, by obliging them to submit to the discipline of rules.	Numberless workmen have been employed, and the superintending artist has improved the labourers, whose unskilfulness tormented him, by obliging them to submit to the discipline of rules.	true	707.12	719.295	22.527315
5489_65803_000018_000004	Adieu!	Adieu!	false	719.295	735.75	21.223286
