5489_65803_000001_000000	LETTER III.	LETTER three.
5489_65803_000015_000000	I am, my friend, more and more convinced that a metropolis, or an abode absolutely solitary, is the best calculated for the improvement of the heart, as well as the understanding; whether we desire to become acquainted with man, nature, or ourselves.	I am, my friend, more and more convinced that a metropolis, or an abode absolutely solitary, is the best calculated for the improvement of the heart, as well as the understanding; whether we desire to become acquainted with man, nature, or ourselves.
5489_65803_000015_000001	Mixing with mankind, we are obliged to examine our prejudices, and often imperceptibly lose, as we analyse them.	Mixing with mankind, we are obliged to examine our prejudices, and often imperceptibly lose, as we analyse them.
5489_65803_000015_000002	And in the country, growing intimate with nature, a thousand little circumstances, unseen by vulgar eyes, give birth to sentiments dear to the imagination, and inquiries which expand the soul, particularly when cultivation has not smoothed into insipidity all its originality of character.	And in the country, growing intimate with nature, a thousand little circumstances, unseen by vulgar eyes, give birth to sentiments dear to the imagination, and inquiries which expand the soul, particularly when cultivation has not smoothed into insipidity all its originality of character.
5489_65803_000016_000000	I love the country, yet whenever I see a picturesque situation chosen on which to erect a dwelling I am always afraid of the improvements.	I love the country, yet whenever I see a picturesque situation chosen on which to erect a dwelling I am always afraid of the improvements.
5489_65803_000016_000001	It requires uncommon taste to form a whole, and to introduce accommodations and ornaments analogous with the surrounding-scene.	It requires uncommon taste to form a whole, and to introduce accommodations and ornaments analogous with the surrounding scene.
5489_65803_000017_000000	It visited, near Gothenburg, a house with improved land about it, with which I was particularly delighted.	It visited, near Gothenburg, a house with improved land about it, with which I was particularly delighted.
5489_65803_000017_000001	It was close to a lake embosomed in pine-clad rocks.	It was close to a lake embosomed in pine clad rocks.
5489_65803_000017_000002	In one part of the meadows your eye was directed to the broad expanse, in another you were led into a shade, to see a part of it, in the form of a river, rush amongst the fragments of rocks and roots of trees; nothing seemed forced.	In one part of the meadows your eye was directed to the broad expanse, in another you were led into a shade, to see a part of it, in the form of a river, rush amongst the fragments of rocks and roots of trees; nothing seemed forced.
5489_65803_000018_000000	Here the hand of taste was conspicuous though not obtrusive, and formed a contrast with another abode in the same neighbourhood, on which much money had been lavished; where Italian colonnades were placed to excite the wonder of the rude crags, and a stone staircase, to threaten with destruction a wooden house.	Here the hand of taste was conspicuous though not obtrusive, and formed a contrast with another abode in the same neighbourhood, on which much money had been lavished; where Italian colonnades were placed to excite the wonder of the rude crags, and a stone staircase, to threaten with destruction a wooden house.
5489_65803_000018_000001	Venuses and Apollos condemned to lie hid in snow three parts of the year seemed equally displaced, and called the attention off from the surrounding sublimity, without inspiring any voluptuous sensations.	Venuses and Apollos condemned to lie hid in snow three parts of the year seemed equally displaced, and called the attention off from the surrounding sublimity, without inspiring any voluptuous sensations.
5489_65803_000018_000003	Numberless workmen have been employed, and the superintending artist has improved the labourers, whose unskilfulness tormented him, by obliging them to submit to the discipline of rules.	Numberless workmen have been employed, and the superintending artist has improved the labourers, whose unskilfulness tormented him, by obliging them to submit to the discipline of rules.
