5538_64717_000000_000000	CHAPTER VII	CHAPTER seven	false	12.63	28.305	23.077726
5538_64717_000005_000003	In short, the bird alighted, and sat over the egg.	In short, the bird alighted, and sat over the egg.	true	222.44	226.45	24.803873
5538_64717_000005_000004	As I perceived her coming, I crept close to the egg, so that I had before me one of the legs of the bird, which was as big as the trunk of a tree.	As I perceived her coming, I crept close to the egg, so that I had before me one of the legs of the bird, which was as big as the trunk of a tree.	true	227.33	236.53	21
5538_64717_000005_000005	I tied myself strongly to it with my turban, in hopes that the roc next morning would carry me with her out of this desert island. After having passed the night in this condition, the bird flew away as soon as it was daylight, and carried me so high, that I could not discern the earth; she afterward descended with so much rapidity that I lost my senses.	I tied myself strongly to it with my turban, in hopes that the roc next morning would carry me with her out of this desert island. After having passed the night in this condition, the bird flew away as soon as it was daylight, and carried me so high, that I could not discern the earth; she afterward descended with so much rapidity that I lost my senses.	true	237.17	259.36	24.716087
5538_64717_000005_000006	But when I found myself on the ground, I speedily untied the knot, and had scarcely done so, when the roc, having taken up a serpent of a monstrous length in her bill, flew away.	But when I found myself on the ground, I speedily untied the knot, and had scarcely done so, when the roc, having taken up a serpent of a monstrous length in her bill, flew away.	false	259.37	269.04	22
5538_64717_000006_000000	The spot where it left me was encompassed on all sides by mountains, that seemed to reach above the clouds, and so steep that there was no possibility of getting out of the valley.	The spot where it left me was encompassed on all sides by mountains, that seemed to reach above the clouds, and so steep that there was no possibility of getting out of the valley.	false	269.04	280.99	24.75124
5538_64717_000006_000001	This was a new perplexity; so that when I compared this place with the desert island from which the roc had brought me, I found that I had gained nothing by the change.	This was a new perplexity; so that when I compared this place with the desert island from which the roc had brought me, I found that I had gained nothing by the change.	true	281.81	292.12	25.49044
5538_64717_000007_000000	As I walked through this valley, I perceived it was strewed with diamonds, some of which were of surprising bigness.	As I walked through this valley, I perceived it was strewed with diamonds, some of which were of surprising bigness.	true	293.03	300.25	22.960194
5538_64717_000007_000001	I took pleasure in looking upon them; but shortly saw at a distance such objects as greatly diminished my satisfaction, and which I could not view without terror, namely, a great number of serpents, so monstrous that the least of them was capable of swallowing an elephant.	I took pleasure in looking upon them; but shortly saw at a distance such objects as greatly diminished my satisfaction, and which I could not view without terror, namely, a great number of serpents, so monstrous that the least of them was capable of swallowing an elephant.	true	300.77	319.27	25.64018
5538_64717_000007_000002	They retired in the day-time to their dens, where they hid themselves from the roc, their enemy, and came out only in the night.	They retired in the day-time to their dens, where they hid themselves from the roc, their enemy, and came out only in the night.	false	319.79	326.26	24.015053
5538_64717_000008_000000	I spent the day in walking about in the valley, resting myself at times in such places as I thought most convenient.	I spent the day in walking about in the valley, resting myself at times in such places as I thought most convenient.	false	327.86	334.84	22.427761
5538_64717_000008_000001	When night came on I went into I cave, where I thought I might repose in safety.	When night came on I went into I cave, where I thought I might repose in safety.	false	335.81	340.51	25
5538_64717_000008_000002	I secured the entrance, which was low and narrow, with a great stone, to preserve me from the serpents; but not so far as to exclude the light.	I secured the entrance, which was low and narrow, with a great stone, to preserve me from the serpents; but not so far as to exclude the light.	true	341.09	349.72	26.098152
5538_64717_000008_000003	I supped on part of my provisions, but the serpents, which began hissing round me, put me into such extreme fear that I did not sleep.	I supped on part of my provisions, but the serpents, which began hissing round me, put me into such extreme fear that I did not sleep.	false	350.39	359.11	25.710361
5538_64717_000008_000004	When day appeared the serpents retired, and I came out of the cave trembling.	When day appeared the serpents retired, and I came out of the cave trembling.	false	359.12	363.85	27.989977
5538_64717_000008_000005	I can justly say that I walked upon diamonds without feeling any inclination to touch them.	I can justly say that I walked upon diamonds without feeling any inclination to touch them.	false	365.24	370.06	21
5538_64717_000008_000006	At last I sat down, and notwithstanding my apprehensions, not having closed my eyes during the night, fell asleep, after having eaten a little more of my provisions.	At last I sat down, and notwithstanding my apprehensions, not having closed my eyes during the night, fell asleep, after having eaten a little more of my provisions.	true	370.7	381.04	23.255041
5538_64717_000008_000007	But I had scarcely shut my eyes when something that fell by me with a great noise awaked me.	But I had scarcely shut my eyes when something that fell by me with a great noise awaked me.	false	382.07	388.57	23.233753
5538_64717_000008_000008	This was a large piece of raw meat; and at the same time I saw several others fall down from the rocks in different places.	This was a large piece of raw meat; and at the same time I saw several others fall down from the rocks in different places.	true	388.97	399.07	20.407686
5538_64717_000009_000000	I had always regarded as fabulous what I had heard sailors and others relate of the valley of diamonds, and of the stratagems employed by merchants to obtain jewels from thence; but now I found that they had stated nothing but the truth.	I had always regarded as fabulous what I had heard sailors and others relate of the valley of diamonds, and of the stratagems employed by merchants to obtain jewels from thence; but now I found that they had stated nothing but the truth.	true	399.08	414.61	23.059294
5538_64717_000009_000001	For the fact is, that the merchants come to the neighbourhood of this valley, when the eagles have young ones, and throwing great joints of meat into the valley, the diamonds, upon whose points they fall, stick to them; the eagles, which are stronger in this country than anywhere else, pounce with great force upon those pieces of meat, and carry them to their nests on the precipices of the rocks to feed their young: the merchants at this time run to their nests, disturb and drive off the eagles by their shouts, and take away the diamonds that stick to the meat.	For the fact is, that the merchants come to the neighbourhood of this valley, when the eagles have young ones, and throwing great joints of meat into the valley, the diamonds, upon whose points they fall, stick to them; the eagles, which are stronger in this country than anywhere else, pounce with great force upon those pieces of meat, and carry them to their nests on the precipices of the rocks to feed their young: the merchants at this time run to their nests, disturb and drive off the eagles by their shouts, and take away the diamonds that stick to the meat.	false	415.01	449.53	23.220583
5538_64717_000010_000000	I perceived in this device the means of my deliverance.	I perceived in this device the means of my deliverance.	true	450.08	453.76	23.139845
5538_64717_000011_000000	Having collected together the largest diamonds I could find, I put them into the leather bag in which I used to carry my provisions, I took the largest of the pieces of meat, tied it close round me with the cloth of my turban, and then laid myself upon the ground, with my face downward, the bag of diamonds being made fast to my girdle.	Having collected together the largest diamonds I could find, I put them into the leather bag in which I used to carry my provisions, I took the largest of the pieces of meat, tied it close round me with the cloth of my turban, and then laid myself upon the ground, with my face downward, the bag of diamonds being made fast to my girdle.	false	454.7	473.95	23.02844
5538_64717_000012_000000	I had scarcely placed myself in this posture when one of the eagles, having taken me up with the piece of meat to which I was fastened, carried me to his nest on the top of the mountain.	I had scarcely placed myself in this posture when one of the eagles, having taken me up with the piece of meat to which I was fastened, carried me to his nest on the top of the mountain.	false	475.1	484.21	19
5538_64717_000012_000001	The merchants immediately began their shouting to frighten the eagles; and when they had obliged them to quit their prey, one of them came to the nest where I was.	The merchants immediately began their shouting to frighten the eagles; and when they had obliged them to quit their prey, one of them came to the nest where I was.	false	485.18	494.08	22
5538_64717_000012_000002	He was much alarmed when he saw me; but recovering himself, instead of inquiring how I came thither, began to quarrel with me, and asked why I stole his goods?	He was much alarmed when he saw me; but recovering himself, instead of inquiring how I came thither, began to quarrel with me, and asked why I stole his goods?	true	494.42	504.19	24.576138
5538_64717_000012_000003	"You will treat me," replied I, "with more civility, when you know me better.	"You will treat me," replied I, "with more civility, when you know me better.	true	504.77	509.14	23.810328
5538_64717_000012_000004	Do not be uneasy; I have diamonds enough for you and myself, more than all the other merchants together. Whatever they have they owe to chance; but I selected for myself, in the bottom of the valley, those which you see in this bag," I had scarcely done speaking, when the other merchants came crowding about us, much astonished to see me; but they were much more surprised when I told them my story.	Do not be uneasy; I have diamonds enough for you and myself, more than all the other merchants together. Whatever they have they owe to chance; but I selected for myself, in the bottom of the valley, those which you see in this bag," I had scarcely done speaking, when the other merchants came crowding about us, much astonished to see me; but they were much more surprised when I told them my story.	false	509.21	532.15	22.77749
5538_64717_000013_000000	They conducted me to their encampment; and there having opened my bag, they were surprised at the largeness of my diamonds, and confessed that they had never seen any of such size and perfection.	They conducted me to their encampment; and there having opened my bag, they were surprised at the largeness of my diamonds, and confessed that they had never seen any of such size and perfection.	true	532.88	543.76	23
5538_64717_000013_000001	I prayed the merchant who owned the nest to which I had been carried (for every merchant had his own) to take as many for his share as he pleased.	I prayed the merchant who owned the nest to which I had been carried (for every merchant had his own) to take as many for his share as he pleased.	true	544.61	552.85	26.253819
5538_64717_000013_000002	He contented himself with one, and that, too, the least of them; and when I pressed him to take more, without fear of doing me any injury, "No," said he, "I am very well satisfied with this, which is valuable enough to save me the trouble of making any more voyages, and will raise as great a fortune as I desire."	He contented himself with one, and that, too, the least of them; and when I pressed him to take more, without fear of doing me any injury, "No," said he, "I am very well satisfied with this, which is valuable enough to save me the trouble of making any more voyages, and will raise as great a fortune as I desire."	false	553.31	572.89	21.315908
5538_64717_000014_000000	I spent the night with the merchants, to whom I related my story a second time, for the satisfaction of those who had not heard it, I could not moderate my joy when I found myself delivered from the danger I have mentioned.	I spent the night with the merchants, to whom I related my story a second time, for the satisfaction of those who had not heard it, I could not moderate my joy when I found myself delivered from the danger I have mentioned.	false	573.77	587.05	23.359425
5538_64717_000014_000001	I thought myself in a dream, and could scarcely believe myself out of danger.	I thought myself in a dream, and could scarcely believe myself out of danger.	false	587.27	592.54	25.81431
5538_64717_000015_000000	The merchants had thrown their pieces of meat into the valley for several days; and each of them being satisfied with the diamonds that had fallen to his lot, we left the place the next morning, and travelled near high mountains, where there were serpents of a prodigious length, which we had the good fortune to escape.	The merchants had thrown their pieces of meat into the valley for several days; and each of them being satisfied with the diamonds that had fallen to his lot, we left the place the next morning, and travelled near high mountains, where there were serpents of a prodigious length, which we had the good fortune to escape.	true	593.81	611.83	24.186996
5538_64717_000015_000001	We took shipping at the first port we reached, and touched at the isle of Roha, where the trees grow that yield camphire.	We took shipping at the first port we reached, and touched at the isle of Roha, where the trees grow that yield camphire.	true	612.5	620.95	26.100433
5538_64717_000015_000002	This tree is so large, and its branches so thick, that one hundred men may easily sit under its shade.	This tree is so large, and its branches so thick, that one hundred men may easily sit under its shade.	true	621.8	628.54	23
5538_64717_000015_000003	The juice, of which the camphire is made, exudes from a hole bored in the upper part of the tree, and is received in a vessel, where it thickens to a consistency, and becomes what we call camphire.	The juice, of which the camphire is made, exudes from a hole bored in the upper part of the tree, and is received in a vessel, where it thickens to a consistency, and becomes what we call camphire.	false	629.27	641.53	23.868555
5538_64717_000015_000004	After the juice is thus drawn out, the tree withers and dies.	After the juice is thus drawn out, the tree withers and dies.	true	642.26	646.15	25.88612
5538_64717_000016_000000	In this island is also found the rhinoceros, an animal less than the elephant, but larger than the buffalo.	In this island is also found the rhinoceros, an animal less than the elephant, but larger than the buffalo.	true	647.54	655.36	24.179003
5538_64717_000016_000001	It has a horn upon its nose, about a cubit in length; this horn is solid, and cleft through the middle.	It has a horn upon its nose, about a cubit in length; this horn is solid, and cleft through the middle.	true	655.37	662.41	26.046103
5538_64717_000016_000002	The rhinoceros fights with the elephant, runs his horn into his belly, and carries him off upon his head; but the blood and the fat of the elephant running into his eyes and making him blind, he falls to the ground; and then, strange to relate, the roc comes and carries them both away in her claws, for food for her young ones.	The rhinoceros fights with the elephant, runs his horn into his belly, and carries him off upon his head; but the blood and the fat of the elephant running into his eyes and making him blind, he falls to the ground; and then, strange to relate, the roc comes and carries them both away in her claws, for food for her young ones.	false	662.69	682.45	24.243477
5538_64717_000017_000000	I pass over many other things peculiar to this island, lest I should weary you.	I pass over many other things peculiar to this island, lest I should weary you.	true	684.41	689.41	24.405367
5538_64717_000017_000001	Here I exchanged some of my diamonds for merchandise.	Here I exchanged some of my diamonds for merchandise.	true	689.87	693.64	24
5538_64717_000017_000002	From hence we went to other islands, and at last, having touched at several trading towns of the continent, we landed at Bussorah, from whence I proceeded to Bagdad.	From hence we went to other islands, and at last, having touched at several trading towns of the continent, we landed at Bussorah, from whence I proceeded to Bagdad.	false	693.95	703.6	24.381334
5538_64717_000017_000003	There I immediately gave large presents to the poor, and lived honourably upon the vast riches I had brought, and gained with so much fatigue.	There I immediately gave large presents to the poor, and lived honourably upon the vast riches I had brought, and gained with so much fatigue.	true	704.06	714.69	23.95646
5538_64717_000018_000000	Thus Sindbad ended the relation of the second voyage, gave Hindbad another hundred sequins, and invited him to come the next day to hear the account of the third.	Thus Sindbad ended the relation of the second voyage, gave Hindbad another hundred sequins, and invited him to come the next day to hear the account of the third.	false	714.69	724.53	20.80966
5538_64717_000019_000000	CHAPTER VIII	CHAPTER eight	false	724.53	724.92	-20
5538_64717_000020_000000	THE WHITE CAT	THE WHITE CAT	false	724.92	725.49	-20
5538_64717_000021_000000	There was once a king who had three sons, all remarkably handsome in their persons, and in their tempers brave and noble.	There was once a king who had three sons, all remarkably handsome in their persons, and in their tempers brave and noble.	false	725.49	728.82	5.457342
5538_64717_000021_000001	Some wicked courtiers made the king believe that the princes were impatient to wear the crown, and that they were contriving a plot to deprive him of his sceptre and his kingdom.	Some wicked courtiers made the king believe that the princes were impatient to wear the crown, and that they were contriving a plot to deprive him of his sceptre and his kingdom.	false	728.82	728.97	100
5538_64717_000021_000002	The king felt he was growing old; but as he found himself as capable of governing as he had ever been, he had no inclination to resign his power; and therefore, that he might pass the rest of his days peaceably, he determined to employ the princes in such a manner, as at once to give each of them the hope of succeeding to the crown, and fill up the time they might otherwise spend in so undutiful a manner.	The king felt he was growing old; but as he found himself as capable of governing as he had ever been, he had no inclination to resign his power; and therefore, that he might pass the rest of his days peaceably, he determined to employ the princes in such a manner, as at once to give each of them the hope of succeeding to the crown, and fill up the time they might otherwise spend in so undutiful a manner.	false	728.97	729.06	-20
5538_64717_000021_000003	He sent for them to his cabinet, and after conversing with them kindly, he added: "You must be sensible, my dear children, that my great age prevents me from attending so closely as I have hitherto done to state affairs.	He sent for them to his cabinet, and after conversing with them kindly, he added: "You must be sensible, my dear children, that my great age prevents me from attending so closely as I have hitherto done to state affairs.	false	729.06	729.12	10
5538_64717_000021_000004	I fear this may be injurious to my subjects; I therefore desire to place my crown on the head of one of you, but it is no more than just, that in return for such a present, you should procure me some amusement in my retirement, before I leave the Capital for ever.	I fear this may be injurious to my subjects; I therefore desire to place my crown on the head of one of you, but it is no more than just, that in return for such a present, you should procure me some amusement in my retirement, before I leave the Capital for ever.	false	729.12	729.18	19
5538_64717_000021_000005	I cannot help thinking, that a little dog, that is handsome, faithful, and engaging, would be the very thing to make me happy; so that without bestowing a preference on either of you, I declare that he who brings me the most perfect little dog shall be my successor." The princes were much surprised at the fancy of their father to have a little dog, yet they accepted the proposition with pleasure: and accordingly, after taking leave of the king, who presented them with abundance of money and jewels, and appointed that day twelvemonth for their return, they set off on their travels.	I cannot help thinking, that a little dog, that is handsome, faithful, and engaging, would be the very thing to make me happy; so that without bestowing a preference on either of you, I declare that he who brings me the most perfect little dog shall be my successor." The princes were much surprised at the fancy of their father to have a little dog, yet they accepted the proposition with pleasure: and accordingly, after taking leave of the king, who presented them with abundance of money and jewels, and appointed that day twelvemonth for their return, they set off on their travels.	false	729.18	734.25	17.680647
