2481_12731_000000_000000	COMMON SIMPLE DYES.	COMMON SIMPLE DYES.	true	21.21	22.86	21.899803
2481_12731_000014_000002	Let the whole stand in the sun, stirring it frequently.	Let the whole stand in the sun, stirring it frequently.	true	522.65	526.27	23.69935
2481_12731_000014_000003	In the course of a week, fill the barrel with weak lye.	In the course of a week, fill the barrel with weak lye.	true	526.52	530.17	21.74838
2481_12731_000014_000004	This method of making soap is much easier than to make a lye of your ashes, while it is as cheap, if you sell your ashes to the soap-boiler.	This method of making soap is much easier than to make a lye of your ashes, while it is as cheap, if you sell your ashes to the soap boiler.	true	530.21	539.94	23.047287
2481_12731_000015_000000	440.	four hundred forty.	false	539.94	541.32	19.156305
2481_12731_000015_000001	_Hard Soap._	underscore Hard Soap.underscore	false	541.32	542.73	17.548372
2481_12731_000016_000000	Dissolve twenty weight of white potash in three pailsful of water.	Dissolve twenty weight of white potash in three pailsful of water.	false	542.73	547.56	23.827124
2481_12731_000016_000001	Heat twenty pounds of strained grease, then mix it with the dissolved potash, and boil them together till the whole becomes a thick jelly, which is ascertained by taking a little of it out to get cold.	Heat twenty pounds of strained grease, then mix it with the dissolved potash, and boil them together till the whole becomes a thick jelly, which is ascertained by taking a little of it out to get cold.	true	547.56	560.745	26.471222
2481_12731_000016_000002	Take it from the fire, stir in cold water till it grows thin, then put to each pailful of soap a pint of blown salt--stir it in well.	Take it from the fire, stir in cold water till it grows thin, then put to each pailful of soap a pint of blown salt-stir it in well.	true	560.745	570.81	22.661987
2481_12731_000016_000003	The succeeding day, separate it from the lye, and heat it over a slow fire.	The succeeding day, separate it from the lye, and heat it over a slow fire.	true	570.81	576.09	24.589785
2481_12731_000016_000004	Let it boil a quarter of an hour, then take it from the fire.	Let it boil a quarter of an hour, then take it from the fire.	true	576.09	580.08	23.464764
2481_12731_000016_000005	If you wish to have it a yellow color, put in a little palm oil, and turn it out into wooden vessels. When cold, separate it again from the lye, and cut, it in bars--let them remain in the sun several days to dry.	If you wish to have it a yellow color, put in a little palm oil, and turn it out into wooden vessels. When cold, separate it again from the lye, and cut, it in bars-let them remain in the sun several days to dry.	true	580.08	594.93	24.934666
2481_12731_000017_000000	441.	four hundred forty one.	false	594.93	596.82	17.223568
2481_12731_000017_000001	_Windsor and Castile Soap._	underscore Windsor and Castile Soap.underscore	false	596.82	599.43	20.125162
2481_12731_000018_000000	To make the celebrated Windsor soap, nothing more is necessary than to slice the best white soap as thin as possible, and melt it over a slow fire.	To make the celebrated Windsor soap, nothing more is necessary than to slice the best white soap as thin as possible, and melt it over a slow fire.	true	599.43	609.33	22.138542
2481_12731_000018_000001	Take it from the fire when melted, and when it is just lukewarm, add enough of the oil of caraway to scent it.	Take it from the fire when melted, and when it is just lukewarm, add enough of the oil of caraway to scent it.	true	609.33	616.725	24.544912
2481_12731_000018_000002	If any other fragrant oil is liked better, if may be substituted.	If any other fragrant oil is liked better, if may be substituted.	false	616.725	621.435	26.94097
2481_12731_000018_000003	Turn it into moulds, and let it remain in a dry situation for five or six days.	Turn it into moulds, and let it remain in a dry situation for five or six days.	true	621.435	627.66	24.611368
2481_12731_000018_000004	To make Castile soap, boil common soft soap in lamp oil three hours and a half.	To make Castile soap, boil common soft soap in lamp oil three hours and a half.	true	627.66	634.2	23.405748
2481_12731_000019_000000	442.	four hundred forty two.	false	634.2	635.79	20.258
2481_12731_000019_000001	_Bayberry, or Myrtle Soap._	underscore Bayberry, or Myrtle Soap.underscore	false	635.79	638.22	21.289215
2481_12731_000020_000000	Dissolve two pounds and a quarter of white potash in five quarts of water, then mix it with ten pounds of myrtle wax, or bayberry tallow. Boil the whole over a slow fire, till it turns to soap, then add a tea-cup of cold water--let it boil ten minutes longer--at the end of that time turn it into tin moulds, or pans, and let them remain a week or ten days to dry, then turn them out of the moulds.	Dissolve two pounds and a quarter of white potash in five quarts of water, then mix it with ten pounds of myrtle wax, or bayberry tallow. Boil the whole over a slow fire, till it turns to soap, then add a tea cup of cold water-let it boil ten minutes longer-at the end of that time turn it into tin moulds, or pans, and let them remain a week or ten days to dry, then turn them out of the moulds.	true	638.22	666.19	25.066124
2481_12731_000020_000001	If you wish to have the soap scented, stir into it any essential oil that has an agreeable smell, just before you turn it into the moulds.	If you wish to have the soap scented, stir into it any essential oil that has an agreeable smell, just before you turn it into the moulds.	false	666.26	674.805	24
2481_12731_000020_000002	This kind of soap is excellent for shaving, and chapped hands--it is also good for eruptions on the face.	This kind of soap is excellent for shaving, and chapped hands-it is also good for eruptions on the face.	true	674.805	681.7	23.575441
2481_12731_000020_000003	It will be fit for use in the course of three or four weeks after it is made, but it is better for being kept ten or twelve months.	It will be fit for use in the course of three or four weeks after it is made, but it is better for being kept ten or twelve months.	false	681.74	701.73	21.997568
