2481_12731_000000_000000	COMMON SIMPLE DYES.	COMMON SIMPLE DYES.
2481_12731_000016_000001	Heat twenty pounds of strained grease, then mix it with the dissolved potash, and boil them together till the whole becomes a thick jelly, which is ascertained by taking a little of it out to get cold.	Heat twenty pounds of strained grease, then mix it with the dissolved potash, and boil them together till the whole becomes a thick jelly, which is ascertained by taking a little of it out to get cold.
2481_12731_000016_000002	Take it from the fire, stir in cold water till it grows thin, then put to each pailful of soap a pint of blown salt--stir it in well.	Take it from the fire, stir in cold water till it grows thin, then put to each pailful of soap a pint of blown salt-stir it in well.
2481_12731_000016_000003	The succeeding day, separate it from the lye, and heat it over a slow fire.	The succeeding day, separate it from the lye, and heat it over a slow fire.
2481_12731_000016_000004	Let it boil a quarter of an hour, then take it from the fire.	Let it boil a quarter of an hour, then take it from the fire.
2481_12731_000016_000005	If you wish to have it a yellow color, put in a little palm oil, and turn it out into wooden vessels. When cold, separate it again from the lye, and cut, it in bars--let them remain in the sun several days to dry.	If you wish to have it a yellow color, put in a little palm oil, and turn it out into wooden vessels. When cold, separate it again from the lye, and cut, it in bars-let them remain in the sun several days to dry.
2481_12731_000018_000000	To make the celebrated Windsor soap, nothing more is necessary than to slice the best white soap as thin as possible, and melt it over a slow fire.	To make the celebrated Windsor soap, nothing more is necessary than to slice the best white soap as thin as possible, and melt it over a slow fire.
2481_12731_000018_000001	Take it from the fire when melted, and when it is just lukewarm, add enough of the oil of caraway to scent it.	Take it from the fire when melted, and when it is just lukewarm, add enough of the oil of caraway to scent it.
2481_12731_000018_000003	Turn it into moulds, and let it remain in a dry situation for five or six days.	Turn it into moulds, and let it remain in a dry situation for five or six days.
2481_12731_000018_000004	To make Castile soap, boil common soft soap in lamp oil three hours and a half.	To make Castile soap, boil common soft soap in lamp oil three hours and a half.
2481_12731_000020_000002	This kind of soap is excellent for shaving, and chapped hands--it is also good for eruptions on the face.	This kind of soap is excellent for shaving, and chapped hands-it is also good for eruptions on the face.
