3638_758_000002_000000	Chapter III.	Chapter three.
3638_758_000023_000000	"What an idea, bury him by an unholy stone, as though he had hanged himself!" the old landlady said sternly.	"What an idea, bury him by an unholy stone, as though he had hanged himself!" the old landlady said sternly.
3638_758_000023_000001	"There in the churchyard the ground has been crossed.	"There in the churchyard the ground has been crossed.
3638_758_000023_000002	He'll be prayed for there.	He'll be prayed for there.
3638_758_000023_000003	One can hear the singing in church and the deacon reads so plainly and verbally that it will reach him every time just as though it were read over his grave."	One can hear the singing in church and the deacon reads so plainly and verbally that it will reach him every time just as though it were read over his grave."
3638_758_000024_000001	But on seeing that precious little face, which for the last three days she had only looked at from a distance, she trembled all over and her gray head began twitching spasmodically over the coffin.	But on seeing that precious little face, which for the last three days she had only looked at from a distance, she trembled all over and her gray head began twitching spasmodically over the coffin.
3638_758_000025_000000	"Mother, make the sign of the cross over him, give him your blessing, kiss him," Nina cried to her.	"Mother, make the sign of the cross over him, give him your blessing, kiss him," Nina cried to her.
3638_758_000025_000001	But her head still twitched like an automaton and with a face contorted with bitter grief she began, without a word, beating her breast with her fist.	But her head still twitched like an automaton and with a face contorted with bitter grief she began, without a word, beating her breast with her fist.
3638_758_000025_000002	They carried the coffin past her.	They carried the coffin past her.
3638_758_000025_000003	Nina pressed her lips to her brother's for the last time as they bore the coffin by her.	Nina pressed her lips to her brother's for the last time as they bore the coffin by her.
3638_758_000025_000004	As Alyosha went out of the house he begged the landlady to look after those who were left behind, but she interrupted him before he had finished.	As Alyosha went out of the house he begged the landlady to look after those who were left behind, but she interrupted him before he had finished.
3638_758_000026_000000	"To be sure, I'll stay with them, we are Christians, too." The old woman wept as she said it.	"To be sure, I'll stay with them, we are Christians, too." The old woman wept as she said it.
3638_758_000027_000000	They had not far to carry the coffin to the church, not more than three hundred paces.	They had not far to carry the coffin to the church, not more than three hundred paces.
3638_758_000027_000001	It was a still, clear day, with a slight frost.	It was a still, clear day, with a slight frost.
3638_758_000027_000004	He seemed in a state of bewildered anxiety.	He seemed in a state of bewildered anxiety.
3638_758_000027_000005	At one minute he stretched out his hand to support the head of the coffin and only hindered the bearers, at another he ran alongside and tried to find a place for himself there.	At one minute he stretched out his hand to support the head of the coffin and only hindered the bearers, at another he ran alongside and tried to find a place for himself there.
3638_758_000027_000006	A flower fell on the snow and he rushed to pick it up as though everything in the world depended on the loss of that flower.	A flower fell on the snow and he rushed to pick it up as though everything in the world depended on the loss of that flower.
3638_758_000028_000000	"And the crust of bread, we've forgotten the crust!" he cried suddenly in dismay.	"And the crust of bread, we've forgotten the crust!" he cried suddenly in dismay.
3638_758_000028_000001	But the boys reminded him at once that he had taken the crust of bread already and that it was in his pocket.	But the boys reminded him at once that he had taken the crust of bread already and that it was in his pocket.
3638_758_000028_000002	He instantly pulled it out and was reassured.	He instantly pulled it out and was reassured.
3638_758_000029_000000	"Ilusha told me to, Ilusha," he explained at once to Alyosha.	"Ilusha told me to, Ilusha," he explained at once to Alyosha.
3638_758_000029_000001	"I was sitting by him one night and he suddenly told me: 'Father, when my grave is filled up crumble a piece of bread on it so that the sparrows may fly down, I shall hear and it will cheer me up not to be lying alone.' "	"I was sitting by him one night and he suddenly told me: 'Father, when my grave is filled up crumble a piece of bread on it so that the sparrows may fly down, I shall hear and it will cheer me up not to be lying alone.' "
3638_758_000030_000000	"That's a good thing," said Alyosha, "we must often take some."	"That's a good thing," said Alyosha, "we must often take some."
3638_758_000031_000000	"Every day, every day!" said the captain quickly, seeming cheered at the thought.	"Every day, every day!" said the captain quickly, seeming cheered at the thought.
3638_758_000032_000000	They reached the church at last and set the coffin in the middle of it. The boys surrounded it and remained reverently standing so, all through the service.	They reached the church at last and set the coffin in the middle of it. The boys surrounded it and remained reverently standing so, all through the service.
3638_758_000032_000001	It was an old and rather poor church; many of the ikons were without settings; but such churches are the best for praying in.	It was an old and rather poor church; many of the ikons were without settings; but such churches are the best for praying in.
3638_758_000032_000002	During the mass Snegiryov became somewhat calmer, though at times he had outbursts of the same unconscious and, as it were, incoherent anxiety.	During the mass Snegiryov became somewhat calmer, though at times he had outbursts of the same unconscious and, as it were, incoherent anxiety.
3638_758_000032_000004	During the prayer, "Like the Cherubim," he joined in the singing but did not go on to the end.	During the prayer, "Like the Cherubim," he joined in the singing but did not go on to the end.
3638_758_000033_000000	At last came the funeral service itself and candles were distributed.	At last came the funeral service itself and candles were distributed.
3638_758_000033_000001	The distracted father began fussing about again, but the touching and impressive funeral prayers moved and roused his soul.	The distracted father began fussing about again, but the touching and impressive funeral prayers moved and roused his soul.
3638_758_000033_000002	He seemed suddenly to shrink together and broke into rapid, short sobs, which he tried at first to smother, but at last he sobbed aloud.	He seemed suddenly to shrink together and broke into rapid, short sobs, which he tried at first to smother, but at last he sobbed aloud.
3638_758_000033_000003	When they began taking leave of the dead and closing the coffin, he flung his arms about, as though he would not allow them to cover Ilusha, and began greedily and persistently kissing his dead boy on the lips.	When they began taking leave of the dead and closing the coffin, he flung his arms about, as though he would not allow them to cover Ilusha, and began greedily and persistently kissing his dead boy on the lips.
3638_758_000033_000004	At last they succeeded in persuading him to come away from the step, but suddenly he impulsively stretched out his hand and snatched a few flowers from the coffin.	At last they succeeded in persuading him to come away from the step, but suddenly he impulsively stretched out his hand and snatched a few flowers from the coffin.
3638_758_000033_000005	He looked at them and a new idea seemed to dawn upon him, so that he apparently forgot his grief for a minute.	He looked at them and a new idea seemed to dawn upon him, so that he apparently forgot his grief for a minute.
3638_758_000033_000006	Gradually he seemed to sink into brooding and did not resist when the coffin was lifted up and carried to the grave.	Gradually he seemed to sink into brooding and did not resist when the coffin was lifted up and carried to the grave.
3638_758_000033_000007	It was an expensive one in the churchyard close to the church, Katerina Ivanovna had paid for it.	It was an expensive one in the churchyard close to the church, Katerina Ivanovna had paid for it.
3638_758_000033_000010	He did not seem to understand fully what was happening.	He did not seem to understand fully what was happening.
3638_758_000033_000011	When they began filling up the grave, he suddenly pointed anxiously at the falling earth and began trying to say something, but no one could make out what he meant, and he stopped suddenly.	When they began filling up the grave, he suddenly pointed anxiously at the falling earth and began trying to say something, but no one could make out what he meant, and he stopped suddenly.
3638_758_000033_000012	Then he was reminded that he must crumble the bread and he was awfully excited, snatched up the bread and began pulling it to pieces and flinging the morsels on the grave.	Then he was reminded that he must crumble the bread and he was awfully excited, snatched up the bread and began pulling it to pieces and flinging the morsels on the grave.
3638_758_000034_000000	"Come, fly down, birds, fly down, sparrows!" he muttered anxiously.	"Come, fly down, birds, fly down, sparrows!" he muttered anxiously.
3638_758_000035_000000	One of the boys observed that it was awkward for him to crumble the bread with the flowers in his hands and suggested he should give them to some one to hold for a time.	One of the boys observed that it was awkward for him to crumble the bread with the flowers in his hands and suggested he should give them to some one to hold for a time.
3638_758_000035_000001	But he would not do this and seemed indeed suddenly alarmed for his flowers, as though they wanted to take them from him altogether.	But he would not do this and seemed indeed suddenly alarmed for his flowers, as though they wanted to take them from him altogether.
3638_758_000035_000002	And after looking at the grave, and as it were, satisfying himself that everything had been done and the bread had been crumbled, he suddenly, to the surprise of every one, turned, quite composedly even, and made his way homewards.	And after looking at the grave, and as it were, satisfying himself that everything had been done and the bread had been crumbled, he suddenly, to the surprise of every one, turned, quite composedly even, and made his way homewards.
3638_758_000035_000003	But his steps became more and more hurried, he almost ran.	But his steps became more and more hurried, he almost ran.
3638_758_000035_000004	The boys and Alyosha kept up with him.	The boys and Alyosha kept up with him.
3638_758_000036_000000	"The flowers are for mamma, the flowers are for mamma!	"The flowers are for mamma, the flowers are for mamma!
3638_758_000036_000001	I was unkind to mamma," he began exclaiming suddenly.	I was unkind to mamma," he began exclaiming suddenly.
3638_758_000037_000000	Some one called to him to put on his hat as it was cold.	Some one called to him to put on his hat as it was cold.
3638_758_000037_000001	But he flung the hat in the snow as though he were angry and kept repeating, "I won't have the hat, I won't have the hat." Smurov picked it up and carried it after him.	But he flung the hat in the snow as though he were angry and kept repeating, "I won't have the hat, I won't have the hat." Smurov picked it up and carried it after him.
3638_758_000037_000004	He missed them, of course, and went on crying as he ran.	He missed them, of course, and went on crying as he ran.
3638_758_000037_000006	But the boys instantly overtook him and caught hold of him on all sides.	But the boys instantly overtook him and caught hold of him on all sides.
3638_758_000037_000007	Then he fell helpless on the snow as though he had been knocked down, and struggling, sobbing, and wailing, he began crying out, "Ilusha, old man, dear old man!" Alyosha and Kolya tried to make him get up, soothing and persuading him.	Then he fell helpless on the snow as though he had been knocked down, and struggling, sobbing, and wailing, he began crying out, "Ilusha, old man, dear old man!" Alyosha and Kolya tried to make him get up, soothing and persuading him.
3638_758_000038_000000	"Captain, give over, a brave man must show fortitude," muttered Kolya.	"Captain, give over, a brave man must show fortitude," muttered Kolya.
3638_758_000039_000000	"You'll spoil the flowers," said Alyosha, "and mamma is expecting them, she is sitting crying because you would not give her any before.	"You'll spoil the flowers," said Alyosha, "and mamma is expecting them, she is sitting crying because you would not give her any before.
3638_758_000039_000001	Ilusha's little bed is still there--"	Ilusha's little bed is still there-"
3638_758_000040_000000	"Yes, yes, mamma!" Snegiryov suddenly recollected, "they'll take away the bed, they'll take it away," he added as though alarmed that they really would.	"Yes, yes, mamma!" Snegiryov suddenly recollected, "they'll take away the bed, they'll take it away," he added as though alarmed that they really would.
3638_758_000040_000001	He jumped up and ran homewards again.	He jumped up and ran homewards again.
3638_758_000040_000002	But it was not far off and they all arrived together.	But it was not far off and they all arrived together.
3638_758_000040_000003	Snegiryov opened the door hurriedly and called to his wife with whom he had so cruelly quarreled just before:	Snegiryov opened the door hurriedly and called to his wife with whom he had so cruelly quarreled just before:
3638_758_000041_000000	"Mamma, poor crippled darling, Ilusha has sent you these flowers," he cried, holding out to her a little bunch of flowers that had been frozen and broken while he was struggling in the snow.	"Mamma, poor crippled darling, Ilusha has sent you these flowers," he cried, holding out to her a little bunch of flowers that had been frozen and broken while he was struggling in the snow.
3638_758_000041_000001	But at that instant he saw in the corner, by the little bed, Ilusha's little boots, which the landlady had put tidily side by side.	But at that instant he saw in the corner, by the little bed, Ilusha's little boots, which the landlady had put tidily side by side.
3638_758_000041_000002	Seeing the old, patched, rusty-looking, stiff boots he flung up his hands and rushed to them, fell on his knees, snatched up one boot and, pressing his lips to it, began kissing it greedily, crying, "Ilusha, old man, dear old man, where are your little feet?"	Seeing the old, patched, rusty looking, stiff boots he flung up his hands and rushed to them, fell on his knees, snatched up one boot and, pressing his lips to it, began kissing it greedily, crying, "Ilusha, old man, dear old man, where are your little feet?"
3638_758_000042_000000	"Where have you taken him away?	"Where have you taken him away?
3638_758_000042_000001	Where have you taken him?" the lunatic cried in a heartrending voice.	Where have you taken him?" the lunatic cried in a heartrending voice.
3638_758_000042_000002	Nina, too, broke into sobs.	Nina, too, broke into sobs.
3638_758_000043_000000	"Let them weep," he said to Kolya, "it's no use trying to comfort them just now.	"Let them weep," he said to Kolya, "it's no use trying to comfort them just now.
3638_758_000043_000001	Let us wait a minute and then go back."	Let us wait a minute and then go back."
3638_758_000044_000000	"No, it's no use, it's awful," Kolya assented.	"No, it's no use, it's awful," Kolya assented.
3638_758_000044_000001	"Do you know, Karamazov," he dropped his voice so that no one could hear them, "I feel dreadfully sad, and if it were only possible to bring him back, I'd give anything in the world to do it."	"Do you know, Karamazov," he dropped his voice so that no one could hear them, "I feel dreadfully sad, and if it were only possible to bring him back, I'd give anything in the world to do it."
3638_758_000045_000000	"Ah, so would I," said Alyosha.	"Ah, so would I," said Alyosha.
3638_758_000046_000000	"What do you think, Karamazov?	"What do you think, Karamazov?
3638_758_000046_000001	Had we better come back here to-night? He'll be drunk, you know."	Had we better come back here to night? He'll be drunk, you know."
3638_758_000047_000000	"Perhaps he will.	"Perhaps he will.
3638_758_000047_000001	Let us come together, you and I, that will be enough, to spend an hour with them, with the mother and Nina.	Let us come together, you and I, that will be enough, to spend an hour with them, with the mother and Nina.
3638_758_000047_000002	If we all come together we shall remind them of everything again," Alyosha suggested.	If we all come together we shall remind them of everything again," Alyosha suggested.
3638_758_000048_000000	"The landlady is laying the table for them now--there'll be a funeral dinner or something, the priest is coming; shall we go back to it, Karamazov?"	"The landlady is laying the table for them now-there'll be a funeral dinner or something, the priest is coming; shall we go back to it, Karamazov?"
3638_758_000049_000000	"Of course," said Alyosha.	"Of course," said Alyosha.
3638_758_000051_000000	"They are going to have salmon, too," the boy who had discovered about Troy observed in a loud voice.	"They are going to have salmon, too," the boy who had discovered about Troy observed in a loud voice.
3638_758_000052_000000	"I beg you most earnestly, Kartashov, not to interrupt again with your idiotic remarks, especially when one is not talking to you and doesn't care to know whether you exist or not!" Kolya snapped out irritably.	"I beg you most earnestly, Kartashov, not to interrupt again with your idiotic remarks, especially when one is not talking to you and doesn't care to know whether you exist or not!" Kolya snapped out irritably.
3638_758_000052_000001	The boy flushed crimson but did not dare to reply.	The boy flushed crimson but did not dare to reply.
3638_758_000054_000000	"There's Ilusha's stone, under which they wanted to bury him."	"There's Ilusha's stone, under which they wanted to bury him."
3638_758_000055_000000	They all stood still by the big stone.	They all stood still by the big stone.
3638_758_000055_000001	Alyosha looked and the whole picture of what Snegiryov had described to him that day, how Ilusha, weeping and hugging his father, had cried, "Father, father, how he insulted you," rose at once before his imagination.	Alyosha looked and the whole picture of what Snegiryov had described to him that day, how Ilusha, weeping and hugging his father, had cried, "Father, father, how he insulted you," rose at once before his imagination.
3638_758_000056_000000	A sudden impulse seemed to come into his soul.	A sudden impulse seemed to come into his soul.
3638_758_000056_000001	With a serious and earnest expression he looked from one to another of the bright, pleasant faces of Ilusha's schoolfellows, and suddenly said to them:	With a serious and earnest expression he looked from one to another of the bright, pleasant faces of Ilusha's schoolfellows, and suddenly said to them:
3638_758_000057_000000	"Boys, I should like to say one word to you, here at this place."	"Boys, I should like to say one word to you, here at this place."
3638_758_000058_000000	The boys stood round him and at once bent attentive and expectant eyes upon him.	The boys stood round him and at once bent attentive and expectant eyes upon him.
3638_758_000059_000000	"Boys, we shall soon part.	"Boys, we shall soon part.
3638_758_000059_000001	I shall be for some time with my two brothers, of whom one is going to Siberia and the other is lying at death's door. But soon I shall leave this town, perhaps for a long time, so we shall part.	I shall be for some time with my two brothers, of whom one is going to Siberia and the other is lying at death's door. But soon I shall leave this town, perhaps for a long time, so we shall part.
3638_758_000059_000003	And whatever happens to us later in life, if we don't meet for twenty years afterwards, let us always remember how we buried the poor boy at whom we once threw stones, do you remember, by the bridge?	And whatever happens to us later in life, if we don't meet for twenty years afterwards, let us always remember how we buried the poor boy at whom we once threw stones, do you remember, by the bridge?
3638_758_000059_000004	and afterwards we all grew so fond of him.	and afterwards we all grew so fond of him.
3638_758_000059_000005	He was a fine boy, a kind-hearted, brave boy, he felt for his father's honor and resented the cruel insult to him and stood up for him.	He was a fine boy, a kind hearted, brave boy, he felt for his father's honor and resented the cruel insult to him and stood up for him.
3638_758_000059_000006	And so in the first place, we will remember him, boys, all our lives.	And so in the first place, we will remember him, boys, all our lives.
3638_758_000059_000007	And even if we are occupied with most important things, if we attain to honor or fall into great misfortune--still let us remember how good it was once here, when we were all together, united by a good and kind feeling which made us, for the time we were loving that poor boy, better perhaps than we are.	And even if we are occupied with most important things, if we attain to honor or fall into great misfortune-still let us remember how good it was once here, when we were all together, united by a good and kind feeling which made us, for the time we were loving that poor boy, better perhaps than we are.
3638_758_000059_000008	My little doves--let me call you so, for you are very like them, those pretty blue birds, at this minute as I look at your good dear faces.	My little doves-let me call you so, for you are very like them, those pretty blue birds, at this minute as I look at your good dear faces.
3638_758_000059_000011	People talk to you a great deal about your education, but some good, sacred memory, preserved from childhood, is perhaps the best education.	People talk to you a great deal about your education, but some good, sacred memory, preserved from childhood, is perhaps the best education.
3638_758_000059_000012	If a man carries many such memories with him into life, he is safe to the end of his days, and if one has only one good memory left in one's heart, even that may sometime be the means of saving us.	If a man carries many such memories with him into life, he is safe to the end of his days, and if one has only one good memory left in one's heart, even that may sometime be the means of saving us.
3638_758_000059_000013	Perhaps we may even grow wicked later on, may be unable to refrain from a bad action, may laugh at men's tears and at those people who say as Kolya did just now, 'I want to suffer for all men,' and may even jeer spitefully at such people.	Perhaps we may even grow wicked later on, may be unable to refrain from a bad action, may laugh at men's tears and at those people who say as Kolya did just now, 'I want to suffer for all men,' and may even jeer spitefully at such people.
3638_758_000059_000015	What's more, perhaps, that one memory may keep him from great evil and he will reflect and say, 'Yes, I was good and brave and honest then!' Let him laugh to himself, that's no matter, a man often laughs at what's good and kind.	What's more, perhaps, that one memory may keep him from great evil and he will reflect and say, 'Yes, I was good and brave and honest then!' Let him laugh to himself, that's no matter, a man often laughs at what's good and kind.
3638_758_000059_000016	That's only from thoughtlessness.	That's only from thoughtlessness.
3638_758_000059_000017	But I assure you, boys, that as he laughs he will say at once in his heart, 'No, I do wrong to laugh, for that's not a thing to laugh at.' "	But I assure you, boys, that as he laughs he will say at once in his heart, 'No, I do wrong to laugh, for that's not a thing to laugh at.' "
3638_758_000060_000000	"That will be so, I understand you, Karamazov!" cried Kolya, with flashing eyes.	"That will be so, I understand you, Karamazov!" cried Kolya, with flashing eyes.
3638_758_000061_000000	The boys were excited and they, too, wanted to say something, but they restrained themselves, looking with intentness and emotion at the speaker.	The boys were excited and they, too, wanted to say something, but they restrained themselves, looking with intentness and emotion at the speaker.
3638_758_000062_000000	"I say this in case we become bad," Alyosha went on, "but there's no reason why we should become bad, is there, boys?	"I say this in case we become bad," Alyosha went on, "but there's no reason why we should become bad, is there, boys?
3638_758_000062_000001	Let us be, first and above all, kind, then honest and then let us never forget each other!	Let us be, first and above all, kind, then honest and then let us never forget each other!
3638_758_000062_000002	I say that again.	I say that again.
3638_758_000062_000003	I give you my word for my part that I'll never forget one of you.	I give you my word for my part that I'll never forget one of you.
3638_758_000062_000004	Every face looking at me now I shall remember even for thirty years.	Every face looking at me now I shall remember even for thirty years.
3638_758_000062_000005	Just now Kolya said to Kartashov that we did not care to know whether he exists or not.	Just now Kolya said to Kartashov that we did not care to know whether he exists or not.
3638_758_000062_000006	But I cannot forget that Kartashov exists and that he is not blushing now as he did when he discovered the founders of Troy, but is looking at me with his jolly, kind, dear little eyes.	But I cannot forget that Kartashov exists and that he is not blushing now as he did when he discovered the founders of Troy, but is looking at me with his jolly, kind, dear little eyes.
3638_758_000062_000008	But why am I talking about those two?	But why am I talking about those two?
3638_758_000062_000009	You are all dear to me, boys, from this day forth, I have a place in my heart for you all, and I beg you to keep a place in your hearts for me!	You are all dear to me, boys, from this day forth, I have a place in my heart for you all, and I beg you to keep a place in your hearts for me!
3638_758_000062_000010	Well, and who has united us in this kind, good feeling which we shall remember and intend to remember all our lives?	Well, and who has united us in this kind, good feeling which we shall remember and intend to remember all our lives?
3638_758_000062_000012	Let us never forget him.	Let us never forget him.
3638_758_000062_000013	May his memory live for ever in our hearts from this time forth!"	May his memory live for ever in our hearts from this time forth!"
3638_758_000063_000000	"Yes, yes, for ever, for ever!" the boys cried in their ringing voices, with softened faces.	"Yes, yes, for ever, for ever!" the boys cried in their ringing voices, with softened faces.
3638_758_000064_000000	"Let us remember his face and his clothes and his poor little boots, his coffin and his unhappy, sinful father, and how boldly he stood up for him alone against the whole school."	"Let us remember his face and his clothes and his poor little boots, his coffin and his unhappy, sinful father, and how boldly he stood up for him alone against the whole school."
3638_758_000065_000001	"He was brave, he was good!"	"He was brave, he was good!"
3638_758_000066_000000	"Ah, how I loved him!" exclaimed Kolya.	"Ah, how I loved him!" exclaimed Kolya.
3638_758_000067_000001	How good life is when one does something good and just!"	How good life is when one does something good and just!"
3638_758_000068_000000	"Yes, yes," the boys repeated enthusiastically.	"Yes, yes," the boys repeated enthusiastically.
3638_758_000069_000000	"Karamazov, we love you!" a voice, probably Kartashov's, cried impulsively.	"Karamazov, we love you!" a voice, probably Kartashov's, cried impulsively.
3638_758_000070_000000	"We love you, we love you!" they all caught it up.	"We love you, we love you!" they all caught it up.
3638_758_000070_000001	There were tears in the eyes of many of them.	There were tears in the eyes of many of them.
3638_758_000071_000000	"Hurrah for Karamazov!" Kolya shouted ecstatically.	"Hurrah for Karamazov!" Kolya shouted ecstatically.
3638_758_000072_000000	"And may the dead boy's memory live for ever!" Alyosha added again with feeling.	"And may the dead boy's memory live for ever!" Alyosha added again with feeling.
3638_758_000073_000000	"For ever!" the boys chimed in again.	"For ever!" the boys chimed in again.
3638_758_000074_000000	"Karamazov," cried Kolya, "can it be true what's taught us in religion, that we shall all rise again from the dead and shall live and see each other again, all, Ilusha too?"	"Karamazov," cried Kolya, "can it be true what's taught us in religion, that we shall all rise again from the dead and shall live and see each other again, all, Ilusha too?"
