7994_258960_000001_000000	CHAPTER 8	CHAPTER eight
7994_258960_000015_000008	Things yielding rent are not indestructible, but generally they are preserved undestroyed.	Things yielding rent are not indestructible, but generally they are preserved undestroyed.
7994_258960_000017_000000	5.	five.
7994_258960_000017_000002	When this allowance has been made, the income may be considered as a net sum not due to the sale, or to the using up of any part of the thing rented.	When this allowance has been made, the income may be considered as a net sum not due to the sale, or to the using up of any part of the thing rented.
7994_258960_000017_000003	This is the essential thought in typical rent--that it is the value of the surplus, or net product, of an economic agent leaving the agent itself unimpaired in efficiency.	This is the essential thought in typical rent-that it is the value of the surplus, or net product, of an economic agent leaving the agent itself unimpaired in efficiency.
7994_258960_000017_000004	The total product is sometimes called the "gross rent," but economic rent is "net rent."	The total product is sometimes called the "gross rent," but economic rent is "net rent."
7994_258960_000017_000005	This thought is made clearer by the following discussion.	This thought is made clearer by the following discussion.
7994_258960_000018_000000	Sec.	Sec.
7994_258960_000018_000002	THE HISTORY OF CONTRACT RENT AND CHANGES IN IT	THE HISTORY OF CONTRACT RENT AND CHANGES IN IT
7994_258960_000020_000000	1.	one.
7994_258960_000020_000002	The one is impersonal or economic; the other is personal or legal, being fixed by agreements between persons.	The one is impersonal or economic; the other is personal or legal, being fixed by agreements between persons.
7994_258960_000020_000003	The rents usually spoken of are contract rents.	The rents usually spoken of are contract rents.
7994_258960_000021_000000	The two diverge more or less.	The two diverge more or less.
7994_258960_000021_000002	Contracts of long standing often bind the tenant or borrower to pay either more or less than the present competitive price.	Contracts of long standing often bind the tenant or borrower to pay either more or less than the present competitive price.
7994_258960_000021_000003	If, after a time, the value of the use is greater than the contract rent, the tenant is fortunate in having his lease.	If, after a time, the value of the use is greater than the contract rent, the tenant is fortunate in having his lease.
7994_258960_000021_000004	But he is the loser if he is bound by lease or agreement to pay rent in a locality where land has become less valuable.	But he is the loser if he is bound by lease or agreement to pay rent in a locality where land has become less valuable.
7994_258960_000022_000000	Economic and contract rent usually diverge also because of the agreement that the owner, or lender, keep up the repairs and pay the taxes.	Economic and contract rent usually diverge also because of the agreement that the owner, or lender, keep up the repairs and pay the taxes.
7994_258960_000022_000001	Here it is simply the difference between gross and net rent.	Here it is simply the difference between gross and net rent.
7994_258960_000023_000001	If the contract rent is less than the economic rent, evidently the borrower enjoys a part of the usufruct, without charge, and to that degree is in the position of an owner.	If the contract rent is less than the economic rent, evidently the borrower enjoys a part of the usufruct, without charge, and to that degree is in the position of an owner.
7994_258960_000023_000002	The usufruct in this case is divided between the two parties.	The usufruct in this case is divided between the two parties.
7994_258960_000023_000003	Such instances were numerous in the Middle Ages in the renting of land, and still are found in many countries.	Such instances were numerous in the Middle Ages in the renting of land, and still are found in many countries.
7994_258960_000024_000000	Contract rent is based on economic rent and tends to conform to it whenever there is competition.	Contract rent is based on economic rent and tends to conform to it whenever there is competition.
7994_258960_000024_000001	The existence of economic rent is the basis of the agreement to pay contract rent.	The existence of economic rent is the basis of the agreement to pay contract rent.
7994_258960_000024_000002	Prospective hirers of agents forecast what the use will be worth to them and make their bids accordingly.	Prospective hirers of agents forecast what the use will be worth to them and make their bids accordingly.
7994_258960_000026_000002	Some provide that one party, some that the other party, shall keep up repairs.	Some provide that one party, some that the other party, shall keep up repairs.
7994_258960_000026_000004	If they count the gross product of an agent as rent, it is bad bookkeeping.	If they count the gross product of an agent as rent, it is bad bookkeeping.
7994_258960_000026_000005	In many cases it is necessary, therefore, to follow the form of the renting contract in order to determine the net yield of indirect goods.	In many cases it is necessary, therefore, to follow the form of the renting contract in order to determine the net yield of indirect goods.
7994_258960_000028_000000	3.	three.
7994_258960_000028_000002	But at a later stage, as in the Middle Ages in Europe, land and the things pertaining to it, as ditches, houses, mills, cattle, stock, and the few simple implements, constituted the larger portion of the wealth.	But at a later stage, as in the Middle Ages in Europe, land and the things pertaining to it, as ditches, houses, mills, cattle, stock, and the few simple implements, constituted the larger portion of the wealth.
7994_258960_000028_000003	Land was granted to the tenant or serf in return for services.	Land was granted to the tenant or serf in return for services.
7994_258960_000028_000004	The contract was pretty strictly drawn and all items were specified.	The contract was pretty strictly drawn and all items were specified.
7994_258960_000028_000005	It was not hard to hold the tenant to his contract to keep the land in about the same condition.	It was not hard to hold the tenant to his contract to keep the land in about the same condition.
7994_258960_000028_000006	There was a certain rotation of crops; the tenant was obliged to keep his stock up to standard; and, moreover, he had a certain interest in the land because his contract rent (as explained above) was less than the economic rent. The landlord, therefore, could count pretty surely on the undiminished power of his land and stock from one year to another.	There was a certain rotation of crops; the tenant was obliged to keep his stock up to standard; and, moreover, he had a certain interest in the land because his contract rent (as explained above) was less than the economic rent. The landlord, therefore, could count pretty surely on the undiminished power of his land and stock from one year to another.
7994_258960_000029_000000	At that time, truck and barter were the common modes of exchange, and rents were paid in products and services, not in money.	At that time, truck and barter were the common modes of exchange, and rents were paid in products and services, not in money.
7994_258960_000029_000001	The fruits of the soil were consumed on the spot instead of being sold as now.	The fruits of the soil were consumed on the spot instead of being sold as now.
7994_258960_000029_000002	Land was rarely, if ever, sold outright, so that there was no occasion to estimate its total selling value.	Land was rarely, if ever, sold outright, so that there was no occasion to estimate its total selling value.
7994_258960_000029_000004	Its yearly use was all that was subject to contract, sale, and exchange.	Its yearly use was all that was subject to contract, sale, and exchange.
7994_258960_000029_000006	Many medieval estates were so tied up by legal conditions that they could not be sold outright; all that the owner could do was to sell or mortgage the annual rental.	Many medieval estates were so tied up by legal conditions that they could not be sold outright; all that the owner could do was to sell or mortgage the annual rental.
7994_258960_000029_000007	Thus, in the Middle Ages, it was all but universal to look upon most indirect agents as exchangeable only under the renting contract, as subject to renting but not to complete transfer and sale.	Thus, in the Middle Ages, it was all but universal to look upon most indirect agents as exchangeable only under the renting contract, as subject to renting but not to complete transfer and sale.
7994_258960_000031_000003	He must agree to repay the loan in goods of the same kind and quality as those received, a contract most difficult to execute, and giving occasion to costly tests and countless disagreements.	He must agree to repay the loan in goods of the same kind and quality as those received, a contract most difficult to execute, and giving occasion to costly tests and countless disagreements.
7994_258960_000031_000005	With the growth of industry and commerce, wealth increased in towns, taking many forms, as those of ships, wagons, tools, and stocks of goods, that could not conveniently be rented.	With the growth of industry and commerce, wealth increased in towns, taking many forms, as those of ships, wagons, tools, and stocks of goods, that could not conveniently be rented.
7994_258960_000033_000001	It is a simple example of the association of ideas.	It is a simple example of the association of ideas.
7994_258960_000033_000002	In the transfer or loan of movable goods, the rent contract was quite overshadowed by the other form of contract, that of a money loan.	In the transfer or loan of movable goods, the rent contract was quite overshadowed by the other form of contract, that of a money loan.
7994_258960_000033_000003	According to this explanation the essential and primary difference between renting wealth and borrowing money at interest is not in the kind of wealth whose use is thus temporarily transferred, but in the nature of the contract.	According to this explanation the essential and primary difference between renting wealth and borrowing money at interest is not in the kind of wealth whose use is thus temporarily transferred, but in the nature of the contract.
7994_258960_000033_000004	But as forms of wealth differ in their fitness for transfer under the two forms of contract, there goes on a competition between them, as a result of which each becomes associated with certain groups of goods.	But as forms of wealth differ in their fitness for transfer under the two forms of contract, there goes on a competition between them, as a result of which each becomes associated with certain groups of goods.
7994_258960_000033_000005	In the Middle Ages the renting contract was the dominant form, but it has been progressively displaced by loans in the money form, and its importance is still declining.	In the Middle Ages the renting contract was the dominant form, but it has been progressively displaced by loans in the money form, and its importance is still declining.
7994_258960_000035_000000	5.	five.
7994_258960_000035_000002	Under the old, almost fixed, conditions in agriculture such a lease was equitable, but when prices are rapidly changing and when new methods are being introduced, it gives rise to great hardships.	Under the old, almost fixed, conditions in agriculture such a lease was equitable, but when prices are rapidly changing and when new methods are being introduced, it gives rise to great hardships.
7994_258960_000035_000003	About twenty-five years ago, the great fall in the price of agricultural products brought ruin to many of the tenant farmers.	About twenty five years ago, the great fall in the price of agricultural products brought ruin to many of the tenant farmers.
7994_258960_000035_000005	When the lease expired, the landlord could appropriate all the improvements that the tenant had made.	When the lease expired, the landlord could appropriate all the improvements that the tenant had made.
7994_258960_000035_000006	In America farms are let usually on shares, and from year to year, but the plan of a money rent is increasingly followed.	In America farms are let usually on shares, and from year to year, but the plan of a money rent is increasingly followed.
7994_258960_000035_000007	The difficulty of getting an equitable arrangement between landlord and tenant is recognized by all.	The difficulty of getting an equitable arrangement between landlord and tenant is recognized by all.
7994_258960_000035_000009	On the other hand, the tenant under the renting contract has little motive for improvement, and many occasions for discontent.	On the other hand, the tenant under the renting contract has little motive for improvement, and many occasions for discontent.
7994_258960_000035_000010	So in America, far more than in the older countries, land changes hands by sale, the purchaser going into debt for it, giving his note and paying interest on the loan rather than rent for the farm.	So in America, far more than in the older countries, land changes hands by sale, the purchaser going into debt for it, giving his note and paying interest on the loan rather than rent for the farm.
7994_258960_000037_000000	Many less durable goods are rented for brief periods.	Many less durable goods are rented for brief periods.
7994_258960_000037_000001	Carriages are rented for the day, bicycles by the week or month.	Carriages are rented for the day, bicycles by the week or month.
7994_258960_000037_000002	Sewing-machines, boats, guns, tents, and even diamond engagement rings, yield their joys under the renting contract.	Sewing machines, boats, guns, tents, and even diamond engagement rings, yield their joys under the renting contract.
7994_258960_000037_000003	People frequently hesitate between the renting and the purchase of a piano, and in some cases renting is the more convenient and desirable way of securing its use.	People frequently hesitate between the renting and the purchase of a piano, and in some cases renting is the more convenient and desirable way of securing its use.
7994_258960_000037_000004	The purchase of a dress-coat or of a masquerade-suit to be worn but once, involves for some an excessive and needless sacrifice.	The purchase of a dress coat or of a masquerade suit to be worn but once, involves for some an excessive and needless sacrifice.
7994_258960_000037_000005	For a moderate sum its temporary use may be had, and it is then returned, little the worse for wear, to the accommodating clothier.	For a moderate sum its temporary use may be had, and it is then returned, little the worse for wear, to the accommodating clothier.
7994_258960_000039_000000	A final word of caution may be given.	A final word of caution may be given.
7994_258960_000039_000001	Economic rent is not confined to the cases of contract rent.	Economic rent is not confined to the cases of contract rent.
7994_258960_000039_000003	The owner who uses a thing himself gets the advantage in the product as clearly as if he collected rent from a borrower.	The owner who uses a thing himself gets the advantage in the product as clearly as if he collected rent from a borrower.
