2201_7371_000000_000000	CHAPTER IV.	CHAPTER four.	false	0.9	22.86	20.251188
2201_7371_000003_000001	By the second of the rules, annexed to the act of parliament, which imposed what is now called the old subsidy, every merchant, whether English or alien. was allowed to draw back half that duty upon exportation; the English merchant, provided the exportation took place within twelve months; the alien, provided it took place within nine months.	By the second of the rules, annexed to the act of parliament, which imposed what is now called the old subsidy, every merchant, whether English or alien. was allowed to draw back half that duty upon exportation; the English merchant, provided the exportation took place within twelve months; the alien, provided it took place within nine months.	true	120.44	141.04	21
2201_7371_000003_000002	Wines, currants, and wrought silks, were the only goods which did not fall within this rule, having other and more advantageous allowances.	Wines, currants, and wrought silks, were the only goods which did not fall within this rule, having other and more advantageous allowances.	true	141.62	149.89	15
2201_7371_000003_000003	The duties imposed by this act of parliament were, at that time, the only duties upon the importation of foreign goods.	The duties imposed by this act of parliament were, at that time, the only duties upon the importation of foreign goods.	true	150.47	157.24	15
2201_7371_000003_000004	The term within which this, and all other drawbacks could be claimed, was afterwards (by 7 Geo.	The term within which this, and all other drawbacks could be claimed, was afterwards (by seven Geo.	false	157.79	162.6	16
2201_7371_000003_000005	I. chap.	I. chap.	false	162.6	162.6	
2201_7371_000003_000006	21.	twenty one.	false	162.6	162.6	
2201_7371_000003_000007	sect. 10.) extended to three years.	sect. ten.) extended to three years.	false	162.6	164.26	18
2201_7371_000004_000000	The duties which have been imposed since the old subsidy, are, the greater part of them, wholly drawn back upon exportation.	The duties which have been imposed since the old subsidy, are, the greater part of them, wholly drawn back upon exportation.	true	165.38	172.45	19
2201_7371_000004_000001	This general rule, however, is liable to a great number of exceptions; and the doctrine of drawbacks has become a much less simple matter than it was at their first institution.	This general rule, however, is liable to a great number of exceptions; and the doctrine of drawbacks has become a much less simple matter than it was at their first institution.	true	172.94	182.92	16
2201_7371_000005_000000	Upon the exportation of some foreign goods, of which it was expected that the importation would greatly exceed what was necessary for the home consumption, the whole duties are drawn back, without retaining even half the old subsidy.	Upon the exportation of some foreign goods, of which it was expected that the importation would greatly exceed what was necessary for the home consumption, the whole duties are drawn back, without retaining even half the old subsidy.	true	184.16	197.14	17
2201_7371_000005_000001	Before the revolt of our North American colonies, we had the monopoly of the tobacco of Maryland and Virginia. We imported about ninety-six thousand hogsheads, and the home consumption was not supposed to exceed fourteen thousand.	Before the revolt of our North American colonies, we had the monopoly of the tobacco of Maryland and Virginia. We imported about ninety six thousand hogsheads, and the home consumption was not supposed to exceed fourteen thousand.	true	197.69	211.45	15
2201_7371_000005_000002	To facilitate the great exportation which was necessary, in order to rid us of the rest, the whole duties were drawn back, provided the exportation took place within three years.	To facilitate the great exportation which was necessary, in order to rid us of the rest, the whole duties were drawn back, provided the exportation took place within three years.	true	211.97	222.7	16
2201_7371_000006_000000	We still have, though not altogether, yet very nearly, the monopoly of the sugars of our West Indian islands.	We still have, though not altogether, yet very nearly, the monopoly of the sugars of our West Indian islands.	true	223.94	230.29	15
2201_7371_000006_000001	If sugars are exported within a year, therefore, all the duties upon importation are drawn back; and if exported within three years, all the duties, except half the old subsidy, which still continues to be retained upon the exportation of the greater part of goods.	If sugars are exported within a year, therefore, all the duties upon importation are drawn back; and if exported within three years, all the duties, except half the old subsidy, which still continues to be retained upon the exportation of the greater part of goods.	true	230.81	246.04	18
2201_7371_000006_000002	Though the importation of sugar exceeds a good deal what is necessary for the home consumption, the excess is inconsiderable, in comparison of what it used to be in tobacco.	Though the importation of sugar exceeds a good deal what is necessary for the home consumption, the excess is inconsiderable, in comparison of what it used to be in tobacco.	true	246.59	256.15	17
2201_7371_000007_000000	Some goods, the particular objects of the jealousy of our own manufacturers, are prohibited to be imported for home consumption.	Some goods, the particular objects of the jealousy of our own manufacturers, are prohibited to be imported for home consumption.	false	257.42	264.94	18
2201_7371_000007_000001	They may, however, upon paying certain duties, be imported and warehoused for exportation.	They may, however, upon paying certain duties, be imported and warehoused for exportation.	true	265.43	271.42	19
2201_7371_000007_000002	But upon such exportation no part of these duties is drawn back.	But upon such exportation no part of these duties is drawn back.	true	271.94	276.07	18
2201_7371_000007_000003	Our manufacturers are unwilling, it seems, that even this restricted importation should be encouraged, and are afraid lest some part of these goods should be stolen out of the warehouse, and thus come into competition with their own.	Our manufacturers are unwilling, it seems, that even this restricted importation should be encouraged, and are afraid lest some part of these goods should be stolen out of the warehouse, and thus come into competition with their own.	true	276.44	289.75	17
2201_7371_000007_000004	It is under these regulations only that we can import wrought silks, French cambrics and lawns, calicoes, painted, printed, stained, or dyed, etc.	It is under these regulations only that we can import wrought silks, French cambrics and lawns, calicoes, painted, printed, stained, or dyed, etc	true	290.18	299.41	20
2201_7371_000008_000000	We are unwilling even to be the carriers of French goods, and choose rather to forego a profit to ourselves than to suffer those whom we consider as our enemies to make any profit by our means.	We are unwilling even to be the carriers of French goods, and choose rather to forego a profit to ourselves than to suffer those whom we consider as our enemies to make any profit by our means.	true	300.26	311.35	16
2201_7371_000008_000001	Not only half the old subsidy, but the second twenty-five per cent. is retained upon the exportation of all French goods.	Not only half the old subsidy, but the second twenty five per cent. is retained upon the exportation of all French goods.	true	311.96	319.3	18
2201_7371_000009_000000	By the fourth of the rules annexed to the old subsidy, the drawback allowed upon the exportation of all wines amounted to a great deal more than half the duties which were at that time paid upon their importation; and it seems at that time to have been the object of the legislature to give somewhat more than ordinary encouragement to the carrying trade in wine.	By the fourth of the rules annexed to the old subsidy, the drawback allowed upon the exportation of all wines amounted to a great deal more than half the duties which were at that time paid upon their importation; and it seems at that time to have been the object of the legislature to give somewhat more than ordinary encouragement to the carrying trade in wine.	false	320.42	340.9	16
2201_7371_000009_000001	Several of the other duties, too which were imposed either at the same time or subsequent to the old subsidy, what is called the additional duty, the new subsidy, the one-third and two-thirds subsidies, the impost 1692, the tonnage on wine, were allowed to be wholly drawn back upon exportation.	Several of the other duties, too which were imposed either at the same time or subsequent to the old subsidy, what is called the additional duty, the new subsidy, the one third and two thirds subsidies, the impost sixteen ninety two, the tonnage on wine, were allowed to be wholly drawn back upon exportation.	true	341.42	360.55	19
2201_7371_000009_000002	All those duties, however, except the additional duty and impost 1692, being paid down in ready money upon importation, the interest of so large a sum occasioned an expense, which made it unreasonable to expect any profitable carrying trade in this article.	All those duties, however, except the additional duty and impost sixteen ninety two, being paid down in ready money upon importation, the interest of so large a sum occasioned an expense, which made it unreasonable to expect any profitable carrying trade in this article.	true	361.07	377.32	17
2201_7371_000009_000003	Only a part, therefore of the duty called the impost on wine, and no part of the twenty-five pounds the ton upon French wines, or of the duties imposed in 1745, in 1763, and in 1778, were allowed to be drawn back upon exportation.	Only a part, therefore of the duty called the impost on wine, and no part of the twenty five pounds the ton upon French wines, or of the duties imposed in seventeen forty five, in seventeen sixty three, and in seventeen seventy eight, were allowed to be drawn back upon exportation.	true	377.87	394.96	17
2201_7371_000009_000004	The two imposts of five per cent. imposed in 1779 and 1781, upon all the former duties of customs, being allowed to be wholly drawn back upon the exportation of all other goods, were likewise allowed to be drawn back upon that of wine.	The two imposts of five per cent. imposed in seventeen seventy nine and seventeen eighty one, upon all the former duties of customs, being allowed to be wholly drawn back upon the exportation of all other goods, were likewise allowed to be drawn back upon that of wine.	false	395.42	410.83	16
2201_7371_000009_000005	The last duty that has been particularly imposed upon wine, that of 1780, is allowed to be wholly drawn back; an indulgence which, when so many heavy duties are retained, most probably could never occasion the exportation of a single ton of wine.	The last duty that has been particularly imposed upon wine, that of seventeen eighty, is allowed to be wholly drawn back; an indulgence which, when so many heavy duties are retained, most probably could never occasion the exportation of a single ton of wine.	true	411.44	427.33	18
2201_7371_000009_000006	These rules took place with regard to all places of lawful exportation, except the British colonies in America.	These rules took place with regard to all places of lawful exportation, except the British colonies in America.	true	427.82	434.68	21
2201_7371_000010_000000	The 15th Charles II, chap.	The fifteenth Charles the second, chap.	false	435.92	438.27	25
2201_7371_000010_000001	7, called an act for the encouragement of trade, had given Great Britain the monopoly of supplying the colonies with all the commodities of the growth or manufacture of Europe, and consequently with wines.	seven, called an act for the encouragement of trade, had given Great Britain the monopoly of supplying the colonies with all the commodities of the growth or manufacture of Europe, and consequently with wines.	true	438.27	450.1	18
2201_7371_000010_000002	In a country of so extensive a coast as our North American and West Indian colonies, where our authority was always so very slender, and where the inhabitants were allowed to carry out in their own ships their non-enumerated commodities, at first to all parts of Europe, and afterwards to all parts of Europe south of Cape Finisterre, it is not very probable that this monopoly could ever be much respected; and they probably at all times found means of bringing back some cargo from the countries to which they were allowed to carry out one.	In a country of so extensive a coast as our North American and West Indian colonies, where our authority was always so very slender, and where the inhabitants were allowed to carry out in their own ships their non enumerated commodities, at first to all parts of Europe, and afterwards to all parts of Europe south of Cape Finisterre, it is not very probable that this monopoly could ever be much respected; and they probably at all times found means of bringing back some cargo from the countries to which they were allowed to carry out one.	true	450.62	479.92	17
2201_7371_000010_000003	They seem, however, to have found some difficulty in importing European wines from the places of their growth; and they could not well import them from Great Britain, where they were loaded with many heavy duties, of which a considerable part was not drawn back upon exportation.	They seem, however, to have found some difficulty in importing European wines from the places of their growth; and they could not well import them from Great Britain, where they were loaded with many heavy duties, of which a considerable part was not drawn back upon exportation.	true	480.38	495.43	17
2201_7371_000010_000004	Madeira wine, not being an European commodity, could be imported directly into America and the West Indies, countries which, in all their non-enumerated commodities, enjoyed a free trade to the island of Madeira.	Madeira wine, not being an European commodity, could be imported directly into America and the West Indies, countries which, in all their non enumerated commodities, enjoyed a free trade to the island of Madeira.	false	495.98	508.66	16
2201_7371_000010_000005	These circumstances had probably introduced that general taste for Madeira wine, which our officers found established in all our colonies at the commencement of the war which began in 1755, and which they brought back with them to the mother country, where that wine had not been much in fashion before.	These circumstances had probably introduced that general taste for Madeira wine, which our officers found established in all our colonies at the commencement of the war which began in seventeen fifty five, and which they brought back with them to the mother country, where that wine had not been much in fashion before.	true	509	525.34	16
2201_7371_000010_000006	Upon the conclusion of that war, in 1763 (by the 4th Geo.	Upon the conclusion of that war, in seventeen sixty three (by the fourth Geo.	false	525.95	529.44	17
2201_7371_000010_000007	III, chap. 15, sect.	three, chap. fifteen, sect.	false	529.44	529.56	0
2201_7371_000010_000008	12), all the duties except £3, 10s. were allowed to be drawn back upon the exportation to the colonies of all wines, except French wines, to the commerce and consumption of which national prejudice would allow no sort of encouragement.	twelve), all the duties except three pounds, tens. were allowed to be drawn back upon the exportation to the colonies of all wines, except French wines, to the commerce and consumption of which national prejudice would allow no sort of encouragement.	false	529.56	543.22	18
2201_7371_000010_000009	The period between the granting of this indulgence and the revolt of our North American colonies, was probably too short to admit of any considerable change in the customs of those countries.	The period between the granting of this indulgence and the revolt of our North American colonies, was probably too short to admit of any considerable change in the customs of those countries.	true	543.68	553.81	15
2201_7371_000011_000000	The same act which, in the drawbacks upon all wines, except French wines, thus favoured the colonies so much more than other countries, in those upon the greater part of other commodities, favoured them much less.	The same act which, in the drawbacks upon all wines, except French wines, thus favoured the colonies so much more than other countries, in those upon the greater part of other commodities, favoured them much less.	true	555.08	566.92	18
2201_7371_000011_000001	Upon the exportation of the greater part of commodities to other countries, half the old subsidy was drawn back.	Upon the exportation of the greater part of commodities to other countries, half the old subsidy was drawn back.	true	567.47	573.91	20
2201_7371_000011_000002	But this law enacted, that no part of that duty should be drawn back upon the exportation to the colonies of any commodities of the growth or manufacture either of Europe or the East Indies, except wines, white calicoes, and muslins.	But this law enacted, that no part of that duty should be drawn back upon the exportation to the colonies of any commodities of the growth or manufacture either of Europe or the East Indies, except wines, white calicoes, and muslins.	true	574.37	588.43	18
2201_7371_000012_000000	Drawbacks were, perhaps, originally granted for the encouragement of the carrying trade, which, as the freight of the ship is frequently paid by foreigners in money, was supposed to be peculiarly fitted for bringing gold and silver into the country.	Drawbacks were, perhaps, originally granted for the encouragement of the carrying trade, which, as the freight of the ship is frequently paid by foreigners in money, was supposed to be peculiarly fitted for bringing gold and silver into the country.	true	589.82	603.43	17
2201_7371_000012_000001	But though the carrying trade certainly deserves no peculiar encouragement, though the motive of the institution was, perhaps, abundantly foolish, the institution itself seems reasonable enough.	But though the carrying trade certainly deserves no peculiar encouragement, though the motive of the institution was, perhaps, abundantly foolish, the institution itself seems reasonable enough.	true	603.92	615.07	17
2201_7371_000012_000002	Such drawbacks cannot force into this trade a greater share of the capital of the country than what would have gone to it of its own accord, had there been no duties upon importation; they only prevent its being excluded altogether by those duties.	Such drawbacks cannot force into this trade a greater share of the capital of the country than what would have gone to it of its own accord, had there been no duties upon importation; they only prevent its being excluded altogether by those duties.	true	615.5	629.47	18
2201_7371_000012_000003	The carrying trade, though it deserves no preference, ought not to be precluded, but to be left free, like all other trades.	The carrying trade, though it deserves no preference, ought not to be precluded, but to be left free, like all other trades.	true	630.02	637.06	20
2201_7371_000012_000004	It is a necessary resource to those capitals which cannot find employment, either in the agriculture or in the manufactures of the country, either in its home trade, or in its foreign trade of consumption.	It is a necessary resource to those capitals which cannot find employment, either in the agriculture or in the manufactures of the country, either in its home trade, or in its foreign trade of consumption.	true	637.58	649.21	18
2201_7371_000013_000000	The revenue of the customs, instead of suffering, profits from such drawbacks, by that part of the duty which is retained.	The revenue of the customs, instead of suffering, profits from such drawbacks, by that part of the duty which is retained.	true	650.45	657.37	21
2201_7371_000013_000001	If the whole duties had been retained, the foreign goods upon which they are paid could seldom have been exported, nor consequently imported, for want of a market.	If the whole duties had been retained, the foreign goods upon which they are paid could seldom have been exported, nor consequently imported, for want of a market.	false	657.77	666.97	19
2201_7371_000013_000002	The duties, therefore, of which a part is retained, would never have been paid.	The duties, therefore, of which a part is retained, would never have been paid.	true	667.43	671.56	18
2201_7371_000014_000000	These reasons seem sufficiently to justify drawbacks, and would justify them, though the whole duties, whether upon the produce of domestic industry or upon foreign goods, were always drawn back upon exportation. The revenue of excise would, in this case indeed, suffer a little, and that of the customs a good deal more; but the natural balance of industry, the natural division and distribution of labour, which is always more or less disturbed by such duties, would be more nearly re-established by such a regulation.	These reasons seem sufficiently to justify drawbacks, and would justify them, though the whole duties, whether upon the produce of domestic industry or upon foreign goods, were always drawn back upon exportation. The revenue of excise would, in this case indeed, suffer a little, and that of the customs a good deal more; but the natural balance of industry, the natural division and distribution of labour, which is always more or less disturbed by such duties, would be more nearly re-established by such a regulation.	true	672.8	702.85	17
2201_7371_000015_000000	These reasons, however, will justify drawbacks only upon exporting goods to those countries which are altogether foreign and independent, not to those in which our merchants and manufacturers enjoy a monopoly.	These reasons, however, will justify drawbacks only upon exporting goods to those countries which are altogether foreign and independent, not to those in which our merchants and manufacturers enjoy a monopoly.	true	703.88	715.99	16
2201_7371_000015_000001	A drawback, for example, upon the exportation of European goods to our American colonies, will not always occasion a greater exportation than what would have taken place without it.	A drawback, for example, upon the exportation of European goods to our American colonies, will not always occasion a greater exportation than what would have taken place without it.	true	716.33	726.19	17
2201_7371_000015_000002	By means of the monopoly which our merchants and manufacturers enjoy there, the same quantity might frequently, perhaps, be sent thither, though the whole duties were retained.	By means of the monopoly which our merchants and manufacturers enjoy there, the same quantity might frequently, perhaps, be sent thither, though the whole duties were retained.	true	726.68	736.21	18
2201_7371_000015_000003	The drawback, therefore, may frequently be pure loss to the revenue of excise and customs, without altering the state of the trade, or rendering it in any respect more extensive.	The drawback, therefore, may frequently be pure loss to the revenue of excise and customs, without altering the state of the trade, or rendering it in any respect more extensive.	true	736.7	747.19	17
2201_7371_000015_000004	How far such drawbacks can be justified as a proper encouragement to the industry of our colonies, or how far it is advantageous to the mother country that they should be exempted from taxes which are paid by all the rest of their fellow-subjects, will appear hereafter, when I come to treat of colonies.	How far such drawbacks can be justified as a proper encouragement to the industry of our colonies, or how far it is advantageous to the mother country that they should be exempted from taxes which are paid by all the rest of their fellow subjects, will appear hereafter, when I come to treat of colonies.	true	747.68	763.9	18
2201_7371_000016_000000	Drawbacks, however, it must always be understood, are useful only in those cases in which the goods, for the exportation of which they are given, are really exported to some foreign country, and not clandestinely re-imported into our own.	Drawbacks, however, it must always be understood, are useful only in those cases in which the goods, for the exportation of which they are given, are really exported to some foreign country, and not clandestinely re imported into our own.	true	765.02	779.41	18
2201_7371_000016_000001	That some drawbacks, particularly those upon tobacco, have frequently been abused in this manner, and have given occasion to many frauds, equally hurtful both to the revenue and to the fair trader, is well known.	That some drawbacks, particularly those upon tobacco, have frequently been abused in this manner, and have given occasion to many frauds, equally hurtful both to the revenue and to the fair trader, is well known.	false	779.93	792.06	19
2201_7371_000017_000000	CHAPTER V. OF BOUNTIES.	CHAPTER five OF BOUNTIES.	false	792.06	792.6	-7
2201_7371_000018_000000	Bounties upon exportation are, in Great Britain, frequently petitioned for, and sometimes granted, to the produce of particular branches of domestic industry.	Bounties upon exportation are, in Great Britain, frequently petitioned for, and sometimes granted, to the produce of particular branches of domestic industry.	false	792.6	794.64	23.097977
2201_7371_000018_000001	By means of them, our merchants and manufacturers, it is pretended, will be enabled to sell their goods as cheap or cheaper than their rivals in the foreign market.	By means of them, our merchants and manufacturers, it is pretended, will be enabled to sell their goods as cheap or cheaper than their rivals in the foreign market.	false	794.64	794.67	8
2201_7371_000018_000002	A greater quantity, it is said, will thus be exported, and the balance of trade consequently turned more in favour of our own country.	A greater quantity, it is said, will thus be exported, and the balance of trade consequently turned more in favour of our own country.	false	794.67	794.7	-20
2201_7371_000018_000003	We cannot give our workmen a monopoly in the foreign, as we have done in the home market.	We cannot give our workmen a monopoly in the foreign, as we have done in the home market.	false	794.7	794.73	-4
2201_7371_000018_000004	We cannot force foreigners to buy their goods, as we have done our own countrymen.	We cannot force foreigners to buy their goods, as we have done our own countrymen.	false	794.73	794.76	13
2201_7371_000018_000005	The next best expedient, it has been thought, therefore, is to pay them for buying.	The next best expedient, it has been thought, therefore, is to pay them for buying.	false	794.76	795.45	21.895199
2201_7371_000018_000006	It is in this manner that the mercantile system proposes to enrich the whole country, and to put money into all our pockets, by means of the balance of trade.	It is in this manner that the mercantile system proposes to enrich the whole country, and to put money into all our pockets, by means of the balance of trade.	false	795.45	801	15.366064
