7313_91072_000000_000000	HORACE GREELEY.	HORACE GREELEY.	true	22.665	23.98	24.565086
7313_91072_000007_000001	From earliest childhood he had determined to be a printer; so, when eleven years of age, he walked nine miles to see the publisher of a newspaper, and obtain a situation.	From earliest childhood he had determined to be a printer; so, when eleven years of age, he walked nine miles to see the publisher of a newspaper, and obtain a situation.	true	274.37	284.95	22.613497
7313_91072_000007_000002	The editor looked at the small, tow-haired boy, shook his head, and said, "You are too young." With a heavy heart the child walked the long nine miles back again.	The editor looked at the small, tow haired boy, shook his head, and said, "You are too young." With a heavy heart the child walked the long nine miles back again.	true	285.59	296.89	22.48139
7313_91072_000007_000003	But he must do something; and, a little later, with seventy-five cents in his pocket, and some food tied in a bundle, which he hung on the end of a stick, slung over his shoulder, he walked one hundred and twenty miles back to New Hampshire, to see his relatives.	But he must do something; and, a little later, with seventy five cents in his pocket, and some food tied in a bundle, which he hung on the end of a stick, slung over his shoulder, he walked one hundred and twenty miles back to New Hampshire, to see his relatives.	true	297.29	313.93	24.492985
7313_91072_000007_000004	After some weeks he returned, with a few more cents in his purse than when he started!	After some weeks he returned, with a few more cents in his purse than when he started!	true	314.48	319.63	24.359777
7313_91072_000008_000000	The father Greeley ought to have foreseen that such energy and will would produce results; but because Horace, in a fit of abstraction, tried to yoke the "off" ox on the "near" side, he said, "Ah! that boy will never get along in the world.	The father Greeley ought to have foreseen that such energy and will would produce results; but because Horace, in a fit of abstraction, tried to yoke the "off" ox on the "near" side, he said, "Ah! that boy will never get along in the world.	true	320.72	338.14	20.380037
7313_91072_000008_000001	He'll never know more than enough to come in when it rains." Alas! for the blindness of Zaccheus Greeley, whose name even would not be remembered but for his illustrious son.	He'll never know more than enough to come in when it rains." Alas! for the blindness of Zaccheus Greeley, whose name even would not be remembered but for his illustrious son.	true	338.18	350.02	21.869919
7313_91072_000009_000000	When Horace was fourteen, he read in a newspaper that an apprentice was wanted in a printing-office eleven miles distant.	When Horace was fourteen, he read in a newspaper that an apprentice was wanted in a printing office eleven miles distant.	true	351.56	358.87	27.625498
7313_91072_000009_000001	He hastened thither, and, though unprepossessing, from his thin voice, short pantaloons, lack of stockings, and worn hat, he was hired on trial.	He hastened thither, and, though unprepossessing, from his thin voice, short pantaloons, lack of stockings, and worn hat, he was hired on trial.	true	359.48	370.42	24.573732
7313_91072_000009_000002	The first day he worked at the types in silence.	The first day he worked at the types in silence.	true	371.18	373.99	25.590977
7313_91072_000009_000003	Finally the boys began to tease him with saucy remarks, and threw type at him; but he paid no attention.	Finally the boys began to tease him with saucy remarks, and threw type at him; but he paid no attention.	true	374.33	381.31	22.094975
7313_91072_000009_000004	On the third day, one of the apprentices took a large black ball, used to put ink on the type, and remarking that Horace's hair was too light, daubed his head four times.	On the third day, one of the apprentices took a large black ball, used to put ink on the type, and remarking that Horace's hair was too light, daubed his head four times.	true	381.95	393.82	24.27611
7313_91072_000009_000005	The pressman and editor both stopped their labors to witness a fight; but they were disappointed, for the boy never turned from his work.	The pressman and editor both stopped their labors to witness a fight; but they were disappointed, for the boy never turned from his work.	true	394.52	403.09	23.088995
7313_91072_000009_000006	He soon left his desk, spent an hour in washing the ink from his hair, and returned to his duties.	He soon left his desk, spent an hour in washing the ink from his hair, and returned to his duties.	true	403.58	410.23	24.78673
7313_91072_000009_000007	Seeing that he could not be irritated, and that he was determined to work, he became a great favorite.	Seeing that he could not be irritated, and that he was determined to work, he became a great favorite.	true	410.99	417.76	21.47007
7313_91072_000010_000000	When at his type, he would often compose paragraphs for the paper, setting up the words without writing them out.	When at his type, he would often compose paragraphs for the paper, setting up the words without writing them out.	true	419.42	425.86	23.976902
7313_91072_000010_000001	He soon joined a debating society, composed of the best-informed persons of the little town of East Poultney,--the minister, the doctor, the lawyer, the schoolteachers, and the like.	He soon joined a debating society, composed of the best informed persons of the little town of East Poultney,--the minister, the doctor, the lawyer, the schoolteachers, and the like.	true	426.5	437.98	24.149546
7313_91072_000010_000002	What was their surprise to find that the young printer knew almost every thing, and was always ready to speak, or read an essay.	What was their surprise to find that the young printer knew almost every thing, and was always ready to speak, or read an essay.	true	438.53	445.81	24.208515
7313_91072_000011_000000	He was often laughed at because of his poor clothes, and pitied because, slender and pale as he was, he never wore an overcoat; but he used to say, "I guess I'd better wear my old clothes than run in debt for new ones." Ah! they did not know that every penny was saved and sent to the father, struggling to clear a farm in the wilderness in Pennsylvania. During his four years' apprenticeship he visited his parents twice, though six hundred miles distant, and walked most of the way.	He was often laughed at because of his poor clothes, and pitied because, slender and pale as he was, he never wore an overcoat; but he used to say, "I guess I'd better wear my old clothes than run in debt for new ones." Ah! they did not know that every penny was saved and sent to the father, struggling to clear a farm in the wilderness in Pennsylvania. During his four years' apprenticeship he visited his parents twice, though six hundred miles distant, and walked most of the way.	true	447.08	481.03	23.47519
7313_91072_000012_000000	Soon after he had learned his trade, the newspaper suspended, and he was thrown out of work.	Soon after he had learned his trade, the newspaper suspended, and he was thrown out of work.	true	482.18	487.87	23.87374
7313_91072_000012_000001	The people with whom he boarded gave him a brown overcoat, not new, and with moistened eyes said good-by to the poor youth whom they had learned to love as their own.	The people with whom he boarded gave him a brown overcoat, not new, and with moistened eyes said good by to the poor youth whom they had learned to love as their own.	true	488.33	498.79	20.97761
7313_91072_000012_000002	He remained a few weeks with his family, then walked fifty miles east to a town in New York State, where he found plenty of work, but no money, and in six weeks returned to the log-cabin.	He remained a few weeks with his family, then walked fifty miles east to a town in New York State, where he found plenty of work, but no money, and in six weeks returned to the log cabin.	true	499.37	511.69	26.435493
7313_91072_000012_000003	After trying various towns, he found a situation in Erie, taking the place of a workman who was ill, and for seven months he did not lose a day.	After trying various towns, he found a situation in Erie, taking the place of a workman who was ill, and for seven months he did not lose a day.	true	512.51	522.28	24.642035
7313_91072_000012_000004	Out of his wages--eighty-four dollars--he had used only six, less than one dollar a mouth!	Out of his wages-eighty four dollars-he had used only six, less than one dollar a mouth!	false	523.04	531.21	21.231564
7313_91072_000012_000005	Putting fifteen dollars in his pocket, he took the balance of sixty-three in a note, and gave it to his father.	Putting fifteen dollars in his pocket, he took the balance of sixty three in a note, and gave it to his father.	true	531.21	537.73	23.22648
7313_91072_000012_000006	A noble son indeed, who would not buy a single garment for himself, but carried the money home, so as to make the poor ones a trifle more comfortable!	A noble son indeed, who would not buy a single garment for himself, but carried the money home, so as to make the poor ones a trifle more comfortable!	true	538.34	548.53	22.372286
7313_91072_000013_000000	He had become tired of working in the small towns; he determined to go to the great city of New York, and "be somebody." He walked a part of the way by the tow-path along the canal, and sometimes rode in a scow. Finally, at sunrise, Friday, Aug. 18, 1831, he landed close to the Battery, with ten dollars in his pocket, knowing, he says, "no human being within two hundred miles." His first need was a boarding-place. Over a saloon, kept by an Irishman, he found room and board for two dollars and a half a week.	He had become tired of working in the small towns; he determined to go to the great city of New York, and "be somebody." He walked a part of the way by the tow path along the canal, and sometimes rode in a scow. Finally, at sunrise, friday august eighteenth eighteen thirty one, he landed close to the Battery, with ten dollars in his pocket, knowing, he says, "no human being within two hundred miles." His first need was a boarding place. Over a saloon, kept by an Irishman, he found room and board for two dollars and a half a week.	true	549.68	585.43	21.73846
7313_91072_000013_000001	Fortunately, though it was the almost universal custom to use liquors, Horace was a teetotaler, and despised chewing or smoking tobacco, which he regarded "as the vilest, most detestable abuse of his corrupted sensual appetites whereof depraved man is capable;" therefore he had no fear of temptation from these sources.	Fortunately, though it was the almost universal custom to use liquors, Horace was a teetotaler, and despised chewing or smoking tobacco, which he regarded "as the vilest, most detestable abuse of his corrupted sensual appetites whereof depraved man is capable;" therefore he had no fear of temptation from these sources.	true	586.13	608.05	22.415483
7313_91072_000014_000000	All day Friday and Saturday he walked the streets of New York, looking for work.	All day Friday and Saturday he walked the streets of New York, looking for work.	true	609.17	614.26	23.669537
7313_91072_000014_000001	The editor of the "Journal of Commerce" told him plainly that he was a runaway apprentice from the country, and he did not want him. "I returned to my lodging on Saturday evening, thoroughly weary, disheartened, disgusted with New York, and resolved to shake its dust from my feet next Monday morning, while I could still leave with money in my pocket, and before its almshouse could foreclose upon me." On Sunday he went to church, both morning and afternoon.	The editor of the "Journal of Commerce" told him plainly that he was a runaway apprentice from the country, and he did not want him. "I returned to my lodging on Saturday evening, thoroughly weary, disheartened, disgusted with New York, and resolved to shake its dust from my feet next Monday morning, while I could still leave with money in my pocket, and before its almshouse could foreclose upon me." On Sunday he went to church, both morning and afternoon.	true	614.9	646.27	22.972948
7313_91072_000014_000002	Late in the day, a friend who called upon the owner of the house, learning that the printer wanted work, said he had heard of a vacancy at Mr. West's, 85 Chatham Street.	Late in the day, a friend who called upon the owner of the house, learning that the printer wanted work, said he had heard of a vacancy at mr West's, eighty five Chatham Street.	true	646.55	658.36	22.50213
7313_91072_000015_000000	The next morning Horace was at the shop at half-past five!	The next morning Horace was at the shop at half past five!	true	659.12	663.28	21.35229
7313_91072_000015_000001	New York was scarcely awake; even the newsboys were asleep in front of the paper offices.	New York was scarcely awake; even the newsboys were asleep in front of the paper offices.	true	663.56	669.01	23.884274
7313_91072_000015_000002	He waited for an hour and a half,--a day, it seemed to him,--when one of the journey-men arrived, and, finding the door locked, sat down beside the stranger.	He waited for an hour and a half,--a day, it seemed to him,--when one of the journey men arrived, and, finding the door locked, sat down beside the stranger.	true	669.68	679.63	21.805986
7313_91072_000015_000003	He, too, was a Vermonter, and he determined to help young Greeley, if possible.	He, too, was a Vermonter, and he determined to help young Greeley, if possible.	false	680.21	685.36	26.078955
7313_91072_000015_000004	He took him to the foreman, who decided to try him on a Polyglot Testament, with marginal references, such close work that most of the men refused to do it.	He took him to the foreman, who decided to try him on a Polyglot Testament, with marginal references, such close work that most of the men refused to do it.	true	685.97	695.77	24.43915
7313_91072_000015_000005	Mr. West came an hour or two later, and said, in anger, "Did you hire that fool?"	mr West came an hour or two later, and said, in anger, "Did you hire that fool?"	false	696.53	702.13	27.159878
7313_91072_000016_000000	"Yes; we need help, and he was the best I could get," said the foreman.	"Yes; we need help, and he was the best I could get," said the foreman.	true	702.89	707.05	22.868694
7313_91072_000017_000000	"Well, pay him off to-night, and let him go about his business."	"Well, pay him off to night, and let him go about his business."	true	707.72	711.22	25.818844
7313_91072_000018_000000	When night came, however, the country youth had done more and better work, than anybody who had tried the Testament.	When night came, however, the country youth had done more and better work, than anybody who had tried the Testament.	false	712.22	719.83	22.91909
7313_91072_000018_000001	By beginning his labors before six in the morning, and not leaving his desk till nine in the evening, working by the light of a candle stuck in a bottle, he could earn six dollars a week.	By beginning his labors before six in the morning, and not leaving his desk till nine in the evening, working by the light of a candle stuck in a bottle, he could earn six dollars a week.	true	720.2	730.57	20.837778
7313_91072_000018_000002	At first his fellow-workmen called him "the ghost," from his white hair and complexion; but they soon found him friendly, and willing to lend money, which, as a rule, was never returned to him; they therefore voted him to be a great addition to the shop.	At first his fellow workmen called him "the ghost," from his white hair and complexion; but they soon found him friendly, and willing to lend money, which, as a rule, was never returned to him; they therefore voted him to be a great addition to the shop.	true	730.97	747.88	21.291548
7313_91072_000018_000003	As usual, though always scrupulously clean, he wore his poor clothes, no stockings, and his wristbands tied together with twine.	As usual, though always scrupulously clean, he wore his poor clothes, no stockings, and his wristbands tied together with twine.	true	748.49	757.06	23.78254
7313_91072_000018_000004	Once he bought a second-hand black suit of a Jew, for five dollars, but it proved a bad bargain.	Once he bought a second-hand black suit of a Jew, for five dollars, but it proved a bad bargain.	true	757.64	763.96	22.483948
7313_91072_000018_000005	His earnings were sent, as before, to his parents.	His earnings were sent, as before, to his parents.	true	764.51	768.61	23.740252
7313_91072_000019_000000	After a year, business grew dull, and he was without a place.	After a year, business grew dull, and he was without a place.	true	769.94	774.1	24.52082
7313_91072_000019_000001	For some months he worked on various papers, when a printer friend, Mr. Story, suggested that they start in business, their combined capital being one hundred and fifty dollars.	For some months he worked on various papers, when a printer friend, mr Story, suggested that they start in business, their combined capital being one hundred and fifty dollars.	true	774.68	785.44	27.44565
7313_91072_000019_000002	They did so, and their first work was the printing of a penny "Morning Post," which suspended in three weeks, they losing sixty dollars.	They did so, and their first work was the printing of a penny "Morning Post," which suspended in three weeks, they losing sixty dollars.	true	786.17	795.37	24.248686
7313_91072_000019_000003	The partner was drowned shortly after, and his brother-in-law took his place.	The partner was drowned shortly after, and his brother in law took his place.	true	796.07	800.83	23.025888
7313_91072_000020_000000	Young Greeley, now twenty-three, and deeply interested in politics, determined to start a weekly paper.	Young Greeley, now twenty three, and deeply interested in politics, determined to start a weekly paper.	true	801.77	808.72	22.891941
7313_91072_000020_000001	Fifteen of his friends promised to subscribe for it.	Fifteen of his friends promised to subscribe for it.	true	809.15	812.68	28.111721
7313_91072_000020_000002	The "New Yorker" was begun, and so well conducted was it that three hundred papers throughout the country gave it complimentary notices.	The "New Yorker" was begun, and so well conducted was it that three hundred papers throughout the country gave it complimentary notices.	true	813.05	820.78	26.13832
7313_91072_000020_000003	It grew to a subscription list of nine thousand persons; but much of the business was done on trust, times were hard, and, after seven years, the enterprise had to be abandoned.	It grew to a subscription list of nine thousand persons; but much of the business was done on trust, times were hard, and, after seven years, the enterprise had to be abandoned.	true	821.42	833.59	23.388176
7313_91072_000020_000004	This was a severe trial to the hard-working printer, who had known nothing but struggles all his life.	This was a severe trial to the hard-working printer, who had known nothing but struggles all his life.	false	834.14	840.1	22.993555
7313_91072_000020_000005	Years after this he wrote, "Through most of this time I was very poor, and for four years really bankrupt, though always paying my notes, and keeping my word, but living as poorly as possible. My embarrassments were sometimes dreadful; not that I feared destitution, but the fear of involving my friends in my misfortunes was very bitter....	Years after this he wrote, "Through most of this time I was very poor, and for four years really bankrupt, though always paying my notes, and keeping my word, but living as poorly as possible. My embarrassments were sometimes dreadful; not that I feared destitution, but the fear of involving my friends in my misfortunes was very bitter....	true	840.65	863.11	22.166773
7313_91072_000020_000006	I would rather be a convict in a State prison, a slave in a rice-swamp, than to pass through life under the harrow of debt. Hunger, cold, rags, hard work, contempt, suspicion, unjust reproach, are disagreeable, but debt is infinitely worse than them all.	I would rather be a convict in a State prison, a slave in a rice swamp, than to pass through life under the harrow of debt. Hunger, cold, rags, hard work, contempt, suspicion, unjust reproach, are disagreeable, but debt is infinitely worse than them all.	true	863.57	883.81	24.405512
7313_91072_000020_000007	Avoid pecuniary obligation as you would pestilence or famine.	Avoid pecuniary obligation as you would pestilence or famine.	true	884.15	888.46	25
7313_91072_000020_000008	If you have but fifty cents, and can get no more for a week, buy a peck of corn, parch it, and live on it, rather than owe any man a dollar."	If you have but fifty cents, and can get no more for a week, buy a peck of corn, parch it, and live on it, rather than owe any man a dollar."	true	888.77	898.84	21.915245
7313_91072_000021_000000	Meantime the young editor had married Miss Mary Y. Cheney, a schoolteacher of unusual mind and strength of character.	Meantime the young editor had married Miss Mary y Cheney, a schoolteacher of unusual mind and strength of character.	true	900.38	908.5	23.039726
7313_91072_000021_000001	It was, of course, a comfort to have some one to share his sorrows; but it pained his tender heart to make another help bear his burdens.	It was, of course, a comfort to have some one to share his sorrows; but it pained his tender heart to make another help bear his burdens.	true	909.23	917.56	23.441456
7313_91072_000021_000002	Beside editing the "New Yorker," he had also taken charge of the "Jeffersonian," a weekly campaign paper published at Albany, and the "Log-Cabin," established to aid in the election of General Harrison to the Presidency.	Beside editing the "New Yorker," he had also taken charge of the "Jeffersonian," a weekly campaign paper published at Albany, and the "Log Cabin," established to aid in the election of General Harrison to the Presidency.	true	918.35	931.06	22.831644
7313_91072_000021_000003	The latter paper was a great success, the circulation running up to ninety thousand, though very little money was made; but it gave Mr. Greeley a reputation in all parts of the country for journalistic ability.	The latter paper was a great success, the circulation running up to ninety thousand, though very little money was made; but it gave mr Greeley a reputation in all parts of the country for journalistic ability.	true	931.73	944.11	21.297043
7313_91072_000022_000000	President Harrison died after having been a month in office; and seven days after his death, Mr. Greeley started, April 10, 1841, a new paper, the "New York Tribune," with the dying words of Harrison as its motto: "I desire you to understand the true principles of the government.	President Harrison died after having been a month in office; and seven days after his death, mr Greeley started, april tenth eighteen forty one, a new paper, the "New York Tribune," with the dying words of Harrison as its motto: "I desire you to understand the true principles of the government.	true	945.35	966.82	24.54576
7313_91072_000022_000001	I wish them carried out.	I wish them carried out.	true	966.83	968.53	28.776888
7313_91072_000022_000002	I ask nothing more." The paper had scarcely any money for its foundation,--only a thousand dollars loaned by a friend,--but it had a _true man_ at its head, strong in his hatred of slavery, and the oppression of the laboring man, and fearless in the advocacy of what he believed to be right.	I ask nothing more." The paper had scarcely any money for its foundation,--only a thousand dollars loaned by a friend,--but it had a underscore true man underscore at its head, strong in his hatred of slavery, and the oppression of the laboring man, and fearless in the advocacy of what he believed to be right.	false	968.57	989.26	21.63727
7313_91072_000023_000000	Success did not come at first.	Success did not come at first.	true	990.38	992.38	28.856667
7313_91072_000023_000001	Of the five thousand copies published and to be sold at a cent each, Mr. Greeley says, "We found some difficulty in giving them away." The expenses for the first week were five hundred and twenty-five dollars; receipts, ninety-two.	Of the five thousand copies published and to be sold at a cent each, mr Greeley says, "We found some difficulty in giving them away." The expenses for the first week were five hundred and twenty five dollars; receipts, ninety two.	true	992.63	1007.44	22.252483
7313_91072_000023_000002	But the boy who could walk nearly six hundred miles to see his parents, and be laughed at for poor clothes, while he saved his money for their use, was not to be overcome at thirty years of age, by the failure of one or of a dozen papers.	But the boy who could walk nearly six hundred miles to see his parents, and be laughed at for poor clothes, while he saved his money for their use, was not to be overcome at thirty years of age, by the failure of one or of a dozen papers.	true	1007.93	1022.32	22.93321
7313_91072_000023_000003	Some of the New York journals fought the new sheet; but it lived and grew till, on the seventh week, it had eleven thousand subscribers. A good business-manager was obtained as partner.	Some of the New York journals fought the new sheet; but it lived and grew till, on the seventh week, it had eleven thousand subscribers. A good business manager was obtained as partner.	true	1023.2	1035.82	22.77779
7313_91072_000023_000004	Mr. Greeley worked sixteen hours a day.	mr Greeley worked sixteen hours a day.	true	1036.07	1038.76	23.237482
7313_91072_000023_000005	He wrote four columns of editorial matter (his copy, wittily says Junius Henri Browne, "strangers mistook for diagrams of Boston"), dozens of letters, often forgot whether he had been to his meals, and was ready to see and advise with everybody.	He wrote four columns of editorial matter (his copy, wittily says Junius Henri Browne, "strangers mistook for diagrams of Boston"), dozens of letters, often forgot whether he had been to his meals, and was ready to see and advise with everybody.	true	1039.25	1056.04	21.377682
7313_91072_000023_000006	When told that he was losing time by thus seeing people, he said, "I know it; but I'd rather be beset by loafers, and stopped in my work, than be cooped up where I couldn't be got at by men who really wanted to and had a right to see me." So warm as this were his sympathies with all humanity!	When told that he was losing time by thus seeing people, he said, "I know it; but I'd rather be beset by loafers, and stopped in my work, than be cooped up where I couldn't be got at by men who really wanted to and had a right to see me." So warm as this were his sympathies with all humanity!	true	1056.77	1077.16	23.063967
7313_91072_000024_000000	In 1842, when he was thirty-one, he visited Washington, Niagara, and his parents in Pennsylvania, and wrote delightful letters back to his paper.	In eighteen forty two, when he was thirty one, he visited Washington, Niagara, and his parents in Pennsylvania, and wrote delightful letters back to his paper.	true	1078.55	1088.47	26.096573
7313_91072_000024_000001	How proud the mother must have felt of the growing fame of her son!	How proud the mother must have felt of the growing fame of her son!	true	1088.99	1093.03	18.313745
7313_91072_000024_000002	What did Zaccheus think now of his boy of whom he prophesied "would never know more than enough to come in when it rains"?	What did Zaccheus think now of his boy of whom he prophesied "would never know more than enough to come in when it rains"?	true	1093.4	1100.59	22.656094
7313_91072_000025_000000	The years passed on.	The years passed on.	true	1101.98	1103.65	34.072266
7313_91072_000025_000001	Margaret Fuller came upon the editorial staff; for Mr. Greeley was ever the advocate of the fullest liberty for woman in any profession, and as much pay for her work as for that of men.	Margaret Fuller came upon the editorial staff; for mr Greeley was ever the advocate of the fullest liberty for woman in any profession, and as much pay for her work as for that of men.	true	1104.05	1115.26	25.970829
7313_91072_000025_000002	And now came a great sorrow, harder to bear than poverty.	And now came a great sorrow, harder to bear than poverty.	true	1116.35	1120.39	26.364313
7313_91072_000025_000003	His little son Pickie, called "the glorious boy with radiant beauty never equalled," died suddenly.	His little son Pickie, called "the glorious boy with radiant beauty never equalled," died suddenly.	true	1120.91	1128.76	22.976944
7313_91072_000025_000004	"When at length," he said, "the struggle ended with his last breath, and even his mother was convinced that his eyes would never again open upon the scenes of this world, I knew that the summer of my life was over; that the chill breath of its autumn was at hand; and that my future course must be along the down-hill of life." He wrote to Margaret Fuller in Italy, "Ah, Margaret, the world grows dark with us! You grieve, for Rome is fallen; I mourn, for Pickie is dead." His hopes were centered in this child; and his great heart never regained its full cheerfulness.	"When at length," he said, "the struggle ended with his last breath, and even his mother was convinced that his eyes would never again open upon the scenes of this world, I knew that the summer of my life was over; that the chill breath of its autumn was at hand; and that my future course must be along the down hill of life." He wrote to Margaret Fuller in Italy, "Ah, Margaret, the world grows dark with us! You grieve, for Rome is fallen; I mourn, for Pickie is dead." His hopes were centered in this child; and his great heart never regained its full cheerfulness.	true	1130.09	1170.46	21.017769
7313_91072_000026_000000	In 1848 he was elected to Congress for three months to fill out the unexpired term of a deceased member, and did most effective work with regard to the mileage system and the use of the public lands.	In eighteen forty eight he was elected to Congress for three months to fill out the unexpired term of a deceased member, and did most effective work with regard to the mileage system and the use of the public lands.	true	1171.94	1183.78	24.937416
7313_91072_000026_000001	To a high position had come the printer-boy.	To a high position had come the printer boy.	true	1184.78	1188.01	26.149147
7313_91072_000026_000002	At this time he was also prominently in the lecture-field, speaking twice a week to large audiences all over the country.	At this time he was also prominently in the lecture field, speaking twice a week to large audiences all over the country.	true	1188.11	1195.24	24.469599
