2110_161101_000000_000000	TOUCHING MUSICAL PERFORMANCES	TOUCHING MUSICAL PERFORMANCES	true	35.145	37.54	16
2110_161101_000010_000001	Mozart had just been sharply criticizing the playing of Abbe Vogler. [See No. 66.])	Mozart had just been sharply criticizing the playing of Abbe Vogler. [See no sixty six.])	false	326.96	334.18	18
2110_161101_000011_000000	63.	sixty three.	true	335.81	337.03	21.111376
2110_161101_000011_000001	"I am at Herr von Aurnhammer's after dinner nearly every day. The young woman is a fright, but she plays ravishingly, though she lacks the true singing style in the cantabile; she is too jerky."	"I am at Herr von Aurnhammer's after dinner nearly every day. The young woman is a fright, but she plays ravishingly, though she lacks the true singing style in the cantabile; she is too jerky."	true	338.51	353.11	19.355314
2110_161101_000012_000000	(Vienna, June 27, 1781, to his father.	(Vienna, june twenty seventh seventeen eighty one, to his father.	true	353.93	359.56	19
2110_161101_000012_000001	Beethoven found the same fault with Mozart's playing that Mozart here condemns.)	Beethoven found the same fault with Mozart's playing that Mozart here condemns.)	true	360.23	367.365	21.009842
2110_161101_000013_000000	64.	sixty four.	true	367.365	368.59	19.330935
2110_161101_000013_000001	"Herr Richter plays much and well so far as execution is concerned, but--as you will hear--crudely, laboriously and without taste or feeling; he is one of the best fellows in the world, and without a particle of vanity.	"Herr Richter plays much and well so far as execution is concerned, but-as you will hear-crudely, laboriously and without taste or feeling; he is one of the best fellows in the world, and without a particle of vanity.	true	369.41	385.39	18
2110_161101_000013_000002	Whenever I played for him he looked immovably at my fingers, and one day he said 'My God! how I am obliged to torment myself and sweat, and yet without obtaining applause; and for you, my friend, it is mere play!' 'Yes,' said I, 'I had to labor once in order not to show labor now.' "	Whenever I played for him he looked immovably at my fingers, and one day he said 'My God! how I am obliged to torment myself and sweat, and yet without obtaining applause; and for you, my friend, it is mere play!' 'Yes,' said I, 'I had to labor once in order not to show labor now.' "	false	386.18	407.5	21.191734
2110_161101_000014_000000	(Vienna, April 28, 1784, to his father in Salzburg, whither the pianist Richter, whom he recommends to his father, is going on a concert trip.)	(Vienna, april twenty eighth seventeen eighty four, to his father in Salzburg, whither the pianist Richter, whom he recommends to his father, is going on a concert trip.)	true	408.56	422.08	21.675299
2110_161101_000015_000000	65.	sixty five.	true	423.8	425.14	18.641712
2110_161101_000015_000001	"Meissner, as you know, has the bad habit of purposely making his voice tremble, marking thus entire quarter and eighth notes; I never could endure it in him.	"Meissner, as you know, has the bad habit of purposely making his voice tremble, marking thus entire quarter and eighth notes; I never could endure it in him.	true	426.38	437.1	16
2110_161101_000015_000002	It is indeed despicable and contrary to all naturalness in song.	It is indeed despicable and contrary to all naturalness in song.	true	437.1	441.55	16
2110_161101_000015_000003	True the human voice trembles of itself, but only in a degree that remains beautiful; it is in the nature of the voice.	True the human voice trembles of itself, but only in a degree that remains beautiful; it is in the nature of the voice.	false	442.25	451	20.528296
2110_161101_000015_000004	We imitate it not only on wind instruments but also on the viols and even on the clavier.	We imitate it not only on wind instruments but also on the viols and even on the clavier.	false	451.46	458.05	15
2110_161101_000015_000005	But as soon as you overstep the limit it is no longer beautiful because it is contrary to nature."	But as soon as you overstep the limit it is no longer beautiful because it is contrary to nature."	true	458.39	464.68	16
2110_161101_000016_000000	(Paris, June 12, 1778, to his father.	(Paris, june twelfth seventeen seventy eight, to his father.	true	465.86	472.66	21.88386
2110_161101_000016_000001	[The statement that the tremolo effect could be imitated on the clavier seems to require an explanation.	[The statement that the tremolo effect could be imitated on the clavier seems to require an explanation.	true	473.42	480.31	16
2110_161101_000016_000002	Mozart obviously had in view, not the pianoforte which was just coming into use in his day, but the clavichord. This instrument was sounded by striking the strings with bits of brass placed in the farther end of the keys which were simple and direct levers.	Mozart obviously had in view, not the pianoforte which was just coming into use in his day, but the clavichord. This instrument was sounded by striking the strings with bits of brass placed in the farther end of the keys which were simple and direct levers.	true	480.95	499.84	20.80975
2110_161101_000016_000003	The tangents, as they were called, had to be held against the strings as long as it was desired that the tone should sound, and by gently repeating the pressure on the key a tremulousness was imparted to the tone which made the clavichord a more expressive instrument than the harpsichord or the early pianoforte.	The tangents, as they were called, had to be held against the strings as long as it was desired that the tone should sound, and by gently repeating the pressure on the key a tremulousness was imparted to the tone which made the clavichord a more expressive instrument than the harpsichord or the early pianoforte.	true	500.09	521.05	15
2110_161101_000016_000004	The effect was called Bebung in German, and Balancement in French.	The effect was called Bebung in German, and Balancement in French.	false	521.75	527.23	19
2110_161101_000016_000005	H.E.K.])	h e k])	true	527.75	529.57	24.923681
2110_161101_000017_000000	66.	sixty six.	true	530.99	532.33	23.212576
2110_161101_000017_000001	"Before dinner Herr Vogler dashed through my sonata prima vista.	"Before dinner Herr Vogler dashed through my sonata prima vista.	false	533.12	537.91	14
2110_161101_000017_000002	He played the first movement prestissimo, the andante allegro and the rondo prestissimo with a vengeance.	He played the first movement prestissimo, the andante allegro and the rondo prestissimo with a vengeance.	true	537.92	545.83	16
2110_161101_000017_000003	As a rule, he played a different bass than the one I had written, and occasionally he changed the harmony as well as the melody.	As a rule, he played a different bass than the one I had written, and occasionally he changed the harmony as well as the melody.	true	546.11	555.16	13
2110_161101_000017_000004	That was inevitable, for at such speed the eyes can not follow, nor the hands grasp, the music.	That was inevitable, for at such speed the eyes can not follow, nor the hands grasp, the music.	false	555.83	562.87	17
2110_161101_000017_000005	Such playing at sight and...are all one to me.	Such playing at sight and..dot are all one to me.	false	563.63	567.76	18
2110_161101_000017_000006	The hearers (I mean those worthy of the name) can say nothing more than they have seen music and clavier playing.	The hearers (I mean those worthy of the name) can say nothing more than they have seen music and clavier playing.	false	568.79	576.67	17
2110_161101_000017_000007	You can imagine that it was all the more unendurable because I did not dare to say to him: 'Much too quick!' Moreover it is much easier to play rapidly than slowly; you can drop a few notes in passages without any one noticing it.	You can imagine that it was all the more unendurable because I did not dare to say to him: 'Much too quick!' Moreover it is much easier to play rapidly than slowly; you can drop a few notes in passages without any one noticing it.	true	576.77	592.06	17
2110_161101_000017_000008	But is it beautiful?	But is it beautiful?	false	592.7	593.92	24.419481
2110_161101_000017_000009	At such speed you can use the hands indiscriminately; but is that beautiful?"	At such speed you can use the hands indiscriminately; but is that beautiful?"	true	594.41	599.68	19
2110_161101_000018_000000	(Mannheim, January 17, 1778, to his father.)	(Mannheim, january seventeenth seventeen seventy eight, to his father.)	false	600.65	607.03	18.549524
2110_161101_000019_000000	67.	sixty seven.	true	608.39	609.91	19.423382
2110_161101_000019_000001	"They hurry the tempo, trill or pile on the adornments because they can neither study nor sustain a tone."	"They hurry the tempo, trill or pile on the adornments because they can neither study nor sustain a tone."	true	610.94	618.43	18
2110_161101_000020_000000	(Recorded by Rochlitz as a criticism by Mozart of Italian singers in 1789.)	(Recorded by Rochlitz as a criticism by Mozart of Italian singers in seventeen eighty nine.)	true	619.34	628.695	20.798782
2110_161101_000021_000000	68.	sixty eight.	true	628.695	629.92	22
2110_161101_000021_000001	"It is thus, they think, that they can infuse warmth and ardor into their singing.	"It is thus, they think, that they can infuse warmth and ardor into their singing.	true	630.86	636.87	15
2110_161101_000021_000002	Ah, if there is no fire in the composition you will surely never get it in by hurrying it."	Ah, if there is no fire in the composition you will surely never get it in by hurrying it."	false	636.87	643.63	20.428087
2110_161101_000022_000000	(According to Rochlitz Mozart used these words while complaining of the manner in which his compositions were ruined by exaggerated speed in the tempi.)	(According to Rochlitz Mozart used these words while complaining of the manner in which his compositions were ruined by exaggerated speed in the tempi.)	false	644.96	655.71	15
2110_161101_000023_000000	EXPRESSIONS CRITICAL	EXPRESSIONS CRITICAL	false	655.71	655.8	-20
2110_161101_000024_000000	69.	sixty nine.	false	655.8	655.92	-20
2110_161101_000024_000001	"We wish that it were in our power to introduce the German taste in minuets in Italy; minuets here last almost as long as whole symphonies."	"We wish that it were in our power to introduce the German taste in minuets in Italy; minuets here last almost as long as whole symphonies."	false	655.92	657.42	10
2110_161101_000025_000000	(Bologna, September 22, 1770, to his mother and sister.	(Bologna, september twenty second seventeen seventy, to his mother and sister.	false	657.42	658.08	4
2110_161101_000025_000001	Mozart as a lad was making a tour through Italy with his father.	Mozart as a lad was making a tour through Italy with his father.	false	658.08	659.13	14
2110_161101_000025_000002	[There might be a valuable hint here touching the proper tempo for the minuets in Mozart's symphonies.	[There might be a valuable hint here touching the proper tempo for the minuets in Mozart's symphonies.	false	659.13	660.54	16.692215
2110_161101_000025_000003	Of late years the conductors, of the Wagnerian school more particularly, have acted on the belief that the symphonic minuets of Mozart and Haydn must be played with the stately slowness of the old dance.	Of late years the conductors, of the Wagnerian school more particularly, have acted on the belief that the symphonic minuets of Mozart and Haydn must be played with the stately slowness of the old dance.	false	660.54	664.35	18
2110_161101_000025_000004	Mozart himself was plainly of another opinion.	Mozart himself was plainly of another opinion.	false	664.35	665.7	-20
2110_161101_000025_000005	H.E.K.])	h e k])	false	665.7	666.3	20.76856
