288_130994_000000_000000	I make no apology for having dwelt so long on the contemplation of these federal precedents.	I make no apology for having dwelt so long on the contemplation of these federal precedents.	false	0	0.75	44.225418
288_130994_000008_000001	The United States, as now composed, have no powers to exact obedience, or punish disobedience to their resolutions, either by pecuniary mulcts, by a suspension or divestiture of privileges, or by any other constitutional mode.	The United States, as now composed, have no powers to exact obedience, or punish disobedience to their resolutions, either by pecuniary mulcts, by a suspension or divestiture of privileges, or by any other constitutional mode.	true	80.93	95.53	24.994503
288_130994_000008_000002	There is no express delegation of authority to them to use force against delinquent members; and if such a right should be ascribed to the federal head, as resulting from the nature of the social compact between the States, it must be by inference and construction, in the face of that part of the second article, by which it is declared, "that each State shall retain every power, jurisdiction, and right, not EXPRESSLY delegated to the United States in Congress assembled." There is, doubtless, a striking absurdity in supposing that a right of this kind does not exist, but we are reduced to the dilemma either of embracing that supposition, preposterous as it may seem, or of contravening or explaining away a provision, which has been of late a repeated theme of the eulogies of those who oppose the new Constitution; and the want of which, in that plan, has been the subject of much plausible animadversion, and severe criticism.	There is no express delegation of authority to them to use force against delinquent members; and if such a right should be ascribed to the federal head, as resulting from the nature of the social compact between the States, it must be by inference and construction, in the face of that part of the second article, by which it is declared, "that each State shall retain every power, jurisdiction, and right, not EXPRESSLY delegated to the United States in Congress assembled." There is, doubtless, a striking absurdity in supposing that a right of this kind does not exist, but we are reduced to the dilemma either of embracing that supposition, preposterous as it may seem, or of contravening or explaining away a provision, which has been of late a repeated theme of the eulogies of those who oppose the new Constitution; and the want of which, in that plan, has been the subject of much plausible animadversion, and severe criticism.	false	96.35	151.99	23.353868
288_130994_000008_000003	If we are unwilling to impair the force of this applauded provision, we shall be obliged to conclude, that the United States afford the extraordinary spectacle of a government destitute even of the shadow of constitutional power to enforce the execution of its own laws.	If we are unwilling to impair the force of this applauded provision, we shall be obliged to conclude, that the United States afford the extraordinary spectacle of a government destitute even of the shadow of constitutional power to enforce the execution of its own laws.	false	152.66	168.07	23.48347
288_130994_000008_000004	It will appear, from the specimens which have been cited, that the American Confederacy, in this particular, stands discriminated from every other institution of a similar kind, and exhibits a new and unexampled phenomenon in the political world.	It will appear, from the specimens which have been cited, that the American Confederacy, in this particular, stands discriminated from every other institution of a similar kind, and exhibits a new and unexampled phenomenon in the political world.	true	168.53	182.83	23.58841
288_130994_000009_000000	The want of a mutual guaranty of the State governments is another capital imperfection in the federal plan.	The want of a mutual guaranty of the State governments is another capital imperfection in the federal plan.	true	184.31	189.85	24.230383
288_130994_000009_000001	There is nothing of this kind declared in the articles that compose it; and to imply a tacit guaranty from considerations of utility, would be a still more flagrant departure from the clause which has been mentioned, than to imply a tacit power of coercion from the like considerations.	There is nothing of this kind declared in the articles that compose it; and to imply a tacit guaranty from considerations of utility, would be a still more flagrant departure from the clause which has been mentioned, than to imply a tacit power of coercion from the like considerations.	false	190.7	207.13	23.459385
288_130994_000009_000002	The want of a guaranty, though it might in its consequences endanger the Union, does not so immediately attack its existence as the want of a constitutional sanction to its laws.	The want of a guaranty, though it might in its consequences endanger the Union, does not so immediately attack its existence as the want of a constitutional sanction to its laws.	false	208.07	218.5	22.191093
288_130994_000010_000000	Without a guaranty the assistance to be derived from the Union in repelling those domestic dangers which may sometimes threaten the existence of the State constitutions, must be renounced.	Without a guaranty the assistance to be derived from the Union in repelling those domestic dangers which may sometimes threaten the existence of the State constitutions, must be renounced.	false	218.75	228.67	23.735188
288_130994_000010_000001	Usurpation may rear its crest in each State, and trample upon the liberties of the people, while the national government could legally do nothing more than behold its encroachments with indignation and regret.	Usurpation may rear its crest in each State, and trample upon the liberties of the people, while the national government could legally do nothing more than behold its encroachments with indignation and regret.	true	228.89	240.52	23.111017
288_130994_000010_000002	A successful faction may erect a tyranny on the ruins of order and law, while no succor could constitutionally be afforded by the Union to the friends and supporters of the government.	A successful faction may erect a tyranny on the ruins of order and law, while no succor could constitutionally be afforded by the Union to the friends and supporters of the government.	true	241.28	251.92	23.228416
288_130994_000010_000003	The tempestuous situation from which Massachusetts has scarcely emerged, evinces that dangers of this kind are not merely speculative.	The tempestuous situation from which Massachusetts has scarcely emerged, evinces that dangers of this kind are not merely speculative.	true	252.41	259.75	22.846973
288_130994_000010_000004	Who can determine what might have been the issue of her late convulsions, if the malcontents had been headed by a Caesar or by a Cromwell?	Who can determine what might have been the issue of her late convulsions, if the malcontents had been headed by a Caesar or by a Cromwell?	false	259.94	266.86	22.235725
288_130994_000010_000005	Who can predict what effect a despotism, established in Massachusetts, would have upon the liberties of New Hampshire or Rhode Island, of Connecticut or New York?	Who can predict what effect a despotism, established in Massachusetts, would have upon the liberties of New Hampshire or Rhode Island, of Connecticut or New York?	true	267.5	277	23.997654
288_130994_000011_000000	The inordinate pride of State importance has suggested to some minds an objection to the principle of a guaranty in the federal government, as involving an officious interference in the domestic concerns of the members.	The inordinate pride of State importance has suggested to some minds an objection to the principle of a guaranty in the federal government, as involving an officious interference in the domestic concerns of the members.	false	277.67	290.62	23.133743
288_130994_000011_000001	A scruple of this kind would deprive us of one of the principal advantages to be expected from union, and can only flow from a misapprehension of the nature of the provision itself.	A scruple of this kind would deprive us of one of the principal advantages to be expected from union, and can only flow from a misapprehension of the nature of the provision itself.	false	291.2	302.35	23.50485
288_130994_000011_000002	It could be no impediment to reforms of the State constitution by a majority of the people in a legal and peaceable mode.	It could be no impediment to reforms of the State constitution by a majority of the people in a legal and peaceable mode.	true	302.45	309.31	23.523277
288_130994_000011_000003	This right would remain undiminished.	This right would remain undiminished.	true	309.92	312.31	22.58282
288_130994_000011_000004	The guaranty could only operate against changes to be effected by violence.	The guaranty could only operate against changes to be effected by violence.	false	312.95	316.99	26.0642
288_130994_000011_000005	Towards the preventions of calamities of this kind, too many checks cannot be provided.	Towards the preventions of calamities of this kind, too many checks cannot be provided.	true	317.51	322.36	22.6704
288_130994_000011_000006	The peace of society and the stability of government depend absolutely on the efficacy of the precautions adopted on this head.	The peace of society and the stability of government depend absolutely on the efficacy of the precautions adopted on this head.	true	322.76	330.88	23.821423
288_130994_000011_000007	Where the whole power of the government is in the hands of the people, there is the less pretense for the use of violent remedies in partial or occasional distempers of the State.	Where the whole power of the government is in the hands of the people, there is the less pretense for the use of violent remedies in partial or occasional distempers of the State.	false	331.73	340.21	23.286983
288_130994_000011_000008	The natural cure for an ill-administration, in a popular or representative constitution, is a change of men.	The natural cure for an ill administration, in a popular or representative constitution, is a change of men.	true	340.64	346.27	22.656786
288_130994_000011_000009	A guaranty by the national authority would be as much levelled against the usurpations of rulers as against the ferments and outrages of faction and sedition in the community.	A guaranty by the national authority would be as much levelled against the usurpations of rulers as against the ferments and outrages of faction and sedition in the community.	true	346.52	356.11	23.017382
288_130994_000012_000000	The principle of regulating the contributions of the States to the common treasury by QUOTAS is another fundamental error in the Confederation.	The principle of regulating the contributions of the States to the common treasury by QUOTAS is another fundamental error in the Confederation.	false	356.63	363.88	23.152876
288_130994_000012_000001	Its repugnancy to an adequate supply of the national exigencies has been already pointed out, and has sufficiently appeared from the trial which has been made of it.	Its repugnancy to an adequate supply of the national exigencies has been already pointed out, and has sufficiently appeared from the trial which has been made of it.	false	364.28	372.51	22.109198
288_130994_000012_000002	I speak of it now solely with a view to equality among the States.	I speak of it now solely with a view to equality among the States.	true	372.51	376.54	20.507244
288_130994_000012_000003	Those who have been accustomed to contemplate the circumstances which produce and constitute national wealth, must be satisfied that there is no common standard or barometer by which the degrees of it can be ascertained.	Those who have been accustomed to contemplate the circumstances which produce and constitute national wealth, must be satisfied that there is no common standard or barometer by which the degrees of it can be ascertained.	true	377	389.2	24.31473
288_130994_000012_000004	Neither the value of lands, nor the numbers of the people, which have been successively proposed as the rule of State contributions, has any pretension to being a just representative.	Neither the value of lands, nor the numbers of the people, which have been successively proposed as the rule of State contributions, has any pretension to being a just representative.	false	390.35	399.88	21.415583
288_130994_000012_000005	If we compare the wealth of the United Netherlands with that of Russia or Germany, or even of France, and if we at the same time compare the total value of the lands and the aggregate population of that contracted district with the total value of the lands and the aggregate population of the immense regions of either of the three last-mentioned countries, we shall at once discover that there is no comparison between the proportion of either of these two objects and that of the relative wealth of those nations.	If we compare the wealth of the United Netherlands with that of Russia or Germany, or even of France, and if we at the same time compare the total value of the lands and the aggregate population of that contracted district with the total value of the lands and the aggregate population of the immense regions of either of the three last mentioned countries, we shall at once discover that there is no comparison between the proportion of either of these two objects and that of the relative wealth of those nations.	false	400.46	425.19	22.687449
288_130994_000012_000006	If the like parallel were to be run between several of the American States, it would furnish a like result.	If the like parallel were to be run between several of the American States, it would furnish a like result.	false	425.19	431.28	24.627275
288_130994_000012_000007	Let Virginia be contrasted with North Carolina, Pennsylvania with Connecticut, or Maryland with New Jersey, and we shall be convinced that the respective abilities of those States, in relation to revenue, bear little or no analogy to their comparative stock in lands or to their comparative population.	Let Virginia be contrasted with North Carolina, Pennsylvania with Connecticut, or Maryland with New Jersey, and we shall be convinced that the respective abilities of those States, in relation to revenue, bear little or no analogy to their comparative stock in lands or to their comparative population.	false	431.28	456.82	20.871552
288_130994_000012_000008	The position may be equally illustrated by a similar process between the counties of the same State. No man who is acquainted with the State of New York will doubt that the active wealth of King's County bears a much greater proportion to that of Montgomery than it would appear to be if we should take either the total value of the lands or the total number of the people as a criterion!	The position may be equally illustrated by a similar process between the counties of the same State. No man who is acquainted with the State of New York will doubt that the active wealth of King's County bears a much greater proportion to that of Montgomery than it would appear to be if we should take either the total value of the lands or the total number of the people as a criterion!	false	457.25	476.23	22.684639
288_130994_000013_000000	The wealth of nations depends upon an infinite variety of causes. Situation, soil, climate, the nature of the productions, the nature of the government, the genius of the citizens, the degree of information they possess, the state of commerce, of arts, of industry, these circumstances and many more, too complex, minute, or adventitious to admit of a particular specification, occasion differences hardly conceivable in the relative opulence and riches of different countries. The consequence clearly is that there can be no common measure of national wealth, and, of course, no general or stationary rule by which the ability of a state to pay taxes can be determined.	The wealth of nations depends upon an infinite variety of causes. Situation, soil, climate, the nature of the productions, the nature of the government, the genius of the citizens, the degree of information they possess, the state of commerce, of arts, of industry, these circumstances and many more, too complex, minute, or adventitious to admit of a particular specification, occasion differences hardly conceivable in the relative opulence and riches of different countries. The consequence clearly is that there can be no common measure of national wealth, and, of course, no general or stationary rule by which the ability of a state to pay taxes can be determined.	false	476.78	517.32	22.451443
288_130994_000013_000001	The attempt, therefore, to regulate the contributions of the members of a confederacy by any such rule, cannot fail to be productive of glaring inequality and extreme oppression.	The attempt, therefore, to regulate the contributions of the members of a confederacy by any such rule, cannot fail to be productive of glaring inequality and extreme oppression.	false	517.32	529	23.049309
288_130994_000014_000000	This inequality would of itself be sufficient in America to work the eventual destruction of the Union, if any mode of enforcing a compliance with its requisitions could be devised.	This inequality would of itself be sufficient in America to work the eventual destruction of the Union, if any mode of enforcing a compliance with its requisitions could be devised.	false	530.57	540.63	22.205013
288_130994_000014_000001	The suffering States would not long consent to remain associated upon a principle which distributes the public burdens with so unequal a hand, and which was calculated to impoverish and oppress the citizens of some States, while those of others would scarcely be conscious of the small proportion of the weight they were required to sustain.	The suffering States would not long consent to remain associated upon a principle which distributes the public burdens with so unequal a hand, and which was calculated to impoverish and oppress the citizens of some States, while those of others would scarcely be conscious of the small proportion of the weight they were required to sustain.	false	540.63	556.9	22.890028
288_130994_000014_000002	This, however, is an evil inseparable from the principle of quotas and requisitions.	This, however, is an evil inseparable from the principle of quotas and requisitions.	true	557.6	562.18	22.77819
288_130994_000015_000000	There is no method of steering clear of this inconvenience, but by authorizing the national government to raise its own revenues in its own way.	There is no method of steering clear of this inconvenience, but by authorizing the national government to raise its own revenues in its own way.	false	563.15	571.3	22.694471
288_130994_000015_000001	Imposts, excises, and, in general, all duties upon articles of consumption, may be compared to a fluid, which will, in time, find its level with the means of paying them.	Imposts, excises, and, in general, all duties upon articles of consumption, may be compared to a fluid, which will, in time, find its level with the means of paying them.	true	571.73	582.58	24.087526
288_130994_000015_000002	The amount to be contributed by each citizen will in a degree be at his own option, and can be regulated by an attention to his resources.	The amount to be contributed by each citizen will in a degree be at his own option, and can be regulated by an attention to his resources.	true	582.74	590.68	22.564749
288_130994_000015_000003	The rich may be extravagant, the poor can be frugal; and private oppression may always be avoided by a judicious selection of objects proper for such impositions.	The rich may be extravagant, the poor can be frugal; and private oppression may always be avoided by a judicious selection of objects proper for such impositions.	true	591.02	601.6	23.490099
288_130994_000015_000004	If inequalities should arise in some States from duties on particular objects, these will, in all probability, be counterbalanced by proportional inequalities in other States, from the duties on other objects.	If inequalities should arise in some States from duties on particular objects, these will, in all probability, be counterbalanced by proportional inequalities in other States, from the duties on other objects.	true	602.3	613.9	22.966192
288_130994_000015_000005	In the course of time and things, an equilibrium, as far as it is attainable in so complicated a subject, will be established everywhere.	In the course of time and things, an equilibrium, as far as it is attainable in so complicated a subject, will be established everywhere.	false	614.36	622.87	22.756561
288_130994_000015_000006	Or, if inequalities should still exist, they would neither be so great in their degree, so uniform in their operation, nor so odious in their appearance, as those which would necessarily spring from quotas, upon any scale that can possibly be devised.	Or, if inequalities should still exist, they would neither be so great in their degree, so uniform in their operation, nor so odious in their appearance, as those which would necessarily spring from quotas, upon any scale that can possibly be devised.	false	623.24	637.84	23.138687
288_130994_000016_000000	It is a signal advantage of taxes on articles of consumption, that they contain in their own nature a security against excess.	It is a signal advantage of taxes on articles of consumption, that they contain in their own nature a security against excess.	false	638.66	645.82	23.177675
288_130994_000016_000001	They prescribe their own limit; which cannot be exceeded without defeating the end proposed, that is, an extension of the revenue.	They prescribe their own limit; which cannot be exceeded without defeating the end proposed, that is, an extension of the revenue.	true	646.22	653.68	23.653526
288_130994_000016_000002	When applied to this object, the saying is as just as it is witty, that, "in political arithmetic, two and two do not always make four." If duties are too high, they lessen the consumption; the collection is eluded; and the product to the treasury is not so great as when they are confined within proper and moderate bounds.	When applied to this object, the saying is as just as it is witty, that, "in political arithmetic, two and two do not always make four." If duties are too high, they lessen the consumption; the collection is eluded; and the product to the treasury is not so great as when they are confined within proper and moderate bounds.	true	654.32	674.05	22.592619
288_130994_000016_000003	This forms a complete barrier against any material oppression of the citizens by taxes of this class, and is itself a natural limitation of the power of imposing them.	This forms a complete barrier against any material oppression of the citizens by taxes of this class, and is itself a natural limitation of the power of imposing them.	true	674.72	684.555	23.318922
288_130994_000017_000000	Impositions of this kind usually fall under the denomination of indirect taxes, and must for a long time constitute the chief part of the revenue raised in this country.	Impositions of this kind usually fall under the denomination of indirect taxes, and must for a long time constitute the chief part of the revenue raised in this country.	true	684.555	693.79	22.679115
288_130994_000017_000001	Those of the direct kind, which principally relate to land and buildings, may admit of a rule of apportionment. Either the value of land, or the number of the people, may serve as a standard.	Those of the direct kind, which principally relate to land and buildings, may admit of a rule of apportionment. Either the value of land, or the number of the people, may serve as a standard.	true	694.34	705.58	22.943066
288_130994_000017_000002	The state of agriculture and the populousness of a country have been considered as nearly connected with each other.	The state of agriculture and the populousness of a country have been considered as nearly connected with each other.	true	706.04	712.05	21.947067
288_130994_000017_000003	And, as a rule, for the purpose intended, numbers, in the view of simplicity and certainty, are entitled to a preference.	And, as a rule, for the purpose intended, numbers, in the view of simplicity and certainty, are entitled to a preference.	true	712.05	719.26	21.876001
288_130994_000017_000004	In every country it is a herculean task to obtain a valuation of the land; in a country imperfectly settled and progressive in improvement, the difficulties are increased almost to impracticability.	In every country it is a herculean task to obtain a valuation of the land; in a country imperfectly settled and progressive in improvement, the difficulties are increased almost to impracticability.	true	720.02	731.79	22.36754
288_130994_000017_000005	The expense of an accurate valuation is, in all situations, a formidable objection.	The expense of an accurate valuation is, in all situations, a formidable objection.	false	731.79	738.13	22.212875
288_130994_000017_000006	In a branch of taxation where no limits to the discretion of the government are to be found in the nature of things, the establishment of a fixed rule, not incompatible with the end, may be attended with fewer inconveniences than to leave that discretion altogether at large.	In a branch of taxation where no limits to the discretion of the government are to be found in the nature of things, the establishment of a fixed rule, not incompatible with the end, may be attended with fewer inconveniences than to leave that discretion altogether at large.	false	738.44	764.82	22.43745
