2045_158081_000002_000000	Chapter 7	Chapter seven
2045_158081_000051_000000	And from the women voters of California with whom Mr. Malone had kept faith came the message:	And from the women voters of California with whom mr Malone had kept faith came the message:
2045_158081_000052_000000	"The liberty-loving women of California greet you as one of the few men in history who have been willing to sacrifice material interests for the liberty of a class to which they themselves do not belong.	"The liberty loving women of California greet you as one of the few men in history who have been willing to sacrifice material interests for the liberty of a class to which they themselves do not belong.
2045_158081_000052_000003	We are deeply grateful for the incalculable benefit of your active assistance in the struggle of American women for political liberty and for a real Democracy."	We are deeply grateful for the incalculable benefit of your active assistance in the struggle of American women for political liberty and for a real Democracy."
2045_158081_000053_000000	I reprint Mr. Malone's letter of resignation which sets forth in detail his position.	I reprint mr Malone's letter of resignation which sets forth in detail his position.
2045_158081_000055_000000	September 7, 1917.	september seventh nineteen seventeen.
2045_158081_000056_000000	The President, The White House, Washington, D. C.	The President, The White House, Washington, d c
2045_158081_000057_000000	Dear Mr. President:	Dear mr President:
2045_158081_000058_000000	Last autumn, as the representative of your Administration, I went into the woman suffrage states to urge your reelection.	Last autumn, as the representative of your Administration, I went into the woman suffrage states to urge your reelection.
2045_158081_000058_000001	The most difficult argument to meet among the seven million voters was the failure of the Democratic party, throughout four years of power, to pass the federal suffrage amendment looking toward the enfranchisement of all the women of the country.	The most difficult argument to meet among the seven million voters was the failure of the Democratic party, throughout four years of power, to pass the federal suffrage amendment looking toward the enfranchisement of all the women of the country.
2045_158081_000058_000002	Throughout those states, and particularly in California, which ultimately decided the election by the votes of women, the women voters were urged to support you, even though Judge Hughes had already declared for the federal suffrage amendment, because you and your party, through liberal leadership, were more likely nationally to enfranchise the rest of the women of the country than were your opponents.	Throughout those states, and particularly in California, which ultimately decided the election by the votes of women, the women voters were urged to support you, even though Judge Hughes had already declared for the federal suffrage amendment, because you and your party, through liberal leadership, were more likely nationally to enfranchise the rest of the women of the country than were your opponents.
2045_158081_000059_000000	And if the women of the West voted to reelect you, I promised them that I would spend all my energy, at any sacrifice to myself, to get the present Democratic Administration to pass the federal suffrage amendment.	And if the women of the West voted to reelect you, I promised them that I would spend all my energy, at any sacrifice to myself, to get the present Democratic Administration to pass the federal suffrage amendment.
2045_158081_000060_000000	But the present policy of the Administration, in permitting splendid American women to be sent to jail in Washington, not for carrying offensive banners, not for picketing, but on the technical charge of obstructing traffic, is a denial even of their constitutional right to petition for, and demand the passage of, the federal suffrage amendment.	But the present policy of the Administration, in permitting splendid American women to be sent to jail in Washington, not for carrying offensive banners, not for picketing, but on the technical charge of obstructing traffic, is a denial even of their constitutional right to petition for, and demand the passage of, the federal suffrage amendment.
2045_158081_000060_000001	It, therefore, now becomes my profound obligation actively to keep my promise to the women of the West.	It, therefore, now becomes my profound obligation actively to keep my promise to the women of the West.
2045_158081_000061_000000	In more than twenty states it is a practical impossibility to amend the state constitutions; so the women of those States can only be enfranchised by the passage of the federal suffrage amendment.	In more than twenty states it is a practical impossibility to amend the state constitutions; so the women of those States can only be enfranchised by the passage of the federal suffrage amendment.
2045_158081_000061_000001	Since England and Russia, in the midst of the great war, have assured the national enfranchisement of their women, should we not be jealous to maintain our democratic leadership in the world by the speedy national enfranchisement of American women?	Since England and Russia, in the midst of the great war, have assured the national enfranchisement of their women, should we not be jealous to maintain our democratic leadership in the world by the speedy national enfranchisement of American women?
2045_158081_000062_000001	The women of	The women of
2045_158081_000064_000000	the nation are, and always will be, loyal to the country, and the passage of the suffrage amendment is only the first step toward their national emancipation.	the nation are, and always will be, loyal to the country, and the passage of the suffrage amendment is only the first step toward their national emancipation.
2045_158081_000065_000000	For this reason many of your most ardent friends and supporters feel that the passage of the federal suffrage amendment is a war measure which could appropriately be urged by you at this session of Congress.	For this reason many of your most ardent friends and supporters feel that the passage of the federal suffrage amendment is a war measure which could appropriately be urged by you at this session of Congress.
2045_158081_000065_000001	It is true that this amendment would have to come from Congress, but the present Congress shows no earnest desire to enact this legislation for the simple reason that you, as the leader of the party in power, have not yet suggested it.	It is true that this amendment would have to come from Congress, but the present Congress shows no earnest desire to enact this legislation for the simple reason that you, as the leader of the party in power, have not yet suggested it.
2045_158081_000066_000000	For the whole country gladly acknowledges, Mr. President, that no vital piece of legislation has come through Congress these five years except by your extraordinary and brilliant leadership.	For the whole country gladly acknowledges, mr President, that no vital piece of legislation has come through Congress these five years except by your extraordinary and brilliant leadership.
2045_158081_000066_000002	It will hearten the mothers of the nation, eliminate a just grievance, and turn the devoted energies of brilliant women to a more hearty support of the Government in this crisis.	It will hearten the mothers of the nation, eliminate a just grievance, and turn the devoted energies of brilliant women to a more hearty support of the Government in this crisis.
2045_158081_000067_000000	As you well know, in dozens of speeches in many states I have advocated your policies and the war.	As you well know, in dozens of speeches in many states I have advocated your policies and the war.
2045_158081_000067_000001	I was the first man of your Administration, nearly five years ago, to publicly advocate preparedness, and helped to found the first Plattsburg training camp.	I was the first man of your Administration, nearly five years ago, to publicly advocate preparedness, and helped to found the first Plattsburg training camp.
2045_158081_000067_000002	And if, with our troops mobilizing in France, you will give American women this measure for their political freedom, they will support with greater enthusiasm your hope and the hope of America for world freedom.	And if, with our troops mobilizing in France, you will give American women this measure for their political freedom, they will support with greater enthusiasm your hope and the hope of America for world freedom.
2045_158081_000068_000000	I have not approved all the methods recently adopted by women in pursuit of their political liberty; yet, Mr. President, the Committee on Suffrage of the United States Senate was formed in 1883, when I was one year old; this same federal	I have not approved all the methods recently adopted by women in pursuit of their political liberty; yet, mr President, the Committee on Suffrage of the United States Senate was formed in eighteen eighty three, when I was one year old; this same federal
2045_158081_000071_000001	Will not this Administration, reelected to power by the hope and faith of the women of the West, handsomely reward that faith by taking action now for the passage of the federal suffrage amendment?	Will not this Administration, reelected to power by the hope and faith of the women of the West, handsomely reward that faith by taking action now for the passage of the federal suffrage amendment?
2045_158081_000074_000001	In every circumstance throughout those years I have served you with the most respectful affection and unshadowed devotion.	In every circumstance throughout those years I have served you with the most respectful affection and unshadowed devotion.
2045_158081_000074_000002	It is no small sacrifice now for me, as a member of your Administration, to sever our political relationship.	It is no small sacrifice now for me, as a member of your Administration, to sever our political relationship.
2045_158081_000074_000003	But I think it is high time that men in this generation, at some cost to themselves, stood up to battle for the national enfranchisement of American women.	But I think it is high time that men in this generation, at some cost to themselves, stood up to battle for the national enfranchisement of American women.
2045_158081_000074_000004	So in order effectively	So in order effectively
2045_158081_000076_000000	to keep my promise made in the West and more freely to go into this larger field of democratic effort, I hereby resign my office as Collector of the Port of New York, to take effect at once, or at your earliest convenience.	to keep my promise made in the West and more freely to go into this larger field of democratic effort, I hereby resign my office as Collector of the Port of New York, to take effect at once, or at your earliest convenience.
2045_158081_000077_000000	Yours respectfully,	Yours respectfully,
2045_158081_000078_000000	(Signed) DUDLEY FIELD MALONE.	(Signed) DUDLEY FIELD MALONE.
2045_158081_000079_000000	The President's answer has never before been published:	The President's answer has never before been published:
2045_158081_000081_000000	THE WHITE HOUSE WASHINGTON	THE WHITE HOUSE WASHINGTON
2045_158081_000082_000000	My dear Mr. Collector:	My dear mr Collector:
2045_158081_000083_000000	Your letter of September 7th reached me just before I left home and I have, I am sorry to say, been unable to reply to it sooner.	Your letter of september seventh reached me just before I left home and I have, I am sorry to say, been unable to reply to it sooner.
2045_158081_000084_000000	I must frankly say that I cannot regard your reasons for resigning your position as Collector of Customs as convincing, but it is so evidently your wish to be relieved from the duties of the office that I do not feel at liberty to withhold my acceptance of your resignation.	I must frankly say that I cannot regard your reasons for resigning your position as Collector of Customs as convincing, but it is so evidently your wish to be relieved from the duties of the office that I do not feel at liberty to withhold my acceptance of your resignation.
2045_158081_000084_000001	Indeed, I judge from your letter that any discussion of the reasons would not be acceptable to you and that it is your desire to be free of the restraints of public office.	Indeed, I judge from your letter that any discussion of the reasons would not be acceptable to you and that it is your desire to be free of the restraints of public office.
2045_158081_000084_000002	I, therefore, accept your resignation, to take effect as you have wished.	I, therefore, accept your resignation, to take effect as you have wished.
2045_158081_000085_000000	I need not say that our long association in public affairs makes me regret the action you have taken most sincerely.	I need not say that our long association in public affairs makes me regret the action you have taken most sincerely.
2045_158081_000088_000000	To this Mr. Malone replied:	To this mr Malone replied:
2045_158081_000090_000000	The President, The White House, Washington, D. C.	The President, The White House, Washington, d c
2045_158081_000091_000000	Dear Mr. President:	Dear mr President:
2045_158081_000094_000000	After a most careful re-reading of my letter, I am unable to understand how you could judge that any discussion by you of my reasons for resigning would not be acceptable to me since my letter was an appeal to you on specific grounds for action now by the Administration on the Federal Suffrage amendment.	After a most careful re reading of my letter, I am unable to understand how you could judge that any discussion by you of my reasons for resigning would not be acceptable to me since my letter was an appeal to you on specific grounds for action now by the Administration on the Federal Suffrage amendment.
2045_158081_000095_000000	However, I am profoundly grateful to you for your prompt acceptance of my resignation.	However, I am profoundly grateful to you for your prompt acceptance of my resignation.
2045_158081_000099_000000	Chapter 8	Chapter eight
2045_158081_000100_000000	The Administration Yields	The Administration Yields
2045_158081_000101_000001	It yielded on a point of machinery.	It yielded on a point of machinery.
2045_158081_000101_000002	It gave us a report in the Senate and a committee in the House and expected us to be grateful.	It gave us a report in the Senate and a committee in the House and expected us to be grateful.
2045_158081_000102_000001	We were now for a moment the object of sympathy; the Administration was the butt of considerable hostility.	We were now for a moment the object of sympathy; the Administration was the butt of considerable hostility.
2045_158081_000102_000002	Sensing their predicament and fearing any loss of prestige, they risked a slight advance.	Sensing their predicament and fearing any loss of prestige, they risked a slight advance.
2045_158081_000103_000001	Scarcely had the women recovered from the surprise of his visit when the Senator, on the following day, September 15th, filed the favorable report which had been lying with his Committee since May 15th, exactly six months.	Scarcely had the women recovered from the surprise of his visit when the Senator, on the following day, september fifteenth, filed the favorable report which had been lying with his Committee since may fifteenth, exactly six months.
2045_158081_000104_000000	The Report, which he had so long delayed because he wanted [he said] to make it a particularly brilliant and elaborate one, read:	The Report, which he had so long delayed because he wanted [he said] to make it a particularly brilliant and elaborate one, read:
2045_158081_000105_000000	"The Committee on Woman Suffrage, to which was referred the joint resolution proposing an amendment to the Constitution of the United States, conferring upon women the right of suffrage, having the same under consideration, beg leave to report it back to the Senate with the recommendation that the joint resolution do pass."	"The Committee on Woman Suffrage, to which was referred the joint resolution proposing an amendment to the Constitution of the United States, conferring upon women the right of suffrage, having the same under consideration, beg leave to report it back to the Senate with the recommendation that the joint resolution do pass."
2045_158081_000107_000001	This vote was indicative of the strength of the amendment in the House.	This vote was indicative of the strength of the amendment in the House.
2045_158081_000107_000002	The resolution was sponsored by Representative Pou, Chairman of the Rules Committee and Administration leader, himself an anti- suffragist.	The resolution was sponsored by Representative Pou, Chairman of the Rules Committee and Administration leader, himself an anti suffragist.
2045_158081_000109_000000	Scores of Congressmen, anxious to refute the idea that the indomitable picket had had anything to do with their action, revealed naively how surely it had.	Scores of Congressmen, anxious to refute the idea that the indomitable picket had had anything to do with their action, revealed naively how surely it had.
2045_158081_000110_000001	Some indirectly and many, inadvertently, however, paid eloquent tribute to the suffrage picket.	Some indirectly and many, inadvertently, however, paid eloquent tribute to the suffrage picket.
2045_158081_000112_000000	Mr. Meeker of Missouri, Democrat, protested against Congress "yielding to the nagging of a certain group."	mr Meeker of Missouri, Democrat, protested against Congress "yielding to the nagging of a certain group."
2045_158081_000113_000000	Mr. Cantrill of Kentucky, Democrat, believed that "millions of Christian women in the nation should not be denied the right of having a Committee in the House to study the problem of suffrage because of the mistakes of some few of their sisters."	mr Cantrill of Kentucky, Democrat, believed that "millions of Christian women in the nation should not be denied the right of having a Committee in the House to study the problem of suffrage because of the mistakes of some few of their sisters."
2045_158081_000116_000000	of the banners of the pickets without permitting the women carrying them to be the objects of mob violence.	of the banners of the pickets without permitting the women carrying them to be the objects of mob violence.
2045_158081_000116_000001	To see women roughly handled by rough men on the streets of the capital of the nation is not a pleasing sight to Kentuckians and to red-blooded Americans, and let us hope the like will never again be seen here."	To see women roughly handled by rough men on the streets of the capital of the nation is not a pleasing sight to Kentuckians and to red blooded Americans, and let us hope the like will never again be seen here."
2045_158081_000118_000000	The subject of the creation of a committee on suffrage was almost entirely forgotten.	The subject of the creation of a committee on suffrage was almost entirely forgotten.
2045_158081_000118_000001	The Congressmen were utterly unable to shake off the ghosts of the pickets.	The Congressmen were utterly unable to shake off the ghosts of the pickets.
2045_158081_000118_000002	The pickets had not influenced their actions!	The pickets had not influenced their actions!
2045_158081_000118_000003	The very idea was appalling to Representative Stafford of Wisconsin, anti-suffrage Republican, who joined in the Democratic protests.	The very idea was appalling to Representative Stafford of Wisconsin, anti suffrage Republican, who joined in the Democratic protests.
2045_158081_000118_000004	He said:	He said:
2045_158081_000119_000001	If we keep up this sort of practices, we will compel the House, when they come to vote on the constitutional amendment, to surrender obediently likewise'."	If we keep up this sort of practices, we will compel the House, when they come to vote on the constitutional amendment, to surrender obediently likewise'."
2045_158081_000121_000000	He spoke the truth, and finished dramatically with:	He spoke the truth, and finished dramatically with:
