7881_109662_000003_000000	THE CACTUS	THE CACTUS
7881_109662_000016_000014	Humbled now, he sought the answer amid the ruins of his self-conceit.	Humbled now, he sought the answer amid the ruins of his self conceit.
7881_109662_000016_000015	If--	If-
7881_109662_000018_000000	"I say, Trysdale, what the deuce is the matter with you?	"I say, Trysdale, what the deuce is the matter with you?
7881_109662_000018_000001	You look unhappy as if you yourself had been married instead of having acted merely as an accomplice.	You look unhappy as if you yourself had been married instead of having acted merely as an accomplice.
7881_109662_000018_000002	Look at me, another accessory, come two thousand miles on a garlicky, cockroachy banana steamer all the way from South America to connive at the sacrifice--please to observe how lightly my guilt rests upon my shoulders.	Look at me, another accessory, come two thousand miles on a garlicky, cockroachy banana steamer all the way from South America to connive at the sacrifice-please to observe how lightly my guilt rests upon my shoulders.
7881_109662_000018_000005	take something to ease your conscience."	take something to ease your conscience."
7881_109662_000019_000000	"I don't drink just now, thanks," said Trysdale.	"I don't drink just now, thanks," said Trysdale.
7881_109662_000020_000000	"Your brandy," resumed the other, coming over and joining him, "is abominable.	"Your brandy," resumed the other, coming over and joining him, "is abominable.
7881_109662_000020_000002	It's worth the trip. Hallo! here's an old acquaintance.	It's worth the trip. Hallo! here's an old acquaintance.
7881_109662_000020_000003	Wherever did you rake up this cactus, Trysdale?"	Wherever did you rake up this cactus, Trysdale?"
7881_109662_000021_000000	"A present," said Trysdale, "from a friend.	"A present," said Trysdale, "from a friend.
7881_109662_000022_000001	It's a tropical concern.	It's a tropical concern.
7881_109662_000022_000002	See hundreds of 'em around Punta every day.	See hundreds of 'em around Punta every day.
7881_109662_000022_000003	Here's the name on this tag tied to it.	Here's the name on this tag tied to it.
7881_109662_000022_000004	Know any Spanish, Trysdale?"	Know any Spanish, Trysdale?"
7881_109662_000023_000000	"No," said Trysdale, with the bitter wraith of a smile--"Is it Spanish?"	"No," said Trysdale, with the bitter wraith of a smile-"Is it Spanish?"
7881_109662_000024_000000	"Yes.	"Yes.
7881_109662_000024_000002	They call it by this name--Ventomarme.	They call it by this name-Ventomarme.
