3994_149798_000001_000000	Chapter Seventeen	Chapter Seventeen
3994_149798_000022_000001	Have you forgotten your magic and witchcraft?" inquired the Wizard.	Have you forgotten your magic and witchcraft?" inquired the Wizard.
3994_149798_000023_000003	I wouldn't go back to it if I could.	I wouldn't go back to it if I could.
3994_149798_000023_000004	Don't you admire my beauty, Strangers?"	Don't you admire my beauty, Strangers?"
3994_149798_000024_000000	"Tell us, Coo-ee-oh," said Glinda earnestly, "if you can recall enough of your witchcraft to enable us to raise the sunken island to the surface of the lake.	"Tell us, Coo ee oh," said Glinda earnestly, "if you can recall enough of your witchcraft to enable us to raise the sunken island to the surface of the lake.
3994_149798_000024_000001	Tell us that and I'll give you a string of pearls to wear around your neck and add to your beauty."	Tell us that and I'll give you a string of pearls to wear around your neck and add to your beauty."
3994_149798_000025_000000	"Nothing can add to my beauty, for I'm the most beautiful creature anywhere in the whole world."	"Nothing can add to my beauty, for I'm the most beautiful creature anywhere in the whole world."
3994_149798_000026_000000	"But how can we raise the island?"	"But how can we raise the island?"
3994_149798_000027_000001	If ever I knew I've forgotten, and I'm glad of it," was the response.	If ever I knew I've forgotten, and I'm glad of it," was the response.
3994_149798_000027_000002	"Just watch me circle around and see me glitter!	"Just watch me circle around and see me glitter!
3994_149798_000028_000000	"It's no use," said Button Bright; "the old Swan is too much in love with herself to think of anything else."	"It's no use," said Button Bright; "the old Swan is too much in love with herself to think of anything else."
3994_149798_000031_000000	"But how?" asked Uncle Henry in a grave voice, for he could not bear to think of his dear niece Dorothy being out there under water; "how shall we do it?"	"But how?" asked Uncle Henry in a grave voice, for he could not bear to think of his dear niece Dorothy being out there under water; "how shall we do it?"
3994_149798_000033_000000	"If it were just an ordinary sunken island," said the powerful sorceress, "there would be several ways by which I might bring it to the surface again.	"If it were just an ordinary sunken island," said the powerful sorceress, "there would be several ways by which I might bring it to the surface again.
3994_149798_000033_000002	I do not despair in the least, but it will require some deep study to solve this difficult problem.	I do not despair in the least, but it will require some deep study to solve this difficult problem.
3994_149798_000034_000000	"It seems to me," said the Wizard after a brief silence had followed Glinda's speech, "that there are three fishes in this lake that used to be Adepts at Magic and from whom Coo-ee-oh stole much of her knowledge. If we could find those fishes and return them to their former shapes, they could doubtless tell us what to do to bring the sunken island to the surface."	"It seems to me," said the Wizard after a brief silence had followed Glinda's speech, "that there are three fishes in this lake that used to be Adepts at Magic and from whom Coo ee oh stole much of her knowledge. If we could find those fishes and return them to their former shapes, they could doubtless tell us what to do to bring the sunken island to the surface."
3994_149798_000036_000000	You will understand, of course, that had Glinda been at home in her castle, where the Great Book of Records was, she would have known that Ervic the Skeezer already had taken the gold and silver and bronze fishes from the lake.	You will understand, of course, that had Glinda been at home in her castle, where the Great Book of Records was, she would have known that Ervic the Skeezer already had taken the gold and silver and bronze fishes from the lake.
3994_149798_000037_000000	"I think I see a boat yonder on the shore," said Ojo the Munchkin boy, pointing to a place around the edge of the lake.	"I think I see a boat yonder on the shore," said Ojo the Munchkin boy, pointing to a place around the edge of the lake.
3994_149798_000037_000001	"If we could get that boat and row all over the lake, calling to the magic fishes, we might be able to find them."	"If we could get that boat and row all over the lake, calling to the magic fishes, we might be able to find them."
3994_149798_000038_000000	"Let us go to the boat," said the Wizard.	"Let us go to the boat," said the Wizard.
3994_149798_000039_000000	They walked around the lake to where the boat was stranded upon the beach, but found it empty.	They walked around the lake to where the boat was stranded upon the beach, but found it empty.
3994_149798_000039_000001	It was a mere shell of blackened steel, with a collapsible roof that, when in position, made the submarine watertight, but at present the roof rested in slots on either side of the magic craft.	It was a mere shell of blackened steel, with a collapsible roof that, when in position, made the submarine watertight, but at present the roof rested in slots on either side of the magic craft.
3994_149798_000039_000002	There were no oars or sails, no machinery to make the boat go, and although Glinda promptly realized it was meant to be operated by witchcraft, she was not acquainted with that sort of magic.	There were no oars or sails, no machinery to make the boat go, and although Glinda promptly realized it was meant to be operated by witchcraft, she was not acquainted with that sort of magic.
3994_149798_000040_000000	"However," said she, "the boat is merely a boat, and I believe I can make it obey a command of sorcery, as well as it did the command of witchcraft.	"However," said she, "the boat is merely a boat, and I believe I can make it obey a command of sorcery, as well as it did the command of witchcraft.
3994_149798_000040_000001	After I have given a little thought to the matter, the boat will take us wherever we desire to go."	After I have given a little thought to the matter, the boat will take us wherever we desire to go."
3994_149798_000041_000000	"Not all of us," returned the Wizard, "for it won't hold so many.	"Not all of us," returned the Wizard, "for it won't hold so many.
3994_149798_000041_000001	But, most noble Sorceress, provided you can make the boat go, of what use will it be to us?"	But, most noble Sorceress, provided you can make the boat go, of what use will it be to us?"
3994_149798_000042_000000	"Can't we use it to catch the three fishes?" asked Button Bright.	"Can't we use it to catch the three fishes?" asked Button Bright.
3994_149798_000043_000000	"It will not be necessary to use the boat for that purpose," replied Glinda.	"It will not be necessary to use the boat for that purpose," replied Glinda.
3994_149798_000043_000001	"Wherever in the lake the enchanted fishes may be, they will answer to my call.	"Wherever in the lake the enchanted fishes may be, they will answer to my call.
3994_149798_000043_000002	What I am trying to discover is how the boat came to be on this shore, while the island on which it belongs is under water yonder.	What I am trying to discover is how the boat came to be on this shore, while the island on which it belongs is under water yonder.
3994_149798_000043_000003	Did Coo-ee-oh come here in the boat to meet the Flatheads before the island was sunk, or afterward?"	Did Coo ee oh come here in the boat to meet the Flatheads before the island was sunk, or afterward?"
3994_149798_000044_000000	No one could answer that question, of course; but while they pondered the matter three young men advanced from the line of trees, and rather timidly bowed to the strangers.	No one could answer that question, of course; but while they pondered the matter three young men advanced from the line of trees, and rather timidly bowed to the strangers.
3994_149798_000045_000000	"Who are you, and where did you come from?" inquired the Wizard.	"Who are you, and where did you come from?" inquired the Wizard.
3994_149798_000046_000000	"We are Skeezers," answered one of them, "and our home is on the Magic Isle of the Lake.	"We are Skeezers," answered one of them, "and our home is on the Magic Isle of the Lake.
3994_149798_000046_000001	We ran away when we saw you coming, and hid behind the trees, but as you are Strangers and seem to be friendly we decided to meet you, for we are in great trouble and need assistance."	We ran away when we saw you coming, and hid behind the trees, but as you are Strangers and seem to be friendly we decided to meet you, for we are in great trouble and need assistance."
3994_149798_000047_000000	"If you belong on the island, why are you here?" demanded Glinda.	"If you belong on the island, why are you here?" demanded Glinda.
3994_149798_000049_000001	The young men told how, in the night when they were asleep, their comrade Ervic had mysteriously disappeared, while the boat in some strange manner had floated to the shore and stranded upon the beach.	The young men told how, in the night when they were asleep, their comrade Ervic had mysteriously disappeared, while the boat in some strange manner had floated to the shore and stranded upon the beach.
3994_149798_000050_000000	That was all they knew.	That was all they knew.
3994_149798_000050_000001	They had searched in vain for three days for Ervic.	They had searched in vain for three days for Ervic.
3994_149798_000050_000002	As their island was under water and they could not get back to it, the three Skeezers had no place to go, and so had waited patiently beside their boat for something to happen.	As their island was under water and they could not get back to it, the three Skeezers had no place to go, and so had waited patiently beside their boat for something to happen.
3994_149798_000051_000000	Being questioned by Glinda and the Wizard, they told all they knew about Ozma and Dorothy and declared the two girls were still in the village under the Great Dome.	Being questioned by Glinda and the Wizard, they told all they knew about Ozma and Dorothy and declared the two girls were still in the village under the Great Dome.
3994_149798_000051_000001	They were quite safe and would be well cared for by Lady Aurex, now that the Queen who opposed them was out of the way.	They were quite safe and would be well cared for by Lady Aurex, now that the Queen who opposed them was out of the way.
3994_149798_000052_000000	When they had gleaned all the information they could from these Skeezers, the Wizard said to Glinda:	When they had gleaned all the information they could from these Skeezers, the Wizard said to Glinda:
3994_149798_000053_000000	"If you find you can make this boat obey your sorcery, you could have it return to the island, submerge itself, and enter the door in the basement from which it came.	"If you find you can make this boat obey your sorcery, you could have it return to the island, submerge itself, and enter the door in the basement from which it came.
3994_149798_000053_000001	But I cannot see that our going to the sunken island would enable our friends to escape.	But I cannot see that our going to the sunken island would enable our friends to escape.
3994_149798_000053_000002	We would only Join them as prisoners."	We would only Join them as prisoners."
3994_149798_000054_000000	"Not so, friend Wizard," replied Glinda.	"Not so, friend Wizard," replied Glinda.
3994_149798_000054_000001	"If the boat would obey my commands to enter the basement door, it would also obey my commands to come out again, and I could bring Ozma and Dorothy back with me."	"If the boat would obey my commands to enter the basement door, it would also obey my commands to come out again, and I could bring Ozma and Dorothy back with me."
3994_149798_000055_000000	"And leave all of our people still imprisoned?" asked one of the Skeezers reproachfully.	"And leave all of our people still imprisoned?" asked one of the Skeezers reproachfully.
3994_149798_000056_000000	"By making several trips in the boat, Glinda could fetch all your people to the shore," replied the Wizard.	"By making several trips in the boat, Glinda could fetch all your people to the shore," replied the Wizard.
3994_149798_000057_000000	"But what could they do then?" inquired another Skeezer.	"But what could they do then?" inquired another Skeezer.
3994_149798_000057_000001	"They would have no homes and no place to go, and would be at the mercy of their enemies, the Flatheads."	"They would have no homes and no place to go, and would be at the mercy of their enemies, the Flatheads."
3994_149798_000058_000000	"That is true," said Glinda the Good.	"That is true," said Glinda the Good.
3994_149798_000058_000002	I believe the best plan will be to summon the three fishes and learn from them how to raise the island."	I believe the best plan will be to summon the three fishes and learn from them how to raise the island."
3994_149798_000059_000000	The little Wizard seemed to think that this was rather a forlorn hope.	The little Wizard seemed to think that this was rather a forlorn hope.
3994_149798_000061_000000	"That is something we must consider carefully," responded stately Glinda, with a serene smile.	"That is something we must consider carefully," responded stately Glinda, with a serene smile.
3994_149798_000061_000001	"I think I can find a way."	"I think I can find a way."
3994_149798_000062_000000	All of Ozma's counsellors applauded this sentiment, for they knew well the powers of the Sorceress.	All of Ozma's counsellors applauded this sentiment, for they knew well the powers of the Sorceress.
3994_149798_000063_000000	"Very well," agreed the Wizard.	"Very well," agreed the Wizard.
