4957_30119_000000_000000	Again a silence fell upon the group.	Again a silence fell upon the group.	false	0	5.22	22.673359
4957_30119_000025_000000	"Tell me," said Patsy, with a smile, "did you ever rob a melon-patch, Mr. McNutt?"	"Tell me," said Patsy, with a smile, "did you ever rob a melon patch, mr McNutt?"	true	276.54	281.8	23.60475
4957_30119_000026_000000	"Me?	"Me?	true	282.05	282.63	31.494652
4957_30119_000026_000001	I don't hev to.	I don't h e v to.	false	282.63	283.41	20.362001
4957_30119_000026_000002	I grow 'em."	I grow 'em."	false	283.41	285.03	21.244585
4957_30119_000027_000000	"But the ones you grow are worth fifty cents each, are they not?"	"But the ones you grow are worth fifty cents each, are they not?"	true	285.03	288.3	24.581694
4957_30119_000028_000000	"Sure; mine is."	"Sure; mine is."	true	288.3	289.47	21.340178
4957_30119_000029_000000	"Then every time you eat one of your own melons you eat fifty cents.	"Then every time you eat one of your own melons you eat fifty cents.	true	289.47	293.895	23.0951
4957_30119_000029_000001	If you were eating one of Mr. Brayley's melons you would only eat fifteen cents."	If you were eating one of mr Brayley's melons you would only eat fifteen cents."	true	293.895	298.39	22.047709
4957_30119_000030_000000	"And it would be Brayley's fifteen cents, too," added Beth, quickly.	"And it would be Brayley's fifteen cents, too," added Beth, quickly.	true	298.49	301.755	21.463945
4957_30119_000031_000000	Peggy turned his protruding eyes from one to the other, and a smile slowly spread over his features.	Peggy turned his protruding eyes from one to the other, and a smile slowly spread over his features.	true	301.755	306.94	22.839546
4957_30119_000032_000000	"By jinks, let's rob Brayley's melling-patch!" he cried.	"By jinks, let's rob Brayley's melling patch!" he cried.	true	307.07	310.605	24.338451
4957_30119_000033_000000	"All right; we'll help you," answered Patsy, readily.	"All right; we'll help you," answered Patsy, readily.	true	310.605	313.21	24
4957_30119_000034_000000	"Oh, my dear!" remonstrated Louise, not understanding.	"Oh, my dear!" remonstrated Louise, not understanding.	true	313.88	316.56	19.914785
4957_30119_000035_000000	"It will be such fun," replied her cousin, with eyes dancing merrily. "Boys always rob melon-patches, so I don't see why girls shouldn't.	"It will be such fun," replied her cousin, with eyes dancing merrily. "Boys always rob melon patches, so I don't see why girls shouldn't.	true	316.56	323.58	21
4957_30119_000035_000001	When shall we do it, Mr. McNutt?"	When shall we do it, mr McNutt?"	true	323.58	325.39	23.03476
4957_30119_000036_000000	"There ain't any moon jest now, an' the nights is dark as blazes.	"There ain't any moon jest now, an' the nights is dark as blazes.	false	325.4	329.14	25.566553
4957_30119_000036_000001	Let's go ternight."	Let's go ternight."	false	329.15	330.45	25.835402
4957_30119_000037_000000	"It's a bargain," declared Patsy.	"It's a bargain," declared Patsy.	true	330.45	332.14	25.218403
4957_30119_000037_000001	"We will come for you in the surrey at ten o'clock, and all drive together to the back of Brayley's yard and take all the melons we want."	"We will come for you in the surrey at ten o'clock, and all drive together to the back of Brayley's yard and take all the melons we want."	true	332.33	338.89	21.794708
4957_30119_000038_000000	"It'll serve him right," said Peggy, delightedly.	"It'll serve him right," said Peggy, delightedly.	true	339.17	342.04	19.957935
4957_30119_000038_000001	"Ol' Dan called me a meddler onc't--in public--an' I'm bound t' git even with him."	"ol' Dan called me a meddler onc't-in public-an' I'm bound t' git even with him."	false	342.32	346.89	22.32944
4957_30119_000039_000000	"Don't betray us, sir," pleaded Beth.	"Don't betray us, sir," pleaded Beth.	true	346.89	348.99	20.214214
4957_30119_000040_000000	"I can't," replied McNutt, frankly; "I'm in it myself, an' we'll jest find out what his blame-twisted ol' fifteen-cent mellings is like."	"I can't," replied McNutt, frankly; "I'm in it myself, an' we'll jest find out what his blame twisted ol' fifteen cent mellings is like."	false	348.99	356.25	20
4957_30119_000041_000000	Patsy was overjoyed at the success of her plot, which she had conceived on the spur of the moment, as most clever plots are conceived.	Patsy was overjoyed at the success of her plot, which she had conceived on the spur of the moment, as most clever plots are conceived.	true	356.25	362.89	23.813955
4957_30119_000041_000001	On the way home she confided to her cousins a method of securing revenge upon the agent for selling them the three copies of the "Lives of the Saints."	On the way home she confided to her cousins a method of securing revenge upon the agent for selling them the three copies of the "Lives of the Saints."	true	363.08	370.665	20
4957_30119_000042_000000	"McNutt wants to get even with Brayley, he says, and we want to get even with McNutt.	"McNutt wants to get even with Brayley, he says, and we want to get even with McNutt.	true	370.665	374.71	20.1306
4957_30119_000042_000001	I think our chances are best, don't you?" she asked.	I think our chances are best, don't you?" she asked.	true	374.81	377.325	22
4957_30119_000043_000000	And they decided to join the conspiracy.	And they decided to join the conspiracy.	true	377.325	379.53	24.233677
4957_30119_000044_000000	There was some difficulty escaping from Uncle John and the Major that night, but Patsy got them interested in a game of chess that was likely to last some hours, while Beth stole to the barn and harnessed Joe to the surrey.	There was some difficulty escaping from Uncle john and the Major that night, but Patsy got them interested in a game of chess that was likely to last some hours, while Beth stole to the barn and harnessed Joe to the surrey.	false	379.53	390.9	21
4957_30119_000044_000001	Soon the others slipped out and joined her, and with Patsy and Beth on the front seat and Louise Inside the canopy they drove slowly away until the sound of the horse's feet on the stones was no longer likely to betray them.	Soon the others slipped out and joined her, and with Patsy and Beth on the front seat and Louise Inside the canopy they drove slowly away until the sound of the horse's feet on the stones was no longer likely to betray them.	false	390.9	402.555	20
4957_30119_000045_000000	McNutt was waiting for them when they quietly drew up before his house. The village was dark and silent, for its inhabitants retired early to bed.	McNutt was waiting for them when they quietly drew up before his house. The village was dark and silent, for its inhabitants retired early to bed.	true	402.555	409.8	23
4957_30119_000045_000001	By good fortune the sky was overcast with heavy clouds and not even the glimmer of a star relieved the gloom.	By good fortune the sky was overcast with heavy clouds and not even the glimmer of a star relieved the gloom.	true	409.8	415.725	19
4957_30119_000046_000000	They put McNutt on the back seat with Louise, cautioned him to be quiet, and then drove away.	They put McNutt on the back seat with Louise, cautioned him to be quiet, and then drove away.	true	415.725	420.79	23
4957_30119_000046_000001	Dan Brayley's place was two miles distant, but in answer to Peggy's earnest inquiry if she knew the way Beth declared she could find it blind-folded.	Dan Brayley's place was two miles distant, but in answer to Peggy's earnest inquiry if she knew the way Beth declared she could find it blind folded.	false	420.8	428.7	24
4957_30119_000046_000002	In a few moments Louise had engaged the agent in a spirited discussion of the absorbing "mystery" and so occupied his attention that he paid no heed to the direction they had taken.	In a few moments Louise had engaged the agent in a spirited discussion of the absorbing "mystery" and so occupied his attention that he paid no heed to the direction they had taken.	true	428.7	438.93	17
4957_30119_000046_000003	The back seat was hemmed in by side curtains and the canopy, so it would be no wonder if he lost all sense of direction, even had not the remarks of the girl at his side completely absorbed him.	The back seat was hemmed in by side curtains and the canopy, so it would be no wonder if he lost all sense of direction, even had not the remarks of the girl at his side completely absorbed him.	true	438.93	449.775	21
4957_30119_000047_000000	Beth drove slowly down the main street, up a lane, back by the lake road and along the street again; and this programme was repeated several times, until she thought a sufficient distance had been covered to convince the agent they had arrived at Brayley's.	Beth drove slowly down the main street, up a lane, back by the lake road and along the street again; and this programme was repeated several times, until she thought a sufficient distance had been covered to convince the agent they had arrived at Brayley's.	false	449.775	463.59	22.967524
4957_30119_000047_000001	They way was pitch dark, but the horse was sensible enough to keep in the middle of the road, so they met with no accident more than to jolt over a stone now and then.	They way was pitch dark, but the horse was sensible enough to keep in the middle of the road, so they met with no accident more than to jolt over a stone now and then.	false	463.59	472.02	20
4957_30119_000048_000000	But now the most difficult part of the enterprise lay before them.	But now the most difficult part of the enterprise lay before them.	true	472.02	475.515	22.650118
4957_30119_000048_000001	The girls turned down the lane back of the main street and bumped over the ruts until they thought they had arrived at a spot opposite McNutt's own melon patch.	The girls turned down the lane back of the main street and bumped over the ruts until they thought they had arrived at a spot opposite McNutt's own melon patch.	true	475.515	484.065	23
4957_30119_000049_000000	"What's wrong?" asked the agent, as they suddenly stopped with a jerk.	"What's wrong?" asked the agent, as they suddenly stopped with a jerk.	false	484.065	487.125	22.610043
4957_30119_000050_000000	"This ought to be Brayley's," said Beth; "but it's so dark I'm not certain just where we are."	"This ought to be Brayley's," said Beth; "but it's so dark I'm not certain just where we are."	true	487.125	491.295	16
4957_30119_000051_000000	McNutt thrust his head out and peered into the blackness.	McNutt thrust his head out and peered into the blackness.	true	491.295	494.25	23.825775
4957_30119_000052_000000	"Drive along a little," he whispered.	"Drive along a little," he whispered.	true	494.25	496.18	20.447039
4957_30119_000053_000000	The girl obeyed.	The girl obeyed.	true	496.22	497.2	23.647106
4957_30119_000054_000000	"Stop--stop!" said he, a moment later.	"Stop-stop!" said he, a moment later.	false	497.24	499.45	17.96537
4957_30119_000054_000001	"I think that's them contwisted fifteen-cent mellings--over there!"	"I think that's them contwisted fifteen cent mellings-over there!"	true	499.49	502.995	21.370695
4957_30119_000055_000000	They all got out and Beth tied the horse to the fence.	They all got out and Beth tied the horse to the fence.	true	502.995	505.425	23
4957_30119_000055_000001	Peggy climbed over and at once whispered:	Peggy climbed over and at once whispered:	true	505.425	507.88	23.387646
4957_30119_000056_000000	"Come on!	"Come on!	true	507.92	508.515	17
4957_30119_000056_000001	It's them, all right."	It's them, all right."	true	508.515	509.65	24.24608
4957_30119_000057_000000	Through the drifting clouds there was just enough light to enable them to perceive the dark forms of the melons lying side by side upon their vines.	Through the drifting clouds there was just enough light to enable them to perceive the dark forms of the melons lying side by side upon their vines.	true	510.08	518.17	21
4957_30119_000057_000001	The agent took out his big clasp knife and recklessly slashed one of them open.	The agent took out his big clasp knife and recklessly slashed one of them open.	true	518.21	522.94	23.815899
4957_30119_000058_000000	"Green's grass!" he grumbled, and slashed another.	"Green's grass!" he grumbled, and slashed another.	true	523.01	526.09	23.518763
4957_30119_000059_000000	Patsy giggled, and the others felt a sudden irresistible impulse to join her.	Patsy giggled, and the others felt a sudden irresistible impulse to join her.	true	526.13	530.22	24.184256
4957_30119_000060_000000	"Keep still!" cautioned McNutt.	"Keep still!" cautioned McNutt.	true	530.22	532.62	25.166178
4957_30119_000060_000001	"Wouldn't ol' Dan be jest ravin' ef he knew this?	"Wouldn't ol' Dan be jest ravin' e f he knew this?	false	532.62	535.69	22.12115
4957_30119_000060_000002	Say--here's a ripe one.	Say-here's a ripe one.	true	535.97	537.33	24.824112
4957_30119_000060_000003	Hev a slice."	h e v a slice."	false	537.33	538.48	20.980982
4957_30119_000061_000000	They all felt for the slices he offered and ate the fruit without being able to see it.	They all felt for the slices he offered and ate the fruit without being able to see it.	true	538.64	542.745	22.561491
4957_30119_000061_000001	But it really tasted delicious.	But it really tasted delicious.	true	542.745	544.48	21.914042
4957_30119_000062_000000	As the girls feasted they heard a crunching sound and inquired in low voices what it was.	As the girls feasted they heard a crunching sound and inquired in low voices what it was.	true	544.49	549.79	21.747711
4957_30119_000063_000000	McNutt was stumping over the patch and plumping his wooden foot into every melon he could find, smashing them wantonly against the ground. The discovery filled them with horror.	McNutt was stumping over the patch and plumping his wooden foot into every melon he could find, smashing them wantonly against the ground. The discovery filled them with horror.	true	550.04	559.93	22.014088
4957_30119_000063_000001	They had thought inducing the agent to rob his own patch of a few melons, while under the delusion that they belonged to his enemy Brayley, a bit of harmless fun; but here was the vindictive fellow actually destroying his own property by the wholesale.	They had thought inducing the agent to rob his own patch of a few melons, while under the delusion that they belonged to his enemy Brayley, a bit of harmless fun; but here was the vindictive fellow actually destroying his own property by the wholesale.	true	560.09	573	23.52795
4957_30119_000064_000000	"Oh, don't!	"Oh, don't!	true	573	573.57	18.316492
4957_30119_000064_000001	Please don't, Mr. McNutt!" pleaded Patsy, in frightened accents.	Please don't, mr McNutt!" pleaded Patsy, in frightened accents.	true	573.57	576.645	22
4957_30119_000065_000000	"Yes, I will," declared the agent, stubbornly.	"Yes, I will," declared the agent, stubbornly.	true	576.645	579.075	26.207378
4957_30119_000065_000001	"I'll git even with Dan Brayley fer once in my life, ef I never do another thing, by gum!"	"I'll git even with Dan Brayley fer once in my life, e f I never do another thing, by gum!"	false	579.075	584.29	17
4957_30119_000066_000000	"But it's wrong--it's wicked!" protested Beth.	"But it's wrong-it's wicked!" protested Beth.	true	584.33	586.77	23.892204
4957_30119_000067_000000	"Can't help it; this is my chance, an' I'll make them bum fifteen-cent mellings look like a penny a piece afore I gits done with 'em."	"Can't help it; this is my chance, an' I'll make them bum fifteen cent mellings look like a penny a piece afore I gits done with 'em."	false	586.77	594	24.501963
4957_30119_000068_000000	"Never mind, girls," whispered Louise.	"Never mind, girls," whispered Louise.	true	594	595.785	17
4957_30119_000068_000001	"It's the law of retribution. Poor Peggy will be sorry for this tomorrow."	"It's the law of retribution. Poor Peggy will be sorry for this tomorrow."	true	595.785	599.775	25.304018
4957_30119_000069_000000	The man had not the faintest suspicion where he was.	The man had not the faintest suspicion where he was.	true	599.775	602.71	22
4957_30119_000069_000001	He knew his own melon patch well enough, having worked in it at times all the summer; but he had never climbed over the fence and approached it from the rear before, so it took on a new aspect to him from this point of view, and moreover the night was dark enough to deceive anybody.	He knew his own melon patch well enough, having worked in it at times all the summer; but he had never climbed over the fence and approached it from the rear before, so it took on a new aspect to him from this point of view, and moreover the night was dark enough to deceive anybody.	true	602.9	617.1	23
4957_30119_000070_000000	If he came across an especially big melon McNutt would lug it to the carriage and dump it in.	If he came across an especially big melon McNutt would lug it to the carriage and dump it in.	true	617.1	622.665	24.492687
4957_30119_000070_000001	And so angry and energetic was the little man that in a brief space the melon patch was a scene of awful devastation, and the surrey contained all the fruit that survived the massacre.	And so angry and energetic was the little man that in a brief space the melon patch was a scene of awful devastation, and the surrey contained all the fruit that survived the massacre.	true	622.665	633.19	23
4957_30119_000071_000000	Beth unhitched the horse and they all took their places in the carriage again, having some difficulty to find places for their feet on account of the cargo of melons.	Beth unhitched the horse and they all took their places in the carriage again, having some difficulty to find places for their feet on account of the cargo of melons.	true	633.32	641.71	21.982111
4957_30119_000071_000001	McNutt was stowed away inside, with Louise, and they drove away up the lane.	McNutt was stowed away inside, with Louise, and they drove away up the lane.	true	642.08	646.66	22.850098
4957_30119_000071_000002	The agent was jubilant and triumphant, and chuckled in gleeful tones that thrilled the girls with remorse as they remembered the annihilation of McNutt's cherished melons.	The agent was jubilant and triumphant, and chuckled in gleeful tones that thrilled the girls with remorse as they remembered the annihilation of McNutt's cherished melons.	false	646.79	657.195	24.85726
4957_30119_000072_000000	"Ol' Dan usu'lly has a dorg," said Peggy, between his fits of laughter; "but I guess he had him chained up ternight."	"ol' Dan usu'lly has a dorg," said Peggy, between his fits of laughter; "but I guess he had him chained up ternight."	false	657.195	663.69	22.819025
4957_30119_000073_000000	"I'm not positively sure that was Brayley's place," remarked Beth; "it's so very dark."	"I'm not positively sure that was Brayley's place," remarked Beth; "it's so very dark."	false	663.69	667.965	18
4957_30119_000074_000000	"Oh, it were Brayley's, all right," McNutt retorted.	"Oh, it were Brayley's, all right," McNutt retorted.	true	667.965	670.725	23.359259
4957_30119_000074_000001	"I could tell by the second-class taste o' them mellings, an' their measley little size. Them things ain't a circumstance to the kind I raise."	"I could tell by the second class taste o' them mellings, an' their measley little size. Them things ain't a circumstance to the kind I raise."	false	670.725	677.68	17
4957_30119_000075_000000	"Are you sure?" asked Louise.	"Are you sure?" asked Louise.	true	677.87	679.45	22.05598
4957_30119_000076_000000	"Sure's shootln'.	"Sure's shoot l n'.	false	679.7	680.88	20.249552
4957_30119_000076_000001	Guess I'm a jedge o' mellings, when I sees 'em."	Guess I'm a jedge o' mellings, when I sees 'em."	false	680.88	683.16	16
4957_30119_000077_000000	"No one could see tonight," said Beth.	"No one could see tonight," said Beth.	false	683.16	685.62	22.881245
4957_30119_000078_000000	"Feelin's jest the same," declared the little man, confidently.	"Feelin's jest the same," declared the little man, confidently.	true	685.62	688.96	23.822645
4957_30119_000079_000000	After wandering around a sufficient length of time to allay suspicion, Beth finally drew up before McNutt's house again.	After wandering around a sufficient length of time to allay suspicion, Beth finally drew up before McNutt's house again.	false	688.97	695.835	23
4957_30119_000080_000000	"I'll jest take my share o' them mellings," said Peggy, as he alighted. "They ain't much 'count, bein' Brayley's; but it'll save me an' the ol' woman from eatin' our own, or perhaps I kin sell 'em to Sam Cotting."	"I'll jest take my share o' them mellings," said Peggy, as he alighted. "They ain't much 'count, bein' Brayley's; but it'll save me an' the ol' woman from eatin' our own, or perhaps I kin sell 'em to Sam Cotting."	false	695.835	706.06	19
4957_30119_000081_000000	He took rather more than his share of the spoils, but the girls had no voice to object.	He took rather more than his share of the spoils, but the girls had no voice to object.	true	706.22	710.8	22.59809
4957_30119_000081_000001	They were by this time so convulsed with suppressed merriment that they had hard work not to shriek aloud their laughter. For, in spite of the tragic revelations the morrow would bring forth, the situation was so undeniably ridiculous that they could not resist its humor.	They were by this time so convulsed with suppressed merriment that they had hard work not to shriek aloud their laughter. For, in spite of the tragic revelations the morrow would bring forth, the situation was so undeniably ridiculous that they could not resist its humor.	true	710.81	725.775	21
4957_30119_000082_000000	"I've had a heap o' fun," whispered McNutt.	"I've had a heap o' fun," whispered McNutt.	false	725.775	727.92	23.817022
4957_30119_000082_000001	"Good night, gals.	"Good night, gals.	true	727.92	728.88	23.576473
4957_30119_000082_000002	Ef ye didn't belong to thet gum-twisted nabob, ye'd be some pun'kins."	e f ye didn't belong to thet gum twisted nabob, ye'd be some pun'kins."	false	728.88	733.45	23.249615
4957_30119_000083_000000	"Thank you, Mr. McNutt.	"Thank you, mr McNutt.	true	734.09	735.15	16.516294
4957_30119_000083_000001	Good night."	Good night."	true	735.15	735.88	33.19764
4957_30119_000084_000000	And it was not until well on their journey to the farm that the girls finally dared to abandon further restraint.	And it was not until well on their journey to the farm that the girls finally dared to abandon further restraint.	true	736.19	741.66	19
4957_30119_000084_000001	Then, indeed, they made the grim, black hills of the plateau resound to the peals of their merry laughter.	Then, indeed, they made the grim, black hills of the plateau resound to the peals of their merry laughter.	false	741.66	756.57	22.747366
