4957_30119_000003_000000	CHAPTER XXIV.	CHAPTER twenty four.
4957_30119_000014_000001	Brayley's!"	Brayley's!"
4957_30119_000015_000000	"I'm sure they are finer than these," said Beth.	"I'm sure they are finer than these," said Beth.
4957_30119_000016_000000	"Well, I'll be jiggered!" Peggy's eyes stared as they had never stared before.	"Well, I'll be jiggered!" Peggy's eyes stared as they had never stared before.
4957_30119_000017_000000	"What do you charge for melons, Mr. McNutt?" inquired Louise.	"What do you charge for melons, mr McNutt?" inquired Louise.
4957_30119_000018_000000	"Charge?	"Charge?
4957_30119_000018_000001	Why--er--fifty cents a piece is my price to nabobs; an' dirt cheap at that!"	Why-er-fifty cents a piece is my price to nabobs; an' dirt cheap at that!"
4957_30119_000019_000000	"That is too much," declared Patsy.	"That is too much," declared Patsy.
4957_30119_000020_000000	"Him!	"Him!
4957_30119_000020_000001	Fifteen cents!" gasped Peggy, greatly disappointed.	Fifteen cents!" gasped Peggy, greatly disappointed.
4957_30119_000022_000000	"But they ain't.	"But they ain't.
4957_30119_000023_000000	"How impolite."	"How impolite."
4957_30119_000024_000000	"But that's Dan Brayley.	"But that's Dan Brayley.
4957_30119_000025_000000	"Tell me," said Patsy, with a smile, "did you ever rob a melon-patch, Mr. McNutt?"	"Tell me," said Patsy, with a smile, "did you ever rob a melon patch, mr McNutt?"
4957_30119_000026_000000	"Me?	"Me?
4957_30119_000027_000000	"But the ones you grow are worth fifty cents each, are they not?"	"But the ones you grow are worth fifty cents each, are they not?"
4957_30119_000028_000000	"Sure; mine is."	"Sure; mine is."
4957_30119_000029_000000	"Then every time you eat one of your own melons you eat fifty cents.	"Then every time you eat one of your own melons you eat fifty cents.
4957_30119_000029_000001	If you were eating one of Mr. Brayley's melons you would only eat fifteen cents."	If you were eating one of mr Brayley's melons you would only eat fifteen cents."
4957_30119_000030_000000	"And it would be Brayley's fifteen cents, too," added Beth, quickly.	"And it would be Brayley's fifteen cents, too," added Beth, quickly.
4957_30119_000031_000000	Peggy turned his protruding eyes from one to the other, and a smile slowly spread over his features.	Peggy turned his protruding eyes from one to the other, and a smile slowly spread over his features.
4957_30119_000032_000000	"By jinks, let's rob Brayley's melling-patch!" he cried.	"By jinks, let's rob Brayley's melling patch!" he cried.
4957_30119_000033_000000	"All right; we'll help you," answered Patsy, readily.	"All right; we'll help you," answered Patsy, readily.
4957_30119_000035_000000	"It will be such fun," replied her cousin, with eyes dancing merrily. "Boys always rob melon-patches, so I don't see why girls shouldn't.	"It will be such fun," replied her cousin, with eyes dancing merrily. "Boys always rob melon patches, so I don't see why girls shouldn't.
4957_30119_000035_000001	When shall we do it, Mr. McNutt?"	When shall we do it, mr McNutt?"
4957_30119_000037_000000	"It's a bargain," declared Patsy.	"It's a bargain," declared Patsy.
4957_30119_000037_000001	"We will come for you in the surrey at ten o'clock, and all drive together to the back of Brayley's yard and take all the melons we want."	"We will come for you in the surrey at ten o'clock, and all drive together to the back of Brayley's yard and take all the melons we want."
4957_30119_000039_000000	"Don't betray us, sir," pleaded Beth.	"Don't betray us, sir," pleaded Beth.
4957_30119_000041_000000	Patsy was overjoyed at the success of her plot, which she had conceived on the spur of the moment, as most clever plots are conceived.	Patsy was overjoyed at the success of her plot, which she had conceived on the spur of the moment, as most clever plots are conceived.
4957_30119_000041_000001	On the way home she confided to her cousins a method of securing revenge upon the agent for selling them the three copies of the "Lives of the Saints."	On the way home she confided to her cousins a method of securing revenge upon the agent for selling them the three copies of the "Lives of the Saints."
4957_30119_000042_000000	"McNutt wants to get even with Brayley, he says, and we want to get even with McNutt.	"McNutt wants to get even with Brayley, he says, and we want to get even with McNutt.
4957_30119_000042_000001	I think our chances are best, don't you?" she asked.	I think our chances are best, don't you?" she asked.
4957_30119_000043_000000	And they decided to join the conspiracy.	And they decided to join the conspiracy.
4957_30119_000045_000000	McNutt was waiting for them when they quietly drew up before his house. The village was dark and silent, for its inhabitants retired early to bed.	McNutt was waiting for them when they quietly drew up before his house. The village was dark and silent, for its inhabitants retired early to bed.
4957_30119_000046_000000	They put McNutt on the back seat with Louise, cautioned him to be quiet, and then drove away.	They put McNutt on the back seat with Louise, cautioned him to be quiet, and then drove away.
4957_30119_000046_000003	The back seat was hemmed in by side curtains and the canopy, so it would be no wonder if he lost all sense of direction, even had not the remarks of the girl at his side completely absorbed him.	The back seat was hemmed in by side curtains and the canopy, so it would be no wonder if he lost all sense of direction, even had not the remarks of the girl at his side completely absorbed him.
4957_30119_000048_000000	But now the most difficult part of the enterprise lay before them.	But now the most difficult part of the enterprise lay before them.
4957_30119_000048_000001	The girls turned down the lane back of the main street and bumped over the ruts until they thought they had arrived at a spot opposite McNutt's own melon patch.	The girls turned down the lane back of the main street and bumped over the ruts until they thought they had arrived at a spot opposite McNutt's own melon patch.
4957_30119_000051_000000	McNutt thrust his head out and peered into the blackness.	McNutt thrust his head out and peered into the blackness.
4957_30119_000052_000000	"Drive along a little," he whispered.	"Drive along a little," he whispered.
4957_30119_000053_000000	The girl obeyed.	The girl obeyed.
4957_30119_000054_000001	"I think that's them contwisted fifteen-cent mellings--over there!"	"I think that's them contwisted fifteen cent mellings-over there!"
4957_30119_000055_000000	They all got out and Beth tied the horse to the fence.	They all got out and Beth tied the horse to the fence.
4957_30119_000055_000001	Peggy climbed over and at once whispered:	Peggy climbed over and at once whispered:
4957_30119_000056_000001	It's them, all right."	It's them, all right."
4957_30119_000057_000000	Through the drifting clouds there was just enough light to enable them to perceive the dark forms of the melons lying side by side upon their vines.	Through the drifting clouds there was just enough light to enable them to perceive the dark forms of the melons lying side by side upon their vines.
4957_30119_000057_000001	The agent took out his big clasp knife and recklessly slashed one of them open.	The agent took out his big clasp knife and recklessly slashed one of them open.
4957_30119_000058_000000	"Green's grass!" he grumbled, and slashed another.	"Green's grass!" he grumbled, and slashed another.
4957_30119_000059_000000	Patsy giggled, and the others felt a sudden irresistible impulse to join her.	Patsy giggled, and the others felt a sudden irresistible impulse to join her.
4957_30119_000060_000000	"Keep still!" cautioned McNutt.	"Keep still!" cautioned McNutt.
4957_30119_000060_000002	Say--here's a ripe one.	Say-here's a ripe one.
4957_30119_000061_000000	They all felt for the slices he offered and ate the fruit without being able to see it.	They all felt for the slices he offered and ate the fruit without being able to see it.
4957_30119_000061_000001	But it really tasted delicious.	But it really tasted delicious.
4957_30119_000062_000000	As the girls feasted they heard a crunching sound and inquired in low voices what it was.	As the girls feasted they heard a crunching sound and inquired in low voices what it was.
4957_30119_000063_000000	McNutt was stumping over the patch and plumping his wooden foot into every melon he could find, smashing them wantonly against the ground. The discovery filled them with horror.	McNutt was stumping over the patch and plumping his wooden foot into every melon he could find, smashing them wantonly against the ground. The discovery filled them with horror.
4957_30119_000063_000001	They had thought inducing the agent to rob his own patch of a few melons, while under the delusion that they belonged to his enemy Brayley, a bit of harmless fun; but here was the vindictive fellow actually destroying his own property by the wholesale.	They had thought inducing the agent to rob his own patch of a few melons, while under the delusion that they belonged to his enemy Brayley, a bit of harmless fun; but here was the vindictive fellow actually destroying his own property by the wholesale.
4957_30119_000064_000001	Please don't, Mr. McNutt!" pleaded Patsy, in frightened accents.	Please don't, mr McNutt!" pleaded Patsy, in frightened accents.
4957_30119_000065_000000	"Yes, I will," declared the agent, stubbornly.	"Yes, I will," declared the agent, stubbornly.
4957_30119_000066_000000	"But it's wrong--it's wicked!" protested Beth.	"But it's wrong-it's wicked!" protested Beth.
4957_30119_000068_000001	"It's the law of retribution. Poor Peggy will be sorry for this tomorrow."	"It's the law of retribution. Poor Peggy will be sorry for this tomorrow."
4957_30119_000069_000000	The man had not the faintest suspicion where he was.	The man had not the faintest suspicion where he was.
4957_30119_000069_000001	He knew his own melon patch well enough, having worked in it at times all the summer; but he had never climbed over the fence and approached it from the rear before, so it took on a new aspect to him from this point of view, and moreover the night was dark enough to deceive anybody.	He knew his own melon patch well enough, having worked in it at times all the summer; but he had never climbed over the fence and approached it from the rear before, so it took on a new aspect to him from this point of view, and moreover the night was dark enough to deceive anybody.
4957_30119_000070_000000	If he came across an especially big melon McNutt would lug it to the carriage and dump it in.	If he came across an especially big melon McNutt would lug it to the carriage and dump it in.
4957_30119_000070_000001	And so angry and energetic was the little man that in a brief space the melon patch was a scene of awful devastation, and the surrey contained all the fruit that survived the massacre.	And so angry and energetic was the little man that in a brief space the melon patch was a scene of awful devastation, and the surrey contained all the fruit that survived the massacre.
4957_30119_000071_000000	Beth unhitched the horse and they all took their places in the carriage again, having some difficulty to find places for their feet on account of the cargo of melons.	Beth unhitched the horse and they all took their places in the carriage again, having some difficulty to find places for their feet on account of the cargo of melons.
4957_30119_000071_000001	McNutt was stowed away inside, with Louise, and they drove away up the lane.	McNutt was stowed away inside, with Louise, and they drove away up the lane.
4957_30119_000074_000000	"Oh, it were Brayley's, all right," McNutt retorted.	"Oh, it were Brayley's, all right," McNutt retorted.
4957_30119_000075_000000	"Are you sure?" asked Louise.	"Are you sure?" asked Louise.
4957_30119_000078_000000	"Feelin's jest the same," declared the little man, confidently.	"Feelin's jest the same," declared the little man, confidently.
4957_30119_000081_000000	He took rather more than his share of the spoils, but the girls had no voice to object.	He took rather more than his share of the spoils, but the girls had no voice to object.
4957_30119_000081_000001	They were by this time so convulsed with suppressed merriment that they had hard work not to shriek aloud their laughter. For, in spite of the tragic revelations the morrow would bring forth, the situation was so undeniably ridiculous that they could not resist its humor.	They were by this time so convulsed with suppressed merriment that they had hard work not to shriek aloud their laughter. For, in spite of the tragic revelations the morrow would bring forth, the situation was so undeniably ridiculous that they could not resist its humor.
4957_30119_000082_000001	"Good night, gals.	"Good night, gals.
4957_30119_000083_000001	Good night."	Good night."
