3009_10327_000000_000000	Their substance we consider absolutely and in relation to corporeal things.	Their substance we consider absolutely and in relation to corporeal things.
3009_10327_000029_000001	Hence material things which are below our intellect exist in our intellect in a simpler mode than they exist in themselves.	Hence material things which are below our intellect exist in our intellect in a simpler mode than they exist in themselves.
3009_10327_000030_000003	Nevertheless, this differs in our mode of conception; for, inasmuch as our intellect considers it as indeterminate, it derives the idea of their genus; and inasmuch as it considers it determinately, it derives the idea of their "difference."	Nevertheless, this differs in our mode of conception; for, inasmuch as our intellect considers it as indeterminate, it derives the idea of their genus; and inasmuch as it considers it determinately, it derives the idea of their "difference."
3009_10327_000031_000001	But this is clearly false. For matter receives the form, that thereby it may be constituted in some species, either of air, or of fire, or of something else.	But this is clearly false. For matter receives the form, that thereby it may be constituted in some species, either of air, or of fire, or of something else.
3009_10327_000032_000001	And this can be made evident if we consider the nature of material things which contain a twofold composition.	And this can be made evident if we consider the nature of material things which contain a twofold composition.
3009_10327_000032_000002	The first is that of form and matter, whereby the nature is constituted.	The first is that of form and matter, whereby the nature is constituted.
3009_10327_000032_000003	Such a composite nature is not its own existence but existence is its act.	Such a composite nature is not its own existence but existence is its act.
3009_10327_000032_000004	Hence the nature itself is related to its own existence as potentiality to act.	Hence the nature itself is related to its own existence as potentiality to act.
3009_10327_000032_000006	And such a kind of composition is understood to be in the angels; and this is what some say, that an angel is composed of, "whereby he is," and "what is," or "existence," and "what is," as Boethius says.	And such a kind of composition is understood to be in the angels; and this is what some say, that an angel is composed of, "whereby he is," and "what is," or "existence," and "what is," as Boethius says.
3009_10327_000033_000001	But there is nothing against a creature being considered relatively infinite.	But there is nothing against a creature being considered relatively infinite.
3009_10327_000033_000002	Material creatures are infinite on the part of matter, but finite in their form, which is limited by the matter which receives it.	Material creatures are infinite on the part of matter, but finite in their form, which is limited by the matter which receives it.
3009_10327_000033_000003	But immaterial created substances are finite in their being; whereas they are infinite in the sense that their forms are not received in anything else; as if we were to say, for example, that whiteness existing separate is infinite as regards the nature of whiteness, forasmuch as it is not contracted to any one subject; while its "being" is finite as determined to some one special nature.	But immaterial created substances are finite in their being; whereas they are infinite in the sense that their forms are not received in anything else; as if we were to say, for example, that whiteness existing separate is infinite as regards the nature of whiteness, forasmuch as it is not contracted to any one subject; while its "being" is finite as determined to some one special nature.
3009_10327_000036_000000	Whether the Angels Exist in Any Great Number?	Whether the Angels Exist in Any Great Number?
3009_10327_000037_000000	Objection 1: It would seem that the angels are not in great numbers. For number is a species of quantity, and follows the division of a continuous body.	Objection one: It would seem that the angels are not in great numbers. For number is a species of quantity, and follows the division of a continuous body.
3009_10327_000037_000002	Therefore the angels cannot exist in any great number.	Therefore the angels cannot exist in any great number.
3009_10327_000038_000001	But among other created natures the angelic nature approaches nearest to God. Therefore since God is supremely one, it seems that there is the least possible number in the angelic nature.	But among other created natures the angelic nature approaches nearest to God. Therefore since God is supremely one, it seems that there is the least possible number in the angelic nature.
3009_10327_000039_000001	But the movements of the heavenly bodies fall within some small determined number, which we can apprehend.	But the movements of the heavenly bodies fall within some small determined number, which we can apprehend.
3009_10327_000039_000002	Therefore the angels are not in greater number than the movements of the heavenly bodies.	Therefore the angels are not in greater number than the movements of the heavenly bodies.
3009_10327_000040_000003	Therefore it seems that the multiplication of intellectual substances can only be according to the requirements of the first bodies--that is, of the heavenly ones, so that in some way the shedding form of the aforesaid rays may be terminated in them; and hence the same conclusion is to be drawn as before.	Therefore it seems that the multiplication of intellectual substances can only be according to the requirements of the first bodies-that is, of the heavenly ones, so that in some way the shedding form of the aforesaid rays may be terminated in them; and hence the same conclusion is to be drawn as before.
3009_10327_000042_000001	Plato contended that the separate substances are the species of sensible things; as if we were to maintain that human nature is a separate substance of itself: and according to this view it would have to be maintained that the number of the separate substances is the number of the species of sensible things.	Plato contended that the separate substances are the species of sensible things; as if we were to maintain that human nature is a separate substance of itself: and according to this view it would have to be maintained that the number of the separate substances is the number of the species of sensible things.
3009_10327_000042_000003	Consequently the separate substances cannot be the exemplar species of these sensible things; but have their own fixed natures, which are higher than the natures of sensible things.	Consequently the separate substances cannot be the exemplar species of these sensible things; but have their own fixed natures, which are higher than the natures of sensible things.
3009_10327_000043_000001	It is, however, quite foreign to the custom of the Scriptures for the powers of irrational things to be designated as angels.	It is, however, quite foreign to the custom of the Scriptures for the powers of irrational things to be designated as angels.
3009_10327_000044_000000	Hence it must be said that the angels, even inasmuch as they are immaterial substances, exist in exceeding great number, far beyond all material multitude.	Hence it must be said that the angels, even inasmuch as they are immaterial substances, exist in exceeding great number, far beyond all material multitude.
3009_10327_000044_000004	We see, in fact, that incorruptible bodies, exceed corruptible bodies almost incomparably in magnitude; for the entire sphere of things active and passive is something very small in comparison with the heavenly bodies.	We see, in fact, that incorruptible bodies, exceed corruptible bodies almost incomparably in magnitude; for the entire sphere of things active and passive is something very small in comparison with the heavenly bodies.
3009_10327_000044_000005	Hence it is reasonable to conclude that the immaterial substances as it were incomparably exceed material substances as to multitude.	Hence it is reasonable to conclude that the immaterial substances as it were incomparably exceed material substances as to multitude.
3009_10327_000047_000002	For thus the immaterial substances would exist to no purpose, unless some movement from them were to appear in corporeal things.	For thus the immaterial substances would exist to no purpose, unless some movement from them were to appear in corporeal things.
3009_10327_000047_000003	But it is not true that the immaterial substances exist on account of the corporeal, because the end is nobler than the means to the end.	But it is not true that the immaterial substances exist on account of the corporeal, because the end is nobler than the means to the end.
3009_10327_000047_000006	He was forced to make use of this argument, since only through sensible things can we come to know intelligible ones.	He was forced to make use of this argument, since only through sensible things can we come to know intelligible ones.
3009_10327_000051_000000	Objection 1: It would seem that the angels do not differ in species. For since the "difference" is nobler than the 'genus,' all things which agree in what is noblest in them, agree likewise in their ultimate constitutive difference; and so they are the same according to species.	Objection one: It would seem that the angels do not differ in species. For since the "difference" is nobler than the 'genus,' all things which agree in what is noblest in them, agree likewise in their ultimate constitutive difference; and so they are the same according to species.
3009_10327_000051_000001	But all angels agree in what is noblest in them--that is to say, in intellectuality.	But all angels agree in what is noblest in them-that is to say, in intellectuality.
3009_10327_000052_000001	But the angels seem to differ only from one another according to more and less--namely, as one is simpler than another, and of keener intellect.	But the angels seem to differ only from one another according to more and less-namely, as one is simpler than another, and of keener intellect.
3009_10327_000052_000002	Therefore the angels do not differ specifically.	Therefore the angels do not differ specifically.
3009_10327_000054_000001	But this would not be so if there were but one individual under one species.	But this would not be so if there were but one individual under one species.
3009_10327_000057_000000	But this is impossible.	But this is impossible.
3009_10327_000057_000001	For such things as agree in species but differ in number, agree in form, but are distinguished materially.	For such things as agree in species but differ in number, agree in form, but are distinguished materially.
3009_10327_000057_000003	For it would be necessary for matter to be the principle of distinction of one from the other, not, indeed, according to the division of quantity, since they are incorporeal, but according to the diversity of their powers; and such diversity of matter causes diversity not merely of species, but of genus.	For it would be necessary for matter to be the principle of distinction of one from the other, not, indeed, according to the division of quantity, since they are incorporeal, but according to the diversity of their powers; and such diversity of matter causes diversity not merely of species, but of genus.
3009_10327_000060_000001	Hence it is much better for the species to be multiplied in the angels than for individuals to be multiplied in the one species.	Hence it is much better for the species to be multiplied in the angels than for individuals to be multiplied in the one species.
3009_10327_000063_000000	Whether the Angels Are Incorruptible?	Whether the Angels Are Incorruptible?
3009_10327_000066_000001	Therefore, since the angels were made by God, it would appear that they are corruptible of their own nature.	Therefore, since the angels were made by God, it would appear that they are corruptible of their own nature.
3009_10327_000068_000001	The reason for this is, that nothing is corrupted except by its form being separated from the matter.	The reason for this is, that nothing is corrupted except by its form being separated from the matter.
3009_10327_000068_000003	For what belongs to anything considered in itself can never be separated from it; but what belongs to a thing, considered in relation to something else, can be separated, when that something else is taken away, in view of which it belonged to it.	For what belongs to anything considered in itself can never be separated from it; but what belongs to a thing, considered in relation to something else, can be separated, when that something else is taken away, in view of which it belonged to it.
3009_10327_000068_000004	Roundness can never be taken from the circle, because it belongs to it of itself; but a bronze circle can lose roundness, if the bronze be deprived of its circular shape.	Roundness can never be taken from the circle, because it belongs to it of itself; but a bronze circle can lose roundness, if the bronze be deprived of its circular shape.
3009_10327_000068_000005	Now to be belongs to a form considered in itself; for everything is an actual being according to its form: whereas matter is an actual being by the form.	Now to be belongs to a form considered in itself; for everything is an actual being according to its form: whereas matter is an actual being by the form.
3009_10327_000068_000006	Consequently a subject composed of matter and form ceases to be actually when the form is separated from the matter.	Consequently a subject composed of matter and form ceases to be actually when the form is separated from the matter.
3009_10327_000069_000001	Now the species and nature of the operation is understood from the object.	Now the species and nature of the operation is understood from the object.
3009_10327_000069_000002	But an intelligible object, being above time, is everlasting.	But an intelligible object, being above time, is everlasting.
3009_10327_000072_000001	Hence it is not repugnant to a necessary or incorruptible being to depend for its existence on another as its cause.	Hence it is not repugnant to a necessary or incorruptible being to depend for its existence on another as its cause.
3009_10327_000072_000002	Therefore, when it is said that all things, even the angels, would lapse into nothing, unless preserved by God, it is not to be gathered therefrom that there is any principle of corruption in the angels; but that the nature of the angels is dependent upon God as its cause.	Therefore, when it is said that all things, even the angels, would lapse into nothing, unless preserved by God, it is not to be gathered therefrom that there is any principle of corruption in the angels; but that the nature of the angels is dependent upon God as its cause.
