3009_10327_000000_000000	Their substance we consider absolutely and in relation to corporeal things.	Their substance we consider absolutely and in relation to corporeal things.	true	85.575	90.97	23.816118
3009_10327_000013_000000	_I answer that,_ There must be some incorporeal creatures.	underscore I answer that,underscore There must be some incorporeal creatures.	false	207.87	213.82	23.794113
3009_10327_000013_000001	For what is principally intended by God in creatures is good, and this consists in assimilation to God Himself.	For what is principally intended by God in creatures is good, and this consists in assimilation to God Himself.	true	214.19	223.54	24.396402
3009_10327_000013_000002	And the perfect assimilation of an effect to a cause is accomplished when the effect imitates the cause according to that whereby the cause produces the effect; as heat makes heat.	And the perfect assimilation of an effect to a cause is accomplished when the effect imitates the cause according to that whereby the cause produces the effect; as heat makes heat.	true	223.97	237.91	25.97519
3009_10327_000013_000003	Now, God produces the creature by His intellect and will (Q. 14, A. 8; Q. 19, A. 4).	Now, God produces the creature by His intellect and will (Q. fourteen, a eight; q nineteen, a four).	false	238.25	242.94	23.438812
3009_10327_000013_000004	Hence the perfection of the universe requires that there should be intellectual creatures.	Hence the perfection of the universe requires that there should be intellectual creatures.	true	242.94	248.83	24.6325
3009_10327_000013_000005	Now intelligence cannot be the action of a body, nor of any corporeal faculty; for every body is limited to "here" and "now." Hence the perfection of the universe requires the existence of an incorporeal creature.	Now intelligence cannot be the action of a body, nor of any corporeal faculty; for every body is limited to "here" and "now." Hence the perfection of the universe requires the existence of an incorporeal creature.	true	249.05	266.38	24.589817
3009_10327_000014_000000	The ancients, however, not properly realizing the force of intelligence, and failing to make a proper distinction between sense and intellect, thought that nothing existed in the world but what could be apprehended by sense and imagination.	The ancients, however, not properly realizing the force of intelligence, and failing to make a proper distinction between sense and intellect, thought that nothing existed in the world but what could be apprehended by sense and imagination.	true	266.9	284.32	23.811861
3009_10327_000014_000001	And because bodies alone fall under imagination, they supposed that no being existed except bodies, as the Philosopher observes (Phys.	And because bodies alone fall under imagination, they supposed that no being existed except bodies, as the Philosopher observes (Phys.	false	284.66	294.9	21.97635
3009_10327_000014_000002	iv, text 52,57). Thence came the error of the Sadducees, who said there was no spirit (Acts 23:8).	i v, text fifty two,fifty seven). Thence came the error of the Sadducees, who said there was no spirit (acts chapter twenty three verse eight).	false	294.9	301.05	22.608782
3009_10327_000015_000000	But the very fact that intellect is above sense is a reasonable proof that there are some incorporeal things comprehensible by the intellect alone.	But the very fact that intellect is above sense is a reasonable proof that there are some incorporeal things comprehensible by the intellect alone.	true	301.05	312.37	24.575743
3009_10327_000016_000000	Reply Obj. 1: Incorporeal substances rank between God and corporeal creatures.	Reply o b j. one: Incorporeal substances rank between God and corporeal creatures.	false	314.57	322.93	25.114033
3009_10327_000016_000001	Now the medium compared to one extreme appears to be the other extreme, as what is tepid compared to heat seems to be cold; and thus it is said that angels, compared to God, are material and corporeal, not, however, as if anything corporeal existed in them.	Now the medium compared to one extreme appears to be the other extreme, as what is tepid compared to heat seems to be cold; and thus it is said that angels, compared to God, are material and corporeal, not, however, as if anything corporeal existed in them.	true	323.6	343.21	25.279608
3009_10327_000017_000000	Reply Obj. 2: Movement is there taken in the sense in which it is applied to intelligence and will.	Reply o b j. two: Movement is there taken in the sense in which it is applied to intelligence and will.	false	344.18	353.41	24.846533
3009_10327_000017_000001	Therefore an angel is called an ever mobile substance, because he is ever actually intelligent, and not as if he were sometimes actually and sometimes potentially, as we are.	Therefore an angel is called an ever mobile substance, because he is ever actually intelligent, and not as if he were sometimes actually and sometimes potentially, as we are.	true	353.66	367.05	24.133184
3009_10327_000017_000002	Hence it is clear that the objection rests on an equivocation.	Hence it is clear that the objection rests on an equivocation.	false	367.05	372.82	24.815424
3009_10327_000018_000000	Reply Obj. 3: To be circumscribed by local limits belongs to bodies only; whereas to be circumscribed by essential limits belongs to all creatures, both corporeal and spiritual.	Reply o b j. three: To be circumscribed by local limits belongs to bodies only; whereas to be circumscribed by essential limits belongs to all creatures, both corporeal and spiritual.	false	374.15	391.78	23.8975
3009_10327_000018_000001	Hence Ambrose says (De Spir. Sanct. i, 7) that "although some things are not contained in corporeal place, still they are none the less circumscribed by their substance." _______________________	Hence Ambrose says (De Spir. Sanct. i, seven) that "although some things are not contained in corporeal place, still they are none the less circumscribed by their substance." , blank ,	false	392.09	404.46	21.94814
3009_10327_000019_000000	SECOND ARTICLE [I, Q. 50, Art. 2]	SECOND ARTICLE [I, q fifty, Art. two]	false	404.46	405.99	28.201818
3009_10327_000020_000000	Whether an Angel Is Composed of Matter and Form?	Whether an Angel Is Composed of Matter and Form?	true	405.99	409.6	20.245123
3009_10327_000021_000000	Objection 1: It would seem that an angel is composed of matter and form.	Objection one: It would seem that an angel is composed of matter and form.	true	410.12	416.5	22.975233
3009_10327_000021_000001	For everything which is contained under any genus is composed of the genus, and of the difference which added to the genus makes the species.	For everything which is contained under any genus is composed of the genus, and of the difference which added to the genus makes the species.	true	416.93	427.21	23.620962
3009_10327_000021_000002	But the genus comes from the matter, and the difference from the form (Metaph. xiii, text 6).	But the genus comes from the matter, and the difference from the form (Metaph. x i i i, text six).	false	428.09	432.78	20.794415
3009_10327_000021_000003	Therefore everything which is in a genus is composed of matter and form.	Therefore everything which is in a genus is composed of matter and form.	true	432.78	437.95	21.1197
3009_10327_000021_000004	But an angel is in the genus of substance.	But an angel is in the genus of substance.	true	437.96	441.16	18
3009_10327_000021_000005	Therefore he is composed of matter and form.	Therefore he is composed of matter and form.	true	441.17	444.36	23.078304
3009_10327_000022_000000	Obj. 2: Further, wherever the properties of matter exist, there is matter.	o b j. two: Further, wherever the properties of matter exist, there is matter.	false	444.36	451.39	23.622261
3009_10327_000022_000001	Now the properties of matter are to receive and to substand; whence Boethius says (De Trin.) that "a simple form cannot be a subject": and the above properties are found in the angel.	Now the properties of matter are to receive and to substand; whence Boethius says (De Trin.) that "a simple form cannot be a subject": and the above properties are found in the angel.	false	451.67	464.38	23.13633
3009_10327_000022_000002	Therefore an angel is composed of matter and form.	Therefore an angel is composed of matter and form.	true	464.48	468.09	20.314283
3009_10327_000023_000000	Obj. 3: Further, form is act.	o b j. three: Further, form is act.	false	468.09	473.2	18.422861
3009_10327_000023_000001	So what is form only is pure act.	So what is form only is pure act.	true	473.75	477.4	21.177952
3009_10327_000023_000002	But an angel is not pure act, for this belongs to God alone.	But an angel is not pure act, for this belongs to God alone.	true	477.59	482.26	23.647303
3009_10327_000023_000003	Therefore an angel is not form only, but has a form in matter.	Therefore an angel is not form only, but has a form in matter.	true	482.45	488.01	19.61732
3009_10327_000024_000000	Obj. 4: Further, form is properly limited and perfected by matter.	o b j. four: Further, form is properly limited and perfected by matter.	false	488.01	494.41	24.614378
3009_10327_000024_000001	So the form which is not in matter is an infinite form.	So the form which is not in matter is an infinite form.	true	494.6	499.09	21.48042
3009_10327_000024_000002	But the form of an angel is not infinite, for every creature is finite.	But the form of an angel is not infinite, for every creature is finite.	true	499.16	504.94	23.269964
3009_10327_000024_000003	Therefore the form of an angel is in matter.	Therefore the form of an angel is in matter.	true	505.01	508.44	20.263657
3009_10327_000025_000000	_On the contrary,_ Dionysius says (Div.	underscore On the contrary,underscore Dionysius says (d i v.	false	508.44	512.64	19.66172
3009_10327_000025_000001	Nom. iv): "The first creatures are understood to be as immaterial as they are incorporeal."	Nom. i v): "The first creatures are understood to be as immaterial as they are incorporeal."	false	512.64	519.42	23.628098
3009_10327_000026_000000	_I answer that,_ Some assert that the angels are composed of matter and form; which opinion Avicebron endeavored to establish in his book of the _Fount of Life._ For he supposes that whatever things are distinguished by the intellect are really distinct.	underscore I answer that,underscore Some assert that the angels are composed of matter and form; which opinion Avicebron endeavored to establish in his book of the underscore Fount of Life.underscore For he supposes that whatever things are distinguished by the intellect are really distinct.	false	519.42	539.89	22.449581
3009_10327_000026_000001	Now as regards incorporeal substance, the intellect apprehends that which distinguishes it from corporeal substance, and that which it has in common with it.	Now as regards incorporeal substance, the intellect apprehends that which distinguishes it from corporeal substance, and that which it has in common with it.	true	539.96	550.45	24.277689
3009_10327_000026_000002	Hence he concludes that what distinguishes incorporeal from corporeal substance is a kind of form to it, and whatever is subject to this distinguishing form, as it were something common, is its matter.	Hence he concludes that what distinguishes incorporeal from corporeal substance is a kind of form to it, and whatever is subject to this distinguishing form, as it were something common, is its matter.	true	550.91	564.67	21.949106
3009_10327_000026_000003	Therefore, he asserts the universal matter of spiritual and corporeal things is the same; so that it must be understood that the form of incorporeal substance is impressed in the matter of spiritual things, in the same way as the form of quantity is impressed in the matter of corporeal things.	Therefore, he asserts the universal matter of spiritual and corporeal things is the same; so that it must be understood that the form of incorporeal substance is impressed in the matter of spiritual things, in the same way as the form of quantity is impressed in the matter of corporeal things.	true	565.55	584.98	20.655865
3009_10327_000027_000000	But one glance is enough to show that there cannot be one matter of spiritual and of corporeal things.	But one glance is enough to show that there cannot be one matter of spiritual and of corporeal things.	true	585.2	593.7	26.655336
3009_10327_000027_000001	For it is not possible that a spiritual and a corporeal form should be received into the same part of matter, otherwise one and the same thing would be corporeal and spiritual.	For it is not possible that a spiritual and a corporeal form should be received into the same part of matter, otherwise one and the same thing would be corporeal and spiritual.	true	593.7	606.43	24.439949
3009_10327_000027_000002	Hence it would follow that one part of matter receives the corporeal form, and another receives the spiritual form.	Hence it would follow that one part of matter receives the corporeal form, and another receives the spiritual form.	true	606.71	614.35	21.060526
3009_10327_000027_000003	Matter, however, is not divisible into parts except as regarded under quantity; and without quantity substance is indivisible, as Aristotle says (Phys. i, text 15).	Matter, however, is not divisible into parts except as regarded under quantity; and without quantity substance is indivisible, as Aristotle says (Phys. i, text fifteen).	false	614.81	627	24.72571
3009_10327_000027_000004	Therefore it would follow that the matter of spiritual things is subject to quantity; which cannot be.	Therefore it would follow that the matter of spiritual things is subject to quantity; which cannot be.	true	627	633.94	25.00775
3009_10327_000027_000005	Therefore it is impossible that corporeal and spiritual things should have the same matter.	Therefore it is impossible that corporeal and spiritual things should have the same matter.	true	634.28	640.93	23.23078
3009_10327_000028_000000	It is, further, impossible for an intellectual substance to have any kind of matter.	It is, further, impossible for an intellectual substance to have any kind of matter.	true	641.36	647.83	23.389277
3009_10327_000028_000001	For the operation belonging to anything is according to the mode of its substance.	For the operation belonging to anything is according to the mode of its substance.	true	648.08	653.8	24.224913
3009_10327_000028_000002	Now to understand is an altogether immaterial operation, as appears from its object, whence any act receives its species and nature.	Now to understand is an altogether immaterial operation, as appears from its object, whence any act receives its species and nature.	true	654.02	664.96	25.064337
3009_10327_000028_000003	For a thing is understood according to its degree of immateriality; because forms that exist in matter are individual forms which the intellect cannot apprehend as such.	For a thing is understood according to its degree of immateriality; because forms that exist in matter are individual forms which the intellect cannot apprehend as such.	true	665.48	678.04	22.381039
3009_10327_000028_000004	Hence it must be that every individual substance is altogether immaterial.	Hence it must be that every individual substance is altogether immaterial.	true	678.26	684.4	25.598932
3009_10327_000029_000000	But things distinguished by the intellect are not necessarily distinguished in reality; because the intellect does not apprehend things according to their mode, but according to its own mode.	But things distinguished by the intellect are not necessarily distinguished in reality; because the intellect does not apprehend things according to their mode, but according to its own mode.	true	685.04	698.02	25.842579
3009_10327_000029_000001	Hence material things which are below our intellect exist in our intellect in a simpler mode than they exist in themselves.	Hence material things which are below our intellect exist in our intellect in a simpler mode than they exist in themselves.	true	698.15	707.08	22.279007
3009_10327_000029_000002	Angelic substances, on the other hand, are above our intellect; and hence our intellect cannot attain to apprehend them, as they are in themselves, but by its own mode, according as it apprehends composite things; and in this way also it apprehends God (Q. 3).	Angelic substances, on the other hand, are above our intellect; and hence our intellect cannot attain to apprehend them, as they are in themselves, but by its own mode, according as it apprehends composite things; and in this way also it apprehends God (Q. three).	false	707.24	728.58	24.195295
3009_10327_000030_000000	Reply Obj. 1: It is difference which constitutes the species.	Reply o b j. one: It is difference which constitutes the species.	false	728.58	735.1	22.071651
3009_10327_000030_000001	Now everything is constituted in a species according as it is determined to some special grade of being because "the species of things are like numbers," which differ by addition and subtraction of unity, as the Philosopher says (Metaph. viii, text 10).	Now everything is constituted in a species according as it is determined to some special grade of being because "the species of things are like numbers," which differ by addition and subtraction of unity, as the Philosopher says (Metaph. viii, text ten).	false	735.26	752.25	22.690464
3009_10327_000030_000002	But in material things there is one thing which determines to a special grade, and that is the form; and another thing which is determined, and this is the matter; and hence from the latter the genus is derived, and from the former the "difference." Whereas in immaterial things there is no separate determinator and thing determined; each thing by its own self holds a determinate grade in being; and therefore in them genus and "difference" are not derived from different things, but from one and the same.	But in material things there is one thing which determines to a special grade, and that is the form; and another thing which is determined, and this is the matter; and hence from the latter the genus is derived, and from the former the "difference." Whereas in immaterial things there is no separate determinator and thing determined; each thing by its own self holds a determinate grade in being; and therefore in them genus and "difference" are not derived from different things, but from one and the same.	true	752.25	790.21	22.841389
3009_10327_000030_000003	Nevertheless, this differs in our mode of conception; for, inasmuch as our intellect considers it as indeterminate, it derives the idea of their genus; and inasmuch as it considers it determinately, it derives the idea of their "difference."	Nevertheless, this differs in our mode of conception; for, inasmuch as our intellect considers it as indeterminate, it derives the idea of their genus; and inasmuch as it considers it determinately, it derives the idea of their "difference."	true	790.67	807.82	23.790325
3009_10327_000031_000000	Reply Obj. 2: This reason is given in the book on the _Fount of Life,_ and it would be cogent, supposing that the receptive mode of the intellect and of matter were the same.	Reply o b j. two: This reason is given in the book on the underscore Fount of Life,underscore and it would be cogent, supposing that the receptive mode of the intellect and of matter were the same.	false	808.79	823.06	23.195652
3009_10327_000031_000001	But this is clearly false. For matter receives the form, that thereby it may be constituted in some species, either of air, or of fire, or of something else.	But this is clearly false. For matter receives the form, that thereby it may be constituted in some species, either of air, or of fire, or of something else.	true	823.31	835.99	22.916147
3009_10327_000031_000002	But the intellect does not receive the form in the same way; otherwise the opinion of Empedocles (De Anima i, 5, text 26) would be true, to the effect that we know earth by earth, and fire by fire.	But the intellect does not receive the form in the same way; otherwise the opinion of Empedocles (De Anima i, five, text twenty six) would be true, to the effect that we know earth by earth, and fire by fire.	false	836.24	848.53	23.348726
3009_10327_000031_000003	But the intelligible form is in the intellect according to the very nature of a form; for as such is it so known by the intellect.	But the intelligible form is in the intellect according to the very nature of a form; for as such is it so known by the intellect.	false	848.87	858.96	20.427088
3009_10327_000031_000004	Hence such a way of receiving is not that of matter, but of an immaterial substance.	Hence such a way of receiving is not that of matter, but of an immaterial substance.	false	858.96	865.8	22.497282
3009_10327_000032_000000	Reply Obj. 3: Although there is no composition of matter and form in an angel, yet there is act and potentiality.	Reply o b j. three: Although there is no composition of matter and form in an angel, yet there is act and potentiality.	false	865.8	877.69	23.60808
3009_10327_000032_000001	And this can be made evident if we consider the nature of material things which contain a twofold composition.	And this can be made evident if we consider the nature of material things which contain a twofold composition.	true	878.09	886.33	26.512222
3009_10327_000032_000002	The first is that of form and matter, whereby the nature is constituted.	The first is that of form and matter, whereby the nature is constituted.	true	886.67	892.09	23.34399
3009_10327_000032_000003	Such a composite nature is not its own existence but existence is its act.	Such a composite nature is not its own existence but existence is its act.	true	892.1	898.81	27.06847
3009_10327_000032_000004	Hence the nature itself is related to its own existence as potentiality to act.	Hence the nature itself is related to its own existence as potentiality to act.	true	898.91	905.53	27.561413
3009_10327_000032_000005	Therefore if there be no matter, and supposing that the form itself subsists without matter, there nevertheless still remains the relation of the form to its very existence, as of potentiality to act.	Therefore if there be no matter, and supposing that the form itself subsists without matter, there nevertheless still remains the relation of the form to its very existence, as of potentiality to act.	false	905.66	921.94	22.421764
3009_10327_000032_000006	And such a kind of composition is understood to be in the angels; and this is what some say, that an angel is composed of, "whereby he is," and "what is," or "existence," and "what is," as Boethius says.	And such a kind of composition is understood to be in the angels; and this is what some say, that an angel is composed of, "whereby he is," and "what is," or "existence," and "what is," as Boethius says.	true	922.04	939.4	21.369947
3009_10327_000032_000007	For "what is," is the form itself subsisting; and the existence itself is whereby the substance is; as the running is whereby the runner runs. But in God "existence" and "what is" are not different as was explained above (Q. 3, A. 4).	For "what is," is the form itself subsisting; and the existence itself is whereby the substance is; as the running is whereby the runner runs. But in God "existence" and "what is" are not different as was explained above (Q. three, a four).	false	939.71	960.39	20.854332
3009_10327_000032_000008	Hence God alone is pure act.	Hence God alone is pure act.	false	960.39	964.71	17.719599
3009_10327_000033_000000	Reply Obj. 4: Every creature is simply finite, inasmuch as its existence is not absolutely subsisting, but is limited to some nature to which it belongs.	Reply o b j. four: Every creature is simply finite, inasmuch as its existence is not absolutely subsisting, but is limited to some nature to which it belongs.	false	964.71	978.67	24.446201
3009_10327_000033_000001	But there is nothing against a creature being considered relatively infinite.	But there is nothing against a creature being considered relatively infinite.	true	979.13	983.8	24.35392
3009_10327_000033_000002	Material creatures are infinite on the part of matter, but finite in their form, which is limited by the matter which receives it.	Material creatures are infinite on the part of matter, but finite in their form, which is limited by the matter which receives it.	true	983.96	992.14	26.201809
3009_10327_000033_000003	But immaterial created substances are finite in their being; whereas they are infinite in the sense that their forms are not received in anything else; as if we were to say, for example, that whiteness existing separate is infinite as regards the nature of whiteness, forasmuch as it is not contracted to any one subject; while its "being" is finite as determined to some one special nature.	But immaterial created substances are finite in their being; whereas they are infinite in the sense that their forms are not received in anything else; as if we were to say, for example, that whiteness existing separate is infinite as regards the nature of whiteness, forasmuch as it is not contracted to any one subject; while its "being" is finite as determined to some one special nature.	true	992.72	1021.93	23.647696
3009_10327_000034_000000	Whence it is said (De Causis, prop. 16) that "intelligence is finite from above," as receiving its being from above itself, and is "infinite from below," as not received in any matter. _______________________	Whence it is said (De Causis, prop. sixteen) that "intelligence is finite from above," as receiving its being from above itself, and is "infinite from below," as not received in any matter. , blank ,	false	1022.66	1037.49	21.603191
3009_10327_000035_000000	THIRD ARTICLE [I, Q. 50, Art. 3]	THIRD ARTICLE [I, q fifty, Art. three]	false	1037.49	1038.84	27.50689
3009_10327_000036_000000	Whether the Angels Exist in Any Great Number?	Whether the Angels Exist in Any Great Number?	true	1038.84	1042.06	22.787493
3009_10327_000037_000000	Objection 1: It would seem that the angels are not in great numbers. For number is a species of quantity, and follows the division of a continuous body.	Objection one: It would seem that the angels are not in great numbers. For number is a species of quantity, and follows the division of a continuous body.	true	1042.58	1054.36	23.176327
3009_10327_000037_000001	But this cannot be in the angels, since they are incorporeal, as was shown above (A. 1).	But this cannot be in the angels, since they are incorporeal, as was shown above (A. one).	false	1054.58	1060.11	25.861357
3009_10327_000037_000002	Therefore the angels cannot exist in any great number.	Therefore the angels cannot exist in any great number.	true	1060.11	1063.71	20
3009_10327_000038_000000	Obj. 2: Further, the more a thing approaches to unity, so much the less is it multiplied, as is evident in numbers.	o b j. two: Further, the more a thing approaches to unity, so much the less is it multiplied, as is evident in numbers.	false	1063.71	1072.93	24.96886
3009_10327_000038_000001	But among other created natures the angelic nature approaches nearest to God. Therefore since God is supremely one, it seems that there is the least possible number in the angelic nature.	But among other created natures the angelic nature approaches nearest to God. Therefore since God is supremely one, it seems that there is the least possible number in the angelic nature.	true	1073.06	1086.75	24.27141
3009_10327_000039_000000	Obj. 3: Further, the proper effect of the separate substances seems to be the movements of the heavenly bodies.	o b j. three: Further, the proper effect of the separate substances seems to be the movements of the heavenly bodies.	false	1086.75	1095.85	24.72158
3009_10327_000039_000001	But the movements of the heavenly bodies fall within some small determined number, which we can apprehend.	But the movements of the heavenly bodies fall within some small determined number, which we can apprehend.	true	1095.98	1103.14	21
3009_10327_000039_000002	Therefore the angels are not in greater number than the movements of the heavenly bodies.	Therefore the angels are not in greater number than the movements of the heavenly bodies.	true	1103.21	1109.19	21.517294
3009_10327_000040_000000	Obj. 4: Dionysius says (Div.	o b j. four: Dionysius says (d i v.	false	1109.19	1112.79	17.061573
3009_10327_000040_000001	Nom. iv) that "all intelligible and intellectual substances subsist because of the rays of the divine goodness." But a ray is only multiplied according to the different things that receive it.	Nom. i v) that "all intelligible and intellectual substances subsist because of the rays of the divine goodness." But a ray is only multiplied according to the different things that receive it.	false	1112.79	1126.45	24.300034
3009_10327_000040_000002	Now it cannot be said that their matter is receptive of an intelligible ray, since intellectual substances are immaterial, as was shown above (A. 2).	Now it cannot be said that their matter is receptive of an intelligible ray, since intellectual substances are immaterial, as was shown above (A. two).	false	1126.61	1136.7	24.247606
3009_10327_000040_000003	Therefore it seems that the multiplication of intellectual substances can only be according to the requirements of the first bodies--that is, of the heavenly ones, so that in some way the shedding form of the aforesaid rays may be terminated in them; and hence the same conclusion is to be drawn as before.	Therefore it seems that the multiplication of intellectual substances can only be according to the requirements of the first bodies-that is, of the heavenly ones, so that in some way the shedding form of the aforesaid rays may be terminated in them; and hence the same conclusion is to be drawn as before.	true	1136.7	1158.15	24.37927
3009_10327_000041_000000	_On the contrary,_ It is said (Dan. 7:10): "Thousands of thousands ministered to Him, and ten thousands times a hundred thousand stood before Him."	underscore On the contrary,underscore It is said (Dan. seven ten): "Thousands of thousands ministered to Him, and ten thousands times a hundred thousand stood before Him."	false	1158.15	1171.83	20.919495
3009_10327_000042_000000	_I answer that,_ There have been various opinions with regard to the number of the separate substances.	underscore I answer that,underscore There have been various opinions with regard to the number of the separate substances.	false	1171.83	1180.9	20.82511
3009_10327_000042_000001	Plato contended that the separate substances are the species of sensible things; as if we were to maintain that human nature is a separate substance of itself: and according to this view it would have to be maintained that the number of the separate substances is the number of the species of sensible things.	Plato contended that the separate substances are the species of sensible things; as if we were to maintain that human nature is a separate substance of itself: and according to this view it would have to be maintained that the number of the separate substances is the number of the species of sensible things.	true	1180.9	1201.6	23.536373
3009_10327_000042_000002	Aristotle, however, rejects this view (Metaph. i, text 31) because matter is of the very nature of the species of sensible things.	Aristotle, however, rejects this view (Metaph. i, text thirty one) because matter is of the very nature of the species of sensible things.	false	1201.97	1210.66	22.60485
3009_10327_000042_000003	Consequently the separate substances cannot be the exemplar species of these sensible things; but have their own fixed natures, which are higher than the natures of sensible things.	Consequently the separate substances cannot be the exemplar species of these sensible things; but have their own fixed natures, which are higher than the natures of sensible things.	true	1210.66	1223.38	23.778646
3009_10327_000042_000004	Nevertheless Aristotle held (Metaph.	Nevertheless Aristotle held (Metaph.	false	1223.6	1225.92	21.683409
3009_10327_000042_000005	xi, text 43) that those more perfect natures bear relation to these sensible things, as that of mover and end; and therefore he strove to find out the number of the separate substances according to the number of the first movements.	xi, text forty three) that those more perfect natures bear relation to these sensible things, as that of mover and end; and therefore he strove to find out the number of the separate substances according to the number of the first movements.	false	1225.92	1241.8	24.278906
3009_10327_000043_000000	But since this appears to militate against the teachings of Sacred Scripture, Rabbi Moses the Jew, wishing to bring both into harmony, held that the angels, in so far as they are styled immaterial substances, are multiplied according to the number of heavenly movements or bodies, as Aristotle held (Metaph. xi, text 43); while he contended that in the Scriptures even men bearing a divine message are styled angels; and again, even the powers of natural things, which manifest God's almighty power.	But since this appears to militate against the teachings of Sacred Scripture, Rabbi Moses the Jew, wishing to bring both into harmony, held that the angels, in so far as they are styled immaterial substances, are multiplied according to the number of heavenly movements or bodies, as Aristotle held (Metaph. xi, text forty three); while he contended that in the Scriptures even men bearing a divine message are styled angels; and again, even the powers of natural things, which manifest God's almighty power.	false	1242.29	1277.2	23.965784
3009_10327_000043_000001	It is, however, quite foreign to the custom of the Scriptures for the powers of irrational things to be designated as angels.	It is, however, quite foreign to the custom of the Scriptures for the powers of irrational things to be designated as angels.	true	1277.69	1286.86	22.454607
3009_10327_000044_000000	Hence it must be said that the angels, even inasmuch as they are immaterial substances, exist in exceeding great number, far beyond all material multitude.	Hence it must be said that the angels, even inasmuch as they are immaterial substances, exist in exceeding great number, far beyond all material multitude.	true	1286.93	1302.7	22.185648
3009_10327_000044_000001	This is what Dionysius says (Coel.	This is what Dionysius says (Coel.	false	1303.46	1306.2	20.058023
3009_10327_000044_000002	Hier. xiv): "There are many blessed armies of the heavenly intelligences, surpassing the weak and limited reckoning of our material numbers." The reason whereof is this, because, since it is the perfection of the universe that God chiefly intends in the creation of things, the more perfect some things are, in so much greater an excess are they created by God.	Hier. x i v): "There are many blessed armies of the heavenly intelligences, surpassing the weak and limited reckoning of our material numbers." The reason whereof is this, because, since it is the perfection of the universe that God chiefly intends in the creation of things, the more perfect some things are, in so much greater an excess are they created by God.	false	1306.2	1334.68	22.012424
