8573_286306_000001_000000	CHAPTER XVIII: CANNAE	CHAPTER eighteen: CANNAE
8573_286306_000022_000000	"I think we are followed, my lord," he said, "one of Hanno's spies in Manon's household is no doubt seeking to discover who are the Arabs who have paid his master a visit.	"I think we are followed, my lord," he said, "one of Hanno's spies in Manon's household is no doubt seeking to discover who are the Arabs who have paid his master a visit.
8573_286306_000022_000002	When we get to the next turning do you walk on and I will turn down the road.	When we get to the next turning do you walk on and I will turn down the road.
8573_286306_000022_000003	If the man behind us be honest he will go straight on; if he be a spy, he will hesitate and stop at the corner to decide which of us he shall follow; then I shall know what to do."	If the man behind us be honest he will go straight on; if he be a spy, he will hesitate and stop at the corner to decide which of us he shall follow; then I shall know what to do."
8573_286306_000023_000000	Accordingly at the next crossroad they came to Nessus turned down and concealed himself a few paces away, while Malchus, without pausing, walked straight on.	Accordingly at the next crossroad they came to Nessus turned down and concealed himself a few paces away, while Malchus, without pausing, walked straight on.
8573_286306_000023_000001	A minute later Nessus saw a dark figure come stealthily along.	A minute later Nessus saw a dark figure come stealthily along.
8573_286306_000023_000002	He stopped at the junction of the roads and stood for a few seconds in hesitation, then he followed Malchus.	He stopped at the junction of the roads and stood for a few seconds in hesitation, then he followed Malchus.
8573_286306_000024_000000	Nessus issued from his hiding place, and, with steps as silent and stealthy as those of a tiger tracking his prey, followed the man.	Nessus issued from his hiding place, and, with steps as silent and stealthy as those of a tiger tracking his prey, followed the man.
8573_286306_000024_000001	When within a few paces of him he gave a sudden spring and flung himself upon him, burying his knife between his shoulders.	When within a few paces of him he gave a sudden spring and flung himself upon him, burying his knife between his shoulders.
8573_286306_000024_000003	Nessus coolly wiped his knife upon the garments of the spy, and then proceeded at a rapid pace until he overtook Malchus.	Nessus coolly wiped his knife upon the garments of the spy, and then proceeded at a rapid pace until he overtook Malchus.
8573_286306_000028_000000	After bidding farewell to the old noble, Malchus returned to the house of the Arab and prepared for his departure.	After bidding farewell to the old noble, Malchus returned to the house of the Arab and prepared for his departure.
8573_286306_000028_000002	In the course of the day he had provided himself with the garments of a trader, the character which he was now about to assume.	In the course of the day he had provided himself with the garments of a trader, the character which he was now about to assume.
8573_286306_000030_000001	On the sixth day after leaving Carthage the ship entered the port of Corinth.	On the sixth day after leaving Carthage the ship entered the port of Corinth.
8573_286306_000032_000001	We are ready, of course, to pay extra for the trouble."	We are ready, of course, to pay extra for the trouble."
8573_286306_000033_000003	He asked rather a high price for putting them ashore in a boat as they wished, and Malchus haggled over the sum for a considerable time, as a readiness to pay an exorbitant price might have given rise to doubts in the captain's mind as to the quality of his passengers.	He asked rather a high price for putting them ashore in a boat as they wished, and Malchus haggled over the sum for a considerable time, as a readiness to pay an exorbitant price might have given rise to doubts in the captain's mind as to the quality of his passengers.
8573_286306_000033_000004	Once or twice he made as if he would go ashore, and the captain at last abated his demands to a reasonable sum.	Once or twice he made as if he would go ashore, and the captain at last abated his demands to a reasonable sum.
8573_286306_000035_000002	The Roman army was as before watching him at a short distance off.	The Roman army was as before watching him at a short distance off.
8573_286306_000036_000000	Malchus at once sought the tent of the general, whose surprise at seeing him enter was great, for he had not expected that he would return until the spring.	Malchus at once sought the tent of the general, whose surprise at seeing him enter was great, for he had not expected that he would return until the spring.
8573_286306_000037_000001	He and his friends will doubtless work quietly to prepare the public mind, and I trust that ere very long some decisive victory will give them the opportunity for exciting a great demonstration on our behalf."	He and his friends will doubtless work quietly to prepare the public mind, and I trust that ere very long some decisive victory will give them the opportunity for exciting a great demonstration on our behalf."
8573_286306_000039_000000	From first to last, through the long war, there was neither grumbling, nor discontent, nor insubordination among the troops.	From first to last, through the long war, there was neither grumbling, nor discontent, nor insubordination among the troops.
8573_286306_000039_000001	They served willingly and cheerfully.	They served willingly and cheerfully.
8573_286306_000039_000002	They had absolute confidence in their general, and were willing to undertake the most tremendous labours and to engage in the most arduous conflicts to please him, knowing that he, on his part, was unwearied in promoting their comfort and well being at all other times.	They had absolute confidence in their general, and were willing to undertake the most tremendous labours and to engage in the most arduous conflicts to please him, knowing that he, on his part, was unwearied in promoting their comfort and well being at all other times.
8573_286306_000040_000000	As the spring advanced the great magazines which Hannibal had brought with him became nearly exhausted, and no provisions could be obtained from the surrounding country, which had been completely ruined by the long presence of the two armies.	As the spring advanced the great magazines which Hannibal had brought with him became nearly exhausted, and no provisions could be obtained from the surrounding country, which had been completely ruined by the long presence of the two armies.
8573_286306_000040_000002	The Romans possessed the great advantage over him of having magazines in their rear constantly replenished by their allies, and move where they might, they were sure of obtaining subsistence without difficulty.	The romans possessed the great advantage over him of having magazines in their rear constantly replenished by their allies, and move where they might, they were sure of obtaining subsistence without difficulty.
8573_286306_000040_000003	Thus, upon the march, they were unembarrassed by the necessity of taking a great baggage train with them, and, when halted, their general could keep his army together in readiness to strike a blow whenever an opportunity offered; while Hannibal, on the other hand, was forced to scatter a considerable portion of the army in search of provisions.	Thus, upon the march, they were unembarrassed by the necessity of taking a great baggage train with them, and, when halted, their general could keep his army together in readiness to strike a blow whenever an opportunity offered; while Hannibal, on the other hand, was forced to scatter a considerable portion of the army in search of provisions.
8573_286306_000041_000000	The annual elections at Rome had just taken place, and Terentius Varro and Emilius Paulus had been chosen consuls.	The annual elections at Rome had just taken place, and Terentius Varro and Emilius Paulus had been chosen consuls.
8573_286306_000041_000002	Varro belonged to the popular party, and is described by the historians of the period as a coarse and brutal demagogue, the son of a butcher, and having himself been a butcher.	Varro belonged to the popular party, and is described by the historians of the period as a coarse and brutal demagogue, the son of a butcher, and having himself been a butcher.
8573_286306_000041_000003	But he was unquestionably an able man, and possessed some great qualities.	But he was unquestionably an able man, and possessed some great qualities.
8573_286306_000041_000004	The praetor Marcellus, who had slain a Gaulish king with his own hand in the last Gaulish war, was at Ostia with a legion.	The praetor Marcellus, who had slain a Gaulish king with his own hand in the last Gaulish war, was at Ostia with a legion.
8573_286306_000044_000000	Hannibal saw the opportunity, and when spring was passing into summer broke up his camp and marched straight to Cannae, where the vast magazines of the Romans at once fell into his hands.	Hannibal saw the opportunity, and when spring was passing into summer broke up his camp and marched straight to Cannae, where the vast magazines of the romans at once fell into his hands.
8573_286306_000044_000001	He thus not only obtained possession of his enemy's supplies, but interposed between the Romans and the low lying district of Southern Apulia, where alone, at, this early season of the year, the corn was fully ripe.	He thus not only obtained possession of his enemy's supplies, but interposed between the romans and the low lying district of Southern Apulia, where alone, at, this early season of the year, the corn was fully ripe.
8573_286306_000045_000001	The senate therefore, having largely reinforced the army, ordered the consuls to advance and give battle.	The senate therefore, having largely reinforced the army, ordered the consuls to advance and give battle.
8573_286306_000046_000004	Varro wished to march against the enemy without delay, while Emilius was adverse to risking an engagement in a country which, being level and open, was favourable to the action of Hannibal's superior cavalry.	Varro wished to march against the enemy without delay, while Emilius was adverse to risking an engagement in a country which, being level and open, was favourable to the action of Hannibal's superior cavalry.
8573_286306_000047_000000	On the following day Varro, whose turn it was to command, marched towards the hostile camp.	On the following day Varro, whose turn it was to command, marched towards the hostile camp.
8573_286306_000047_000001	Hannibal attacked the Roman advanced guard with his cavalry and light infantry, but Varro had supported his cavalry not only by his light troops, but by a strong body of his heavy armed infantry, and after an engagement, which lasted for several hours, he repulsed the Carthaginians with considerable loss.	Hannibal attacked the Roman advanced guard with his cavalry and light infantry, but Varro had supported his cavalry not only by his light troops, but by a strong body of his heavy armed infantry, and after an engagement, which lasted for several hours, he repulsed the Carthaginians with considerable loss.
8573_286306_000048_000001	The next morning Emilius, who was in command, detached a third of his force across the river, and encamped them there for the purpose of supporting the Roman foraging parties on that side and of interrupting those of the Carthaginians.	The next morning Emilius, who was in command, detached a third of his force across the river, and encamped them there for the purpose of supporting the Roman foraging parties on that side and of interrupting those of the Carthaginians.
8573_286306_000049_000000	The next day passed quietly, but on the following morning Hannibal quitted his camp and formed his army in order of battle to tempt the Romans to attack; but Emilius, sensible that the ground was against him, would not move, but contented himself with further strengthening his camps.	The next day passed quietly, but on the following morning Hannibal quitted his camp and formed his army in order of battle to tempt the romans to attack; but Emilius, sensible that the ground was against him, would not move, but contented himself with further strengthening his camps.
8573_286306_000049_000001	Hannibal, seeing that the Romans would not fight, detached his Numidian cavalry across the river to cut off the Roman foraging parties and to surround and harass their smaller camp on that side of the river.	Hannibal, seeing that the romans would not fight, detached his Numidian cavalry across the river to cut off the Roman foraging parties and to surround and harass their smaller camp on that side of the river.
8573_286306_000050_000000	By thus doing he obtained a position which he could the better hold with his inferior forces, while the Romans, deeming that he intended to attack their camp on that side of the river, would be likely to move their whole army across and to give battle.	By thus doing he obtained a position which he could the better hold with his inferior forces, while the romans, deeming that he intended to attack their camp on that side of the river, would be likely to move their whole army across and to give battle.
8573_286306_000050_000001	This in fact Varro proceeded to do.	This in fact Varro proceeded to do.
8573_286306_000051_000000	This had been skillfully chosen.	This had been skillfully chosen.
8573_286306_000051_000001	The river, whose general course was east and west, made a loop, and across this Hannibal had drawn up his army with both wings resting upon the river.	The river, whose general course was east and west, made a loop, and across this Hannibal had drawn up his army with both wings resting upon the river.
8573_286306_000051_000002	Thus the Romans could not outflank him, and the effect of their vastly superior numbers in infantry would to some extent be neutralized.	Thus the romans could not outflank him, and the effect of their vastly superior numbers in infantry would to some extent be neutralized.
8573_286306_000051_000003	The following was the disposition of his troops.	The following was the disposition of his troops.
8573_286306_000052_000000	The Spaniards and Gauls occupied the centre of the line of infantry.	The Spaniards and Gauls occupied the centre of the line of infantry.
8573_286306_000052_000001	The Africans formed the two wings.	The Africans formed the two wings.
8573_286306_000053_000000	Varro placed his infantry in close and heavy order, so as to reduce their front to that of the Carthaginians.	Varro placed his infantry in close and heavy order, so as to reduce their front to that of the Carthaginians.
8573_286306_000053_000001	The Roman cavalry, numbering two thousand four hundred men, was on his right wing, and was thus opposed to Hannibal's heavy cavalry, eight thousand strong.	The Roman cavalry, numbering two thousand four hundred men, was on his right wing, and was thus opposed to Hannibal's heavy cavalry, eight thousand strong.
8573_286306_000054_000000	Emilius commanded the Roman right, Varro the left.	Emilius commanded the Roman right, Varro the left.
8573_286306_000054_000003	While this contest was going on, Hannibal advanced his centre so as to form a salient angle projecting in front of his line.	While this contest was going on, Hannibal advanced his centre so as to form a salient angle projecting in front of his line.
8573_286306_000055_000000	The latter were instantly overthrown, and were driven from the field with great slaughter.	The latter were instantly overthrown, and were driven from the field with great slaughter.
8573_286306_000055_000002	While the Carthaginian heavy horse were thus defeating the Roman cavalry, the Numidians maneuvered near the greatly superior cavalry of the Italian allies, and kept them occupied until the heavy horse, after destroying the Roman cavalry, swept round behind their infantry and fell upon the rear of the Italian horse, while the Numidians charged them fiercely in front.	While the Carthaginian heavy horse were thus defeating the Roman cavalry, the Numidians maneuvered near the greatly superior cavalry of the Italian allies, and kept them occupied until the heavy horse, after destroying the Roman cavalry, swept round behind their infantry and fell upon the rear of the Italian horse, while the Numidians charged them fiercely in front.
8573_286306_000056_000000	Thus caught in a trap the Italian horse were completely annihilated, and so, before the heavy infantry of the two armies met each other, not a Roman cavalry soldier remained alive and unwounded on the field.	Thus caught in a trap the Italian horse were completely annihilated, and so, before the heavy infantry of the two armies met each other, not a Roman cavalry soldier remained alive and unwounded on the field.
8573_286306_000057_000001	These resisted with great obstinacy.	These resisted with great obstinacy.
8573_286306_000057_000002	The principes, who formed the second line of the Roman infantry, came forward and joined the spearmen, and even the triarii pressed forward and joined in the fight.	The principes, who formed the second line of the Roman infantry, came forward and joined the spearmen, and even the triarii pressed forward and joined in the fight.
8573_286306_000057_000003	Fighting with extreme obstinacy the Carthaginian centre was forced gradually back until they were again in a line with the Africans on their flanks.	Fighting with extreme obstinacy the Carthaginian centre was forced gradually back until they were again in a line with the Africans on their flanks.
8573_286306_000058_000002	This was the moment for which Hannibal had waited.	This was the moment for which Hannibal had waited.
8573_286306_000058_000003	He wheeled round both his flanks, and the Africans, who had hitherto not struck a blow, now fell in perfect order upon the flanks of the Roman mass, while Hasdrubal with his victorious cavalry charged down like a torrent upon their rear.	He wheeled round both his flanks, and the Africans, who had hitherto not struck a blow, now fell in perfect order upon the flanks of the Roman mass, while Hasdrubal with his victorious cavalry charged down like a torrent upon their rear.
8573_286306_000058_000004	Then followed a slaughter unequalled in the records of history.	Then followed a slaughter unequalled in the records of history.
8573_286306_000058_000005	Unable to open out, to fight, or to fly, with no quarter asked or given, the Romans and their Latin allies fell before the swords of their enemies, till, of the seventy thousand infantry which had advanced to the fight, forty thousand had fallen on the field.	Unable to open out, to fight, or to fly, with no quarter asked or given, the romans and their Latin allies fell before the swords of their enemies, till, of the seventy thousand infantry which had advanced to the fight, forty thousand had fallen on the field.
8573_286306_000058_000007	All the troops in both camps were forced to surrender on the following morning, and thus only fifteen thousand scattered fugitives escaped of the eighty-seven thousand two hundred infantry and cavalry under the command of the Roman consuls.	All the troops in both camps were forced to surrender on the following morning, and thus only fifteen thousand scattered fugitives escaped of the eighty seven thousand two hundred infantry and cavalry under the command of the Roman consuls.
