192_128345_000009_000000	XII. Darkness	twelve. Darkness
192_128345_000062_000001	He sank into the chair, and brooded over the embers, and shed tears.	He sank into the chair, and brooded over the embers, and shed tears.
192_128345_000062_000002	As if all that had happened since the garret time were a momentary fancy, or a dream, Mr. Lorry saw him shrink into the exact figure that Defarge had had in keeping.	As if all that had happened since the garret time were a momentary fancy, or a dream, mr Lorry saw him shrink into the exact figure that Defarge had had in keeping.
192_128345_000063_000000	Affected, and impressed with terror as they both were, by this spectacle of ruin, it was not a time to yield to such emotions.	Affected, and impressed with terror as they both were, by this spectacle of ruin, it was not a time to yield to such emotions.
192_128345_000063_000001	His lonely daughter, bereft of her final hope and reliance, appealed to them both too strongly.	His lonely daughter, bereft of her final hope and reliance, appealed to them both too strongly.
192_128345_000063_000002	Again, as if by agreement, they looked at one another with one meaning in their faces.	Again, as if by agreement, they looked at one another with one meaning in their faces.
192_128345_000063_000003	Carton was the first to speak:	Carton was the first to speak:
192_128345_000064_000000	"The last chance is gone: it was not much.	"The last chance is gone: it was not much.
192_128345_000064_000001	Yes; he had better be taken to her.	Yes; he had better be taken to her.
192_128345_000064_000002	But, before you go, will you, for a moment, steadily attend to me?	But, before you go, will you, for a moment, steadily attend to me?
192_128345_000065_000000	"I do not doubt it," answered Mr. Lorry.	"I do not doubt it," answered mr Lorry.
192_128345_000065_000001	"Say on."	"Say on."
192_128345_000067_000000	Carton stooped to pick up the coat, which lay almost entangling his feet.	Carton stooped to pick up the coat, which lay almost entangling his feet.
192_128345_000067_000002	Carton took it up, and there was a folded paper in it.	Carton took it up, and there was a folded paper in it.
192_128345_000067_000003	"We should look at this!" he said.	"We should look at this!" he said.
192_128345_000067_000004	Mr. Lorry nodded his consent.	mr Lorry nodded his consent.
192_128345_000068_000000	"What is it?" asked Mr. Lorry, eagerly.	"What is it?" asked mr Lorry, eagerly.
192_128345_000069_000000	"A moment!	"A moment!
192_128345_000069_000001	Let me speak of it in its place.	Let me speak of it in its place.
192_128345_000069_000002	First," he put his hand in his coat, and took another paper from it, "that is the certificate which enables me to pass out of this city.	First," he put his hand in his coat, and took another paper from it, "that is the certificate which enables me to pass out of this city.
192_128345_000069_000003	Look at it.	Look at it.
192_128345_000069_000004	You see--Sydney Carton, an Englishman?"	You see-Sydney Carton, an Englishman?"
192_128345_000070_000000	Mr. Lorry held it open in his hand, gazing in his earnest face.	mr Lorry held it open in his hand, gazing in his earnest face.
192_128345_000071_000000	"Keep it for me until to-morrow.	"Keep it for me until to morrow.
192_128345_000072_000000	"Why not?"	"Why not?"
192_128345_000073_000000	"I don't know; I prefer not to do so.	"I don't know; I prefer not to do so.
192_128345_000073_000001	Now, take this paper that Doctor Manette has carried about him.	Now, take this paper that Doctor Manette has carried about him.
192_128345_000073_000002	It is a similar certificate, enabling him and his daughter and her child, at any time, to pass the barrier and the frontier!	It is a similar certificate, enabling him and his daughter and her child, at any time, to pass the barrier and the frontier!
192_128345_000073_000003	You see?"	You see?"
192_128345_000074_000000	"Yes!"	"Yes!"
192_128345_000075_000000	"Perhaps he obtained it as his last and utmost precaution against evil, yesterday.	"Perhaps he obtained it as his last and utmost precaution against evil, yesterday.
192_128345_000075_000001	When is it dated?	When is it dated?
192_128345_000075_000002	But no matter; don't stay to look; put it up carefully with mine and your own.	But no matter; don't stay to look; put it up carefully with mine and your own.
192_128345_000075_000005	It is good, until recalled.	It is good, until recalled.
192_128345_000077_000000	"They are in great danger.	"They are in great danger.
192_128345_000077_000002	I know it from her own lips.	I know it from her own lips.
192_128345_000077_000003	I have overheard words of that woman's, to-night, which have presented their danger to me in strong colours.	I have overheard words of that woman's, to night, which have presented their danger to me in strong colours.
192_128345_000077_000005	He confirms me.	He confirms me.
192_128345_000077_000008	Don't look so horrified.	Don't look so horrified.
192_128345_000078_000000	"Heaven grant I may, Carton!	"Heaven grant I may, Carton!
192_128345_000078_000001	But how?"	But how?"
192_128345_000079_000003	You know it is a capital crime, to mourn for, or sympathise with, a victim of the Guillotine.	You know it is a capital crime, to mourn for, or sympathise with, a victim of the Guillotine.
192_128345_000079_000004	She and her father would unquestionably be guilty of this crime, and this woman (the inveteracy of whose pursuit cannot be described) would wait to add that strength to her case, and make herself doubly sure.	She and her father would unquestionably be guilty of this crime, and this woman (the inveteracy of whose pursuit cannot be described) would wait to add that strength to her case, and make herself doubly sure.
192_128345_000079_000005	You follow me?"	You follow me?"
192_128345_000081_000001	Your preparations have been completed for some days, to return to England.	Your preparations have been completed for some days, to return to England.
192_128345_000081_000002	Early to-morrow have your horses ready, so that they may be in starting trim at two o'clock in the afternoon."	Early to morrow have your horses ready, so that they may be in starting trim at two o'clock in the afternoon."
192_128345_000082_000000	"It shall be done!"	"It shall be done!"
192_128345_000083_000000	His manner was so fervent and inspiring, that Mr. Lorry caught the flame, and was as quick as youth.	His manner was so fervent and inspiring, that mr Lorry caught the flame, and was as quick as youth.
192_128345_000084_000000	"You are a noble heart.	"You are a noble heart.
192_128345_000084_000003	"For the sake of her child and her father, press upon her the necessity of leaving Paris, with them and you, at that hour.	"For the sake of her child and her father, press upon her the necessity of leaving Paris, with them and you, at that hour.
192_128345_000084_000004	Tell her that it was her husband's last arrangement.	Tell her that it was her husband's last arrangement.
192_128345_000086_000000	"I thought so.	"I thought so.
192_128345_000086_000001	Quietly and steadily have all these arrangements made in the courtyard here, even to the taking of your own seat in the carriage. The moment I come to you, take me in, and drive away."	Quietly and steadily have all these arrangements made in the courtyard here, even to the taking of your own seat in the carriage. The moment I come to you, take me in, and drive away."
192_128345_000087_000000	"I understand that I wait for you under all circumstances?"	"I understand that I wait for you under all circumstances?"
192_128345_000088_000000	"You have my certificate in your hand with the rest, you know, and will reserve my place.	"You have my certificate in your hand with the rest, you know, and will reserve my place.
192_128345_000088_000001	Wait for nothing but to have my place occupied, and then for England!"	Wait for nothing but to have my place occupied, and then for England!"
192_128345_000089_000000	"Why, then," said Mr. Lorry, grasping his eager but so firm and steady hand, "it does not all depend on one old man, but I shall have a young and ardent man at my side."	"Why, then," said mr Lorry, grasping his eager but so firm and steady hand, "it does not all depend on one old man, but I shall have a young and ardent man at my side."
192_128345_000090_000001	Promise me solemnly that nothing will influence you to alter the course on which we now stand pledged to one another."	Promise me solemnly that nothing will influence you to alter the course on which we now stand pledged to one another."
192_128345_000091_000000	"Nothing, Carton."	"Nothing, Carton."
192_128345_000093_000001	I hope to do my part faithfully."	I hope to do my part faithfully."
192_128345_000094_000000	"And I hope to do mine.	"And I hope to do mine.
192_128345_000094_000001	Now, good bye!"	Now, good bye!"
192_128345_000095_000000	Though he said it with a grave smile of earnestness, and though he even put the old man's hand to his lips, he did not part from him then.	Though he said it with a grave smile of earnestness, and though he even put the old man's hand to his lips, he did not part from him then.
192_128345_000095_000001	He helped him so far to arouse the rocking figure before the dying embers, as to get a cloak and hat put upon it, and to tempt it forth to find where the bench and work were hidden that it still moaningly besought to have.	He helped him so far to arouse the rocking figure before the dying embers, as to get a cloak and hat put upon it, and to tempt it forth to find where the bench and work were hidden that it still moaningly besought to have.
192_128345_000095_000002	He walked on the other side of it and protected it to the courtyard of the house where the afflicted heart--so happy in the memorable time when he had revealed his own desolate heart to it--outwatched the awful night.	He walked on the other side of it and protected it to the courtyard of the house where the afflicted heart-so happy in the memorable time when he had revealed his own desolate heart to it-outwatched the awful night.
192_128345_000095_000003	He entered the courtyard and remained there for a few moments alone, looking up at the light in the window of her room.	He entered the courtyard and remained there for a few moments alone, looking up at the light in the window of her room.
