192_128345_000000_000000	"I have no hope," said Mr. Lorry, in a low and sorrowful whisper.	"I have no hope," said mr Lorry, in a low and sorrowful whisper.	false	0	1.56	19.554867
192_128345_000030_000001	But this Doctor has suffered much; you have seen him to-day; you have observed his face when the paper was read."	But this Doctor has suffered much; you have seen him to day; you have observed his face when the paper was read."	true	296.15	302.68	21.301912
192_128345_000031_000000	"I have observed his face!" repeated madame, contemptuously and angrily. "Yes.	"I have observed his face!" repeated madame, contemptuously and angrily. "Yes.	true	302.9	308.79	19.622553
192_128345_000031_000001	I have observed his face.	I have observed his face.	true	308.79	310.63	15
192_128345_000031_000002	I have observed his face to be not the face of a true friend of the Republic.	I have observed his face to be not the face of a true friend of the Republic.	true	310.7	315.64	21.979912
192_128345_000031_000003	Let him take care of his face!"	Let him take care of his face!"	true	315.65	317.86	22.03543
192_128345_000032_000000	"And you have observed, my wife," said Defarge, in a deprecatory manner, "the anguish of his daughter, which must be a dreadful anguish to him!"	"And you have observed, my wife," said Defarge, in a deprecatory manner, "the anguish of his daughter, which must be a dreadful anguish to him!"	true	318.47	327.67	19.001797
192_128345_000033_000000	"I have observed his daughter," repeated madame; "yes, I have observed his daughter, more times than one.	"I have observed his daughter," repeated madame; "yes, I have observed his daughter, more times than one.	true	327.83	333.97	18
192_128345_000033_000001	I have observed her to-day, and I have observed her other days.	I have observed her to day, and I have observed her other days.	true	334.1	338.44	20.713018
192_128345_000033_000002	I have observed her in the court, and I have observed her in the street by the prison.	I have observed her in the court, and I have observed her in the street by the prison.	true	338.48	343.9	22
192_128345_000033_000003	Let me but lift my finger--!" She seemed to raise it (the listener's eyes were always on his paper), and to let it fall with a rattle on the ledge before her, as if the axe had dropped.	Let me but lift my finger-!" She seemed to raise it (the listener's eyes were always on his paper), and to let it fall with a rattle on the ledge before her, as if the axe had dropped.	true	344.12	355.51	22.084757
192_128345_000034_000000	"The citizeness is superb!" croaked the Juryman.	"The citizeness is superb!" croaked the Juryman.	true	355.55	358.87	18
192_128345_000035_000000	"She is an Angel!" said The Vengeance, and embraced her.	"She is an Angel!" said The Vengeance, and embraced her.	true	359.09	362.68	20.689606
192_128345_000036_000000	"As to thee," pursued madame, implacably, addressing her husband, "if it depended on thee--which, happily, it does not--thou wouldst rescue this man even now."	"As to thee," pursued madame, implacably, addressing her husband, "if it depended on thee-which, happily, it does not-thou wouldst rescue this man even now."	false	363.23	374.17	20.825317
192_128345_000037_000000	"No!" protested Defarge.	"No!" protested Defarge.	true	374.99	376.9	17.327925
192_128345_000037_000001	"Not if to lift this glass would do it!	"Not if to lift this glass would do it!	true	377.3	379.69	20.170385
192_128345_000037_000002	But I would leave the matter there.	But I would leave the matter there.	true	380.18	381.97	19.903784
192_128345_000037_000003	I say, stop there."	I say, stop there."	true	382.1	383.65	29.109444
192_128345_000038_000000	"See you then, Jacques," said Madame Defarge, wrathfully; "and see you, too, my little Vengeance; see you both!	"See you then, Jacques," said Madame Defarge, wrathfully; "and see you, too, my little Vengeance; see you both!	true	384.29	390.735	19
192_128345_000038_000001	Listen!	Listen!	true	390.735	391.51	21.079636
192_128345_000038_000002	For other crimes as tyrants and oppressors, I have this race a long time on my register, doomed to destruction and extermination.	For other crimes as tyrants and oppressors, I have this race a long time on my register, doomed to destruction and extermination.	true	391.61	399.79	17
192_128345_000038_000003	Ask my husband, is that so."	Ask my husband, is that so."	true	400.01	402.28	20.280231
192_128345_000039_000000	"It is so," assented Defarge, without being asked.	"It is so," assented Defarge, without being asked.	true	402.83	406.06	18.95484
192_128345_000040_000000	"In the beginning of the great days, when the Bastille falls, he finds this paper of to-day, and he brings it home, and in the middle of the night when this place is clear and shut, we read it, here on this spot, by the light of this lamp.	"In the beginning of the great days, when the Bastille falls, he finds this paper of to day, and he brings it home, and in the middle of the night when this place is clear and shut, we read it, here on this spot, by the light of this lamp.	true	406.46	421.845	21.357605
192_128345_000040_000001	Ask him, is that so."	Ask him, is that so."	true	421.845	423.4	18
192_128345_000041_000000	"It is so," assented Defarge.	"It is so," assented Defarge.	true	423.65	425.86	18.542145
192_128345_000042_000000	"That night, I tell him, when the paper is read through, and the lamp is burnt out, and the day is gleaming in above those shutters and between those iron bars, that I have now a secret to communicate.	"That night, I tell him, when the paper is read through, and the lamp is burnt out, and the day is gleaming in above those shutters and between those iron bars, that I have now a secret to communicate.	true	426.65	440.59	21.625973
192_128345_000042_000001	Ask him, is that so."	Ask him, is that so."	true	440.9	442.66	22
192_128345_000043_000000	"It is so," assented Defarge again.	"It is so," assented Defarge again.	true	442.88	445.51	18
192_128345_000044_000000	"I communicate to him that secret.	"I communicate to him that secret.	true	446.18	448.45	29.63283
192_128345_000044_000001	I smite this bosom with these two hands as I smite it now, and I tell him, 'Defarge, I was brought up among the fishermen of the sea-shore, and that peasant family so injured by the two Evremonde brothers, as that Bastille paper describes, is my family.	I smite this bosom with these two hands as I smite it now, and I tell him, 'Defarge, I was brought up among the fishermen of the sea shore, and that peasant family so injured by the two Evremonde brothers, as that Bastille paper describes, is my family.	false	448.88	465.28	22.256474
192_128345_000044_000002	Defarge, that sister of the mortally wounded boy upon the ground was my sister, that husband was my sister's husband, that unborn child was their child, that brother was my brother, that father was my father, those dead are my dead, and that summons to answer for those things descends to me!' Ask him, is that so."	Defarge, that sister of the mortally wounded boy upon the ground was my sister, that husband was my sister's husband, that unborn child was their child, that brother was my brother, that father was my father, those dead are my dead, and that summons to answer for those things descends to me!' Ask him, is that so."	false	466.25	489.22	21.42069
192_128345_000045_000000	"It is so," assented Defarge once more.	"It is so," assented Defarge once more.	true	489.89	492.82	20.074308
192_128345_000046_000000	"Then tell Wind and Fire where to stop," returned madame; "but don't tell me."	"Then tell Wind and Fire where to stop," returned madame; "but don't tell me."	true	493.22	498.07	25.5763
192_128345_000047_000000	Both her hearers derived a horrible enjoyment from the deadly nature of her wrath--the listener could feel how white she was, without seeing her--and both highly commended it.	Both her hearers derived a horrible enjoyment from the deadly nature of her wrath-the listener could feel how white she was, without seeing her-and both highly commended it.	true	498.95	508.9	20.878288
192_128345_000047_000001	Defarge, a weak minority, interposed a few words for the memory of the compassionate wife of the Marquis; but only elicited from his own wife a repetition of her last reply.	Defarge, a weak minority, interposed a few words for the memory of the compassionate wife of the Marquis; but only elicited from his own wife a repetition of her last reply.	true	508.94	519.13	20.509243
192_128345_000047_000002	"Tell the Wind and the Fire where to stop; not me!"	"Tell the Wind and the Fire where to stop; not me!"	true	519.68	523	20.336145
192_128345_000048_000000	Customers entered, and the group was broken up.	Customers entered, and the group was broken up.	false	523.73	527.19	23.732683
192_128345_000048_000001	The English customer paid for what he had had, perplexedly counted his change, and asked, as a stranger, to be directed towards the National Palace.	The English customer paid for what he had had, perplexedly counted his change, and asked, as a stranger, to be directed towards the National Palace.	true	527.19	537.1	22.234142
192_128345_000048_000002	Madame Defarge took him to the door, and put her arm on his, in pointing out the road. The English customer was not without his reflections then, that it might be a good deed to seize that arm, lift it, and strike under it sharp and deep.	Madame Defarge took him to the door, and put her arm on his, in pointing out the road. The English customer was not without his reflections then, that it might be a good deed to seize that arm, lift it, and strike under it sharp and deep.	true	537.83	552.67	22.583677
192_128345_000049_000000	But, he went his way, and was soon swallowed up in the shadow of the prison wall.	But, he went his way, and was soon swallowed up in the shadow of the prison wall.	true	553.31	557.47	20
192_128345_000049_000001	At the appointed hour, he emerged from it to present himself in Mr. Lorry's room again, where he found the old gentleman walking to and fro in restless anxiety.	At the appointed hour, he emerged from it to present himself in mr Lorry's room again, where he found the old gentleman walking to and fro in restless anxiety.	true	558.23	567.46	19
192_128345_000049_000002	He said he had been with Lucie until just now, and had only left her for a few minutes, to come and keep his appointment.	He said he had been with Lucie until just now, and had only left her for a few minutes, to come and keep his appointment.	true	567.53	574.36	20.772295
192_128345_000049_000003	Her father had not been seen, since he quitted the banking-house towards four o'clock.	Her father had not been seen, since he quitted the banking house towards four o'clock.	true	574.49	579.16	21.58708
192_128345_000049_000004	She had some faint hopes that his mediation might save Charles, but they were very slight.	She had some faint hopes that his mediation might save Charles, but they were very slight.	true	579.23	584.17	19.632708
192_128345_000049_000005	He had been more than five hours gone: where could he be?	He had been more than five hours gone: where could he be?	true	584.18	587.44	23.254894
192_128345_000050_000000	Mr. Lorry waited until ten; but, Doctor Manette not returning, and he being unwilling to leave Lucie any longer, it was arranged that he should go back to her, and come to the banking-house again at midnight. In the meanwhile, Carton would wait alone by the fire for the Doctor.	mr Lorry waited until ten; but, Doctor Manette not returning, and he being unwilling to leave Lucie any longer, it was arranged that he should go back to her, and come to the banking house again at midnight. In the meanwhile, Carton would wait alone by the fire for the Doctor.	false	587.93	603.78	22.350246
192_128345_000051_000000	He waited and waited, and the clock struck twelve; but Doctor Manette did not come back.	He waited and waited, and the clock struck twelve; but Doctor Manette did not come back.	true	603.78	609.39	23.191156
192_128345_000051_000001	Mr. Lorry returned, and found no tidings of him, and brought none.	mr Lorry returned, and found no tidings of him, and brought none.	true	609.39	613.03	18
192_128345_000051_000002	Where could he be?	Where could he be?	true	613.19	614.5	21.7194
192_128345_000052_000000	They were discussing this question, and were almost building up some weak structure of hope on his prolonged absence, when they heard him on the stairs.	They were discussing this question, and were almost building up some weak structure of hope on his prolonged absence, when they heard him on the stairs.	true	614.84	622.36	18
192_128345_000052_000001	The instant he entered the room, it was plain that all was lost.	The instant he entered the room, it was plain that all was lost.	true	622.58	626.65	21.520912
192_128345_000053_000000	Whether he had really been to any one, or whether he had been all that time traversing the streets, was never known.	Whether he had really been to any one, or whether he had been all that time traversing the streets, was never known.	false	626.66	632.74	20.238808
192_128345_000053_000001	As he stood staring at them, they asked him no question, for his face told them everything.	As he stood staring at them, they asked him no question, for his face told them everything.	true	633.26	638.47	22
192_128345_000054_000000	"I cannot find it," said he, "and I must have it.	"I cannot find it," said he, "and I must have it.	true	638.87	642.42	21.984531
192_128345_000054_000001	Where is it?"	Where is it?"	true	642.42	643.42	21.862226
192_128345_000055_000000	His head and throat were bare, and, as he spoke with a helpless look straying all around, he took his coat off, and let it drop on the floor.	His head and throat were bare, and, as he spoke with a helpless look straying all around, he took his coat off, and let it drop on the floor.	false	643.82	651.58	21
192_128345_000056_000000	"Where is my bench?	"Where is my bench?	true	652.01	653.265	19.968327
192_128345_000056_000001	I have been looking everywhere for my bench, and I can't find it.	I have been looking everywhere for my bench, and I can't find it.	true	653.265	656.62	21
192_128345_000056_000002	What have they done with my work?	What have they done with my work?	true	656.81	658.605	23.372765
192_128345_000056_000003	Time presses: I must finish those shoes."	Time presses: I must finish those shoes."	false	658.605	661.45	19.831213
192_128345_000057_000000	They looked at one another, and their hearts died within them.	They looked at one another, and their hearts died within them.	true	661.91	665.17	21.520082
192_128345_000058_000000	"Come, come!" said he, in a whimpering miserable way; "let me get to work.	"Come, come!" said he, in a whimpering miserable way; "let me get to work.	false	665.33	671.145	22.500326
192_128345_000058_000001	Give me my work."	Give me my work."	true	671.145	672.52	19.78747
192_128345_000059_000000	Receiving no answer, he tore his hair, and beat his feet upon the ground, like a distracted child.	Receiving no answer, he tore his hair, and beat his feet upon the ground, like a distracted child.	true	672.71	678.67	21.702065
192_128345_000060_000000	"Don't torture a poor forlorn wretch," he implored them, with a dreadful cry; "but give me my work!	"Don't torture a poor forlorn wretch," he implored them, with a dreadful cry; "but give me my work!	true	679.13	686.26	23.553532
192_128345_000060_000001	What is to become of us, if those shoes are not done to-night?"	What is to become of us, if those shoes are not done to night?"	true	686.42	689.86	19
192_128345_000061_000000	Lost, utterly lost!	Lost, utterly lost!	true	690.8	693.28	19.430698
192_128345_000062_000000	It was so clearly beyond hope to reason with him, or try to restore him, that--as if by agreement--they each put a hand upon his shoulder, and soothed him to sit down before the fire, with a promise that he should have his work presently.	It was so clearly beyond hope to reason with him, or try to restore him, that-as if by agreement-they each put a hand upon his shoulder, and soothed him to sit down before the fire, with a promise that he should have his work presently.	true	693.71	707.83	21
192_128345_000062_000001	He sank into the chair, and brooded over the embers, and shed tears.	He sank into the chair, and brooded over the embers, and shed tears.	true	708.11	712.18	21
192_128345_000062_000002	As if all that had happened since the garret time were a momentary fancy, or a dream, Mr. Lorry saw him shrink into the exact figure that Defarge had had in keeping.	As if all that had happened since the garret time were a momentary fancy, or a dream, mr Lorry saw him shrink into the exact figure that Defarge had had in keeping.	true	712.55	722.95	20
192_128345_000063_000000	Affected, and impressed with terror as they both were, by this spectacle of ruin, it was not a time to yield to such emotions.	Affected, and impressed with terror as they both were, by this spectacle of ruin, it was not a time to yield to such emotions.	true	723.2	731.05	21
192_128345_000063_000001	His lonely daughter, bereft of her final hope and reliance, appealed to them both too strongly.	His lonely daughter, bereft of her final hope and reliance, appealed to them both too strongly.	true	731.57	737.32	21.969038
192_128345_000063_000002	Again, as if by agreement, they looked at one another with one meaning in their faces.	Again, as if by agreement, they looked at one another with one meaning in their faces.	true	737.81	743.56	23.596922
192_128345_000063_000003	Carton was the first to speak:	Carton was the first to speak:	true	743.57	745.84	23.54313
192_128345_000064_000000	"The last chance is gone: it was not much.	"The last chance is gone: it was not much.	true	746.06	748.84	23.070595
192_128345_000064_000001	Yes; he had better be taken to her.	Yes; he had better be taken to her.	true	749.18	751.69	21.144402
192_128345_000064_000002	But, before you go, will you, for a moment, steadily attend to me?	But, before you go, will you, for a moment, steadily attend to me?	true	751.82	756.1	23.346556
192_128345_000064_000003	Don't ask me why I make the stipulations I am going to make, and exact the promise I am going to exact; I have a reason--a good one."	Don't ask me why I make the stipulations I am going to make, and exact the promise I am going to exact; I have a reason-a good one."	false	756.98	765.73	20.334736
192_128345_000065_000000	"I do not doubt it," answered Mr. Lorry.	"I do not doubt it," answered mr Lorry.	true	766.31	768.465	22
192_128345_000065_000001	"Say on."	"Say on."	true	768.465	769.36	24
192_128345_000066_000000	The figure in the chair between them, was all the time monotonously rocking itself to and fro, and moaning.	The figure in the chair between them, was all the time monotonously rocking itself to and fro, and moaning.	false	769.46	775.54	18
192_128345_000066_000001	They spoke in such a tone as they would have used if they had been watching by a sick-bed in the night.	They spoke in such a tone as they would have used if they had been watching by a sick bed in the night.	true	776.12	781.27	19.903847
192_128345_000067_000000	Carton stooped to pick up the coat, which lay almost entangling his feet.	Carton stooped to pick up the coat, which lay almost entangling his feet.	true	781.91	786.4	22.08208
192_128345_000067_000001	As he did so, a small case in which the Doctor was accustomed to carry the lists of his day's duties, fell lightly on the floor.	As he did so, a small case in which the Doctor was accustomed to carry the lists of his day's duties, fell lightly on the floor.	false	786.62	794.05	22
192_128345_000067_000002	Carton took it up, and there was a folded paper in it.	Carton took it up, and there was a folded paper in it.	true	794.45	797.8	22.976082
192_128345_000067_000003	"We should look at this!" he said.	"We should look at this!" he said.	true	798.08	800.05	20.801308
192_128345_000067_000004	Mr. Lorry nodded his consent.	mr Lorry nodded his consent.	true	800.27	802.42	23.94335
192_128345_000067_000005	He opened it, and exclaimed, "Thank _God!_"	He opened it, and exclaimed, "Thank underscore God!underscore"	false	802.82	806.52	23.74475
192_128345_000068_000000	"What is it?" asked Mr. Lorry, eagerly.	"What is it?" asked mr Lorry, eagerly.	true	806.52	808.84	21.533525
192_128345_000069_000000	"A moment!	"A moment!	true	809.03	809.865	20.471004
192_128345_000069_000001	Let me speak of it in its place.	Let me speak of it in its place.	true	809.865	811.63	26.76448
192_128345_000069_000002	First," he put his hand in his coat, and took another paper from it, "that is the certificate which enables me to pass out of this city.	First," he put his hand in his coat, and took another paper from it, "that is the certificate which enables me to pass out of this city.	true	811.88	819.39	23.599188
192_128345_000069_000003	Look at it.	Look at it.	true	819.39	820.05	24.388727
192_128345_000069_000004	You see--Sydney Carton, an Englishman?"	You see-Sydney Carton, an Englishman?"	true	820.05	823.18	25.366747
192_128345_000070_000000	Mr. Lorry held it open in his hand, gazing in his earnest face.	mr Lorry held it open in his hand, gazing in his earnest face.	true	823.43	827.5	20
192_128345_000071_000000	"Keep it for me until to-morrow.	"Keep it for me until to morrow.	true	827.81	829.725	20.144464
192_128345_000071_000001	I shall see him to-morrow, you remember, and I had better not take it into the prison."	I shall see him to morrow, you remember, and I had better not take it into the prison."	true	829.725	834.46	17.633589
192_128345_000072_000000	"Why not?"	"Why not?"	true	834.92	835.87	21.898218
192_128345_000073_000000	"I don't know; I prefer not to do so.	"I don't know; I prefer not to do so.	true	836.18	839.38	24.314865
192_128345_000073_000001	Now, take this paper that Doctor Manette has carried about him.	Now, take this paper that Doctor Manette has carried about him.	true	839.99	843.79	24.680313
192_128345_000073_000002	It is a similar certificate, enabling him and his daughter and her child, at any time, to pass the barrier and the frontier!	It is a similar certificate, enabling him and his daughter and her child, at any time, to pass the barrier and the frontier!	true	844.04	852.78	21.64026
192_128345_000073_000003	You see?"	You see?"	true	852.78	853.36	30.498125
192_128345_000074_000000	"Yes!"	"Yes!"	true	853.73	854.5	20.956621
192_128345_000075_000000	"Perhaps he obtained it as his last and utmost precaution against evil, yesterday.	"Perhaps he obtained it as his last and utmost precaution against evil, yesterday.	true	854.93	859.99	20
192_128345_000075_000001	When is it dated?	When is it dated?	true	860.48	861.7	22.104351
192_128345_000075_000002	But no matter; don't stay to look; put it up carefully with mine and your own.	But no matter; don't stay to look; put it up carefully with mine and your own.	true	861.92	867.46	22.594007
192_128345_000075_000003	Now, observe!	Now, observe!	true	867.47	868.515	18.502438
192_128345_000075_000004	I never doubted until within this hour or two, that he had, or could have such a paper.	I never doubted until within this hour or two, that he had, or could have such a paper.	false	868.515	874.21	21.19601
192_128345_000075_000005	It is good, until recalled.	It is good, until recalled.	true	875.03	877.06	25.511967
192_128345_000075_000006	But it may be soon recalled, and, I have reason to think, will be."	But it may be soon recalled, and, I have reason to think, will be."	true	877.1	881.26	19.168621
