8396_240992_000000_000000	XI.	XI.	false	15.36	15.645	-2
8396_240992_000002_000007	All I care to do is to suggest to any one anxious to understand the records the following arrangement of facts.	All I care to do is to suggest to any one anxious to understand the records the following arrangement of facts.	true	116.84	122.68	22
8396_240992_000002_000008	When Mary Magdalene found the tomb empty, not seeing, or heedless of the angel, she forsook her companions, and ran to the chief of the disciples to share the agony of this final loss.	When Mary Magdalene found the tomb empty, not seeing, or heedless of the angel, she forsook her companions, and ran to the chief of the disciples to share the agony of this final loss.	false	123.2	133.18	22
8396_240992_000002_000009	Perhaps something might yet be done to rescue the precious form, and lay it aside with all futile honours.	Perhaps something might yet be done to rescue the precious form, and lay it aside with all futile honours.	true	133.49	139.24	20.0664
8396_240992_000002_000010	With Peter and John she returned to the grave, whence, in the mean time, her former companions, having seen and conversed with the angel outside and the angel inside, had departed to find their friends.	With peter and john she returned to the grave, whence, in the mean time, her former companions, having seen and conversed with the angel outside and the angel inside, had departed to find their friends.	true	139.61	151.54	22.118858
8396_240992_000002_000011	Peter and John, having, the one entered, the other looked into the tomb, and seen only the folded garments of desertion, returned home, but Mary lingered weeping by the place which was not now even the grave of the beloved, so utterly had not only he but the signs of him vanished.	peter and john, having, the one entered, the other looked into the tomb, and seen only the folded garments of desertion, returned home, but Mary lingered weeping by the place which was not now even the grave of the beloved, so utterly had not only he but the signs of him vanished.	false	151.73	167.44	20.646013
8396_240992_000002_000012	As she wept, she stooped down into the sepulchre.	As she wept, she stooped down into the sepulchre.	true	167.66	170.83	24.026106
8396_240992_000002_000013	There sat the angels in holy contemplation, one at the head, the other at the feet where the body of Jesus had lain.	There sat the angels in holy contemplation, one at the head, the other at the feet where the body of Jesus had lain.	false	171.05	177.61	20.729563
8396_240992_000002_000014	Peter nor John had beheld them: to the eyes of Mary as of the other women they were manifest.	peter nor john had beheld them: to the eyes of Mary as of the other women they were manifest.	true	177.92	183.01	18.80225
8396_240992_000002_000015	It is a lovely story that follows, full of marvel, as how should it not be?	It is a lovely story that follows, full of marvel, as how should it not be?	true	183.26	188.11	21.22256
8396_240992_000003_000000	"Woman, why weepest thou?" said the angels.	"Woman, why weepest thou?" said the angels.	true	188.63	191.71	22.80206
8396_240992_000004_000000	"Because they have taken away my Lord, and I know not where they have laid him," answered Mary, and turning away, tear-blinded, saw the gardener, as she thought.	"Because they have taken away my Lord, and I know not where they have laid him," answered Mary, and turning away, tear blinded, saw the gardener, as she thought.	true	191.87	200.53	20.644855
8396_240992_000005_000000	"Woman, why weepest thou?" repeats the gardener.	"Woman, why weepest thou?" repeats the gardener.	true	201.05	204.31	23.984383
8396_240992_000006_000000	"Whom seekest thou?"	"Whom seekest thou?"	true	204.83	206.17	23.567965
8396_240992_000007_000000	Hopelessness had dulled every sense: not even a start at the sound of his voice!	Hopelessness had dulled every sense: not even a start at the sound of his voice!	true	206.51	211.09	20.815804
8396_240992_000008_000000	"Sir, if thou have borne him hence, tell me where thou hast laid him, and I will take him away."	"Sir, if thou have borne him hence, tell me where thou hast laid him, and I will take him away."	true	211.37	217.03	20.639849
8396_240992_000009_000000	"Mary!"	"Mary!"	true	217.34	218.38	20.64567
8396_240992_000010_000000	"Master!"	"Master!"	true	218.66	219.73	26.723158
8396_240992_000011_000000	"Touch me not; for I am not yet ascended to my Father; but go to my brethren, and say unto them, I ascend unto my Father and your Father; and to my God and your God."	"Touch me not; for I am not yet ascended to my Father; but go to my brethren, and say unto them, I ascend unto my Father and your Father; and to my God and your God."	false	219.98	230.32	20.761143
8396_240992_000012_000000	She had the first sight of him.	She had the first sight of him.	true	230.87	232.69	21.415874
8396_240992_000012_000001	It would almost seem that, arrested by her misery, he had delayed his ascent, and shown himself sooner than his first intent.	It would almost seem that, arrested by her misery, he had delayed his ascent, and shown himself sooner than his first intent.	true	232.85	240.19	20.372215
8396_240992_000012_000002	"Touch me not, for I am not yet ascended." She was about to grasp him with the eager hands of reverent love: why did he refuse the touch?	"Touch me not, for I am not yet ascended." She was about to grasp him with the eager hands of reverent love: why did he refuse the touch?	true	240.41	248.83	20.372368
8396_240992_000013_000000	Doubtless the tone of the words deprived them of any sting.	Doubtless the tone of the words deprived them of any sting.	true	249.23	252.34	22.298742
8396_240992_000013_000001	Doubtless the self-respect of the woman was in no way wounded by the master's recoil.	Doubtless the self respect of the woman was in no way wounded by the master's recoil.	true	252.53	256.93	18.24454
8396_240992_000013_000002	For the rest, we know so little of the new conditions of his bodily nature, that nothing is ours beyond conjecture.	For the rest, we know so little of the new conditions of his bodily nature, that nothing is ours beyond conjecture.	true	257.15	264.375	22.768892
8396_240992_000013_000003	It may be, for anything I know, that there were even physical reasons why she should not yet touch him; but my impression is that, after the hard work accomplished, and the form in which he had wrought and suffered resumed, he must have the Father's embrace first, as after a long absence any man would seek first the arms of his dearest friend.	It may be, for anything I know, that there were even physical reasons why she should not yet touch him; but my impression is that, after the hard work accomplished, and the form in which he had wrought and suffered resumed, he must have the Father's embrace first, as after a long absence any man would seek first the arms of his dearest friend.	false	264.375	283.87	21.50392
8396_240992_000013_000004	It may well be objected to this notion, that he had never been absent from God--that in his heart he was at home with him continually.	It may well be objected to this notion, that he had never been absent from God-that in his heart he was at home with him continually.	true	284.33	291.85	19.106459
8396_240992_000013_000005	And yet the body with all its limitations, with all its partition-walls of separation, is God's, and there must be some way in which even _it_ can come into a willed relation with him to whom it is nearer even than to ourselves, for it is the offspring of his will, or as the prophets of old would say--the work of his hands.	And yet the body with all its limitations, with all its partition walls of separation, is God's, and there must be some way in which even underscore it underscore can come into a willed relation with him to whom it is nearer even than to ourselves, for it is the offspring of his will, or as the prophets of old would say-the work of his hands.	false	292.1	310.63	23.227684
8396_240992_000013_000006	That which God has invented and made, which has its very origin in the depth of his thought, _can_ surely come nigh to God. Therefore I think that in some way which we cannot understand, Jesus would now seek the presence of the Father; would, having done the work which he had given him to do, desire first of all to return in the body to him who had _sent_ him by giving him a body.	That which God has invented and made, which has its very origin in the depth of his thought, underscore can underscore surely come nigh to God. Therefore I think that in some way which we cannot understand, Jesus would now seek the presence of the Father; would, having done the work which he had given him to do, desire first of all to return in the body to him who had underscore sent underscore him by giving him a body.	false	311.09	332.71	22.43198
8396_240992_000013_000007	Hence although he might delay his return at the sound of the woman's grief, he would rather _she_ did not touch him first.	Hence although he might delay his return at the sound of the woman's grief, he would rather underscore she underscore did not touch him first.	false	333.17	339.49	21.707743
8396_240992_000013_000008	If any one thinks this founded on too human a notion of the Saviour, I would only reply that I suspect a great part of our irreligion springs from our disbelief in the humanity of God.	If any one thinks this founded on too human a notion of the Saviour, I would only reply that I suspect a great part of our irreligion springs from our disbelief in the humanity of God.	true	339.56	349.42	22
8396_240992_000013_000009	There lie endless undiscovered treasures of grace.	There lie endless undiscovered treasures of grace.	true	349.79	352.51	21
8396_240992_000013_000010	After he had once ascended to the Father, he not only appeared to his disciples again and again, but their hands handled the word of life, and he ate in their presence.	After he had once ascended to the Father, he not only appeared to his disciples again and again, but their hands handled the word of life, and he ate in their presence.	true	353	362.74	21.231522
8396_240992_000013_000011	He had been to his Father, and had returned that they might know him lifted above the grave and all that region in which death has power; that as the elder brother, free of the oppressions of humanity, but fulfilled of its tenderness, he might show himself captain of their salvation.	He had been to his Father, and had returned that they might know him lifted above the grave and all that region in which death has power; that as the elder brother, free of the oppressions of humanity, but fulfilled of its tenderness, he might show himself captain of their salvation.	true	362.84	378.46	19.920511
8396_240992_000013_000012	Upon the body he inhabited, death could no longer lay his hands, and from the vantage-ground he thus held, he could stretch down the arm of salvation to each and all.	Upon the body he inhabited, death could no longer lay his hands, and from the vantage ground he thus held, he could stretch down the arm of salvation to each and all.	true	378.74	388.36	20.538738
8396_240992_000014_000000	For in regard of this glorified body of Jesus, we must note that it appeared and disappeared at the will of its owner; and it would seem also that other matter yielded and gave it way; yes, even that space itself was in some degree subjected to it.	For in regard of this glorified body of Jesus, we must note that it appeared and disappeared at the will of its owner; and it would seem also that other matter yielded and gave it way; yes, even that space itself was in some degree subjected to it.	true	388.88	402.79	20.979593
8396_240992_000014_000001	Upon the first of these, the record is clear.	Upon the first of these, the record is clear.	true	403.07	405.79	26.36644
8396_240992_000014_000002	If any man say he cannot believe it, my only answer is that I can.	If any man say he cannot believe it, my only answer is that I can.	true	406.16	410.41	22.850208
8396_240992_000014_000003	If he ask how it _could_ be, the nearest I can approach to an answer is to indicate the region in which it may be possible: the border-land where thought and matter meet is the region where all marvels and miracles are generated.	If he ask how it underscore could underscore be, the nearest I can approach to an answer is to indicate the region in which it may be possible: the border land where thought and matter meet is the region where all marvels and miracles are generated.	false	410.72	422.98	21.486492
8396_240992_000014_000004	The wisdom of this world can believe that matter generates mind: what seems to me the wisdom from above can believe that mind generates matter--that matter is but the manifest mind.	The wisdom of this world can believe that matter generates mind: what seems to me the wisdom from above can believe that mind generates matter-that matter is but the manifest mind.	true	423.29	433.72	22.038599
8396_240992_000014_000005	On this supposition matter may well be subject to mind; much more, if Jesus be the Son of God, his own body must be subject to his will.	On this supposition matter may well be subject to mind; much more, if Jesus be the Son of God, his own body must be subject to his will.	true	434.09	442.84	20.135
8396_240992_000014_000006	I doubt, indeed, if the condition of any man is perfect before the body he inhabits is altogether obedient to his will--before, through his own absolute obedience to the Father, the realm of his own rule is put under him perfectly.	I doubt, indeed, if the condition of any man is perfect before the body he inhabits is altogether obedient to his will-before, through his own absolute obedience to the Father, the realm of his own rule is put under him perfectly.	true	443.12	456.19	21.843939
8396_240992_000015_000000	It may be objected that although this might be credible of the glorified body of even the human resurrection, it is hard to believe that the body which suffered and died on the cross could become thus plastic to the will of the indwelling spirit.	It may be objected that although this might be credible of the glorified body of even the human resurrection, it is hard to believe that the body which suffered and died on the cross could become thus plastic to the will of the indwelling spirit.	true	456.65	468.37	20.20007
8396_240992_000015_000001	But I do not see why that which was born of the spirit of the Father, should not be so inter-penetrated and possessed by the spirit of the Son, that, without the loss of one of its former faculties, it should be endowed with many added gifts of obedience; amongst the rest such as are indicated in the narrative before us.	But I do not see why that which was born of the spirit of the Father, should not be so inter penetrated and possessed by the spirit of the Son, that, without the loss of one of its former faculties, it should be endowed with many added gifts of obedience; amongst the rest such as are indicated in the narrative before us.	true	468.92	487.15	22.336552
8396_240992_000016_000000	Why was this miracle needful?	Why was this miracle needful?	true	487.82	489.85	24.253153
8396_240992_000017_000000	Perhaps, for one thing, that men should not limit him, or themselves in him, to the known forms of humanity; and for another, that the best hope might be given them of a life beyond the grave; that their instinctive desires in that direction might thus be infinitely developed and assured.	Perhaps, for one thing, that men should not limit him, or themselves in him, to the known forms of humanity; and for another, that the best hope might be given them of a life beyond the grave; that their instinctive desires in that direction might thus be infinitely developed and assured.	true	490.22	506.47	21.275866
8396_240992_000017_000001	I suspect, however, that it followed just as the natural consequence of all that preceded.	I suspect, however, that it followed just as the natural consequence of all that preceded.	true	506.75	511.99	24.183632
8396_240992_000018_000000	If Christ be risen, then is the grave of humanity itself empty.	If Christ be risen, then is the grave of humanity itself empty.	true	512.33	516.43	23.811659
8396_240992_000018_000001	We have risen with him, and death has henceforth no dominion over us.	We have risen with him, and death has henceforth no dominion over us.	true	516.56	521.05	19.835453
8396_240992_000018_000002	Of every dead man and woman it may be said: He--she--is not here, but is risen and gone before us.	Of every dead man and woman it may be said: He-she-is not here, but is risen and gone before us.	true	521.15	528.01	18.381718
8396_240992_000018_000003	Ever since the Lord lay down in the tomb, and behold it was but a couch whence he arose refreshed, we may say of every brother: He is not dead but sleepeth.	Ever since the Lord lay down in the tomb, and behold it was but a couch whence he arose refreshed, we may say of every brother: He is not dead but sleepeth.	true	528.2	538.36	20.581358
8396_240992_000018_000004	He too is alive and shall arise from his sleep.	He too is alive and shall arise from his sleep.	true	538.37	541.54	17.183022
8396_240992_000019_000000	The way to the tomb may be hard, as it was for him; but we who look on, see the hardness and not the help; we see the suffering but not the sustaining: that is known only to the dying and God.	The way to the tomb may be hard, as it was for him; but we who look on, see the hardness and not the help; we see the suffering but not the sustaining: that is known only to the dying and God.	false	541.82	554.23	22.19523
8396_240992_000019_000001	They can tell us little of this, and nothing of the glad safety beyond.	They can tell us little of this, and nothing of the glad safety beyond.	true	554.33	557.98	23.929546
8396_240992_000020_000000	With any theory of the conditions of our resurrection, I have scarcely here to do.	With any theory of the conditions of our resurrection, I have scarcely here to do.	true	558.47	562.9	21.830566
8396_240992_000020_000001	It is to me a matter of positively no interest whether or not, in any sense, the matter of our bodies shall be raised from the earth.	It is to me a matter of positively no interest whether or not, in any sense, the matter of our bodies shall be raised from the earth.	true	563.03	570.28	21.528166
8396_240992_000020_000002	It is enough that we shall possess forms capable of revealing ourselves and of bringing us into contact with God's other works; forms in which the idea, so blurred and broken in these, shall be carried out--remaining so like, that friends shall doubt not a moment of the identity, becoming so unlike, that the tears of recognition shall be all for the joy of the gain and the gratitude of the loss.	It is enough that we shall possess forms capable of revealing ourselves and of bringing us into contact with God's other works; forms in which the idea, so blurred and broken in these, shall be carried out-remaining so like, that friends shall doubt not a moment of the identity, becoming so unlike, that the tears of recognition shall be all for the joy of the gain and the gratitude of the loss.	true	570.47	593.56	21.31341
8396_240992_000020_000003	Not to believe in mutual recognition beyond, seems to me a far more reprehensible unbelief than that in the resurrection itself.	Not to believe in mutual recognition beyond, seems to me a far more reprehensible unbelief than that in the resurrection itself.	true	593.78	602.26	22.223484
8396_240992_000020_000004	I can well understand how a man should not believe in any life after death.	I can well understand how a man should not believe in any life after death.	true	602.33	606.48	20.407171
8396_240992_000020_000005	I will confess that although probabilities are for it, _appearances_ are against it.	I will confess that although probabilities are for it, underscore appearances underscore are against it.	false	606.48	611.86	23.628473
8396_240992_000020_000006	But that a man, still more a woman, should believe in the resurrection of the very same body of Jesus, who took pains that his friends should recognize him therein; that they should regard his resurrection as their one ground for the hope of their own uprising, and yet not believe that friend shall embrace friend in the mansions prepared for them, is to me astounding.	But that a man, still more a woman, should believe in the resurrection of the very same body of Jesus, who took pains that his friends should recognize him therein; that they should regard his resurrection as their one ground for the hope of their own uprising, and yet not believe that friend shall embrace friend in the mansions prepared for them, is to me astounding.	false	612.05	633.01	20.739408
8396_240992_000020_000007	Such a shadowy resumption of life I should count unworthy of the name of resurrection.	Such a shadowy resumption of life I should count unworthy of the name of resurrection.	true	633.32	638.32	16
8396_240992_000020_000008	Then indeed would the grave be victorious, not alone over the body, not alone over all which made the life of this world precious and by which we arose towards the divine--but so far victorious over the soul that henceforth it should be blind and deaf to what in virtue of loveliest memories would have added a new song to the praises of the Father, a new glow to the love that had wanted but that to make it perfect.	Then indeed would the grave be victorious, not alone over the body, not alone over all which made the life of this world precious and by which we arose towards the divine-but so far victorious over the soul that henceforth it should be blind and deaf to what in virtue of loveliest memories would have added a new song to the praises of the Father, a new glow to the love that had wanted but that to make it perfect.	false	638.69	663.46	20.07007
8396_240992_000020_000009	In truth I am ashamed of even combating such an essential falsehood.	In truth I am ashamed of even combating such an essential falsehood.	true	663.5	667.66	20.44917
8396_240992_000020_000010	Were it not that here and there a weak soul is paralysed by the presence of the monstrous lie, and we dare not allow sympathy to be swallowed up of even righteous disdain, a contemptuous denial would be enough.	Were it not that here and there a weak soul is paralysed by the presence of the monstrous lie, and we dare not allow sympathy to be swallowed up of even righteous disdain, a contemptuous denial would be enough.	true	667.94	679.96	21.16333
8396_240992_000021_000000	What seemed to the disciples the final acme of disappointment and grief, the vanishing of his body itself, was in reality the first sign of the dawn of an illimitable joy.	What seemed to the disciples the final acme of disappointment and grief, the vanishing of his body itself, was in reality the first sign of the dawn of an illimitable joy.	true	680.54	690.61	21.67015
8396_240992_000021_000001	He was not there because he had risen.	He was not there because he had risen.	true	690.83	693.48	21
8396_240992_000022_000000	XII.	twelve.	false	693.48	693.6	-20
8396_240992_000022_000001	THE TRANSFIGURATION.	THE TRANSFIGURATION.	false	693.6	693.9	-20
8396_240992_000023_000000	I have judged it fitting to close this series of meditations with some thoughts on the Transfiguration, believing the story to be as it were a window through which we gain a momentary glimpse of the region whence all miracles appear--a glimpse vague and dark for all the transfiguring light, for God himself is "by abundant clarity invisible." In the story we find a marvellous change, a lovely miracle, pass upon the form itself whence the miracles flowed, as if the pent-up grace wrought mightily upon the earthen vessel which contained it.	I have judged it fitting to close this series of meditations with some thoughts on the Transfiguration, believing the story to be as it were a window through which we gain a momentary glimpse of the region whence all miracles appear-a glimpse vague and dark for all the transfiguring light, for God himself is "by abundant clarity invisible." In the story we find a marvellous change, a lovely miracle, pass upon the form itself whence the miracles flowed, as if the pent up grace wrought mightily upon the earthen vessel which contained it.	false	693.9	696.45	19.374464
