205_123882_000000_000000	Mr. Smith, of course, said nothing.	mr Smith, of course, said nothing.	false	0	2.94	18.62765
205_123882_000027_000002	No, don't bother to look at the reflection of your face in the window-pane shadowed by the night outside.	No, don't bother to look at the reflection of your face in the window pane shadowed by the night outside.	true	637.46	642.64	20
205_123882_000027_000003	Nobody could tell you now after all these years.	Nobody could tell you now after all these years.	true	643.01	645.76	19
205_123882_000027_000004	Your face has changed in these long years of money-getting in the city.	Your face has changed in these long years of money getting in the city.	false	645.77	649.63	15
205_123882_000027_000005	Perhaps if you had come back now and again, just at odd times, it wouldn't have been so.	Perhaps if you had come back now and again, just at odd times, it wouldn't have been so.	true	649.91	654.79	21
205_123882_000028_000000	There,--you hear it?--the long whistle of the locomotive, one, two, three!	There,--you hear it?--the long whistle of the locomotive, one, two, three!	true	655.31	661.15	18.68555
205_123882_000028_000001	You feel the sharp slackening of the train as it swings round the curve of the last embankment that brings it to the Mariposa station. See, too, as we round the curve, the row of the flashing lights, the bright windows of the depot.	You feel the sharp slackening of the train as it swings round the curve of the last embankment that brings it to the Mariposa station. See, too, as we round the curve, the row of the flashing lights, the bright windows of the depot.	false	661.43	674.11	22
205_123882_000029_000000	How vivid and plain it all is.	How vivid and plain it all is.	true	674.42	676.36	16
205_123882_000029_000001	Just as it used to be thirty years ago. There is the string of the hotel 'buses, drawn up all ready for the train, and as the train rounds in and stops hissing and panting at the platform, you can hear above all other sounds the cry of the brakesmen and the porters:	Just as it used to be thirty years ago. There is the string of the hotel 'buses, drawn up all ready for the train, and as the train rounds in and stops hissing and panting at the platform, you can hear above all other sounds the cry of the brakesmen and the porters:	false	676.61	692.47	21.285015
205_123882_000030_000000	"MARIPOSA!	"MARIPOSA!	true	693.05	694.03	13.878231
205_123882_000030_000001	MARIPOSA!"	MARIPOSA!"	true	694.82	695.77	11.319987
205_123882_000031_000000	And as we listen, the cry grows fainter and fainter in our ears and we are sitting here again in the leather chairs of the Mausoleum Club, talking of the little Town in the Sunshine that once we knew.	And as we listen, the cry grows fainter and fainter in our ears and we are sitting here again in the leather chairs of the Mausoleum Club, talking of the little Town in the Sunshine that once we knew.	false	697.61	708.72	18.621096
205_123882_000032_000000	End of the Project Gutenberg EBook of Sunshine Sketches of a Little Town, by Stephen Leacock	End of the Project Gutenberg EBook of Sunshine Sketches of a Little Town, by Stephen Leacock	false	708.72	715.44	18.671944
