6694_70837_000001_000000	Chapter IV	Chapter four
6694_70837_000047_000001	After a few minutes he said something about having a glass of tea and went back up the hall.	After a few minutes he said something about having a glass of tea and went back up the hall.
6694_70837_000047_000002	We unlocked the door.	We unlocked the door.
6694_70837_000048_000000	Just inside a couple of soldiers stood on guard, but they said nothing.	Just inside a couple of soldiers stood on guard, but they said nothing.
6694_70837_000048_000002	On both sides of the parquetted floor lay rows of dirty mattresses and blankets, upon which occasional soldiers were stretched out; everywhere was a litter of cigarette-butts, bits of bread, cloth, and empty bottles with expensive French labels.	On both sides of the parquetted floor lay rows of dirty mattresses and blankets, upon which occasional soldiers were stretched out; everywhere was a litter of cigarette butts, bits of bread, cloth, and empty bottles with expensive French labels.
6694_70837_000048_000004	One had a bottle of white Burgundy, evidently filched from the cellars of the Palace. They looked at us with astonishment as we marched past, through room after room, until at last we came out into a series of great state-salons, fronting their long and dirty windows on the Square. The walls were covered with huge canvases in massive gilt frames--historical battle-scenes....	One had a bottle of white Burgundy, evidently filched from the cellars of the Palace. They looked at us with astonishment as we marched past, through room after room, until at last we came out into a series of great state salons, fronting their long and dirty windows on the Square. The walls were covered with huge canvases in massive gilt frames-historical battle scenes....
6694_70837_000048_000006	One had a gash across the upper right hand corner.	One had a gash across the upper right hand corner.
6694_70837_000049_000000	The place was all a huge barrack, and evidently had been for weeks, from the look of the floor and walls.	The place was all a huge barrack, and evidently had been for weeks, from the look of the floor and walls.
6694_70837_000049_000001	Machine guns were mounted on window-sills, rifles stacked between the mattresses.	Machine guns were mounted on window sills, rifles stacked between the mattresses.
6694_70837_000051_000001	Enchanted.	Enchanted.
6694_70837_000051_000002	I am Stabs--Capitan Vladimir Artzibashev, absolutely at your service."	I am Stabs-Capitan Vladimir Artzibashev, absolutely at your service."
6694_70837_000051_000003	It did not seem to occur to him that there was anything unusual in four strangers, one a woman, wandering through the defences of an army awaiting attack.	It did not seem to occur to him that there was anything unusual in four strangers, one a woman, wandering through the defences of an army awaiting attack.
6694_70837_000051_000004	He began to complain of the state of Russia.	He began to complain of the state of Russia.
6694_70837_000052_000000	"Not only these Bolsheviki," he said, "but the fine traditions of the Russian army are broken down.	"Not only these Bolsheviki," he said, "but the fine traditions of the Russian army are broken down.
6694_70837_000052_000001	Look around you.	Look around you.
6694_70837_000052_000004	Naturally there are many, many who are contaminated by the Revolution...."	Naturally there are many, many who are contaminated by the Revolution...."
6694_70837_000053_000000	Without consequence he changed the subject.	Without consequence he changed the subject.
6694_70837_000053_000001	"I am very anxious to go away from Russia.	"I am very anxious to go away from Russia.
6694_70837_000053_000002	I have made up my mind to join the American army. Will you please go to your Consul and make arrangements?	I have made up my mind to join the American army. Will you please go to your Consul and make arrangements?
6694_70837_000053_000003	I will give you my address." In spite of our protestations he wrote it on a piece of paper, and seemed to feel better at once.	I will give you my address." In spite of our protestations he wrote it on a piece of paper, and seemed to feel better at once.
6694_70837_000054_000000	"We had a review this morning early," he went on, as he guided us through the rooms and explained everything.	"We had a review this morning early," he went on, as he guided us through the rooms and explained everything.
6694_70837_000054_000001	"The Women's Battalion decided to remain loyal to the Government."	"The Women's Battalion decided to remain loyal to the Government."
6694_70837_000055_000000	"Are the women soldiers in the Palace?"	"Are the women soldiers in the Palace?"
6694_70837_000056_000000	"Yes, they are in the back rooms, where they won't be hurt if any trouble comes." He sighed.	"Yes, they are in the back rooms, where they won't be hurt if any trouble comes." He sighed.
6694_70837_000056_000001	"It is a great responsibility," said he.	"It is a great responsibility," said he.
6694_70837_000057_000001	After a few minutes two of the companies shouldered arms with a clash, barked three sharp shouts, and went swinging off across the Square, disappearing through the Red Arch into the quiet city.	After a few minutes two of the companies shouldered arms with a clash, barked three sharp shouts, and went swinging off across the Square, disappearing through the Red Arch into the quiet city.
6694_70837_000058_000000	"They are going to capture the Telephone Exchange," said some one. Three cadets stood by us, and we fell into conversation.	"They are going to capture the Telephone Exchange," said some one. Three cadets stood by us, and we fell into conversation.
6694_70837_000058_000002	They didn't seem to know what to do, as a matter of fact, and it was plain that they were not happy.	They didn't seem to know what to do, as a matter of fact, and it was plain that they were not happy.
6694_70837_000059_000000	But soon they began to boast.	But soon they began to boast.
6694_70837_000059_000001	"If the Bolsheviki come we shall show them how to fight.	"If the Bolsheviki come we shall show them how to fight.
6694_70837_000059_000002	They do not dare to fight, they are cowards.	They do not dare to fight, they are cowards.
6694_70837_000059_000003	But if we should be overpowered, well, every man keeps one bullet for himself...."	But if we should be overpowered, well, every man keeps one bullet for himself...."
6694_70837_000060_000000	At this point there was a burst of rifle-fire not far off.	At this point there was a burst of rifle fire not far off.
6694_70837_000060_000002	Inside all was uproar, soldiers running here and there, grabbing up guns, rifle-belts and shouting, "Here they come!	Inside all was uproar, soldiers running here and there, grabbing up guns, rifle belts and shouting, "Here they come!
6694_70837_000060_000003	Here they come!" ...	Here they come!" ...
6694_70837_000060_000004	But in a few minutes it quieted down again.	But in a few minutes it quieted down again.
6694_70837_000061_000000	It was getting late when we left the Palace.	It was getting late when we left the Palace.
6694_70837_000061_000001	The sentries in the Square had all disappeared.	The sentries in the Square had all disappeared.
6694_70837_000061_000002	The great semi-circle of Government buildings seemed deserted.	The great semi circle of Government buildings seemed deserted.
6694_70837_000061_000003	We went into the Hotel France for dinner, and right in the middle of soup the waiter, very pale in the face, came up and insisted that we move to the main dining-room at the back of the house, because they were going to put out the lights in the cafe.	We went into the Hotel France for dinner, and right in the middle of soup the waiter, very pale in the face, came up and insisted that we move to the main dining room at the back of the house, because they were going to put out the lights in the cafe.
6694_70837_000061_000004	"There will be much shooting," he said.	"There will be much shooting," he said.
6694_70837_000062_000000	When we came out on the Morskaya again it was quite dark, except for one flickering street-light on the corner of the Nevsky.	When we came out on the Morskaya again it was quite dark, except for one flickering street light on the corner of the Nevsky.
6694_70837_000062_000001	Under this stood a big armored automobile, with racing engine and oil-smoke pouring out of it.	Under this stood a big armored automobile, with racing engine and oil smoke pouring out of it.
6694_70837_000062_000002	A small boy had climbed up the side of the thing and was looking down the barrel of a machine gun.	A small boy had climbed up the side of the thing and was looking down the barrel of a machine gun.
6694_70837_000062_000003	Soldiers and sailors stood around, evidently waiting for something.	Soldiers and sailors stood around, evidently waiting for something.
6694_70837_000062_000004	We walked back up to the Red Arch, where a knot of soldiers was gathered staring at the brightly-lighted Winter Palace and talking in loud tones.	We walked back up to the Red Arch, where a knot of soldiers was gathered staring at the brightly lighted Winter Palace and talking in loud tones.
6694_70837_000063_000000	"No, comrades," one was saying.	"No, comrades," one was saying.
6694_70837_000063_000001	"How can we shoot at them?	"How can we shoot at them?
6694_70837_000063_000002	The Women's Battalion is in there--they will say we have fired on Russian women."	The Women's Battalion is in there-they will say we have fired on Russian women."
6694_70837_000064_000000	As we reached the Nevsky again another armoured car came around the corner, and a man poked his head out of the turret-top.	As we reached the Nevsky again another armoured car came around the corner, and a man poked his head out of the turret top.
6694_70837_000065_000000	"Come on!" he yelled.	"Come on!" he yelled.
6694_70837_000065_000001	"Let's go on through and attack!"	"Let's go on through and attack!"
6694_70837_000066_000000	The driver of the other car came over, and shouted so as to be heard above the roaring engine.	The driver of the other car came over, and shouted so as to be heard above the roaring engine.
6694_70837_000066_000001	"The Committee says to wait.	"The Committee says to wait.
6694_70837_000066_000002	They have got artillery behind the wood-piles in there...."	They have got artillery behind the wood piles in there...."
6694_70837_000067_000000	Here the street-cars had stopped running, few people passed, and there were no lights; but a few blocks away we could see the trams, the crowds, the lighted shop-windows and the electric signs of the moving-picture shows--life going on as usual.	Here the street cars had stopped running, few people passed, and there were no lights; but a few blocks away we could see the trams, the crowds, the lighted shop windows and the electric signs of the moving picture shows-life going on as usual.
6694_70837_000067_000001	We had tickets to the Ballet at the Marinsky Theatre--all theatres were open--but it was too exciting out of doors....	We had tickets to the Ballet at the Marinsky Theatre-all theatres were open-but it was too exciting out of doors....
6694_70837_000068_000001	Men in various uniforms were coming and going in an aimless way, and doing a great deal of talking....	Men in various uniforms were coming and going in an aimless way, and doing a great deal of talking....
6694_70837_000069_000000	Up the Nevsky the whole city seemed to be out promenading.	Up the Nevsky the whole city seemed to be out promenading.
6694_70837_000069_000003	At the Mikhailovsky a man appeared with an armful of newspapers, and was immediately stormed by frantic people, offering a rouble, five roubles, ten roubles, tearing at each other like animals.	At the Mikhailovsky a man appeared with an armful of newspapers, and was immediately stormed by frantic people, offering a rouble, five roubles, ten roubles, tearing at each other like animals.
6694_70837_000071_000000	On the corner of the Sadovaya about two thousand citizens had gathered, staring up at the roof of a tall building, where a tiny red spark glowed and waned.	On the corner of the Sadovaya about two thousand citizens had gathered, staring up at the roof of a tall building, where a tiny red spark glowed and waned.
6694_70837_000072_000000	"See!" said a tall peasant, pointing to it.	"See!" said a tall peasant, pointing to it.
6694_70837_000073_000000	The massive facade of Smolny blazed with lights as we drove up, and from every street converged upon it streams of hurrying shapes dim in the gloom.	The massive facade of Smolny blazed with lights as we drove up, and from every street converged upon it streams of hurrying shapes dim in the gloom.
6694_70837_000073_000001	Automobiles and motorcycles came and went; an enormous elephant-coloured armoured automobile, with two red flags flying from the turret, lumbered out with screaming siren.	Automobiles and motorcycles came and went; an enormous elephant coloured armoured automobile, with two red flags flying from the turret, lumbered out with screaming siren.
6694_70837_000073_000002	It was cold, and at the outer gate the Red Guards had built themselves a bon-fire.	It was cold, and at the outer gate the Red Guards had built themselves a bon fire.
6694_70837_000073_000003	At the inner gate, too, there was a blaze, by the light of which the sentries slowly spelled out our passes and looked us up and down. The canvas covers had been taken off the four rapid-fire guns on each side of the doorway, and the ammunition-belts hung snakelike from their breeches.	At the inner gate, too, there was a blaze, by the light of which the sentries slowly spelled out our passes and looked us up and down. The canvas covers had been taken off the four rapid fire guns on each side of the doorway, and the ammunition belts hung snakelike from their breeches.
6694_70837_000073_000004	A dun herd of armoured cars stood under the trees in the court-yard, engines going.	A dun herd of armoured cars stood under the trees in the court yard, engines going.
6694_70837_000073_000005	The long, bare, dimly-illuminated halls roared with the thunder of feet, calling, shouting....	The long, bare, dimly illuminated halls roared with the thunder of feet, calling, shouting....
6694_70837_000073_000006	There was an atmosphere of recklessness.	There was an atmosphere of recklessness.
6694_70837_000073_000008	The extraordinary meeting of the Petrograd Soviet was over.	The extraordinary meeting of the Petrograd Soviet was over.
6694_70837_000074_000000	The Petrograd Soviet of Workers' and Soldiers' Deputies, saluting the victorious Revolution of the Petrograd proletariat and garrison, particularly emphasises the unity, organisation, discipline, and complete cooperation shown by the masses in this rising; rarely has less blood been spilled, and rarely has an insurrection succeeded so well.	The Petrograd Soviet of Workers' and Soldiers' Deputies, saluting the victorious Revolution of the Petrograd proletariat and garrison, particularly emphasises the unity, organisation, discipline, and complete cooperation shown by the masses in this rising; rarely has less blood been spilled, and rarely has an insurrection succeeded so well.
6694_70837_000075_000000	The Soviet expresses its firm conviction that the Workers' and Peasants' Government which, as the government of the Soviets, will be created by the Revolution, and which will assure the industrial proletariat of the support of the entire mass of poor peasants, will march firmly toward Socialism, the only means by which the country can be spared the miseries and unheard-of horrors of war.	The Soviet expresses its firm conviction that the Workers' and Peasants' Government which, as the government of the Soviets, will be created by the Revolution, and which will assure the industrial proletariat of the support of the entire mass of poor peasants, will march firmly toward Socialism, the only means by which the country can be spared the miseries and unheard of horrors of war.
6694_70837_000076_000000	The new Workers' and Peasants' Government will propose immediately a just and democratic peace to all the belligerent countries.	The new Workers' and Peasants' Government will propose immediately a just and democratic peace to all the belligerent countries.
6694_70837_000077_000000	It will suppress immediately the great landed property, and transfer the land to the peasants.	It will suppress immediately the great landed property, and transfer the land to the peasants.
6694_70837_000077_000001	It will establish workmen's control over production and distribution of manufactured products, and will set up a general control over the banks, which it will transform into a state monopoly.	It will establish workmen's control over production and distribution of manufactured products, and will set up a general control over the banks, which it will transform into a state monopoly.
6694_70837_000078_000000	The Petrograd Soviet of Workers' and Soldiers' Deputies calls upon the workers and the peasants of Russia to support with all their energy and all their devotion the Proletarian Revolution.	The Petrograd Soviet of Workers' and Soldiers' Deputies calls upon the workers and the peasants of Russia to support with all their energy and all their devotion the Proletarian Revolution.
6694_70837_000078_000001	The Soviet expresses its conviction that the city workers, allies of the poor peasants, will assure complete revolutionary order, indispensable to the victory of Socialism.	The Soviet expresses its conviction that the city workers, allies of the poor peasants, will assure complete revolutionary order, indispensable to the victory of Socialism.
6694_70837_000078_000002	The Soviet is convinced that the proletariat of the countries of Western Europe will aid us in conducting the cause of Socialism to a real and lasting victory.	The Soviet is convinced that the proletariat of the countries of Western Europe will aid us in conducting the cause of Socialism to a real and lasting victory.
6694_70837_000079_000000	"You consider it won then?"	"You consider it won then?"
6694_70837_000080_000000	He lifted his shoulders.	He lifted his shoulders.
6694_70837_000080_000001	"There is much to do.	"There is much to do.
6694_70837_000080_000002	Horribly much.	Horribly much.
6694_70837_000080_000003	It is just beginning...."	It is just beginning...."
6694_70837_000081_000001	"It's insane!	"It's insane!
6694_70837_000081_000002	Insane!" he shouted.	Insane!" he shouted.
6694_70837_000081_000003	"The European working-class won't move!	"The European working class won't move!
6694_70837_000082_000000	It had been a momentous session.	It had been a momentous session.
6694_70837_000082_000001	In the name of the Military Revolutionary Committee Trotzky had declared that the Provisional Government no longer existed.	In the name of the Military Revolutionary Committee Trotzky had declared that the Provisional Government no longer existed.
6694_70837_000083_000000	"The characteristic of bourgeois governments," he said, "is to deceive the people.	"The characteristic of bourgeois governments," he said, "is to deceive the people.
6694_70837_000083_000001	We, the Soviets of Workers', Soldiers' and Peasants' Deputies, are going to try an experiment unique in history; we are going to found a power which will have no other aim but to satisfy the needs of the soldiers, workers, and peasants."	We, the Soviets of Workers', Soldiers' and Peasants' Deputies, are going to try an experiment unique in history; we are going to found a power which will have no other aim but to satisfy the needs of the soldiers, workers, and peasants."
6694_70837_000084_000001	And Zinoviev, crying, "This day we have paid our debt to the international proletariat, and struck a terrible blow at the war, a terrible body-blow at all the imperialists and particularly at Wilhelm the Executioner...."	And Zinoviev, crying, "This day we have paid our debt to the international proletariat, and struck a terrible blow at the war, a terrible body blow at all the imperialists and particularly at Wilhelm the Executioner...."
6694_70837_000085_000000	Then Trotzky, that telegrams had been sent to the front announcing the victorious insurrection, but no reply had come.	Then Trotzky, that telegrams had been sent to the front announcing the victorious insurrection, but no reply had come.
6694_70837_000085_000001	Troops were said to be marching against Petrograd--a delegation must be sent to tell them the truth.	Troops were said to be marching against Petrograd-a delegation must be sent to tell them the truth.
6694_70837_000086_000000	Cries, "You are anticipating the will of the All-Russian Congress of Soviets!"	Cries, "You are anticipating the will of the All Russian Congress of Soviets!"
6694_70837_000088_000000	So we came into the great meeting-hall, pushing through the clamorous mob at the door.	So we came into the great meeting hall, pushing through the clamorous mob at the door.
6694_70837_000088_000001	In the rows of seats, under the white chandeliers, packed immovably in the aisles and on the sides, perched on every window-sill, and even the edge of the platform, the representatives of the workers and soldiers of all Russia waited in anxious silence or wild exultation the ringing of the chairman's bell.	In the rows of seats, under the white chandeliers, packed immovably in the aisles and on the sides, perched on every window sill, and even the edge of the platform, the representatives of the workers and soldiers of all Russia waited in anxious silence or wild exultation the ringing of the chairman's bell.
6694_70837_000088_000002	There was no heat in the hall but the stifling heat of unwashed human bodies.	There was no heat in the hall but the stifling heat of unwashed human bodies.
6694_70837_000088_000003	A foul blue cloud of cigarette smoke rose from the mass and hung in the thick air.	A foul blue cloud of cigarette smoke rose from the mass and hung in the thick air.
6694_70837_000088_000004	Occasionally some one in authority mounted the tribune and asked the comrades not to smoke; then everybody, smokers and all, took up the cry "Don't smoke, comrades!" and went on smoking.	Occasionally some one in authority mounted the tribune and asked the comrades not to smoke; then everybody, smokers and all, took up the cry "Don't smoke, comrades!" and went on smoking.
6694_70837_000088_000005	Petrovsky, Anarchist delegate from the Obukhov factory, made a seat for me beside him.	Petrovsky, Anarchist delegate from the Obukhov factory, made a seat for me beside him.
6694_70837_000088_000006	Unshaven and filthy, he was reeling from three nights' sleepless work on the Military Revolutionary Committee.	Unshaven and filthy, he was reeling from three nights' sleepless work on the Military Revolutionary Committee.
6694_70837_000089_000001	It was the end of the first period of the Russian revolution, which these men had attempted to guide in careful ways....	It was the end of the first period of the Russian revolution, which these men had attempted to guide in careful ways....
6694_70837_000089_000003	Gotz sat there, Dan, Lieber, Bogdanov, Broido, Fillipovsky,--white-faced, hollow-eyed and indignant.	Gotz sat there, Dan, Lieber, Bogdanov, Broido, Fillipovsky,--white faced, hollow eyed and indignant.
6694_70837_000089_000005	It was 10.40 P. M.	It was ten forty p m
6694_70837_000090_000000	Dan, a mild-faced, baldish figure in a shapeless military surgeon's uniform, was ringing the bell.	Dan, a mild faced, baldish figure in a shapeless military surgeon's uniform, was ringing the bell.
6694_70837_000090_000001	Silence fell sharply, intense, broken by the scuffling and disputing of the people at the door....	Silence fell sharply, intense, broken by the scuffling and disputing of the people at the door....
6694_70837_000091_000000	"We have the power in our hands," he began sadly, stopped for a moment, and then went on in a low voice.	"We have the power in our hands," he began sadly, stopped for a moment, and then went on in a low voice.
6694_70837_000091_000001	"Comrades!	"Comrades!
6694_70837_000092_000000	"I declare the first session of the Second Congress of Soviets of Workers' and Soldiers' Deputies open!"	"I declare the first session of the Second Congress of Soviets of Workers' and Soldiers' Deputies open!"
