6694_70837_000000_000000	Behind us great Smolny, bright with lights, hummed like a gigantic hive....	Behind us great Smolny, bright with lights, hummed like a gigantic hive....	false	0	22.665	25.081934
6694_70837_000007_000000	FROM THE PETROGRAD MUNICIPAL DUMA:	FROM THE PETROGRAD MUNICIPAL DUMA:	true	85.25	87.73	25.278639
6694_70837_000008_000000	The Municipal Duma informs the citizens that in the extraordinary meeting of November 6th the Duma formed a Committee of Public Safety, composed of members of the Central and Ward Dumas, and representatives of the following revolutionary democratic organizations: The _Tsay-ee-kah,_ the All-Russian Executive Committee of Peasant Deputies, the Army organisations, the _Tsentroflot,_ the Petrograd Soviet of Workers' and Soldiers' Deputies (!), the Council of Trade Unions, and others.	The Municipal Duma informs the citizens that in the extraordinary meeting of november sixth the Duma formed a Committee of Public Safety, composed of members of the Central and Ward Dumas, and representatives of the following revolutionary democratic organizations: The underscore Tsay ee kah,underscore the All Russian Executive Committee of Peasant Deputies, the Army organisations, the underscore Tsentroflot,underscore the Petrograd Soviet of Workers' and Soldiers' Deputies (!), the Council of Trade Unions, and others.	false	88.4	118.57	23.440382
6694_70837_000009_000000	Members of the Committee of Public Safety will be on duty in the building of the Municipal Duma.	Members of the Committee of Public Safety will be on duty in the building of the Municipal Duma.	true	119.33	124.72	23.028553
6694_70837_000009_000001	Telephones No. 15-40, 223-77, 138-36.	Telephones no fifteen to forty, two hundred twenty three to seventy seven, one hundred thirty eight to thirty six.	false	124.94	131.2	25.646435
6694_70837_000010_000000	November 7th, 1917.	november seventh nineteen seventeen.	true	131.87	134.35	24.71685
6694_70837_000011_000000	Though I didn't realize it then, this was the Duma's declaration of war against the Bolsheviki.	Though I didn't realize it then, this was the Duma's declaration of war against the Bolsheviki.	true	135.86	141.97	21.959126
6694_70837_000012_000000	I bought a copy of _Rabotchi Put,_ the only newspaper which seemed on sale, and a little later paid a soldier fifty kopeks for a second-hand copy of _Dien._ The Bolshevik paper, printed on large-sized sheets in the conquered office of the _Russkaya Volia,_ had huge headlines: "ALL POWER--TO THE SOVIETS OF WORKERS, SOLDIERS AND PEASANTS!	I bought a copy of underscore Rabotchi Put,underscore the only newspaper which seemed on sale, and a little later paid a soldier fifty kopeks for a second-hand copy of underscore Dien.underscore The Bolshevik paper, printed on large sized sheets in the conquered office of the underscore Russkaya Volia,underscore had huge headlines: "ALL POWER-TO THE SOVIETS OF WORKERS, SOLDIERS AND PEASANTS!	false	144.05	166.66	23.781542
6694_70837_000012_000001	PEACE!	PEACE!	true	166.79	167.5	23.205387
6694_70837_000012_000002	BREAD!	BREAD!	true	167.63	168.49	20.478209
6694_70837_000012_000003	LAND!" The leading article was signed "Zinoviev,"--Lenin's companion in hiding.	LAND!" The leading article was signed "Zinoviev,"--Lenin's companion in hiding.	true	168.53	175.78	21.955503
6694_70837_000012_000004	It began:	It began:	true	176.39	177.34	31.710522
6694_70837_000013_000000	Every soldier, every worker, every real Socialist, every honest democrat realises that there are only two alternatives to the present situation.	Every soldier, every worker, every real Socialist, every honest democrat realises that there are only two alternatives to the present situation.	true	178.43	190.06	24.196526
6694_70837_000014_000000	Either--the power will remain in the hands of the bourgeois-landlord crew, and this will mean every kind of repression for the workers, soldiers and peasants, continuation of the war, inevitable hunger and death....	Either-the power will remain in the hands of the bourgeois landlord crew, and this will mean every kind of repression for the workers, soldiers and peasants, continuation of the war, inevitable hunger and death....	false	190.76	205.57	24.642843
6694_70837_000015_000000	Or--the power will be transferred to the hands of the revolutionary workers, soldiers and peasants; and in that case it will mean a complete abolition of landlord tyranny, immediate check of the capitalists, immediate proposal of a just peace.	Or-the power will be transferred to the hands of the revolutionary workers, soldiers and peasants; and in that case it will mean a complete abolition of landlord tyranny, immediate check of the capitalists, immediate proposal of a just peace.	true	206.03	222.28	23.843834
6694_70837_000015_000001	Then the land is assured to the peasants, then control of industry is assured to the workers, then bread is assured to the hungry, then the end of this nonsensical war!...	Then the land is assured to the peasants, then control of industry is assured to the workers, then bread is assured to the hungry, then the end of this nonsensical war!...	true	222.65	235.62	22.577246
6694_70837_000016_000000	_Dien_ contained fragmentary news of the agitated night.	underscore Dien underscore contained fragmentary news of the agitated night.	false	235.62	241.27	21.579508
6694_70837_000016_000001	Bolsheviki capture of the Telephone Exchange, the Baltic station, the Telegraph Agency; the Peterhof _yunkers_ unable to reach Petrograd; the Cossacks undecided; arrest of some of the Ministers; shooting of Chief of the City Militia Meyer; arrests, counter-arrests, skirmishes between clashing patrols of soldiers, _yunkers_ and Red Guards. (See App.	Bolsheviki capture of the Telephone Exchange, the Baltic station, the Telegraph Agency; the Peterhof underscore yunkers underscore unable to reach Petrograd; the Cossacks undecided; arrest of some of the Ministers; shooting of Chief of the City Militia Meyer; arrests, counter arrests, skirmishes between clashing patrols of soldiers, underscore yunkers underscore and Red Guards. (See App.	false	242.09	267.06	22.845356
6694_70837_000016_000002	IV, Sect. 1)	i v, Sect. one)	false	267.06	268.48	22.467718
6694_70837_000017_000000	On the corner of the Morskaya I ran into Captain Gomberg, Menshevik _oboronetz,_ secretary of the Military Section of his party.	On the corner of the Morskaya I ran into Captain Gomberg, Menshevik underscore oboronetz,underscore secretary of the Military Section of his party.	false	270.02	278.32	23.926271
6694_70837_000017_000001	When I asked him if the insurrection had really happened he shrugged his shoulders in a tired manner and replied, "_Tchort znayet!_ The devil knows!	When I asked him if the insurrection had really happened he shrugged his shoulders in a tired manner and replied, "underscore t chort znayet!underscore The devil knows!	false	278.96	288.51	22.827898
6694_70837_000017_000002	Well, perhaps the Bolsheviki can seize the power, but they won't be able to hold it more than three days.	Well, perhaps the Bolsheviki can seize the power, but they won't be able to hold it more than three days.	false	288.51	295.15	24.528042
6694_70837_000017_000003	They haven't the men to run a government.	They haven't the men to run a government.	true	295.46	297.58	25.068684
6694_70837_000017_000004	Perhaps it's a good thing to let them try--that will furnish them...."	Perhaps it's a good thing to let them try-that will furnish them...."	true	297.92	302.02	23.935822
6694_70837_000018_000000	The Military Hotel at the corner of St. Isaac's Square was picketed by armed sailors.	The Military Hotel at the corner of saint Isaac's Square was picketed by armed sailors.	true	303.11	308.86	25.540682
6694_70837_000018_000001	In the lobby were many of the smart young officers, walking up and down or muttering together; the sailors wouldn't let them leave....	In the lobby were many of the smart young officers, walking up and down or muttering together; the sailors wouldn't let them leave....	true	309.56	317.53	20.233982
6694_70837_000019_000000	Suddenly came the sharp crack of a rifle outside, followed by a scattered burst of firing.	Suddenly came the sharp crack of a rifle outside, followed by a scattered burst of firing.	true	318.26	323.86	25.325113
6694_70837_000019_000001	I ran out.	I ran out.	true	324.11	325.09	32.12871
6694_70837_000019_000002	Something unusual was going on around the Marinsky Palace, where the Council of the Russian Republic met.	Something unusual was going on around the Marinsky Palace, where the Council of the Russian Republic met.	true	325.16	330.88	22.826143
6694_70837_000019_000003	Diagonally across the wide square was drawn a line of soldiers, rifles ready, staring at the hotel roof.	Diagonally across the wide square was drawn a line of soldiers, rifles ready, staring at the hotel roof.	true	331.55	338.85	24.682648
6694_70837_000020_000000	"_Provacatzia!_ Shot at us!" snapped one, while another went running toward the door.	"underscore Provacatzia!underscore Shot at us!" snapped one, while another went running toward the door.	false	338.85	344.98	25.198156
6694_70837_000021_000000	At the western corner of the Palace lay a big armoured car with a red flag flying from it, newly lettered in red paint: "S.R.S.D." (_Soviet Rabotchikh Soldatskikh Deputatov_); all the guns trained toward St. Isaac's.	At the western corner of the Palace lay a big armoured car with a red flag flying from it, newly lettered in red paint: "s r s d" (underscore Soviet Rabotchikh Soldatskikh Deputatov underscore); all the guns trained toward saint Isaac's.	false	346.07	362.74	24.408173
6694_70837_000021_000001	A barricade had been heaped up across the mouth of Novaya Ulitza--boxes, barrels, an old bed-spring, a wagon.	A barricade had been heaped up across the mouth of Novaya Ulitza-boxes, barrels, an old bed spring, a wagon.	true	363.44	371.38	25.365322
6694_70837_000021_000002	A pile of lumber barred the end of the Moika quay.	A pile of lumber barred the end of the Moika quay.	false	372.11	376.47	15.6048975
6694_70837_000021_000003	Short logs from a neighbouring wood-pile were being built up along the front of the building to form breastworks....	Short logs from a neighbouring wood pile were being built up along the front of the building to form breastworks....	true	376.47	382.03	17
6694_70837_000022_000000	"Is there going to be any fighting?" I asked.	"Is there going to be any fighting?" I asked.	true	383	385.57	27.64484
6694_70837_000023_000000	"Soon, soon," answered a soldier, nervously.	"Soon, soon," answered a soldier, nervously.	true	386.3	389.56	27.264639
6694_70837_000023_000001	"Go away, comrade, you'll get hurt.	"Go away, comrade, you'll get hurt.	true	389.87	391.99	29.126202
6694_70837_000023_000002	They will come from that direction," pointing toward the Admiralty.	They will come from that direction," pointing toward the Admiralty.	true	392.18	395.65	24.463245
6694_70837_000024_000000	"Who will?"	"Who will?"	true	396.65	397.48	25.502956
6694_70837_000025_000000	"That I couldn't tell you, brother," he answered, and spat.	"That I couldn't tell you, brother," he answered, and spat.	true	398.03	401.47	26.162579
6694_70837_000026_000000	Before the door of the Palace was a crowd of soldiers and sailors.	Before the door of the Palace was a crowd of soldiers and sailors.	true	402.95	406.87	22
6694_70837_000026_000001	A sailor was telling of the end of the Council of the Russian Republic.	A sailor was telling of the end of the Council of the Russian Republic.	true	407.33	411.13	20.98765
6694_70837_000026_000002	"We walked in there," he said, "and filled all the doors with comrades.	"We walked in there," he said, "and filled all the doors with comrades.	true	411.92	416.98	20.94121
6694_70837_000026_000003	I went up to the counter-revolutionist Kornilovitz who sat in the president's chair.	I went up to the counter revolutionist Kornilovitz who sat in the president's chair.	true	417.41	422.5	23.787622
6694_70837_000026_000004	'No more Council,' I says.	'No more Council,' I says.	true	422.9	424.755	24.360874
6694_70837_000026_000005	'Run along home now!'"	'Run along home now!'"	true	424.755	426.28	19.326315
6694_70837_000027_000000	There was laughter.	There was laughter.	true	426.56	427.78	24.032772
6694_70837_000027_000001	By waving assorted papers I managed to get around to the door of the press gallery.	By waving assorted papers I managed to get around to the door of the press gallery.	true	428.39	433.24	21.701664
6694_70837_000027_000002	There an enormous smiling sailor stopped me, and when I showed my pass, just said, "If you were Saint Michael himself, comrade, you couldn't pass here!" Through the glass of the door I made out the distorted face and gesticulating arms of a French correspondent, locked in....	There an enormous smiling sailor stopped me, and when I showed my pass, just said, "If you were Saint Michael himself, comrade, you couldn't pass here!" Through the glass of the door I made out the distorted face and gesticulating arms of a French correspondent, locked in....	true	433.85	451.66	22.383434
6694_70837_000028_000000	Around in front stood a little, grey-moustached man in the uniform of a general, the centre of a knot of soldiers.	Around in front stood a little, grey moustached man in the uniform of a general, the centre of a knot of soldiers.	true	452.78	459.76	22.090977
6694_70837_000028_000001	He was very red in the face.	He was very red in the face.	true	460.01	462.31	20.822546
6694_70837_000029_000000	"I am General Alexeyev," he cried.	"I am General Alexeyev," he cried.	false	463.04	465.91	23.712385
6694_70837_000029_000001	"As your superior officer and as a member of the Council of the Republic I demand to be allowed to pass!"	"As your superior officer and as a member of the Council of the Republic I demand to be allowed to pass!"	true	466.4	472.57	22
6694_70837_000029_000002	The guard scratched his head, looking uneasily out of the corner of his eye; he beckoned to an approaching officer, who grew very agitated when he saw who it was and saluted before he realised what he was doing.	The guard scratched his head, looking uneasily out of the corner of his eye; he beckoned to an approaching officer, who grew very agitated when he saw who it was and saluted before he realised what he was doing.	true	473.48	485.73	21.64328
6694_70837_000030_000000	"_Vashe Vuisokoprevoskhoditelstvo_--your High Excellency--" he stammered, in the manner of the old regime, "Access to the Palace is strictly forbidden--I have no right--"	"underscore Vashe Vuisokoprevoskhoditelstvo underscore--your High Excellency-" he stammered, in the manner of the old regime, "Access to the Palace is strictly forbidden-I have no right-"	false	485.73	496.39	25.396616
6694_70837_000031_000000	An automobile came by, and I saw Gotz sitting inside, laughing apparently with great amusement.	An automobile came by, and I saw Gotz sitting inside, laughing apparently with great amusement.	true	497.21	502.84	22.862753
6694_70837_000031_000001	A few minutes later another, with armed soldiers on the front seat, full of arrested members of the Provisional Government.	A few minutes later another, with armed soldiers on the front seat, full of arrested members of the Provisional Government.	true	503.24	510.25	23.396267
6694_70837_000031_000002	Peters, Lettish member of the Military Revolutionary Committee, came hurrying across the Square.	Peters, Lettish member of the Military Revolutionary Committee, came hurrying across the Square.	true	510.89	516.22	24.908638
6694_70837_000032_000000	"I thought you bagged all those gentlemen last night," said I, pointing to them.	"I thought you bagged all those gentlemen last night," said I, pointing to them.	true	517.34	521.56	22.689127
6694_70837_000033_000000	"Oh," he answered, with the expression of a disappointed small boy. "The damn fools let most of them go again before we made up our minds...."	"Oh," he answered, with the expression of a disappointed small boy. "The damn fools let most of them go again before we made up our minds...."	true	522.38	531.67	23.272514
6694_70837_000034_000000	Down the Voskressensky Prospect a great mass of sailors were drawn up, and behind them came marching soldiers, as far as the eye could reach.	Down the Voskressensky Prospect a great mass of sailors were drawn up, and behind them came marching soldiers, as far as the eye could reach.	false	532.73	542.8	24.404997
6694_70837_000035_000000	We went toward the Winter Palace by way of the Admiralteisky.	We went toward the Winter Palace by way of the Admiralteisky.	true	544.31	547.78	25.686344
6694_70837_000035_000001	All the entrances to the Palace Square were closed by sentries, and a cordon of troops stretched clear across the western end, besieged by an uneasy throng of citizens.	All the entrances to the Palace Square were closed by sentries, and a cordon of troops stretched clear across the western end, besieged by an uneasy throng of citizens.	true	548.33	558.91	25.359373
6694_70837_000035_000002	Except for far-away soldiers who seemed to be carrying wood out of the Palace courtyard and piling it in front of the main gateway, everything was quiet.	Except for far away soldiers who seemed to be carrying wood out of the Palace courtyard and piling it in front of the main gateway, everything was quiet.	true	559.7	568.27	23.175781
6694_70837_000036_000000	We couldn't make out whether the sentries were pro-Government or pro-Soviet.	We couldn't make out whether the sentries were pro Government or pro Soviet.	true	569.9	574.6	24.392225
6694_70837_000036_000001	Our papers from Smolny had no effect, however, so we approached another part of the line with an important air and showed our American passports, saying "Official business!" and shouldered through.	Our papers from Smolny had no effect, however, so we approached another part of the line with an important air and showed our American passports, saying "Official business!" and shouldered through.	true	575.36	586.75	24.57825
6694_70837_000036_000002	At the door of the Palace the same old _shveitzari,_ in their brass-buttoned blue uniforms with the red-and-gold collars, politely took our coats and hats, and we went up-stairs.	At the door of the Palace the same old underscore shveitzari,underscore in their brass buttoned blue uniforms with the red and gold collars, politely took our coats and hats, and we went up stairs.	false	587.78	598.78	23.889778
6694_70837_000036_000003	In the dark, gloomy corridor, stripped of its tapestries, a few old attendants were lounging about, and in front of Kerensky's door a young officer paced up and down, gnawing his moustache.	In the dark, gloomy corridor, stripped of its tapestries, a few old attendants were lounging about, and in front of Kerensky's door a young officer paced up and down, gnawing his moustache.	true	599.36	611.56	23.427244
6694_70837_000036_000004	We asked if we could interview the Minister-president.	We asked if we could interview the Minister president.	true	612.2	615.19	21.822508
6694_70837_000036_000005	He bowed and clicked his heels.	He bowed and clicked his heels.	true	615.56	617.59	21.77437
6694_70837_000037_000000	"No, I am sorry," he replied in French.	"No, I am sorry," he replied in French.	true	618.14	621.22	25.629074
6694_70837_000037_000001	"Alexander Feodorvitch is extremely occupied just now...." He looked at us for a moment.	"Alexander Feodorvitch is extremely occupied just now...." He looked at us for a moment.	false	621.56	627.87	25.298552
6694_70837_000037_000002	"In fact, he is not here...."	"In fact, he is not here...."	true	627.87	629.71	24.784267
6694_70837_000038_000000	"Where is he?"	"Where is he?"	true	630.2	631.18	24.7521
6694_70837_000039_000000	"He has gone to the Front. (See App.	"He has gone to the Front. (See App.	true	631.58	634.02	24.810652
6694_70837_000039_000001	IV, Sect. 2) And do you know, there wasn't enough gasoline for his automobile.	i v, Sect. two) And do you know, there wasn't enough gasoline for his automobile.	false	634.02	639.58	26.337215
6694_70837_000039_000002	We had to send to the English Hospital and borrow some."	We had to send to the English Hospital and borrow some."	true	639.68	642.69	22
6694_70837_000040_000000	"Are the Ministers here?"	"Are the Ministers here?"	false	642.69	644.8	20.658583
6694_70837_000041_000000	"They are meeting in some room--I don't know where.'	"They are meeting in some room-I don't know where.'	true	645.11	648.04	23.972006
6694_70837_000042_000000	"Are the Bolsheviki coming?"	"Are the Bolsheviki coming?"	true	648.71	650.29	23.10504
6694_70837_000043_000000	"Of course.	"Of course.	true	650.69	651.495	24.227428
6694_70837_000043_000001	Certainly, they are coming.	Certainly, they are coming.	true	651.495	653.02	26.82261
6694_70837_000043_000002	I expect a telephone call every minute to say that they are coming.	I expect a telephone call every minute to say that they are coming.	true	653.09	656.44	25.634682
6694_70837_000043_000003	But we are ready.	But we are ready.	true	656.72	657.97	21.913805
6694_70837_000043_000004	We have _yunkers_ in the front of the Palace.	We have underscore yunkers underscore in the front of the Palace.	false	658.13	660.36	25.2352
6694_70837_000043_000005	Through that door there."	Through that door there."	false	660.36	662.17	27.2279
6694_70837_000044_000000	"Can we go in there?"	"Can we go in there?"	true	662.93	664.03	22.486242
6694_70837_000045_000000	"No. Certainly not.	"no Certainly not.	true	664.46	666.37	23.844702
6694_70837_000045_000001	It is not permitted." Abruptly he shook hands all around and walked away.	It is not permitted." Abruptly he shook hands all around and walked away.	true	666.38	672.61	24.182898
6694_70837_000045_000002	We turned to the forbidden door, set in a temporary partition dividing the hall and locked on the outside. On the other side were voices, and somebody laughing.	We turned to the forbidden door, set in a temporary partition dividing the hall and locked on the outside. On the other side were voices, and somebody laughing.	true	673.46	683.86	23.771387
6694_70837_000045_000003	Except for that the vast spaces of the old Palace were silent as the grave.	Except for that the vast spaces of the old Palace were silent as the grave.	true	684.53	689.59	22.884884
6694_70837_000045_000004	An old _shveitzar_ ran up.	An old underscore shveitzar underscore ran up.	false	690.08	691.9	21.483765
6694_70837_000045_000005	"No, _barin,_ you must not go in there."	"No, underscore barin,underscore you must not go in there."	false	692.3	694.72	23.267767
6694_70837_000046_000000	"Why is the door locked?"	"Why is the door locked?"	true	695.45	696.88	27.670809
6694_70837_000047_000000	"To keep the soldiers in," he answered.	"To keep the soldiers in," he answered.	true	697.25	700.18	22.396914
6694_70837_000047_000001	After a few minutes he said something about having a glass of tea and went back up the hall.	After a few minutes he said something about having a glass of tea and went back up the hall.	true	700.76	706.09	27.197641
6694_70837_000047_000002	We unlocked the door.	We unlocked the door.	true	706.64	708.01	30.637371
6694_70837_000048_000000	Just inside a couple of soldiers stood on guard, but they said nothing.	Just inside a couple of soldiers stood on guard, but they said nothing.	true	709.46	713.77	24.67145
6694_70837_000048_000001	At the end of the corridor was a large, ornate room with gilded cornices and enormous crystal lustres, and beyond it several smaller ones, wainscoted with dark wood.	At the end of the corridor was a large, ornate room with gilded cornices and enormous crystal lustres, and beyond it several smaller ones, wainscoted with dark wood.	false	714.38	725.86	23.593813
6694_70837_000048_000002	On both sides of the parquetted floor lay rows of dirty mattresses and blankets, upon which occasional soldiers were stretched out; everywhere was a litter of cigarette-butts, bits of bread, cloth, and empty bottles with expensive French labels.	On both sides of the parquetted floor lay rows of dirty mattresses and blankets, upon which occasional soldiers were stretched out; everywhere was a litter of cigarette butts, bits of bread, cloth, and empty bottles with expensive French labels.	true	726.59	743.59	24.352922
6694_70837_000048_000003	More and more soldiers, with the red shoulder-straps of the _yunker_-schools, moved about in a stale atmosphere of tobacco-smoke and unwashed humanity.	More and more soldiers, with the red shoulder straps of the underscore yunker underscore-schools, moved about in a stale atmosphere of tobacco smoke and unwashed humanity.	false	744.2	754.57	23.781277
6694_70837_000048_000004	One had a bottle of white Burgundy, evidently filched from the cellars of the Palace. They looked at us with astonishment as we marched past, through room after room, until at last we came out into a series of great state-salons, fronting their long and dirty windows on the Square. The walls were covered with huge canvases in massive gilt frames--historical battle-scenes....	One had a bottle of white Burgundy, evidently filched from the cellars of the Palace. They looked at us with astonishment as we marched past, through room after room, until at last we came out into a series of great state salons, fronting their long and dirty windows on the Square. The walls were covered with huge canvases in massive gilt frames-historical battle scenes....	true	755.21	781.44	22.90749
6694_70837_000048_000005	"12 October 1812" and "6 November 1812" and "16/28 August 1813." ...	"the twelfth of october eighteen twelve" and "the sixth of november eighteen twelve" and "sixteen twenty eighths august eighteen thirteen." ...	false	781.44	790.39	25.156721
6694_70837_000048_000006	One had a gash across the upper right hand corner.	One had a gash across the upper right hand corner.	true	791.3	794.38	22.587223
6694_70837_000049_000000	The place was all a huge barrack, and evidently had been for weeks, from the look of the floor and walls.	The place was all a huge barrack, and evidently had been for weeks, from the look of the floor and walls.	true	795.62	801.94	23.076187
6694_70837_000049_000001	Machine guns were mounted on window-sills, rifles stacked between the mattresses.	Machine guns were mounted on window sills, rifles stacked between the mattresses.	true	802.49	808	23.062252
6694_70837_000050_000000	As we were looking at the pictures an alcoholic breath assailed me from the region of my left ear, and a voice said in thick but fluent French, "I see, by the way you admire the paintings, that you are foreigners." He was a short, puffy man with a baldish head as he removed his cap.	As we were looking at the pictures an alcoholic breath assailed me from the region of my left ear, and a voice said in thick but fluent French, "I see, by the way you admire the paintings, that you are foreigners." He was a short, puffy man with a baldish head as he removed his cap.	false	809.12	829.41	25.132465
6694_70837_000051_000000	"Americans?	"Americans?	false	829.41	831.93	28.719788
6694_70837_000051_000001	Enchanted.	Enchanted.	true	831.93	833.11	24.890293
6694_70837_000051_000002	I am Stabs--Capitan Vladimir Artzibashev, absolutely at your service."	I am Stabs-Capitan Vladimir Artzibashev, absolutely at your service."	true	833.57	841.36	25.309362
6694_70837_000051_000003	It did not seem to occur to him that there was anything unusual in four strangers, one a woman, wandering through the defences of an army awaiting attack.	It did not seem to occur to him that there was anything unusual in four strangers, one a woman, wandering through the defences of an army awaiting attack.	true	842.39	851.8	25.128735
6694_70837_000051_000004	He began to complain of the state of Russia.	He began to complain of the state of Russia.	true	852.11	854.95	23.830715
6694_70837_000052_000000	"Not only these Bolsheviki," he said, "but the fine traditions of the Russian army are broken down.	"Not only these Bolsheviki," he said, "but the fine traditions of the Russian army are broken down.	true	855.68	863.08	23.458588
6694_70837_000052_000001	Look around you.	Look around you.	true	863.63	864.82	24.325441
6694_70837_000052_000002	These are all students in the officers' training schools.	These are all students in the officers' training schools.	false	865.4	868.87	26.12169
6694_70837_000052_000003	But are they gentlemen? Kerensky opened the officers' schools to the ranks, to any soldier who could pass an examination.	But are they gentlemen? Kerensky opened the officers' schools to the ranks, to any soldier who could pass an examination.	false	869.36	878.8	25.847153
6694_70837_000052_000004	Naturally there are many, many who are contaminated by the Revolution...."	Naturally there are many, many who are contaminated by the Revolution...."	true	879.26	884.2	22.340446
6694_70837_000053_000000	Without consequence he changed the subject.	Without consequence he changed the subject.	true	885.29	888.07	25.514462
6694_70837_000053_000001	"I am very anxious to go away from Russia.	"I am very anxious to go away from Russia.	true	888.92	891.97	24.043526
6694_70837_000053_000002	I have made up my mind to join the American army. Will you please go to your Consul and make arrangements?	I have made up my mind to join the American army. Will you please go to your Consul and make arrangements?	true	892.64	901.15	26.829605
6694_70837_000053_000003	I will give you my address." In spite of our protestations he wrote it on a piece of paper, and seemed to feel better at once.	I will give you my address." In spite of our protestations he wrote it on a piece of paper, and seemed to feel better at once.	true	901.22	909.73	26.502987
6694_70837_000053_000004	I have it still--"_Oranien-baumskaya Shkola Praporshtchikov 2nd, Staraya Peterhof._"	I have it still-"underscore Oranien baumskaya Shkola Praporshtchikov second, Staraya Peterhof.underscore"	false	910.22	918.54	25.9859
6694_70837_000054_000000	"We had a review this morning early," he went on, as he guided us through the rooms and explained everything.	"We had a review this morning early," he went on, as he guided us through the rooms and explained everything.	true	918.54	924.94	22.510506
6694_70837_000054_000001	"The Women's Battalion decided to remain loyal to the Government."	"The Women's Battalion decided to remain loyal to the Government."	true	925.25	929.53	25.996798
6694_70837_000055_000000	"Are the women soldiers in the Palace?"	"Are the women soldiers in the Palace?"	true	930.2	932.11	23.008648
6694_70837_000056_000000	"Yes, they are in the back rooms, where they won't be hurt if any trouble comes." He sighed.	"Yes, they are in the back rooms, where they won't be hurt if any trouble comes." He sighed.	true	932.72	941.89	24.152124
6694_70837_000056_000001	"It is a great responsibility," said he.	"It is a great responsibility," said he.	true	942.02	945.28	25.08857
6694_70837_000057_000000	For a while we stood at the window, looking down on the Square before the Palace, where three companies of long-coated _yunkers_ were drawn up under arms, being harangued by a tall, energetic-looking officer I recognised as Stankievitch, chief Military Commissar of the Provisional Government.	For a while we stood at the window, looking down on the Square before the Palace, where three companies of long coated underscore yunkers underscore were drawn up under arms, being harangued by a tall, energetic looking officer I recognised as Stankievitch, chief Military Commissar of the Provisional Government.	false	947	964.96	23.463556
6694_70837_000057_000001	After a few minutes two of the companies shouldered arms with a clash, barked three sharp shouts, and went swinging off across the Square, disappearing through the Red Arch into the quiet city.	After a few minutes two of the companies shouldered arms with a clash, barked three sharp shouts, and went swinging off across the Square, disappearing through the Red Arch into the quiet city.	true	965.63	977.89	24.978472
6694_70837_000058_000000	"They are going to capture the Telephone Exchange," said some one. Three cadets stood by us, and we fell into conversation.	"They are going to capture the Telephone Exchange," said some one. Three cadets stood by us, and we fell into conversation.	true	979.43	987.79	23.827757
6694_70837_000058_000001	They said they had entered the schools from the ranks, and gave their names--Robert Olev, Alexei Vasilienko and Erni Sachs, an Esthonian. But now they didn't want to be officers any more, because officers were very unpopular.	They said they had entered the schools from the ranks, and gave their names-Robert Olev, Alexei Vasilienko and Erni Sachs, an Esthonian. But now they didn't want to be officers any more, because officers were very unpopular.	false	988.28	1004.05	24.110115
6694_70837_000058_000002	They didn't seem to know what to do, as a matter of fact, and it was plain that they were not happy.	They didn't seem to know what to do, as a matter of fact, and it was plain that they were not happy.	true	1004.39	1009.48	22.981543
6694_70837_000059_000000	But soon they began to boast.	But soon they began to boast.	true	1010.27	1012.63	25.219063
6694_70837_000059_000001	"If the Bolsheviki come we shall show them how to fight.	"If the Bolsheviki come we shall show them how to fight.	true	1013.42	1017.25	22.372955
6694_70837_000059_000002	They do not dare to fight, they are cowards.	They do not dare to fight, they are cowards.	true	1017.5	1020.46	28.270613
