1944_159227_000000_000000	"I have been faithful for eleven years.	"I have been faithful for eleven years.	false	0	0.54	18
1944_159227_000023_000006	Bent on seeing the last of them, Tom and I took a short cut, and came out on the wide street down which so many troops marched that year; and, mounting some high steps, we watched for our man, as we already called him.	Bent on seeing the last of them, Tom and I took a short cut, and came out on the wide street down which so many troops marched that year; and, mounting some high steps, we watched for our man, as we already called him.	false	377.16	393.37	19.96287
1944_159227_000024_000000	As the inspiring music, the grand tramp, drew near, the old thrill went through the crowd, the old cheer broke out.	As the inspiring music, the grand tramp, drew near, the old thrill went through the crowd, the old cheer broke out.	true	394.37	404.17	20.481972
1944_159227_000024_000001	But it was a different scene now than in the first enthusiastic, hopeful days. Young men and ardent boys filled the ranks then, brave by instinct, burning with loyal zeal, and blissfully unconscious of all that lay before them.	But it was a different scene now than in the first enthusiastic, hopeful days. Young men and ardent boys filled the ranks then, brave by instinct, burning with loyal zeal, and blissfully unconscious of all that lay before them.	true	404.72	421.15	19
1944_159227_000024_000002	Now the blue coats were worn by mature men, some gray, all grave and resolute: husbands and fathers, with the memory of wives and children tugging at their heart-strings; homes left desolate behind them, and before them the grim certainty of danger, hardship, and perhaps the lifelong helplessness worse than death.	Now the blue coats were worn by mature men, some gray, all grave and resolute: husbands and fathers, with the memory of wives and children tugging at their heart strings; homes left desolate behind them, and before them the grim certainty of danger, hardship, and perhaps the lifelong helplessness worse than death.	false	421.73	448.81	18
1944_159227_000024_000003	Little of the glamour of romance about the war now: they saw it as it was, a long, hard task; and here were the men to do it well.	Little of the glamour of romance about the war now: they saw it as it was, a long, hard task; and here were the men to do it well.	true	449.75	461.11	18
1944_159227_000024_000004	Even the lookers-on were different now.	Even the lookers on were different now.	true	461.57	464.32	17
1944_159227_000024_000005	Once all was wild enthusiasm and glad uproar; now men's lips were set, and women's smileless as they cheered; fewer handkerchiefs whitened the air, for wet eyes needed them; and sudden lulls, almost solemn in their stillness, followed the acclamations of the crowd.	Once all was wild enthusiasm and glad uproar; now men's lips were set, and women's smileless as they cheered; fewer handkerchiefs whitened the air, for wet eyes needed them; and sudden lulls, almost solemn in their stillness, followed the acclamations of the crowd.	true	464.66	487.6	19.24523
1944_159227_000024_000006	All watched with quickened breath and brave souls that living wave, blue below, and bright with a steely glitter above, as it flowed down the street and away to distant battle-fields already stained with precious blood.	All watched with quickened breath and brave souls that living wave, blue below, and bright with a steely glitter above, as it flowed down the street and away to distant battle fields already stained with precious blood.	true	488.12	505.18	19
1944_159227_000025_000000	"There he is!	"There he is!	false	506.54	507.525	17.730347
1944_159227_000025_000001	The outside man, and tallest of the lot.	The outside man, and tallest of the lot.	true	507.525	510.73	18
1944_159227_000025_000002	Give him a cheer, auntie: he sees us, and remembers!" cried Tom, nearly tumbling off his perch, as he waved his hat, and pointed out Joe Collins.	Give him a cheer, auntie: he sees us, and remembers!" cried Tom, nearly tumbling off his perch, as he waved his hat, and pointed out Joe Collins.	false	510.98	522.55	20.903019
1944_159227_000026_000000	Yes, there he was, looking up, with a smile on his brave brown face, my little nosegay in his button-hole, a suspicious bulge in the pocket close by, and doubtless a comfortable quid in his mouth, to cheer the weary march.	Yes, there he was, looking up, with a smile on his brave brown face, my little nosegay in his button hole, a suspicious bulge in the pocket close by, and doubtless a comfortable quid in his mouth, to cheer the weary march.	true	523.43	540.52	19
1944_159227_000026_000001	How like an old friend he looked, though we had only met fifteen minutes ago; how glad we were to be there to smile back at him, and send him on his way feeling that, even in a strange city, there was some one to say, "God bless you, Joe!" We watched the tallest blue cap till it vanished, and then went home in a glow of patriotism,--Tom to long for his turn to come, I to sew vigorously on the gray gown the new nurse burned to wear as soon as possible, and both of us to think and speak often of poor Joe Collins and his Lucindy.	How like an old friend he looked, though we had only met fifteen minutes ago; how glad we were to be there to smile back at him, and send him on his way feeling that, even in a strange city, there was some one to say, "God bless you, Joe!" We watched the tallest blue cap till it vanished, and then went home in a glow of patriotism,--Tom to long for his turn to come, I to sew vigorously on the gray gown the new nurse burned to wear as soon as possible, and both of us to think and speak often of poor Joe Collins and his Lucindy.	true	540.98	584.35	20
1944_159227_000026_000002	All this happened long ago; but it is well to recall those stirring times,--to keep fresh the memory of sacrifices made for us by men like these; to see to it that the debt we owe them is honestly, gladly paid; and, while we decorate the graves of those who died, to remember also those who still live to deserve our grateful care.	All this happened long ago; but it is well to recall those stirring times,--to keep fresh the memory of sacrifices made for us by men like these; to see to it that the debt we owe them is honestly, gladly paid; and, while we decorate the graves of those who died, to remember also those who still live to deserve our grateful care.	false	585.23	617.88	20.5814
