920_681_000019_000000	Chapter VI.	Chapter six.
920_681_000028_000004	Alyosha, let me give you my blessing--a father's blessing."	Alyosha, let me give you my blessing-a father's blessing."
920_681_000029_000000	Alyosha rose, but Fyodor Pavlovitch had already changed his mind.	Alyosha rose, but Fyodor Pavlovitch had already changed his mind.
920_681_000030_000001	"I'll just make the sign of the cross over you, for now.	"I'll just make the sign of the cross over you, for now.
920_681_000030_000002	Sit still.	Sit still.
920_681_000030_000003	Now we've a treat for you, in your own line, too.	Now we've a treat for you, in your own line, too.
920_681_000030_000004	It'll make you laugh.	It'll make you laugh.
920_681_000030_000005	Balaam's ass has begun talking to us here--and how he talks!	Balaam's ass has begun talking to us here-and how he talks!
920_681_000030_000006	How he talks!"	How he talks!"
920_681_000031_000002	Not that he was shy or bashful.	Not that he was shy or bashful.
920_681_000031_000003	On the contrary, he was conceited and seemed to despise everybody.	On the contrary, he was conceited and seemed to despise everybody.
920_681_000032_000000	But we must pause to say a few words about him now.	But we must pause to say a few words about him now.
920_681_000032_000001	He was brought up by Grigory and Marfa, but the boy grew up "with no sense of gratitude," as Grigory expressed it; he was an unfriendly boy, and seemed to look at the world mistrustfully.	He was brought up by Grigory and Marfa, but the boy grew up "with no sense of gratitude," as Grigory expressed it; he was an unfriendly boy, and seemed to look at the world mistrustfully.
920_681_000032_000002	In his childhood he was very fond of hanging cats, and burying them with great ceremony.	In his childhood he was very fond of hanging cats, and burying them with great ceremony.
920_681_000032_000004	All this he did on the sly, with the greatest secrecy.	All this he did on the sly, with the greatest secrecy.
920_681_000032_000006	He shrank into a corner and sulked there for a week.	He shrank into a corner and sulked there for a week.
920_681_000032_000007	"He doesn't care for you or me, the monster," Grigory used to say to Marfa, "and he doesn't care for any one.	"He doesn't care for you or me, the monster," Grigory used to say to Marfa, "and he doesn't care for any one.
920_681_000032_000008	Are you a human being?" he said, addressing the boy directly.	Are you a human being?" he said, addressing the boy directly.
920_681_000032_000011	Grigory taught him to read and write, and when he was twelve years old, began teaching him the Scriptures.	Grigory taught him to read and write, and when he was twelve years old, began teaching him the Scriptures.
920_681_000032_000012	But this teaching came to nothing.	But this teaching came to nothing.
920_681_000032_000013	At the second or third lesson the boy suddenly grinned.	At the second or third lesson the boy suddenly grinned.
920_681_000033_000000	"What's that for?" asked Grigory, looking at him threateningly from under his spectacles.	"What's that for?" asked Grigory, looking at him threateningly from under his spectacles.
920_681_000034_000001	God created light on the first day, and the sun, moon, and stars on the fourth day.	God created light on the first day, and the sun, moon, and stars on the fourth day.
920_681_000034_000002	Where did the light come from on the first day?"	Where did the light come from on the first day?"
920_681_000035_000000	Grigory was thunderstruck.	Grigory was thunderstruck.
920_681_000035_000001	The boy looked sarcastically at his teacher. There was something positively condescending in his expression.	The boy looked sarcastically at his teacher. There was something positively condescending in his expression.
920_681_000035_000002	Grigory could not restrain himself.	Grigory could not restrain himself.
920_681_000035_000003	"I'll show you where!" he cried, and gave the boy a violent slap on the cheek.	"I'll show you where!" he cried, and gave the boy a violent slap on the cheek.
920_681_000035_000004	The boy took the slap without a word, but withdrew into his corner again for some days.	The boy took the slap without a word, but withdrew into his corner again for some days.
920_681_000035_000005	A week later he had his first attack of the disease to which he was subject all the rest of his life--epilepsy.	A week later he had his first attack of the disease to which he was subject all the rest of his life-epilepsy.
920_681_000035_000006	When Fyodor Pavlovitch heard of it, his attitude to the boy seemed changed at once.	When Fyodor Pavlovitch heard of it, his attitude to the boy seemed changed at once.
920_681_000035_000007	Till then he had taken no notice of him, though he never scolded him, and always gave him a copeck when he met him. Sometimes, when he was in good humor, he would send the boy something sweet from his table.	Till then he had taken no notice of him, though he never scolded him, and always gave him a copeck when he met him. Sometimes, when he was in good humor, he would send the boy something sweet from his table.
920_681_000035_000008	But as soon as he heard of his illness, he showed an active interest in him, sent for a doctor, and tried remedies, but the disease turned out to be incurable.	But as soon as he heard of his illness, he showed an active interest in him, sent for a doctor, and tried remedies, but the disease turned out to be incurable.
920_681_000035_000009	The fits occurred, on an average, once a month, but at various intervals.	The fits occurred, on an average, once a month, but at various intervals.
920_681_000035_000010	The fits varied too, in violence: some were light and some were very severe.	The fits varied too, in violence: some were light and some were very severe.
920_681_000035_000011	Fyodor Pavlovitch strictly forbade Grigory to use corporal punishment to the boy, and began allowing him to come upstairs to him.	Fyodor Pavlovitch strictly forbade Grigory to use corporal punishment to the boy, and began allowing him to come upstairs to him.
920_681_000035_000012	He forbade him to be taught anything whatever for a time, too.	He forbade him to be taught anything whatever for a time, too.
920_681_000035_000013	One day when the boy was about fifteen, Fyodor Pavlovitch noticed him lingering by the bookcase, and reading the titles through the glass.	One day when the boy was about fifteen, Fyodor Pavlovitch noticed him lingering by the bookcase, and reading the titles through the glass.
920_681_000035_000017	You shall be my librarian.	You shall be my librarian.
920_681_000036_000000	He read a little but didn't like it.	He read a little but didn't like it.
920_681_000036_000001	He did not once smile, and ended by frowning.	He did not once smile, and ended by frowning.
920_681_000037_000000	"Why?	"Why?
920_681_000037_000001	Isn't it funny?" asked Fyodor Pavlovitch.	Isn't it funny?" asked Fyodor Pavlovitch.
920_681_000038_000000	Smerdyakov did not speak.	Smerdyakov did not speak.
920_681_000039_000000	"Answer, stupid!"	"Answer, stupid!"
920_681_000040_000000	"It's all untrue," mumbled the boy, with a grin.	"It's all untrue," mumbled the boy, with a grin.
920_681_000041_000000	"Then go to the devil!	"Then go to the devil!
920_681_000041_000001	You have the soul of a lackey.	You have the soul of a lackey.
920_681_000041_000003	That's all true.	That's all true.
920_681_000041_000004	Read that."	Read that."
920_681_000042_000001	He thought it dull.	He thought it dull.
920_681_000042_000002	So the bookcase was closed again.	So the bookcase was closed again.
920_681_000043_000000	Shortly afterwards Marfa and Grigory reported to Fyodor Pavlovitch that Smerdyakov was gradually beginning to show an extraordinary fastidiousness.	Shortly afterwards Marfa and Grigory reported to Fyodor Pavlovitch that Smerdyakov was gradually beginning to show an extraordinary fastidiousness.
920_681_000043_000001	He would sit before his soup, take up his spoon and look into the soup, bend over it, examine it, take a spoonful and hold it to the light.	He would sit before his soup, take up his spoon and look into the soup, bend over it, examine it, take a spoonful and hold it to the light.
920_681_000044_000001	A beetle?" Grigory would ask.	A beetle?" Grigory would ask.
920_681_000045_000000	"A fly, perhaps," observed Marfa.	"A fly, perhaps," observed Marfa.
920_681_000046_000000	The squeamish youth never answered, but he did the same with his bread, his meat, and everything he ate.	The squeamish youth never answered, but he did the same with his bread, his meat, and everything he ate.
920_681_000046_000001	He would hold a piece on his fork to the light, scrutinize it microscopically, and only after long deliberation decide to put it in his mouth.	He would hold a piece on his fork to the light, scrutinize it microscopically, and only after long deliberation decide to put it in his mouth.
920_681_000047_000001	What fine gentlemen's airs!" Grigory muttered, looking at him.	What fine gentlemen's airs!" Grigory muttered, looking at him.
920_681_000048_000000	When Fyodor Pavlovitch heard of this development in Smerdyakov he determined to make him his cook, and sent him to Moscow to be trained.	When Fyodor Pavlovitch heard of this development in Smerdyakov he determined to make him his cook, and sent him to Moscow to be trained.
920_681_000048_000001	He spent some years there and came back remarkably changed in appearance.	He spent some years there and came back remarkably changed in appearance.
920_681_000048_000002	He looked extraordinarily old for his age.	He looked extraordinarily old for his age.
920_681_000048_000003	His face had grown wrinkled, yellow, and strangely emasculate.	His face had grown wrinkled, yellow, and strangely emasculate.
920_681_000048_000004	In character he seemed almost exactly the same as before he went away.	In character he seemed almost exactly the same as before he went away.
920_681_000048_000006	In Moscow, too, as we heard afterwards, he had always been silent.	In Moscow, too, as we heard afterwards, he had always been silent.
920_681_000048_000007	Moscow itself had little interest for him; he saw very little there, and took scarcely any notice of anything.	Moscow itself had little interest for him; he saw very little there, and took scarcely any notice of anything.
920_681_000048_000009	On the other hand, he came back to us from Moscow well dressed, in a clean coat and clean linen.	On the other hand, he came back to us from Moscow well dressed, in a clean coat and clean linen.
920_681_000048_000010	He brushed his clothes most scrupulously twice a day invariably, and was very fond of cleaning his smart calf boots with a special English polish, so that they shone like mirrors.	He brushed his clothes most scrupulously twice a day invariably, and was very fond of cleaning his smart calf boots with a special English polish, so that they shone like mirrors.
920_681_000048_000011	He turned out a first-rate cook.	He turned out a first rate cook.
920_681_000048_000012	Fyodor Pavlovitch paid him a salary, almost the whole of which Smerdyakov spent on clothes, pomade, perfumes, and such things.	Fyodor Pavlovitch paid him a salary, almost the whole of which Smerdyakov spent on clothes, pomade, perfumes, and such things.
920_681_000048_000013	But he seemed to have as much contempt for the female sex as for men; he was discreet, almost unapproachable, with them. Fyodor Pavlovitch began to regard him rather differently.	But he seemed to have as much contempt for the female sex as for men; he was discreet, almost unapproachable, with them. Fyodor Pavlovitch began to regard him rather differently.
920_681_000048_000014	His fits were becoming more frequent, and on the days he was ill Marfa cooked, which did not suit Fyodor Pavlovitch at all.	His fits were becoming more frequent, and on the days he was ill Marfa cooked, which did not suit Fyodor Pavlovitch at all.
920_681_000049_000000	"Why are your fits getting worse?" asked Fyodor Pavlovitch, looking askance at his new cook.	"Why are your fits getting worse?" asked Fyodor Pavlovitch, looking askance at his new cook.
920_681_000049_000001	"Would you like to get married?	"Would you like to get married?
920_681_000049_000002	Shall I find you a wife?"	Shall I find you a wife?"
920_681_000050_000000	But Smerdyakov turned pale with anger, and made no reply.	But Smerdyakov turned pale with anger, and made no reply.
920_681_000050_000001	Fyodor Pavlovitch left him with an impatient gesture.	Fyodor Pavlovitch left him with an impatient gesture.
920_681_000050_000002	The great thing was that he had absolute confidence in his honesty.	The great thing was that he had absolute confidence in his honesty.
920_681_000050_000003	It happened once, when Fyodor Pavlovitch was drunk, that he dropped in the muddy courtyard three hundred-rouble notes which he had only just received.	It happened once, when Fyodor Pavlovitch was drunk, that he dropped in the muddy courtyard three hundred rouble notes which he had only just received.
920_681_000050_000004	He only missed them next day, and was just hastening to search his pockets when he saw the notes lying on the table.	He only missed them next day, and was just hastening to search his pockets when he saw the notes lying on the table.
920_681_000050_000005	Where had they come from?	Where had they come from?
920_681_000050_000006	Smerdyakov had picked them up and brought them in the day before.	Smerdyakov had picked them up and brought them in the day before.
920_681_000051_000000	"Well, my lad, I've never met any one like you," Fyodor Pavlovitch said shortly, and gave him ten roubles.	"Well, my lad, I've never met any one like you," Fyodor Pavlovitch said shortly, and gave him ten roubles.
920_681_000051_000002	If it had occurred to any one to wonder at the time what the young man was interested in, and what was in his mind, it would have been impossible to tell by looking at him.	If it had occurred to any one to wonder at the time what the young man was interested in, and what was in his mind, it would have been impossible to tell by looking at him.
920_681_000051_000003	Yet he used sometimes to stop suddenly in the house, or even in the yard or street, and would stand still for ten minutes, lost in thought.	Yet he used sometimes to stop suddenly in the house, or even in the yard or street, and would stand still for ten minutes, lost in thought.
920_681_000051_000004	A physiognomist studying his face would have said that there was no thought in it, no reflection, but only a sort of contemplation.	A physiognomist studying his face would have said that there was no thought in it, no reflection, but only a sort of contemplation.
920_681_000051_000006	He stands, as it were, lost in thought.	He stands, as it were, lost in thought.
920_681_000051_000010	Those impressions are dear to him and no doubt he hoards them imperceptibly, and even unconsciously.	Those impressions are dear to him and no doubt he hoards them imperceptibly, and even unconsciously.
920_681_000051_000012	He may suddenly, after hoarding impressions for many years, abandon everything and go off to Jerusalem on a pilgrimage for his soul's salvation, or perhaps he will suddenly set fire to his native village, and perhaps do both.	He may suddenly, after hoarding impressions for many years, abandon everything and go off to Jerusalem on a pilgrimage for his soul's salvation, or perhaps he will suddenly set fire to his native village, and perhaps do both.
