8266_279363_000004_000000	Colonel Woodville had begun to swear.	Colonel Woodville had begun to swear.
8266_279363_000021_000002	Meanwhile he watched the combat with an eagerness fully equal to that of the old colonel.	Meanwhile he watched the combat with an eagerness fully equal to that of the old colonel.
8266_279363_000022_000000	The mighty crash of cannon and rifles together continued, but for a little while the smoke banked up in front so densely that the whole combat was hidden from them.	The mighty crash of cannon and rifles together continued, but for a little while the smoke banked up in front so densely that the whole combat was hidden from them.
8266_279363_000022_000001	Then a wind slowly rolled the smoke away. The figures of the men began to appear like shadowy tracery, and then emerged, distinct and separate from the haze.	Then a wind slowly rolled the smoke away. The figures of the men began to appear like shadowy tracery, and then emerged, distinct and separate from the haze.
8266_279363_000023_000000	"They are nearer now," said the Colonel.	"They are nearer now," said the Colonel.
8266_279363_000023_000002	But our batteries are raking them horribly.	But our batteries are raking them horribly.
8266_279363_000023_000003	Their men are falling by the scores and hundreds."	Their men are falling by the scores and hundreds."
8266_279363_000024_000000	Miss Woodville uttered a deep sigh and turned her face away.	Miss Woodville uttered a deep sigh and turned her face away.
8266_279363_000024_000001	But she looked again in a few moments.	But she looked again in a few moments.
8266_279363_000024_000002	The terrible spell was upon her, too.	The terrible spell was upon her, too.
8266_279363_000025_000000	Dick's nerves were quivering.	Dick's nerves were quivering.
8266_279363_000025_000001	His heart was with the assailants and theirs with the assailed, but he would not speak aloud against the hopes of Colonel Woodville and his daughter, since he was in their house, such as it was, and, in a measure, under their protection.	His heart was with the assailants and theirs with the assailed, but he would not speak aloud against the hopes of Colonel Woodville and his daughter, since he was in their house, such as it was, and, in a measure, under their protection.
8266_279363_000026_000000	"Their charge is splendid," continued the colonel, "and I hope Pemberton has made full use of the ground for defense!	"Their charge is splendid," continued the colonel, "and I hope Pemberton has made full use of the ground for defense!
8266_279363_000026_000001	He will need all the help he can get!	He will need all the help he can get!
8266_279363_000026_000002	Oh, to be out of the battle on such a day!	Oh, to be out of the battle on such a day!
8266_279363_000026_000003	The smoke is in the way again and I can see nothing.	The smoke is in the way again and I can see nothing.
8266_279363_000026_000004	Now it has passed and the enemy is still advancing, but our fire grows hotter and hotter!	Now it has passed and the enemy is still advancing, but our fire grows hotter and hotter!
8266_279363_000026_000006	They must go back!"	They must go back!"
8266_279363_000027_000000	Nevertheless the blue lines came steadily toward the Southern earthworks.	Nevertheless the blue lines came steadily toward the Southern earthworks.
8266_279363_000028_000001	Ah, you riflemen, your target is there!"	Ah, you riflemen, your target is there!"
8266_279363_000029_000001	Never flinching, the men of the west and northwest hurled themselves upon the powerful fortified positions.	Never flinching, the men of the west and northwest hurled themselves upon the powerful fortified positions.
8266_279363_000029_000002	Some reached shelves of the plateau almost at the mouths of the guns and hung there, their comrades falling dead or dying around them, but now the rebel yell began to swell along the vast line, and reached the ears of those in the ravine.	Some reached shelves of the plateau almost at the mouths of the guns and hung there, their comrades falling dead or dying around them, but now the rebel yell began to swell along the vast line, and reached the ears of those in the ravine.
8266_279363_000030_000000	"The omen of victory!" exclaimed the colonel exultantly.	"The omen of victory!" exclaimed the colonel exultantly.
8266_279363_000030_000001	"Our brave lads feel that they're about to triumph!	"Our brave lads feel that they're about to triumph!
8266_279363_000030_000002	Grant can't break through our line! Why doesn't he call off his men?	Grant can't break through our line! Why doesn't he call off his men?
8266_279363_000030_000003	It's slaughter!"	It's slaughter!"
8266_279363_000031_000000	Dick's heart sank.	Dick's heart sank.
8266_279363_000031_000001	He knew that the colonel's words were true.	He knew that the colonel's words were true.
8266_279363_000031_000002	The Southern army, posted in its defenses, was breaking the ring of steel that sought to crush it to death.	The Southern army, posted in its defenses, was breaking the ring of steel that sought to crush it to death.
8266_279363_000031_000003	Groups of men in blue who had seized ground in the very front of the defenses either died there or were gradually driven back.	Groups of men in blue who had seized ground in the very front of the defenses either died there or were gradually driven back.
8266_279363_000031_000004	The inner ring along its front of miles thundered incessantly on the outer ring, and repelled every attempt to crush it.	The inner ring along its front of miles thundered incessantly on the outer ring, and repelled every attempt to crush it.
8266_279363_000032_000000	"They yield," said the colonel, after a long time.	"They yield," said the colonel, after a long time.
8266_279363_000032_000001	"The Northern fire has sunk at many points, and there! and there!	"The Northern fire has sunk at many points, and there! and there!
8266_279363_000032_000002	they're retreating!	they're retreating!
8266_279363_000032_000003	The attack has failed and the South has won a victory!"	The attack has failed and the South has won a victory!"
8266_279363_000033_000000	"But Grant will come again," said Dick, speaking his opinion for the first time.	"But Grant will come again," said Dick, speaking his opinion for the first time.
8266_279363_000034_000000	"No doubt of it," said Colonel Woodville, "but likely he will come to the same fate."	"No doubt of it," said Colonel Woodville, "but likely he will come to the same fate."
8266_279363_000035_000000	He spoke wholly without animosity.	He spoke wholly without animosity.
8266_279363_000035_000001	The battle now died fast.	The battle now died fast.
8266_279363_000035_000002	The men in gray had been invincible.	The men in gray had been invincible.
8266_279363_000035_000004	Many thousands had fallen and the Southern generals were exultant.	Many thousands had fallen and the Southern generals were exultant.
8266_279363_000035_000005	Johnston would come up, and Grant, having such heavy losses, would be unable to withstand the united Confederate armies.	Johnston would come up, and Grant, having such heavy losses, would be unable to withstand the united Confederate armies.
8266_279363_000037_000000	When the last cannon shot echoed over the far hills Colonel Woodville turned away from the door of his hillside home.	When the last cannon shot echoed over the far hills Colonel Woodville turned away from the door of his hillside home.
8266_279363_000038_000001	"What I have seen rejoices me greatly, but I do not say it to taunt you.	"What I have seen rejoices me greatly, but I do not say it to taunt you.
8266_279363_000039_000000	"May I help you back to your bed, sir?" asked Dick.	"May I help you back to your bed, sir?" asked Dick.
8266_279363_000040_000000	"You may.	"You may.
8266_279363_000040_000001	You are a good young man.	You are a good young man.
8266_279363_000040_000002	I'm glad I saved you from that scoundrel, Slade.	I'm glad I saved you from that scoundrel, Slade.
8266_279363_000040_000003	As the score between us is even I wish that you were out of Vicksburg and with your own people."	As the score between us is even I wish that you were out of Vicksburg and with your own people."
8266_279363_000041_000000	"I was thinking, too, sir, that I ought to go.	"I was thinking, too, sir, that I ought to go.
8266_279363_000041_000001	I may take a quick departure."	I may take a quick departure."
8266_279363_000042_000000	"Then if you do go I wish you a speedy and safe journey, but I tell you to beware of one, Slade, who has a malicious heart and a long memory."	"Then if you do go I wish you a speedy and safe journey, but I tell you to beware of one, Slade, who has a malicious heart and a long memory."
8266_279363_000043_000000	Dick withdrew to his own cell, as he called it, and he passed bitter hours there.	Dick withdrew to his own cell, as he called it, and he passed bitter hours there.
8266_279363_000043_000001	The repulse had struck him a hard blow.	The repulse had struck him a hard blow.
8266_279363_000043_000002	Was it possible that Grant could not win?	Was it possible that Grant could not win?
8266_279363_000043_000003	And if he could not win what terrible risks he would run in the heart of the Confederacy, with perhaps two armies to fight!	And if he could not win what terrible risks he would run in the heart of the Confederacy, with perhaps two armies to fight!
8266_279363_000043_000004	He felt that only the Mississippi, that life-line connecting him with the North, could save him.	He felt that only the Mississippi, that life line connecting him with the North, could save him.
8266_279363_000044_000000	But as dusk came gradually in the ravine he resolved that he would go. His supper, as usual, was brought to him by Miss Woodville.	But as dusk came gradually in the ravine he resolved that he would go. His supper, as usual, was brought to him by Miss Woodville.
8266_279363_000044_000001	She was as taciturn as ever, speaking scarcely a half-dozen words.	She was as taciturn as ever, speaking scarcely a half dozen words.
8266_279363_000045_000000	Dick was confident that nobody but Colonel Woodville, his daughter, and himself were in the cave-home.	Dick was confident that nobody but Colonel Woodville, his daughter, and himself were in the cave home.
8266_279363_000045_000001	It was but a small place, and new callous places on her hands indicated that she was doing the cooking and all other work.	It was but a small place, and new callous places on her hands indicated that she was doing the cooking and all other work.
8266_279363_000045_000002	His resolve to risk everything and go was strengthened.	His resolve to risk everything and go was strengthened.
8266_279363_000046_000002	He had surrendered his holster and pistols to Colonel Woodville, and so he must issue forth unarmed, but it could not be helped.	He had surrendered his holster and pistols to Colonel Woodville, and so he must issue forth unarmed, but it could not be helped.
8266_279363_000046_000003	He had several ten dollar gold pieces in his pocket, and he put one of them on the tiny table in his cell.	He had several ten dollar gold pieces in his pocket, and he put one of them on the tiny table in his cell.
8266_279363_000046_000004	He knew that it would be most welcome, and he could not calculate how many hundreds in Confederacy currency it was worth.	He knew that it would be most welcome, and he could not calculate how many hundreds in Confederacy currency it was worth.
8266_279363_000046_000005	He was glad that he could repay a little at least.	He was glad that he could repay a little at least.
8266_279363_000047_000000	Then he stepped lightly toward the larger chamber in which Colonel Woodville lay.	Then he stepped lightly toward the larger chamber in which Colonel Woodville lay.
8266_279363_000047_000001	The usual candle was burning on the table near his bed, but the great bald head lay motionless on the pillow, and the heavy white eyebrows drooped over closed lids.	The usual candle was burning on the table near his bed, but the great bald head lay motionless on the pillow, and the heavy white eyebrows drooped over closed lids.
8266_279363_000047_000002	Sound asleep!	Sound asleep!
8266_279363_000047_000003	Dick was glad of it.	Dick was glad of it.
8266_279363_000047_000004	The colonel, with his strong loyalty to the South, might seek to hold him, at least as his personal prisoner, and now the trouble was avoided.	The colonel, with his strong loyalty to the South, might seek to hold him, at least as his personal prisoner, and now the trouble was avoided.
8266_279363_000048_000000	He moved gently across the floor, and then passed toward the open door. How good that puff of fresh air and freedom felt on his face!	He moved gently across the floor, and then passed toward the open door. How good that puff of fresh air and freedom felt on his face!
8266_279363_000048_000001	He did not know that Colonel Woodville raised his head on the pillow, glanced after him, and then let his head sink back and his eyes close again.	He did not know that Colonel Woodville raised his head on the pillow, glanced after him, and then let his head sink back and his eyes close again.
8266_279363_000049_000000	Dick stepped into the narrow path cut in the side of the ravine and inhaled more draughts of the fresh air.	Dick stepped into the narrow path cut in the side of the ravine and inhaled more draughts of the fresh air.
8266_279363_000049_000001	How sweet and strong it was!	How sweet and strong it was!
8266_279363_000049_000002	How it filled one's lungs and brought with it life, courage and confidence! One had to live in a hole in a hill before he could appreciate fully the blessed winds that blew about the world.	How it filled one's lungs and brought with it life, courage and confidence! One had to live in a hole in a hill before he could appreciate fully the blessed winds that blew about the world.
8266_279363_000049_000003	He knew that the path ran in front of other hollows dug in the earth, and he felt sorry for the people who were compelled to burrow in them.	He knew that the path ran in front of other hollows dug in the earth, and he felt sorry for the people who were compelled to burrow in them.
8266_279363_000049_000004	He felt sorry, in truth, for all Vicksburg, because now that he was outside his fears for Grant disappeared, and he knew that he must win.	He felt sorry, in truth, for all Vicksburg, because now that he was outside his fears for Grant disappeared, and he knew that he must win.
8266_279363_000050_000000	While he remained in the path a deep boom came from the direction of the Union army and a huge shell burst over the town.	While he remained in the path a deep boom came from the direction of the Union army and a huge shell burst over the town.
8266_279363_000050_000001	It was followed in a moment by another and then by many others.	It was followed in a moment by another and then by many others.
8266_279363_000050_000002	While the besieged rejoiced in victory the besiegers had begun anew the terrible bombardment, sending a warning that the iron ring still held.	While the besieged rejoiced in victory the besiegers had begun anew the terrible bombardment, sending a warning that the iron ring still held.
8266_279363_000051_000000	Dick paused no longer, but ran rapidly along the path until he emerged upon the open plateau and proceeded toward the center of the town.	Dick paused no longer, but ran rapidly along the path until he emerged upon the open plateau and proceeded toward the center of the town.
8266_279363_000051_000001	He judged that in the hours following a great battle, while there was yet much confusion, he would find his best chance.	He judged that in the hours following a great battle, while there was yet much confusion, he would find his best chance.
8266_279363_000052_000000	He had reckoned rightly.	He had reckoned rightly.
8266_279363_000052_000001	There was a great passing to and fro in Vicksburg, but its lights were dim.	There was a great passing to and fro in Vicksburg, but its lights were dim.
8266_279363_000053_000000	He had concluded that "the longest way around was the shortest way through," and he directed his steps toward the river.	He had concluded that "the longest way around was the shortest way through," and he directed his steps toward the river.
8266_279363_000053_000001	He had formed a clear plan at last, and he believed that it would succeed.	He had formed a clear plan at last, and he believed that it would succeed.
8266_279363_000053_000002	Twisting and turning, always keeping in the shadows, he made good progress, descended the bluff, and at last stood behind the ruins of an old warehouse near the stream.	Twisting and turning, always keeping in the shadows, he made good progress, descended the bluff, and at last stood behind the ruins of an old warehouse near the stream.
8266_279363_000054_000000	Southern batteries were not far away from him and he heard the men talking.	Southern batteries were not far away from him and he heard the men talking.
8266_279363_000054_000001	Then, strengthening his resolution, he came from behind the ruins, flung himself almost flat on the ground, and crawled toward the river, pushing in front of him a board, which some Northern gun had shot from the warehouse.	Then, strengthening his resolution, he came from behind the ruins, flung himself almost flat on the ground, and crawled toward the river, pushing in front of him a board, which some Northern gun had shot from the warehouse.
8266_279363_000055_000000	He knew that his task was difficult and dangerous, though in the last resort he could rush to the water and spring in.	He knew that his task was difficult and dangerous, though in the last resort he could rush to the water and spring in.
8266_279363_000055_000001	But he was almost at the edge before any sentinel saw the black shadow passing over the ground.	But he was almost at the edge before any sentinel saw the black shadow passing over the ground.
8266_279363_000056_000000	A hail came, and Dick flattened himself against the ground and lay perfectly still.	A hail came, and Dick flattened himself against the ground and lay perfectly still.
8266_279363_000056_000001	Evidently the sentinel was satisfied that his fancy had been making merry with him, as he did not look further at the shadow, and Dick, after waiting two or three minutes, resumed his slow creeping.	Evidently the sentinel was satisfied that his fancy had been making merry with him, as he did not look further at the shadow, and Dick, after waiting two or three minutes, resumed his slow creeping.
8266_279363_000057_000000	He reached the edge, shoved the board into it, and dropped gently into the water beside it, submerged to the head.	He reached the edge, shoved the board into it, and dropped gently into the water beside it, submerged to the head.
