4495_10160_000000_000000	Few men of forty would have resisted her at that moment.	Few men of forty would have resisted her at that moment.	false	0.81	5.28	20.481098
4495_10160_000006_000003	Mrs. Marrable gave up the drawing-room to be laid waste for a stage and a theater.	mrs Marrable gave up the drawing room to be laid waste for a stage and a theater.	true	74.75	79.63	15
4495_10160_000006_000004	Mr. Marrable secured the services of a respectable professional person to drill the young ladies and gentlemen, and to accept all the other responsibilities incidental to creating a dramatic world out of a domestic chaos.	mr Marrable secured the services of a respectable professional person to drill the young ladies and gentlemen, and to accept all the other responsibilities incidental to creating a dramatic world out of a domestic chaos.	true	79.88	95.23	18
4495_10160_000006_000005	Having further accustomed themselves to the breaking of furniture and the staining of walls--to thumping, tumbling, hammering, and screaming; to doors always banging, and to footsteps perpetually running up and down stairs--the nominal master and mistress of the house fondly believed that their chief troubles were over.	Having further accustomed themselves to the breaking of furniture and the staining of walls-to thumping, tumbling, hammering, and screaming; to doors always banging, and to footsteps perpetually running up and down stairs-the nominal master and mistress of the house fondly believed that their chief troubles were over.	false	95.72	116.55	18
4495_10160_000006_000006	Innocent and fatal delusion!	Innocent and fatal delusion!	false	116.55	119.32	17.624731
4495_10160_000006_000007	It is one thing in private society to set up the stage and choose the play--it is another thing altogether to find the actors.	It is one thing in private society to set up the stage and choose the play-it is another thing altogether to find the actors.	true	119.84	127.81	17
4495_10160_000006_000008	Hitherto, only the small preliminary annoyances proper to the occasion had shown themselves at Evergreen Lodge.	Hitherto, only the small preliminary annoyances proper to the occasion had shown themselves at Evergreen Lodge.	false	128.63	136.57	17
4495_10160_000006_000009	The sound and serious troubles were all to come.	The sound and serious troubles were all to come.	true	136.58	139.66	19
4495_10160_000007_000000	"The Rivals" having been chosen as the play, Miss Marrable, as a matter of course, appropriated to herself the part of "Lydia Languish." One of her favored swains next secured "Captain Absolute," and another laid violent hands on "Sir Lucius O'Trigger." These two were followed by an accommodating spinster relative, who accepted the heavy dramatic responsibility of "Mrs. Malaprop"--and there the theatrical proceedings came to a pause.	"The Rivals" having been chosen as the play, Miss Marrable, as a matter of course, appropriated to herself the part of "Lydia Languish." One of her favored swains next secured "Captain Absolute," and another laid violent hands on "Sir Lucius O'Trigger." These two were followed by an accommodating spinster relative, who accepted the heavy dramatic responsibility of "mrs Malaprop"--and there the theatrical proceedings came to a pause.	false	141.32	175.27	18.24487
4495_10160_000007_000001	Nine more speaking characters were left to be fitted with representatives; and with that unavoidable necessity the serious troubles began.	Nine more speaking characters were left to be fitted with representatives; and with that unavoidable necessity the serious troubles began.	false	175.37	185.08	19.341614
4495_10160_000008_000000	All the friends of the family suddenly became unreliable people, for the first time in their lives.	All the friends of the family suddenly became unreliable people, for the first time in their lives.	true	185.9	192.64	18.244898
4495_10160_000008_000001	After encouraging the idea of the play, they declined the personal sacrifice of acting in it--or, they accepted characters, and then broke down in the effort to study them--or they volunteered to take the parts which they knew were already engaged, and declined the parts which were waiting to be acted--or they were afflicted with weak constitutions, and mischievously fell ill when they were wanted at rehearsal--or they had Puritan relatives in the background, and, after slipping into their parts cheerfully at the week's beginning, oozed out of them penitently, under serious family pressure, at the week's end.	After encouraging the idea of the play, they declined the personal sacrifice of acting in it-or, they accepted characters, and then broke down in the effort to study them-or they volunteered to take the parts which they knew were already engaged, and declined the parts which were waiting to be acted-or they were afflicted with weak constitutions, and mischievously fell ill when they were wanted at rehearsal-or they had Puritan relatives in the background, and, after slipping into their parts cheerfully at the week's beginning, oozed out of them penitently, under serious family pressure, at the week's end.	false	192.65	235.33	19.935778
4495_10160_000008_000002	Meanwhile, the carpenters hammered and the scenes rose.	Meanwhile, the carpenters hammered and the scenes rose.	true	235.43	238.84	16.577795
4495_10160_000008_000003	Miss Marrable, whose temperament was sensitive, became hysterical under the strain of perpetual anxiety; the family doctor declined to answer for the nervous consequences if something was not done.	Miss Marrable, whose temperament was sensitive, became hysterical under the strain of perpetual anxiety; the family doctor declined to answer for the nervous consequences if something was not done.	true	238.85	251.26	17
4495_10160_000008_000004	Renewed efforts were made in every direction.	Renewed efforts were made in every direction.	true	251.51	254.41	20
4495_10160_000008_000005	Actors and actresses were sought with a desperate disregard of all considerations of personal fitness.	Actors and actresses were sought with a desperate disregard of all considerations of personal fitness.	true	254.51	261.58	19
4495_10160_000008_000006	Necessity, which knows no law, either in the drama or out of it, accepted a lad of eighteen as the representative of "Sir Anthony Absolute"; the stage-manager undertaking to supply the necessary wrinkles from the illimitable resources of theatrical art.	Necessity, which knows no law, either in the drama or out of it, accepted a lad of eighteen as the representative of "Sir Anthony Absolute"; the stage manager undertaking to supply the necessary wrinkles from the illimitable resources of theatrical art.	true	261.92	280.23	16
4495_10160_000008_000007	A lady whose age was unknown, and whose personal appearance was stout--but whose heart was in the right place--volunteered to act the part of the sentimental "Julia," and brought with her the dramatic qualification of habitually wearing a wig in private life.	A lady whose age was unknown, and whose personal appearance was stout-but whose heart was in the right place-volunteered to act the part of the sentimental "Julia," and brought with her the dramatic qualification of habitually wearing a wig in private life.	false	280.23	297.58	19
4495_10160_000008_000008	Thanks to these vigorous measures, the play was at last supplied with representatives--always excepting the two unmanageable characters of "Lucy" the waiting-maid, and "Falkland," Julia's jealous lover.	Thanks to these vigorous measures, the play was at last supplied with representatives-always excepting the two unmanageable characters of "Lucy" the waiting maid, and "Falkland," Julia's jealous lover.	true	297.92	313.06	19.365473
4495_10160_000008_000009	Gentlemen came; saw Julia at rehearsal; observed her stoutness and her wig; omitted to notice that her heart was in the right place; quailed at the prospect, apologized, and retired.	Gentlemen came; saw Julia at rehearsal; observed her stoutness and her wig; omitted to notice that her heart was in the right place; quailed at the prospect, apologized, and retired.	true	313.19	325.78	18.975172
4495_10160_000008_000010	Ladies read the part of "Lucy"; remarked that she appeared to great advantage in the first half of the play, and faded out of it altogether in the latter half; objected to pass from the notice of the audience in that manner, when all the rest had a chance of distinguishing themselves to the end; shut up the book, apologized, and retired.	Ladies read the part of "Lucy"; remarked that she appeared to great advantage in the first half of the play, and faded out of it altogether in the latter half; objected to pass from the notice of the audience in that manner, when all the rest had a chance of distinguishing themselves to the end; shut up the book, apologized, and retired.	false	326.18	348.88	18.89954
4495_10160_000008_000011	In eight days more the night of performance would arrive; a phalanx of social martyrs two hundred strong had been convened to witness it; three full rehearsals were absolutely necessary; and two characters in the play were not filled yet.	In eight days more the night of performance would arrive; a phalanx of social martyrs two hundred strong had been convened to witness it; three full rehearsals were absolutely necessary; and two characters in the play were not filled yet.	false	349.13	366	18.887709
4495_10160_000008_000012	With this lamentable story, and with the humblest apologies for presuming on a slight acquaintance, the Marrables appeared at Combe-Raven, to appeal to the young ladies for a "Lucy," and to the universe for a "Falkland," with the mendicant pertinacity of a family in despair.	With this lamentable story, and with the humblest apologies for presuming on a slight acquaintance, the Marrables appeared at Combe Raven, to appeal to the young ladies for a "Lucy," and to the universe for a "Falkland," with the mendicant pertinacity of a family in despair.	true	366	387.67	19.2312
4495_10160_000009_000000	This statement of circumstances--addressed to an audience which included a father of Mr. Vanstone's disposition, and a daughter of Magdalen's temperament--produced the result which might have been anticipated from the first.	This statement of circumstances-addressed to an audience which included a father of mr Vanstone's disposition, and a daughter of Magdalen's temperament-produced the result which might have been anticipated from the first.	true	389.21	404.44	18
4495_10160_000010_000000	Either misinterpreting, or disregarding, the ominous silence preserved by his wife and Miss Garth, Mr. Vanstone not only gave Magdalen permission to assist the forlorn dramatic company, but accepted an invitation to witness the performance for Norah and himself.	Either misinterpreting, or disregarding, the ominous silence preserved by his wife and Miss Garth, mr Vanstone not only gave Magdalen permission to assist the forlorn dramatic company, but accepted an invitation to witness the performance for Norah and himself.	true	404.57	421.6	16
4495_10160_000010_000001	Mrs. Vanstone declined accompanying them on account of her health; and Miss Garth only engaged to make one among the audience conditionally on not being wanted at home.	mrs Vanstone declined accompanying them on account of her health; and Miss Garth only engaged to make one among the audience conditionally on not being wanted at home.	true	422.09	433.03	17
4495_10160_000010_000002	The "parts" of "Lucy" and "Falkland" (which the distressed family carried about with them everywhere, like incidental maladies) were handed to their representatives on the spot.	The "parts" of "Lucy" and "Falkland" (which the distressed family carried about with them everywhere, like incidental maladies) were handed to their representatives on the spot.	false	433.1	445.39	19
4495_10160_000010_000003	Frank's faint remonstrances were rejected without a hearing; the days and hours of rehearsal were carefully noted down on the covers of the parts; and the Marrables took their leave, with a perfect explosion of thanks--father, mother, and daughter sowing their expressions of gratitude broadcast, from the drawing-room door to the garden-gates.	Frank's faint remonstrances were rejected without a hearing; the days and hours of rehearsal were carefully noted down on the covers of the parts; and the Marrables took their leave, with a perfect explosion of thanks-father, mother, and daughter sowing their expressions of gratitude broadcast, from the drawing room door to the garden gates.	false	445.73	469.24	18.517965
4495_10160_000011_000000	As soon as the carriage had driven away, Magdalen presented herself to the general observation under an entirely new aspect.	As soon as the carriage had driven away, Magdalen presented herself to the general observation under an entirely new aspect.	true	469.67	478.81	16
4495_10160_000012_000000	"If any more visitors call to-day," she said, with the profoundest gravity of look and manner, "I am not at home.	"If any more visitors call to day," she said, with the profoundest gravity of look and manner, "I am not at home.	false	478.88	486.43	18
4495_10160_000012_000001	This is a far more serious matter than any of you suppose.	This is a far more serious matter than any of you suppose.	true	486.98	490.87	16
4495_10160_000012_000002	Go somewhere by yourself, Frank, and read over your part, and don't let your attention wander if you can possibly help it.	Go somewhere by yourself, Frank, and read over your part, and don't let your attention wander if you can possibly help it.	false	490.94	498.705	20.047918
4495_10160_000012_000003	I shall not be accessible before the evening.	I shall not be accessible before the evening.	false	498.705	501.64	17
4495_10160_000012_000004	If you will come here--with papa's permission--after tea, my views on the subject of Falkland will be at your disposal.	If you will come here-with papa's permission-after tea, my views on the subject of Falkland will be at your disposal.	true	501.92	509.35	20
4495_10160_000012_000005	Thomas! whatever else the gardener does, he is not to make any floricultural noises under my window.	Thomas! whatever else the gardener does, he is not to make any floricultural noises under my window.	true	509.45	517.03	19.621204
4495_10160_000012_000006	For the rest of the afternoon I shall be immersed in study--and the quieter the house is, the more obliged I shall feel to everybody."	For the rest of the afternoon I shall be immersed in study-and the quieter the house is, the more obliged I shall feel to everybody."	false	517.1	525.31	19
4495_10160_000013_000000	Before Miss Garth's battery of reproof could open fire, before the first outburst of Mr. Vanstone's hearty laughter could escape his lips, she bowed to them with imperturbable gravity; ascended the house-steps, for the first time in her life, at a walk instead of a run, and retired then and there to the bedroom regions.	Before Miss Garth's battery of reproof could open fire, before the first outburst of mr Vanstone's hearty laughter could escape his lips, she bowed to them with imperturbable gravity; ascended the house steps, for the first time in her life, at a walk instead of a run, and retired then and there to the bedroom regions.	true	526.01	548.71	19
4495_10160_000013_000001	Frank's helpless astonishment at her disappearance added a new element of absurdity to the scene.	Frank's helpless astonishment at her disappearance added a new element of absurdity to the scene.	true	548.96	555.85	19
4495_10160_000013_000002	He stood first on one leg and then on the other; rolling and unrolling his part, and looking piteously in the faces of the friends about him.	He stood first on one leg and then on the other; rolling and unrolling his part, and looking piteously in the faces of the friends about him.	true	556.25	566.38	18.58942
4495_10160_000013_000003	"I know I can't do it," he said.	"I know I can't do it," he said.	true	566.9	569.47	21.152586
4495_10160_000013_000004	"May I come in after tea, and hear Magdalen's views?	"May I come in after tea, and hear Magdalen's views?	true	569.72	574.03	18
4495_10160_000013_000005	Thank you--I'll look in about eight.	Thank you-I'll look in about eight.	false	574.4	577.48	23.107273
4495_10160_000013_000006	Don't tell my father about this acting, please; I should never hear the last of it." Those were the only words he had spirit enough to utter.	Don't tell my father about this acting, please; I should never hear the last of it." Those were the only words he had spirit enough to utter.	true	577.79	587.77	18.52749
4495_10160_000013_000007	He drifted away aimlessly in the direction of the shrubbery, with the part hanging open in his hand--the most incapable of Falklands, and the most helpless of mankind.	He drifted away aimlessly in the direction of the shrubbery, with the part hanging open in his hand-the most incapable of Falklands, and the most helpless of mankind.	true	588.02	601.27	18.99367
4495_10160_000014_000000	Frank's departure left the family by themselves, and was the signal accordingly for an attack on Mr. Vanstone's inveterate carelessness in the exercise of his paternal authority.	Frank's departure left the family by themselves, and was the signal accordingly for an attack on mr Vanstone's inveterate carelessness in the exercise of his paternal authority.	true	602.12	616.3	18.726393
4495_10160_000015_000000	"What could you possibly be thinking of, Andrew, when you gave your consent?" said Mrs. Vanstone.	"What could you possibly be thinking of, Andrew, when you gave your consent?" said mrs Vanstone.	false	618.35	625.21	17
4495_10160_000015_000001	"Surely my silence was a sufficient warning to you to say No?"	"Surely my silence was a sufficient warning to you to say No?"	true	625.43	630.43	11
4495_10160_000016_000000	"A mistake, Mr. Vanstone," chimed in Miss Garth.	"A mistake, mr Vanstone," chimed in Miss Garth.	true	631.61	635.5	22.411932
4495_10160_000016_000001	"Made with the best intentions--but a mistake for all that."	"Made with the best intentions-but a mistake for all that."	true	635.78	639.64	20.121572
4495_10160_000017_000000	"It may be a mistake," said Norah, taking her father's part, as usual. "But I really don't see how papa, or any one else, could have declined, under the circumstances."	"It may be a mistake," said Norah, taking her father's part, as usual. "But I really don't see how papa, or any one else, could have declined, under the circumstances."	true	640.13	651.85	18.991781
4495_10160_000018_000000	"Quite right, my dear," observed Mr. Vanstone.	"Quite right, my dear," observed mr Vanstone.	true	652.43	655.87	19.451746
4495_10160_000018_000001	"The circumstances, as you say, were dead against me.	"The circumstances, as you say, were dead against me.	true	655.94	659.5	17
4495_10160_000018_000002	Here were these unfortunate people in a scrape on one side; and Magdalen, on the other, mad to act.	Here were these unfortunate people in a scrape on one side; and Magdalen, on the other, mad to act.	true	660.05	666.88	18.66814
4495_10160_000018_000003	I couldn't say I had methodistical objections--I've nothing methodistical about me.	I couldn't say I had methodistical objections-I've nothing methodistical about me.	true	667.16	673.51	16
4495_10160_000018_000004	What other excuse could I make?	What other excuse could I make?	true	673.94	676.27	19.916878
4495_10160_000018_000005	The Marrables are respectable people, and keep the best company in Clifton.	The Marrables are respectable people, and keep the best company in Clifton.	true	677.09	682.09	22.12335
4495_10160_000018_000006	What harm can she get in their house?	What harm can she get in their house?	true	682.4	684.85	19.07597
4495_10160_000018_000007	If you come to prudence and that sort of thing--why shouldn't Magdalen do what Miss Marrable does?	If you come to prudence and that sort of thing-why shouldn't Magdalen do what Miss Marrable does?	true	684.95	691.45	17.743557
4495_10160_000018_000008	There! there! let the poor things act, and amuse themselves.	There! there! let the poor things act, and amuse themselves.	true	691.82	697.18	19.050629
4495_10160_000018_000009	We were their age once--and it's no use making a fuss--and that's all I've got to say about it."	We were their age once-and it's no use making a fuss-and that's all I've got to say about it."	true	697.73	704.44	19.526352
4495_10160_000019_000000	With that characteristic defense of his own conduct, Mr. Vanstone sauntered back to the greenhouse to smoke another cigar.	With that characteristic defense of his own conduct, mr Vanstone sauntered back to the greenhouse to smoke another cigar.	false	704.93	713.35	16
4495_10160_000020_000000	"I didn't say so to papa," said Norah, taking her mother's arm on the way back to the house, "but the bad result of the acting, in my opinion, will be the familiarity it is sure to encourage between Magdalen and Francis Clare."	"I didn't say so to papa," said Norah, taking her mother's arm on the way back to the house, "but the bad result of the acting, in my opinion, will be the familiarity it is sure to encourage between Magdalen and Francis Clare."	true	714.5	728.47	18
4495_10160_000021_000000	"You are prejudiced against Frank, my love," said Mrs. Vanstone.	"You are prejudiced against Frank, my love," said mrs Vanstone.	true	729.35	733.78	18.488464
4495_10160_000022_000000	Norah's soft, secret, hazel eyes sank to the ground; she said no more. Her opinions were unchangeable--but she never disputed with anybody.	Norah's soft, secret, hazel eyes sank to the ground; she said no more. Her opinions were unchangeable-but she never disputed with anybody.	true	734.24	745.27	18.711573
4495_10160_000022_000001	She had the great failing of a reserved nature--the failing of obstinacy; and the great merit--the merit of silence.	She had the great failing of a reserved nature-the failing of obstinacy; and the great merit-the merit of silence.	true	745.58	755.02	18.921124
4495_10160_000022_000002	"What is your head running on now?" thought Miss Garth, casting a sharp look at Norah's dark, downcast face.	"What is your head running on now?" thought Miss Garth, casting a sharp look at Norah's dark, downcast face.	true	755.72	763.12	18.3903
4495_10160_000022_000003	"You're one of the impenetrable sort.	"You're one of the impenetrable sort.	true	763.52	765.94	18.920332
4495_10160_000022_000004	Give me Magdalen, with all her perversities; I can see daylight through her.	Give me Magdalen, with all her perversities; I can see daylight through her.	true	765.98	770.98	18.71574
4495_10160_000022_000005	You're as dark as night."	You're as dark as night."	false	771.08	774.54	17.773518
4495_10160_000023_000000	The hours of the afternoon passed away, and still Magdalen remained shut up in her own room.	The hours of the afternoon passed away, and still Magdalen remained shut up in her own room.	false	774.54	780.04	13
4495_10160_000023_000001	No restless footsteps pattered on the stairs; no nimble tongue was heard chattering here, there, and everywhere, from the garret to the kitchen--the house seemed hardly like itself, with the one ever-disturbing element in the family serenity suddenly withdrawn from it.	No restless footsteps pattered on the stairs; no nimble tongue was heard chattering here, there, and everywhere, from the garret to the kitchen-the house seemed hardly like itself, with the one ever disturbing element in the family serenity suddenly withdrawn from it.	true	780.26	797.98	19.054018
4495_10160_000023_000002	Anxious to witness with her own eyes the reality of a transformation in which past experience still inclined her to disbelieve, Miss Garth ascended to Magdalen's room, knocked twice at the door, received no answer, opened it and looked in.	Anxious to witness with her own eyes the reality of a transformation in which past experience still inclined her to disbelieve, Miss Garth ascended to Magdalen's room, knocked twice at the door, received no answer, opened it and looked in.	false	799.01	814.72	17
4495_10160_000024_000000	There sat Magdalen, in an arm-chair before the long looking-glass, with all her hair let down over her shoulders; absorbed in the study of her part and comfortably arrayed in her morning wrapper, until it was time to dress for dinner.	There sat Magdalen, in an arm chair before the long looking glass, with all her hair let down over her shoulders; absorbed in the study of her part and comfortably arrayed in her morning wrapper, until it was time to dress for dinner.	true	815.84	832.81	18.968437
4495_10160_000024_000001	And there behind her sat the lady's-maid, slowly combing out the long heavy locks of her young mistress's hair, with the sleepy resignation of a woman who had been engaged in that employment for some hours past.	And there behind her sat the lady's maid, slowly combing out the long heavy locks of her young mistress's hair, with the sleepy resignation of a woman who had been engaged in that employment for some hours past.	false	833.15	847.81	17.450167
4495_10160_000024_000002	The sun was shining; and the green shutters outside the window were closed.	The sun was shining; and the green shutters outside the window were closed.	true	848.09	853.18	18.927145
4495_10160_000024_000003	The dim light fell tenderly on the two quiet seated figures; on the little white bed, with the knots of rose-colored ribbon which looped up its curtains, and the bright dress for dinner laid ready across it; on the gayly painted bath, with its pure lining of white enamel; on the toilet-table with its sparkling trinkets, its crystal bottles, its silver bell with Cupid for a handle, its litter of little luxuries that adorn the shrine of a woman's bed-chamber.	The dim light fell tenderly on the two quiet seated figures; on the little white bed, with the knots of rose colored ribbon which looped up its curtains, and the bright dress for dinner laid ready across it; on the gayly painted bath, with its pure lining of white enamel; on the toilet table with its sparkling trinkets, its crystal bottles, its silver bell with Cupid for a handle, its litter of little luxuries that adorn the shrine of a woman's bed chamber.	false	853.19	885.07	18.884354
4495_10160_000024_000004	The luxurious tranquillity of the scene; the cool fragrance of flowers and perfumes in the atmosphere; the rapt attitude of Magdalen, absorbed over her reading; the monotonous regularity of movement in the maid's hand and arm, as she drew the comb smoothly through and through her mistress's hair--all conveyed the same soothing impression of drowsy, delicious quiet.	The luxurious tranquillity of the scene; the cool fragrance of flowers and perfumes in the atmosphere; the rapt attitude of Magdalen, absorbed over her reading; the monotonous regularity of movement in the maid's hand and arm, as she drew the comb smoothly through and through her mistress's hair-all conveyed the same soothing impression of drowsy, delicious quiet.	true	885.98	912.19	17.77098
4495_10160_000024_000005	On one side of the door were the broad daylight and the familiar realities of life.	On one side of the door were the broad daylight and the familiar realities of life.	true	912.65	918.67	17
4495_10160_000024_000006	On the other was the dream-land of Elysian serenity--the sanctuary of unruffled repose.	On the other was the dream land of Elysian serenity-the sanctuary of unruffled repose.	true	918.86	926.23	18.017529
4495_10160_000025_000000	Miss Garth paused on the threshold, and looked into the room in silence.	Miss Garth paused on the threshold, and looked into the room in silence.	true	926.87	932.38	18.818394
4495_10160_000026_000000	Magdalen's curious fancy for having her hair combed at all times and seasons was among the peculiarities of her character which were notorious to everybody in the house.	Magdalen's curious fancy for having her hair combed at all times and seasons was among the peculiarities of her character which were notorious to everybody in the house.	true	933.14	944.77	16
4495_10160_000026_000001	It was one of her father's favorite jokes that she reminded him, on such occasions, of a cat having her back stroked, and that he always expected, if the combing were only continued long enough, to hear her _purr_.	It was one of her father's favorite jokes that she reminded him, on such occasions, of a cat having her back stroked, and that he always expected, if the combing were only continued long enough, to hear her underscore purr underscore.	false	945.38	960.84	19.862223
4495_10160_000026_000002	Extravagant as it may seem, the comparison was not altogether inappropriate.	Extravagant as it may seem, the comparison was not altogether inappropriate.	true	960.84	965.77	15
4495_10160_000026_000003	The girl's fervid temperament intensified the essentially feminine pleasure that most women feel in the passage of the comb through their hair, to a luxury of sensation which absorbed her in enjoyment, so serenely self-demonstrative, so drowsily deep that it did irresistibly suggest a pet cat's enjoyment under a caressing hand.	The girl's fervid temperament intensified the essentially feminine pleasure that most women feel in the passage of the comb through their hair, to a luxury of sensation which absorbed her in enjoyment, so serenely self demonstrative, so drowsily deep that it did irresistibly suggest a pet cat's enjoyment under a caressing hand.	true	966.59	991.33	17.729118
4495_10160_000026_000004	Intimately as Miss Garth was acquainted with this peculiarity in her pupil, she now saw it asserting itself for the first time, in association with mental exertion of any kind on Magdalen's part.	Intimately as Miss Garth was acquainted with this peculiarity in her pupil, she now saw it asserting itself for the first time, in association with mental exertion of any kind on Magdalen's part.	true	992.03	1006.69	17
4495_10160_000026_000005	Feeling, therefore, some curiosity to know how long the combing and the studying had gone on together, she ventured on putting the question, first to the mistress; and (receiving no answer in that quarter) secondly to the maid.	Feeling, therefore, some curiosity to know how long the combing and the studying had gone on together, she ventured on putting the question, first to the mistress; and (receiving no answer in that quarter) secondly to the maid.	false	1007.27	1021.36	19.36624
4495_10160_000027_000000	"All the afternoon, miss, off and on," was the weary answer.	"All the afternoon, miss, off and on," was the weary answer.	true	1022.21	1026.07	19.887905
4495_10160_000027_000001	"Miss Magdalen says it soothes her feelings and clears her mind."	"Miss Magdalen says it soothes her feelings and clears her mind."	true	1026.2	1031.02	14
4495_10160_000028_000000	Knowing by experience that interference would be hopeless, under these circumstances, Miss Garth turned sharply and left the room.	Knowing by experience that interference would be hopeless, under these circumstances, Miss Garth turned sharply and left the room.	true	1031.69	1040.86	20.526129
4495_10160_000028_000001	She smiled when she was outside on the landing.	She smiled when she was outside on the landing.	true	1041.11	1044.16	16.139532
4495_10160_000028_000002	The female mind does occasionally--though not often--project itself into the future.	The female mind does occasionally-though not often-project itself into the future.	true	1044.32	1050.25	20.896914
4495_10160_000028_000003	Miss Garth was prophetically pitying Magdalen's unfortunate husband.	Miss Garth was prophetically pitying Magdalen's unfortunate husband.	true	1050.59	1055.32	20.623886
4495_10160_000029_000000	Dinner-time presented the fair student to the family eye in the same mentally absorbed aspect.	Dinner time presented the fair student to the family eye in the same mentally absorbed aspect.	true	1055.9	1062.55	19
4495_10160_000029_000001	On all ordinary occasions Magdalen's appetite would have terrified those feeble sentimentalists who affect to ignore the all-important influence which female feeding exerts in the production of female beauty.	On all ordinary occasions Magdalen's appetite would have terrified those feeble sentimentalists who affect to ignore the all important influence which female feeding exerts in the production of female beauty.	true	1063.01	1076.47	18
4495_10160_000029_000002	On this occasion she refused one dish after another with a resolution which implied the rarest of all modern martyrdoms--gastric martyrdom.	On this occasion she refused one dish after another with a resolution which implied the rarest of all modern martyrdoms-gastric martyrdom.	true	1076.96	1086.7	18.608274
4495_10160_000029_000003	"I have conceived the part of Lucy," she observed, with the demurest gravity.	"I have conceived the part of Lucy," she observed, with the demurest gravity.	true	1087.49	1092.58	20
4495_10160_000029_000004	"The next difficulty is to make Frank conceive the part of Falkland.	"The next difficulty is to make Frank conceive the part of Falkland.	true	1092.74	1096.93	20
4495_10160_000029_000005	I see nothing to laugh at--you would all be serious enough if you had my responsibilities.	I see nothing to laugh at-you would all be serious enough if you had my responsibilities.	true	1097.18	1103.32	19.100597
4495_10160_000029_000006	No, papa--no wine to-day, thank you.	No, papa-no wine to day, thank you.	true	1103.51	1106.05	20.76786
4495_10160_000029_000007	I must keep my intelligence clear.	I must keep my intelligence clear.	true	1106.39	1108.59	20
4495_10160_000029_000008	Water, Thomas--and a little more jelly, I think, before you take it away."	Water, Thomas-and a little more jelly, I think, before you take it away."	true	1108.59	1112.59	18
