664_129011_000002_000000	CHAPTER IV	CHAPTER four
664_129011_000065_000003	How delighted Miss Rebecca was at the Government balls, and how she laughed at the stories of the Scotch aides-de-camp, and called Mr. Sedley a sad wicked satirical creature; and how frightened she was at the story of the elephant!	How delighted Miss Rebecca was at the Government balls, and how she laughed at the stories of the Scotch aides de camp, and called mr Sedley a sad wicked satirical creature; and how frightened she was at the story of the elephant!
664_129011_000066_000000	"Pooh, pooh, Miss Sharp," said he, pulling up his shirt-collars; "the danger makes the sport only the pleasanter." He had never been but once at a tiger-hunt, when the accident in question occurred, and when he was half killed--not by the tiger, but by the fright.	"Pooh, pooh, Miss Sharp," said he, pulling up his shirt collars; "the danger makes the sport only the pleasanter." He had never been but once at a tiger hunt, when the accident in question occurred, and when he was half killed-not by the tiger, but by the fright.
664_129011_000066_000001	And as he talked on, he grew quite bold, and actually had the audacity to ask Miss Rebecca for whom she was knitting the green silk purse?	And as he talked on, he grew quite bold, and actually had the audacity to ask Miss Rebecca for whom she was knitting the green silk purse?
664_129011_000066_000002	He was quite surprised and delighted at his own graceful familiar manner.	He was quite surprised and delighted at his own graceful familiar manner.
664_129011_000067_000000	"For any one who wants a purse," replied Miss Rebecca, looking at him in the most gentle winning way.	"For any one who wants a purse," replied Miss Rebecca, looking at him in the most gentle winning way.
664_129011_000068_000001	"Why, your friend has worked miracles."	"Why, your friend has worked miracles."
664_129011_000069_000000	"The more the better," said Miss Amelia; who, like almost all women who are worth a pin, was a match-maker in her heart, and would have been delighted that Joseph should carry back a wife to India.	"The more the better," said Miss Amelia; who, like almost all women who are worth a pin, was a match maker in her heart, and would have been delighted that Joseph should carry back a wife to India.
664_129011_000069_000002	For the affection of young ladies is of as rapid growth as Jack's bean-stalk, and reaches up to the sky in a night.	For the affection of young ladies is of as rapid growth as Jack's bean stalk, and reaches up to the sky in a night.
664_129011_000070_000001	"You would not have listened to me," she said to Mr. Osborne (though she knew she was telling a fib), "had you heard Rebecca first."	"You would not have listened to me," she said to mr Osborne (though she knew she was telling a fib), "had you heard Rebecca first."
664_129011_000071_000000	"I give Miss Sharp warning, though," said Osborne, "that, right or wrong, I consider Miss Amelia Sedley the first singer in the world."	"I give Miss Sharp warning, though," said Osborne, "that, right or wrong, I consider Miss Amelia Sedley the first singer in the world."
664_129011_000072_000000	"You shall hear," said Amelia; and Joseph Sedley was actually polite enough to carry the candles to the piano.	"You shall hear," said Amelia; and Joseph Sedley was actually polite enough to carry the candles to the piano.
664_129011_000072_000001	Osborne hinted that he should like quite as well to sit in the dark; but Miss Sedley, laughing, declined to bear him company any farther, and the two accordingly followed Mr. Joseph.	Osborne hinted that he should like quite as well to sit in the dark; but Miss Sedley, laughing, declined to bear him company any farther, and the two accordingly followed mr Joseph.
664_129011_000073_000000	Conversation of a sentimental sort, befitting the subject, was carried on between the songs, to which Sambo, after he had brought the tea, the delighted cook, and even Mrs. Blenkinsop, the housekeeper, condescended to listen on the landing-place.	Conversation of a sentimental sort, befitting the subject, was carried on between the songs, to which Sambo, after he had brought the tea, the delighted cook, and even mrs Blenkinsop, the housekeeper, condescended to listen on the landing place.
664_129011_000076_000000	They mark'd him as he onward prest, With fainting heart and weary limb; Kind voices bade him turn and rest, And gentle faces welcomed him.	They mark'd him as he onward prest, With fainting heart and weary limb; Kind voices bade him turn and rest, And gentle faces welcomed him.
664_129011_000076_000001	The dawn is up--the guest is gone, The cottage hearth is blazing still; Heaven pity all poor wanderers lone!	The dawn is up-the guest is gone, The cottage hearth is blazing still; Heaven pity all poor wanderers lone!
664_129011_000076_000002	Hark to the wind upon the hill!	Hark to the wind upon the hill!
664_129011_000077_000000	It was the sentiment of the before-mentioned words, "When I'm gone," over again.	It was the sentiment of the before mentioned words, "When I'm gone," over again.
664_129011_000077_000001	As she came to the last words, Miss Sharp's "deep-toned voice faltered." Everybody felt the allusion to her departure, and to her hapless orphan state.	As she came to the last words, Miss Sharp's "deep toned voice faltered." Everybody felt the allusion to her departure, and to her hapless orphan state.
664_129011_000078_000000	"Bravo, Jos!" said Mr. Sedley; on hearing the bantering of which well-known voice, Jos instantly relapsed into an alarmed silence, and quickly took his departure.	"Bravo, Jos!" said mr Sedley; on hearing the bantering of which well-known voice, Jos instantly relapsed into an alarmed silence, and quickly took his departure.
664_129011_000078_000004	I might go farther, and fare worse, egad!" And in these meditations he fell asleep.	I might go farther, and fare worse, egad!" And in these meditations he fell asleep.
664_129011_000079_000001	need not be told here.	need not be told here.
664_129011_000079_000005	Amelia, who was writing to her twelve dearest friends at Chiswick Mall), and Rebecca was employed upon her yesterday's work.	Amelia, who was writing to her twelve dearest friends at Chiswick Mall), and Rebecca was employed upon her yesterday's work.
664_129011_000079_000006	As Joe's buggy drove up, and while, after his usual thundering knock and pompous bustle at the door, the ex-Collector of Boggley Wollah laboured up stairs to the drawing-room, knowing glances were telegraphed between Osborne and Miss Sedley, and the pair, smiling archly, looked at Rebecca, who actually blushed as she bent her fair ringlets over her knitting.	As Joe's buggy drove up, and while, after his usual thundering knock and pompous bustle at the door, the ex Collector of Boggley Wollah laboured up stairs to the drawing room, knowing glances were telegraphed between Osborne and Miss Sedley, and the pair, smiling archly, looked at Rebecca, who actually blushed as she bent her fair ringlets over her knitting.
664_129011_000079_000007	How her heart beat as Joseph appeared--Joseph, puffing from the staircase in shining creaking boots--Joseph, in a new waistcoat, red with heat and nervousness, and blushing behind his wadded neckcloth.	How her heart beat as Joseph appeared-Joseph, puffing from the staircase in shining creaking boots-Joseph, in a new waistcoat, red with heat and nervousness, and blushing behind his wadded neckcloth.
664_129011_000079_000008	It was a nervous moment for all; and as for Amelia, I think she was more frightened than even the people most concerned.	It was a nervous moment for all; and as for Amelia, I think she was more frightened than even the people most concerned.
664_129011_000082_000000	"Thank you, dear Joseph," said Amelia, quite ready to kiss her brother, if he were so minded. (And I think for a kiss from such a dear creature as Amelia, I would purchase all Mr. Lee's conservatories out of hand.)	"Thank you, dear Joseph," said Amelia, quite ready to kiss her brother, if he were so minded. (And I think for a kiss from such a dear creature as Amelia, I would purchase all mr Lee's conservatories out of hand.)
664_129011_000083_000001	Perhaps she just looked first into the bouquet, to see whether there was a billet-doux hidden among the flowers; but there was no letter.	Perhaps she just looked first into the bouquet, to see whether there was a billet doux hidden among the flowers; but there was no letter.
664_129011_000084_000000	"Do they talk the language of flowers at Boggley Wollah, Sedley?" asked Osborne, laughing.	"Do they talk the language of flowers at Boggley Wollah, Sedley?" asked Osborne, laughing.
664_129011_000085_000002	Let's have it for tiffin; very cool and nice this hot weather." Rebecca said she had never tasted a pine, and longed beyond everything to taste one.	Let's have it for tiffin; very cool and nice this hot weather." Rebecca said she had never tasted a pine, and longed beyond everything to taste one.
664_129011_000086_000001	I don't know on what pretext Osborne left the room, or why, presently, Amelia went away, perhaps to superintend the slicing of the pine-apple; but Jos was left alone with Rebecca, who had resumed her work, and the green silk and the shining needles were quivering rapidly under her white slender fingers.	I don't know on what pretext Osborne left the room, or why, presently, Amelia went away, perhaps to superintend the slicing of the pine apple; but Jos was left alone with Rebecca, who had resumed her work, and the green silk and the shining needles were quivering rapidly under her white slender fingers.
664_129011_000087_000001	"It made me cry almost; 'pon my honour it did."	"It made me cry almost; 'pon my honour it did."
664_129011_000088_000000	"Because you have a kind heart, Mr. Joseph; all the Sedleys have, I think."	"Because you have a kind heart, mr Joseph; all the Sedleys have, I think."
664_129011_000089_000001	Gollop, my doctor, came in at eleven (for I'm a sad invalid, you know, and see Gollop every day), and, 'gad! there I was, singing away like--a robin."	Gollop, my doctor, came in at eleven (for I'm a sad invalid, you know, and see Gollop every day), and, 'gad! there I was, singing away like-a robin."
664_129011_000090_000000	"O you droll creature!	"O you droll creature!
664_129011_000090_000001	Do let me hear you sing it."	Do let me hear you sing it."
664_129011_000091_000000	"Me?	"Me?
664_129011_000091_000002	"My spirits are not equal to it; besides, I must finish the purse.	"My spirits are not equal to it; besides, I must finish the purse.
664_129011_000091_000003	Will you help me, Mr. Sedley?" And before he had time to ask how, Mr. Joseph Sedley, of the East India Company's service, was actually seated tete-a-tete with a young lady, looking at her with a most killing expression; his arms stretched out before her in an imploring attitude, and his hands bound in a web of green silk, which she was unwinding.	Will you help me, mr Sedley?" And before he had time to ask how, mr Joseph Sedley, of the East India Company's service, was actually seated tete a tete with a young lady, looking at her with a most killing expression; his arms stretched out before her in an imploring attitude, and his hands bound in a web of green silk, which she was unwinding.
664_129011_000092_000001	The skein of silk was just wound round the card; but Mr. Jos had never spoken.	The skein of silk was just wound round the card; but mr Jos had never spoken.
