3083_7943_000004_000000	TO FRANCES, MY WIFE	TO FRANCES, MY WIFE
3083_7943_000020_000000	The other, looking back over the way he had come, seemed not to hear Jed's question, and the native continued, "Mine's Holland. Pap an' Mam they come from Tennessee.	The other, looking back over the way he had come, seemed not to hear Jed's question, and the native continued, "Mine's Holland. Pap an' Mam they come from Tennessee.
3083_7943_000021_000002	"Very true, very true, indeed," he mused.	"Very true, very true, indeed," he mused.
3083_7943_000022_000000	"Jim Lane lives up the trail 'bout half a quarter.	"Jim Lane lives up the trail 'bout half a quarter.
3083_7943_000022_000001	Ever hear tell o' Jim?"	Ever hear tell o' Jim?"
3083_7943_000024_000004	I'll hep you hunt hit, if you want me to, Mister."	I'll hep you hunt hit, if you want me to, Mister."
3083_7943_000025_000000	"No," said the other, "I am not looking for mines of lead or zinc; there is greater wealth in these hills and forests, young man."	"No," said the other, "I am not looking for mines of lead or zinc; there is greater wealth in these hills and forests, young man."
3083_7943_000026_000002	Lemme hep you, Mister.	Lemme hep you, Mister.
3083_7943_000028_000002	You know the Matthews's, I reckon?"	You know the Matthews's, I reckon?"
3083_7943_000029_000002	Will Mr. Matthews keep me, do you think?"	Will mr Matthews keep me, do you think?"
3083_7943_000031_000001	"What is it?" he asked.	"What is it?" he asked.
3083_7943_000032_000000	The native shook his head.	The native shook his head.
3083_7943_000032_000001	"Durned if I know, Mister.	"Durned if I know, Mister.
3083_7943_000034_000000	"A hant, a ghost, some calls 'em," explained Jed.	"A hant, a ghost, some calls 'em," explained Jed.
3083_7943_000035_000000	The other interrupted.	The other interrupted.
3083_7943_000037_000000	Again Jed's question was ignored.	Again Jed's question was ignored.
3083_7943_000037_000001	"You think then that Mr. Matthews will keep me?"	"You think then that mr Matthews will keep me?"
3083_7943_000038_000001	They'll take anybody in.	They'll take anybody in.
3083_7943_000038_000002	I know they're to home 'cause they was a fixin' t' leave the mill when I left 'bout an hour ago. Was the river up much when you come acrost?" As the native spoke he was still peering uneasily into the woods.	I know they're to home 'cause they was a fixin' t' leave the mill when I left 'bout an hour ago. Was the river up much when you come acrost?" As the native spoke he was still peering uneasily into the woods.
3083_7943_000039_000000	"I did not cross the river.	"I did not cross the river.
3083_7943_000039_000001	How far is it to this Matthews place, and how do I go?"	How far is it to this Matthews place, and how do I go?"
3083_7943_000040_000000	"Jest foller this Old Trail.	"Jest foller this Old Trail.
3083_7943_000040_000003	'Bout three mile, I'd say.	'bout three mile, I'd say.
3083_7943_000041_000001	Thank you, very much, for your assistance.	Thank you, very much, for your assistance.
3083_7943_000041_000002	I will go on, now, for I must hurry, or night will overtake me, and I shall not be able to find the path."	I will go on, now, for I must hurry, or night will overtake me, and I shall not be able to find the path."
3083_7943_000042_000002	"Reckon you must be from Kansas City or Chicago?	"Reckon you must be from Kansas City or Chicago?
3083_7943_000042_000003	I heard tell they're mighty big towns."	I heard tell they're mighty big towns."
3083_7943_000043_000000	The stranger's only answer was a curt "Good-by," as his form vanished in the mist.	The stranger's only answer was a curt "Good by," as his form vanished in the mist.
3083_7943_000044_000001	Must be from New York, sure!"	Must be from New York, sure!"
3083_7943_000045_000000	Slowly the old man toiled up the mountain; up from the mists of the lower ground to the ridge above; and, as he climbed, unseen by him, a shadowy form flitted from tree to tree in the dim, dripping forest.	Slowly the old man toiled up the mountain; up from the mists of the lower ground to the ridge above; and, as he climbed, unseen by him, a shadowy form flitted from tree to tree in the dim, dripping forest.
3083_7943_000046_000000	As the stranger came in sight of the Lane cabin, a young woman on a brown pony rode out of the gate and up the trail before him; and when the man reached the open ground on the mountain above, and rounded the shoulder of the hill, he saw the pony, far ahead, loping easily along the little path.	As the stranger came in sight of the Lane cabin, a young woman on a brown pony rode out of the gate and up the trail before him; and when the man reached the open ground on the mountain above, and rounded the shoulder of the hill, he saw the pony, far ahead, loping easily along the little path.
3083_7943_000046_000001	A moment he watched, and horse and rider passed from sight.	A moment he watched, and horse and rider passed from sight.
3083_7943_000047_000000	The clouds were drifting far away.	The clouds were drifting far away.
3083_7943_000047_000002	In an old tree that leaned far out over the valley, a crow shook the wet from his plumage and dried himself in the warm light; while far below the mists rolled, and on the surface of that gray sea, the traveler saw a company of buzzards, wheeling and circling above some dead thing hidden in its depth.	In an old tree that leaned far out over the valley, a crow shook the wet from his plumage and dried himself in the warm light; while far below the mists rolled, and on the surface of that gray sea, the traveler saw a company of buzzards, wheeling and circling above some dead thing hidden in its depth.
