3083_7943_000000_000000	THE SHEPHERD OF THE HILLS ***	THE SHEPHERD OF THE HILLS asterisk asterisk asterisk	false	3.12	5.37	22.124498
3083_7943_000010_000000	It was corn-planting time, when the stranger followed the Old Trail into the Mutton Hollow neighborhood.	It was corn planting time, when the stranger followed the Old Trail into the Mutton Hollow neighborhood.	true	71.72	78.01	21
3083_7943_000011_000000	All day a fine rain had fallen steadily, and the mists hung heavy over the valley.	All day a fine rain had fallen steadily, and the mists hung heavy over the valley.	true	78.98	84.28	21
3083_7943_000011_000001	The lower hills were wrapped as in a winding sheet; dank and cold.	The lower hills were wrapped as in a winding sheet; dank and cold.	true	84.92	89.65	20.674547
3083_7943_000011_000002	The trees were dripping with moisture.	The trees were dripping with moisture.	true	90.17	92.29	24.448555
3083_7943_000011_000003	The stranger looked tired and wet.	The stranger looked tired and wet.	true	92.57	94.87	22
3083_7943_000012_000000	By his dress, the man was from the world beyond the ridges, and his carefully tailored clothing looked strangely out of place in the mountain wilderness.	By his dress, the man was from the world beyond the ridges, and his carefully tailored clothing looked strangely out of place in the mountain wilderness.	true	95.93	105.25	19
3083_7943_000012_000001	His form stooped a little in the shoulders, perhaps with weariness, but he carried himself with the unconscious air of one long used to a position of conspicuous power and influence; and, while his well-kept hair and beard were strongly touched with white, the brown, clear lighted eyes, that looked from under their shaggy brows, told of an intellect unclouded by the shadows of many years.	His form stooped a little in the shoulders, perhaps with weariness, but he carried himself with the unconscious air of one long used to a position of conspicuous power and influence; and, while his well kept hair and beard were strongly touched with white, the brown, clear lighted eyes, that looked from under their shaggy brows, told of an intellect unclouded by the shadows of many years.	true	105.95	132.82	22.1215
3083_7943_000012_000002	It was a face marked deeply by pride; pride of birth, of intellect, of culture; the face of a scholar and poet; but it was more--it was the countenance of one fairly staggering under a burden of disappointment and grief.	It was a face marked deeply by pride; pride of birth, of intellect, of culture; the face of a scholar and poet; but it was more-it was the countenance of one fairly staggering under a burden of disappointment and grief.	true	133.85	151.54	21.868652
3083_7943_000013_000000	As the stranger walked, he looked searchingly into the mists on every hand, and paused frequently as if questioning the proper course.	As the stranger walked, he looked searchingly into the mists on every hand, and paused frequently as if questioning the proper course.	true	152.33	161.95	21.778597
3083_7943_000013_000001	Suddenly he stepped quickly forward.	Suddenly he stepped quickly forward.	true	162.59	164.95	19.281479
3083_7943_000013_000002	His ear had caught the sharp ring of a horse's shoe on a flint rock somewhere in the mists on the mountain side above.	His ear had caught the sharp ring of a horse's shoe on a flint rock somewhere in the mists on the mountain side above.	true	165.26	171.76	17
3083_7943_000013_000003	It was Jed Holland coming down the trail with a week's supply of corn meal in a sack across his horse's back.	It was Jed Holland coming down the trail with a week's supply of corn meal in a sack across his horse's back.	false	172.43	178.78	21
3083_7943_000014_000000	As the figure of the traveler emerged from the mists, the native checked his horse to greet the newcomer with the customary salutation of the backwoods, "Howdy."	As the figure of the traveler emerged from the mists, the native checked his horse to greet the newcomer with the customary salutation of the backwoods, "Howdy."	true	180.08	189.7	22.702726
3083_7943_000015_000000	The man returned Jed's greeting cordially, and, resting his satchel on a rock beside the narrow path, added, "I am very glad to meet you.	The man returned Jed's greeting cordially, and, resting his satchel on a rock beside the narrow path, added, "I am very glad to meet you.	true	191.03	199.905	23.948975
3083_7943_000015_000001	I fear that I am lost."	I fear that I am lost."	true	199.905	201.43	21.117346
3083_7943_000016_000000	The voice was marvelously pure, deep, and musical, and, like the brown eyes, betrayed the real strength of the man, denied by his gray hair and bent form.	The voice was marvelously pure, deep, and musical, and, like the brown eyes, betrayed the real strength of the man, denied by his gray hair and bent form.	true	202.88	213.37	21.327307
3083_7943_000016_000001	The tones were as different from the high keyed, slurring speech of the backwoods, as the gentleman himself was unlike any man Jed had ever met.	The tones were as different from the high keyed, slurring speech of the backwoods, as the gentleman himself was unlike any man Jed had ever met.	false	214.34	222.46	20
3083_7943_000016_000002	The boy looked at the speaker in wide-eyed wonder; he had a queer feeling that he was in the presence of a superior being.	The boy looked at the speaker in wide eyed wonder; he had a queer feeling that he was in the presence of a superior being.	true	223.07	230.38	21
3083_7943_000017_000000	Throwing one thin leg over the old mare's neck, and waving a long arm up the hill and to the left, Jed drawled, "That thar's Dewey Bal'; down yonder's Mutton Holler." Then turning a little to the right and pointing into the mist with the other hand, he continued, "Compton Ridge is over thar.	Throwing one thin leg over the old mare's neck, and waving a long arm up the hill and to the left, Jed drawled, "That thar's Dewey Bal'; down yonder's Mutton Holler." Then turning a little to the right and pointing into the mist with the other hand, he continued, "Compton Ridge is over thar.	false	231.98	251.79	21.468424
3083_7943_000017_000001	Whar was you tryin' to git to, Mister?"	Whar was you tryin' to git to, Mister?"	false	251.79	254.32	23.8864
3083_7943_000018_000000	"Where am I trying to get to?" As the man repeated Jed's question, he drew his hand wearily across his brow; "I--I--it doesn't much matter, boy.	"Where am I trying to get to?" As the man repeated Jed's question, he drew his hand wearily across his brow; "I-I-it doesn't much matter, boy.	true	256.04	269.53	20.149492
3083_7943_000018_000001	I suppose I must find some place where I can stay to- night.	I suppose I must find some place where I can stay to night.	false	269.87	273.45	21.887201
3083_7943_000018_000002	Do you live near here?"	Do you live near here?"	true	273.45	274.51	20
3083_7943_000019_000000	"Nope," Jed answered, "Hit's a right smart piece to whar I live. This here's grindin' day, an' I've been t' mill over on Fall Creek; the Matthews mill hit is.	"Nope," Jed answered, "Hit's a right smart piece to whar I live. This here's grindin' day, an' I've been t' mill over on Fall Creek; the Matthews mill hit is.	false	275.42	284.62	22.231245
3083_7943_000019_000001	Hit'll be plumb dark 'gin I git home.	Hit'll be plumb dark 'gin I git home.	true	285.05	287.23	22
3083_7943_000019_000002	I 'lowed you was a stranger in these parts soon 's I ketched sight of you.	I 'lowed you was a stranger in these parts soon 's I ketched sight of you.	true	288.26	291.76	17
3083_7943_000019_000003	What might YER name be, Mister?"	What might YER name be, Mister?"	true	291.98	293.77	20.08778
3083_7943_000020_000000	The other, looking back over the way he had come, seemed not to hear Jed's question, and the native continued, "Mine's Holland. Pap an' Mam they come from Tennessee.	The other, looking back over the way he had come, seemed not to hear Jed's question, and the native continued, "Mine's Holland. Pap an' Mam they come from Tennessee.	true	295.34	305.74	20.110538
3083_7943_000020_000001	Pap he's down in th' back now, an' ain't right peart, but he'll be 'round in a little, I reckon.	Pap he's down in t h' back now, an' ain't right peart, but he'll be 'round in a little, I reckon.	false	306.14	310.87	24.294086
3083_7943_000020_000002	Preachin' Bill he 'lows hit's good fer a feller t' be down in th' back onct in a while; says if hit warn't fer that we'd git to standin' so durned proud an' straight we'd go plumb over backwards."	Preachin' Bill he 'lows hit's good fer a feller t' be down in t h' back o n c t in a while; says if hit warn't fer that we'd git to standin' so durned proud an' straight we'd go plumb over backwards."	false	311.36	320.26	22
3083_7943_000021_000000	A bitter smile crossed the face of the older man.	A bitter smile crossed the face of the older man.	true	321.74	324.55	19
3083_7943_000021_000001	He evidently applied the native's philosophy in a way unguessed by Jed.	He evidently applied the native's philosophy in a way unguessed by Jed.	false	325.13	329.23	17
3083_7943_000021_000002	"Very true, very true, indeed," he mused.	"Very true, very true, indeed," he mused.	true	330.23	333.55	22.129574
3083_7943_000021_000003	Then he turned to Jed, and asked, "Is there a house near here?"	Then he turned to Jed, and asked, "Is there a house near here?"	true	334.37	338.89	19.127039
3083_7943_000022_000000	"Jim Lane lives up the trail 'bout half a quarter.	"Jim Lane lives up the trail 'bout half a quarter.	true	339.77	342.22	21.825937
3083_7943_000022_000001	Ever hear tell o' Jim?"	Ever hear tell o' Jim?"	true	342.29	343.66	22.757956
3083_7943_000023_000000	"No, I have never been in these mountains before."	"No, I have never been in these mountains before."	true	344.84	347.13	18
3083_7943_000024_000000	"I 'lowed maybe you'd heard tell o' Jim or Sammy.	"I 'lowed maybe you'd heard tell o' Jim or Sammy.	false	347.13	351.16	18.317333
3083_7943_000024_000001	There's them that 'lows Jim knows a heap more 'bout old man Dewey's cave than he lets on; his place bein' so nigh.	There's them that 'lows Jim knows a heap more 'bout old man Dewey's cave than he lets on; his place bein' so nigh.	true	351.29	357.19	14
3083_7943_000024_000002	Reckon you know 'bout Colonel Dewey, him th' Bal' up thar's named fer?	Reckon you know 'bout Colonel Dewey, him t h' Bal' up thar's named fer?	false	357.95	361.36	24
3083_7943_000024_000003	Maybe you come t' look fer the big mine they say's in th' cave?	Maybe you come t' look fer the big mine they say's in t h' cave?	false	361.91	365.11	19.41437
3083_7943_000024_000004	I'll hep you hunt hit, if you want me to, Mister."	I'll hep you hunt hit, if you want me to, Mister."	true	365.36	367.66	23
3083_7943_000025_000000	"No," said the other, "I am not looking for mines of lead or zinc; there is greater wealth in these hills and forests, young man."	"No," said the other, "I am not looking for mines of lead or zinc; there is greater wealth in these hills and forests, young man."	true	368.93	376.21	20.5016
3083_7943_000026_000000	"Law, you don't say!	"Law, you don't say!	true	377.06	379	18.409784
3083_7943_000026_000001	Jim Wilson allus 'lowed thar must be gold in these here mountains, 'cause they're so dad burned rough.	Jim Wilson allus 'lowed thar must be gold in these here mountains, 'cause they're so dad burned rough.	false	379.31	384.85	19
3083_7943_000026_000002	Lemme hep you, Mister.	Lemme hep you, Mister.	true	385.22	386.655	24
3083_7943_000026_000003	I'd like mighty well t' git some clothes like them."	I'd like mighty well t' git some clothes like them."	false	386.655	389.29	22.600952
3083_7943_000027_000000	"I do not speak of gold, my boy," the stranger answered kindly. "But I must not keep you longer, or darkness will overtake us.	"I do not speak of gold, my boy," the stranger answered kindly. "But I must not keep you longer, or darkness will overtake us.	false	391.25	398.71	22.788782
3083_7943_000027_000001	Do you think this Mr. Lane would entertain me?"	Do you think this mr Lane would entertain me?"	true	399.02	401.5	18
3083_7943_000028_000000	Jed pushed a hand up under his tattered old hat, and scratched awhile before he answered, "Don't know 'bout th' entertainin', Mister, but 'most anybody would take you in." He turned and looked thoughtfully up the trail.	Jed pushed a hand up under his tattered old hat, and scratched awhile before he answered, "Don't know 'bout t h' entertainin', Mister, but 'most anybody would take you in." He turned and looked thoughtfully up the trail.	false	402.68	418.09	22.847275
3083_7943_000028_000001	"I don't guess Jim's to home though; 'cause I see'd Sammy a fixin' t' go over t' th' Matthews's when I come past.	"I don't guess Jim's to home though; 'cause I see'd Sammy a fixin' t' go over t' t h' Matthews's when I come past.	false	419.09	425.08	19
3083_7943_000028_000002	You know the Matthews's, I reckon?"	You know the Matthews's, I reckon?"	true	425.24	427.03	21
3083_7943_000029_000000	There was a hint of impatience now in the deep voice.	There was a hint of impatience now in the deep voice.	true	428.57	431.47	17
3083_7943_000029_000001	"No, I told you that I had never been in these mountains before.	"No, I told you that I had never been in these mountains before.	false	432.23	435.76	18
3083_7943_000029_000002	Will Mr. Matthews keep me, do you think?"	Will mr Matthews keep me, do you think?"	true	436.13	438.52	21
3083_7943_000030_000000	Jed, who was still looking up the trail, suddenly leaned forward, and, pointing into the timber to the left of the path, said in an exciting whisper, "Look at that, Mister; yonder thar by that big rock."	Jed, who was still looking up the trail, suddenly leaned forward, and, pointing into the timber to the left of the path, said in an exciting whisper, "Look at that, Mister; yonder thar by that big rock."	false	440.66	453.49	22.605396
3083_7943_000031_000000	The stranger, looking, thought he saw a form, weird and ghost-like in the mist, flitting from tree to tree, but, even as he looked, it vanished among the hundreds of fantastic shapes in the gray forest.	The stranger, looking, thought he saw a form, weird and ghost like in the mist, flitting from tree to tree, but, even as he looked, it vanished among the hundreds of fantastic shapes in the gray forest.	false	454.46	467.11	21.789064
3083_7943_000031_000001	"What is it?" he asked.	"What is it?" he asked.	true	468.02	469.9	22.933037
3083_7943_000032_000000	The native shook his head.	The native shook his head.	true	470.51	472.03	20.822382
3083_7943_000032_000001	"Durned if I know, Mister.	"Durned if I know, Mister.	true	472.46	473.88	22
3083_7943_000032_000002	You can't tell.	You can't tell.	false	473.88	475.36	26.435627
3083_7943_000032_000003	There's mighty strange things stirrin' on this here mountain, an' in the Holler down yonder.	There's mighty strange things stirrin' on this here mountain, an' in the Holler down yonder.	true	475.79	480.16	14
3083_7943_000032_000004	Say, Mister, did you ever see a hant?"	Say, Mister, did you ever see a hant?"	false	480.98	484.47	19.745493
3083_7943_000033_000000	The gentleman did not understand.	The gentleman did not understand.	true	484.47	486.22	17
3083_7943_000034_000000	"A hant, a ghost, some calls 'em," explained Jed.	"A hant, a ghost, some calls 'em," explained Jed.	true	486.77	490.14	20.552895
3083_7943_000034_000001	"Bud Wilson he sure seed old Matt's--"	"Bud Wilson he sure seed old Matt's-"	false	490.14	493.15	18.831009
3083_7943_000035_000000	The other interrupted.	The other interrupted.	true	493.46	494.83	22.750631
3083_7943_000035_000001	"Really, young man, I must go.	"Really, young man, I must go.	true	495.41	497.085	15
3083_7943_000035_000002	It is already late, and you know I have yet to find a place to stay for the night."	It is already late, and you know I have yet to find a place to stay for the night."	true	497.085	500.67	18
3083_7943_000036_000000	"Law, that's alright, Mister!" replied Jed.	"Law, that's alright, Mister!" replied Jed.	false	500.67	504.405	24.11898
3083_7943_000036_000001	"Ain't no call t' worry.	"Ain't no call t' worry.	false	504.405	505.84	27.445454
3083_7943_000036_000002	Stay anywhere.	Stay anywhere.	true	505.94	507	18.230207
3083_7943_000036_000003	Whar do you live when you're to home?"	Whar do you live when you're to home?"	false	507	509.17	20.437807
3083_7943_000037_000000	Again Jed's question was ignored.	Again Jed's question was ignored.	true	510.14	512.23	20.061779
3083_7943_000037_000001	"You think then that Mr. Matthews will keep me?"	"You think then that mr Matthews will keep me?"	true	513.08	516.34	21
3083_7943_000038_000000	"Law, yes!	"Law, yes!	true	517.61	518.58	16.148066
3083_7943_000038_000001	They'll take anybody in.	They'll take anybody in.	true	518.58	520.06	21.794436
3083_7943_000038_000002	I know they're to home 'cause they was a fixin' t' leave the mill when I left 'bout an hour ago. Was the river up much when you come acrost?" As the native spoke he was still peering uneasily into the woods.	I know they're to home 'cause they was a fixin' t' leave the mill when I left 'bout an hour ago. Was the river up much when you come acrost?" As the native spoke he was still peering uneasily into the woods.	true	520.16	531.67	21.857738
3083_7943_000039_000000	"I did not cross the river.	"I did not cross the river.	true	532.34	533.92	27.966282
3083_7943_000039_000001	How far is it to this Matthews place, and how do I go?"	How far is it to this Matthews place, and how do I go?"	true	534.32	537.1	24.338436
3083_7943_000040_000000	"Jest foller this Old Trail.	"Jest foller this Old Trail.	true	538.28	540.01	22.280117
3083_7943_000040_000001	Hit'll take you right thar.	Hit'll take you right thar.	false	540.11	541.8	25.285799
3083_7943_000040_000002	Good road all th' way.	Good road all t h' way.	false	541.8	543.13	22.317606
3083_7943_000040_000003	'Bout three mile, I'd say.	'bout three mile, I'd say.	true	543.53	545.17	26.25888
3083_7943_000040_000004	Did you come from Springfield or St. Louis, maybe?"	Did you come from springfield oregon saint Louis, maybe?"	false	545.78	548.47	24
3083_7943_000041_000000	The man lifted his satchel from the rock as he answered: "No, I do not live in either Springfield or St. Louis.	The man lifted his satchel from the rock as he answered: "No, I do not live in either springfield oregon saint Louis.	false	549.41	556.03	23.172703
3083_7943_000041_000001	Thank you, very much, for your assistance.	Thank you, very much, for your assistance.	true	556.43	558.4	25
3083_7943_000041_000002	I will go on, now, for I must hurry, or night will overtake me, and I shall not be able to find the path."	I will go on, now, for I must hurry, or night will overtake me, and I shall not be able to find the path."	true	558.44	563.37	24
3083_7943_000042_000000	"Oh, hit's a heap lighter when you git up on th' hill 'bove th' fog," said Jed, lowering his leg from the horse's neck, and settling the meal sack, preparatory to moving.	"Oh, hit's a heap lighter when you git up on t h' hill 'bove t h' fog," said Jed, lowering his leg from the horse's neck, and settling the meal sack, preparatory to moving.	false	563.37	573.64	22.470173
3083_7943_000042_000001	"But I'd a heap rather hit was you than me a goin' up on Dewey t'night." He was still looking up the trail.	"But I'd a heap rather hit was you than me a goin' up on Dewey t'night." He was still looking up the trail.	false	574.16	580.84	22.486637
3083_7943_000042_000002	"Reckon you must be from Kansas City or Chicago?	"Reckon you must be from Kansas City or Chicago?	true	581.36	584.02	22.345707
3083_7943_000042_000003	I heard tell they're mighty big towns."	I heard tell they're mighty big towns."	true	584.12	586.18	25.305058
3083_7943_000043_000000	The stranger's only answer was a curt "Good-by," as his form vanished in the mist.	The stranger's only answer was a curt "Good by," as his form vanished in the mist.	true	587.69	593.32	21.686129
3083_7943_000044_000000	Jed turned and dug his heels vigorously in the old mare's flanks, as he ejaculated softly, "Well, I'll be dod durned!	Jed turned and dug his heels vigorously in the old mare's flanks, as he ejaculated softly, "Well, I'll be d o d durned!	false	594.71	602.29	22.611801
3083_7943_000044_000001	Must be from New York, sure!"	Must be from New York, sure!"	true	602.57	604.75	20.07341
3083_7943_000045_000000	Slowly the old man toiled up the mountain; up from the mists of the lower ground to the ridge above; and, as he climbed, unseen by him, a shadowy form flitted from tree to tree in the dim, dripping forest.	Slowly the old man toiled up the mountain; up from the mists of the lower ground to the ridge above; and, as he climbed, unseen by him, a shadowy form flitted from tree to tree in the dim, dripping forest.	true	606.2	620.23	22.735039
3083_7943_000046_000000	As the stranger came in sight of the Lane cabin, a young woman on a brown pony rode out of the gate and up the trail before him; and when the man reached the open ground on the mountain above, and rounded the shoulder of the hill, he saw the pony, far ahead, loping easily along the little path.	As the stranger came in sight of the Lane cabin, a young woman on a brown pony rode out of the gate and up the trail before him; and when the man reached the open ground on the mountain above, and rounded the shoulder of the hill, he saw the pony, far ahead, loping easily along the little path.	true	621.11	640.42	23.284836
3083_7943_000046_000001	A moment he watched, and horse and rider passed from sight.	A moment he watched, and horse and rider passed from sight.	true	640.91	644.83	21.721657
3083_7943_000047_000000	The clouds were drifting far away.	The clouds were drifting far away.	true	645.86	647.92	23.30662
3083_7943_000047_000001	The western sky was clear with the sun still above the hills.	The western sky was clear with the sun still above the hills.	false	648.26	651.85	22
3083_7943_000047_000002	In an old tree that leaned far out over the valley, a crow shook the wet from his plumage and dried himself in the warm light; while far below the mists rolled, and on the surface of that gray sea, the traveler saw a company of buzzards, wheeling and circling above some dead thing hidden in its depth.	In an old tree that leaned far out over the valley, a crow shook the wet from his plumage and dried himself in the warm light; while far below the mists rolled, and on the surface of that gray sea, the traveler saw a company of buzzards, wheeling and circling above some dead thing hidden in its depth.	true	652.46	670.96	22.387527
3083_7943_000048_000000	Wearily the man followed the Old Trail toward the Matthews place, and always, as he went, in the edge of the gloomy forest, flitted that shadowy form.	Wearily the man followed the Old Trail toward the Matthews place, and always, as he went, in the edge of the gloomy forest, flitted that shadowy form.	false	672.23	690.15	18.718567
