7981_112057_000003_000001	He then turned his attention to the clergy already there.	He then turned his attention to the clergy already there.
7981_112057_000020_000000	As Vincent went about his works of charity in Paris it occurred to him to visit the dungeons where the men who had been condemned to the galleys were confined.	As Vincent went about his works of charity in Paris it occurred to him to visit the dungeons where the men who had been condemned to the galleys were confined.
7981_112057_000020_000001	What he saw filled him with horror.	What he saw filled him with horror.
7981_112057_000020_000002	Huddled together in damp and filthy prisons, crawling with vermin, covered with sores and ulcers, brawling, blaspheming and fighting, the galley slaves made a picture suggestive only of Hell.	Huddled together in damp and filthy prisons, crawling with vermin, covered with sores and ulcers, brawling, blaspheming and fighting, the galley slaves made a picture suggestive only of Hell.
7981_112057_000022_000000	"These are your people, Monseigneur!" he cried; "you will have to answer for them before God." The General was aghast; it had never occurred to him to think of the condition of the men who rowed his ships, and he gladly gave Vincent a free hand to do whatever he could to relieve them.	"These are your people, Monseigneur!" he cried; "you will have to answer for them before God." The General was aghast; it had never occurred to him to think of the condition of the men who rowed his ships, and he gladly gave Vincent a free hand to do whatever he could to relieve them.
7981_112057_000023_000000	Calling two other priests to his assistance, Vincent set to work at once to visit the convicts in the Paris prisons; but the men were so brutalized that it was difficult to know how to win them.	Calling two other priests to his assistance, Vincent set to work at once to visit the convicts in the Paris prisons; but the men were so brutalized that it was difficult to know how to win them.
7981_112057_000023_000001	The first advances were met with cursing and blasphemy, but Vincent was not to be discouraged.	The first advances were met with cursing and blasphemy, but Vincent was not to be discouraged.
7981_112057_000023_000002	With his own gentle charity he performed the lowest offices for these poor wretches to whom his heart went out with such an ardent pity; he cleansed them from the vermin which infested them and dressed their neglected sores.	With his own gentle charity he performed the lowest offices for these poor wretches to whom his heart went out with such an ardent pity; he cleansed them from the vermin which infested them and dressed their neglected sores.
7981_112057_000023_000003	Gradually they were softened and would listen while he spoke to them of the Saviour who had died to save their souls.	Gradually they were softened and would listen while he spoke to them of the Saviour who had died to save their souls.
7981_112057_000024_000001	This enabled Vincent to carry his mission farther afield, and he determined to visit all the convict prisons in the seaport towns, taking Marseilles as his first station.	This enabled Vincent to carry his mission farther afield, and he determined to visit all the convict prisons in the seaport towns, taking Marseilles as his first station.
7981_112057_000025_000000	Here, where the conditions were perhaps even worse than in Paris, Vincent met them in the same spirit and conquered by the same means. The fact that he had once been a slave himself gave him an insight into the sufferings of the galley slaves and a wonderful influence over them.	Here, where the conditions were perhaps even worse than in Paris, Vincent met them in the same spirit and conquered by the same means. The fact that he had once been a slave himself gave him an insight into the sufferings of the galley slaves and a wonderful influence over them.
7981_112057_000025_000002	This strange new friend who went about among them, kissing their chains, sympathizing with their sufferings and attending to their lowest needs seemed to them like an Angel from Heaven; even the most hardened could not resist such treatment.	This strange new friend who went about among them, kissing their chains, sympathizing with their sufferings and attending to their lowest needs seemed to them like an Angel from Heaven; even the most hardened could not resist such treatment.
7981_112057_000026_000000	In the meantime, through the generosity of Vincent's friends, hospitals were being built and men and women were offering themselves to help in any capacity in this work of charity.	In the meantime, through the generosity of Vincent's friends, hospitals were being built and men and women were offering themselves to help in any capacity in this work of charity.
7981_112057_000026_000001	Many of these earnest Christians gave their very lives for the galley slaves; for fevers, plague and contagious diseases of every kind raged in the filthy convict prisons, and many priests and lay helpers died of the infection.	Many of these earnest Christians gave their very lives for the galley slaves; for fevers, plague and contagious diseases of every kind raged in the filthy convict prisons, and many priests and lay helpers died of the infection.
