203_132073_000000_000000	Somebody opened the door from inside the house.	Somebody opened the door from inside the house.	false	0	2.58	26.196228
203_132073_000025_000000	"Goo' fellow," said O'Roon, dizzily, "Goo' old Remsen."	"Goo' fellow," said O'Roon, dizzily, "Goo' old Remsen."	false	354.21	354.36	17
203_132073_000026_000000	"Not so," said Remsen.	"Not so," said Remsen.	true	354.36	355.785	17
203_132073_000026_000001	"You see Mounted Policeman O'Roon.	"You see Mounted Policeman O'Roon.	true	355.785	358.06	28.005943
203_132073_000026_000002	Look at your face--no; you can't do that without a glass--but look at mine, and think of yours.	Look at your face-no; you can't do that without a glass-but look at mine, and think of yours.	true	358.25	364.51	24.367085
203_132073_000026_000003	How much alike are we?	How much alike are we?	true	364.64	366.22	28.892416
203_132073_000026_000004	As two French _table d'hote_ dinners.	As two French underscore table d'hote underscore dinners.	false	366.5	369.13	22.914644
203_132073_000026_000005	With your badge, on your horse, in your uniform, will I charm nurse-maids and prevent the grass from growing under people's feet in the Park this day.	With your badge, on your horse, in your uniform, will I charm nurse maids and prevent the grass from growing under people's feet in the Park this day.	true	369.65	378.07	24
203_132073_000026_000006	I will have your badge and your honor, besides having the jolliest lark I've been blessed with since we licked Spain."	I will have your badge and your honor, besides having the jolliest lark I've been blessed with since we licked Spain."	true	378.38	385.93	23.186134
203_132073_000027_000000	Promptly on time the counterfeit presentment of Mounted Policeman O'Roon single-footed into the Park on his chestnut steed.	Promptly on time the counterfeit presentment of Mounted Policeman O'Roon single footed into the Park on his chestnut steed.	true	387.74	395.32	24.345383
203_132073_000027_000001	In a uniform two men who are unlike will look alike; two who somewhat resemble each other in feature and figure will appear as twin brothers.	In a uniform two men who are unlike will look alike; two who somewhat resemble each other in feature and figure will appear as twin brothers.	true	395.39	404.5	25.781122
203_132073_000027_000002	So Remsen trotted down the bridle paths, enjoying himself hugely, so few real pleasures do ten-millionaires have.	So Remsen trotted down the bridle paths, enjoying himself hugely, so few real pleasures do ten millionaires have.	true	404.87	412.81	22.42591
203_132073_000028_000000	Along the driveway in the early morning spun a victoria drawn by a pair of fiery bays.	Along the driveway in the early morning spun a victoria drawn by a pair of fiery bays.	true	414.98	421.45	24.215107
203_132073_000028_000001	There was something foreign about the affair, for the Park is rarely used in the morning except by unimportant people who love to be healthy, poor and wise.	There was something foreign about the affair, for the Park is rarely used in the morning except by unimportant people who love to be healthy, poor and wise.	true	422.03	431.26	23.30836
203_132073_000028_000002	In the vehicle sat an old gentleman with snowy side-whiskers and a Scotch plaid cap which could not be worn while driving except by a personage.	In the vehicle sat an old gentleman with snowy side whiskers and a Scotch plaid cap which could not be worn while driving except by a personage.	true	431.75	441.07	24.80341
203_132073_000028_000003	At his side sat the lady of Remsen's heart--the lady who looked like pomegranate blossoms and the gibbous moon.	At his side sat the lady of Remsen's heart-the lady who looked like pomegranate blossoms and the gibbous moon.	true	441.68	449.26	21.758375
203_132073_000029_000000	Remsen met them coming.	Remsen met them coming.	true	449.87	451.54	25.052742
203_132073_000029_000001	At the instant of their passing her eyes looked into his, and but for the ever coward's heart of a true lover he could have sworn that she flushed a faint pink.	At the instant of their passing her eyes looked into his, and but for the ever coward's heart of a true lover he could have sworn that she flushed a faint pink.	false	451.73	461.83	24.12882
203_132073_000029_000002	He trotted on for twenty yards, and then wheeled his horse at the sound of runaway hoofs.	He trotted on for twenty yards, and then wheeled his horse at the sound of runaway hoofs.	false	462.53	467.17	21.203674
203_132073_000029_000003	The bays had bolted.	The bays had bolted.	true	467.51	469.18	24.348742
203_132073_000030_000000	Remsen sent his chestnut after the victoria like a shot.	Remsen sent his chestnut after the victoria like a shot.	false	469.37	472.72	24.544975
203_132073_000030_000001	There was work cut out for the impersonator of Policeman O'Roon.	There was work cut out for the impersonator of Policeman O'Roon.	true	472.94	476.59	26.50927
203_132073_000030_000002	The chestnut ranged alongside the off bay thirty seconds after the chase began, rolled his eye back at Remsen, and said in the only manner open to policemen's horses:	The chestnut ranged alongside the off bay thirty seconds after the chase began, rolled his eye back at Remsen, and said in the only manner open to policemen's horses:	true	476.78	486.87	22.660393
203_132073_000031_000000	"Well, you duffer, are you going to do your share?	"Well, you duffer, are you going to do your share?	true	486.87	489.4	24.433992
203_132073_000031_000001	You're not O'Roon, but it seems to me if you'd lean to the right you could reach the reins of that foolish slow-running bay--ah! you're all right; O'Roon couldn't have done it more neatly!"	You're not O'Roon, but it seems to me if you'd lean to the right you could reach the reins of that foolish slow running bay-ah! you're all right; O'Roon couldn't have done it more neatly!"	true	489.5	500.53	22.421207
203_132073_000032_000000	The runaway team was tugged to an inglorious halt by Remsen's tough muscles.	The runaway team was tugged to an inglorious halt by Remsen's tough muscles.	true	503.15	508.12	21.176697
203_132073_000032_000001	The driver released his hands from the wrapped reins, jumped from his seat and stood at the heads of the team. The chestnut, approving his new rider, danced and pranced, reviling equinely the subdued bays.	The driver released his hands from the wrapped reins, jumped from his seat and stood at the heads of the team. The chestnut, approving his new rider, danced and pranced, reviling equinely the subdued bays.	true	508.37	521.23	22.405838
203_132073_000032_000002	Remsen, lingering, was dimly conscious of a vague, impossible, unnecessary old gentleman in a Scotch cap who talked incessantly about something.	Remsen, lingering, was dimly conscious of a vague, impossible, unnecessary old gentleman in a Scotch cap who talked incessantly about something.	false	521.72	531.91	22.905466
203_132073_000032_000003	And he was acutely conscious of a pair of violet eyes that would have drawn Saint Pyrites from his iron pillar--or whatever the allusion is--and of the lady's smile and look--a little frightened, but a look that, with the ever coward heart of a true lover, he could not yet construe.	And he was acutely conscious of a pair of violet eyes that would have drawn Saint Pyrites from his iron pillar-or whatever the allusion is-and of the lady's smile and look-a little frightened, but a look that, with the ever coward heart of a true lover, he could not yet construe.	true	532.37	550.66	21.962927
203_132073_000032_000004	They were asking his name and bestowing upon him wellbred thanks for his heroic deed, and the Scotch cap was especially babbling and insistent.	They were asking his name and bestowing upon him wellbred thanks for his heroic deed, and the Scotch cap was especially babbling and insistent.	true	550.97	559.96	24.09895
203_132073_000032_000005	But the eloquent appeal was in the eyes of the lady.	But the eloquent appeal was in the eyes of the lady.	true	560.63	563.5	22.400068
203_132073_000033_000000	A little thrill of satisfaction ran through Remsen, because he had a name to give which, without undue pride, was worthy of being spoken in high places, and a small fortune which, with due pride, he could leave at his end without disgrace.	A little thrill of satisfaction ran through Remsen, because he had a name to give which, without undue pride, was worthy of being spoken in high places, and a small fortune which, with due pride, he could leave at his end without disgrace.	true	564.08	579.16	23.026466
203_132073_000034_000000	He opened his lips to speak and closed them again.	He opened his lips to speak and closed them again.	true	580.49	583.96	24.286251
203_132073_000035_000000	Who was he?	Who was he?	true	584.72	586.12	21.212605
203_132073_000035_000001	Mounted Policeman O'Roon.	Mounted Policeman O'Roon.	true	586.28	588.49	27.47101
203_132073_000035_000002	The badge and the honor of his comrade were in his hands.	The badge and the honor of his comrade were in his hands.	true	588.77	592.18	21.451372
203_132073_000035_000003	If Ellsworth Remsen, ten-millionaire and Knickerbocker, had just rescued pomegranate blossoms and Scotch cap from possible death, where was Policeman O'Roon?	If Ellsworth Remsen, ten millionaire and Knickerbocker, had just rescued pomegranate blossoms and Scotch cap from possible death, where was Policeman O'Roon?	false	592.88	603.97	24.653475
203_132073_000035_000004	Off his beat, exposed, disgraced, discharged.	Off his beat, exposed, disgraced, discharged.	true	604.1	608.65	24.043999
203_132073_000035_000005	Love had come, but before that there had been something that demanded precedence--the fellowship of men on battlefields fighting an alien foe.	Love had come, but before that there had been something that demanded precedence-the fellowship of men on battlefields fighting an alien foe.	false	608.81	618.07	24.035122
203_132073_000036_000000	Remsen touched his cap, looked between the chestnut's ears, and took refuge in vernacularity.	Remsen touched his cap, looked between the chestnut's ears, and took refuge in vernacularity.	true	619.58	625.81	24.587515
203_132073_000037_000000	"Don't mention it," he said stolidly.	"Don't mention it," he said stolidly.	true	626.36	628.57	22.262518
203_132073_000037_000001	"We policemen are paid to do these things.	"We policemen are paid to do these things.	true	628.82	631.11	25.04228
203_132073_000037_000002	It's our duty."	It's our duty."	false	631.11	632.59	23.804615
203_132073_000038_000000	And he rode away--rode away cursing _noblesse oblige_, but knowing he could never have done anything else.	And he rode away-rode away cursing underscore noblesse oblige underscore, but knowing he could never have done anything else.	false	634.04	641.58	19.280075
203_132073_000039_000000	At the end of the day Remsen sent the chestnut to his stable and went to O'Roon's room.	At the end of the day Remsen sent the chestnut to his stable and went to O'Roon's room.	true	641.58	646.9	20.804245
203_132073_000039_000001	The policeman was again a well set up, affable, cool young man who sat by the window smoking cigars.	The policeman was again a well set up, affable, cool young man who sat by the window smoking cigars.	true	647.75	654.73	23.786596
203_132073_000040_000000	"I wish you and the rest of the police force and all badges, horses, brass buttons and men who can't drink two glasses of _brut_ without getting upset were at the devil," said Remsen feelingly.	"I wish you and the rest of the police force and all badges, horses, brass buttons and men who can't drink two glasses of underscore brut underscore without getting upset were at the devil," said Remsen feelingly.	false	655.61	667.3	23.369314
203_132073_000041_000000	O'Roon smiled with evident satisfaction.	O'Roon smiled with evident satisfaction.	true	669.59	672.4	20.477722
203_132073_000042_000000	"Good old Remsen," he said, affably, "I know all about it.	"Good old Remsen," he said, affably, "I know all about it.	true	672.86	676.99	21.805616
203_132073_000042_000001	They trailed me down and cornered me here two hours ago.	They trailed me down and cornered me here two hours ago.	true	677.21	680.5	23.308525
203_132073_000042_000002	There was a little row at home, you know, and I cut sticks just to show them.	There was a little row at home, you know, and I cut sticks just to show them.	true	680.93	685.39	27.008575
203_132073_000042_000003	I don't believe I told you that my Governor was the Earl of Ardsley. Funny you should bob against them in the Park.	I don't believe I told you that my Governor was the Earl of Ardsley. Funny you should bob against them in the Park.	true	685.52	692.35	23.381025
203_132073_000042_000004	If you damaged that horse of mine I'll never forgive you.	If you damaged that horse of mine I'll never forgive you.	true	692.51	695.71	21.940264
203_132073_000042_000005	I'm going to buy him and take him back with me.	I'm going to buy him and take him back with me.	true	696.05	699.22	23.599148
203_132073_000042_000006	Oh, yes, and I think my sister--Lady Angela, you know--wants particularly for you to come up to the hotel with me this evening.	Oh, yes, and I think my sister-Lady Angela, you know-wants particularly for you to come up to the hotel with me this evening.	true	699.44	707.5	25.321566
203_132073_000042_000007	Didn't lose my badge, did you, Remsen?	Didn't lose my badge, did you, Remsen?	true	707.78	710.02	21.712238
203_132073_000042_000008	I've got to turn that in at Headquarters when I resign."	I've got to turn that in at Headquarters when I resign."	false	710.21	722.22	25.550653
