7085_75810_000000_000000	When it was the Six Hundred and Seventeenth Night,	When it was the Six Hundred and Seventeenth Night,	true	31.245	34.69	23
7085_75810_000003_000006	Now go to thine own country and take care of the ring, for by means of it thou wilt baffle thine enemies; and be not ignorant of its puissance." "O my lord," quoth Judar, "with thy leave, I will set out homewards." Quoth the Maghribi, "Summon the Jinni and mount upon his back; and if thou say to him, 'Bring me to my native city this very day,' he will not disobey thy commandment." So he took leave of Moor Abd al-Samad and rubbed the ring, whereupon Al-Ra'ad presented himself, saying, "Adsum; ask and it shall be given to thee." Said Judar, "Carry me to Cairo this day;" and he replied, "Thy will be done;" and, taking him on his back, flew with him from noon till midnight, when he set him down in the courtyard of his mother's house and disappeared.	Now go to thine own country and take care of the ring, for by means of it thou wilt baffle thine enemies; and be not ignorant of its puissance." "O my lord," quoth Judar, "with thy leave, I will set out homewards." Quoth the Maghribi, "Summon the Jinni and mount upon his back; and if thou say to him, 'Bring me to my native city this very day,' he will not disobey thy commandment." So he took leave of Moor Abd al Samad and rubbed the ring, whereupon Al Ra'ad presented himself, saying, "Adsum; ask and it shall be given to thee." Said Judar, "Carry me to Cairo this day;" and he replied, "Thy will be done;" and, taking him on his back, flew with him from noon till midnight, when he set him down in the courtyard of his mother's house and disappeared.	false	590.66	651.16	22.40337
7085_75810_000003_000007	Judar went in to his mother, who rose weeping, and greeted him fondly, and told him how the King had beaten his brothers and cast them into gaol and taken the two pairs of saddle bags; which when he heard, it was no light matter to him and he said to her, "Grieve not for the past; I will show thee what I can do and bring my brothers hither forth right." So he rubbed the ring, whereupon its servant appeared, saying, "Here am I! Ask and thou shalt have." Quoth Judar, "I bid thee bring me my two brothers from the prison of the King." So the Jinni sank into the earth and came not up but in the midst of the gaol where S lim and Sal m lay in piteous plight and sore sorrow for the plagues of prison,[FN#297] so that they wished for death, and one of them said to the other, "By Allah, O my brother, affliction is longsome upon us!	Judar went in to his mother, who rose weeping, and greeted him fondly, and told him how the King had beaten his brothers and cast them into gaol and taken the two pairs of saddle bags; which when he heard, it was no light matter to him and he said to her, "Grieve not for the past; I will show thee what I can do and bring my brothers hither forth right." So he rubbed the ring, whereupon its servant appeared, saying, "Here am I! Ask and thou shalt have." Quoth Judar, "I bid thee bring me my two brothers from the prison of the King." So the Jinni sank into the earth and came not up but in the midst of the gaol where S lim and Sal m lay in piteous plight and sore sorrow for the plagues of prison,[f n # two hundred ninety seven] so that they wished for death, and one of them said to the other, "By Allah, O my brother, affliction is longsome upon us!	false	651.29	712.87	23.150148
7085_75810_000003_000008	How long shall we abide in this prison?	How long shall we abide in this prison?	true	713.03	715.35	18.137276
7085_75810_000003_000009	Death would be relief." As he spoke, behold, the earth clove in sunder and out came Al-Ra'ad, who took both up and plunged with them into the earth.	Death would be relief." As he spoke, behold, the earth clove in sunder and out came Al Ra'ad, who took both up and plunged with them into the earth.	false	715.35	727.33	26.225573
7085_75810_000003_000010	They swooned away for excess of fear, and when they recovered, they found themselves in their mother's house and saw Judar seated by her side.	They swooned away for excess of fear, and when they recovered, they found themselves in their mother's house and saw Judar seated by her side.	true	727.4	737.02	21.50437
7085_75810_000003_000011	Quoth he, "I salute you, O my brothers! you have cheered me by your presence." And they bowed their heads and burst into tears.	Quoth he, "I salute you, O my brothers! you have cheered me by your presence." And they bowed their heads and burst into tears.	true	737.06	746.32	22.564384
7085_75810_000003_000012	Then said he, "Weep not, for it was Satan and covetise that led you to do thus.	Then said he, "Weep not, for it was Satan and covetise that led you to do thus.	true	746.54	752.83	24.644228
7085_75810_000003_000013	How could you sell me?	How could you sell me?	true	752.93	754.42	26.244762
7085_75810_000003_000014	But I comfort myself with the thought of Joseph, whose brothers did with him even more than ye did with me, because they cast him into the pit."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	But I comfort myself with the thought of Joseph, whose brothers did with him even more than ye did with me, because they cast him into the pit."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	true	754.58	770.08	21.279661
7085_75810_000004_000000	When it was the Six Hundred and Nineteenth Night,	When it was the Six Hundred and Nineteenth Night,	true	772.13	775.42	29
7085_75810_000005_000000	She continued, It hath reached me, O auspicious King, that Judar said to his brothers, "How could you do with me thus?	She continued, It hath reached me, O auspicious King, that Judar said to his brothers, "How could you do with me thus?	true	775.52	784.48	26.526203
7085_75810_000005_000001	But repent unto Allah and crave pardon of Him, and He will forgive you both, for He is the Most Forgiving, the Merciful.	But repent unto Allah and crave pardon of Him, and He will forgive you both, for He is the Most Forgiving, the Merciful.	true	784.61	792.49	22.84283
7085_75810_000005_000002	As for me, I pardon you and welcome you: no harm shall befall you."	As for me, I pardon you and welcome you: no harm shall befall you."	true	792.53	797.5	21.549068
7085_75810_000005_000003	Then he comforted them and set their hearts at ease and related to them all he had suffered, till he fell in with Shaykh Abd al-Samad, and told them also of the seal ring.	Then he comforted them and set their hearts at ease and related to them all he had suffered, till he fell in with Shaykh Abd al Samad, and told them also of the seal ring.	false	797.9	810.19	22.766073
7085_75810_000005_000004	They replied, "O our brother, forgive us this time; and, if we return to our old ways, do with us as thou wilt." Quoth he, "No harm shall befall you; but tell me what the King did with you." Quoth they, "He beat us and threatened us with death and took the two pairs of saddle bags from us." "Will he not care?"[FN#298] said Judar, and rubbed the ring, whereupon Al-Ra'ad appeared.	They replied, "O our brother, forgive us this time; and, if we return to our old ways, do with us as thou wilt." Quoth he, "No harm shall befall you; but tell me what the King did with you." Quoth they, "He beat us and threatened us with death and took the two pairs of saddle bags from us." "Will he not care?"[f n # two hundred ninety eight] said Judar, and rubbed the ring, whereupon Al Ra'ad appeared.	false	810.59	838.24	21.841516
7085_75810_000005_000005	When his brothers saw him, they were frighted and thought Judar would bid him slay them; so they fled to their mother, crying, "O our mother, we throw our selves on thy generosity; do thou intercede for us, O our mother!" And she said to them, "O my sons, fear nothing!" Then said Judar to the servant, "I command thee to bring me all that is in the King's treasury of goods and such; let nothing remain and fetch the two pairs of saddle bags he took from my brothers."	When his brothers saw him, they were frighted and thought Judar would bid him slay them; so they fled to their mother, crying, "O our mother, we throw our selves on thy generosity; do thou intercede for us, O our mother!" And she said to them, "O my sons, fear nothing!" Then said Judar to the servant, "I command thee to bring me all that is in the King's treasury of goods and such; let nothing remain and fetch the two pairs of saddle bags he took from my brothers."	false	838.43	869.89	21.491665
7085_75810_000005_000006	"I hear and I obey," replied Al-Ra'ad; and, disappearing straight way gathered together all he found in the treasury and returned with the two pairs of saddle bags and the deposits therein and laid them before Judar, saying, "O my lord, I have left nothing in the treasury." Judar gave the treasure to his mother bidding her keep it and laying the enchanted saddle bags before him, said to the Jinni, "I command thee to build me this night a lofty palace and overlay it with liquid gold and furnish it with magnificent furniture: and let not the day dawn, ere thou be quit of the whole work." Replied he, "Thy bidding shall be obeyed;" and sank into the earth.	"I hear and I obey," replied Al Ra'ad; and, disappearing straight way gathered together all he found in the treasury and returned with the two pairs of saddle bags and the deposits therein and laid them before Judar, saying, "O my lord, I have left nothing in the treasury." Judar gave the treasure to his mother bidding her keep it and laying the enchanted saddle bags before him, said to the Jinni, "I command thee to build me this night a lofty palace and overlay it with liquid gold and furnish it with magnificent furniture: and let not the day dawn, ere thou be quit of the whole work." Replied he, "Thy bidding shall be obeyed;" and sank into the earth.	false	870.53	916.51	22.669115
7085_75810_000005_000007	Then Judar brought forth food and they ate and took their ease and lay down to sleep.	Then Judar brought forth food and they ate and took their ease and lay down to sleep.	true	916.55	922.75	23.058369
7085_75810_000005_000008	Meanwhile, Al-Ra'ad summoned his attendant Jinn and bade them build the palace.	Meanwhile, Al Ra'ad summoned his attendant Jinn and bade them build the palace.	true	922.76	928.51	21
7085_75810_000005_000009	So some of them fell to hewing stones and some to building, whilst others plastered and painted and furnished; nor did the day dawn ere the ordinance of the palace was complete; whereupon Al-Ra'ad came to Judar and said to him, "O my lord, the palace is finished and in best order, an it please thee to come and look on it." So Judar went forth with his mother and brothers and saw a palace, whose like there was not in the whole world; and it confounded all minds with the goodliness of its ordinance.	So some of them fell to hewing stones and some to building, whilst others plastered and painted and furnished; nor did the day dawn ere the ordinance of the palace was complete; whereupon Al Ra'ad came to Judar and said to him, "O my lord, the palace is finished and in best order, an it please thee to come and look on it." So Judar went forth with his mother and brothers and saw a palace, whose like there was not in the whole world; and it confounded all minds with the goodliness of its ordinance.	false	928.67	964.81	22.90163
7085_75810_000005_000010	Judar was delighted with it while he was passing along the highway and withal it had cost him nothing.	Judar was delighted with it while he was passing along the highway and withal it had cost him nothing.	true	965.06	971.92	21.11183
7085_75810_000005_000011	Then he asked his mother, "Say me, wilt thou take up thine abode in this palace?" and she answered, "I will, O my son," and called down blessings upon him. Then he rubbed the ring and bade the Jinni fetch him forty handsome white hand maids and forty black damsels and as many Mamelukes and negro slaves.	Then he asked his mother, "Say me, wilt thou take up thine abode in this palace?" and she answered, "I will, O my son," and called down blessings upon him. Then he rubbed the ring and bade the Jinni fetch him forty handsome white hand maids and forty black damsels and as many Mamelukes and negro slaves.	false	972.14	994.84	22.636715
7085_75810_000005_000012	"Thy will be done," answered Al-Ra'ad and betaking himself, with forty of his attendant Genii to Hind and Sind and Persia, snatched up every beautiful girl and boy they saw, till they had made up the required number.	"Thy will be done," answered Al Ra'ad and betaking himself, with forty of his attendant Genii to Hind and Sind and Persia, snatched up every beautiful girl and boy they saw, till they had made up the required number.	false	995.15	1011.88	22.805405
7085_75810_000005_000013	Moreover, he sent other four score, who fetched comely black girls, and forty others brought male chattels and carried them all to Judar's house, which they filled.	Moreover, he sent other four score, who fetched comely black girls, and forty others brought male chattels and carried them all to Judar's house, which they filled.	true	1012.04	1024.06	26.685274
7085_75810_000005_000014	Then he showed them to Judar, who was pleased with them and said, "Bring for each a dress of the finest." "Ready!" replied the servant.	Then he showed them to Judar, who was pleased with them and said, "Bring for each a dress of the finest." "Ready!" replied the servant.	false	1024.13	1035.04	23.47286
7085_75810_000005_000015	Then quoth he, "Bring a dress for my mother and another for myself, and also for my brothers." So the Jinni fetched all that was needed and clad the female slaves, saying to them, "This is your mistress: kiss her hands and cross her not, but serve her, white and black." The Mamelukes also dressed them selves and kissed Judar's hands; and he and his brothers arrayed themselves in the robes the Jinni had brought them and Judar became like unto a King and his brothers as Wazirs.	Then quoth he, "Bring a dress for my mother and another for myself, and also for my brothers." So the Jinni fetched all that was needed and clad the female slaves, saying to them, "This is your mistress: kiss her hands and cross her not, but serve her, white and black." The Mamelukes also dressed them selves and kissed Judar's hands; and he and his brothers arrayed themselves in the robes the Jinni had brought them and Judar became like unto a King and his brothers as Wazirs.	false	1035.17	1069.75	21.33952
7085_75810_000005_000016	Now his house was spacious; so he lodged S lim and his slave girls in one part thereof and Sal m and his slave girls in another, whilst he and his mother took up their abode in the new palace; and each in his own place was like a Sultan.	Now his house was spacious; so he lodged S lim and his slave girls in one part thereof and Sal m and his slave girls in another, whilst he and his mother took up their abode in the new palace; and each in his own place was like a Sultan.	false	1069.88	1087.69	24.102259
7085_75810_000005_000017	So far concerning them; but as regards the King's Treasurer, thinking to take something from the treasury, he went in and found it altogether empty, even as saith the poet,	So far concerning them; but as regards the King's Treasurer, thinking to take something from the treasury, he went in and found it altogether empty, even as saith the poet,	false	1087.91	1100.73	24.813396
7085_75810_000006_000000	"'Twas as a hive of bees that greatly thrived; * But, when the bee swarm fled, 'twas clean unhived."[FN#299]	"'twas as a hive of bees that greatly thrived; asterisk But, when the bee swarm fled, 'twas clean unhived."[f n # two hundred ninety nine]	false	1100.73	1108.76	19.120903
7085_75810_000007_000000	So he gave a great cry and fell down in a fit.	So he gave a great cry and fell down in a fit.	true	1108.76	1112.23	24
7085_75810_000007_000001	When he came to himself, he left the door open and going in to King Shams al-Daulah, said to him, "O Commander of the Faithful,[FN#300] I have to inform thee that the treasury hath become empty during the night." Quoth the King, 'What hast thou done with my monies which were therein?" Quoth he, "By Allah, I have not done aught with them nor know I what is come of them!	When he came to himself, he left the door open and going in to King Shams al Daulah, said to him, "O Commander of the Faithful,[f n # three hundred] I have to inform thee that the treasury hath become empty during the night." Quoth the King, 'What hast thou done with my monies which were therein?" Quoth he, "By Allah, I have not done aught with them nor know I what is come of them!	false	1112.39	1139.62	22.041342
7085_75810_000007_000002	I visited the place yesterday and saw it full; but to day when I went in, I found it clean empty, albeit the doors were locked, the walls were unpierced[FN#301] and the bolts[FN#302] are unbroken; nor hath a thief entered it." Asked the King, "Are the two pairs of saddle bags gone?" "Yes," replied the Treasurer; whereupon the King's reason flew from his head,--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	I visited the place yesterday and saw it full; but to day when I went in, I found it clean empty, albeit the doors were locked, the walls were unpierced[f n # three hundred one] and the bolts[f n # three hundred two] are unbroken; nor hath a thief entered it." Asked the King, "Are the two pairs of saddle bags gone?" "Yes," replied the Treasurer; whereupon the King's reason flew from his head,--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	1139.62	1182.45	22.234592
