4719_25765_000000_000000	RAIDING WITH MORGAN.	RAIDING WITH MORGAN.	false	1.32	15.06	20.956657
4719_25765_000017_000000	"Do you think you can reach Kentucky with a thousand men?" asked Breckinridge, in a tone which showed his doubt.	"Do you think you can reach Kentucky with a thousand men?" asked Breckinridge, in a tone which showed his doubt.	false	209.42	213.78	16
4719_25765_000018_000000	"I shall make the attempt with less than half of that number," replied Morgan, coolly.	"I shall make the attempt with less than half of that number," replied Morgan, coolly.	false	213.78	214.53	22.511112
4719_25765_000019_000000	A murmur of surprise arose, and then Trabue asked: "Will Beauregard let you make the hazardous attempt?"	A murmur of surprise arose, and then Trabue asked: "Will Beauregard let you make the hazardous attempt?"	true	214.53	220.3	20.70563
4719_25765_000020_000000	"Yes, with my own squadron, but he will risk no more men in the venture."	"Yes, with my own squadron, but he will risk no more men in the venture."	true	220.4	224.355	19
4719_25765_000021_000000	"Well, good-bye, John, if you try it," said one of the officers, laughing.	"Well, good bye, john, if you try it," said one of the officers, laughing.	true	224.355	227.86	21
4719_25765_000022_000000	"Why good-bye, Colonel?"	"Why good bye, Colonel?"	true	227.9	229.18	23.585585
4719_25765_000023_000000	"Because the Yankees will get you sure."	"Because the Yankees will get you sure."	true	229.46	231.7	19.34597
4719_25765_000024_000000	"Perhaps!" answered Morgan, dryly, as he arose to go.	"Perhaps!" answered Morgan, dryly, as he arose to go.	true	231.95	235.72	21.308084
4719_25765_000025_000000	"The whole South will ring with the praises of that man one of these days," remarked Breckinridge, after Morgan had made his exit.	"The whole South will ring with the praises of that man one of these days," remarked Breckinridge, after Morgan had made his exit.	true	235.82	242.35	19
4719_25765_000026_000000	"A perfect dare-devil.	"A perfect dare devil.	true	242.84	244.185	21.175018
4719_25765_000026_000001	I am proud he is a Kentuckian," remarked Trabue.	I am proud he is a Kentuckian," remarked Trabue.	true	244.185	246.61	19
4719_25765_000027_000000	Not knowing the flattering words spoken of him, Morgan wended his way to his headquarters, where he was informed by the orderly who took his horse that a young Confederate officer had been waiting for some time to see him.	Not knowing the flattering words spoken of him, Morgan wended his way to his headquarters, where he was informed by the orderly who took his horse that a young Confederate officer had been waiting for some time to see him.	true	246.86	257.35	16
4719_25765_000028_000000	"He said he must see you," continued the orderly, "and if necessary he would wait all night."	"He said he must see you," continued the orderly, "and if necessary he would wait all night."	true	257.48	262.15	20
4719_25765_000029_000000	"All right, I will see what he wants," replied Morgan, as he turned and entered his headquarters.	"All right, I will see what he wants," replied Morgan, as he turned and entered his headquarters.	false	262.37	266.98	18.594831
4719_25765_000029_000001	There he was greeted by a young man, not much more than a boy, who wore the uniform of a Confederate lieutenant.	There he was greeted by a young man, not much more than a boy, who wore the uniform of a Confederate lieutenant.	true	267.23	273.075	18.405216
4719_25765_000030_000000	Morgan gave him a swift glance, and then exclaimed: "Bless my heart!	Morgan gave him a swift glance, and then exclaimed: "Bless my heart!	true	273.075	276.39	20.221703
4719_25765_000030_000001	if this isn't Calhoun Pennington, son of my old friend Judge Pennington!	if this isn't Calhoun Pennington, son of my old friend Judge Pennington!	false	276.39	280.2	17
4719_25765_000030_000002	I am more than glad to see you.	I am more than glad to see you.	true	280.2	281.745	15
4719_25765_000030_000003	I have heard of some of your exploits, and often wondered why you did not seek to take service with me.	I have heard of some of your exploits, and often wondered why you did not seek to take service with me.	true	281.745	286.08	13
4719_25765_000030_000004	Let's see! You were on the staff of the late lamented Governor Johnson, were you not?"	Let's see! You were on the staff of the late lamented Governor Johnson, were you not?"	true	286.08	290.38	20.370365
4719_25765_000031_000000	"Yes," replied Calhoun; and his voice trembled, and tears came into his eyes in spite of himself, as he thought of the death of his beloved chief.	"Yes," replied Calhoun; and his voice trembled, and tears came into his eyes in spite of himself, as he thought of the death of his beloved chief.	true	290.57	298.54	21.072042
4719_25765_000032_000000	"A grand man, a brave man," said Morgan, gently.	"A grand man, a brave man," said Morgan, gently.	true	298.67	301.6	16.03753
4719_25765_000032_000001	"Now that he has gone, what do you propose doing?"	"Now that he has gone, what do you propose doing?"	true	301.85	304.33	21.37229
4719_25765_000033_000000	"That is what I have come to see you about.	"That is what I have come to see you about.	true	304.34	306.16	20.157019
4719_25765_000033_000001	General Beauregard has offered me a position on his staff, but I wanted to see you before I accepted."	General Beauregard has offered me a position on his staff, but I wanted to see you before I accepted."	true	306.26	311.385	18
4719_25765_000034_000000	"What! a position on the staff of General Beauregard!	"What! a position on the staff of General Beauregard!	true	311.385	314.355	19.78476
4719_25765_000034_000001	That is a rare honor for one so young as you are.	That is a rare honor for one so young as you are.	true	314.355	316.93	16
4719_25765_000034_000002	Of course you are going to accept?"	Of course you are going to accept?"	true	316.97	318.795	20.16106
4719_25765_000035_000000	"I do not know yet; I am to give him an answer in the morning, as I said I wanted to see you first.	"I do not know yet; I am to give him an answer in the morning, as I said I wanted to see you first.	false	318.795	324.105	17
4719_25765_000035_000001	Great as the honor is which has been offered me, I feel it is a service which would not be agreeable to me.	Great as the honor is which has been offered me, I feel it is a service which would not be agreeable to me.	true	324.105	329.43	15
4719_25765_000035_000002	I much prefer the freer life of a scout and ranger.	I much prefer the freer life of a scout and ranger.	true	329.43	332.385	18
4719_25765_000035_000003	Perhaps you may know, I have done much of this kind of work.	Perhaps you may know, I have done much of this kind of work.	true	332.385	335.115	17
4719_25765_000035_000004	I have even performed more dangerous tasks than that of scouting, and I confess I rather like it."	I have even performed more dangerous tasks than that of scouting, and I confess I rather like it."	true	335.115	339.82	15
4719_25765_000036_000000	Morgan mused for a moment, and then suddenly asked: "Are you not a cousin of Frederic Shackelford, son of the late Colonel Richard Shackelford of our army?"	Morgan mused for a moment, and then suddenly asked: "Are you not a cousin of Frederic Shackelford, son of the late Colonel Richard Shackelford of our army?"	false	339.83	347.65	21.07477
4719_25765_000037_000000	Calhoun's brow clouded.	Calhoun's brow clouded.	true	347.78	349.275	20.282225
4719_25765_000037_000001	"Yes," he answered; "but why do you say the late Colonel Shackelford?	"Yes," he answered; "but why do you say the late Colonel Shackelford?	true	349.275	352.51	20
4719_25765_000037_000002	Uncle Dick is not dead."	Uncle Dick is not dead."	true	352.58	354.16	22.694506
4719_25765_000038_000000	"Is that so?	"Is that so?	true	354.35	355.32	21.845442
4719_25765_000038_000001	I am rejoiced to hear it.	I am rejoiced to hear it.	true	355.32	356.7	20
4719_25765_000038_000002	It was reported he was among the slain."	It was reported he was among the slain."	false	356.7	358.65	15
4719_25765_000039_000000	"He was desperately wounded," answered Calhoun, "but he did not die, and he is now a prisoner in the hands of the Yankees.	"He was desperately wounded," answered Calhoun, "but he did not die, and he is now a prisoner in the hands of the Yankees.	true	358.65	364.86	21.70478
4719_25765_000039_000001	Uncle Dick is a hero; but as for that traitor cousin of mine, I hate him!" and again Calhoun's brow grew dark.	Uncle Dick is a hero; but as for that traitor cousin of mine, I hate him!" and again Calhoun's brow grew dark.	true	364.86	370.935	19.671204
4719_25765_000040_000000	"I have no reason to love him," laughed Morgan, "but I cannot help admiring him.	"I have no reason to love him," laughed Morgan, "but I cannot help admiring him.	true	370.935	375.21	19.832556
4719_25765_000040_000001	He it was who discovered our well-laid plans, and forced me to flee from Lexington, as a thief in the night."	He it was who discovered our well laid plans, and forced me to flee from Lexington, as a thief in the night."	true	375.21	380.29	16
4719_25765_000041_000000	"Aye!" answered Calhoun, "but for him and that brute Nelson, Kentucky would now have been out of the Union.	"Aye!" answered Calhoun, "but for him and that brute Nelson, Kentucky would now have been out of the Union.	false	380.42	386.44	21.426088
4719_25765_000041_000001	But that is not all.	But that is not all.	true	386.6	387.91	22.925842
4719_25765_000041_000002	Had it not been for the same two traitors there would have been a different story to tell of Shiloh.	Had it not been for the same two traitors there would have been a different story to tell of Shiloh.	true	387.95	392.62	16
4719_25765_000041_000003	Grant's army would now have been prisoners, Buell's in full flight, and our own pressing northward to redeem Kentucky.	Grant's army would now have been prisoners, Buell's in full flight, and our own pressing northward to redeem Kentucky.	false	392.66	397.93	19.070324
4719_25765_000041_000004	Had there been no Nelson, Buell's army would not have reached Grant in time to save him from destruction.	Had there been no Nelson, Buell's army would not have reached Grant in time to save him from destruction.	true	398.03	402.93	15
4719_25765_000041_000005	If there had been no Fred Shackelford I should have borne the news to General Johnston that Buell would join Grant by the fifth, and Johnston would have made his attack a couple of days earlier.	If there had been no Fred Shackelford I should have borne the news to General Johnston that Buell would join Grant by the fifth, and Johnston would have made his attack a couple of days earlier.	false	402.93	412.21	17
4719_25765_000041_000006	I was bearing the news to Johnston that Nelson would reach Savannah by the fifth when I was captured."	I was bearing the news to Johnston that Nelson would reach Savannah by the fifth when I was captured."	true	412.37	416.86	18
4719_25765_000042_000000	"Captured?" echoed Morgan, in surprise.	"Captured?" echoed Morgan, in surprise.	true	416.87	419.17	20
4719_25765_000043_000000	"Yes, captured, and by no less a personage than my cousin Fred Shackelford.	"Yes, captured, and by no less a personage than my cousin Fred Shackelford.	true	419.3	423.345	18
4719_25765_000043_000001	But for this I would have reached Johnston by the second; as it was, I did not reach Shiloh until the morning of the last day of the battle."	But for this I would have reached Johnston by the second; as it was, I did not reach Shiloh until the morning of the last day of the battle."	true	423.345	429.97	16
4719_25765_000044_000000	"Then you escaped?" queried Morgan.	"Then you escaped?" queried Morgan.	true	430.16	432.01	26.17697
4719_25765_000045_000000	"No; my cousin let me go, after he had held me until he knew my information would be of no value.	"No; my cousin let me go, after he had held me until he knew my information would be of no value.	false	432.26	437.95	20
4719_25765_000045_000001	I was dressed in citizen's clothes.	I was dressed in citizen's clothes.	true	437.99	439.98	22.171806
4719_25765_000045_000002	He could have had me hanged as a spy.	He could have had me hanged as a spy.	false	439.98	441.64	22.529339
4719_25765_000045_000003	I suppose I ought to be thankful to him, but I am not." And Calhoun shuddered when he thought how near he had been to death.(1)	I suppose I ought to be thankful to him, but I am not." And Calhoun shuddered when he thought how near he had been to death.(one)	false	441.68	448.35	22.018244
4719_25765_000046_000000	"That was kind of him," said Morgan; "and you ought to be thankful to him, whether you are or not.	"That was kind of him," said Morgan; "and you ought to be thankful to him, whether you are or not.	false	448.35	453.25	21.304295
4719_25765_000046_000001	To tell the truth, I took a great fancy to young Shackelford, and tried hard to get him to cast his lot with me.	To tell the truth, I took a great fancy to young Shackelford, and tried hard to get him to cast his lot with me.	false	453.29	459.34	20.365995
4719_25765_000046_000002	But as I failed to get him, I believe you would make a splendid substitute.	But as I failed to get him, I believe you would make a splendid substitute.	true	459.53	463.53	21
4719_25765_000046_000003	You still think you had rather go with me than be on Beauregard's staff?"	You still think you had rather go with me than be on Beauregard's staff?"	false	463.53	467.02	19
4719_25765_000047_000000	"A thousand times, yes.	"A thousand times, yes.	true	467.24	469	23.000805
4719_25765_000047_000001	I had rather go with you as a private than be a lieutenant on the General's staff," answered Calhoun, with vehemence.	I had rather go with you as a private than be a lieutenant on the General's staff," answered Calhoun, with vehemence.	true	469.01	474.7	15
4719_25765_000048_000000	Morgan's eyes sparkled.	Morgan's eyes sparkled.	true	474.74	476.26	30.29077
4719_25765_000048_000001	"That is the finest compliment I ever had paid me," he said, "but I cannot allow the son of my old friend Judge Pennington to serve in the ranks as a private soldier.	"That is the finest compliment I ever had paid me," he said, "but I cannot allow the son of my old friend Judge Pennington to serve in the ranks as a private soldier.	false	476.33	485.14	16
4719_25765_000048_000002	Yet my companies are fully officered now.	Yet my companies are fully officered now.	true	485.3	487.485	14
4719_25765_000048_000003	Let's see!	Let's see!	true	487.485	488.23	20.427965
4719_25765_000048_000004	How would you like to go back to Kentucky?"	How would you like to go back to Kentucky?"	true	488.51	490.45	23.256815
4719_25765_000049_000000	"Go back to Kentucky?" asked Calhoun in surprise.	"Go back to Kentucky?" asked Calhoun in surprise.	false	490.97	493.75	22
4719_25765_000050_000000	"Yes, to recruit for my command.	"Yes, to recruit for my command.	true	494.18	496.24	23.471165
4719_25765_000050_000001	Do you think you could dodge the Yankees?"	Do you think you could dodge the Yankees?"	true	496.25	498.16	21
4719_25765_000051_000000	"I believe I could.	"I believe I could.	true	498.71	499.96	29.132961
4719_25765_000051_000001	I could at least try," answered Calhoun, his face aglow with the idea.	I could at least try," answered Calhoun, his face aglow with the idea.	true	499.97	503.74	21.471613
4719_25765_000052_000000	"The case is this," said Morgan: "I am going to make a raid in a few days, and am going to try to reach Kentucky.	"The case is this," said Morgan: "I am going to make a raid in a few days, and am going to try to reach Kentucky.	false	503.9	510.07	20.405308
4719_25765_000052_000001	My present force is small--not much over four hundred.	My present force is small-not much over four hundred.	true	510.14	513.45	20
4719_25765_000052_000002	I do not look for much help from the Confederate Government.	I do not look for much help from the Confederate Government.	true	513.45	516.345	21
4719_25765_000052_000003	Those in authority do not regard with much favor independent organizations.	Those in authority do not regard with much favor independent organizations.	true	516.345	520.44	15
4719_25765_000052_000004	To augment my force, I must in a great measure rely on my own efforts.	To augment my force, I must in a great measure rely on my own efforts.	false	520.44	524.4	15
4719_25765_000052_000005	I know there are hundreds of the flower of Kentucky youths eager to join me if they had the opportunity.	I know there are hundreds of the flower of Kentucky youths eager to join me if they had the opportunity.	true	524.4	529.36	14
4719_25765_000052_000006	You are just the person to send back to organize them.	You are just the person to send back to organize them.	true	529.73	532.72	18.452267
4719_25765_000052_000007	When can you start?"	When can you start?"	true	532.82	534.045	23.667973
4719_25765_000053_000000	"In the morning," answered Calhoun.	"In the morning," answered Calhoun.	true	534.045	535.69	18.57209
4719_25765_000054_000000	Morgan smiled.	Morgan smiled.	true	536.27	537.48	19.274143
4719_25765_000054_000001	"Good!" he said.	"Good!" he said.	true	537.48	538.69	19.550165
4719_25765_000054_000002	"You are made of the right material.	"You are made of the right material.	true	538.94	540.54	19.120909
4719_25765_000054_000003	We will make full arrangements to-morrow.	We will make full arrangements to morrow.	false	540.54	542.475	20
4719_25765_000054_000004	Good night, now, for it is getting late."	Good night, now, for it is getting late."	true	542.475	544.42	26.031082
4719_25765_000055_000000	Thus dismissed Calhoun went away with a light heart.	Thus dismissed Calhoun went away with a light heart.	true	544.64	547.29	21
4719_25765_000055_000001	He was to be one of Morgan's men.	He was to be one of Morgan's men.	true	547.29	549.22	19.081646
4719_25765_000055_000002	It was all he wished.	It was all he wished.	true	549.47	550.845	18.60277
4719_25765_000056_000000	The next morning Calhoun informed General Beauregard that while sensible of the great honor which he would bestow on him by appointing him a member of his staff, yet he believed he could be of more service to the South by casting his fortune with Morgan, and he had concluded to do so.	The next morning Calhoun informed General Beauregard that while sensible of the great honor which he would bestow on him by appointing him a member of his staff, yet he believed he could be of more service to the South by casting his fortune with Morgan, and he had concluded to do so.	true	550.845	565.44	18
4719_25765_000057_000000	"While I greatly regret to lose you," replied the General, "I believe you have chosen well.	"While I greatly regret to lose you," replied the General, "I believe you have chosen well.	false	565.44	570.31	19.026758
4719_25765_000057_000001	To one of your temperament service with Morgan will be much more congenial than the duties of a staff officer.	To one of your temperament service with Morgan will be much more congenial than the duties of a staff officer.	true	570.47	576.31	19
4719_25765_000057_000002	In fact," continued the General, with a smile, "I think you resemble Morgan in being restive under orders, and prefer to have your own way and go where you please.	In fact," continued the General, with a smile, "I think you resemble Morgan in being restive under orders, and prefer to have your own way and go where you please.	true	576.65	585.85	19.507448
4719_25765_000057_000003	A command or two of partisan rangers may do, but too many would be fatal to the discipline of an army.	A command or two of partisan rangers may do, but too many would be fatal to the discipline of an army.	true	586.1	591.25	16
4719_25765_000057_000004	Morgan may do the enemy a great deal of mischief, but after all, the fate of the South must be decided by her great armies."	Morgan may do the enemy a great deal of mischief, but after all, the fate of the South must be decided by her great armies."	true	591.41	598.12	19.55207
4719_25765_000058_000000	"True, General," replied Calhoun, "but if Morgan can keep thousands of the enemy in the rear guarding their communications, the great armies of the North will be depleted by that number."	"True, General," replied Calhoun, "but if Morgan can keep thousands of the enemy in the rear guarding their communications, the great armies of the North will be depleted by that number."	true	598.61	607.78	20.106415
4719_25765_000059_000000	"That is true also," answered Beauregard; "and for that reason Morgan will be given more or less of a free rein.	"That is true also," answered Beauregard; "and for that reason Morgan will be given more or less of a free rein.	false	607.82	613.54	17.923775
4719_25765_000059_000001	I have recommended him for a colonelcy.	I have recommended him for a colonelcy.	true	613.61	615.76	21.907103
4719_25765_000059_000002	Convey to him my regards, and tell him I heartily congratulate him upon his last recruit."	Convey to him my regards, and tell him I heartily congratulate him upon his last recruit."	true	615.89	621.07	17.980667
4719_25765_000060_000000	General Beauregard's kind words touched Calhoun deeply.	General Beauregard's kind words touched Calhoun deeply.	true	621.17	624.22	18.998648
4719_25765_000060_000001	"Thank you, General," he replied, with feeling.	"Thank you, General," he replied, with feeling.	true	624.32	626.44	17
4719_25765_000060_000002	"I trust I shall never prove myself unworthy of your good opinion.	"I trust I shall never prove myself unworthy of your good opinion.	true	626.48	629.92	17
4719_25765_000060_000003	May God bless you, and crown your efforts with victory!"	May God bless you, and crown your efforts with victory!"	true	629.93	633.04	27.124168
4719_25765_000061_000000	After parting with Beauregard, Calhoun lost no time in reporting to Morgan.	After parting with Beauregard, Calhoun lost no time in reporting to Morgan.	true	633.23	636.93	16
4719_25765_000061_000001	He found his chief in command of about four hundred men, rough, daring fellows who would follow their leader wherever he went.	He found his chief in command of about four hundred men, rough, daring fellows who would follow their leader wherever he went.	true	636.93	642.88	14
4719_25765_000061_000002	A more superb body of rough-riders was never formed.	A more superb body of rough riders was never formed.	true	643.1	646.47	18.484783
4719_25765_000062_000000	Calhoun was introduced to the officers of the squadron, and when it became known that he was going back to Kentucky to recruit for the command--although many of the officers wondered why their chief had selected one so young--they gave him a hearty welcome.	Calhoun was introduced to the officers of the squadron, and when it became known that he was going back to Kentucky to recruit for the command-although many of the officers wondered why their chief had selected one so young-they gave him a hearty welcome.	true	646.47	658.9	18.742306
4719_25765_000062_000001	But when it became known that he was the son of Judge Pennington, of Danville, that he had already won renown as a daring scout, and had been offered a position on the staff of General Beauregard, their welcome was doubly enthusiastic.	But when it became known that he was the son of Judge Pennington, of Danville, that he had already won renown as a daring scout, and had been offered a position on the staff of General Beauregard, their welcome was doubly enthusiastic.	true	659.12	671.23	18.118889
4719_25765_000063_000000	To this welcome there was one exception.	To this welcome there was one exception.	true	671.45	673.275	16
4719_25765_000063_000001	One of Morgan's officers, Captain P. C. Conway, had applied to Morgan for permission to go back to Kentucky on this same duty, and had been refused.	One of Morgan's officers, Captain p c Conway, had applied to Morgan for permission to go back to Kentucky on this same duty, and had been refused.	false	673.275	680.925	16
4719_25765_000063_000002	He was a short, thickset, red-faced man with a very pompous air.	He was a short, thickset, red faced man with a very pompous air.	true	680.925	684.37	19
4719_25765_000063_000003	His weakness was liquor; yet he was a brave, efficient officer.	His weakness was liquor; yet he was a brave, efficient officer.	true	684.47	688	17.319252
4719_25765_000063_000004	What he considered an affront was never forgiven, for he was of a revengeful disposition.	What he considered an affront was never forgiven, for he was of a revengeful disposition.	true	688.1	693.28	17.684168
4719_25765_000063_000005	It was consistent with his character that he should become a mortal enemy of Calhoun.	It was consistent with his character that he should become a mortal enemy of Calhoun.	true	693.32	697.66	14
4719_25765_000064_000000	When he was introduced to Calhoun he merely bowed, and did not offer to give his hand.	When he was introduced to Calhoun he merely bowed, and did not offer to give his hand.	true	698.21	702.49	17.559767
4719_25765_000065_000000	"I believe I have heard of Captain Conway," said Calhoun, with a smile.	"I believe I have heard of Captain Conway," said Calhoun, with a smile.	true	702.59	706.15	20
4719_25765_000065_000001	"I have heard a cousin of mine speak of him."	"I have heard a cousin of mine speak of him."	true	706.4	708.7	20.65971
4719_25765_000066_000000	"Why, yes," spoke up Morgan, with a twinkle in his eye, "Captain, Lieutenant Pennington is a cousin of your particular friend, Captain Fred Shackelford, of the Yankee army."	"Why, yes," spoke up Morgan, with a twinkle in his eye, "Captain, Lieutenant Pennington is a cousin of your particular friend, Captain Fred Shackelford, of the Yankee army."	true	708.71	717.465	19
4719_25765_000067_000000	Conway fairly turned purple with rage.	Conway fairly turned purple with rage.	true	717.465	719.68	22.612541
4719_25765_000067_000001	"Lieutenant Pennington has no reason to be proud of his relationship to that sneak and spy," he snorted.	"Lieutenant Pennington has no reason to be proud of his relationship to that sneak and spy," he snorted.	true	719.75	724.92	17
4719_25765_000068_000000	"I have no more reason to love my cousin than you," replied Calhoun, with some warmth.	"I have no more reason to love my cousin than you," replied Calhoun, with some warmth.	true	724.92	728.83	13
4719_25765_000068_000001	"He may have played the spy; so have I; but sneak he is not, and I would thank you not to use the term again, traitor though he is to the South and his native state."	"He may have played the spy; so have I; but sneak he is not, and I would thank you not to use the term again, traitor though he is to the South and his native state."	false	728.96	737.68	20
