5157_47238_000000_000000	Letters	Letters	true	2.7	3.12	7
5157_47238_000037_000000	I send your Lordship an interesting letter I have just received from our Consul at Trieste: and Acton's answer to my yesterday's letter communicating your kind resolution of taking care of their Sicilian Majesties and their kingdoms; and which, your Lordship will see, gives them great satisfaction.	I send your Lordship an interesting letter I have just received from our Consul at Trieste: and Acton's answer to my yesterday's letter communicating your kind resolution of taking care of their Sicilian Majesties and their kingdoms; and which, your Lordship will see, gives them great satisfaction.	true	368.99	389.14	18
5157_47238_000038_000000	As to the fleet having been seen by the Towers near Messina, and to the westward--I believe, it was your squadron.	As to the fleet having been seen by the Towers near Messina, and to the westward-I believe, it was your squadron.	true	390.56	398.59	18.298838
5157_47238_000039_000000	I send you, likewise, a strange rhapsody from Lord Bristol: but something may be collected from it; or, at least, it will amuse you, and you have leisure enough on board, which I have not on shore.	I send you, likewise, a strange rhapsody from Lord Bristol: but something may be collected from it; or, at least, it will amuse you, and you have leisure enough on board, which I have not on shore.	true	399.65	412.06	19.357613
5157_47238_000039_000001	Be so good as to send back that letter, and Graham's, by the first opportunity.	Be so good as to send back that letter, and Graham's, by the first opportunity.	false	412.88	416.77	14
5157_47238_000040_000000	Above all, take care of your health; that is the first of blessings. May God ever protect you!	Above all, take care of your health; that is the first of blessings. May God ever protect you!	true	418.13	424.815	20.225904
5157_47238_000040_000001	We miss you heavily: but, a short time must clear up the business; and, we hope, bring you back to those who love and esteem you to the very bottom of their souls.	We miss you heavily: but, a short time must clear up the business; and, we hope, bring you back to those who love and esteem you to the very bottom of their souls.	false	424.815	434.74	20
5157_47238_000041_000000	Ever your affectionate friend, and humble servant,	Ever your affectionate friend, and humble servant,	true	435.5	438.48	15
5157_47238_000042_000000	Wm.	w m.	false	438.48	439.35	34
5157_47238_000042_000001	HAMILTON.	HAMILTON.	true	439.35	440.1	10
5157_47238_000043_000000	V.	V.	false	440.1	443.22	15.938534
5157_47238_000044_000000	Palermo, June 17th, 1799.	Palermo, june seventeenth seventeen ninety nine.	true	443.22	446.62	15
5157_47238_000045_000000	MY DEAR LORD,	MY DEAR LORD,	true	447.32	448.6	22.466854
5157_47238_000046_000000	I am happy to receive the packet from Major Magra, and which I shall instantly send to General Acton.	I am happy to receive the packet from Major Magra, and which I shall instantly send to General Acton.	true	448.67	454.84	17
5157_47238_000047_000000	Nothing has happened, worth telling you, since the few hours we have been separated.	Nothing has happened, worth telling you, since the few hours we have been separated.	true	455.63	460	15
5157_47238_000048_000000	God bless you, my very dear friend; and my mind tells me, that you will soon have reason, either by good news, or by a proper reinforcement sent to you, to be in a much happier state of mind than you could possibly be when you left us this morning.	God bless you, my very dear friend; and my mind tells me, that you will soon have reason, either by good news, or by a proper reinforcement sent to you, to be in a much happier state of mind than you could possibly be when you left us this morning.	false	460.52	475.27	16
5157_47238_000048_000001	All looks melancholy without you.	All looks melancholy without you.	true	476.21	478.45	19
5157_47238_000049_000000	Ever, my dear Lord, your truly attached friend,	Ever, my dear Lord, your truly attached friend,	true	478.46	482.04	20.079962
5157_47238_000050_000000	Wm.	w m.	false	482.04	482.88	28
5157_47238_000050_000001	HAMILTON.	HAMILTON.	true	482.88	483.57	11
5157_47238_000051_000000	VI.	VI.	false	483.57	486.27	14.037258
5157_47238_000052_000000	Palermo, June 20th, 1799. Eight o'Clock at Night.	Palermo, june twentieth seventeen ninety nine. Eight o'Clock at Night.	true	486.27	490.81	21.561684
5157_47238_000053_000000	MY DEAR LORD,	MY DEAR LORD,	true	491.39	492.67	24.78609
5157_47238_000054_000000	Having wrote fully by the felucca to-day, that went off at three o'clock--and have not yet General Acton's answer, with respect to what the Court would wish you to do when you hear how the French fleet is disposed of--I have nothing to write by the transport.	Having wrote fully by the felucca to day, that went off at three o'clock-and have not yet General Acton's answer, with respect to what the Court would wish you to do when you hear how the French fleet is disposed of-I have nothing to write by the transport.	true	492.68	507.37	20.655216
5157_47238_000055_000000	God bless you!	God bless you!	true	507.62	508.63	21.424421
5157_47238_000055_000001	And I hope, somehow or other, we shall meet again soon.	And I hope, somehow or other, we shall meet again soon.	true	509	513.01	21
5157_47238_000056_000000	My dear Lord, your's, most sincerely,	My dear Lord, your's, most sincerely,	true	513.41	516.21	14
5157_47238_000057_000000	Wm.	w m.	false	516.21	517.14	36
5157_47238_000057_000001	HAMILTON.	HAMILTON.	false	517.14	526.74	16.545784
