8776_270778_000002_000000	THE DREAM	THE DREAM
8776_270778_000011_000005	For example, the phrase "services of love," and above all the bits of speech which immediately precede the murmurs, demand a completion which can have but one meaning. If we interpolate these, then the phantasy yields as its content the idea that the dreamer is ready, as an act of patriotic duty, to offer her person for the satisfaction of the erotic desires of the army, officers as well as troops.	For example, the phrase "services of love," and above all the bits of speech which immediately precede the murmurs, demand a completion which can have but one meaning. If we interpolate these, then the phantasy yields as its content the idea that the dreamer is ready, as an act of patriotic duty, to offer her person for the satisfaction of the erotic desires of the army, officers as well as troops.
8776_270778_000011_000006	That certainly is exceedingly shocking, it is an impudent libidinous phantasy, but--it does not occur in the dream at all.	That certainly is exceedingly shocking, it is an impudent libidinous phantasy, but-it does not occur in the dream at all.
8776_270778_000012_000000	I hope you will recognize the inevitability of the conclusion that it is the shocking character of these places in the dream that was the motive for their suppression.	I hope you will recognize the inevitability of the conclusion that it is the shocking character of these places in the dream that was the motive for their suppression.
8776_270778_000012_000001	Yet where do you find a parallel for this state of affairs?	Yet where do you find a parallel for this state of affairs?
8776_270778_000012_000002	In these times you need not seek far.	In these times you need not seek far.
8776_270778_000012_000003	Take up any political paper and you will find that the text is obliterated here and there, and that in its place shimmers the white of the paper.	Take up any political paper and you will find that the text is obliterated here and there, and that in its place shimmers the white of the paper.
8776_270778_000012_000004	You know that that is the work of the newspaper censor.	You know that that is the work of the newspaper censor.
8776_270778_000012_000006	You think that it is a pity, that it probably was the most interesting part, it was "the best part."	You think that it is a pity, that it probably was the most interesting part, it was "the best part."
8776_270778_000013_000000	In other places the censorship did not touch the completed sentence.	In other places the censorship did not touch the completed sentence.
8776_270778_000013_000001	The author foresaw what parts might be expected to meet with the objection of the censor, and for that reason he softened them by way of prevention, modified them slightly, or contented himself with innuendo and allusion to what really wanted to flow from his pen.	The author foresaw what parts might be expected to meet with the objection of the censor, and for that reason he softened them by way of prevention, modified them slightly, or contented himself with innuendo and allusion to what really wanted to flow from his pen.
8776_270778_000013_000002	Thus the sheet, it is true, has no blank spaces, but from certain circumlocutions and obscurities of expression you will be able to guess that thoughts of the censorship were the restraining motive.	Thus the sheet, it is true, has no blank spaces, but from certain circumlocutions and obscurities of expression you will be able to guess that thoughts of the censorship were the restraining motive.
8776_270778_000014_000000	Now let us keep to this parallel.	Now let us keep to this parallel.
8776_270778_000014_000001	We say that the omitted dream speeches, which were disguised by a murmuring, were also sacrifices to a censorship.	We say that the omitted dream speeches, which were disguised by a murmuring, were also sacrifices to a censorship.
8776_270778_000014_000003	Wherever there are gaps in the manifest dream, it is the fault of the dream censor.	Wherever there are gaps in the manifest dream, it is the fault of the dream censor.
8776_270778_000014_000004	Indeed, we should go further, and recognize each time as a manifestation of the dream censor, those places at which a dream element is especially faint, indefinitely and doubtfully recalled among other, more clearly delineated portions.	Indeed, we should go further, and recognize each time as a manifestation of the dream censor, those places at which a dream element is especially faint, indefinitely and doubtfully recalled among other, more clearly delineated portions.
8776_270778_000015_000000	For a third type of dream censorship I know of no parallel in the practice of newspaper censorship, yet it is just this type that I can demonstrate by the only dream example which we have so far analyzed.	For a third type of dream censorship I know of no parallel in the practice of newspaper censorship, yet it is just this type that I can demonstrate by the only dream example which we have so far analyzed.
8776_270778_000015_000003	In the latter, going to the theatre and getting the tickets were shoved into the foreground.	In the latter, going to the theatre and getting the tickets were shoved into the foreground.
8776_270778_000015_000005	This displacement of emphasis is a favorite device of the dream distortion and gives the dream that strangeness which makes the dreamer himself unwilling to recognize it as his own production.	This displacement of emphasis is a favorite device of the dream distortion and gives the dream that strangeness which makes the dreamer himself unwilling to recognize it as his own production.
8776_270778_000016_000001	The dream censorship itself is the author, or one of the authors, of the dream distortion whose investigation now occupies us.	The dream censorship itself is the author, or one of the authors, of the dream distortion whose investigation now occupies us.
8776_270778_000017_000000	After these remarks concerning the effects of the dream censor, let us now turn to their dynamics.	After these remarks concerning the effects of the dream censor, let us now turn to their dynamics.
8776_270778_000017_000001	I hope you will not consider the expression too anthropomorphically, and picture the dream censor as a severe little manikin who lives in a little brain chamber and there performs his duties; nor should you attempt to localize him too much, to think of a brain center from which his censoring influence emanates, and which would cease with the injury or extirpation of this center.	I hope you will not consider the expression too anthropomorphically, and picture the dream censor as a severe little manikin who lives in a little brain chamber and there performs his duties; nor should you attempt to localize him too much, to think of a brain center from which his censoring influence emanates, and which would cease with the injury or extirpation of this center.
8776_270778_000017_000002	For the present, the term "dream censor" is no more than a very convenient phrase for a dynamic relationship.	For the present, the term "dream censor" is no more than a very convenient phrase for a dynamic relationship.
8776_270778_000017_000003	This phrase does not prevent us from asking by what tendencies such influence is exerted and upon which tendencies it works; nor will we be surprised to discover that we have already encountered the dream censor before, perhaps without recognizing him.	This phrase does not prevent us from asking by what tendencies such influence is exerted and upon which tendencies it works; nor will we be surprised to discover that we have already encountered the dream censor before, perhaps without recognizing him.
8776_270778_000018_000000	For such was actually the case.	For such was actually the case.
8776_270778_000018_000001	You will remember that we had a surprising experience when we began to apply our technique of free association.	You will remember that we had a surprising experience when we began to apply our technique of free association.
8776_270778_000018_000002	We then began to feel that some sort of a resistance blocked our efforts to proceed from the dream element to the unconscious element for which the former is the substitute.	We then began to feel that some sort of a resistance blocked our efforts to proceed from the dream element to the unconscious element for which the former is the substitute.
8776_270778_000018_000003	This resistance, we said, may be of varying strength, enormous at one time, quite negligible at another.	This resistance, we said, may be of varying strength, enormous at one time, quite negligible at another.
8776_270778_000018_000004	In the latter case we need cross only a few intermediate steps in our work of interpretation.	In the latter case we need cross only a few intermediate steps in our work of interpretation.
8776_270778_000018_000005	But when the resistance is strong, then we must go through a long chain of associations, are taken far afield and must overcome all the difficulties which present themselves as critical objections to the association technique.	But when the resistance is strong, then we must go through a long chain of associations, are taken far afield and must overcome all the difficulties which present themselves as critical objections to the association technique.
8776_270778_000018_000007	The resistance to interpretation is nothing but the objectivation of the dream censor.	The resistance to interpretation is nothing but the objectivation of the dream censor.
8776_270778_000018_000008	The latter proves to us that the force of the censor has not spent itself in causing the dream distortion, has not since been extinguished, but that this censorship continues as a permanent institution with the purpose of preserving the distortion.	The latter proves to us that the force of the censor has not spent itself in causing the dream distortion, has not since been extinguished, but that this censorship continues as a permanent institution with the purpose of preserving the distortion.
8776_270778_000019_000001	This question, which is fundamental to the understanding of the dream, indeed perhaps to human life, is easily answered if we look over a series of those dreams which have been analyzed.	This question, which is fundamental to the understanding of the dream, indeed perhaps to human life, is easily answered if we look over a series of those dreams which have been analyzed.
8776_270778_000019_000002	The tendencies which the censorship exercises are those which are recognized by the waking judgment of the dreamer, those with which he feels himself in harmony.	The tendencies which the censorship exercises are those which are recognized by the waking judgment of the dreamer, those with which he feels himself in harmony.
8776_270778_000019_000003	You may rest assured that when you reject an accurate interpretation of a dream of your own, you do so with the same motives with which the dream censor works, the motives with which it produces the dream distortion and makes the interpretation necessary. Recall the dream of our fifty-year old lady.	You may rest assured that when you reject an accurate interpretation of a dream of your own, you do so with the same motives with which the dream censor works, the motives with which it produces the dream distortion and makes the interpretation necessary. Recall the dream of our fifty year old lady.
8776_270778_000019_000004	Without having interpreted it, she considers her dream abominable, would have been still more outraged if our informant had told her anything about the indubitable meaning; and it is just on account of this condemnation that the shocking spots in her dream were replaced by a murmur.	Without having interpreted it, she considers her dream abominable, would have been still more outraged if our informant had told her anything about the indubitable meaning; and it is just on account of this condemnation that the shocking spots in her dream were replaced by a murmur.
8776_270778_000020_000000	The tendencies, however, against which the dream censor directs itself, must now be described from the standpoint of this instance.	The tendencies, however, against which the dream censor directs itself, must now be described from the standpoint of this instance.
8776_270778_000020_000001	One can say only that these tendencies are of an objectionable nature throughout, that they are shocking from an ethical, aesthetic and social point of view, that they are things one does not dare even to think, or thinks of only with abhorrence.	One can say only that these tendencies are of an objectionable nature throughout, that they are shocking from an ethical, aesthetic and social point of view, that they are things one does not dare even to think, or thinks of only with abhorrence.
8776_270778_000020_000002	These censored wishes which have attained to a distorted expression in the dream, are above all expressions of a boundless, reckless egoism.	These censored wishes which have attained to a distorted expression in the dream, are above all expressions of a boundless, reckless egoism.
8776_270778_000020_000003	And indeed, the personal ego occurs in every dream to play the major part in each of them, even if it can successfully disguise itself in the manifest content.	And indeed, the personal ego occurs in every dream to play the major part in each of them, even if it can successfully disguise itself in the manifest content.
8776_270778_000021_000000	The ego which has been freed of all ethical restraints feels itself in accord with all the demands of the sexual striving, with those demands which have long since been condemned by our aesthetic rearing, demands of such a character that they resist all our moral demands for restraint.	The ego which has been freed of all ethical restraints feels itself in accord with all the demands of the sexual striving, with those demands which have long since been condemned by our aesthetic rearing, demands of such a character that they resist all our moral demands for restraint.
8776_270778_000021_000001	The pleasure-striving--the libido, as we term it--chooses its objects without inhibitions, and indeed, prefers those that are forbidden.	The pleasure striving-the libido, as we term it-chooses its objects without inhibitions, and indeed, prefers those that are forbidden.
8776_270778_000021_000002	It chooses not only the wife of another, but, above all, those incestuous objects declared sacred by the agreement of mankind--the mother and sister in the man's case, the father and brother in the woman's.	It chooses not only the wife of another, but, above all, those incestuous objects declared sacred by the agreement of mankind-the mother and sister in the man's case, the father and brother in the woman's.
8776_270778_000021_000003	Even the dream of our fifty-year old lady is an incestuous one, its libido unmistakably directed toward her son.	Even the dream of our fifty year old lady is an incestuous one, its libido unmistakably directed toward her son.
8776_270778_000021_000004	Desires which we believe to be far from human nature show themselves strong enough to arouse dreams.	Desires which we believe to be far from human nature show themselves strong enough to arouse dreams.
8776_270778_000021_000005	Hate, too, expends itself without restraint. Revenge and murderous wishes toward those standing closest to the dreamer are not unusual, toward those best beloved in daily life, toward parents, brothers and sisters, toward one's spouse and one's own children.	Hate, too, expends itself without restraint. Revenge and murderous wishes toward those standing closest to the dreamer are not unusual, toward those best beloved in daily life, toward parents, brothers and sisters, toward one's spouse and one's own children.
8776_270778_000021_000006	These censored wishes seem to arise from a veritable hell; no censorship seems too harsh to be applied against their waking interpretation.	These censored wishes seem to arise from a veritable hell; no censorship seems too harsh to be applied against their waking interpretation.
8776_270778_000022_000000	But do not reproach the dream itself for this evil content.	But do not reproach the dream itself for this evil content.
8776_270778_000022_000001	You will not, I am sure, forget that the dream is charged with the harmless, indeed the useful function of guarding sleep from disturbance.	You will not, I am sure, forget that the dream is charged with the harmless, indeed the useful function of guarding sleep from disturbance.
8776_270778_000022_000002	This evil content, then, does not lie in the nature of the dream.	This evil content, then, does not lie in the nature of the dream.
8776_270778_000022_000003	You know also that there are dreams which can be recognized as the satisfaction of justified wishes and urgent bodily needs.	You know also that there are dreams which can be recognized as the satisfaction of justified wishes and urgent bodily needs.
8776_270778_000022_000004	These, to be sure, undergo no dream distortion.	These, to be sure, undergo no dream distortion.
8776_270778_000022_000005	They need none.	They need none.
8776_270778_000022_000006	They can satisfy their function without offending the ethical and aesthetic tendencies of the ego.	They can satisfy their function without offending the ethical and aesthetic tendencies of the ego.
8776_270778_000022_000007	And will you also keep in mind the fact that the amount of dream distortion is proportional to two factors.	And will you also keep in mind the fact that the amount of dream distortion is proportional to two factors.
8776_270778_000022_000008	On the one hand, the worse the censorable wish, the greater the distortion; on the other hand, however, the stricter the censor himself is at any particular time the greater the distortion will be also.	On the one hand, the worse the censorable wish, the greater the distortion; on the other hand, however, the stricter the censor himself is at any particular time the greater the distortion will be also.
8776_270778_000022_000009	A young, strictly reared and prudish girl will, by reason of those factors, disfigure with an inexorable censorship those dream impulses which we physicians, for example, and which the dreamer herself ten years later, would recognize as permissible, harmless, libidinous desires.	A young, strictly reared and prudish girl will, by reason of those factors, disfigure with an inexorable censorship those dream impulses which we physicians, for example, and which the dreamer herself ten years later, would recognize as permissible, harmless, libidinous desires.
8776_270778_000023_000002	It is not at all difficult to "find a hitch" in it.	It is not at all difficult to "find a hitch" in it.
8776_270778_000023_000003	Our dream interpretations were made on the hypotheses we accepted a little while ago, that the dream has some meaning, that from the hypnotic to the normal sleep one may carry over the idea of the existence at such times of an unconscious psychic activity, and that all associations are predetermined.	Our dream interpretations were made on the hypotheses we accepted a little while ago, that the dream has some meaning, that from the hypnotic to the normal sleep one may carry over the idea of the existence at such times of an unconscious psychic activity, and that all associations are predetermined.
8776_270778_000023_000004	If we had come to plausible results on the basis of these hypotheses, we would have been justified in concluding that the hypotheses were correct.	If we had come to plausible results on the basis of these hypotheses, we would have been justified in concluding that the hypotheses were correct.
8776_270778_000023_000005	But what is to be done when the results are what I have just pictured them to be?	But what is to be done when the results are what I have just pictured them to be?
8776_270778_000023_000006	Then it surely is natural to say, "These results are impossible, foolish, at least very improbable, hence there must have been something wrong with the hypotheses.	Then it surely is natural to say, "These results are impossible, foolish, at least very improbable, hence there must have been something wrong with the hypotheses.
8776_270778_000023_000007	Either the dream is no psychic phenomenon after all, or there is no such thing as unconscious mental activity in the normal condition, or our technique has a gap in it somewhere.	Either the dream is no psychic phenomenon after all, or there is no such thing as unconscious mental activity in the normal condition, or our technique has a gap in it somewhere.
8776_270778_000023_000008	Is that not a simpler and more satisfying conclusion than the abominations which we pretend to have disclosed on the basis of our suppositions?"	Is that not a simpler and more satisfying conclusion than the abominations which we pretend to have disclosed on the basis of our suppositions?"
8776_270778_000024_000000	Both, I answer.	Both, I answer.
8776_270778_000024_000001	It is a simpler as well as a more satisfying conclusion, but not necessarily more correct for that reason.	It is a simpler as well as a more satisfying conclusion, but not necessarily more correct for that reason.
8776_270778_000024_000002	Let us take our time, the matter is not yet ripe for judgment.	Let us take our time, the matter is not yet ripe for judgment.
8776_270778_000024_000003	Above all we can strengthen the criticism against our dream interpretation still further.	Above all we can strengthen the criticism against our dream interpretation still further.
8776_270778_000024_000004	That its conclusions are so unpleasant and unpalatable is perhaps of secondary importance.	That its conclusions are so unpleasant and unpalatable is perhaps of secondary importance.
8776_270778_000024_000005	A stronger argument is the fact that the dreamers to whom we ascribe such wish-tendencies from the interpretation of their dreams reject the interpretations most emphatically, and with good reason. "What," says the one, "you want to prove to me by this dream that I begrudged the sums which I spent for my sister's trousseau and my brother's education?	A stronger argument is the fact that the dreamers to whom we ascribe such wish tendencies from the interpretation of their dreams reject the interpretations most emphatically, and with good reason. "What," says the one, "you want to prove to me by this dream that I begrudged the sums which I spent for my sister's trousseau and my brother's education?
8776_270778_000024_000006	But indeed that can't be so.	But indeed that can't be so.
8776_270778_000024_000007	Why I work only for my sister, I have no interest in life but to fulfill my duties toward her, as being the oldest child, I promised our blessed mother I would." Or a woman says of her dream, "You mean to say that I wish my husband were dead!	Why I work only for my sister, I have no interest in life but to fulfill my duties toward her, as being the oldest child, I promised our blessed mother I would." Or a woman says of her dream, "You mean to say that I wish my husband were dead!
8776_270778_000024_000008	Why, that is simply revolting, nonsense.	Why, that is simply revolting, nonsense.
8776_270778_000024_000009	It isn't only that we have the happiest possible married life, you probably won't believe me when I tell you so, but his death would deprive me of everything else that I own in the world." Or another will tell us, "You mean that I have sensual desires toward my sister?	It isn't only that we have the happiest possible married life, you probably won't believe me when I tell you so, but his death would deprive me of everything else that I own in the world." Or another will tell us, "You mean that I have sensual desires toward my sister?
8776_270778_000024_000010	That is ridiculous.	That is ridiculous.
8776_270778_000024_000012	We don't get along and I haven't exchanged a word with her in years." We might perhaps ignore this sort of thing if the dreamers did not confirm or deny the tendencies ascribed to them; we could say that they are matters which the dreamers do not know about themselves.	We don't get along and I haven't exchanged a word with her in years." We might perhaps ignore this sort of thing if the dreamers did not confirm or deny the tendencies ascribed to them; we could say that they are matters which the dreamers do not know about themselves.
8776_270778_000024_000013	But that the dreamers should feel the exact opposite of the ascribed wish, and should be able to prove to us the dominance of the opposite tendency--this fact must finally disconcert us.	But that the dreamers should feel the exact opposite of the ascribed wish, and should be able to prove to us the dominance of the opposite tendency-this fact must finally disconcert us.
8776_270778_000024_000014	Is it not time to lay aside the whole work of the dream interpretation as something whose results reduce it to absurdity?	Is it not time to lay aside the whole work of the dream interpretation as something whose results reduce it to absurdity?
8776_270778_000025_000001	Assuming that there are unconscious tendencies in the psychic life, nothing is proved by the ability of the subject to show that their opposites dominate his conscious life.	Assuming that there are unconscious tendencies in the psychic life, nothing is proved by the ability of the subject to show that their opposites dominate his conscious life.
8776_270778_000025_000003	The first two objections raised against our work hold merely that the results of dream interpretation are not simple, and very unpleasant.	The first two objections raised against our work hold merely that the results of dream interpretation are not simple, and very unpleasant.
8776_270778_000025_000004	In answer to the first of these, one may say that for all your enthusiasm for the simple solution, you cannot thereby solve a single dream problem.	In answer to the first of these, one may say that for all your enthusiasm for the simple solution, you cannot thereby solve a single dream problem.
8776_270778_000025_000005	To do so you must make up your mind to accept the fact of complicated relationships.	To do so you must make up your mind to accept the fact of complicated relationships.
8776_270778_000025_000008	"That doesn't prevent them from existing," as I used to hear my teacher Charcot say in similar cases, when I was a young doctor.	"That doesn't prevent them from existing," as I used to hear my teacher Charcot say in similar cases, when I was a young doctor.
8776_270778_000025_000011	This prospect is too unpleasant." On the contrary, you will be silent until another physicist proves some error in the assumptions or calculations of the first.	This prospect is too unpleasant." On the contrary, you will be silent until another physicist proves some error in the assumptions or calculations of the first.
8776_270778_000025_000012	If you reject the unpleasant, you are repeating the mechanism of dream construction instead of understanding and mastering it.	If you reject the unpleasant, you are repeating the mechanism of dream construction instead of understanding and mastering it.
8776_270778_000026_000001	But does your own experience justify you in saying that?	But does your own experience justify you in saying that?
8776_270778_000026_000002	I will not discuss the question of how you may estimate yourselves, but have you found so much good will among your superiors and rivals, so much chivalry among your enemies, so little envy in their company, that you feel yourselves in duty bound to enter a protest against the part played by the evil of egoism in human nature?	I will not discuss the question of how you may estimate yourselves, but have you found so much good will among your superiors and rivals, so much chivalry among your enemies, so little envy in their company, that you feel yourselves in duty bound to enter a protest against the part played by the evil of egoism in human nature?
8776_270778_000026_000003	Are you ignorant of how uncontrolled and undependable the average human being is in all the affairs of sex life?	Are you ignorant of how uncontrolled and undependable the average human being is in all the affairs of sex life?
8776_270778_000026_000004	Or do you not know that all the immoralities and excesses of which we dream nightly are crimes committed daily by waking persons?	Or do you not know that all the immoralities and excesses of which we dream nightly are crimes committed daily by waking persons?
8776_270778_000027_000000	And now turn your attention from the individual case to the great war devastating Europe.	And now turn your attention from the individual case to the great war devastating Europe.
8776_270778_000027_000001	Think of the amount of brutality, the cruelty and the lies allowed to spread over the civilized world.	Think of the amount of brutality, the cruelty and the lies allowed to spread over the civilized world.
8776_270778_000027_000002	Do you really believe that a handful of conscienceless egoists and corruptionists could have succeeded in setting free all these evil spirits, if the millions of followers did not share in the guilt?	Do you really believe that a handful of conscienceless egoists and corruptionists could have succeeded in setting free all these evil spirits, if the millions of followers did not share in the guilt?
8776_270778_000027_000003	Do you dare under these circumstances to break a lance for the absence of evil from the psychic constitution of mankind?	Do you dare under these circumstances to break a lance for the absence of evil from the psychic constitution of mankind?
8776_270778_000028_000001	It is not our intention to deny the noble strivings of human nature, nor have we ever done anything to deprecate their value.	It is not our intention to deny the noble strivings of human nature, nor have we ever done anything to deprecate their value.
8776_270778_000028_000002	On the contrary, I show you not only the censored evil dream-wishes, but also the censor which suppresses them and renders them unrecognizable.	On the contrary, I show you not only the censored evil dream wishes, but also the censor which suppresses them and renders them unrecognizable.
8776_270778_000028_000004	When, however, we give up this one-sided ethical estimate, we shall surely be able to find a more accurate formula for the relationship of the evil to the good in human nature.	When, however, we give up this one sided ethical estimate, we shall surely be able to find a more accurate formula for the relationship of the evil to the good in human nature.
8776_270778_000029_000000	And thus the matter stands.	And thus the matter stands.
8776_270778_000029_000001	We need not give up the conclusions to which our labors in dream interpretation lead us even though we must consider those conclusions strange.	We need not give up the conclusions to which our labors in dream interpretation lead us even though we must consider those conclusions strange.
8776_270778_000029_000002	Perhaps we can approach their understanding later by another path.	Perhaps we can approach their understanding later by another path.
8776_270778_000029_000003	For the present, let us repeat: dream distortion is a consequence of the censorship practised by accredited tendencies of the ego against those wish-impulses that are in any way shocking, impulses which stir in us nightly during sleep.	For the present, let us repeat: dream distortion is a consequence of the censorship practised by accredited tendencies of the ego against those wish impulses that are in any way shocking, impulses which stir in us nightly during sleep.
8776_270778_000029_000004	Why these wish-impulses come just at night, and whence they come--these are questions which will bear considerable investigation.	Why these wish impulses come just at night, and whence they come-these are questions which will bear considerable investigation.
8776_270778_000030_000000	It would be a mistake, however, to omit to mention, with fitting emphasis, another result of these investigations.	It would be a mistake, however, to omit to mention, with fitting emphasis, another result of these investigations.
8776_270778_000030_000001	The dream wishes which try to disturb our sleep are not known to us, in fact we learn of them first through the dream interpretation.	The dream wishes which try to disturb our sleep are not known to us, in fact we learn of them first through the dream interpretation.
8776_270778_000030_000002	Therefore, they may be described as "at that time" unconscious in the sense above defined.	Therefore, they may be described as "at that time" unconscious in the sense above defined.
8776_270778_000030_000003	But we can go beyond this and say that they are more than merely "at that time" unconscious.	But we can go beyond this and say that they are more than merely "at that time" unconscious.
8776_270778_000030_000004	The dreamer to be sure denies their validity, as we have seen in so many cases, even after he has learned of their existence by means of the interpretation.	The dreamer to be sure denies their validity, as we have seen in so many cases, even after he has learned of their existence by means of the interpretation.
8776_270778_000030_000005	The situation is then repeated which we first encountered in the interpretation of the tongue slip "hiccough" where the toastmaster was outraged and assured us that neither then nor ever before had he been conscious of disrespectful impulse toward his chief.	The situation is then repeated which we first encountered in the interpretation of the tongue slip "hiccough" where the toastmaster was outraged and assured us that neither then nor ever before had he been conscious of disrespectful impulse toward his chief.
8776_270778_000030_000006	This is repeated with every interpretation of a markedly distorted dream, and for that reason attains a significance for our conception.	This is repeated with every interpretation of a markedly distorted dream, and for that reason attains a significance for our conception.
8776_270778_000030_000007	We are now prepared to conclude that there are processes and tendencies in the psychic life of which one knows nothing at all, has known nothing for some time, might, in fact, perhaps never have known anything.	We are now prepared to conclude that there are processes and tendencies in the psychic life of which one knows nothing at all, has known nothing for some time, might, in fact, perhaps never have known anything.
