7314_93276_000003_000000	Chapter 7	Chapter seven
7314_93276_000036_000002	Besides the thing that holds the gas is made of aluminum, and we can't make a hole in it unless we take an axe, and that makes too much noise."	Besides the thing that holds the gas is made of aluminum, and we can't make a hole in it unless we take an axe, and that makes too much noise."
7314_93276_000038_000000	Tom shook his fist at the lads on the ground, but of course they did not see him.	Tom shook his fist at the lads on the ground, but of course they did not see him.
7314_93276_000039_000000	"I have it!" came from Andy.	"I have it!" came from Andy.
7314_93276_000040_000000	"What?" demanded his two cronies.	"What?" demanded his two cronies.
7314_93276_000041_000000	"We'll cut some of the guy wires from the planes and rudders.	"We'll cut some of the guy wires from the planes and rudders.
7314_93276_000041_000001	That will make the airship collapse.	That will make the airship collapse.
7314_93276_000041_000002	They'll think the wires broke from the strain.	They'll think the wires broke from the strain.
7314_93276_000041_000003	Take out your knives and saw away at the wires.	Take out your knives and saw away at the wires.
7314_93276_000041_000004	Hurry, too, or they may catch us."	Hurry, too, or they may catch us."
7314_93276_000042_000000	"You're caught now," whispered Ned to Tom.	"You're caught now," whispered Ned to Tom.
7314_93276_000042_000001	"Come on down, and give 'em a trouncing."	"Come on down, and give 'em a trouncing."
7314_93276_000043_000000	Tom hesitated.	Tom hesitated.
7314_93276_000043_000001	He looked quickly about the loft, and then a smile replaced the frown of righteous anger on his face.	He looked quickly about the loft, and then a smile replaced the frown of righteous anger on his face.
7314_93276_000044_000000	"I have a better way," he said.	"I have a better way," he said.
7314_93276_000045_000000	"What is it?"	"What is it?"
7314_93276_000046_000000	"See that pile of dirt?" and he pointed to some refuse that had been swept up from the floor of the loft.	"See that pile of dirt?" and he pointed to some refuse that had been swept up from the floor of the loft.
7314_93276_000046_000001	Ned nodded.	Ned nodded.
7314_93276_000046_000002	"It consists of a lot of shavings, sawdust and, what's more, a lot of soot and lampblack that we used in mixing some paint.	"It consists of a lot of shavings, sawdust and, what's more, a lot of soot and lampblack that we used in mixing some paint.
7314_93276_000046_000003	We'll sweep the whole pile down on their heads, and make them wish they'd stayed away from this place."	We'll sweep the whole pile down on their heads, and make them wish they'd stayed away from this place."
7314_93276_000047_000000	"Good!" exclaimed Ned, chuckling.	"Good!" exclaimed Ned, chuckling.
7314_93276_000047_000001	"Give me a broom.	"Give me a broom.
7314_93276_000047_000002	There's another one for you."	There's another one for you."
7314_93276_000048_000000	The two lads in the loft peered down.	The two lads in the loft peered down.
7314_93276_000048_000001	The red-headed, squint-eyed bully and his chums had their knives out, and were about to cut some of the important guy wires, when, at a signal from Tom, Ned, with a sweep of his broom, sent a big pile of the dirt, sawdust and lampblack down upon the heads of the conspirators.	The red headed, squint eyed bully and his chums had their knives out, and were about to cut some of the important guy wires, when, at a signal from Tom, Ned, with a sweep of his broom, sent a big pile of the dirt, sawdust and lampblack down upon the heads of the conspirators.
7314_93276_000048_000002	The young inventor did the same thing, and for an instant the lower part of the shed looked as if a dirtstorm had taken place there.	The young inventor did the same thing, and for an instant the lower part of the shed looked as if a dirtstorm had taken place there.
7314_93276_000048_000003	The pile of refuse went straight down on the heads of the trio, and, as they were looking up, in order to see to cut the wires, they received considerable of it in their faces.	The pile of refuse went straight down on the heads of the trio, and, as they were looking up, in order to see to cut the wires, they received considerable of it in their faces.
7314_93276_000050_000000	"Wow!	"Wow!
7314_93276_000050_000001	Who did that!"	Who did that!"
7314_93276_000051_000000	"I'm blinded!	"I'm blinded!
7314_93276_000051_000001	The shed is falling down!"	The shed is falling down!"
7314_93276_000052_000000	"Run fellows, run!" screamed Andy.	"Run fellows, run!" screamed Andy.
7314_93276_000052_000001	"There's been an explosion.	"There's been an explosion.
7314_93276_000052_000002	We'll be killed!"	We'll be killed!"
7314_93276_000053_000000	At that moment the big doors of the shed were thrown open, and Mr. Sharp came in.	At that moment the big doors of the shed were thrown open, and mr Sharp came in.
7314_93276_000054_000001	Andy Foger!" cried Tom.	Andy Foger!" cried Tom.
7314_93276_000055_000001	Sam and Pete were wildly trying to wipe the stuff from their faces, but only made matters worse.	Sam and Pete were wildly trying to wipe the stuff from their faces, but only made matters worse.
7314_93276_000056_000000	"Wish we had some more stuff to put on 'em," remarked Ned, who was holding his sides that ached from laughter.	"Wish we had some more stuff to put on 'em," remarked Ned, who was holding his sides that ached from laughter.
7314_93276_000057_000000	"I have it!" cried Tom, and he caught up a bucket of red paint, that had been used to give the airship its brilliant hue.	"I have it!" cried Tom, and he caught up a bucket of red paint, that had been used to give the airship its brilliant hue.
7314_93276_000057_000001	Running to the end of the loft Tom stood for an instant over the trio of lads who were threatening and imploring by 'turns.	Running to the end of the loft Tom stood for an instant over the trio of lads who were threatening and imploring by 'turns.
7314_93276_000058_000000	"Here's another souvenir of your visit," shouted the young inventor, as he dashed the bucket of red paint down on the conspirators.	"Here's another souvenir of your visit," shouted the young inventor, as he dashed the bucket of red paint down on the conspirators.
7314_93276_000058_000002	They shed shavings, sawdust and lampblack at every step, and from their clothes and hands and faces dripped the carmine paint.	They shed shavings, sawdust and lampblack at every step, and from their clothes and hands and faces dripped the carmine paint.
7314_93276_000059_000000	"Better have your pictures taken!" cried Ned, peering from an upper window.	"Better have your pictures taken!" cried Ned, peering from an upper window.
7314_93276_000060_000000	"Yes, and send us one," added Tom, joining his chum.	"Yes, and send us one," added Tom, joining his chum.
7314_93276_000060_000001	Andy looked up at them.	Andy looked up at them.
7314_93276_000060_000002	He dug a mass of red paint from his left ear, removed a mass of soot from his right cheek, and, shaking his fist, which was alternately striped red and black, cried out in a rage:	He dug a mass of red paint from his left ear, removed a mass of soot from his right cheek, and, shaking his fist, which was alternately striped red and black, cried out in a rage:
7314_93276_000061_000000	"I'll get even with you yet, Tom Swift!"	"I'll get even with you yet, Tom Swift!"
7314_93276_000062_000000	"You only got what was coming to you," retorted the young inventor. "The next time you come sneaking around this airship, trying to damage it, you'll get worse, and I'll have you arrested.	"You only got what was coming to you," retorted the young inventor. "The next time you come sneaking around this airship, trying to damage it, you'll get worse, and I'll have you arrested.
7314_93276_000062_000001	You've had your lesson, and don't forget it."	You've had your lesson, and don't forget it."
7314_93276_000063_000000	The red-haired bully, doubly red-haired now, had nothing more to say. There was nothing he could say, and, accompanied by his companions, he made a bee-line for the rear gate in the fence, and darted across the meadow.	The red haired bully, doubly red haired now, had nothing more to say. There was nothing he could say, and, accompanied by his companions, he made a bee line for the rear gate in the fence, and darted across the meadow.
