8605_291172_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.	false	1.35	9.15	24.588902
8605_291172_000019_000006	Off goes puss to this neighbour's house, and having thrashed the mother to begin with, she kidnapped and carried home one of her family.	Off goes puss to this neighbour's house, and having thrashed the mother to begin with, she kidnapped and carried home one of her family.	true	579.18	586.75	24.781424
8605_291172_000019_000007	Several times was the kitten taken back, and each time pussy went and stole it again; and as she never failed to give the other cat a preliminary hiding, it was at last deemed most prudent to let her retain it.	Several times was the kitten taken back, and each time pussy went and stole it again; and as she never failed to give the other cat a preliminary hiding, it was at last deemed most prudent to let her retain it.	true	587	599.89	24.845669
8605_291172_000020_000000	Miss G---- is an old maid, and a great lover of cats and poultry.	Miss G---- is an old maid, and a great lover of cats and poultry.	true	601.13	605.95	28.5814
8605_291172_000020_000001	Once she had a cat nursing a litter of kittens, and one of the chickens in the yard being rather deformed and not thriving, Miss G. brought it and flung it to the cat, thinking it would be a great treat to her.	Once she had a cat nursing a litter of kittens, and one of the chickens in the yard being rather deformed and not thriving, Miss g brought it and flung it to the cat, thinking it would be a great treat to her.	true	606.11	618.28	23.6664
8605_291172_000020_000002	It was a treat to her, though hardly in the way she expected, for pussy commenced licking it all over, and forthwith adopted it, and nursed it along with her kittens.	It was a treat to her, though hardly in the way she expected, for pussy commenced licking it all over, and forthwith adopted it, and nursed it along with her kittens.	false	618.41	628.42	24.819181
8605_291172_000020_000003	She continued to do so until it grew into a large, leggy, and withal rather ungainly hen; and the most ridiculous part of the business was, that if at any time Tuckie longed for the society of her feathered fellow-creatures, pussy went after her like a shot, and seizing her by the neck lugged her back into the house, and jumped with her into Miss G.'s bed where her kittens were.	She continued to do so until it grew into a large, leggy, and withal rather ungainly hen; and the most ridiculous part of the business was, that if at any time Tuckie longed for the society of her feathered fellow creatures, pussy went after her like a shot, and seizing her by the neck lugged her back into the house, and jumped with her into Miss g's bed where her kittens were.	false	628.88	652.48	23.288097
8605_291172_000021_000000	A gentleman in New Deer, also possessed a cat who reared a chicken to hen-hood.	A gentleman in New Deer, also possessed a cat who reared a chicken to hen hood.	true	653.03	658.03	24.413143
8605_291172_000021_000001	In this case the adopted chicken was nursed alone, pussy's kittens having been drowned.	In this case the adopted chicken was nursed alone, pussy's kittens having been drowned.	true	658.1	663.31	29
8605_291172_000021_000002	This fowl's neck, was actually crooked with the cat's carrying her about so much in her mouth, so she always held her head very much to one side, and was upon the whole a very ugly hen.	This fowl's neck, was actually crooked with the cat's carrying her about so much in her mouth, so she always held her head very much to one side, and was upon the whole a very ugly hen.	false	663.5	674.92	24.540169
8605_291172_000021_000003	We see, then, that chicken-rearing by cats does not give that amount of satisfaction which is desired.	We see, then, that chicken rearing by cats does not give that amount of satisfaction which is desired.	true	675.71	682.11	27.341715
8605_291172_000021_000004	It might pay, though, if they could do the hatching; but cats at present cannot be taught to sit upon eggs.	It might pay, though, if they could do the hatching; but cats at present cannot be taught to sit upon eggs.	true	682.11	688.6	29.778982
8605_291172_000021_000005	There is no saying what the future may bring forth, though, for a much more gifted animal will be _the coming cat_.	There is no saying what the future may bring forth, though, for a much more gifted animal will be underscore the coming cat underscore.	false	688.82	696.78	21.845469
8605_291172_000022_000000	I think the reader will now be prepared to hear of cats--	I think the reader will now be prepared to hear of cats-	true	696.78	699.765	22
8605_291172_000023_000000	NURSING HEDGEHOGS.--Yes, three of those thorny little things were actually nursed, suckled, and reared lately by a cat belonging to a gentleman, who is very fond of trying experiments of this sort.	NURSING HEDGEHOGS.--Yes, three of those thorny little things were actually nursed, suckled, and reared lately by a cat belonging to a gentleman, who is very fond of trying experiments of this sort.	true	699.765	712.93	23.700632
8605_291172_000023_000001	When they grew up, and were in good feather, they were very tricky and funny; but pussy soon found out that they didn't stand correction well.	When they grew up, and were in good feather, they were very tricky and funny; but pussy soon found out that they didn't stand correction well.	false	713.09	721.45	24.755074
8605_291172_000023_000002	If she lifted a paw to them, pooh! they were transformed into three round prickly balls, before the blow fell, and pussy's paw had the worst of it.	If she lifted a paw to them, pooh! they were transformed into three round prickly balls, before the blow fell, and pussy's paw had the worst of it.	false	721.73	731.17	23.75992
8605_291172_000023_000003	Then the poor cat would look sulkily from one little ball to another, and turning about, walk off in disgust.	Then the poor cat would look sulkily from one little ball to another, and turning about, walk off in disgust.	false	731.39	737.98	32.05129
8605_291172_000023_000004	But three pairs of bright beady eyes were keeking at her from among the thorns; and before she had reached the fender, the little pigs were all unfolded and after her at the galop.	But three pairs of bright beady eyes were keeking at her from among the thorns; and before she had reached the fender, the little pigs were all unfolded and after her at the galop.	true	738.11	749.26	24.416025
8605_291172_000023_000005	Round would wheel the cat, and up would roll the hogs again, then pussy would seat herself in front, and keep them thus for an hour at a time, by gently tapping each ball as it attempted to unroll itself.	Round would wheel the cat, and up would roll the hogs again, then pussy would seat herself in front, and keep them thus for an hour at a time, by gently tapping each ball as it attempted to unroll itself.	false	749.39	762.16	25.851559
8605_291172_000024_000000	SUCKLING RATS.--Some years ago there was a cat in Scotland who, when three of her kittens were drowned, supplied their place by bringing in three young rats to make up the number.	SUCKLING RATS.--Some years ago there was a cat in Scotland who, when three of her kittens were drowned, supplied their place by bringing in three young rats to make up the number.	true	763.34	774.91	26.49807
8605_291172_000024_000001	She must have known something of arithmetic too, for, when one of the little rats died, she went out and carried in another, still to have the number five.	She must have known something of arithmetic too, for, when one of the little rats died, she went out and carried in another, still to have the number five.	false	775.16	784.005	25.049088
8605_291172_000024_000002	But still another died, and probably she could not find any more, for she contented herself with nursing, and tending the two remaining ones, along with her own two kittens.	But still another died, and probably she could not find any more, for she contented herself with nursing, and tending the two remaining ones, along with her own two kittens.	true	784.005	793.99	23
8605_291172_000024_000003	I never heard what eventually became of the rats.	I never heard what eventually became of the rats.	true	794.36	797.35	23.588678
8605_291172_000024_000004	I don't think she would have eaten them.	I don't think she would have eaten them.	true	797.54	799.695	24.524136
8605_291172_000024_000005	More probably they lived and grew, and went back as missionaries to their own people.	More probably they lived and grew, and went back as missionaries to their own people.	true	799.695	804.48	28.255669
8605_291172_000025_000000	CHAPTER XIX.	CHAPTER nineteen.	false	804.48	804.66	-20
8605_291172_000026_000000	[_See Note R, Addenda._]	[underscore See Note R, Addenda.underscore]	false	804.66	805.26	-20
8605_291172_000027_000000	PUSSY'S PLAYMATES.	PUSSY'S PLAYMATES.	false	805.26	805.44	-20
8605_291172_000028_000000	I have already shown in former chapters, how loving and affectionate pussy is towards her master and mistress, and how thoughtful and kind a mother she is.	I have already shown in former chapters, how loving and affectionate pussy is towards her master and mistress, and how thoughtful and kind a mother she is.	false	805.44	806.61	100
8605_291172_000028_000001	But to her playmates also she is ever gentle and true, whether that playmate be another cat, or an animal of quite a distinct breed.	But to her playmates also she is ever gentle and true, whether that playmate be another cat, or an animal of quite a distinct breed.	false	806.61	806.88	0
8605_291172_000028_000002	I have never known a cat cement a friendship with any creature, without such friendship lasting till death.	I have never known a cat cement a friendship with any creature, without such friendship lasting till death.	false	806.88	807.6	9
8605_291172_000028_000003	How very wrong then to accuse pussy of being treacherous!	How very wrong then to accuse pussy of being treacherous!	false	807.6	808.02	22
8605_291172_000028_000004	With almost any animal that happens to be domesticated about the same house, a cat will strike up a friendship, and will be ready at any time to fight for it, and protect it from harm.	With almost any animal that happens to be domesticated about the same house, a cat will strike up a friendship, and will be ready at any time to fight for it, and protect it from harm.	false	808.02	809.49	30.373068
8605_291172_000028_000005	It is quite a common thing to see a cat amusing itself playing with rabbits, or guinea pigs, at hide-and-seek among the bushes, or on the lawn.	It is quite a common thing to see a cat amusing itself playing with rabbits, or guinea pigs, at hide and seek among the bushes, or on the lawn.	false	809.49	810.66	25
8605_291172_000028_000006	There is often a distinct understanding between some old horse or cow about the place.	There is often a distinct understanding between some old horse or cow about the place.	false	810.66	811.26	9
8605_291172_000028_000007	I have known a cat live entirely in the stable, and invariably go to sleep on a particular horse's back; the horse in his turn used to welcome her with a fond neigh when she came home at night.	I have known a cat live entirely in the stable, and invariably go to sleep on a particular horse's back; the horse in his turn used to welcome her with a fond neigh when she came home at night.	false	811.26	816.96	17.691418
