98_199_000002_000000	CHAPTER 2	CHAPTER two
98_199_000011_000001	The season was full, the room crowded, and the two ladies squeezed in as well as they could.	The season was full, the room crowded, and the two ladies squeezed in as well as they could.
98_199_000011_000004	But this was far from being the case, and though by unwearied diligence they gained even the top of the room, their situation was just the same; they saw nothing of the dancers but the high feathers of some of the ladies.	But this was far from being the case, and though by unwearied diligence they gained even the top of the room, their situation was just the same; they saw nothing of the dancers but the high feathers of some of the ladies.
98_199_000011_000005	Still they moved on--something better was yet in view; and by a continued exertion of strength and ingenuity they found themselves at last in the passage behind the highest bench.	Still they moved on-something better was yet in view; and by a continued exertion of strength and ingenuity they found themselves at last in the passage behind the highest bench.
98_199_000011_000007	It was a splendid sight, and she began, for the first time that evening, to feel herself at a ball: she longed to dance, but she had not an acquaintance in the room.	It was a splendid sight, and she began, for the first time that evening, to feel herself at a ball: she longed to dance, but she had not an acquaintance in the room.
98_199_000011_000008	Mrs. Allen did all that she could do in such a case by saying very placidly, every now and then, "I wish you could dance, my dear--I wish you could get a partner." For some time her young friend felt obliged to her for these wishes; but they were repeated so often, and proved so totally ineffectual, that Catherine grew tired at last, and would thank her no more.	mrs Allen did all that she could do in such a case by saying very placidly, every now and then, "I wish you could dance, my dear-I wish you could get a partner." For some time her young friend felt obliged to her for these wishes; but they were repeated so often, and proved so totally ineffectual, that Catherine grew tired at last, and would thank her no more.
98_199_000012_000000	They were not long able, however, to enjoy the repose of the eminence they had so laboriously gained.	They were not long able, however, to enjoy the repose of the eminence they had so laboriously gained.
98_199_000012_000001	Everybody was shortly in motion for tea, and they must squeeze out like the rest.	Everybody was shortly in motion for tea, and they must squeeze out like the rest.
98_199_000012_000003	They saw nothing of Mr. Allen; and after looking about them in vain for a more eligible situation, were obliged to sit down at the end of a table, at which a large party were already placed, without having anything to do there, or anybody to speak to, except each other.	They saw nothing of mr Allen; and after looking about them in vain for a more eligible situation, were obliged to sit down at the end of a table, at which a large party were already placed, without having anything to do there, or anybody to speak to, except each other.
98_199_000013_000000	Mrs. Allen congratulated herself, as soon as they were seated, on having preserved her gown from injury.	mrs Allen congratulated herself, as soon as they were seated, on having preserved her gown from injury.
98_199_000014_000000	"How uncomfortable it is," whispered Catherine, "not to have a single acquaintance here!"	"How uncomfortable it is," whispered Catherine, "not to have a single acquaintance here!"
98_199_000015_000000	"Yes, my dear," replied Mrs. Allen, with perfect serenity, "it is very uncomfortable indeed."	"Yes, my dear," replied mrs Allen, with perfect serenity, "it is very uncomfortable indeed."
98_199_000016_000000	"What shall we do?	"What shall we do?
98_199_000016_000001	The gentlemen and ladies at this table look as if they wondered why we came here--we seem forcing ourselves into their party."	The gentlemen and ladies at this table look as if they wondered why we came here-we seem forcing ourselves into their party."
98_199_000017_000000	"Aye, so we do.	"Aye, so we do.
98_199_000017_000002	I wish we had a large acquaintance here."	I wish we had a large acquaintance here."
98_199_000018_000000	"I wish we had any--it would be somebody to go to."	"I wish we had any-it would be somebody to go to."
98_199_000019_000000	"Very true, my dear; and if we knew anybody we would join them directly. The Skinners were here last year--I wish they were here now."	"Very true, my dear; and if we knew anybody we would join them directly. The Skinners were here last year-I wish they were here now."
98_199_000020_000001	Here are no tea-things for us, you see."	Here are no tea things for us, you see."
98_199_000021_000000	"No more there are, indeed.	"No more there are, indeed.
98_199_000021_000001	How very provoking!	How very provoking!
98_199_000021_000002	But I think we had better sit still, for one gets so tumbled in such a crowd!	But I think we had better sit still, for one gets so tumbled in such a crowd!
98_199_000021_000004	Somebody gave me a push that has hurt it, I am afraid."	Somebody gave me a push that has hurt it, I am afraid."
98_199_000022_000000	"No, indeed, it looks very nice.	"No, indeed, it looks very nice.
98_199_000022_000002	I think you must know somebody."	I think you must know somebody."
98_199_000023_000000	"I don't, upon my word--I wish I did.	"I don't, upon my word-I wish I did.
98_199_000023_000001	I wish I had a large acquaintance here with all my heart, and then I should get you a partner.	I wish I had a large acquaintance here with all my heart, and then I should get you a partner.
98_199_000023_000002	I should be so glad to have you dance.	I should be so glad to have you dance.
98_199_000023_000005	How old-fashioned it is!	How old-fashioned it is!
98_199_000023_000006	Look at the back."	Look at the back."
98_199_000024_000000	After some time they received an offer of tea from one of their neighbours; it was thankfully accepted, and this introduced a light conversation with the gentleman who offered it, which was the only time that anybody spoke to them during the evening, till they were discovered and joined by Mr. Allen when the dance was over.	After some time they received an offer of tea from one of their neighbours; it was thankfully accepted, and this introduced a light conversation with the gentleman who offered it, which was the only time that anybody spoke to them during the evening, till they were discovered and joined by mr Allen when the dance was over.
98_199_000025_000000	"Well, Miss Morland," said he, directly, "I hope you have had an agreeable ball."	"Well, Miss Morland," said he, directly, "I hope you have had an agreeable ball."
98_199_000026_000000	"Very agreeable indeed," she replied, vainly endeavouring to hide a great yawn.	"Very agreeable indeed," she replied, vainly endeavouring to hide a great yawn.
98_199_000027_000000	"I wish she had been able to dance," said his wife; "I wish we could have got a partner for her.	"I wish she had been able to dance," said his wife; "I wish we could have got a partner for her.
98_199_000027_000001	I have been saying how glad I should be if the Skinners were here this winter instead of last; or if the Parrys had come, as they talked of once, she might have danced with George Parry.	I have been saying how glad I should be if the Skinners were here this winter instead of last; or if the Parrys had come, as they talked of once, she might have danced with George Parry.
98_199_000027_000002	I am so sorry she has not had a partner!"	I am so sorry she has not had a partner!"
98_199_000028_000000	"We shall do better another evening I hope," was Mr. Allen's consolation.	"We shall do better another evening I hope," was mr Allen's consolation.
98_199_000029_000001	Every five minutes, by removing some of the crowd, gave greater openings for her charms.	Every five minutes, by removing some of the crowd, gave greater openings for her charms.
98_199_000029_000002	She was now seen by many young men who had not been near her before.	She was now seen by many young men who had not been near her before.
98_199_000029_000003	Not one, however, started with rapturous wonder on beholding her, no whisper of eager inquiry ran round the room, nor was she once called a divinity by anybody.	Not one, however, started with rapturous wonder on beholding her, no whisper of eager inquiry ran round the room, nor was she once called a divinity by anybody.
98_199_000029_000004	Yet Catherine was in very good looks, and had the company only seen her three years before, they would now have thought her exceedingly handsome.	Yet Catherine was in very good looks, and had the company only seen her three years before, they would now have thought her exceedingly handsome.
98_199_000030_000000	She was looked at, however, and with some admiration; for, in her own hearing, two gentlemen pronounced her to be a pretty girl.	She was looked at, however, and with some admiration; for, in her own hearing, two gentlemen pronounced her to be a pretty girl.
