3157_119295_000000_000000	CHAPTER 3	CHAPTER three
3157_119295_000028_000006	If you run the engine to keep warm, remember to open a window enough to provide ventilation and protect you from carbon monoxide poisoning.	If you run the engine to keep warm, remember to open a window enough to provide ventilation and protect you from carbon monoxide poisoning.
3157_119295_000029_000000	Wherever you are, if there is no house or other source of help in sight, do not leave your car to search for assistance, as you may become confused and get lost.	Wherever you are, if there is no house or other source of help in sight, do not leave your car to search for assistance, as you may become confused and get lost.
3157_119295_000030_000001	Every winter many unnecessary deaths occur because people--especially older persons, but younger ones as well--engage in more strenuous physical activity than their bodies can stand.	Every winter many unnecessary deaths occur because people-especially older persons, but younger ones as well-engage in more strenuous physical activity than their bodies can stand.
3157_119295_000030_000003	If you add to this physical exercise, especially exercise that you are not accustomed to--such as shovelling snow, pushing an automobile, or even walking fast or far--you are risking a heart attack, a stroke, or other damage to your body.	If you add to this physical exercise, especially exercise that you are not accustomed to-such as shovelling snow, pushing an automobile, or even walking fast or far-you are risking a heart attack, a stroke, or other damage to your body.
3157_119295_000030_000004	In winter weather, and especially in winter storms, be aware of this danger, and avoid overexertion.	In winter weather, and especially in winter storms, be aware of this danger, and avoid overexertion.
3157_119295_000031_000000	CHAPTER 5	CHAPTER five
3157_119295_000032_000000	EARTHQUAKES	EARTHQUAKES
3157_119295_000033_000000	If your area is one of the places in the United States where earthquakes occur, keep these points in mind:	If your area is one of the places in the United States where earthquakes occur, keep these points in mind:
3157_119295_000034_000001	Don't run or panic.	Don't run or panic.
3157_119295_000034_000002	If you take the proper precautions, the chances are you will not be hurt.	If you take the proper precautions, the chances are you will not be hurt.
3157_119295_000035_000000	--REMAIN WHERE YOU ARE.	--REMAIN WHERE YOU ARE.
3157_119295_000035_000001	If you are outdoors, stay outdoors; if indoors, stay indoors.	If you are outdoors, stay outdoors; if indoors, stay indoors.
3157_119295_000035_000002	In earthquakes, most injuries occur as people are entering or leaving buildings (from falling walls, electric wires, etc.).	In earthquakes, most injuries occur as people are entering or leaving buildings (from falling walls, electric wires, etc).
3157_119295_000036_000000	--If you are indoors, sit or stand against an inside wall (preferably in the basement), or in an inside doorway; or else take cover under a desk, table or bench (in case the wall or ceiling should fall).	--If you are indoors, sit or stand against an inside wall (preferably in the basement), or in an inside doorway; or else take cover under a desk, table or bench (in case the wall or ceiling should fall).
3157_119295_000036_000001	Stay away from windows and outside doors.	Stay away from windows and outside doors.
3157_119295_000037_000000	--If you are outdoors, stay away from overhead electric wires, poles or anything else that might shake loose and fall (such as the cornices of tall buildings).	--If you are outdoors, stay away from overhead electric wires, poles or anything else that might shake loose and fall (such as the cornices of tall buildings).
3157_119295_000038_000001	Remain in the car until the disturbance subsides.	Remain in the car until the disturbance subsides.
3157_119295_000038_000002	When you drive on, watch for hazards created by the earthquake, such as fallen or falling objects, downed electric wires, and broken or undermined roadways.	When you drive on, watch for hazards created by the earthquake, such as fallen or falling objects, downed electric wires, and broken or undermined roadways.
3157_119295_000039_000000	AFTER AN EARTHQUAKE	AFTER AN EARTHQUAKE
