3157_119295_000000_000000	CHAPTER 3	CHAPTER three	true	16.845	17.85	26.055515
3157_119295_000010_000001	Use your radio, television and newspapers to keep informed of current weather conditions and forecasts in your area.	Use your radio, television and newspapers to keep informed of current weather conditions and forecasts in your area.	true	201.2	208.75	22
3157_119295_000010_000002	Even a few hours' warning of a storm may enable you to avoid being caught outside in it, or at least be better prepared to cope with it.	Even a few hours' warning of a storm may enable you to avoid being caught outside in it, or at least be better prepared to cope with it.	false	208.94	217.36	24
3157_119295_000010_000003	You should also understand the terms commonly used in weather forecasts:	You should also understand the terms commonly used in weather forecasts:	true	217.67	221.86	20.932703
3157_119295_000011_000000	--A _blizzard_ is the most dangerous of all winter storms.	--A underscore blizzard underscore is the most dangerous of all winter storms.	false	222.29	226	22.314968
3157_119295_000011_000001	It combines cold air, heavy snow, and strong winds that blow the snow about and may reduce visibility to only a few yards.	It combines cold air, heavy snow, and strong winds that blow the snow about and may reduce visibility to only a few yards.	true	226.04	234.79	23
3157_119295_000011_000002	A _blizzard warning_ is issued when the Weather Bureau expects considerable snow, winds of 35 miles an hour or more, and temperatures of 20 degrees Fahrenheit or lower.	A underscore blizzard warning underscore is issued when the Weather Bureau expects considerable snow, winds of thirty five miles an hour or more, and temperatures of twenty degrees Fahrenheit or lower.	false	235.04	246.52	22
3157_119295_000011_000003	A _severe blizzard warning_ means that a very heavy snowfall is expected, with winds of at least 45 miles an hour and temperatures of 10 degrees or lower.	A underscore severe blizzard warning underscore means that a very heavy snowfall is expected, with winds of at least forty five miles an hour and temperatures of ten degrees or lower.	false	246.86	257.38	24
3157_119295_000012_000000	--A _heavy snow warning_ usually means an expected snowfall of 4 inches or more in a 12-hour period, or 6 inches or more in a 24-hour period. Warnings of _snow flurries, snow squalls_, or _blowing and drifting snow_ are important mainly because visibility may be reduced and roads may become slippery or blocked.	--A underscore heavy snow warning underscore usually means an expected snowfall of four inches or more in a twelve-hour period, or six inches or more in a twenty four-hour period. Warnings of underscore snow flurries, snow squalls underscore, or underscore blowing and drifting snow underscore are important mainly because visibility may be reduced and roads may become slippery or blocked.	false	258.11	280.35	22.838139
3157_119295_000013_000000	--_Freezing rain or freezing drizzle_ is forecast when expected rain is likely to freeze as soon as it strikes the ground, putting a coating of ice or glaze on roads and everything else that is exposed.	--underscore Freezing rain or freezing drizzle underscore is forecast when expected rain is likely to freeze as soon as it strikes the ground, putting a coating of ice or glaze on roads and everything else that is exposed.	false	280.35	293.56	23.474617
3157_119295_000013_000001	If a substantial layer of ice is expected to accumulate from the freezing rain, an _ice storm_ is forecast.	If a substantial layer of ice is expected to accumulate from the freezing rain, an underscore ice storm underscore is forecast.	false	293.72	300.6	25
3157_119295_000014_000000	--_Sleet_ is small particles of ice, usually mixed with rain.	--underscore Sleet underscore is small particles of ice, usually mixed with rain.	false	300.6	305.53	25.150755
3157_119295_000014_000001	If enough sleet accumulates on the ground, it will make the roads slippery.	If enough sleet accumulates on the ground, it will make the roads slippery.	false	305.6	310.02	24
3157_119295_000015_000000	* BE PREPARED FOR ISOLATION AT HOME.	asterisk BE PREPARED FOR ISOLATION AT HOME.	false	310.02	313.63	20.600046
3157_119295_000015_000001	If you live in a rural area, make sure you could survive at home for a week or two in case a storm isolated you and made it impossible for you to leave.	If you live in a rural area, make sure you could survive at home for a week or two in case a storm isolated you and made it impossible for you to leave.	true	313.73	323.41	24.288828
3157_119295_000015_000002	You should:	You should:	true	323.6	324.79	23.807493
3157_119295_000016_000000	--Keep an adequate supply of heating fuel on hand and use it sparingly, as your regular supplies may be curtailed by storm conditions.	--Keep an adequate supply of heating fuel on hand and use it sparingly, as your regular supplies may be curtailed by storm conditions.	true	325.01	333.76	22.803698
3157_119295_000016_000001	If necessary, conserve fuel by keeping the house cooler than usual, or by "closing off" some rooms temporarily.	If necessary, conserve fuel by keeping the house cooler than usual, or by "closing off" some rooms temporarily.	true	334.01	341.92	22.9033
3157_119295_000016_000002	Also, have available some kind of _emergency_ heating equipment and fuel so you could keep at least one room of your house warm enough to be livable.	Also, have available some kind of underscore emergency underscore heating equipment and fuel so you could keep at least one room of your house warm enough to be livable.	false	342.2	351.34	21.09846
3157_119295_000016_000003	This could be a camp stove with fuel, or a supply of wood or coal if you have a fireplace.	This could be a camp stove with fuel, or a supply of wood or coal if you have a fireplace.	true	351.62	357.52	25.738586
3157_119295_000016_000004	If your furnace is controlled by a thermostat and your electricity is cut off by a storm, the furnace probably would not operate and you would need emergency heat.	If your furnace is controlled by a thermostat and your electricity is cut off by a storm, the furnace probably would not operate and you would need emergency heat.	true	357.95	368.17	24.84534
3157_119295_000017_000000	--Stock an emergency supply of food and water, as well as emergency cooking equipment such as a camp stove.	--Stock an emergency supply of food and water, as well as emergency cooking equipment such as a camp stove.	true	368.81	375.85	23.497637
3157_119295_000017_000001	Some of this food should be of the type that does not require refrigeration or cooking.	Some of this food should be of the type that does not require refrigeration or cooking.	true	376.01	381.28	23.199408
3157_119295_000018_000000	--Make sure you have a battery-powered radio and extra batteries on hand, so that if your electric power is cut off you could still hear weather forecasts, information and advice broadcast by local authorities.	--Make sure you have a battery powered radio and extra batteries on hand, so that if your electric power is cut off you could still hear weather forecasts, information and advice broadcast by local authorities.	true	382.01	394.75	23.25854
3157_119295_000018_000001	Also, flashlights or lanterns would be needed.	Also, flashlights or lanterns would be needed.	true	394.91	399.045	24.151045
3157_119295_000019_000000	--Consult page 72 of this handbook for other supplies and equipment that you may need if isolated at home.	--Consult page seventy two of this handbook for other supplies and equipment that you may need if isolated at home.	true	399.045	405.82	23
3157_119295_000019_000001	Be sure to keep on hand the simple tools and equipment needed to fight a fire.	Be sure to keep on hand the simple tools and equipment needed to fight a fire.	true	405.98	411.16	25.229357
3157_119295_000019_000002	Also, be certain that all family members know how to take precautions that would prevent fire at such a time, when the help of the fire department may not be available.	Also, be certain that all family members know how to take precautions that would prevent fire at such a time, when the help of the fire department may not be available.	true	411.41	421.56	22
3157_119295_000020_000000	* TRAVEL ONLY IF NECESSARY.	asterisk TRAVEL ONLY IF NECESSARY.	false	421.56	424.78	23.25079
3157_119295_000020_000001	Avoid all unnecessary trips.	Avoid all unnecessary trips.	true	424.94	427.51	22.865023
3157_119295_000020_000002	If you must travel, use public transportation if possible.	If you must travel, use public transportation if possible.	true	427.58	431.71	24.772932
3157_119295_000020_000003	However, if you are forced to use your automobile for a trip of any distance, take these precautions:	However, if you are forced to use your automobile for a trip of any distance, take these precautions:	true	431.84	438.34	22.509768
3157_119295_000021_000000	--Make sure your car is in good operating condition, properly serviced, and equipped with chains or snow tires.	--Make sure your car is in good operating condition, properly serviced, and equipped with chains or snow tires.	true	439.25	446.44	23.505772
3157_119295_000022_000000	--Take another person with you if possible.	--Take another person with you if possible.	true	446.96	449.62	25.084154
3157_119295_000023_000000	--Make sure someone knows where you are going, your approximate schedule, and your estimated time of arrival at your destination.	--Make sure someone knows where you are going, your approximate schedule, and your estimated time of arrival at your destination.	true	450.08	457.75	21
3157_119295_000024_000000	--Have emergency "winter storm supplies" in the car, such as a container of sand, shovel, windshield scraper, tow chain or rope, extra gasoline, and a flashlight.	--Have emergency "winter storm supplies" in the car, such as a container of sand, shovel, windshield scraper, tow chain or rope, extra gasoline, and a flashlight.	true	458.3	469.66	24.831402
3157_119295_000024_000001	It also is good to have with you heavy gloves or mittens, overshoes, extra woolen socks, and winter headgear to cover your head and face.	It also is good to have with you heavy gloves or mittens, overshoes, extra woolen socks, and winter headgear to cover your head and face.	true	469.88	478.84	21.709482
3157_119295_000025_000000	--Travel by daylight and use major highways if you can.	--Travel by daylight and use major highways if you can.	true	479.57	483.46	21.971266
3157_119295_000025_000001	Keep the car radio turned on for weather information and advice.	Keep the car radio turned on for weather information and advice.	true	483.62	487.69	22
3157_119295_000026_000000	--Drive with all possible caution.	--Drive with all possible caution.	true	488.24	490.54	22.084448
3157_119295_000026_000001	Don't try to save time by travelling faster than road and weather conditions permit.	Don't try to save time by travelling faster than road and weather conditions permit.	true	490.61	495.58	21.723804
3157_119295_000027_000000	--Don't be daring or foolhardy.	--Don't be daring or foolhardy.	true	496.22	498.49	23.358595
3157_119295_000027_000001	Stop, turn back, or seek help if conditions threaten that may test your ability or endurance, rather than risk being stalled, lost or isolated.	Stop, turn back, or seek help if conditions threaten that may test your ability or endurance, rather than risk being stalled, lost or isolated.	true	498.56	508.69	24.495506
3157_119295_000027_000002	If you are caught in a _blizzard_, seek refuge immediately.	If you are caught in a underscore blizzard underscore, seek refuge immediately.	false	508.91	512.61	24.186707
3157_119295_000028_000000	* KEEP CALM IF YOU GET IN TROUBLE.	asterisk KEEP CALM IF YOU GET IN TROUBLE.	false	512.61	516.01	21.901772
3157_119295_000028_000001	If your car breaks down during a storm, or if you become stalled or lost, don't panic.	If your car breaks down during a storm, or if you become stalled or lost, don't panic.	true	516.11	522.07	23.791477
3157_119295_000028_000002	Think the problem through, decide what's the safest and best thing to do, and then do it slowly and carefully.	Think the problem through, decide what's the safest and best thing to do, and then do it slowly and carefully.	true	522.17	529.39	26.29924
3157_119295_000028_000003	If you are on a well-traveled road, show a trouble signal.	If you are on a well traveled road, show a trouble signal.	true	529.67	533.26	24
3157_119295_000028_000004	Set your directional lights to flashing, raise the hood of your car, or hang a cloth from the radio aerial or car window.	Set your directional lights to flashing, raise the hood of your car, or hang a cloth from the radio aerial or car window.	true	533.39	541	23
3157_119295_000028_000005	Then stay in your car and wait for help to arrive.	Then stay in your car and wait for help to arrive.	true	541.1	544.54	23.018312
3157_119295_000028_000006	If you run the engine to keep warm, remember to open a window enough to provide ventilation and protect you from carbon monoxide poisoning.	If you run the engine to keep warm, remember to open a window enough to provide ventilation and protect you from carbon monoxide poisoning.	true	544.79	553.18	23
3157_119295_000029_000000	Wherever you are, if there is no house or other source of help in sight, do not leave your car to search for assistance, as you may become confused and get lost.	Wherever you are, if there is no house or other source of help in sight, do not leave your car to search for assistance, as you may become confused and get lost.	true	553.79	564.03	21.925068
3157_119295_000030_000000	* AVOID OVEREXERTION.	asterisk AVOID OVEREXERTION.	false	564.03	566.92	20.714975
3157_119295_000030_000001	Every winter many unnecessary deaths occur because people--especially older persons, but younger ones as well--engage in more strenuous physical activity than their bodies can stand.	Every winter many unnecessary deaths occur because people-especially older persons, but younger ones as well-engage in more strenuous physical activity than their bodies can stand.	true	567.23	579.4	22.321062
3157_119295_000030_000002	Cold weather itself, _without_ any physical exertion, puts an extra strain on your heart.	Cold weather itself, underscore without underscore any physical exertion, puts an extra strain on your heart.	false	579.71	585.7	25.120821
3157_119295_000030_000003	If you add to this physical exercise, especially exercise that you are not accustomed to--such as shovelling snow, pushing an automobile, or even walking fast or far--you are risking a heart attack, a stroke, or other damage to your body.	If you add to this physical exercise, especially exercise that you are not accustomed to-such as shovelling snow, pushing an automobile, or even walking fast or far-you are risking a heart attack, a stroke, or other damage to your body.	true	585.8	601.93	24.434933
3157_119295_000030_000004	In winter weather, and especially in winter storms, be aware of this danger, and avoid overexertion.	In winter weather, and especially in winter storms, be aware of this danger, and avoid overexertion.	true	602.12	609.01	21.297728
3157_119295_000031_000000	CHAPTER 5	CHAPTER five	true	610.19	611.265	26.48537
3157_119295_000032_000000	EARTHQUAKES	EARTHQUAKES	true	611.265	612.31	27.71403
3157_119295_000033_000000	If your area is one of the places in the United States where earthquakes occur, keep these points in mind:	If your area is one of the places in the United States where earthquakes occur, keep these points in mind:	true	612.71	619.36	22.531252
3157_119295_000034_000000	--When an earthquake happens, _keep calm_.	--When an earthquake happens, underscore keep calm underscore.	false	619.79	622.71	24.051975
3157_119295_000034_000001	Don't run or panic.	Don't run or panic.	true	622.71	624.52	24.73741
3157_119295_000034_000002	If you take the proper precautions, the chances are you will not be hurt.	If you take the proper precautions, the chances are you will not be hurt.	true	624.68	629.23	25.571493
3157_119295_000035_000000	--REMAIN WHERE YOU ARE.	--REMAIN WHERE YOU ARE.	true	629.75	631.48	22.44644
3157_119295_000035_000001	If you are outdoors, stay outdoors; if indoors, stay indoors.	If you are outdoors, stay outdoors; if indoors, stay indoors.	true	631.58	636.64	24.094646
3157_119295_000035_000002	In earthquakes, most injuries occur as people are entering or leaving buildings (from falling walls, electric wires, etc.).	In earthquakes, most injuries occur as people are entering or leaving buildings (from falling walls, electric wires, etc).	true	636.83	644.92	21.917978
3157_119295_000036_000000	--If you are indoors, sit or stand against an inside wall (preferably in the basement), or in an inside doorway; or else take cover under a desk, table or bench (in case the wall or ceiling should fall).	--If you are indoors, sit or stand against an inside wall (preferably in the basement), or in an inside doorway; or else take cover under a desk, table or bench (in case the wall or ceiling should fall).	true	645.53	658.96	22.647657
3157_119295_000036_000001	Stay away from windows and outside doors.	Stay away from windows and outside doors.	true	659.27	662.2	23
3157_119295_000037_000000	--If you are outdoors, stay away from overhead electric wires, poles or anything else that might shake loose and fall (such as the cornices of tall buildings).	--If you are outdoors, stay away from overhead electric wires, poles or anything else that might shake loose and fall (such as the cornices of tall buildings).	true	662.63	672.58	24.728018
3157_119295_000038_000000	--If you are _driving an automobile_, pull off the road and stop (as soon as possible, and with caution).	--If you are underscore driving an automobile underscore, pull off the road and stop (as soon as possible, and with caution).	false	673.07	679.42	23.123156
3157_119295_000038_000001	Remain in the car until the disturbance subsides.	Remain in the car until the disturbance subsides.	true	679.64	682.81	24.7352
3157_119295_000038_000002	When you drive on, watch for hazards created by the earthquake, such as fallen or falling objects, downed electric wires, and broken or undermined roadways.	When you drive on, watch for hazards created by the earthquake, such as fallen or falling objects, downed electric wires, and broken or undermined roadways.	true	683	693.88	24.174412
3157_119295_000039_000000	AFTER AN EARTHQUAKE	AFTER AN EARTHQUAKE	true	694.67	696.25	25.471949
3157_119295_000040_000000	For your own safety and that of others, you should follow carefully the advice given in the section, "After a Natural Disaster" (page 73).	For your own safety and that of others, you should follow carefully the advice given in the section, "After a Natural Disaster" (page seventy three).	false	696.44	707.25	22.397785
3157_119295_000041_000000	INDEX	INDEX	false	707.25	707.67	9
3157_119295_000042_000000	Air raid _see_ NUCLEAR ATTACK	Air raid underscore see underscore NUCLEAR ATTACK	false	707.67	716.76	21.846636
