2201_160438_000000_000000	BOOK III.	BOOK three.	false	8.175	20.29	20.25694
2201_160438_000002_000011	Compare the cultivation of the lands in the neighbourhood of any considerable town, with that of those which lie at some distance from it, and you will easily satisfy yourself bow much the country is benefited by the commerce of the town.	Compare the cultivation of the lands in the neighbourhood of any considerable town, with that of those which lie at some distance from it, and you will easily satisfy yourself bow much the country is benefited by the commerce of the town.	false	162.77	174.73	17
2201_160438_000002_000012	Among all the absurd speculations that have been propagated concerning the balance of trade, it has never been pretended that either the country loses by its commerce with the town, or the town by that with the country which maintains it.	Among all the absurd speculations that have been propagated concerning the balance of trade, it has never been pretended that either the country loses by its commerce with the town, or the town by that with the country which maintains it.	true	175.07	187.9	18
2201_160438_000003_000000	As subsistence is, in the nature of things, prior to conveniency and luxury, so the industry which procures the former, must necessarily be prior to that which ministers to the latter.	As subsistence is, in the nature of things, prior to conveniency and luxury, so the industry which procures the former, must necessarily be prior to that which ministers to the latter.	true	188.81	199.42	18
2201_160438_000003_000001	The cultivation and improvement of the country, therefore, which affords subsistence, must, necessarily, be prior to the increase of the town, which furnishes only the means of conveniency and luxury.	The cultivation and improvement of the country, therefore, which affords subsistence, must, necessarily, be prior to the increase of the town, which furnishes only the means of conveniency and luxury.	true	199.7	210.88	18
2201_160438_000003_000002	It is the surplus produce of the country only, or what is over and above the maintenance of the cultivators, that constitutes the subsistence of the town, which can therefore increase only with the increase of the surplus produce.	It is the surplus produce of the country only, or what is over and above the maintenance of the cultivators, that constitutes the subsistence of the town, which can therefore increase only with the increase of the surplus produce.	true	211.19	223.42	18
2201_160438_000003_000003	The town, indeed, may not always derive its whole subsistence from the country in its neighbourhood, or even from the territory to which it belongs, but from very distant countries; and this, though it forms no exception from the general rule, has occasioned considerable variations in the progress of opulence in different ages and nations.	The town, indeed, may not always derive its whole subsistence from the country in its neighbourhood, or even from the territory to which it belongs, but from very distant countries; and this, though it forms no exception from the general rule, has occasioned considerable variations in the progress of opulence in different ages and nations.	true	223.79	242.05	17
2201_160438_000004_000000	That order of things which necessity imposes, in general, though not in every particular country, is in every particular country promoted by the natural inclinations of man.	That order of things which necessity imposes, in general, though not in every particular country, is in every particular country promoted by the natural inclinations of man.	true	243.02	253	16
2201_160438_000004_000001	If human institutions had never thwarted those natural inclinations, the towns could nowhere have increased beyond what the improvement and cultivation of the territory in which they were situated could support; till such time, at least, as the whole of that territory was completely cultivated and improved.	If human institutions had never thwarted those natural inclinations, the towns could nowhere have increased beyond what the improvement and cultivation of the territory in which they were situated could support; till such time, at least, as the whole of that territory was completely cultivated and improved.	false	253.28	269.41	18
2201_160438_000004_000002	Upon equal, or nearly equal profits, most men will choose to employ their capitals, rather in the improvement and cultivation of land, than either in manufactures or in foreign trade.	Upon equal, or nearly equal profits, most men will choose to employ their capitals, rather in the improvement and cultivation of land, than either in manufactures or in foreign trade.	false	269.69	280.24	18
2201_160438_000004_000003	The man who employs his capital in land, has it more under his view and command; and his fortune is much less liable to accidents than that of the trader, who is obliged frequently to commit it, not only to the winds and the waves, but to the more uncertain elements of human folly and injustice, by giving great credits, in distant countries, to men with whose character and situation he can seldom be thoroughly acquainted.	The man who employs his capital in land, has it more under his view and command; and his fortune is much less liable to accidents than that of the trader, who is obliged frequently to commit it, not only to the winds and the waves, but to the more uncertain elements of human folly and injustice, by giving great credits, in distant countries, to men with whose character and situation he can seldom be thoroughly acquainted.	false	280.67	303.43	17
2201_160438_000004_000004	The capital of the landlord, on the contrary, which is fixed in the improvement of his land, seems to be as well secured as the nature of human affairs can admit of.	The capital of the landlord, on the contrary, which is fixed in the improvement of his land, seems to be as well secured as the nature of human affairs can admit of.	true	303.68	312.67	15
2201_160438_000004_000005	The beauty of the country, besides, the pleasure of a country life, the tranquillity of mind which it promises, and, wherever the injustice of human laws does not disturb it, the independency which it really affords, have charms that, more or less, attract everybody; and as to cultivate the ground was the original destination of man, so, in every stage of his existence, he seems to retain a predilection for this primitive employment.	The beauty of the country, besides, the pleasure of a country life, the tranquillity of mind which it promises, and, wherever the injustice of human laws does not disturb it, the independency which it really affords, have charms that, more or less, attract everybody; and as to cultivate the ground was the original destination of man, so, in every stage of his existence, he seems to retain a predilection for this primitive employment.	true	313.01	337.15	17
2201_160438_000005_000000	Without the assistance of some artificers, indeed, the cultivation of land cannot be carried on, but with great inconveniency and continual interruption.	Without the assistance of some artificers, indeed, the cultivation of land cannot be carried on, but with great inconveniency and continual interruption.	true	337.91	346.18	17
2201_160438_000005_000001	Smiths, carpenters, wheelwrights and ploughwrights, masons and bricklayers, tanners, shoemakers, and tailors, are people whose service the farmer has frequent occasion for.	Smiths, carpenters, wheelwrights and ploughwrights, masons and bricklayers, tanners, shoemakers, and tailors, are people whose service the farmer has frequent occasion for.	true	346.61	357.25	21.809359
2201_160438_000005_000002	Such artificers, too, stand occasionally in need of the assistance of one another; and as their residence is not, like that of the farmer, necessarily tied down to a precise spot, they naturally settle in the neighbourhood of one another, and thus form a small town or village.	Such artificers, too, stand occasionally in need of the assistance of one another; and as their residence is not, like that of the farmer, necessarily tied down to a precise spot, they naturally settle in the neighbourhood of one another, and thus form a small town or village.	true	357.41	372.73	19
2201_160438_000005_000003	The butcher, the brewer, and the baker, soon join them, together with many other artificers and retailers, necessary or useful for supplying their occasional wants, and who contribute still further to augment the town.	The butcher, the brewer, and the baker, soon join them, together with many other artificers and retailers, necessary or useful for supplying their occasional wants, and who contribute still further to augment the town.	true	373.13	385.66	21
2201_160438_000005_000004	The inhabitants of the town, and those of the country, are mutually the servants of one another.	The inhabitants of the town, and those of the country, are mutually the servants of one another.	true	386.06	390.61	17
2201_160438_000005_000005	The town is a continual fair or market, to which the inhabitants of the country resort, in order to exchange their rude for manufactured produce.	The town is a continual fair or market, to which the inhabitants of the country resort, in order to exchange their rude for manufactured produce.	true	390.92	399.49	18
2201_160438_000005_000006	It is this commerce which supplies the inhabitants of the town, both with the materials of their work, and the means of their subsistence.	It is this commerce which supplies the inhabitants of the town, both with the materials of their work, and the means of their subsistence.	true	399.83	406.69	19
2201_160438_000005_000007	The quantity of the finished work which they sell to the inhabitants of the country, necessarily regulates the quantity of the materials and provisions which they buy.	The quantity of the finished work which they sell to the inhabitants of the country, necessarily regulates the quantity of the materials and provisions which they buy.	true	407.06	415.09	17
2201_160438_000005_000008	Neither their employment nor subsistence, therefore, can augment, but in proportion to the augmentation of the demand from the country for finished work; and this demand can augment only in proportion to the extension of improvement and cultivation.	Neither their employment nor subsistence, therefore, can augment, but in proportion to the augmentation of the demand from the country for finished work; and this demand can augment only in proportion to the extension of improvement and cultivation.	true	415.43	429.1	18
2201_160438_000005_000009	Had human institutions, therefore, never disturbed the natural course of things, the progressive wealth and increase of the towns would, in every political society, be consequential, and in proportion to the improvement and cultivation of the territory of country.	Had human institutions, therefore, never disturbed the natural course of things, the progressive wealth and increase of the towns would, in every political society, be consequential, and in proportion to the improvement and cultivation of the territory of country.	true	429.47	443.77	18
2201_160438_000006_000000	In our North American colonies, where uncultivated land is still to be had upon easy terms, no manufactures for distant sale have ever yet been established in any of their towns.	In our North American colonies, where uncultivated land is still to be had upon easy terms, no manufactures for distant sale have ever yet been established in any of their towns.	true	444.65	455.02	15
2201_160438_000006_000001	When an artificer has acquired a little more stock than is necessary for carrying on his own business in supplying the neighbouring country, he does not, in North America, attempt to establish with it a manufacture for more distant sale, but employs it in the purchase and improvement of uncultivated land.	When an artificer has acquired a little more stock than is necessary for carrying on his own business in supplying the neighbouring country, he does not, in North America, attempt to establish with it a manufacture for more distant sale, but employs it in the purchase and improvement of uncultivated land.	true	455.33	471.58	17
2201_160438_000006_000002	From artificer he becomes planter; and neither the large wages nor the easy subsistence which that country affords to artificers, can bribe him rather to work for other people than for himself.	From artificer he becomes planter; and neither the large wages nor the easy subsistence which that country affords to artificers, can bribe him rather to work for other people than for himself.	true	471.86	482.89	19
2201_160438_000006_000003	He feels that an artificer is the servant of his customers, from whom he derives his subsistence; but that a planter who cultivates his own land, and derives his necessary subsistence from the labour of his own family, is really a master, and independent of all the world.	He feels that an artificer is the servant of his customers, from whom he derives his subsistence; but that a planter who cultivates his own land, and derives his necessary subsistence from the labour of his own family, is really a master, and independent of all the world.	true	483.17	498.22	17
2201_160438_000007_000000	In countries, on the contrary, where there is either no uncultivated land, or none that can be had upon easy terms, every artificer who has acquired more stock than he can employ in the occasional jobs of the neighbourhood, endeavours to prepare work for more distant sale.	In countries, on the contrary, where there is either no uncultivated land, or none that can be had upon easy terms, every artificer who has acquired more stock than he can employ in the occasional jobs of the neighbourhood, endeavours to prepare work for more distant sale.	true	498.98	513.91	17
2201_160438_000007_000001	The smith erects some sort of iron, the weaver some sort of linen or woollen manufactory.	The smith erects some sort of iron, the weaver some sort of linen or woollen manufactory.	true	514.16	519.85	20
2201_160438_000007_000002	Those different manufactures come, in process of time, to be gradually subdivided, and thereby improved and refined in a great variety of ways, which may easily be conceived, and which it is therefore unnecessary to explain any farther.	Those different manufactures come, in process of time, to be gradually subdivided, and thereby improved and refined in a great variety of ways, which may easily be conceived, and which it is therefore unnecessary to explain any farther.	true	520.25	533.83	17
2201_160438_000008_000000	In seeking for employment to a capital, manufactures are, upon equal or nearly equal profits, naturally preferred to foreign commerce, for the same reason that agriculture is naturally preferred to manufactures.	In seeking for employment to a capital, manufactures are, upon equal or nearly equal profits, naturally preferred to foreign commerce, for the same reason that agriculture is naturally preferred to manufactures.	true	534.62	546.25	19
2201_160438_000008_000001	As the capital of the landlord or farmer is more secure than that of the manufacturer, so the capital of the manufacturer, being at all times more within his view and command, is more secure than that of the foreign merchant.	As the capital of the landlord or farmer is more secure than that of the manufacturer, so the capital of the manufacturer, being at all times more within his view and command, is more secure than that of the foreign merchant.	true	546.83	558.76	16
2201_160438_000008_000002	In every period, indeed, of every society, the surplus part both of the rude and manufactured produce, or that for which there is no demand at home, must be sent abroad, in order to be exchanged for something for which there is some demand at home.	In every period, indeed, of every society, the surplus part both of the rude and manufactured produce, or that for which there is no demand at home, must be sent abroad, in order to be exchanged for something for which there is some demand at home.	true	559.22	573.16	17
2201_160438_000008_000003	But whether the capital which carries this surplus produce abroad be a foreign or a domestic one, is of very little importance.	But whether the capital which carries this surplus produce abroad be a foreign or a domestic one, is of very little importance.	true	573.26	580.24	17
2201_160438_000008_000004	If the society has not acquired sufficient capital, both to cultivate all its lands, and to manufacture in the completest manner the whole of its rude produce, there is even a considerable advantage that the rude produce should be exported by a foreign capital, in order that the whole stock of the society may be employed in more useful purposes.	If the society has not acquired sufficient capital, both to cultivate all its lands, and to manufacture in the completest manner the whole of its rude produce, there is even a considerable advantage that the rude produce should be exported by a foreign capital, in order that the whole stock of the society may be employed in more useful purposes.	false	580.55	599.53	17
2201_160438_000008_000005	The wealth of ancient Egypt, that of China and Indostan, sufficiently demonstrate that a nation may attain a very high degree of opulence, though the greater part of its exportation trade be carried on by foreigners.	The wealth of ancient Egypt, that of China and Indostan, sufficiently demonstrate that a nation may attain a very high degree of opulence, though the greater part of its exportation trade be carried on by foreigners.	false	599.87	611.8	18
2201_160438_000008_000006	The progress of our North American and West Indian colonies, would have been much less rapid, had no capital but what belonged to themselves been employed in exporting their surplus produce.	The progress of our North American and West Indian colonies, would have been much less rapid, had no capital but what belonged to themselves been employed in exporting their surplus produce.	true	612.35	622.09	16
2201_160438_000009_000000	According to the natural course of things, therefore, the greater part of the capital of every growing society is, first, directed to agriculture, afterwards to manufactures, and, last of all, to foreign commerce.	According to the natural course of things, therefore, the greater part of the capital of every growing society is, first, directed to agriculture, afterwards to manufactures, and, last of all, to foreign commerce.	true	623	635.29	18
2201_160438_000009_000001	This order of things is so very natural, that in every society that had any territory, it has always, I believe, been in some degree observed.	This order of things is so very natural, that in every society that had any territory, it has always, I believe, been in some degree observed.	true	635.6	644.2	17
2201_160438_000009_000002	Some of their lands must have been cultivated before any considerable towns could be established, and some sort of coarse industry of the manufacturing kind must have been carried on in those towns, before they could well think of employing themselves in foreign commerce.	Some of their lands must have been cultivated before any considerable towns could be established, and some sort of coarse industry of the manufacturing kind must have been carried on in those towns, before they could well think of employing themselves in foreign commerce.	true	644.36	658.03	15
2201_160438_000010_000000	But though this natural order of things must have taken place in some degree in every such society, it has, in all the modern states of Europe, been in many respects entirely inverted.	But though this natural order of things must have taken place in some degree in every such society, it has, in all the modern states of Europe, been in many respects entirely inverted.	false	658.94	669.16	15
2201_160438_000010_000001	The foreign commerce of some of their cities has introduced all their finer manufactures, or such as were fit for distant sale; and manufactures and foreign commerce together have given birth to the principal improvements of agriculture. The manners and customs which the nature of their original government introduced, and which remained after that government was greatly altered, necessarily forced them into this unnatural and retrograde order.	The foreign commerce of some of their cities has introduced all their finer manufactures, or such as were fit for distant sale; and manufactures and foreign commerce together have given birth to the principal improvements of agriculture. The manners and customs which the nature of their original government introduced, and which remained after that government was greatly altered, necessarily forced them into this unnatural and retrograde order.	true	669.32	693.15	17
2201_160438_000011_000000	CHAPTER II.	CHAPTER two.	false	693.15	693.36	-20
2201_160438_000011_000001	OF THE DISCOURAGEMENT OF AGRICULTURE IN THE ANCIENT STATE OF EUROPE, AFTER THE FALL OF THE ROMAN EMPIRE.	OF THE DISCOURAGEMENT OF AGRICULTURE IN THE ANCIENT STATE OF EUROPE, AFTER THE FALL OF THE ROMAN EMPIRE.	false	693.36	695.46	-20
2201_160438_000012_000000	When the German and Scythian nations overran the western provinces of the Roman empire, the confusions which followed so great a revolution lasted for several centuries.	When the German and Scythian nations overran the western provinces of the Roman empire, the confusions which followed so great a revolution lasted for several centuries.	false	695.46	697.11	24.2056
2201_160438_000012_000001	The rapine and violence which the barbarians exercised against the ancient inhabitants, interrupted the commerce between the towns and the country.	The rapine and violence which the barbarians exercised against the ancient inhabitants, interrupted the commerce between the towns and the country.	false	697.11	698.13	22.520987
2201_160438_000012_000002	The towns were deserted, and the country was left uncultivated; and the western provinces of Europe, which had enjoyed a considerable degree of opulence under the Roman empire, sunk into the lowest state of poverty and barbarism.	The towns were deserted, and the country was left uncultivated; and the western provinces of Europe, which had enjoyed a considerable degree of opulence under the Roman empire, sunk into the lowest state of poverty and barbarism.	false	698.13	699.96	-20
2201_160438_000012_000003	During the continuance of those confusions, the chiefs and principal leaders of those nations acquired, or usurped to themselves, the greater part of the lands of those countries.	During the continuance of those confusions, the chiefs and principal leaders of those nations acquired, or usurped to themselves, the greater part of the lands of those countries.	false	699.96	701.31	-20
2201_160438_000012_000004	A great part of them was uncultivated; but no part of them, whether cultivated or uncultivated, was left without a proprietor.	A great part of them was uncultivated; but no part of them, whether cultivated or uncultivated, was left without a proprietor.	false	701.31	702.36	-20
2201_160438_000012_000005	All of them were engrossed, and the greater part by a few great proprietors.	All of them were engrossed, and the greater part by a few great proprietors.	false	702.36	703.05	-20
