459_127521_000001_000000	13	thirteen
459_127521_000021_000003	If they none of them go, well then, we hold the cabin, and God defend the right.	If they none of them go, well then, we hold the cabin, and God defend the right.
459_127521_000022_000000	It was so decided; loaded pistols were served out to all the sure men; Hunter, Joyce, and Redruth were taken into our confidence and received the news with less surprise and a better spirit than we had looked for, and then the captain went on deck and addressed the crew.	It was so decided; loaded pistols were served out to all the sure men; Hunter, Joyce, and Redruth were taken into our confidence and received the news with less surprise and a better spirit than we had looked for, and then the captain went on deck and addressed the crew.
459_127521_000023_000000	"My lads," said he, "we've had a hot day and are all tired and out of sorts.	"My lads," said he, "we've had a hot day and are all tired and out of sorts.
459_127521_000023_000001	A turn ashore'll hurt nobody--the boats are still in the water; you can take the gigs, and as many as please may go ashore for the afternoon.	A turn ashore'll hurt nobody-the boats are still in the water; you can take the gigs, and as many as please may go ashore for the afternoon.
459_127521_000023_000002	I'll fire a gun half an hour before sundown."	I'll fire a gun half an hour before sundown."
459_127521_000024_000000	I believe the silly fellows must have thought they would break their shins over treasure as soon as they were landed, for they all came out of their sulks in a moment and gave a cheer that started the echo in a faraway hill and sent the birds once more flying and squalling round the anchorage.	I believe the silly fellows must have thought they would break their shins over treasure as soon as they were landed, for they all came out of their sulks in a moment and gave a cheer that started the echo in a faraway hill and sent the birds once more flying and squalling round the anchorage.
459_127521_000025_000000	The captain was too bright to be in the way.	The captain was too bright to be in the way.
459_127521_000025_000001	He whipped out of sight in a moment, leaving Silver to arrange the party, and I fancy it was as well he did so.	He whipped out of sight in a moment, leaving Silver to arrange the party, and I fancy it was as well he did so.
459_127521_000025_000002	Had he been on deck, he could no longer so much as have pretended not to understand the situation.	Had he been on deck, he could no longer so much as have pretended not to understand the situation.
459_127521_000025_000003	It was as plain as day. Silver was the captain, and a mighty rebellious crew he had of it.	It was as plain as day. Silver was the captain, and a mighty rebellious crew he had of it.
459_127521_000025_000004	The honest hands--and I was soon to see it proved that there were such on board--must have been very stupid fellows.	The honest hands-and I was soon to see it proved that there were such on board-must have been very stupid fellows.
459_127521_000025_000005	Or rather, I suppose the truth was this, that all hands were disaffected by the example of the ringleaders--only some more, some less; and a few, being good fellows in the main, could neither be led nor driven any further.	Or rather, I suppose the truth was this, that all hands were disaffected by the example of the ringleaders-only some more, some less; and a few, being good fellows in the main, could neither be led nor driven any further.
459_127521_000025_000006	It is one thing to be idle and skulk and quite another to take a ship and murder a number of innocent men.	It is one thing to be idle and skulk and quite another to take a ship and murder a number of innocent men.
459_127521_000026_000000	At last, however, the party was made up.	At last, however, the party was made up.
459_127521_000026_000001	Six fellows were to stay on board, and the remaining thirteen, including Silver, began to embark.	Six fellows were to stay on board, and the remaining thirteen, including Silver, began to embark.
459_127521_000027_000000	Then it was that there came into my head the first of the mad notions that contributed so much to save our lives.	Then it was that there came into my head the first of the mad notions that contributed so much to save our lives.
459_127521_000027_000001	If six men were left by Silver, it was plain our party could not take and fight the ship; and since only six were left, it was equally plain that the cabin party had no present need of my assistance.	If six men were left by Silver, it was plain our party could not take and fight the ship; and since only six were left, it was equally plain that the cabin party had no present need of my assistance.
459_127521_000027_000002	It occurred to me at once to go ashore.	It occurred to me at once to go ashore.
459_127521_000027_000003	In a jiffy I had slipped over the side and curled up in the fore-sheets of the nearest boat, and almost at the same moment she shoved off.	In a jiffy I had slipped over the side and curled up in the fore sheets of the nearest boat, and almost at the same moment she shoved off.
459_127521_000028_000000	No one took notice of me, only the bow oar saying, "Is that you, Jim? Keep your head down." But Silver, from the other boat, looked sharply over and called out to know if that were me; and from that moment I began to regret what I had done.	No one took notice of me, only the bow oar saying, "Is that you, Jim? Keep your head down." But Silver, from the other boat, looked sharply over and called out to know if that were me; and from that moment I began to regret what I had done.
459_127521_000029_000000	The crews raced for the beach, but the boat I was in, having some start and being at once the lighter and the better manned, shot far ahead of her consort, and the bow had struck among the shore-side trees and I had caught a branch and swung myself out and plunged into the nearest thicket while Silver and the rest were still a hundred yards behind.	The crews raced for the beach, but the boat I was in, having some start and being at once the lighter and the better manned, shot far ahead of her consort, and the bow had struck among the shore side trees and I had caught a branch and swung myself out and plunged into the nearest thicket while Silver and the rest were still a hundred yards behind.
459_127521_000031_000000	But you may suppose I paid no heed; jumping, ducking, and breaking through, I ran straight before my nose till I could run no longer.	But you may suppose I paid no heed; jumping, ducking, and breaking through, I ran straight before my nose till I could run no longer.
