459_127521_000000_000000	PART THREE--My Shore Adventure	PART THREE-My Shore Adventure	false	23.16	27.18	19.97593
459_127521_000006_000003	Anderson was in command of my boat, and instead of keeping the crew in order, he grumbled as loud as the worst.	Anderson was in command of my boat, and instead of keeping the crew in order, he grumbled as loud as the worst.	true	183.56	189.79	23.181799
459_127521_000007_000000	"Well," he said with an oath, "it's not forever."	"Well," he said with an oath, "it's not forever."	true	190.67	193.81	20.938782
459_127521_000008_000000	I thought this was a very bad sign, for up to that day the men had gone briskly and willingly about their business; but the very sight of the island had relaxed the cords of discipline.	I thought this was a very bad sign, for up to that day the men had gone briskly and willingly about their business; but the very sight of the island had relaxed the cords of discipline.	true	195.17	204.91	22.687086
459_127521_000009_000000	All the way in, Long John stood by the steersman and conned the ship. He knew the passage like the palm of his hand, and though the man in the chains got everywhere more water than was down in the chart, John never hesitated once.	All the way in, Long john stood by the steersman and conned the ship. He knew the passage like the palm of his hand, and though the man in the chains got everywhere more water than was down in the chart, john never hesitated once.	true	206	219.07	19.874865
459_127521_000010_000000	"There's a strong scour with the ebb," he said, "and this here passage has been dug out, in a manner of speaking, with a spade."	"There's a strong scour with the ebb," he said, "and this here passage has been dug out, in a manner of speaking, with a spade."	false	219.95	226.75	23.97677
459_127521_000011_000000	We brought up just where the anchor was in the chart, about a third of a mile from each shore, the mainland on one side and Skeleton Island on the other.	We brought up just where the anchor was in the chart, about a third of a mile from each shore, the mainland on one side and Skeleton Island on the other.	true	227.96	236.38	21.780882
459_127521_000011_000001	The bottom was clean sand.	The bottom was clean sand.	true	236.81	238.81	20.190752
459_127521_000011_000002	The plunge of our anchor sent up clouds of birds wheeling and crying over the woods, but in less than a minute they were down again and all was once more silent.	The plunge of our anchor sent up clouds of birds wheeling and crying over the woods, but in less than a minute they were down again and all was once more silent.	true	239.42	248.98	22.553797
459_127521_000012_000000	The place was entirely land-locked, buried in woods, the trees coming right down to high-water mark, the shores mostly flat, and the hilltops standing round at a distance in a sort of amphitheatre, one here, one there.	The place was entirely land locked, buried in woods, the trees coming right down to high water mark, the shores mostly flat, and the hilltops standing round at a distance in a sort of amphitheatre, one here, one there.	true	250.37	263.62	22.892548
459_127521_000012_000001	Two little rivers, or rather two swamps, emptied out into this pond, as you might call it; and the foliage round that part of the shore had a kind of poisonous brightness.	Two little rivers, or rather two swamps, emptied out into this pond, as you might call it; and the foliage round that part of the shore had a kind of poisonous brightness.	false	264.65	274.66	23.936468
459_127521_000012_000002	From the ship we could see nothing of the house or stockade, for they were quite buried among trees; and if it had not been for the chart on the companion, we might have been the first that had ever anchored there since the island arose out of the seas.	From the ship we could see nothing of the house or stockade, for they were quite buried among trees; and if it had not been for the chart on the companion, we might have been the first that had ever anchored there since the island arose out of the seas.	true	275.54	288.79	22.798489
459_127521_000013_000000	There was not a breath of air moving, nor a sound but that of the surf booming half a mile away along the beaches and against the rocks outside.	There was not a breath of air moving, nor a sound but that of the surf booming half a mile away along the beaches and against the rocks outside.	true	290.18	298.45	23.385717
459_127521_000013_000001	A peculiar stagnant smell hung over the anchorage--a smell of sodden leaves and rotting tree trunks.	A peculiar stagnant smell hung over the anchorage-a smell of sodden leaves and rotting tree trunks.	true	299.33	305.71	21.835236
459_127521_000013_000002	I observed the doctor sniffing and sniffing, like someone tasting a bad egg.	I observed the doctor sniffing and sniffing, like someone tasting a bad egg.	true	306.38	311.08	19.621838
459_127521_000014_000000	"I don't know about treasure," he said, "but I'll stake my wig there's fever here."	"I don't know about treasure," he said, "but I'll stake my wig there's fever here."	true	312.05	316.63	25.689022
459_127521_000015_000000	If the conduct of the men had been alarming in the boat, it became truly threatening when they had come aboard.	If the conduct of the men had been alarming in the boat, it became truly threatening when they had come aboard.	true	318.32	324.31	23.805984
459_127521_000015_000001	They lay about the deck growling together in talk.	They lay about the deck growling together in talk.	true	324.86	327.94	27.256435
459_127521_000015_000002	The slightest order was received with a black look and grudgingly and carelessly obeyed.	The slightest order was received with a black look and grudgingly and carelessly obeyed.	true	328.31	333.34	23.771366
459_127521_000015_000003	Even the honest hands must have caught the infection, for there was not one man aboard to mend another.	Even the honest hands must have caught the infection, for there was not one man aboard to mend another.	false	333.98	339.7	26.842642
459_127521_000015_000004	Mutiny, it was plain, hung over us like a thunder-cloud.	Mutiny, it was plain, hung over us like a thunder cloud.	true	340.13	344.17	22.07733
459_127521_000016_000000	And it was not only we of the cabin party who perceived the danger.	And it was not only we of the cabin party who perceived the danger.	true	345.14	348.64	20.13927
459_127521_000016_000001	Long John was hard at work going from group to group, spending himself in good advice, and as for example no man could have shown a better.	Long john was hard at work going from group to group, spending himself in good advice, and as for example no man could have shown a better.	true	349.19	357.25	22.697155
459_127521_000016_000002	He fairly outstripped himself in willingness and civility; he was all smiles to everyone.	He fairly outstripped himself in willingness and civility; he was all smiles to everyone.	true	357.92	363.13	23.008007
459_127521_000016_000003	If an order were given, John would be on his crutch in an instant, with the cheeriest "Aye, aye, sir!" in the world; and when there was nothing else to do, he kept up one song after another, as if to conceal the discontent of the rest.	If an order were given, john would be on his crutch in an instant, with the cheeriest "Aye, aye, sir!" in the world; and when there was nothing else to do, he kept up one song after another, as if to conceal the discontent of the rest.	false	363.71	376.6	21.902342
459_127521_000017_000000	Of all the gloomy features of that gloomy afternoon, this obvious anxiety on the part of Long John appeared the worst.	Of all the gloomy features of that gloomy afternoon, this obvious anxiety on the part of Long john appeared the worst.	true	378.11	385.66	20.700335
459_127521_000018_000000	We held a council in the cabin.	We held a council in the cabin.	true	386.6	390.705	21.715858
459_127521_000019_000000	"Sir," said the captain, "if I risk another order, the whole ship'll come about our ears by the run.	"Sir," said the captain, "if I risk another order, the whole ship'll come about our ears by the run.	false	390.705	396.16	22.333502
459_127521_000019_000001	You see, sir, here it is.	You see, sir, here it is.	true	396.47	398.41	28.802551
459_127521_000019_000002	I get a rough answer, do I not?	I get a rough answer, do I not?	true	398.42	400.15	25.794256
459_127521_000019_000003	Well, if I speak back, pikes will be going in two shakes; if I don't, Silver will see there's something under that, and the game's up.	Well, if I speak back, pikes will be going in two shakes; if I don't, Silver will see there's something under that, and the game's up.	true	400.4	407.68	24.580978
459_127521_000019_000004	Now, we've only one man to rely on."	Now, we've only one man to rely on."	true	408.02	410.29	20.37616
459_127521_000020_000000	"And who is that?" asked the squire.	"And who is that?" asked the squire.	true	411.2	413.11	23.485558
459_127521_000021_000000	"Silver, sir," returned the captain; "he's as anxious as you and I to smother things up.	"Silver, sir," returned the captain; "he's as anxious as you and I to smother things up.	true	413.78	418.78	21.251692
459_127521_000021_000001	This is a tiff; he'd soon talk 'em out of it if he had the chance, and what I propose to do is to give him the chance. Let's allow the men an afternoon ashore.	This is a tiff; he'd soon talk 'em out of it if he had the chance, and what I propose to do is to give him the chance. Let's allow the men an afternoon ashore.	true	419.15	427.87	22.463036
459_127521_000021_000002	If they all go, why we'll fight the ship.	If they all go, why we'll fight the ship.	true	428.03	430.63	24.709522
459_127521_000021_000003	If they none of them go, well then, we hold the cabin, and God defend the right.	If they none of them go, well then, we hold the cabin, and God defend the right.	true	430.64	434.86	21.345757
459_127521_000021_000004	If some go, you mark my words, sir, Silver'll bring 'em aboard again as mild as lambs."	If some go, you mark my words, sir, Silver'll bring 'em aboard again as mild as lambs."	true	435.02	440.98	19.948088
459_127521_000022_000000	It was so decided; loaded pistols were served out to all the sure men; Hunter, Joyce, and Redruth were taken into our confidence and received the news with less surprise and a better spirit than we had looked for, and then the captain went on deck and addressed the crew.	It was so decided; loaded pistols were served out to all the sure men; Hunter, Joyce, and Redruth were taken into our confidence and received the news with less surprise and a better spirit than we had looked for, and then the captain went on deck and addressed the crew.	true	441.98	458.11	23.031616
459_127521_000023_000000	"My lads," said he, "we've had a hot day and are all tired and out of sorts.	"My lads," said he, "we've had a hot day and are all tired and out of sorts.	true	459.38	464.32	22.947037
459_127521_000023_000001	A turn ashore'll hurt nobody--the boats are still in the water; you can take the gigs, and as many as please may go ashore for the afternoon.	A turn ashore'll hurt nobody-the boats are still in the water; you can take the gigs, and as many as please may go ashore for the afternoon.	true	464.39	472.395	24.035574
459_127521_000023_000002	I'll fire a gun half an hour before sundown."	I'll fire a gun half an hour before sundown."	true	472.395	475.12	22.419323
459_127521_000024_000000	I believe the silly fellows must have thought they would break their shins over treasure as soon as they were landed, for they all came out of their sulks in a moment and gave a cheer that started the echo in a faraway hill and sent the birds once more flying and squalling round the anchorage.	I believe the silly fellows must have thought they would break their shins over treasure as soon as they were landed, for they all came out of their sulks in a moment and gave a cheer that started the echo in a faraway hill and sent the birds once more flying and squalling round the anchorage.	true	476.75	491.38	22.239098
459_127521_000025_000000	The captain was too bright to be in the way.	The captain was too bright to be in the way.	true	492.65	494.86	26.787226
459_127521_000025_000001	He whipped out of sight in a moment, leaving Silver to arrange the party, and I fancy it was as well he did so.	He whipped out of sight in a moment, leaving Silver to arrange the party, and I fancy it was as well he did so.	true	495.32	501.37	21.768412
459_127521_000025_000002	Had he been on deck, he could no longer so much as have pretended not to understand the situation.	Had he been on deck, he could no longer so much as have pretended not to understand the situation.	true	502.04	507.25	21.686428
459_127521_000025_000003	It was as plain as day. Silver was the captain, and a mighty rebellious crew he had of it.	It was as plain as day. Silver was the captain, and a mighty rebellious crew he had of it.	true	507.5	513.31	22.97718
459_127521_000025_000004	The honest hands--and I was soon to see it proved that there were such on board--must have been very stupid fellows.	The honest hands-and I was soon to see it proved that there were such on board-must have been very stupid fellows.	true	513.74	520.42	22.572601
459_127521_000025_000005	Or rather, I suppose the truth was this, that all hands were disaffected by the example of the ringleaders--only some more, some less; and a few, being good fellows in the main, could neither be led nor driven any further.	Or rather, I suppose the truth was this, that all hands were disaffected by the example of the ringleaders-only some more, some less; and a few, being good fellows in the main, could neither be led nor driven any further.	true	520.76	534.25	21.73452
459_127521_000025_000006	It is one thing to be idle and skulk and quite another to take a ship and murder a number of innocent men.	It is one thing to be idle and skulk and quite another to take a ship and murder a number of innocent men.	true	534.8	540.79	24.901968
459_127521_000026_000000	At last, however, the party was made up.	At last, however, the party was made up.	true	541.97	544.3	22.875832
459_127521_000026_000001	Six fellows were to stay on board, and the remaining thirteen, including Silver, began to embark.	Six fellows were to stay on board, and the remaining thirteen, including Silver, began to embark.	true	544.58	550.63	22.750711
459_127521_000027_000000	Then it was that there came into my head the first of the mad notions that contributed so much to save our lives.	Then it was that there came into my head the first of the mad notions that contributed so much to save our lives.	true	552.02	557.89	21.271868
459_127521_000027_000001	If six men were left by Silver, it was plain our party could not take and fight the ship; and since only six were left, it was equally plain that the cabin party had no present need of my assistance.	If six men were left by Silver, it was plain our party could not take and fight the ship; and since only six were left, it was equally plain that the cabin party had no present need of my assistance.	true	558.62	569.53	24.104618
459_127521_000027_000002	It occurred to me at once to go ashore.	It occurred to me at once to go ashore.	true	570.11	572.5	24.86632
459_127521_000027_000003	In a jiffy I had slipped over the side and curled up in the fore-sheets of the nearest boat, and almost at the same moment she shoved off.	In a jiffy I had slipped over the side and curled up in the fore sheets of the nearest boat, and almost at the same moment she shoved off.	true	573.05	580.24	24.614492
459_127521_000028_000000	No one took notice of me, only the bow oar saying, "Is that you, Jim? Keep your head down." But Silver, from the other boat, looked sharply over and called out to know if that were me; and from that moment I began to regret what I had done.	No one took notice of me, only the bow oar saying, "Is that you, Jim? Keep your head down." But Silver, from the other boat, looked sharply over and called out to know if that were me; and from that moment I began to regret what I had done.	true	581.42	595.51	23.064814
459_127521_000029_000000	The crews raced for the beach, but the boat I was in, having some start and being at once the lighter and the better manned, shot far ahead of her consort, and the bow had struck among the shore-side trees and I had caught a branch and swung myself out and plunged into the nearest thicket while Silver and the rest were still a hundred yards behind.	The crews raced for the beach, but the boat I was in, having some start and being at once the lighter and the better manned, shot far ahead of her consort, and the bow had struck among the shore side trees and I had caught a branch and swung myself out and plunged into the nearest thicket while Silver and the rest were still a hundred yards behind.	true	596.63	615.19	22.97315
459_127521_000030_000000	"Jim, Jim!" I heard him shouting.	"Jim, Jim!" I heard him shouting.	true	616.1	618.61	18.78664
459_127521_000031_000000	But you may suppose I paid no heed; jumping, ducking, and breaking through, I ran straight before my nose till I could run no longer.	But you may suppose I paid no heed; jumping, ducking, and breaking through, I ran straight before my nose till I could run no longer.	true	619.31	627.54	23.95545
459_127521_000032_000000	14	fourteen	false	627.54	627.6	-20
459_127521_000033_000000	The First Blow	The First Blow	false	627.6	627.84	-20
459_127521_000034_000000	I WAS so pleased at having given the slip to Long John that I began to enjoy myself and look around me with some interest on the strange land that I was in.	I WAS so pleased at having given the slip to Long john that I began to enjoy myself and look around me with some interest on the strange land that I was in.	false	627.84	629.76	11.286309
459_127521_000035_000000	I had crossed a marshy tract full of willows, bulrushes, and odd, outlandish, swampy trees; and I had now come out upon the skirts of an open piece of undulating, sandy country, about a mile long, dotted with a few pines and a great number of contorted trees, not unlike the oak in growth, but pale in the foliage, like willows.	I had crossed a marshy tract full of willows, bulrushes, and odd, outlandish, swampy trees; and I had now come out upon the skirts of an open piece of undulating, sandy country, about a mile long, dotted with a few pines and a great number of contorted trees, not unlike the oak in growth, but pale in the foliage, like willows.	false	629.76	636.42	19.846085
459_127521_000035_000001	On the far side of the open stood one of the hills, with two quaint, craggy peaks shining vividly in the sun.	On the far side of the open stood one of the hills, with two quaint, craggy peaks shining vividly in the sun	false	636.42	639.3	18.749823
