480_126292_000000_000000	THE ADVENTURES OF CHANTICLEER AND PARTLET	THE ADVENTURES OF CHANTICLEER AND PARTLET	false	12.57	28.29	20.236383
480_126292_000004_000000	After they had travelled along a little way, they met a needle and a pin walking together along the road: and the needle cried out, 'Stop, stop!' and said it was so dark that they could hardly find their way, and such dirty walking they could not get on at all: he told them that he and his friend, the pin, had been at a public-house a few miles off, and had sat drinking till they had forgotten how late it was; he begged therefore that the travellers would be so kind as to give them a lift in their carriage.	After they had travelled along a little way, they met a needle and a pin walking together along the road: and the needle cried out, 'Stop, stop!' and said it was so dark that they could hardly find their way, and such dirty walking they could not get on at all: he told them that he and his friend, the pin, had been at a public house a few miles off, and had sat drinking till they had forgotten how late it was; he begged therefore that the travellers would be so kind as to give them a lift in their carriage.	false	143.33	175.9	20.542015
480_126292_000004_000001	Chanticleer observing that they were but thin fellows, and not likely to take up much room, told them they might ride, but made them promise not to dirty the wheels of the carriage in getting in, nor to tread on Partlet's toes.	Chanticleer observing that they were but thin fellows, and not likely to take up much room, told them they might ride, but made them promise not to dirty the wheels of the carriage in getting in, nor to tread on Partlet's toes.	true	177.29	190.96	19.051386
480_126292_000005_000000	Late at night they arrived at an inn; and as it was bad travelling in the dark, and the duck seemed much tired, and waddled about a good deal from one side to the other, they made up their minds to fix their quarters there: but the landlord at first was unwilling, and said his house was full, thinking they might not be very respectable company: however, they spoke civilly to him, and gave him the egg which Partlet had laid by the way, and said they would give him the duck, who was in the habit of laying one every day: so at last he let them come in, and they bespoke a handsome supper, and spent the evening very jollily.	Late at night they arrived at an inn; and as it was bad travelling in the dark, and the duck seemed much tired, and waddled about a good deal from one side to the other, they made up their minds to fix their quarters there: but the landlord at first was unwilling, and said his house was full, thinking they might not be very respectable company: however, they spoke civilly to him, and gave him the egg which Partlet had laid by the way, and said they would give him the duck, who was in the habit of laying one every day: so at last he let them come in, and they bespoke a handsome supper, and spent the evening very jollily.	false	193.28	233.62	18.965733
480_126292_000006_000000	Early in the morning, before it was quite light, and when nobody was stirring in the inn, Chanticleer awakened his wife, and, fetching the egg, they pecked a hole in it, ate it up, and threw the shells into the fireplace: they then went to the pin and needle, who were fast asleep, and seizing them by the heads, stuck one into the landlord's easy chair and the other into his handkerchief; and, having done this, they crept away as softly as possible.	Early in the morning, before it was quite light, and when nobody was stirring in the inn, Chanticleer awakened his wife, and, fetching the egg, they pecked a hole in it, ate it up, and threw the shells into the fireplace: they then went to the pin and needle, who were fast asleep, and seizing them by the heads, stuck one into the landlord's easy chair and the other into his handkerchief; and, having done this, they crept away as softly as possible.	false	235.73	264.52	18.655596
480_126292_000006_000001	However, the duck, who slept in the open air in the yard, heard them coming, and jumping into the brook which ran close by the inn, soon swam out of their reach.	However, the duck, who slept in the open air in the yard, heard them coming, and jumping into the brook which ran close by the inn, soon swam out of their reach.	true	265.49	275.37	21.10439
480_126292_000007_000000	An hour or two afterwards the landlord got up, and took his handkerchief to wipe his face, but the pin ran into him and pricked him: then he walked into the kitchen to light his pipe at the fire, but when he stirred it up the eggshells flew into his eyes, and almost blinded him. 'Bless me!' said he, 'all the world seems to have a design against my head this morning': and so saying, he threw himself sulkily into his easy chair; but, oh dear! the needle ran into him; and this time the pain was not in his head.	An hour or two afterwards the landlord got up, and took his handkerchief to wipe his face, but the pin ran into him and pricked him: then he walked into the kitchen to light his pipe at the fire, but when he stirred it up the eggshells flew into his eyes, and almost blinded him. 'Bless me!' said he, 'all the world seems to have a design against my head this morning': and so saying, he threw himself sulkily into his easy chair; but, oh dear! the needle ran into him; and this time the pain was not in his head.	false	275.37	310.68	19.32007
480_126292_000007_000001	He now flew into a very great passion, and, suspecting the company who had come in the night before, he went to look after them, but they were all off; so he swore that he never again would take in such a troop of vagabonds, who ate a great deal, paid no reckoning, and gave him nothing for his trouble but their apish tricks.	He now flew into a very great passion, and, suspecting the company who had come in the night before, he went to look after them, but they were all off; so he swore that he never again would take in such a troop of vagabonds, who ate a great deal, paid no reckoning, and gave him nothing for his trouble but their apish tricks.	false	310.68	341.85	19.082705
480_126292_000008_000000	2.	two.	false	341.85	343.44	15.699826
480_126292_000008_000001	HOW CHANTICLEER AND PARTLET WENT TO VISIT MR KORBES	HOW CHANTICLEER AND PARTLET WENT TO VISIT MR k o r b e s	false	343.44	349.32	17.824251
480_126292_000009_000000	Another day, Chanticleer and Partlet wished to ride out together; so Chanticleer built a handsome carriage with four red wheels, and harnessed six mice to it; and then he and Partlet got into the carriage, and away they drove.	Another day, Chanticleer and Partlet wished to ride out together; so Chanticleer built a handsome carriage with four red wheels, and harnessed six mice to it; and then he and Partlet got into the carriage, and away they drove.	true	349.32	363.22	18.550537
480_126292_000009_000001	Soon afterwards a cat met them, and said, 'Where are you going?' And Chanticleer replied,	Soon afterwards a cat met them, and said, 'Where are you going?' And Chanticleer replied,	false	364.13	370.48	18.99372
480_126292_000010_000000	'All on our way A visit to pay To Mr Korbes, the fox, today.'	'All on our way A visit to pay To Mr Korbes, the fox, today.'	true	371.03	375.63	17.081385
480_126292_000011_000000	Then the cat said, 'Take me with you,' Chanticleer said, 'With all my heart: get up behind, and be sure you do not fall off.'	Then the cat said, 'Take me with you,' Chanticleer said, 'With all my heart: get up behind, and be sure you do not fall off.'	false	375.63	384.7	19.200344
480_126292_000012_000000	'Take care of this handsome coach of mine, Nor dirty my pretty red wheels so fine! Now, mice, be ready, And, wheels, run steady! For we are going a visit to pay To Mr Korbes, the fox, today.'	'Take care of this handsome coach of mine, Nor dirty my pretty red wheels so fine! Now, mice, be ready, And, wheels, run steady! For we are going a visit to pay To Mr Korbes, the fox, today.'	true	385.46	398.35	18.581018
480_126292_000013_000000	Soon after came up a millstone, an egg, a duck, and a pin; and Chanticleer gave them all leave to get into the carriage and go with them.	Soon after came up a millstone, an egg, a duck, and a pin; and Chanticleer gave them all leave to get into the carriage and go with them.	true	399.68	408.91	18.03406
480_126292_000014_000000	When they arrived at Mr Korbes's house, he was not at home; so the mice drew the carriage into the coach-house, Chanticleer and Partlet flew upon a beam, the cat sat down in the fireplace, the duck got into the washing cistern, the pin stuck himself into the bed pillow, the millstone laid himself over the house door, and the egg rolled himself up in the towel.	When they arrived at Mr Korbes's house, he was not at home; so the mice drew the carriage into the coach house, Chanticleer and Partlet flew upon a beam, the cat sat down in the fireplace, the duck got into the washing cistern, the pin stuck himself into the bed pillow, the millstone laid himself over the house door, and the egg rolled himself up in the towel.	true	410	433.9	18.896233
480_126292_000015_000000	When Mr Korbes came home, he went to the fireplace to make a fire; but the cat threw all the ashes in his eyes: so he ran to the kitchen to wash himself; but there the duck splashed all the water in his face; and when he tried to wipe himself, the egg broke to pieces in the towel all over his face and eyes.	When Mr Korbes came home, he went to the fireplace to make a fire; but the cat threw all the ashes in his eyes: so he ran to the kitchen to wash himself; but there the duck splashed all the water in his face; and when he tried to wipe himself, the egg broke to pieces in the towel all over his face and eyes.	true	435.98	453.48	18.779383
480_126292_000015_000001	Then he was very angry, and went without his supper to bed; but when he laid his head on the pillow, the pin ran into his cheek: at this he became quite furious, and, jumping up, would have run out of the house; but when he came to the door, the millstone fell down on his head, and killed him on the spot.	Then he was very angry, and went without his supper to bed; but when he laid his head on the pillow, the pin ran into his cheek: at this he became quite furious, and, jumping up, would have run out of the house; but when he came to the door, the millstone fell down on his head, and killed him on the spot.	false	453.48	480.075	18.590828
480_126292_000016_000000	3.	three.	true	480.075	480.64	19.19632
480_126292_000016_000001	HOW PARTLET DIED AND WAS BURIED, AND HOW CHANTICLEER DIED OF GRIEF	HOW PARTLET DIED AND WAS BURIED, AND HOW CHANTICLEER DIED OF GRIEF	true	481.34	485.86	19.646866
480_126292_000017_000000	Another day Chanticleer and Partlet agreed to go again to the mountains to eat nuts; and it was settled that all the nuts which they found should be shared equally between them.	Another day Chanticleer and Partlet agreed to go again to the mountains to eat nuts; and it was settled that all the nuts which they found should be shared equally between them.	false	488.9	498.13	17.840525
480_126292_000017_000001	Now Partlet found a very large nut; but she said nothing about it to Chanticleer, and kept it all to herself: however, it was so big that she could not swallow it, and it stuck in her throat.	Now Partlet found a very large nut; but she said nothing about it to Chanticleer, and kept it all to herself: however, it was so big that she could not swallow it, and it stuck in her throat.	false	499.4	511.72	19.652853
480_126292_000017_000002	Then she was in a great fright, and cried out to Chanticleer, 'Pray run as fast as you can, and fetch me some water, or I shall be choked.' Chanticleer ran as fast as he could to the river, and said, 'River, give me some water, for Partlet lies in the mountain, and will be choked by a great nut.' The river said, 'Run first to the bride, and ask her for a silken cord to draw up the water.' Chanticleer ran to the bride, and said, 'Bride, you must give me a silken cord, for then the river will give me water, and the water I will carry to Partlet, who lies on the mountain, and will be choked by a great nut.' But the bride said, 'Run first, and bring me my garland that is hanging on a willow in the garden.' Then Chanticleer ran to the garden, and took the garland from the bough where it hung, and brought it to the bride; and then the bride gave him the silken cord, and he took the silken cord to the river, and the river gave him water, and he carried the water to Partlet; but in the meantime she was choked by the great nut, and lay quite dead, and never moved any more.	Then she was in a great fright, and cried out to Chanticleer, 'Pray run as fast as you can, and fetch me some water, or I shall be choked.' Chanticleer ran as fast as he could to the river, and said, 'River, give me some water, for Partlet lies in the mountain, and will be choked by a great nut.' The river said, 'Run first to the bride, and ask her for a silken cord to draw up the water.' Chanticleer ran to the bride, and said, 'Bride, you must give me a silken cord, for then the river will give me water, and the water I will carry to Partlet, who lies on the mountain, and will be choked by a great nut.' But the bride said, 'Run first, and bring me my garland that is hanging on a willow in the garden.' Then Chanticleer ran to the garden, and took the garland from the bough where it hung, and brought it to the bride; and then the bride gave him the silken cord, and he took the silken cord to the river, and the river gave him water, and he carried the water to Partlet; but in the meantime she was choked by the great nut, and lay quite dead, and never moved any more.	false	513.2	581.83	18.606611
480_126292_000018_000000	Then Chanticleer was very sorry, and cried bitterly; and all the beasts came and wept with him over poor Partlet.	Then Chanticleer was very sorry, and cried bitterly; and all the beasts came and wept with him over poor Partlet.	true	583.58	591.04	17.245605
480_126292_000018_000001	And six mice built a little hearse to carry her to her grave; and when it was ready they harnessed themselves before it, and Chanticleer drove them.	And six mice built a little hearse to carry her to her grave; and when it was ready they harnessed themselves before it, and Chanticleer drove them.	true	592.19	604.12	18.992613
480_126292_000018_000002	On the way they met the fox.	On the way they met the fox.	true	604.22	606.1	18.730946
480_126292_000018_000003	'Where are you going, Chanticleer?' said he.	'Where are you going, Chanticleer?' said he.	true	606.86	609.27	16.662725
480_126292_000018_000004	'To bury my Partlet,' said the other.	'To bury my Partlet,' said the other.	false	609.27	612.64	13.006766
480_126292_000018_000005	'May I go with you?' said the fox.	'May I go with you?' said the fox.	true	613.46	616.15	19.939098
480_126292_000018_000006	'Yes; but you must get up behind, or my horses will not be able to draw you.' Then the fox got up behind; and presently the wolf, the bear, the goat, and all the beasts of the wood, came and climbed upon the hearse.	'Yes; but you must get up behind, or my horses will not be able to draw you.' Then the fox got up behind; and presently the wolf, the bear, the goat, and all the beasts of the wood, came and climbed upon the hearse.	true	617.06	632.29	19.154373
480_126292_000019_000000	So on they went till they came to a rapid stream.	So on they went till they came to a rapid stream.	true	634.4	637.65	15.724208
480_126292_000019_000001	'How shall we get over?' said Chanticleer.	'How shall we get over?' said Chanticleer.	false	637.65	641.11	17.312643
480_126292_000019_000002	Then said a straw, 'I will lay myself across, and you may pass over upon me.' But as the mice were going over, the straw slipped away and fell into the water, and the six mice all fell in and were drowned.	Then said a straw, 'I will lay myself across, and you may pass over upon me.' But as the mice were going over, the straw slipped away and fell into the water, and the six mice all fell in and were drowned.	false	642.68	657.1	17.849907
480_126292_000019_000003	What was to be done?	What was to be done?	true	657.95	659.29	13
480_126292_000019_000004	Then a large log of wood came and said, 'I am big enough; I will lay myself across the stream, and you shall pass over upon me.' So he laid himself down; but they managed so clumsily, that the log of wood fell in and was carried away by the stream.	Then a large log of wood came and said, 'I am big enough; I will lay myself across the stream, and you shall pass over upon me.' So he laid himself down; but they managed so clumsily, that the log of wood fell in and was carried away by the stream.	false	661.16	677.82	18.29062
480_126292_000019_000005	Then a stone, who saw what had happened, came up and kindly offered to help poor Chanticleer by laying himself across the stream; and this time he got safely to the other side with the hearse, and managed to get Partlet out of it; but the fox and the other mourners, who were sitting behind, were too heavy, and fell back into the water and were all carried away by the stream and drowned.	Then a stone, who saw what had happened, came up and kindly offered to help poor Chanticleer by laying himself across the stream; and this time he got safely to the other side with the hearse, and managed to get Partlet out of it; but the fox and the other mourners, who were sitting behind, were too heavy, and fell back into the water and were all carried away by the stream and drowned.	false	677.82	703.35	17.001293
480_126292_000020_000000	Thus Chanticleer was left alone with his dead Partlet; and having dug a grave for her, he laid her in it, and made a little hillock over her. Then he sat down by the grave, and wept and mourned, till at last he died too; and so all were dead.	Thus Chanticleer was left alone with his dead Partlet; and having dug a grave for her, he laid her in it, and made a little hillock over her. Then he sat down by the grave, and wept and mourned, till at last he died too; and so all were dead.	false	703.35	728.76	16.577831
480_126292_000021_000000	RAPUNZEL	RAPUNZEL	false	728.76	729.03	-20
480_126292_000022_000000	There were once a man and a woman who had long in vain wished for a child.	There were once a man and a woman who had long in vain wished for a child.	false	729.03	730.77	33.53318
480_126292_000022_000001	At length the woman hoped that God was about to grant her desire. These people had a little window at the back of their house from which a splendid garden could be seen, which was full of the most beautiful flowers and herbs.	At length the woman hoped that God was about to grant her desire. These people had a little window at the back of their house from which a splendid garden could be seen, which was full of the most beautiful flowers and herbs.	false	730.77	730.95	-20
480_126292_000022_000002	It was, however, surrounded by a high wall, and no one dared to go into it because it belonged to an enchantress, who had great power and was dreaded by all the world.	It was, however, surrounded by a high wall, and no one dared to go into it because it belonged to an enchantress, who had great power and was dreaded by all the world.	false	730.95	731.07	0
480_126292_000022_000003	One day the woman was standing by this window and looking down into the garden, when she saw a bed which was planted with the most beautiful rampion (rapunzel), and it looked so fresh and green that she longed for it, she quite pined away, and began to look pale and miserable.	One day the woman was standing by this window and looking down into the garden, when she saw a bed which was planted with the most beautiful rampion (rapunzel), and it looked so fresh and green that she longed for it, she quite pined away, and began to look pale and miserable.	false	731.07	731.25	10
480_126292_000022_000004	Then her husband was alarmed, and asked: 'What ails you, dear wife?' 'Ah,' she replied, 'if I can't eat some of the rampion, which is in the garden behind our house, I shall die.' The man, who loved her, thought: 'Sooner than let your wife die, bring her some of the rampion yourself, let it cost what it will.' At twilight, he clambered down over the wall into the garden of the enchantress, hastily clutched a handful of rampion, and took it to his wife.	Then her husband was alarmed, and asked: 'What ails you, dear wife?' 'Ah,' she replied, 'if I can't eat some of the rampion, which is in the garden behind our house, I shall die.' The man, who loved her, thought: 'Sooner than let your wife die, bring her some of the rampion yourself, let it cost what it will.' At twilight, he clambered down over the wall into the garden of the enchantress, hastily clutched a handful of rampion, and took it to his wife.	false	731.25	731.85	-3
480_126292_000022_000005	She at once made herself a salad of it, and ate it greedily.	She at once made herself a salad of it, and ate it greedily.	false	731.85	731.91	-20
480_126292_000022_000006	It tasted so good to her--so very good, that the next day she longed for it three times as much as before.	It tasted so good to her-so very good, that the next day she longed for it three times as much as before.	false	731.91	732	-20
480_126292_000022_000007	If he was to have any rest, her husband must once more descend into the garden.	If he was to have any rest, her husband must once more descend into the garden.	false	732	732.09	-6
480_126292_000022_000008	In the gloom of evening therefore, he let himself down again; but when he had clambered down the wall he was terribly afraid, for he saw the enchantress standing before him.	In the gloom of evening therefore, he let himself down again; but when he had clambered down the wall he was terribly afraid, for he saw the enchantress standing before him.	false	732.09	732.24	-20
480_126292_000022_000009	'How can you dare,' said she with angry look, 'descend into my garden and steal my rampion like a thief?	'How can you dare,' said she with angry look, 'descend into my garden and steal my rampion like a thief?	false	732.24	732.33	-20
480_126292_000022_000010	You shall suffer for it!' 'Ah,' answered he, 'let mercy take the place of justice, I only made up my mind to do it out of necessity.	You shall suffer for it!' 'Ah,' answered he, 'let mercy take the place of justice, I only made up my mind to do it out of necessity.	false	732.33	732.45	-20
480_126292_000022_000011	My wife saw your rampion from the window, and felt such a longing for it that she would have died if she had not got some to eat.' Then the enchantress allowed her anger to be softened, and said to him: 'If the case be as you say, I will allow you to take away with you as much rampion as you will, only I make one condition, you must give me the child which your wife will bring into the world; it shall be well treated, and I will care for it like a mother.' The man in his terror consented to everything, and when the woman was brought to bed, the enchantress appeared at once, gave the child the name of Rapunzel, and took it away with her.	My wife saw your rampion from the window, and felt such a longing for it that she would have died if she had not got some to eat.' Then the enchantress allowed her anger to be softened, and said to him: 'If the case be as you say, I will allow you to take away with you as much rampion as you will, only I make one condition, you must give me the child which your wife will bring into the world; it shall be well treated, and I will care for it like a mother.' The man in his terror consented to everything, and when the woman was brought to bed, the enchantress appeared at once, gave the child the name of Rapunzel, and took it away with her.	false	732.45	733.05	-20
