1944_159228_000000_000000	II	two	false	15.66	31.65	19.361153
1944_159228_000019_000000	"I think Lucindy will have something to say, if she is like most women, and you will find the burdens much lighter, for sharing them between you.	"I think Lucindy will have something to say, if she is like most women, and you will find the burdens much lighter, for sharing them between you.	true	442.49	453.01	19
1944_159228_000019_000001	Don't worry about that, but get well, and go home as soon as you can."	Don't worry about that, but get well, and go home as soon as you can."	true	453.59	458.47	18
1944_159228_000020_000000	"All right, ma'am;" and Joe proved himself a good soldier by obeying orders, and falling asleep like a tired child, as the first step toward recovery.	"All right, ma'am;" and Joe proved himself a good soldier by obeying orders, and falling asleep like a tired child, as the first step toward recovery.	true	460.01	471.37	22
1944_159228_000021_000000	For two months I saw Joe daily, and learned to like him very much, he was so honest, genuine, and kind-hearted.	For two months I saw Joe daily, and learned to like him very much, he was so honest, genuine, and kind hearted.	true	472.49	481.9	18.763805
1944_159228_000021_000001	So did his mates, for he made friends with them all by sharing such small luxuries as came to him, for he was a favorite; and, better still, he made sunshine in that sad place by the brave patience with which he bore his own troubles, the cheerful consolation he always gave to others.	So did his mates, for he made friends with them all by sharing such small luxuries as came to him, for he was a favorite; and, better still, he made sunshine in that sad place by the brave patience with which he bore his own troubles, the cheerful consolation he always gave to others.	true	482.48	503.56	19.225397
1944_159228_000021_000002	A droll fellow was Joe at times, for under his sobriety lay much humor; and I soon discovered that a visit from him was more efficacious than other cordials in cases of despondency and discontent.	A droll fellow was Joe at times, for under his sobriety lay much humor; and I soon discovered that a visit from him was more efficacious than other cordials in cases of despondency and discontent.	true	504.38	521.05	19
1944_159228_000021_000003	Roars of laughter sometimes greeted me as I went into his ward, and Joe's jokes were passed round as eagerly as the water-pitcher.	Roars of laughter sometimes greeted me as I went into his ward, and Joe's jokes were passed round as eagerly as the water pitcher.	true	521.54	531.75	19
1944_159228_000022_000000	Yet he had much to try him, not only in the ills that vexed his flesh, but the cares that tried his spirit, and the future that lay before him, full of anxieties and responsibilities which seemed so heavy now when the strong right arm, that had cleared all obstacles away before, was gone.	Yet he had much to try him, not only in the ills that vexed his flesh, but the cares that tried his spirit, and the future that lay before him, full of anxieties and responsibilities which seemed so heavy now when the strong right arm, that had cleared all obstacles away before, was gone.	false	531.75	555.76	19.627918
1944_159228_000022_000001	The letters I wrote for him, and those he received, told the little story very plainly; for he read them to me, and found much comfort in talking over his affairs, as most men do when illness makes them dependent on a woman.	The letters I wrote for him, and those he received, told the little story very plainly; for he read them to me, and found much comfort in talking over his affairs, as most men do when illness makes them dependent on a woman.	true	556.49	573.4	19.938046
1944_159228_000022_000002	Jim was evidently sick and selfish. Lucindy, to judge from the photograph cherished so tenderly under Joe's pillow, was a pretty, weak sort of a girl, with little character or courage to help poor Joe with his burdens.	Jim was evidently sick and selfish. Lucindy, to judge from the photograph cherished so tenderly under Joe's pillow, was a pretty, weak sort of a girl, with little character or courage to help poor Joe with his burdens.	false	574.76	591.34	20.818615
1944_159228_000022_000003	The old mother was very like her son, and stood by him "like a hero," as he said, but was evidently failing, and begged him to come home as soon as he was able, that she might see him comfortably settled before she must leave him. Her courage sustained his, and the longing to see her hastened his departure as soon as it was safe to let him go; for Lucindy's letters were always of a dismal sort, and made him anxious to put his shoulder to the wheel.	The old mother was very like her son, and stood by him "like a hero," as he said, but was evidently failing, and begged him to come home as soon as he was able, that she might see him comfortably settled before she must leave him. Her courage sustained his, and the longing to see her hastened his departure as soon as it was safe to let him go; for Lucindy's letters were always of a dismal sort, and made him anxious to put his shoulder to the wheel.	true	593.06	626.62	19.126265
1944_159228_000023_000000	"She always set consider'ble by me, mother did, bein' the oldest; and I wouldn't miss makin' her last days happy, not if it cost me all the arms and legs I've got," said Joe, as he awkwardly struggled into the big boots an hour after leave to go home was given him.	"She always set consider'ble by me, mother did, bein' the oldest; and I wouldn't miss makin' her last days happy, not if it cost me all the arms and legs I've got," said Joe, as he awkwardly struggled into the big boots an hour after leave to go home was given him.	true	627.68	649.69	18
1944_159228_000024_000000	It was pleasant to see his comrades gather round him with such hearty adieus that his one hand must have tingled; to hear the good wishes and the thanks called after him by pale creatures in their beds; and to find tears in many eyes beside my own when he was gone, and nothing was left of him but the empty cot, the old gray wrapper, and the name upon the wall.	It was pleasant to see his comrades gather round him with such hearty adieus that his one hand must have tingled; to hear the good wishes and the thanks called after him by pale creatures in their beds; and to find tears in many eyes beside my own when he was gone, and nothing was left of him but the empty cot, the old gray wrapper, and the name upon the wall.	false	650.6	678.73	19.813911
1944_159228_000025_000000	I kept that card among my other relics, and hoped to meet Joe again somewhere in the world.	I kept that card among my other relics, and hoped to meet Joe again somewhere in the world.	true	679.91	686.92	20
1944_159228_000025_000001	He sent me one or two letters, then I went home; the war ended soon after, time passed, and the little story of my Maine lumberman was laid away with many other experiences which made that part of my life a very memorable one.	He sent me one or two letters, then I went home; the war ended soon after, time passed, and the little story of my Maine lumberman was laid away with many other experiences which made that part of my life a very memorable one.	false	687.53	710.7	19.336515
