6373_65772_000000_000000	"I have this morning heard of the death of my darling Eddie....	"I have this morning heard of the death of my darling Eddie....	false	0	2.61	20.912193
6373_65772_000009_000002	That functionary, however, had not failed, during his circumgyratory movements, to bestow a thought upon the important subject of securing the packet in question, which was seen, upon inspection, to have fallen into the most proper hands, being actually addressed to himself and Professor Rub-a-dub, in their official capacities of President and Vice-President of the Rotterdam College of Astronomy.	That functionary, however, had not failed, during his circumgyratory movements, to bestow a thought upon the important subject of securing the packet in question, which was seen, upon inspection, to have fallen into the most proper hands, being actually addressed to himself and Professor Rub a dub, in their official capacities of President and Vice President of the Rotterdam College of Astronomy.	true	665.06	689.86	18
6373_65772_000009_000003	It was accordingly opened by those dignitaries upon the spot, and found to contain the following extraordinary, and indeed very serious, communications.	It was accordingly opened by those dignitaries upon the spot, and found to contain the following extraordinary, and indeed very serious, communications.	true	690.5	700.93	20
6373_65772_000010_000000	To their Excellencies Von Underduk and Rub-a-dub, President and Vice-President of the States' College of Astronomers, in the city of Rotterdam.	To their Excellencies Von Underduk and Rub a dub, President and Vice President of the States' College of Astronomers, in the city of Rotterdam.	true	701.36	711.16	20.317163
6373_65772_000011_000000	"Your Excellencies may perhaps be able to remember an humble artizan, by name Hans Pfaall, and by occupation a mender of bellows, who, with three others, disappeared from Rotterdam, about five years ago, in a manner which must have been considered by all parties at once sudden, and extremely unaccountable.	"Your Excellencies may perhaps be able to remember an humble artizan, by name Hans Pfaall, and by occupation a mender of bellows, who, with three others, disappeared from Rotterdam, about five years ago, in a manner which must have been considered by all parties at once sudden, and extremely unaccountable.	false	711.62	731.08	20
6373_65772_000011_000001	If, however, it so please your Excellencies, I, the writer of this communication, am the identical Hans Pfaall himself. It is well known to most of my fellow citizens, that for the period of forty years I continued to occupy the little square brick building, at the head of the alley called Sauerkraut, in which I resided at the time of my disappearance.	If, however, it so please your Excellencies, I, the writer of this communication, am the identical Hans Pfaall himself. It is well known to most of my fellow citizens, that for the period of forty years I continued to occupy the little square brick building, at the head of the alley called Sauerkraut, in which I resided at the time of my disappearance.	false	731.66	753.67	20.959778
6373_65772_000011_000002	My ancestors have also resided therein time out of mind--they, as well as myself, steadily following the respectable and indeed lucrative profession of mending of bellows.	My ancestors have also resided therein time out of mind-they, as well as myself, steadily following the respectable and indeed lucrative profession of mending of bellows.	true	754.01	765.7	13
6373_65772_000011_000003	For, to speak the truth, until of late years, that the heads of all the people have been set agog with politics, no better business than my own could an honest citizen of Rotterdam either desire or deserve.	For, to speak the truth, until of late years, that the heads of all the people have been set agog with politics, no better business than my own could an honest citizen of Rotterdam either desire or deserve.	false	765.98	779.02	19
6373_65772_000011_000004	Credit was good, employment was never wanting, and on all hands there was no lack of either money or good-will.	Credit was good, employment was never wanting, and on all hands there was no lack of either money or good will.	true	779.18	787.27	21.000095
6373_65772_000011_000005	But, as I was saying, we soon began to feel the effects of liberty and long speeches, and radicalism, and all that sort of thing.	But, as I was saying, we soon began to feel the effects of liberty and long speeches, and radicalism, and all that sort of thing.	true	787.49	795.25	19
6373_65772_000011_000006	People who were formerly, the very best customers in the world, had now not a moment of time to think of us at all.	People who were formerly, the very best customers in the world, had now not a moment of time to think of us at all.	true	795.92	803.32	20.248875
6373_65772_000011_000007	They had, so they said, as much as they could do to read about the revolutions, and keep up with the march of intellect and the spirit of the age.	They had, so they said, as much as they could do to read about the revolutions, and keep up with the march of intellect and the spirit of the age.	true	803.63	813.16	22.50911
6373_65772_000011_000008	If a fire wanted fanning, it could readily be fanned with a newspaper, and as the government grew weaker, I have no doubt that leather and iron acquired durability in proportion, for, in a very short time, there was not a pair of bellows in all Rotterdam that ever stood in need of a stitch or required the assistance of a hammer.	If a fire wanted fanning, it could readily be fanned with a newspaper, and as the government grew weaker, I have no doubt that leather and iron acquired durability in proportion, for, in a very short time, there was not a pair of bellows in all Rotterdam that ever stood in need of a stitch or required the assistance of a hammer.	true	813.44	835.54	18
6373_65772_000011_000009	This was a state of things not to be endured.	This was a state of things not to be endured.	true	836.33	839.35	24
6373_65772_000011_000010	I soon grew as poor as a rat, and, having a wife and children to provide for, my burdens at length became intolerable, and I spent hour after hour in reflecting upon the most convenient method of putting an end to my life.	I soon grew as poor as a rat, and, having a wife and children to provide for, my burdens at length became intolerable, and I spent hour after hour in reflecting upon the most convenient method of putting an end to my life.	true	839.63	856.57	21
6373_65772_000011_000011	Duns, in the meantime, left me little leisure for contemplation.	Duns, in the meantime, left me little leisure for contemplation.	true	856.94	860.89	15
6373_65772_000011_000012	My house was literally besieged from morning till night, so that I began to rave, and foam, and fret like a caged tiger against the bars of his enclosure.	My house was literally besieged from morning till night, so that I began to rave, and foam, and fret like a caged tiger against the bars of his enclosure.	true	861.23	872.5	19
6373_65772_000011_000013	There were three fellows in particular who worried me beyond endurance, keeping watch continually about my door, and threatening me with the law.	There were three fellows in particular who worried me beyond endurance, keeping watch continually about my door, and threatening me with the law.	true	872.81	881.89	19.743235
6373_65772_000011_000014	Upon these three I internally vowed the bitterest revenge, if ever I should be so happy as to get them within my clutches; and I believe nothing in the world but the pleasure of this anticipation prevented me from putting my plan of suicide into immediate execution, by blowing my brains out with a blunderbuss.	Upon these three I internally vowed the bitterest revenge, if ever I should be so happy as to get them within my clutches; and I believe nothing in the world but the pleasure of this anticipation prevented me from putting my plan of suicide into immediate execution, by blowing my brains out with a blunderbuss.	true	882.41	902.5	18
6373_65772_000011_000015	I thought it best, however, to dissemble my wrath, and to treat them with promises and fair words, until, by some good turn of fate, an opportunity of vengeance should be afforded me.	I thought it best, however, to dissemble my wrath, and to treat them with promises and fair words, until, by some good turn of fate, an opportunity of vengeance should be afforded me.	true	903.02	915.07	21.631533
6373_65772_000012_000000	"One day, having given my creditors the slip, and feeling more than usually dejected, I continued for a long time to wander about the most obscure streets without object whatever, until at length I chanced to stumble against the corner of a bookseller's stall.	"One day, having given my creditors the slip, and feeling more than usually dejected, I continued for a long time to wander about the most obscure streets without object whatever, until at length I chanced to stumble against the corner of a bookseller's stall.	false	915.47	932.95	18
6373_65772_000012_000001	Seeing a chair close at hand, for the use of customers, I threw myself doggedly into it, and, hardly knowing why, opened the pages of the first volume which came within my reach.	Seeing a chair close at hand, for the use of customers, I threw myself doggedly into it, and, hardly knowing why, opened the pages of the first volume which came within my reach.	true	933.44	944.71	19
6373_65772_000012_000002	It proved to be a small pamphlet treatise on Speculative Astronomy, written either by Professor Encke of Berlin or by a Frenchman of somewhat similar name.	It proved to be a small pamphlet treatise on Speculative Astronomy, written either by Professor Encke of Berlin or by a Frenchman of somewhat similar name.	true	945.23	955.93	23.086842
6373_65772_000012_000003	I had some little tincture of information on matters of this nature, and soon became more and more absorbed in the contents of the book, reading it actually through twice before I awoke to a recollection of what was passing around me.	I had some little tincture of information on matters of this nature, and soon became more and more absorbed in the contents of the book, reading it actually through twice before I awoke to a recollection of what was passing around me.	true	956.39	971.17	18
6373_65772_000012_000004	By this time it began to grow dark, and I directed my steps toward home.	By this time it began to grow dark, and I directed my steps toward home.	true	971.75	976.63	21.860964
6373_65772_000012_000005	But the treatise had made an indelible impression on my mind, and, as I sauntered along the dusky streets, I revolved carefully over in my memory the wild and sometimes unintelligible reasonings of the writer. There are some particular passages which affected my imagination in a powerful and extraordinary manner.	But the treatise had made an indelible impression on my mind, and, as I sauntered along the dusky streets, I revolved carefully over in my memory the wild and sometimes unintelligible reasonings of the writer. There are some particular passages which affected my imagination in a powerful and extraordinary manner.	true	976.85	998.83	18
6373_65772_000012_000006	The longer I meditated upon these the more intense grew the interest which had been excited within me. The limited nature of my education in general, and more especially my ignorance on subjects connected with natural philosophy, so far from rendering me diffident of my own ability to comprehend what I had read, or inducing me to mistrust the many vague notions which had arisen in consequence, merely served as a farther stimulus to imagination; and I was vain enough, or perhaps reasonable enough, to doubt whether those crude ideas which, arising in ill-regulated minds, have all the appearance, may not often in effect possess all the force, the reality, and other inherent properties, of instinct or intuition; whether, to proceed a step farther, profundity itself might not, in matters of a purely speculative nature, be detected as a legitimate source of falsity and error.	The longer I meditated upon these the more intense grew the interest which had been excited within me. The limited nature of my education in general, and more especially my ignorance on subjects connected with natural philosophy, so far from rendering me diffident of my own ability to comprehend what I had read, or inducing me to mistrust the many vague notions which had arisen in consequence, merely served as a farther stimulus to imagination; and I was vain enough, or perhaps reasonable enough, to doubt whether those crude ideas which, arising in ill regulated minds, have all the appearance, may not often in effect possess all the force, the reality, and other inherent properties, of instinct or intuition; whether, to proceed a step farther, profundity itself might not, in matters of a purely speculative nature, be detected as a legitimate source of falsity and error.	true	999.32	1059.64	21
6373_65772_000012_000007	In other words, I believed, and still do believe, that truth, is frequently of its own essence, superficial, and that, in many cases, the depth lies more in the abysses where we seek her, than in the actual situations wherein she may be found.	In other words, I believed, and still do believe, that truth, is frequently of its own essence, superficial, and that, in many cases, the depth lies more in the abysses where we seek her, than in the actual situations wherein she may be found.	true	1060.19	1076.62	20.90779
6373_65772_000012_000008	Nature herself seemed to afford me corroboration of these ideas.	Nature herself seemed to afford me corroboration of these ideas.	true	1077.02	1081.33	20
6373_65772_000012_000009	In the contemplation of the heavenly bodies it struck me forcibly that I could not distinguish a star with nearly as much precision, when I gazed on it with earnest, direct and undeviating attention, as when I suffered my eye only to glance in its vicinity alone.	In the contemplation of the heavenly bodies it struck me forcibly that I could not distinguish a star with nearly as much precision, when I gazed on it with earnest, direct and undeviating attention, as when I suffered my eye only to glance in its vicinity alone.	true	1081.76	1100.38	22
6373_65772_000012_000010	I was not, of course, at that time aware that this apparent paradox was occasioned by the center of the visual area being less susceptible of feeble impressions of light than the exterior portions of the retina.	I was not, of course, at that time aware that this apparent paradox was occasioned by the center of the visual area being less susceptible of feeble impressions of light than the exterior portions of the retina.	true	1100.84	1115.05	23.481316
6373_65772_000012_000011	This knowledge, and some of another kind, came afterwards in the course of an eventful five years, during which I have dropped the prejudices of my former humble situation in life, and forgotten the bellows-mender in far different occupations.	This knowledge, and some of another kind, came afterwards in the course of an eventful five years, during which I have dropped the prejudices of my former humble situation in life, and forgotten the bellows mender in far different occupations.	true	1115.45	1131.97	21.514965
6373_65772_000012_000012	But at the epoch of which I speak, the analogy which a casual observation of a star offered to the conclusions I had already drawn, struck me with the force of positive conformation, and I then finally made up my mind to the course which I afterwards pursued.	But at the epoch of which I speak, the analogy which a casual observation of a star offered to the conclusions I had already drawn, struck me with the force of positive conformation, and I then finally made up my mind to the course which I afterwards pursued.	true	1132.31	1149.55	20
6373_65772_000013_000000	"It was late when I reached home, and I went immediately to bed.	"It was late when I reached home, and I went immediately to bed.	true	1150.07	1153.99	21.874527
6373_65772_000013_000001	My mind, however, was too much occupied to sleep, and I lay the whole night buried in meditation.	My mind, however, was too much occupied to sleep, and I lay the whole night buried in meditation.	true	1154.36	1161.34	19
6373_65772_000013_000002	Arising early in the morning, and contriving again to escape the vigilance of my creditors, I repaired eagerly to the bookseller's stall, and laid out what little ready money I possessed, in the purchase of some volumes of Mechanics and Practical Astronomy. Having arrived at home safely with these, I devoted every spare moment to their perusal, and soon made such proficiency in studies of this nature as I thought sufficient for the execution of my plan.	Arising early in the morning, and contriving again to escape the vigilance of my creditors, I repaired eagerly to the bookseller's stall, and laid out what little ready money I possessed, in the purchase of some volumes of Mechanics and Practical Astronomy. Having arrived at home safely with these, I devoted every spare moment to their perusal, and soon made such proficiency in studies of this nature as I thought sufficient for the execution of my plan.	false	1162.01	1190.5	18
