101_126860_000003_000000	MEDICINE AND MAGIC	MEDICINE AND MAGIC
101_126860_000027_000000	Then the Prince, taking a bunch of copper keys from his pocket, undid the great double locks.	Then the Prince, taking a bunch of copper keys from his pocket, undid the great double locks.
101_126860_000027_000001	And the Doctor with all his animals ran as fast as they could down to the seashore; while Bumpo leaned against the wall of the empty dungeon, smiling after them happily, his big face shining like polished ivory in the light of the moon.	And the Doctor with all his animals ran as fast as they could down to the seashore; while Bumpo leaned against the wall of the empty dungeon, smiling after them happily, his big face shining like polished ivory in the light of the moon.
101_126860_000028_000000	When they came to the beach they saw Polynesia and Chee-Chee waiting for them on the rocks near the ship.	When they came to the beach they saw Polynesia and Chee Chee waiting for them on the rocks near the ship.
101_126860_000029_000000	"I feel sorry about Bumpo," said the Doctor.	"I feel sorry about Bumpo," said the Doctor.
101_126860_000030_000004	But I had to do something, didn't I?--I couldn't possibly scrub the King's kitchen for the rest of my life.	But I had to do something, didn't I?--I couldn't possibly scrub the King's kitchen for the rest of my life.
101_126860_000030_000005	It was such a dirty kitchen!--I could see it from the prison-window.--Well, well!--Poor Bumpo!"	It was such a dirty kitchen!--I could see it from the prison window.--Well, well!--Poor Bumpo!"
101_126860_000031_000000	"Oh, of course he will know we were just joking with him," said the parrot.	"Oh, of course he will know we were just joking with him," said the parrot.
101_126860_000032_000002	Serve him right, if he does turn black again!	Serve him right, if he does turn black again!
101_126860_000032_000003	I hope it's a dark black."	I hope it's a dark black."
101_126860_000033_000000	"But HE didn't have anything to do with it," said the Doctor.	"But HE didn't have anything to do with it," said the Doctor.
101_126860_000033_000002	And who knows?--he may stay white after all."	And who knows?--he may stay white after all."
101_126860_000035_000000	"Still, he had a good heart," said the Doctor--"romantic, of course--but a good heart.	"Still, he had a good heart," said the Doctor-"romantic, of course-but a good heart.
101_126860_000035_000001	After all, 'handsome is as handsome does.'"	After all, 'handsome is as handsome does.'"
101_126860_000036_000000	"I don't believe the poor booby found The Sleeping Beauty at all," said Jip, the dog.	"I don't believe the poor booby found The Sleeping Beauty at all," said Jip, the dog.
101_126860_000036_000003	I wonder who he'll go and kiss this time.	I wonder who he'll go and kiss this time.
101_126860_000036_000004	Silly business!"	Silly business!"
101_126860_000038_000000	And when the Doctor stood upon the boat, he looked over the side across the water.	And when the Doctor stood upon the boat, he looked over the side across the water.
101_126860_000040_000000	But even while he was wondering, they heard a strange whispering noise, high in the air, coming through the night.	But even while he was wondering, they heard a strange whispering noise, high in the air, coming through the night.
101_126860_000040_000001	And the animals all stopped saying Good-by and listened.	And the animals all stopped saying Good by and listened.
101_126860_000041_000001	It seemed to be coming nearer to them--a sound like the Autumn wind blowing through the leaves of a poplar-tree, or a great, great rain beating down upon a roof.	It seemed to be coming nearer to them-a sound like the Autumn wind blowing through the leaves of a poplar tree, or a great, great rain beating down upon a roof.
101_126860_000042_000000	And Jip, with his nose pointing and his tail quite straight, said,	And Jip, with his nose pointing and his tail quite straight, said,
101_126860_000043_000000	"Birds!--millions of them--flying fast--that's it!"	"Birds!--millions of them-flying fast-that's it!"
101_126860_000044_000000	And then they all looked up.	And then they all looked up.
101_126860_000044_000003	There were so many that for a little they covered the whole moon so it could not shine, and the sea grew dark and black--like when a storm-cloud passes over the sun.	There were so many that for a little they covered the whole moon so it could not shine, and the sea grew dark and black-like when a storm cloud passes over the sun
101_126860_000045_000000	And presently all these birds came down close, skimming over the water and the land; and the night-sky was left clear above, and the moon shone as before.	And presently all these birds came down close, skimming over the water and the land; and the night sky was left clear above, and the moon shone as before.
101_126860_000045_000002	When they began to settle on the sands, along the ropes of the ship--anywhere and everywhere except the trees--the Doctor could see that they had blue wings and white breasts and very short, feathered legs.	When they began to settle on the sands, along the ropes of the ship-anywhere and everywhere except the trees-the Doctor could see that they had blue wings and white breasts and very short, feathered legs.
101_126860_000046_000000	And in the silent moonlight John Dolittle spoke:	And in the silent moonlight john Dolittle spoke:
101_126860_000047_000001	It will be nearly Summer when we get home.	It will be nearly Summer when we get home.
101_126860_000047_000002	For these are the swallows going back. Swallows, I thank you for waiting for us.	For these are the swallows going back. Swallows, I thank you for waiting for us.
101_126860_000047_000005	Pull up the anchor and set the sail!"	Pull up the anchor and set the sail!"
101_126860_000048_000000	When the ship moved out upon the water, those who stayed behind, Chee-Chee, Polynesia and the crocodile, grew terribly sad.	When the ship moved out upon the water, those who stayed behind, Chee Chee, Polynesia and the crocodile, grew terribly sad.
