8758_291168_000003_000000	CHAPTER XIV.	CHAPTER fourteen.
8758_291168_000009_000004	At other times, she would spring into the stream, perhaps up to the neck, and commence fishing on her own account, by feeling with her paws below all the banks, working as hard and as eagerly as any bare-legged school-boy.	At other times, she would spring into the stream, perhaps up to the neck, and commence fishing on her own account, by feeling with her paws below all the banks, working as hard and as eagerly as any bare legged school boy.
8758_291168_000011_000000	Gibbey was a fine, large, brindled Tom.	Gibbey was a fine, large, brindled Tom.
8758_291168_000011_000001	He was a noted fisherman and a daring and reckless poacher, so much so that the gamekeepers threatened to kill him, whenever they could catch him.	He was a noted fisherman and a daring and reckless poacher, so much so that the gamekeepers threatened to kill him, whenever they could catch him.
8758_291168_000011_000002	They did not mind, they said, his taking a good clean sea-trout occasionally; but the beast fished in season and out of season.	They did not mind, they said, his taking a good clean sea trout occasionally; but the beast fished in season and out of season.
8758_291168_000011_000003	In fact, Gibbey found the spawning time much more convenient than any other.	In fact, Gibbey found the spawning time much more convenient than any other.
8758_291168_000011_000004	When the salmon came up the shallow streams to spawn in thousands, all waggling under his very nose, and to be had for the mere lifting out, he couldn't stand that.	When the salmon came up the shallow streams to spawn in thousands, all waggling under his very nose, and to be had for the mere lifting out, he couldn't stand that.
8758_291168_000013_000001	It was not so much what he ate that the keepers grudged; but he was in the constant habit of carrying away large fish to hide for future use; and as he generally forgot where he had put them, he still went on hiding more.	It was not so much what he ate that the keepers grudged; but he was in the constant habit of carrying away large fish to hide for future use; and as he generally forgot where he had put them, he still went on hiding more.
8758_291168_000013_000002	Sometimes, in taking a walk through the wood, you would find yourself suddenly sprawling on all fours, having trampled on one of Gibbey's salmon.	Sometimes, in taking a walk through the wood, you would find yourself suddenly sprawling on all fours, having trampled on one of Gibbey's salmon.
8758_291168_000013_000006	Has the horse conceived?	Has the horse conceived?
8758_291168_000013_000007	Nay, the poor brute has eaten all his oats, but he could not stomach--one of Gibbey's salmon.	Nay, the poor brute has eaten all his oats, but he could not stomach-one of Gibbey's salmon.
8758_291168_000013_000008	Something has been making its presence felt in your bed-room for days.	Something has been making its presence felt in your bed room for days.
8758_291168_000013_000010	Even the immortal Condy fails to lay the dread thing.	Even the immortal Condy fails to lay the dread thing.
8758_291168_000013_000011	At last you peep below the bed, and with the tongs pull out--what?--only one of Gibbey's salmon.	At last you peep below the bed, and with the tongs pull out-what?--only one of Gibbey's salmon.
8758_291168_000014_000001	At last, however, poor Gilbert was trapped and slain.	At last, however, poor Gilbert was trapped and slain.
8758_291168_000015_000000	One day, when out shooting, I met a large white cat.	One day, when out shooting, I met a large white cat.
8758_291168_000015_000001	He was coming trotting along the foot-path, and wore about his neck what I took to be a very tasteful thing in cravats.	He was coming trotting along the foot path, and wore about his neck what I took to be a very tasteful thing in cravats.
8758_291168_000015_000004	I hate to be done.	I hate to be done.
8758_291168_000015_000005	Five minutes afterwards I was at the cottage door.	Five minutes afterwards I was at the cottage door.
8758_291168_000015_000006	A pleasant little woman answered my knock.	A pleasant little woman answered my knock.
8758_291168_000016_000000	"Might I trouble you for a glass of water?"	"Might I trouble you for a glass of water?"
8758_291168_000017_000000	"Certainly, sir; but would you not come in, and have a drink of nice sweet whey?"	"Certainly, sir; but would you not come in, and have a drink of nice sweet whey?"
8758_291168_000018_000000	I would.	I would.
8758_291168_000018_000001	Tom was singing on the hearth, but he had laid aside the wrap--it was nowhere to be seen.	Tom was singing on the hearth, but he had laid aside the wrap-it was nowhere to be seen.
8758_291168_000019_000000	"That's a fine cat you've got," said I, when I had finished my whey.	"That's a fine cat you've got," said I, when I had finished my whey.
8758_291168_000020_000000	"He is, sir; everybody admires our Tom."	"He is, sir; everybody admires our Tom."
8758_291168_000021_000000	"He has caught cold, I think?"	"He has caught cold, I think?"
8758_291168_000022_000000	"Dear me!	"Dear me!
8758_291168_000022_000001	no, sir."	no, sir."
8758_291168_000024_000000	"No, no, Tom was never better in his life."	"No, no, Tom was never better in his life."
8758_291168_000026_000000	"A cravat!" cried she.	"A cravat!" cried she.
8758_291168_000027_000001	It was pleasant, though I did not know what I was laughing at; only I had a slight inkling that somehow or other I had made a mighty fool of myself.	It was pleasant, though I did not know what I was laughing at; only I had a slight inkling that somehow or other I had made a mighty fool of myself.
8758_291168_000029_000000	An eel, was it!	An eel, was it!
8758_291168_000029_000001	The cravat was an eel!	The cravat was an eel!
8758_291168_000029_000002	And I was "an awful gowk!" Well, I always guessed I was; but then she said it so pleasantly, and as soon as she said it off she went again.	And I was "an awful gowk!" Well, I always guessed I was; but then she said it so pleasantly, and as soon as she said it off she went again.
8758_291168_000029_000003	I thought it was time I was going off too; so bidding her good morning, I did, and left her laughing--such a pleasant little woman!	I thought it was time I was going off too; so bidding her good morning, I did, and left her laughing-such a pleasant little woman!
8758_291168_000030_000001	I know an instance of a cat bred and reared at a flour mill: it was a universal custom with this pussy to watch by the dam-side, where she might have been seen at any time either in winter or summer.	I know an instance of a cat bred and reared at a flour mill: it was a universal custom with this pussy to watch by the dam side, where she might have been seen at any time either in winter or summer.
8758_291168_000030_000003	She was also great in catching water-rats, which she seized and killed as eagerly and speedily as any English terrier would.	She was also great in catching water rats, which she seized and killed as eagerly and speedily as any English terrier would.
8758_291168_000031_000000	But not only can cats swim and fish, but they have been known to teach their offspring to do so; and a knowledge of the gentle art has been transmitted in some cat families down to the third and fourth generation.	But not only can cats swim and fish, but they have been known to teach their offspring to do so; and a knowledge of the gentle art has been transmitted in some cat families down to the third and fourth generation.
8758_291168_000033_000000	This cat not only fished herself, but taught her children to do so too. The way in which she managed this was very amusing, and shows how extremely sagacious feline nature is.	This cat not only fished herself, but taught her children to do so too. The way in which she managed this was very amusing, and shows how extremely sagacious feline nature is.
8758_291168_000033_000001	When the kittens came of sufficient age, she would entice them down, some fine sunny day to a part of the stream, where the water was very clear and shallow.	When the kittens came of sufficient age, she would entice them down, some fine sunny day to a part of the stream, where the water was very clear and shallow.
8758_291168_000033_000002	Here the smaller trout-fry and minnows would be gambolling; and, making a spring, pussy would seize one of these and bring it out alive.	Here the smaller trout fry and minnows would be gambolling; and, making a spring, pussy would seize one of these and bring it out alive.
8758_291168_000033_000003	After letting it jump about for some little time, to amuse the kittens and attract their undivided attention, she would kill and return it to the stream, jumping after it and playing with it in the water to entice a kitten in.	After letting it jump about for some little time, to amuse the kittens and attract their undivided attention, she would kill and return it to the stream, jumping after it and playing with it in the water to entice a kitten in.
8758_291168_000033_000004	Thus, in course of time, the kittens could all swim and fish, and rivalled even their mother in quickness and daring.	Thus, in course of time, the kittens could all swim and fish, and rivalled even their mother in quickness and daring.
8758_291168_000034_000001	I have a fine tom-kitten which I intend training to catch fish.	I have a fine tom kitten which I intend training to catch fish.
