17_362_000000_000000	Chapter 16	Chapter sixteen	true	14.25	15.39	23.268732
17_362_000005_000004	But I did not believe my errors to be irretrievable, and after much consideration I resolved to return to the cottage, seek the old man, and by my representations win him to my party.	But I did not believe my errors to be irretrievable, and after much consideration I resolved to return to the cottage, seek the old man, and by my representations win him to my party.	true	205.82	216.46	15
17_362_000006_000000	"These thoughts calmed me, and in the afternoon I sank into a profound sleep; but the fever of my blood did not allow me to be visited by peaceful dreams.	"These thoughts calmed me, and in the afternoon I sank into a profound sleep; but the fever of my blood did not allow me to be visited by peaceful dreams.	true	217.1	228.1	19.382465
17_362_000006_000001	The horrible scene of the preceding day was forever acting before my eyes; the females were flying and the enraged Felix tearing me from his father's feet.	The horrible scene of the preceding day was forever acting before my eyes; the females were flying and the enraged Felix tearing me from his father's feet.	true	228.53	240.55	16.526852
17_362_000006_000002	I awoke exhausted, and finding that it was already night, I crept forth from my hiding-place, and went in search of food.	I awoke exhausted, and finding that it was already night, I crept forth from my hiding place, and went in search of food.	true	241.4	250.33	19.42453
17_362_000007_000000	"When my hunger was appeased, I directed my steps towards the well-known path that conducted to the cottage.	"When my hunger was appeased, I directed my steps towards the well-known path that conducted to the cottage.	true	251.45	257.8	15
17_362_000007_000001	All there was at peace. I crept into my hovel and remained in silent expectation of the accustomed hour when the family arose.	All there was at peace. I crept into my hovel and remained in silent expectation of the accustomed hour when the family arose.	true	258.68	267.25	17.822674
17_362_000007_000002	That hour passed, the sun mounted high in the heavens, but the cottagers did not appear.	That hour passed, the sun mounted high in the heavens, but the cottagers did not appear.	true	268.4	275.47	20.34326
17_362_000007_000003	I trembled violently, apprehending some dreadful misfortune.	I trembled violently, apprehending some dreadful misfortune.	true	276.47	280.9	18
17_362_000007_000004	The inside of the cottage was dark, and I heard no motion; I cannot describe the agony of this suspense.	The inside of the cottage was dark, and I heard no motion; I cannot describe the agony of this suspense.	true	281.96	289.12	20.051464
17_362_000008_000000	"Presently two countrymen passed by, but pausing near the cottage, they entered into conversation, using violent gesticulations; but I did not understand what they said, as they spoke the language of the country, which differed from that of my protectors.	"Presently two countrymen passed by, but pausing near the cottage, they entered into conversation, using violent gesticulations; but I did not understand what they said, as they spoke the language of the country, which differed from that of my protectors.	true	290.48	305.23	18.651304
17_362_000008_000001	Soon after, however, Felix approached with another man; I was surprised, as I knew that he had not quitted the cottage that morning, and waited anxiously to discover from his discourse the meaning of these unusual appearances.	Soon after, however, Felix approached with another man; I was surprised, as I knew that he had not quitted the cottage that morning, and waited anxiously to discover from his discourse the meaning of these unusual appearances.	true	306.53	319.75	19.77472
17_362_000009_000000	"'Do you consider,' said his companion to him, 'that you will be obliged to pay three months' rent and to lose the produce of your garden?	"'Do you consider,' said his companion to him, 'that you will be obliged to pay three months' rent and to lose the produce of your garden?	true	321.11	328.18	20
17_362_000009_000001	I do not wish to take any unfair advantage, and I beg therefore that you will take some days to consider of your determination.'	I do not wish to take any unfair advantage, and I beg therefore that you will take some days to consider of your determination.'	true	328.64	334.51	16
17_362_000010_000000	"'It is utterly useless,' replied Felix; 'we can never again inhabit your cottage.	"'It is utterly useless,' replied Felix; 'we can never again inhabit your cottage.	true	335.51	340.78	17.638645
17_362_000010_000001	The life of my father is in the greatest danger, owing to the dreadful circumstance that I have related.	The life of my father is in the greatest danger, owing to the dreadful circumstance that I have related.	true	341.15	346.42	16
17_362_000010_000002	My wife and my sister will never recover from their horror.	My wife and my sister will never recover from their horror.	true	346.91	350.08	14
17_362_000010_000003	I entreat you not to reason with me any more.	I entreat you not to reason with me any more.	true	350.63	353.92	14
17_362_000010_000004	Take possession of your tenement and let me fly from this place.'	Take possession of your tenement and let me fly from this place.'	true	354.14	357.88	15
17_362_000011_000000	"Felix trembled violently as he said this.	"Felix trembled violently as he said this.	true	358.88	361.21	19
17_362_000011_000001	He and his companion entered the cottage, in which they remained for a few minutes, and then departed.	He and his companion entered the cottage, in which they remained for a few minutes, and then departed.	true	361.76	368.26	19.324944
17_362_000011_000002	I never saw any of the family of De Lacey more.	I never saw any of the family of De Lacey more.	true	368.36	371.32	13
17_362_000012_000000	"I continued for the remainder of the day in my hovel in a state of utter and stupid despair.	"I continued for the remainder of the day in my hovel in a state of utter and stupid despair.	true	374.18	380.14	20
17_362_000012_000001	My protectors had departed and had broken the only link that held me to the world.	My protectors had departed and had broken the only link that held me to the world.	false	381.11	385.51	14
17_362_000012_000002	For the first time the feelings of revenge and hatred filled my bosom, and I did not strive to control them, but allowing myself to be borne away by the stream, I bent my mind towards injury and death.	For the first time the feelings of revenge and hatred filled my bosom, and I did not strive to control them, but allowing myself to be borne away by the stream, I bent my mind towards injury and death.	true	386.33	399.07	18
17_362_000012_000003	When I thought of my friends, of the mild voice of De Lacey, the gentle eyes of Agatha, and the exquisite beauty of the Arabian, these thoughts vanished and a gush of tears somewhat soothed me.	When I thought of my friends, of the mild voice of De Lacey, the gentle eyes of Agatha, and the exquisite beauty of the Arabian, these thoughts vanished and a gush of tears somewhat soothed me.	true	400.22	416.41	18.852373
17_362_000012_000004	But again when I reflected that they had spurned and deserted me, anger returned, a rage of anger, and unable to injure anything human, I turned my fury towards inanimate objects.	But again when I reflected that they had spurned and deserted me, anger returned, a rage of anger, and unable to injure anything human, I turned my fury towards inanimate objects.	true	418.01	434.68	18.772345
17_362_000012_000005	As night advanced I placed a variety of combustibles around the cottage, and after having destroyed every vestige of cultivation in the garden, I waited with forced impatience until the moon had sunk to commence my operations.	As night advanced I placed a variety of combustibles around the cottage, and after having destroyed every vestige of cultivation in the garden, I waited with forced impatience until the moon had sunk to commence my operations.	true	436.19	450.79	19.639254
17_362_000013_000000	"As the night advanced, a fierce wind arose from the woods and quickly dispersed the clouds that had loitered in the heavens; the blast tore along like a mighty avalanche and produced a kind of insanity in my spirits that burst all bounds of reason and reflection.	"As the night advanced, a fierce wind arose from the woods and quickly dispersed the clouds that had loitered in the heavens; the blast tore along like a mighty avalanche and produced a kind of insanity in my spirits that burst all bounds of reason and reflection.	true	452.36	470.26	19.948488
17_362_000013_000001	I lighted the dry branch of a tree and danced with fury around the devoted cottage, my eyes still fixed on the western horizon, the edge of which the moon nearly touched.	I lighted the dry branch of a tree and danced with fury around the devoted cottage, my eyes still fixed on the western horizon, the edge of which the moon nearly touched.	false	471.53	480.6	19.07632
17_362_000013_000002	A part of its orb was at length hid, and I waved my brand; it sank, and with a loud scream I fired the straw, and heath, and bushes, which I had collected.	A part of its orb was at length hid, and I waved my brand; it sank, and with a loud scream I fired the straw, and heath, and bushes, which I had collected.	false	480.6	490.33	20.333954
17_362_000013_000003	The wind fanned the fire, and the cottage was quickly enveloped by the flames, which clung to it and licked it with their forked and destroying tongues.	The wind fanned the fire, and the cottage was quickly enveloped by the flames, which clung to it and licked it with their forked and destroying tongues.	true	490.76	502.66	19.757198
17_362_000014_000000	"As soon as I was convinced that no assistance could save any part of the habitation, I quitted the scene and sought for refuge in the woods.	"As soon as I was convinced that no assistance could save any part of the habitation, I quitted the scene and sought for refuge in the woods.	true	504.35	512.32	19.85478
17_362_000015_000000	"And now, with the world before me, whither should I bend my steps?	"And now, with the world before me, whither should I bend my steps?	true	513.23	519.19	16.652834
17_362_000015_000001	I resolved to fly far from the scene of my misfortunes; but to me, hated and despised, every country must be equally horrible.	I resolved to fly far from the scene of my misfortunes; but to me, hated and despised, every country must be equally horrible.	true	519.83	531.58	19.034222
17_362_000015_000002	At length the thought of you crossed my mind.	At length the thought of you crossed my mind.	true	532.19	536.68	19.311289
17_362_000015_000003	I learned from your papers that you were my father, my creator; and to whom could I apply with more fitness than to him who had given me life?	I learned from your papers that you were my father, my creator; and to whom could I apply with more fitness than to him who had given me life?	true	537.56	547.66	18.642565
17_362_000015_000004	Among the lessons that Felix had bestowed upon Safie, geography had not been omitted; I had learned from these the relative situations of the different countries of the earth. You had mentioned Geneva as the name of your native town, and towards this place I resolved to proceed.	Among the lessons that Felix had bestowed upon Safie, geography had not been omitted; I had learned from these the relative situations of the different countries of the earth. You had mentioned Geneva as the name of your native town, and towards this place I resolved to proceed.	true	548.87	568.42	19.545341
17_362_000016_000000	"But how was I to direct myself?	"But how was I to direct myself?	true	570.35	572.74	16.304012
17_362_000016_000001	I knew that I must travel in a southwesterly direction to reach my destination, but the sun was my only guide.	I knew that I must travel in a southwesterly direction to reach my destination, but the sun was my only guide.	true	572.96	578.65	17
17_362_000016_000002	I did not know the names of the towns that I was to pass through, nor could I ask information from a single human being; but I did not despair.	I did not know the names of the towns that I was to pass through, nor could I ask information from a single human being; but I did not despair.	true	579.2	588.88	18.528688
17_362_000016_000003	From you only could I hope for succour, although towards you I felt no sentiment but that of hatred.	From you only could I hope for succour, although towards you I felt no sentiment but that of hatred.	true	589.25	596.65	20.399776
17_362_000016_000004	Unfeeling, heartless creator!	Unfeeling, heartless creator!	true	597.47	600.25	14
17_362_000016_000005	You had endowed me with perceptions and passions and then cast me abroad an object for the scorn and horror of mankind. But on you only had I any claim for pity and redress, and from you I determined to seek that justice which I vainly attempted to gain from any other being that wore the human form.	You had endowed me with perceptions and passions and then cast me abroad an object for the scorn and horror of mankind. But on you only had I any claim for pity and redress, and from you I determined to seek that justice which I vainly attempted to gain from any other being that wore the human form.	true	601.13	623.41	18.096155
17_362_000017_000000	"My travels were long and the sufferings I endured intense.	"My travels were long and the sufferings I endured intense.	true	625.19	629.83	16.633244
17_362_000017_000001	It was late in autumn when I quitted the district where I had so long resided. I travelled only at night, fearful of encountering the visage of a human being.	It was late in autumn when I quitted the district where I had so long resided. I travelled only at night, fearful of encountering the visage of a human being.	false	630.83	640.96	19.501614
17_362_000017_000002	Nature decayed around me, and the sun became heatless; rain and snow poured around me; mighty rivers were frozen; the surface of the earth was hard and chill, and bare, and I found no shelter.	Nature decayed around me, and the sun became heatless; rain and snow poured around me; mighty rivers were frozen; the surface of the earth was hard and chill, and bare, and I found no shelter.	true	641.75	657.7	20.865454
17_362_000017_000003	Oh, earth!	Oh, earth!	true	658.88	660.22	21.619312
17_362_000017_000004	How often did I imprecate curses on the cause of my being!	How often did I imprecate curses on the cause of my being!	true	660.74	665.38	16
17_362_000017_000005	The mildness of my nature had fled, and all within me was turned to gall and bitterness.	The mildness of my nature had fled, and all within me was turned to gall and bitterness.	true	666.41	673.6	16.950808
17_362_000017_000006	The nearer I approached to your habitation, the more deeply did I feel the spirit of revenge enkindled in my heart.	The nearer I approached to your habitation, the more deeply did I feel the spirit of revenge enkindled in my heart.	false	674.33	682.6	18
17_362_000017_000007	Snow fell, and the waters were hardened, but I rested not.	Snow fell, and the waters were hardened, but I rested not.	true	683.36	689.11	18.354246
17_362_000017_000008	A few incidents now and then directed me, and I possessed a map of the country; but I often wandered wide from my path.	A few incidents now and then directed me, and I possessed a map of the country; but I often wandered wide from my path.	true	689.57	697.6	17.764997
17_362_000017_000009	The agony of my feelings allowed me no respite; no incident occurred from which my rage and misery could not extract its food; but a circumstance that happened when I arrived on the confines of Switzerland, when the sun had recovered its warmth and the earth again began to look green, confirmed in an especial manner the bitterness and horror of my feelings.	The agony of my feelings allowed me no respite; no incident occurred from which my rage and misery could not extract its food; but a circumstance that happened when I arrived on the confines of Switzerland, when the sun had recovered its warmth and the earth again began to look green, confirmed in an especial manner the bitterness and horror of my feelings.	false	698.27	721.75	18
17_362_000018_000000	"I generally rested during the day and travelled only when I was secured by night from the view of man.	"I generally rested during the day and travelled only when I was secured by night from the view of man.	true	723.08	728.89	14
17_362_000018_000001	One morning, however, finding that my path lay through a deep wood, I ventured to continue my journey after the sun had risen; the day, which was one of the first of spring, cheered even me by the loveliness of its sunshine and the balminess of the air.	One morning, however, finding that my path lay through a deep wood, I ventured to continue my journey after the sun had risen; the day, which was one of the first of spring, cheered even me by the loveliness of its sunshine and the balminess of the air.	true	729.74	745.27	17.615484
17_362_000018_000002	I felt emotions of gentleness and pleasure, that had long appeared dead, revive within me.	I felt emotions of gentleness and pleasure, that had long appeared dead, revive within me.	true	745.79	752.98	16.894037
17_362_000018_000003	Half surprised by the novelty of these sensations, I allowed myself to be borne away by them, and forgetting my solitude and deformity, dared to be happy.	Half surprised by the novelty of these sensations, I allowed myself to be borne away by them, and forgetting my solitude and deformity, dared to be happy.	true	754.22	765.34	17.562262
17_362_000018_000004	Soft tears again bedewed my cheeks, and I even raised my humid eyes with thankfulness towards the blessed sun, which bestowed such joy upon me.	Soft tears again bedewed my cheeks, and I even raised my humid eyes with thankfulness towards the blessed sun, which bestowed such joy upon me.	true	766.25	779.2	20.273956
17_362_000019_000000	"I continued to wind among the paths of the wood, until I came to its boundary, which was skirted by a deep and rapid river, into which many of the trees bent their branches, now budding with the fresh spring. Here I paused, not exactly knowing what path to pursue, when I heard the sound of voices, that induced me to conceal myself under the shade of a cypress.	"I continued to wind among the paths of the wood, until I came to its boundary, which was skirted by a deep and rapid river, into which many of the trees bent their branches, now budding with the fresh spring. Here I paused, not exactly knowing what path to pursue, when I heard the sound of voices, that induced me to conceal myself under the shade of a cypress.	true	780.98	806.2	19.36341
17_362_000019_000001	I was scarcely hid when a young girl came running towards the spot where I was concealed, laughing, as if she ran from someone in sport.	I was scarcely hid when a young girl came running towards the spot where I was concealed, laughing, as if she ran from someone in sport.	true	807.35	817.18	18.750904
17_362_000019_000002	She continued her course along the precipitous sides of the river, when suddenly her foot slipped, and she fell into the rapid stream.	She continued her course along the precipitous sides of the river, when suddenly her foot slipped, and she fell into the rapid stream.	true	817.79	824.95	18.08488
17_362_000019_000003	I rushed from my hiding-place and with extreme labour, from the force of the current, saved her and dragged her to shore.	I rushed from my hiding place and with extreme labour, from the force of the current, saved her and dragged her to shore.	true	825.05	830.92	17
17_362_000019_000004	She was senseless, and I endeavoured by every means in my power to restore animation, when I was suddenly interrupted by the approach of a rustic, who was probably the person from whom she had playfully fled.	She was senseless, and I endeavoured by every means in my power to restore animation, when I was suddenly interrupted by the approach of a rustic, who was probably the person from whom she had playfully fled.	false	831.5	837.03	18.675243
17_362_000019_000005	On seeing me, he darted towards me, and tearing the girl from my arms, hastened towards the deeper parts of the wood.	On seeing me, he darted towards me, and tearing the girl from my arms, hastened towards the deeper parts of the wood.	false	837.03	839.73	20.348831
17_362_000019_000006	I followed speedily, I hardly knew why; but when the man saw me draw near, he aimed a gun, which he carried, at my body and fired.	I followed speedily, I hardly knew why; but when the man saw me draw near, he aimed a gun, which he carried, at my body and fired.	false	839.73	848.74	17.69335
17_362_000019_000007	I sank to the ground, and my injurer, with increased swiftness, escaped into the wood.	I sank to the ground, and my injurer, with increased swiftness, escaped into the wood.	true	849.23	858.48	19.240175
17_362_000020_000000	"This was then the reward of my benevolence!	"This was then the reward of my benevolence!	true	858.48	861.97	20.64002
17_362_000020_000001	I had saved a human being from destruction, and as a recompense I now writhed under the miserable pain of a wound which shattered the flesh and bone.	I had saved a human being from destruction, and as a recompense I now writhed under the miserable pain of a wound which shattered the flesh and bone.	false	862.28	866.43	20.543482
17_362_000020_000002	The feelings of kindness and gentleness which I had entertained but a few moments before gave place to hellish rage and gnashing of teeth.	The feelings of kindness and gentleness which I had entertained but a few moments before gave place to hellish rage and gnashing of teeth.	false	866.43	875.8	17
17_362_000020_000003	Inflamed by pain, I vowed eternal hatred and vengeance to all mankind.	Inflamed by pain, I vowed eternal hatred and vengeance to all mankind.	true	876.47	883.12	13
17_362_000020_000004	But the agony of my wound overcame me; my pulses paused, and I fainted.	But the agony of my wound overcame me; my pulses paused, and I fainted.	true	884.27	890.47	20.289644
17_362_000021_000000	"For some weeks I led a miserable life in the woods, endeavouring to cure the wound which I had received.	"For some weeks I led a miserable life in the woods, endeavouring to cure the wound which I had received.	true	891.5	898.15	17.81999
17_362_000021_000001	The ball had entered my shoulder, and I knew not whether it had remained there or passed through; at any rate I had no means of extracting it.	The ball had entered my shoulder, and I knew not whether it had remained there or passed through; at any rate I had no means of extracting it.	true	898.73	907.69	17.736105
17_362_000021_000002	My sufferings were augmented also by the oppressive sense of the injustice and ingratitude of their infliction.	My sufferings were augmented also by the oppressive sense of the injustice and ingratitude of their infliction.	true	908.21	914.5	15
17_362_000021_000003	My daily vows rose for revenge--a deep and deadly revenge, such as would alone compensate for the outrages and anguish I had endured.	My daily vows rose for revenge-a deep and deadly revenge, such as would alone compensate for the outrages and anguish I had endured.	true	915.29	925.93	18
17_362_000022_000000	"After some weeks my wound healed, and I continued my journey.	"After some weeks my wound healed, and I continued my journey.	true	927.29	932.23	21.203695
17_362_000022_000001	The labours I endured were no longer to be alleviated by the bright sun or gentle breezes of spring; all joy was but a mockery which insulted my desolate state and made me feel more painfully that I was not made for the enjoyment of pleasure.	The labours I endured were no longer to be alleviated by the bright sun or gentle breezes of spring; all joy was but a mockery which insulted my desolate state and made me feel more painfully that I was not made for the enjoyment of pleasure.	true	932.84	949.24	16
17_362_000023_000000	"But my toils now drew near a close, and in two months from this time I reached the environs of Geneva.	"But my toils now drew near a close, and in two months from this time I reached the environs of Geneva.	true	950.27	957.7	15
17_362_000024_000000	"It was evening when I arrived, and I retired to a hiding-place among the fields that surround it to meditate in what manner I should apply to you.	"It was evening when I arrived, and I retired to a hiding place among the fields that surround it to meditate in what manner I should apply to you.	true	958.67	967.6	13
17_362_000024_000001	I was oppressed by fatigue and hunger and far too unhappy to enjoy the gentle breezes of evening or the prospect of the sun setting behind the stupendous mountains of Jura.	I was oppressed by fatigue and hunger and far too unhappy to enjoy the gentle breezes of evening or the prospect of the sun setting behind the stupendous mountains of Jura.	true	968.96	978.58	16
17_362_000025_000000	"At this time a slight sleep relieved me from the pain of reflection, which was disturbed by the approach of a beautiful child, who came running into the recess I had chosen, with all the sportiveness of infancy.	"At this time a slight sleep relieved me from the pain of reflection, which was disturbed by the approach of a beautiful child, who came running into the recess I had chosen, with all the sportiveness of infancy.	true	980	993.46	19.6559
17_362_000025_000001	Suddenly, as I gazed on him, an idea seized me that this little creature was unprejudiced and had lived too short a time to have imbibed a horror of deformity.	Suddenly, as I gazed on him, an idea seized me that this little creature was unprejudiced and had lived too short a time to have imbibed a horror of deformity.	true	994.22	1007.65	19.072508
17_362_000025_000002	If, therefore, I could seize him and educate him as my companion and friend, I should not be so desolate in this peopled earth.	If, therefore, I could seize him and educate him as my companion and friend, I should not be so desolate in this peopled earth.	true	1008.8	1017.94	19.011385
17_362_000026_000000	"Urged by this impulse, I seized on the boy as he passed and drew him towards me.	"Urged by this impulse, I seized on the boy as he passed and drew him towards me.	true	1018.73	1023.58	17
17_362_000026_000001	As soon as he beheld my form, he placed his hands before his eyes and uttered a shrill scream; I drew his hand forcibly from his face and said, 'Child, what is the meaning of this?	As soon as he beheld my form, he placed his hands before his eyes and uttered a shrill scream; I drew his hand forcibly from his face and said, 'Child, what is the meaning of this?	false	1024.1	1032.46	13
17_362_000026_000002	I do not intend to hurt you; listen to me.'	I do not intend to hurt you; listen to me.'	true	1032.71	1035.1	18.167376
17_362_000027_000000	"He struggled violently.	"He struggled violently.	true	1035.92	1037.34	17
17_362_000027_000001	'Let me go,' he cried; 'monster!	'Let me go,' he cried; 'monster!	false	1037.34	1040.11	17
17_362_000027_000002	Ugly wretch!	Ugly wretch!	true	1040.18	1041.63	14
17_362_000027_000003	You wish to eat me and tear me to pieces.	You wish to eat me and tear me to pieces.	true	1041.63	1043.76	15
17_362_000027_000004	You are an ogre. Let me go, or I will tell my papa.'	You are an ogre. Let me go, or I will tell my papa.'	true	1043.76	1046.95	13
17_362_000028_000000	"'Boy, you will never see your father again; you must come with me.'	"'Boy, you will never see your father again; you must come with me.'	true	1047.83	1051.36	15
17_362_000029_000000	"'Hideous monster!	"'Hideous monster!	true	1051.46	1052.77	19.002916
17_362_000029_000001	Let me go.	Let me go.	true	1052.93	1054.06	17.832771
17_362_000029_000002	My papa is a syndic--he is M. Frankenstein--he will punish you.	My papa is a syndic-he is m Frankenstein-he will punish you.	false	1054.28	1058.67	18
17_362_000029_000003	You dare not keep me.'	You dare not keep me.'	true	1058.67	1060.09	20.025772
17_362_000030_000000	"'Frankenstein! you belong then to my enemy--to him towards whom I have sworn eternal revenge; you shall be my first victim.'	"'Frankenstein! you belong then to my enemy-to him towards whom I have sworn eternal revenge; you shall be my first victim.'	true	1060.79	1071.16	19.98895
17_362_000031_000000	"The child still struggled and loaded me with epithets which carried despair to my heart; I grasped his throat to silence him, and in a moment he lay dead at my feet.	"The child still struggled and loaded me with epithets which carried despair to my heart; I grasped his throat to silence him, and in a moment he lay dead at my feet.	false	1071.98	1085.47	18.914066
17_362_000032_000000	"I gazed on my victim, and my heart swelled with exultation and hellish triumph; clapping my hands, I exclaimed, 'I too can create desolation; my enemy is not invulnerable; this death will carry despair to him, and a thousand other miseries shall torment and destroy him.'	"I gazed on my victim, and my heart swelled with exultation and hellish triumph; clapping my hands, I exclaimed, 'I too can create desolation; my enemy is not invulnerable; this death will carry despair to him, and a thousand other miseries shall torment and destroy him.'	false	1085.48	1106.62	18.870731
17_362_000033_000000	"As I fixed my eyes on the child, I saw something glittering on his breast.	"As I fixed my eyes on the child, I saw something glittering on his breast.	true	1108.55	1113.67	16.801666
17_362_000033_000001	I took it; it was a portrait of a most lovely woman.	I took it; it was a portrait of a most lovely woman.	true	1114.1	1118.35	15.392449
17_362_000033_000002	In spite of my malignity, it softened and attracted me.	In spite of my malignity, it softened and attracted me.	true	1119.29	1124.47	17.510391
17_362_000033_000003	For a few moments I gazed with delight on her dark eyes, fringed by deep lashes, and her lovely lips; but presently my rage returned; I remembered that I was forever deprived of the delights that such beautiful creatures could bestow and that she whose resemblance I contemplated would, in regarding me, have changed that air of divine benignity to one expressive of disgust and affright.	For a few moments I gazed with delight on her dark eyes, fringed by deep lashes, and her lovely lips; but presently my rage returned; I remembered that I was forever deprived of the delights that such beautiful creatures could bestow and that she whose resemblance I contemplated would, in regarding me, have changed that air of divine benignity to one expressive of disgust and affright.	false	1125.05	1152.04	18.227964
17_362_000034_000000	"Can you wonder that such thoughts transported me with rage?	"Can you wonder that such thoughts transported me with rage?	true	1153.85	1157.44	16.794651
17_362_000034_000001	I only wonder that at that moment, instead of venting my sensations in exclamations and agony, I did not rush among mankind and perish in the attempt to destroy them.	I only wonder that at that moment, instead of venting my sensations in exclamations and agony, I did not rush among mankind and perish in the attempt to destroy them.	true	1158.23	1167.64	15
17_362_000035_000000	"While I was overcome by these feelings, I left the spot where I had committed the murder, and seeking a more secluded hiding-place, I entered a barn which had appeared to me to be empty.	"While I was overcome by these feelings, I left the spot where I had committed the murder, and seeking a more secluded hiding place, I entered a barn which had appeared to me to be empty.	false	1167.86	1178.8	18.50197
17_362_000035_000001	A woman was sleeping on some straw; she was young, not indeed so beautiful as her whose portrait I held, but of an agreeable aspect and blooming in the loveliness of youth and health.	A woman was sleeping on some straw; she was young, not indeed so beautiful as her whose portrait I held, but of an agreeable aspect and blooming in the loveliness of youth and health.	true	1179.53	1192.45	18.442402
17_362_000035_000002	Here, I thought, is one of those whose joy-imparting smiles are bestowed on all but me.	Here, I thought, is one of those whose joy imparting smiles are bestowed on all but me.	true	1193.36	1199.53	18
17_362_000035_000003	And then I bent over her and whispered, 'Awake, fairest, thy lover is near--he who would give his life but to obtain one look of affection from thine eyes; my beloved, awake!'	And then I bent over her and whispered, 'Awake, fairest, thy lover is near-he who would give his life but to obtain one look of affection from thine eyes; my beloved, awake!'	false	1200.26	1217.92	20.326614
17_362_000036_000000	"The sleeper stirred; a thrill of terror ran through me.	"The sleeper stirred; a thrill of terror ran through me.	true	1219.16	1224.04	19.011608
17_362_000036_000001	Should she indeed awake, and see me, and curse me, and denounce the murderer?	Should she indeed awake, and see me, and curse me, and denounce the murderer?	true	1224.44	1228.36	17
