7868_110706_000001_000000	III.--HOW MR.	three.--HOW mr
7868_110706_000011_000003	The ice was excessively slippery, and out of all its chasms came wild sounds of gushing water; not monotonous or low; but changeful and loud, rising occasionally into drifting passages of wild melody, then breaking off into short melancholy tones, or sudden shrieks, resembling those of human voices in distress or pain.	The ice was excessively slippery, and out of all its chasms came wild sounds of gushing water; not monotonous or low; but changeful and loud, rising occasionally into drifting passages of wild melody, then breaking off into short melancholy tones, or sudden shrieks, resembling those of human voices in distress or pain.
7868_110706_000012_000000	He had been compelled to abandon his basket of food, which became a perilous incumbrance on the glacier, and had now no means of refreshing himself but by breaking off and eating some of the pieces of ice.	He had been compelled to abandon his basket of food, which became a perilous incumbrance on the glacier, and had now no means of refreshing himself but by breaking off and eating some of the pieces of ice.
7868_110706_000012_000001	This, however, relieved his thirst; an hour's repose recruited his hardy frame, and, with the indomitable spirit of avarice, he resumed his laborious journey.	This, however, relieved his thirst; an hour's repose recruited his hardy frame, and, with the indomitable spirit of avarice, he resumed his laborious journey.
7868_110706_000013_000001	It was past noon, and the rays beat intensely upon the steep path, while the whole atmosphere was motionless, and penetrated with heat.	It was past noon, and the rays beat intensely upon the steep path, while the whole atmosphere was motionless, and penetrated with heat.
7868_110706_000013_000002	Intense thirst was soon added to the bodily fatigue with which Hans was now afflicted; glance after glance he cast on the flask of water which hung at his belt.	Intense thirst was soon added to the bodily fatigue with which Hans was now afflicted; glance after glance he cast on the flask of water which hung at his belt.
7868_110706_000013_000003	"Three drops are enough," at last thought he; "I may, at least, cool my lips with it."	"Three drops are enough," at last thought he; "I may, at least, cool my lips with it."
7868_110706_000014_000000	He opened the flask, and was raising it to his lips, when his eye fell on an object lying on the rock beside him; he thought it moved.	He opened the flask, and was raising it to his lips, when his eye fell on an object lying on the rock beside him; he thought it moved.
7868_110706_000014_000001	It was a small dog, apparently in the last agony of death from thirst.	It was a small dog, apparently in the last agony of death from thirst.
7868_110706_000014_000002	Its tongue was out, its jaws dry, its limbs extended lifelessly, and a swarm of black ants were crawling about its lips and throat.	Its tongue was out, its jaws dry, its limbs extended lifelessly, and a swarm of black ants were crawling about its lips and throat.
7868_110706_000014_000003	Its eye moved to the bottle which Hans held in his hand.	Its eye moved to the bottle which Hans held in his hand.
7868_110706_000014_000004	He raised it, drank, spurned the animal with his foot, and passed on.	He raised it, drank, spurned the animal with his foot, and passed on.
7868_110706_000014_000005	And he did not know how it was, but he thought that a strange shadow had suddenly come across the blue sky.	And he did not know how it was, but he thought that a strange shadow had suddenly come across the blue sky.
7868_110706_000015_000000	The path became steeper and more rugged every moment; and the high hill air, instead of refreshing him, seemed to throw his blood into a fever.	The path became steeper and more rugged every moment; and the high hill air, instead of refreshing him, seemed to throw his blood into a fever.
7868_110706_000015_000002	He stopped to open it, and again, as he did so, something moved in the path above him.	He stopped to open it, and again, as he did so, something moved in the path above him.
7868_110706_000015_000003	It was a fair child, stretched nearly lifeless on the rock, its breast heaving with thirst, its eyes closed, and its lips parched and burning.	It was a fair child, stretched nearly lifeless on the rock, its breast heaving with thirst, its eyes closed, and its lips parched and burning.
7868_110706_000015_000004	Hans eyed it deliberately, drank, and passed on.	Hans eyed it deliberately, drank, and passed on.
7868_110706_000015_000006	Hans struggled on.	Hans struggled on.
7868_110706_000015_000007	The sun was sinking, but its descent seemed to bring no coolness; the leaden weight of the dead air pressed upon his brow and heart, but the goal was near.	The sun was sinking, but its descent seemed to bring no coolness; the leaden weight of the dead air pressed upon his brow and heart, but the goal was near.
7868_110706_000015_000008	He saw the cataract of the Golden River springing from the hillside, scarcely five hundred feet above him.	He saw the cataract of the Golden River springing from the hillside, scarcely five hundred feet above him.
7868_110706_000015_000009	He paused for a moment to breathe, and sprang on to complete his task.	He paused for a moment to breathe, and sprang on to complete his task.
7868_110706_000016_000000	At this instant a faint cry fell on his ear.	At this instant a faint cry fell on his ear.
7868_110706_000016_000001	He turned, and saw a gray-haired old man extended on the rocks.	He turned, and saw a gray haired old man extended on the rocks.
7868_110706_000016_000003	I am dying."	I am dying."
7868_110706_000017_000000	"I have none," replied Hans; "thou hast had thy share of life." He strode over the prostrate body, and darted on.	"I have none," replied Hans; "thou hast had thy share of life." He strode over the prostrate body, and darted on.
7868_110706_000017_000001	And a flash of blue lightning rose out of the east, shaped like a sword; it shook thrice over the whole heaven, and left it dark with one heavy, impenetrable shade.	And a flash of blue lightning rose out of the east, shaped like a sword; it shook thrice over the whole heaven, and left it dark with one heavy, impenetrable shade.
7868_110706_000017_000002	The sun was setting; it plunged toward the horizon like a red-hot ball.	The sun was setting; it plunged toward the horizon like a red hot ball.
7868_110706_000018_000001	He stood at the brink of the chasm through which it ran.	He stood at the brink of the chasm through which it ran.
7868_110706_000018_000005	As he did so, an icy chill shot through his limbs: he staggered, shrieked, and fell.	As he did so, an icy chill shot through his limbs: he staggered, shrieked, and fell.
7868_110706_000018_000006	The waters closed over his cry.	The waters closed over his cry.
