5604_26982_000000_000000	The tide of Romola's feelings had been violently turned into a new channel.	The tide of Romola's feelings had been violently turned into a new channel.	false	0	6.51	19.640072
5604_26982_000011_000008	Late in the day, Tito was admitted to an audience of the Special Council, and produced a deep sensation among them by revealing another plot for insuring the mastery of Florence to Piero de' Medici, which was to have been carried into execution in the middle of this very month of August.	Late in the day, Tito was admitted to an audience of the Special Council, and produced a deep sensation among them by revealing another plot for insuring the mastery of Florence to Piero de' Medici, which was to have been carried into execution in the middle of this very month of August.	true	443.54	459.28	19.517582
5604_26982_000011_000009	Documentary evidence on this subject would do more than anything else to make the right course clear.	Documentary evidence on this subject would do more than anything else to make the right course clear.	true	459.44	464.68	21
5604_26982_000011_000010	He received a commission to start for Siena by break of day; and, besides this, he carried away with him from the council-chamber a written guarantee of his immunity and of his retention of office.	He received a commission to start for Siena by break of day; and, besides this, he carried away with him from the council chamber a written guarantee of his immunity and of his retention of office.	true	464.84	476.5	19.389425
5604_26982_000012_000000	Among the twenty Florentines who bent their grave eyes on Tito, as he stood gracefully before them, speaking of startling things with easy periphrasis, and with that apparently unaffected admission of being actuated by motives short of the highest, which is often the intensest affectation, there were several whose minds were not too entirely preoccupied to pass a new judgment on him in these new circumstances; they silently concluded that this ingenious and serviceable Greek was in future rather to be used for public needs than for private intimacy. Unprincipled men were useful, enabling those who had more scruples to keep their hands tolerably clean in a world where there was much dirty work to be done.	Among the twenty Florentines who bent their grave eyes on Tito, as he stood gracefully before them, speaking of startling things with easy periphrasis, and with that apparently unaffected admission of being actuated by motives short of the highest, which is often the intensest affectation, there were several whose minds were not too entirely preoccupied to pass a new judgment on him in these new circumstances; they silently concluded that this ingenious and serviceable Greek was in future rather to be used for public needs than for private intimacy. Unprincipled men were useful, enabling those who had more scruples to keep their hands tolerably clean in a world where there was much dirty work to be done.	true	476.66	517.69	20.560738
5604_26982_000012_000001	Indeed, it was not clear to respectable Florentine brains, unless they held the Frate's extravagant belief in a possible purity and loftiness to be striven for on this earth, how life was to be carried on in any department without human instruments whom it would not be unbecoming to kick or to spit upon in the act of handing them their wages.	Indeed, it was not clear to respectable Florentine brains, unless they held the Frate's extravagant belief in a possible purity and loftiness to be striven for on this earth, how life was to be carried on in any department without human instruments whom it would not be unbecoming to kick or to spit upon in the act of handing them their wages.	false	518.03	537.64	21.188375
5604_26982_000012_000002	Some of these very men who passed a tacit judgment on Tito were shortly to be engaged in a memorable transaction that could by no means have been carried through without the use of an unscrupulousness as decided as his; but, as their own bright poet Pulci had said for them, it is one thing to love the fruits of treachery, and another thing to love traitors--	Some of these very men who passed a tacit judgment on Tito were shortly to be engaged in a memorable transaction that could by no means have been carried through without the use of an unscrupulousness as decided as his; but, as their own bright poet Pulci had said for them, it is one thing to love the fruits of treachery, and another thing to love traitors-	false	538.04	557.86	20.20524
5604_26982_000013_000000	"Il tradimento a molti piace assai, Ma il traditore a gnun non piacque mal."	"Il tradimento a molti piace assai, Ma il traditore a g n u n non piacque mal."	false	558.38	564.31	22.953587
5604_26982_000014_000000	The same society has had a gibbet for the murderer and a gibbet for the martyr, an execrating hiss for a dastardly act, and as loud a hiss for many a word of generous truthfulness or just insight: a mixed condition of things which is the sign, not of hopeless confusion, but of struggling order.	The same society has had a gibbet for the murderer and a gibbet for the martyr, an execrating hiss for a dastardly act, and as loud a hiss for many a word of generous truthfulness or just insight: a mixed condition of things which is the sign, not of hopeless confusion, but of struggling order.	false	564.56	581.8	21.363827
5604_26982_000015_000000	For Tito himself, he was not unaware that he had sunk a little in the estimate, of the men who had accepted his services.	For Tito himself, he was not unaware that he had sunk a little in the estimate, of the men who had accepted his services.	true	581.96	588.55	18
5604_26982_000015_000001	He had that degree of self-contemplation which necessarily accompanies the habit of acting on well-considered reasons, of whatever quality; and if he could have chosen, he would have declined to see himself disapproved by men of the world.	He had that degree of self contemplation which necessarily accompanies the habit of acting on well considered reasons, of whatever quality; and if he could have chosen, he would have declined to see himself disapproved by men of the world.	true	588.71	601.72	21.220951
5604_26982_000015_000002	He had never meant to be disapproved; he had meant always to conduct himself so ably that if he acted in opposition to the standard of other men they should not be aware of it; and the barrier between himself and Romola had been raised by the impossibility of such concealment with her.	He had never meant to be disapproved; he had meant always to conduct himself so ably that if he acted in opposition to the standard of other men they should not be aware of it; and the barrier between himself and Romola had been raised by the impossibility of such concealment with her.	true	601.76	617.085	20
5604_26982_000015_000003	He shrank from condemnatory judgments as from a climate to which he could not adapt himself But things were not so plastic in the hands of cleverness as could be wished, and events had turned out inconveniently.	He shrank from condemnatory judgments as from a climate to which he could not adapt himself But things were not so plastic in the hands of cleverness as could be wished, and events had turned out inconveniently.	true	617.085	629.415	20.294697
5604_26982_000015_000004	He had really no rancour against Messer Bernardo del Nero: he had a personal liking for Lorenzo Tornabuoni and Giannozzo Pucci.	He had really no rancour against Messer Bernardo del Nero: he had a personal liking for Lorenzo Tornabuoni and Giannozzo Pucci.	true	629.415	637.75	18.967175
5604_26982_000015_000005	He had served them very ably, and in such a way that if their party had been winners he would have merited high reward; but was he to relinquish all the agreeable fruits of life because their party had failed?	He had served them very ably, and in such a way that if their party had been winners he would have merited high reward; but was he to relinquish all the agreeable fruits of life because their party had failed?	true	638	649.095	19.819427
5604_26982_000015_000006	His proffer of a little additional proof against them would probably have no influence on their fate; in fact, he felt convinced they would escape any extreme consequences; but if he had not given it, his own fortunes, which made a promising fabric, would have been utterly ruined.	His proffer of a little additional proof against them would probably have no influence on their fate; in fact, he felt convinced they would escape any extreme consequences; but if he had not given it, his own fortunes, which made a promising fabric, would have been utterly ruined.	true	649.095	664.3	21.386068
5604_26982_000015_000007	And what motive could any man really have, except his own interest?	And what motive could any man really have, except his own interest?	true	664.73	668.385	21.337147
5604_26982_000015_000008	Florentines whose passions were engaged in their petty and precarious political schemes might have no self-interest separable from family pride and tenacity in old hatreds and attachments; a modern simpleton who swallowed whole one of the old systems of philosophy, and took the indigestion it occasioned for the signs of a divine afflux or the voice of an inward monitor, might see his interest in a form of self-conceit which he called self-rewarding virtue; fanatics who believed in the coming Scourge and Renovation might see their own interest in a future palm-branch and white robe: but no man of clear intellect allowed his course to be determined by such puerile impulses or questionable inward fumes.	Florentines whose passions were engaged in their petty and precarious political schemes might have no self interest separable from family pride and tenacity in old hatreds and attachments; a modern simpleton who swallowed whole one of the old systems of philosophy, and took the indigestion it occasioned for the signs of a divine afflux or the voice of an inward monitor, might see his interest in a form of self conceit which he called self rewarding virtue; fanatics who believed in the coming Scourge and Renovation might see their own interest in a future palm branch and white robe: but no man of clear intellect allowed his course to be determined by such puerile impulses or questionable inward fumes.	false	668.385	710.62	19.902699
5604_26982_000015_000009	Did not Pontanus, poet and philosopher of unrivalled Latinity, make the finest possible oration at Naples to welcome the French king, who had come to dethrone the learned orator's royal friend and patron? and still Pontanus held up his head and prospered.	Did not Pontanus, poet and philosopher of unrivalled Latinity, make the finest possible oration at Naples to welcome the French king, who had come to dethrone the learned orator's royal friend and patron? and still Pontanus held up his head and prospered.	true	710.9	725.83	20.723925
5604_26982_000015_000010	Men did not really care about these things, except when their personal spleen was touched.	Men did not really care about these things, except when their personal spleen was touched.	true	726.38	731.23	22.202547
5604_26982_000015_000011	It was weakness only that was despised; power of any sort carried its immunity; and no man, unless by very rare good fortune, could mount high in the world without incurring a few unpleasant necessities which laid him open to enmity, and perhaps to a little hissing, when enmity wanted a pretext.	It was weakness only that was despised; power of any sort carried its immunity; and no man, unless by very rare good fortune, could mount high in the world without incurring a few unpleasant necessities which laid him open to enmity, and perhaps to a little hissing, when enmity wanted a pretext.	true	731.42	749.115	20.863214
5604_26982_000016_000000	It was a faint prognostic of that hissing, gathered by Tito from certain indications when he was before the council, which gave his present conduct the character of an epoch to him, and made him dwell on it with argumentative vindication.	It was a faint prognostic of that hissing, gathered by Tito from certain indications when he was before the council, which gave his present conduct the character of an epoch to him, and made him dwell on it with argumentative vindication.	true	749.115	761.98	21.140753
5604_26982_000016_000001	It was not that he was taking a deeper step in wrong-doing, for it was not possible that he should feel any tie to the Mediceans to be stronger than the tie to his father; but his conduct to his father had been hidden by successful lying: his present act did not admit of total concealment--in its very nature it was a revelation. And Tito winced under his new liability to disesteem.	It was not that he was taking a deeper step in wrong doing, for it was not possible that he should feel any tie to the Mediceans to be stronger than the tie to his father; but his conduct to his father had been hidden by successful lying: his present act did not admit of total concealment-in its very nature it was a revelation. And Tito winced under his new liability to disesteem.	false	762.35	785.32	20.711945
5604_26982_000017_000000	Well! a little patience, and in another year, or perhaps in half a year, he might turn his back on these hard, eager Florentines, with their futile quarrels and sinking fortunes.	Well! a little patience, and in another year, or perhaps in half a year, he might turn his back on these hard, eager Florentines, with their futile quarrels and sinking fortunes.	true	785.48	794.62	19.139715
5604_26982_000017_000001	His brilliant success at Florence had had some ugly flaws in it: he had fallen in love with the wrong woman, and Baldassarre had come back under incalculable circumstances. But as Tito galloped with a loose rein towards Siena, he saw a future before him in which he would no longer be haunted by those mistakes.	His brilliant success at Florence had had some ugly flaws in it: he had fallen in love with the wrong woman, and Baldassarre had come back under incalculable circumstances. But as Tito galloped with a loose rein towards Siena, he saw a future before him in which he would no longer be haunted by those mistakes.	true	794.66	812.41	20.85784
5604_26982_000017_000002	He had much money safe out of Florence already; he was in the fresh ripeness of eight-and-twenty; he was conscious of well-tried skill. Could he not strip himself of the past, as of rehearsal clothing, and throw away the old bundle, to robe himself for the real scene?	He had much money safe out of Florence already; he was in the fresh ripeness of eight and twenty; he was conscious of well tried skill. Could he not strip himself of the past, as of rehearsal clothing, and throw away the old bundle, to robe himself for the real scene?	false	813.02	828.61	20.32498
5604_26982_000018_000000	It did not enter into Tito's meditations on the future, that, on issuing from the council-chamber and descending the stairs, he had brushed against a man whose face he had not stayed to recognise in the lamplight.	It did not enter into Tito's meditations on the future, that, on issuing from the council chamber and descending the stairs, he had brushed against a man whose face he had not stayed to recognise in the lamplight.	true	828.62	840.19	19.381788
5604_26982_000018_000001	The man was Ser Ceccone--also willing to serve the State by giving information against unsuccessful employers.	The man was Ser Ceccone-also willing to serve the State by giving information against unsuccessful employers.	false	840.41	857.88	18.638992
