6317_54487_000001_000000	THE UNITED STATES AND THE EUROPEAN WAR	THE UNITED STATES AND THE EUROPEAN WAR
6317_54487_000011_000004	A warship overhauling a merchant vessel could easily take its crew and passengers on board for safe keeping as prescribed by international law; but a submarine ordinarily could do nothing of the sort.	A warship overhauling a merchant vessel could easily take its crew and passengers on board for safe keeping as prescribed by international law; but a submarine ordinarily could do nothing of the sort.
6317_54487_000011_000005	Of necessity the lives and the ships of neutrals, as well as of belligerents, were put in mortal peril.	Of necessity the lives and the ships of neutrals, as well as of belligerents, were put in mortal peril.
6317_54487_000012_000000	The response of the United States to the ominous German order was swift and direct.	The response of the United States to the ominous German order was swift and direct.
6317_54487_000012_000001	On February 10, 1915, it warned Germany that if her commanders destroyed American lives and ships in obedience to that decree, the action would "be very hard indeed to reconcile with the friendly relations happily subsisting between the two governments." The American note added that the German imperial government would be held to "strict accountability" and all necessary steps would be taken to safeguard American lives and American rights.	On february tenth nineteen fifteen, it warned Germany that if her commanders destroyed American lives and ships in obedience to that decree, the action would "be very hard indeed to reconcile with the friendly relations happily subsisting between the two governments." The American note added that the German imperial government would be held to "strict accountability" and all necessary steps would be taken to safeguard American lives and American rights.
6317_54487_000012_000002	This was firm and clear language, but the only response which it evoked from Germany was a suggestion that, if Great Britain would allow food supplies to pass through the blockade, the submarine campaign would be dropped.	This was firm and clear language, but the only response which it evoked from Germany was a suggestion that, if Great Britain would allow food supplies to pass through the blockade, the submarine campaign would be dropped.
6317_54487_000013_000002	On the morning of May 1, 1915, Americans were astounded to see in the newspapers an advertisement, signed by the German Imperial Embassy, warning travelers of the dangers in the war zone and notifying them that any who ventured on British ships into that area did so at their own risk.	On the morning of may first nineteen fifteen, Americans were astounded to see in the newspapers an advertisement, signed by the German Imperial Embassy, warning travelers of the dangers in the war zone and notifying them that any who ventured on British ships into that area did so at their own risk.
6317_54487_000013_000004	A cry of horror ran through the country.	A cry of horror ran through the country.
6317_54487_000013_000005	The German papers in America and a few American people argued that American citizens had been duly warned of the danger and had deliberately taken their lives into their own hands; but the terrible deed was almost universally condemned by public opinion.	The German papers in America and a few American people argued that American citizens had been duly warned of the danger and had deliberately taken their lives into their own hands; but the terrible deed was almost universally condemned by public opinion.
6317_54487_000014_000001	It solemnly informed the German government that "no warning that an unlawful and inhumane act will be committed can possibly be accepted as an excuse or palliation for that act or as an abatement of the responsibility for its commission."	It solemnly informed the German government that "no warning that an unlawful and inhumane act will be committed can possibly be accepted as an excuse or palliation for that act or as an abatement of the responsibility for its commission."
6317_54487_000015_000000	In a second note, made public on June 11, the position of the United States was again affirmed.	In a second note, made public on june eleventh, the position of the United States was again affirmed.
6317_54487_000015_000002	The German reply was still evasive and German naval commanders continued their course of sinking merchant ships.	The German reply was still evasive and German naval commanders continued their course of sinking merchant ships.
6317_54487_000015_000003	In a third and final note of July 21, 1915, President Wilson made it clear to Germany that he meant what he said when he wrote that he would maintain the rights of American citizens.	In a third and final note of july twenty first nineteen fifteen, President Wilson made it clear to Germany that he meant what he said when he wrote that he would maintain the rights of American citizens.
6317_54487_000016_000001	On the Republican side everything seemed to depend upon the action of the Progressives.	On the Republican side everything seemed to depend upon the action of the Progressives.
6317_54487_000016_000002	If the breach created in 1912 could be closed, victory was possible; if not, defeat was certain. A promise of unity lay in the fact that the conventions of the Republicans and Progressives were held simultaneously in Chicago.	If the breach created in nineteen twelve could be closed, victory was possible; if not, defeat was certain. A promise of unity lay in the fact that the conventions of the Republicans and Progressives were held simultaneously in Chicago.
6317_54487_000016_000003	The friends of Roosevelt hoped that both parties would select him as their candidate; but this hope was not realized.	The friends of Roosevelt hoped that both parties would select him as their candidate; but this hope was not realized.
6317_54487_000016_000004	The Republicans chose, and the Progressives accepted, Charles E. Hughes, an associate justice of the federal Supreme Court who, as governor of New York, had won a national reputation by waging war on "machine politicians."	The Republicans chose, and the Progressives accepted, Charles e Hughes, an associate justice of the federal Supreme Court who, as governor of New York, had won a national reputation by waging war on "machine politicians."
6317_54487_000017_000002	The Democrats, on their side, renominated President Wilson by acclamation, reviewed with pride the legislative achievements of the party, and commended "the splendid diplomatic victories of our great President who has preserved the vital interests of our government and its citizens and kept us out of war."	The Democrats, on their side, renominated President Wilson by acclamation, reviewed with pride the legislative achievements of the party, and commended "the splendid diplomatic victories of our great President who has preserved the vital interests of our government and its citizens and kept us out of war."
6317_54487_000018_000000	In the election which ensued President Wilson's popular vote exceeded that cast for Mr. Hughes by more than half a million, while his electoral vote stood 277 to 254.	In the election which ensued President Wilson's popular vote exceeded that cast for mr Hughes by more than half a million, while his electoral vote stood two hundred seventy seven to two hundred fifty four.
6317_54487_000018_000002	He had received the largest vote yet cast for a presidential candidate.	He had received the largest vote yet cast for a presidential candidate.
6317_54487_000018_000003	The Progressive party practically disappeared, and the Socialists suffered a severe set-back, falling far behind the vote of 1912.	The Progressive party practically disappeared, and the Socialists suffered a severe set back, falling far behind the vote of nineteen twelve.
6317_54487_000019_000001	On December 16, the German Emperor proposed to the Allied Powers that they enter into peace negotiations, a suggestion that was treated as a mere political maneuver by the opposing governments.	On december sixteenth, the German Emperor proposed to the Allied Powers that they enter into peace negotiations, a suggestion that was treated as a mere political maneuver by the opposing governments.
6317_54487_000019_000003	On January 22, 1917, President Wilson in an address before the Senate, declared it to be a duty of the United States to take part in the establishment of a stable peace on the basis of certain principles.	On january twenty second nineteen seventeen, President Wilson in an address before the Senate, declared it to be a duty of the United States to take part in the establishment of a stable peace on the basis of certain principles.
6317_54487_000019_000004	These were, in short: "peace without victory"; the right of nationalities to freedom and self-government; the independence of Poland; freedom of the seas; the reduction of armaments; and the abolition of entangling alliances.	These were, in short: "peace without victory"; the right of nationalities to freedom and self government; the independence of Poland; freedom of the seas; the reduction of armaments; and the abolition of entangling alliances.
6317_54487_000020_000000	THE UNITED STATES AT WAR	THE UNITED STATES AT WAR
6317_54487_000021_000001	At the same time he explained to Congress that he desired no conflict with Germany and would await an "overt act" before taking further steps to preserve American rights.	At the same time he explained to Congress that he desired no conflict with Germany and would await an "overt act" before taking further steps to preserve American rights.
6317_54487_000021_000002	"God grant," he concluded, "that we may not be challenged to defend them by acts of willful injustice on the part of the government of Germany." Yet the challenge came.	"God grant," he concluded, "that we may not be challenged to defend them by acts of willful injustice on the part of the government of Germany." Yet the challenge came.
6317_54487_000021_000003	Between February 26 and April 2, six American merchant vessels were torpedoed, in most cases without any warning and without regard to the loss of American lives. President Wilson therefore called upon Congress to answer the German menace.	Between february twenty sixth and april second, six American merchant vessels were torpedoed, in most cases without any warning and without regard to the loss of American lives. President Wilson therefore called upon Congress to answer the German menace.
6317_54487_000021_000004	The reply of Congress on April 6 was a resolution, passed with only a few dissenting votes, declaring the existence of a state of war with Germany.	The reply of Congress on april sixth was a resolution, passed with only a few dissenting votes, declaring the existence of a state of war with Germany.
6317_54487_000021_000005	Austria-Hungary at once severed diplomatic relations with the United States; but it was not until December 7 that Congress, acting on the President's advice, declared war also on that "vassal of the German government."	Austria Hungary at once severed diplomatic relations with the United States; but it was not until december seventh that Congress, acting on the President's advice, declared war also on that "vassal of the German government."
6317_54487_000022_000001	He first made it clear that it was a war of self-defense.	He first made it clear that it was a war of self defense.
6317_54487_000022_000002	"The military masters of Germany," he exclaimed, "denied us the right to be neutral." Proof of that lay on every hand. Agents of the German imperial government had destroyed American lives and American property on the high seas.	"The military masters of Germany," he exclaimed, "denied us the right to be neutral." Proof of that lay on every hand. Agents of the German imperial government had destroyed American lives and American property on the high seas.
6317_54487_000022_000003	They had filled our communities with spies.	They had filled our communities with spies.
6317_54487_000023_000000	Though assailed in many ways and compelled to resort to war, the United States sought no material rewards.	Though assailed in many ways and compelled to resort to war, the United States sought no material rewards.
6317_54487_000023_000001	"The world must be made safe for democracy.	"The world must be made safe for democracy.
6317_54487_000023_000002	Its peace must be planted upon the tested foundations of political liberty.	Its peace must be planted upon the tested foundations of political liberty.
6317_54487_000023_000003	We have no selfish ends to serve.	We have no selfish ends to serve.
6317_54487_000023_000004	We desire no conquest, no dominion.	We desire no conquest, no dominion.
6317_54487_000024_000000	In a very remarkable message read to Congress on January 8, 1918, President Wilson laid down his famous "fourteen points" summarizing the ideals for which we were fighting.	In a very remarkable message read to Congress on january eighth nineteen eighteen, President Wilson laid down his famous "fourteen points" summarizing the ideals for which we were fighting.
6317_54487_000024_000003	Democracy, the right of nations to determine their own fate, a covenant of enduring peace--these were the ideals for which the American people were to pour out their blood and treasure.	Democracy, the right of nations to determine their own fate, a covenant of enduring peace-these were the ideals for which the American people were to pour out their blood and treasure.
6317_54487_000025_000001	The powers against which we were arrayed had every able-bodied man in service and all their resources, human and material, thrown into the scale.	The powers against which we were arrayed had every able bodied man in service and all their resources, human and material, thrown into the scale.
6317_54487_000025_000002	For this reason, President Wilson summoned the whole people of the United States to make every sacrifice necessary for victory. Congress by law decreed that the national army should be chosen from all male citizens and males not enemy aliens who had declared their intention of becoming citizens.	For this reason, President Wilson summoned the whole people of the United States to make every sacrifice necessary for victory. Congress by law decreed that the national army should be chosen from all male citizens and males not enemy aliens who had declared their intention of becoming citizens.
6317_54487_000025_000003	By the first act of May 18, 1917, it fixed the age limits at twenty-one to thirty-one inclusive.	By the first act of may eighteenth nineteen seventeen, it fixed the age limits at twenty one to thirty one inclusive.
6317_54487_000025_000004	Later, in August, 1918, it extended them to eighteen and forty-five.	Later, in August, nineteen eighteen, it extended them to eighteen and forty five.
6317_54487_000025_000006	"The whole nation," said the President, "must be a team in which each man shall play the part for which he is best fitted."	"The whole nation," said the President, "must be a team in which each man shall play the part for which he is best fitted."
6317_54487_000026_000001	Some urged the "conscription of wealth as well as men," meaning the support of the war out of taxes upon great fortunes; but more conservative counsels prevailed.	Some urged the "conscription of wealth as well as men," meaning the support of the war out of taxes upon great fortunes; but more conservative counsels prevailed.
6317_54487_000026_000002	Four great Liberty Loans were floated, all the agencies of modern publicity being employed to enlist popular interest.	Four great Liberty Loans were floated, all the agencies of modern publicity being employed to enlist popular interest.
6317_54487_000026_000003	The first loan had four and a half million subscribers; the fourth more than twenty million.	The first loan had four and a half million subscribers; the fourth more than twenty million.
6317_54487_000026_000004	Combined with loans were heavy taxes.	Combined with loans were heavy taxes.
6317_54487_000026_000005	A progressive tax was laid upon incomes beginning with four per cent on incomes in the lower ranges and rising to sixty-three per cent of that part of any income above $2,000,000.	A progressive tax was laid upon incomes beginning with four per cent on incomes in the lower ranges and rising to sixty three per cent of that part of any income above two million dollars.
6317_54487_000026_000006	A progressive tax was levied upon inheritances. An excess profits tax was laid upon all corporations and partnerships, rising in amount to sixty per cent of the net income in excess of thirty-three per cent on the invested capital.	A progressive tax was levied upon inheritances. An excess profits tax was laid upon all corporations and partnerships, rising in amount to sixty per cent of the net income in excess of thirty three per cent on the invested capital.
6317_54487_000026_000007	"This," said a distinguished economist, "is the high-water mark in the history of taxation.	"This," said a distinguished economist, "is the high water mark in the history of taxation.
6317_54487_000026_000008	Never before in the annals of civilization has an attempt been made to take as much as two-thirds of a man's income by taxation."	Never before in the annals of civilization has an attempt been made to take as much as two thirds of a man's income by taxation."
6317_54487_000027_000001	Between the declaration of war and the armistice, Congress enacted law after law relative to food supplies, raw materials, railways, mines, ships, forests, and industrial enterprises.	Between the declaration of war and the armistice, Congress enacted law after law relative to food supplies, raw materials, railways, mines, ships, forests, and industrial enterprises.
6317_54487_000027_000002	No power over the lives and property of citizens, deemed necessary to the prosecution of the armed conflict, was withheld from the government.	No power over the lives and property of citizens, deemed necessary to the prosecution of the armed conflict, was withheld from the government.
6317_54487_000027_000003	The farmer's wheat, the housewife's sugar, coal at the mines, labor in the factories, ships at the wharves, trade with friendly countries, the railways, banks, stores, private fortunes--all were mobilized and laid under whatever obligations the government deemed imperative.	The farmer's wheat, the housewife's sugar, coal at the mines, labor in the factories, ships at the wharves, trade with friendly countries, the railways, banks, stores, private fortunes-all were mobilized and laid under whatever obligations the government deemed imperative.
6317_54487_000027_000004	Never was a nation more completely devoted to a single cause.	Never was a nation more completely devoted to a single cause.
6317_54487_000028_000000	A law of August 10, 1917, gave the President power to fix the prices of wheat and coal and to take almost any steps necessary to prevent monopoly and excessive prices.	A law of august tenth nineteen seventeen, gave the President power to fix the prices of wheat and coal and to take almost any steps necessary to prevent monopoly and excessive prices.
6317_54487_000028_000001	By a series of measures, enlarging the principles of the shipping act of 1916, ships and shipyards were brought under public control and the government was empowered to embark upon a great ship-building program.	By a series of measures, enlarging the principles of the shipping act of nineteen sixteen, ships and shipyards were brought under public control and the government was empowered to embark upon a great ship building program.
6317_54487_000028_000002	In December, 1917, the government assumed for the period of the war the operation of the railways under a presidential proclamation which was elaborated in March, 1918, by act of Congress.	In December, nineteen seventeen, the government assumed for the period of the war the operation of the railways under a presidential proclamation which was elaborated in March, nineteen eighteen, by act of Congress.
6317_54487_000028_000003	In the summer of 1918 the express, telephone, and telegraph business of the entire country passed under government control.	In the summer of nineteen eighteen the express, telephone, and telegraph business of the entire country passed under government control.
6317_54487_000028_000004	By war risk insurance acts allowances were made for the families of enlisted men, compensation for injuries was provided, death benefits were instituted, and a system of national insurance was established in the interest of the men in service.	By war risk insurance acts allowances were made for the families of enlisted men, compensation for injuries was provided, death benefits were instituted, and a system of national insurance was established in the interest of the men in service.
6317_54487_000028_000005	Never before in the history of the country had the government taken such a wise and humane view of its obligations to those who served on the field of battle or on the seas.	Never before in the history of the country had the government taken such a wise and humane view of its obligations to those who served on the field of battle or on the seas.
6317_54487_000032_000004	The Socialist party denounced the war as a capitalist quarrel; but all the protests combined were too slight to have much effect.	The Socialist party denounced the war as a capitalist quarrel; but all the protests combined were too slight to have much effect.
6317_54487_000032_000006	Labor was given representation on the important boards and commissions dealing with industrial questions. Trade union standards were accepted by the government and generally applied in industry.	Labor was given representation on the important boards and commissions dealing with industrial questions. Trade union standards were accepted by the government and generally applied in industry.
6317_54487_000033_000001	Special effort was made to stimulate the production of "submarine chasers" and "scout cruisers" to be sent to the danger zone. Convoys were provided to accompany the transports conveying soldiers to France.	Special effort was made to stimulate the production of "submarine chasers" and "scout cruisers" to be sent to the danger zone. Convoys were provided to accompany the transports conveying soldiers to France.
6317_54487_000033_000002	Before the end of the war more than three hundred American vessels and 75,000 officers and men were operating in European waters. Though the German fleet failed to come out and challenge the sea power of the Allies, the battleships of the United States were always ready to do their full duty in such an event.	Before the end of the war more than three hundred American vessels and seventy five thousand officers and men were operating in European waters. Though the German fleet failed to come out and challenge the sea power of the Allies, the battleships of the United States were always ready to do their full duty in such an event.
6317_54487_000035_000000	Although American troops did not take part on a large scale until the last phase of the war in 1918, several battalions of infantry were in the trenches by October, 1917, and had their first severe encounter with the Germans early in November.	Although American troops did not take part on a large scale until the last phase of the war in nineteen eighteen, several battalions of infantry were in the trenches by October, nineteen seventeen, and had their first severe encounter with the Germans early in November.
6317_54487_000038_000001	At Belleau Wood, at Chateau-Thierry, and other points along the deep salient made by the Germans into the French lines, American soldiers distinguished themselves by heroic action.	At Belleau Wood, at Chateau Thierry, and other points along the deep salient made by the Germans into the French lines, American soldiers distinguished themselves by heroic action.
6317_54487_000038_000002	They also played an important role in the counter attack that "smashed" the salient and drove the Germans back.	They also played an important role in the counter attack that "smashed" the salient and drove the Germans back.
