6317_54487_000000_000000	In 1916 a second break in amicable relations occurred.	In nineteen sixteen a second break in amicable relations occurred.	false	0	0.99	15.755067
6317_54487_000003_000006	On the 5th, the British prime minister announced that war had opened between England and Germany.	On the fifth, the British prime minister announced that war had opened between England and Germany.	true	160.1	166.18	21.479029
6317_54487_000003_000007	The storm now broke in all its pitiless fury.	The storm now broke in all its pitiless fury.	true	166.31	169.17	23
6317_54487_000004_000000	=The State of American Opinion.=--Although President Wilson promptly proclaimed the neutrality of the United States, the sympathies of a large majority of the American people were without doubt on the side of Great Britain and France.	equals The State of American Opinion.equals--Although President Wilson promptly proclaimed the neutrality of the United States, the sympathies of a large majority of the American people were without doubt on the side of Great Britain and France.	false	169.17	183.25	22.422194
6317_54487_000004_000001	To them the invasion of the little kingdom of Belgium and the horrors that accompanied German occupation were odious in the extreme.	To them the invasion of the little kingdom of Belgium and the horrors that accompanied German occupation were odious in the extreme.	true	183.59	191.5	19.87788
6317_54487_000004_000002	Moreover, they regarded the German imperial government as an autocratic power wielded in the interest of an ambitious military party.	Moreover, they regarded the German imperial government as an autocratic power wielded in the interest of an ambitious military party.	true	191.51	200.08	23.806648
6317_54487_000004_000003	The Kaiser, William II, and the Crown Prince were the symbols of royal arrogance.	The Kaiser, William the second, and the Crown Prince were the symbols of royal arrogance.	true	200.3	205.48	19.595997
6317_54487_000004_000004	On the other hand, many Americans of German descent, in memory of their ties with the Fatherland, openly sympathized with the Central Powers; and many Americans of Irish descent, recalling their long and bitter struggle for home rule in Ireland, would have regarded British defeat as a merited redress of ancient grievances.	On the other hand, many Americans of German descent, in memory of their ties with the Fatherland, openly sympathized with the Central Powers; and many Americans of Irish descent, recalling their long and bitter struggle for home rule in Ireland, would have regarded British defeat as a merited redress of ancient grievances.	true	205.64	224.98	21.959864
6317_54487_000005_000000	Extremely sensitive to American opinion, but ill informed about it, the German government soon began systematic efforts to present its cause to the people of the United States in the most favorable light possible. Dr. Bernhard Dernburg, the former colonial secretary of the German empire, was sent to America as a special agent.	Extremely sensitive to American opinion, but ill informed about it, the German government soon began systematic efforts to present its cause to the people of the United States in the most favorable light possible. dr Bernhard Dernburg, the former colonial secretary of the German empire, was sent to America as a special agent.	true	225.68	245.77	21.170437
6317_54487_000005_000001	For months he filled the newspapers, magazines, and periodicals with interviews, articles, and notes on the justice of the Teutonic cause.	For months he filled the newspapers, magazines, and periodicals with interviews, articles, and notes on the justice of the Teutonic cause.	true	245.78	254.17	20.191881
6317_54487_000005_000002	From a press bureau in New York flowed a stream of pamphlets, leaflets, and cartoons.	From a press bureau in New York flowed a stream of pamphlets, leaflets, and cartoons.	true	254.33	259.54	21.717745
6317_54487_000005_000003	A magazine, "The Fatherland," was founded to secure "fair play for Germany and Austria." Several professors in American universities, who had received their training in Germany, took up the pen in defense of the Central Empires.	A magazine, "The Fatherland," was founded to secure "fair play for Germany and Austria." Several professors in American universities, who had received their training in Germany, took up the pen in defense of the Central Empires.	false	259.73	274.06	20.03436
6317_54487_000005_000004	The German language press, without exception it seems, the National German Alliance, minor German societies, and Lutheran churches came to the support of the German cause.	The German language press, without exception it seems, the National German Alliance, minor German societies, and Lutheran churches came to the support of the German cause.	true	274.31	285.25	18.131897
6317_54487_000005_000005	Even the English language papers, though generally favorable to the Entente Allies, opened their columns in the interest of equal justice to the spokesmen for all the contending powers of Europe.	Even the English language papers, though generally favorable to the Entente Allies, opened their columns in the interest of equal justice to the spokesmen for all the contending powers of Europe.	false	285.35	296.35	21.590235
6317_54487_000006_000000	Before two weeks had elapsed the controversy had become so intense that President Wilson (August 18, 1914) was moved to caution his countrymen against falling into angry disputes.	Before two weeks had elapsed the controversy had become so intense that President Wilson (august eighteenth nineteen fourteen) was moved to caution his countrymen against falling into angry disputes.	false	296.63	308.95	21.027433
6317_54487_000006_000001	"Every man," he said, "who really loves America will act and speak in the true spirit of neutrality which is the spirit of impartiality and fairness and friendliness to all concerned....	"Every man," he said, "who really loves America will act and speak in the true spirit of neutrality which is the spirit of impartiality and fairness and friendliness to all concerned....	true	309.23	320.14	19.323936
6317_54487_000006_000002	We must be impartial in thought as well as in action, must put a curb upon our sentiments as well as upon every transaction that might be construed as a preference of one party to the struggle before another."	We must be impartial in thought as well as in action, must put a curb upon our sentiments as well as upon every transaction that might be construed as a preference of one party to the struggle before another."	false	320.66	332.22	22
6317_54487_000007_000000	=The Clash over American Trade.=--As in the time of the Napoleonic wars, the conflict in Europe raised fundamental questions respecting rights of Americans trading with countries at peace as well as those at war.	equals The Clash over American Trade.equals--As in the time of the Napoleonic wars, the conflict in Europe raised fundamental questions respecting rights of Americans trading with countries at peace as well as those at war.	false	332.22	345.4	21.498415
6317_54487_000007_000001	On this point there existed on August 1, 1914, a fairly definite body of principles by which nations were bound.	On this point there existed on august first nineteen fourteen, a fairly definite body of principles by which nations were bound.	true	345.53	353.23	21.3398
6317_54487_000007_000002	Among them the following were of vital significance.	Among them the following were of vital significance.	true	353.45	356.32	19.767904
6317_54487_000007_000003	In the first place, it was recognized that an enemy merchant ship caught on the high seas was a legitimate prize of war which might be seized and confiscated.	In the first place, it was recognized that an enemy merchant ship caught on the high seas was a legitimate prize of war which might be seized and confiscated.	false	356.51	365.77	22.498865
6317_54487_000007_000004	In the second place, it was agreed that "contraband of war" found on an enemy or neutral ship was a lawful prize; any ship suspected of carrying it was liable to search and if caught with forbidden goods was subject to seizure.	In the second place, it was agreed that "contraband of war" found on an enemy or neutral ship was a lawful prize; any ship suspected of carrying it was liable to search and if caught with forbidden goods was subject to seizure.	true	365.87	379.75	21.696255
6317_54487_000007_000005	In the third place, international law prescribed that a peaceful merchant ship, whether belonging to an enemy or to a neutral country, should not be destroyed or sunk without provision for the safety of crew and passengers.	In the third place, international law prescribed that a peaceful merchant ship, whether belonging to an enemy or to a neutral country, should not be destroyed or sunk without provision for the safety of crew and passengers.	true	380.03	392.38	22.7597
6317_54487_000007_000006	In the fourth place, it was understood that a belligerent had the right, if it could, to blockade the ports of an enemy and prevent the ingress and egress of all ships; but such a blockade, to be lawful, had to be effective.	In the fourth place, it was understood that a belligerent had the right, if it could, to blockade the ports of an enemy and prevent the ingress and egress of all ships; but such a blockade, to be lawful, had to be effective.	false	392.48	406.03	22.587204
6317_54487_000008_000000	These general principles left undetermined two important matters: "What is an effective blockade?" and "What is contraband of war?" The task of answering these questions fell to Great Britain as mistress of the seas. Although the German submarines made it impossible for her battleships to maintain a continuous patrol of the waters in front of blockaded ports, she declared the blockade to be none the less "effective" because her navy was supreme.	These general principles left undetermined two important matters: "What is an effective blockade?" and "What is contraband of war?" The task of answering these questions fell to Great Britain as mistress of the seas. Although the German submarines made it impossible for her battleships to maintain a continuous patrol of the waters in front of blockaded ports, she declared the blockade to be none the less "effective" because her navy was supreme.	true	406.28	432.04	21.449532
6317_54487_000008_000001	As to contraband of war Great Britain put such a broad interpretation upon the term as to include nearly every important article of commerce.	As to contraband of war Great Britain put such a broad interpretation upon the term as to include nearly every important article of commerce.	true	432.17	440.35	22.064487
6317_54487_000008_000002	Early in 1915 she declared even cargoes of grain and flour to be contraband, defending the action on the ground that the German government had recently taken possession of all domestic stocks of corn, wheat, and flour.	Early in nineteen fifteen she declared even cargoes of grain and flour to be contraband, defending the action on the ground that the German government had recently taken possession of all domestic stocks of corn, wheat, and flour.	true	440.51	452.77	19.923643
6317_54487_000009_000000	A new question arose in connection with American trade with the neutral countries surrounding Germany.	A new question arose in connection with American trade with the neutral countries surrounding Germany.	true	453.74	459.13	20.562813
6317_54487_000009_000001	Great Britain early began to intercept ships carrying oil, gasoline, and copper--all war materials of prime importance--on the ground that they either were destined ultimately to Germany or would release goods for sale to Germans.	Great Britain early began to intercept ships carrying oil, gasoline, and copper-all war materials of prime importance-on the ground that they either were destined ultimately to Germany or would release goods for sale to Germans.	true	459.26	472.99	21.31439
6317_54487_000009_000002	On November 2, 1914, the English government announced that the Germans wore sowing mines in open waters and that therefore the whole of the North Sea was a military zone.	On november second nineteen fourteen, the English government announced that the Germans wore sowing mines in open waters and that therefore the whole of the North Sea was a military zone.	true	473.12	483.7	21.06092
6317_54487_000009_000003	Ships bound for Denmark, Norway, and Sweden were ordered to come by the English Channel for inspection and sailing directions.	Ships bound for Denmark, Norway, and Sweden were ordered to come by the English Channel for inspection and sailing directions.	true	483.74	490.9	23.28067
6317_54487_000009_000004	In effect, Americans were now licensed by Great Britain to trade in certain commodities and in certain amounts with neutral countries.	In effect, Americans were now licensed by Great Britain to trade in certain commodities and in certain amounts with neutral countries.	true	490.97	498.58	21.381329
6317_54487_000010_000000	Against these extraordinary measures, the State Department at Washington lodged pointed objections, saying: "This government is reluctantly forced to the conclusion that the present policy of His Majesty's government toward neutral ships and cargoes exceeds the manifest necessity of a belligerent and constitutes restrictions upon the rights of American citizens on the high seas, which are not justified by the rules of international law or required under the principle of self-preservation."	Against these extraordinary measures, the State Department at Washington lodged pointed objections, saying: "This government is reluctantly forced to the conclusion that the present policy of His Majesty's government toward neutral ships and cargoes exceeds the manifest necessity of a belligerent and constitutes restrictions upon the rights of American citizens on the high seas, which are not justified by the rules of international law or required under the principle of self preservation."	false	499.07	528.15	21.48309
6317_54487_000011_000000	=Germany Begins the Submarine Campaign.=--Germany now announced that, on and after February 18, 1915, the whole of the English Channel and the waters around Great Britain would be deemed a war zone and that every enemy ship found therein would be destroyed.	equals Germany Begins the Submarine Campaign.equals--Germany now announced that, on and after february eighteenth nineteen fifteen, the whole of the English Channel and the waters around Great Britain would be deemed a war zone and that every enemy ship found therein would be destroyed.	false	528.15	545.46	21.012436
6317_54487_000011_000001	The German decree added that, as the British admiralty had ordered the use of neutral flags by English ships in time of distress, neutral vessels would be in danger of destruction if found in the forbidden area.	The German decree added that, as the British admiralty had ordered the use of neutral flags by English ships in time of distress, neutral vessels would be in danger of destruction if found in the forbidden area.	true	545.46	557.74	21.376432
6317_54487_000011_000002	It was clear that Germany intended to employ submarines to destroy shipping.	It was clear that Germany intended to employ submarines to destroy shipping.	true	557.96	562.24	20.936478
6317_54487_000011_000003	A new factor was thus introduced into naval warfare, one not provided for in the accepted laws of war.	A new factor was thus introduced into naval warfare, one not provided for in the accepted laws of war.	true	562.4	568.69	22.07945
6317_54487_000011_000004	A warship overhauling a merchant vessel could easily take its crew and passengers on board for safe keeping as prescribed by international law; but a submarine ordinarily could do nothing of the sort.	A warship overhauling a merchant vessel could easily take its crew and passengers on board for safe keeping as prescribed by international law; but a submarine ordinarily could do nothing of the sort.	true	569	580.24	21.204382
6317_54487_000011_000005	Of necessity the lives and the ships of neutrals, as well as of belligerents, were put in mortal peril.	Of necessity the lives and the ships of neutrals, as well as of belligerents, were put in mortal peril.	true	580.34	586.72	21.530191
6317_54487_000011_000006	This amazing conduct Germany justified on the ground that it was mere retaliation against Great Britain for her violations of international law.	This amazing conduct Germany justified on the ground that it was mere retaliation against Great Britain for her violations of international law.	true	587	595.36	19.970728
6317_54487_000012_000000	The response of the United States to the ominous German order was swift and direct.	The response of the United States to the ominous German order was swift and direct.	true	595.76	600.57	22.851246
6317_54487_000012_000001	On February 10, 1915, it warned Germany that if her commanders destroyed American lives and ships in obedience to that decree, the action would "be very hard indeed to reconcile with the friendly relations happily subsisting between the two governments." The American note added that the German imperial government would be held to "strict accountability" and all necessary steps would be taken to safeguard American lives and American rights.	On february tenth nineteen fifteen, it warned Germany that if her commanders destroyed American lives and ships in obedience to that decree, the action would "be very hard indeed to reconcile with the friendly relations happily subsisting between the two governments." The American note added that the German imperial government would be held to "strict accountability" and all necessary steps would be taken to safeguard American lives and American rights.	true	600.57	627.28	20.888744
6317_54487_000012_000002	This was firm and clear language, but the only response which it evoked from Germany was a suggestion that, if Great Britain would allow food supplies to pass through the blockade, the submarine campaign would be dropped.	This was firm and clear language, but the only response which it evoked from Germany was a suggestion that, if Great Britain would allow food supplies to pass through the blockade, the submarine campaign would be dropped.	true	627.53	639.66	22.12525
6317_54487_000013_000000	=Violations of American Rights.=--Meanwhile Germany continued to ravage shipping on the high seas.	equals Violations of American Rights.equals--Meanwhile Germany continued to ravage shipping on the high seas.	false	639.66	647.23	18.769695
6317_54487_000013_000001	On January 28, a German raider sank the American ship, _William P. Frye_, in the South Atlantic; on March 28, a British ship, the _Falaba_, was sunk by a submarine and many on board, including an American citizen, were killed; and on April 28, a German airplane dropped bombs on the American steamer _Cushing_.	On january twenty eighth, a German raider sank the American ship, underscore William p Frye underscore, in the South Atlantic; on march twenty eighth, a British ship, the underscore Falaba underscore, was sunk by a submarine and many on board, including an American citizen, were killed; and on april twenty eighth, a German airplane dropped bombs on the American steamer underscore Cushing underscore.	false	647.36	669.21	21.046415
6317_54487_000013_000002	On the morning of May 1, 1915, Americans were astounded to see in the newspapers an advertisement, signed by the German Imperial Embassy, warning travelers of the dangers in the war zone and notifying them that any who ventured on British ships into that area did so at their own risk.	On the morning of may first nineteen fifteen, Americans were astounded to see in the newspapers an advertisement, signed by the German Imperial Embassy, warning travelers of the dangers in the war zone and notifying them that any who ventured on British ships into that area did so at their own risk.	true	669.21	686.71	20.52707
6317_54487_000013_000003	On that day, the _Lusitania_, a British steamer, sailed from New York for Liverpool. On May 7, without warning, the ship was struck by two torpedoes and in a few minutes went down by the bow, carrying to death 1153 persons including 114 American men, women, and children.	On that day, the underscore Lusitania underscore, a British steamer, sailed from New York for Liverpool. On may seventh, without warning, the ship was struck by two torpedoes and in a few minutes went down by the bow, carrying to death eleven fifty three persons including one hundred fourteen American men, women, and children.	false	686.78	706.66	21.026344
6317_54487_000013_000004	A cry of horror ran through the country.	A cry of horror ran through the country.	true	706.76	709.15	21.933174
6317_54487_000013_000005	The German papers in America and a few American people argued that American citizens had been duly warned of the danger and had deliberately taken their lives into their own hands; but the terrible deed was almost universally condemned by public opinion.	The German papers in America and a few American people argued that American citizens had been duly warned of the danger and had deliberately taken their lives into their own hands; but the terrible deed was almost universally condemned by public opinion.	true	709.49	723.51	22.327362
6317_54487_000014_000000	=The _Lusitania_ Notes.=--On May 14, the Department of State at Washington made public the first of three famous notes on the _Lusitania_ case.	equals The underscore Lusitania underscore Notes.equals--On may fourteenth, the Department of State at Washington made public the first of three famous notes on the underscore Lusitania underscore case.	false	723.51	733.27	21.74967
6317_54487_000014_000001	It solemnly informed the German government that "no warning that an unlawful and inhumane act will be committed can possibly be accepted as an excuse or palliation for that act or as an abatement of the responsibility for its commission."	It solemnly informed the German government that "no warning that an unlawful and inhumane act will be committed can possibly be accepted as an excuse or palliation for that act or as an abatement of the responsibility for its commission."	true	733.52	747.49	20.924046
6317_54487_000014_000002	It called upon the German government to disavow the act, make reparation as far as possible, and take steps to prevent "the recurrence of anything so obviously subversive of the principles of warfare." The note closed with a clear caution to Germany that the government of the United States would not "omit any word or any act necessary to the performance of its sacred duty of maintaining the rights of the United States and its citizens and of safeguarding their free exercise and enjoyment." The die was cast; but Germany in reply merely temporized.	It called upon the German government to disavow the act, make reparation as far as possible, and take steps to prevent "the recurrence of anything so obviously subversive of the principles of warfare." The note closed with a clear caution to Germany that the government of the United States would not "omit any word or any act necessary to the performance of its sacred duty of maintaining the rights of the United States and its citizens and of safeguarding their free exercise and enjoyment." The die was cast; but Germany in reply merely temporized.	false	747.71	781.33	21.607641
6317_54487_000015_000000	In a second note, made public on June 11, the position of the United States was again affirmed.	In a second note, made public on june eleventh, the position of the United States was again affirmed.	true	781.82	787.96	21.517433
6317_54487_000015_000001	William Jennings Bryan, the Secretary of State, had resigned because the drift of President Wilson's policy was not toward mediation but the strict maintenance of American rights, if need be, by force of arms.	William Jennings Bryan, the Secretary of State, had resigned because the drift of President Wilson's policy was not toward mediation but the strict maintenance of American rights, if need be, by force of arms.	false	788	799.99	20.969915
6317_54487_000015_000002	The German reply was still evasive and German naval commanders continued their course of sinking merchant ships.	The German reply was still evasive and German naval commanders continued their course of sinking merchant ships.	true	800.18	806.5	22.65348
6317_54487_000015_000003	In a third and final note of July 21, 1915, President Wilson made it clear to Germany that he meant what he said when he wrote that he would maintain the rights of American citizens.	In a third and final note of july twenty first nineteen fifteen, President Wilson made it clear to Germany that he meant what he said when he wrote that he would maintain the rights of American citizens.	true	806.78	817.54	22.465944
6317_54487_000015_000004	Finally after much discussion and shifting about, the German ambassador on September 1, 1915, sent a brief note to the Secretary of State: "Liners will not be sunk by our submarines without warning and without safety of the lives of non-combatants, provided the liners do not try to escape or offer resistance." Editorially, the New York _Times_ declared: "It is a triumph not only of diplomacy but of reason, of humanity, of justice, and of truth." The Secretary of State saw in it "a recognition of the fundamental principles for which we have contended."	Finally after much discussion and shifting about, the German ambassador on september first nineteen fifteen, sent a brief note to the Secretary of State: "Liners will not be sunk by our submarines without warning and without safety of the lives of non combatants, provided the liners do not try to escape or offer resistance." Editorially, the New York underscore Times underscore declared: "It is a triumph not only of diplomacy but of reason, of humanity, of justice, and of truth." The Secretary of State saw in it "a recognition of the fundamental principles for which we have contended."	false	817.76	852.54	22.308128
6317_54487_000016_000000	=The Presidential Election of 1916.=--In the midst of this crisis came the presidential campaign.	equals The Presidential Election of nineteen sixteen.equals--In the midst of this crisis came the presidential campaign.	false	852.54	860.02	19.041233
6317_54487_000016_000001	On the Republican side everything seemed to depend upon the action of the Progressives.	On the Republican side everything seemed to depend upon the action of the Progressives.	true	860.12	865.45	22.01776
6317_54487_000016_000002	If the breach created in 1912 could be closed, victory was possible; if not, defeat was certain. A promise of unity lay in the fact that the conventions of the Republicans and Progressives were held simultaneously in Chicago.	If the breach created in nineteen twelve could be closed, victory was possible; if not, defeat was certain. A promise of unity lay in the fact that the conventions of the Republicans and Progressives were held simultaneously in Chicago.	true	865.64	881.02	22.204205
6317_54487_000016_000003	The friends of Roosevelt hoped that both parties would select him as their candidate; but this hope was not realized.	The friends of Roosevelt hoped that both parties would select him as their candidate; but this hope was not realized.	true	881.09	887.71	22.434065
6317_54487_000016_000004	The Republicans chose, and the Progressives accepted, Charles E. Hughes, an associate justice of the federal Supreme Court who, as governor of New York, had won a national reputation by waging war on "machine politicians."	The Republicans chose, and the Progressives accepted, Charles e Hughes, an associate justice of the federal Supreme Court who, as governor of New York, had won a national reputation by waging war on "machine politicians."	true	887.9	902.14	21.160765
6317_54487_000017_000000	In the face of the clamor for expressions of sympathy with one or the other of the contending powers of Europe, the Republicans chose a middle course, declaring that they would uphold all American rights "at home and abroad, by land and by sea." This sentiment Mr. Hughes echoed in his acceptance speech.	In the face of the clamor for expressions of sympathy with one or the other of the contending powers of Europe, the Republicans chose a middle course, declaring that they would uphold all American rights "at home and abroad, by land and by sea." This sentiment mr Hughes echoed in his acceptance speech.	false	903.17	920.65	20.47178
6317_54487_000017_000001	By some it was interpreted to mean a firmer policy in dealing with Great Britain; by others, a more vigorous handling of the submarine menace.	By some it was interpreted to mean a firmer policy in dealing with Great Britain; by others, a more vigorous handling of the submarine menace.	true	920.69	928.18	19.598358
6317_54487_000017_000002	The Democrats, on their side, renominated President Wilson by acclamation, reviewed with pride the legislative achievements of the party, and commended "the splendid diplomatic victories of our great President who has preserved the vital interests of our government and its citizens and kept us out of war."	The Democrats, on their side, renominated President Wilson by acclamation, reviewed with pride the legislative achievements of the party, and commended "the splendid diplomatic victories of our great President who has preserved the vital interests of our government and its citizens and kept us out of war."	true	928.43	946.06	22.33364
6317_54487_000018_000000	In the election which ensued President Wilson's popular vote exceeded that cast for Mr. Hughes by more than half a million, while his electoral vote stood 277 to 254.	In the election which ensued President Wilson's popular vote exceeded that cast for mr Hughes by more than half a million, while his electoral vote stood two hundred seventy seven to two hundred fifty four.	true	946.16	958.54	22.770567
6317_54487_000018_000001	The result was regarded, and not without warrant, as a great personal triumph for the President.	The result was regarded, and not without warrant, as a great personal triumph for the President.	false	958.73	964.39	23.971834
6317_54487_000018_000002	He had received the largest vote yet cast for a presidential candidate.	He had received the largest vote yet cast for a presidential candidate.	true	964.46	968.44	22.485893
6317_54487_000018_000003	The Progressive party practically disappeared, and the Socialists suffered a severe set-back, falling far behind the vote of 1912.	The Progressive party practically disappeared, and the Socialists suffered a severe set back, falling far behind the vote of nineteen twelve.	true	968.57	976.86	20.640915
6317_54487_000019_000000	=President Wilson Urges Peace upon the Warring Nations.=--Apparently convinced that his pacific policies had been profoundly approved by his countrymen, President Wilson, soon after the election, addressed "peace notes" to the European belligerents.	equals President Wilson Urges Peace upon the Warring Nations.equals--Apparently convinced that his pacific policies had been profoundly approved by his countrymen, President Wilson, soon after the election, addressed "peace notes" to the European belligerents.	false	976.86	992.11	21.854298
6317_54487_000019_000001	On December 16, the German Emperor proposed to the Allied Powers that they enter into peace negotiations, a suggestion that was treated as a mere political maneuver by the opposing governments.	On december sixteenth, the German Emperor proposed to the Allied Powers that they enter into peace negotiations, a suggestion that was treated as a mere political maneuver by the opposing governments.	true	992.3	1003.66	20.715988
6317_54487_000019_000002	Two days later President Wilson sent a note to the warring nations asking them to avow "the terms upon which war might be concluded." To these notes the Central Powers replied that they were ready to meet their antagonists in a peace conference; and Allied Powers answered by presenting certain conditions precedent to a satisfactory settlement.	Two days later President Wilson sent a note to the warring nations asking them to avow "the terms upon which war might be concluded." To these notes the Central Powers replied that they were ready to meet their antagonists in a peace conference; and Allied Powers answered by presenting certain conditions precedent to a satisfactory settlement.	false	1004.03	1023.64	20.717028
6317_54487_000019_000003	On January 22, 1917, President Wilson in an address before the Senate, declared it to be a duty of the United States to take part in the establishment of a stable peace on the basis of certain principles.	On january twenty second nineteen seventeen, President Wilson in an address before the Senate, declared it to be a duty of the United States to take part in the establishment of a stable peace on the basis of certain principles.	true	1024.13	1037.29	22.122849
6317_54487_000019_000004	These were, in short: "peace without victory"; the right of nationalities to freedom and self-government; the independence of Poland; freedom of the seas; the reduction of armaments; and the abolition of entangling alliances.	These were, in short: "peace without victory"; the right of nationalities to freedom and self government; the independence of Poland; freedom of the seas; the reduction of armaments; and the abolition of entangling alliances.	true	1037.45	1051.21	22.046204
6317_54487_000019_000005	The whole world was discussing the President's remarkable message, when it was dumbfounded to hear, on January 31, that the German ambassador at Washington had announced the official renewal of ruthless submarine warfare.	The whole world was discussing the President's remarkable message, when it was dumbfounded to hear, on january thirty first, that the German ambassador at Washington had announced the official renewal of ruthless submarine warfare.	false	1051.91	1064.83	22.195616
6317_54487_000020_000000	THE UNITED STATES AT WAR	THE UNITED STATES AT WAR	true	1066.13	1067.73	24.162569
6317_54487_000021_000000	=Steps toward War.=--Three days after the receipt of the news that the German government intended to return to its former submarine policy, President Wilson severed diplomatic relations with the German empire.	equals Steps toward War.equals--Three days after the receipt of the news that the German government intended to return to its former submarine policy, President Wilson severed diplomatic relations with the German empire.	false	1067.73	1080.25	20.054039
6317_54487_000021_000001	At the same time he explained to Congress that he desired no conflict with Germany and would await an "overt act" before taking further steps to preserve American rights.	At the same time he explained to Congress that he desired no conflict with Germany and would await an "overt act" before taking further steps to preserve American rights.	true	1080.5	1090.81	20.298183
